context: Wow, their level's really going up... response:	That's just what I'd expect to see from the Black Sword Knights,
context: You keep making the knights stronger.\Both you and Reserick are irreplaceable to Maihama now.\Now that you've complimented us, we can work even harder, Lord Iselus.\Right, Isaac?\You're working hard, aren't you, Isaac?\I told you to stop that crap!\About that lunar communication device you asked me for yesterday...\It's going to cost that much? response:	Given its scale, yes.
context: Both you and Reserick are irreplaceable to Maihama now.\Now that you've complimented us, we can work even harder, Lord Iselus.\Right, Isaac?\You're working hard, aren't you, Isaac?\I told you to stop that crap!\About that lunar communication device you asked me for yesterday...\It's going to cost that much?\Given its scale, yes. response:	Even three years of Akihabara's total budget wouldn't be enough.
context: Now that you've complimented us, we can work even harder, Lord Iselus.\Right, Isaac?\You're working hard, aren't you, Isaac?\I told you to stop that crap!\About that lunar communication device you asked me for yesterday...\It's going to cost that much?\Given its scale, yes.\Even three years of Akihabara's total budget wouldn't be enough. response:	Three years...
context: Right, Isaac?\You're working hard, aren't you, Isaac?\I told you to stop that crap!\About that lunar communication device you asked me for yesterday...\It's going to cost that much?\Given its scale, yes.\Even three years of Akihabara's total budget wouldn't be enough.\Three years... response:	I hate to say it,
context: You're working hard, aren't you, Isaac?\I told you to stop that crap!\About that lunar communication device you asked me for yesterday...\It's going to cost that much?\Given its scale, yes.\Even three years of Akihabara's total budget wouldn't be enough.\Three years...\I hate to say it, response:	but even if we complete it, getting it to work will be another issue.
context: I told you to stop that crap!\About that lunar communication device you asked me for yesterday...\It's going to cost that much?\Given its scale, yes.\Even three years of Akihabara's total budget wouldn't be enough.\Three years...\I hate to say it,\but even if we complete it, getting it to work will be another issue. response:	All right.
context: About that lunar communication device you asked me for yesterday...\It's going to cost that much?\Given its scale, yes.\Even three years of Akihabara's total budget wouldn't be enough.\Three years...\I hate to say it,\but even if we complete it, getting it to work will be another issue.\All right. response:	Still, going back to our original world, huh?
context: It's going to cost that much?\Given its scale, yes.\Even three years of Akihabara's total budget wouldn't be enough.\Three years...\I hate to say it,\but even if we complete it, getting it to work will be another issue.\All right.\Still, going back to our original world, huh? response:	It's difficult, isn't it?
context: Given its scale, yes.\Even three years of Akihabara's total budget wouldn't be enough.\Three years...\I hate to say it,\but even if we complete it, getting it to work will be another issue.\All right.\Still, going back to our original world, huh?\It's difficult, isn't it? response:	What did you tell everyone at the Round Table?
context: Even three years of Akihabara's total budget wouldn't be enough.\Three years...\I hate to say it,\but even if we complete it, getting it to work will be another issue.\All right.\Still, going back to our original world, huh?\It's difficult, isn't it?\What did you tell everyone at the Round Table? response:	That if we could make contact with the moon,
context: Three years...\I hate to say it,\but even if we complete it, getting it to work will be another issue.\All right.\Still, going back to our original world, huh?\It's difficult, isn't it?\What did you tell everyone at the Round Table?\That if we could make contact with the moon, response:	we might find a hint to getting home.
context: I hate to say it,\but even if we complete it, getting it to work will be another issue.\All right.\Still, going back to our original world, huh?\It's difficult, isn't it?\What did you tell everyone at the Round Table?\That if we could make contact with the moon,\we might find a hint to getting home. response:	Of course, I told them that I'm not sure going home is possible.
context: but even if we complete it, getting it to work will be another issue.\All right.\Still, going back to our original world, huh?\It's difficult, isn't it?\What did you tell everyone at the Round Table?\That if we could make contact with the moon,\we might find a hint to getting home.\Of course, I told them that I'm not sure going home is possible. response:	I doubt they'll approve funds now...
context: All right.\Still, going back to our original world, huh?\It's difficult, isn't it?\What did you tell everyone at the Round Table?\That if we could make contact with the moon,\we might find a hint to getting home.\Of course, I told them that I'm not sure going home is possible.\I doubt they'll approve funds now... response:	Wh-What?
context: Still, going back to our original world, huh?\It's difficult, isn't it?\What did you tell everyone at the Round Table?\That if we could make contact with the moon,\we might find a hint to getting home.\Of course, I told them that I'm not sure going home is possible.\I doubt they'll approve funds now...\Wh-What? response:	When you're worried, you get old man wrinkles right here.
context: It's difficult, isn't it?\What did you tell everyone at the Round Table?\That if we could make contact with the moon,\we might find a hint to getting home.\Of course, I told them that I'm not sure going home is possible.\I doubt they'll approve funds now...\Wh-What?\When you're worried, you get old man wrinkles right here. response:	No wrinkles.
context: What did you tell everyone at the Round Table?\That if we could make contact with the moon,\we might find a hint to getting home.\Of course, I told them that I'm not sure going home is possible.\I doubt they'll approve funds now...\Wh-What?\When you're worried, you get old man wrinkles right here.\No wrinkles. response:	Right...
context: That if we could make contact with the moon,\we might find a hint to getting home.\Of course, I told them that I'm not sure going home is possible.\I doubt they'll approve funds now...\Wh-What?\When you're worried, you get old man wrinkles right here.\No wrinkles.\Right... response:	Isaac and Iselus
context: we might find a hint to getting home.\Of course, I told them that I'm not sure going home is possible.\I doubt they'll approve funds now...\Wh-What?\When you're worried, you get old man wrinkles right here.\No wrinkles.\Right...\Isaac and Iselus response:	Isaac and Iselus.
context: Of course, I told them that I'm not sure going home is possible.\I doubt they'll approve funds now...\Wh-What?\When you're worried, you get old man wrinkles right here.\No wrinkles.\Right...\Isaac and Iselus\Isaac and Iselus. response:	Um, so what Shiroe said earlier was true, right?
context: I doubt they'll approve funds now...\Wh-What?\When you're worried, you get old man wrinkles right here.\No wrinkles.\Right...\Isaac and Iselus\Isaac and Iselus.\Um, so what Shiroe said earlier was true, right? response:	A lot is still uncertain,
context: Wh-What?\When you're worried, you get old man wrinkles right here.\No wrinkles.\Right...\Isaac and Iselus\Isaac and Iselus.\Um, so what Shiroe said earlier was true, right?\A lot is still uncertain, response:	so he said he didn't want us telling anyone else.
context: When you're worried, you get old man wrinkles right here.\No wrinkles.\Right...\Isaac and Iselus\Isaac and Iselus.\Um, so what Shiroe said earlier was true, right?\A lot is still uncertain,\so he said he didn't want us telling anyone else. response:	B-But honestly, I don't know to react
context: No wrinkles.\Right...\Isaac and Iselus\Isaac and Iselus.\Um, so what Shiroe said earlier was true, right?\A lot is still uncertain,\so he said he didn't want us telling anyone else.\B-But honestly, I don't know to react response:	to suddenly hearing that I might be able to go home.
context: Right...\Isaac and Iselus\Isaac and Iselus.\Um, so what Shiroe said earlier was true, right?\A lot is still uncertain,\so he said he didn't want us telling anyone else.\B-But honestly, I don't know to react\to suddenly hearing that I might be able to go home. response:	I want to see my mom and dad,
context: Isaac and Iselus\Isaac and Iselus.\Um, so what Shiroe said earlier was true, right?\A lot is still uncertain,\so he said he didn't want us telling anyone else.\B-But honestly, I don't know to react\to suddenly hearing that I might be able to go home.\I want to see my mom and dad, response:	but I want to stay with Nyanta and everyone else.
context: Isaac and Iselus.\Um, so what Shiroe said earlier was true, right?\A lot is still uncertain,\so he said he didn't want us telling anyone else.\B-But honestly, I don't know to react\to suddenly hearing that I might be able to go home.\I want to see my mom and dad,\but I want to stay with Nyanta and everyone else. response:	I don't want to leave you guys...
context: Um, so what Shiroe said earlier was true, right?\A lot is still uncertain,\so he said he didn't want us telling anyone else.\B-But honestly, I don't know to react\to suddenly hearing that I might be able to go home.\I want to see my mom and dad,\but I want to stay with Nyanta and everyone else.\I don't want to leave you guys... response:	Serara...
context: A lot is still uncertain,\so he said he didn't want us telling anyone else.\B-But honestly, I don't know to react\to suddenly hearing that I might be able to go home.\I want to see my mom and dad,\but I want to stay with Nyanta and everyone else.\I don't want to leave you guys...\Serara... response:	That's right.
context: so he said he didn't want us telling anyone else.\B-But honestly, I don't know to react\to suddenly hearing that I might be able to go home.\I want to see my mom and dad,\but I want to stay with Nyanta and everyone else.\I don't want to leave you guys...\Serara...\That's right. response:	We all got to be such good friends.
context: B-But honestly, I don't know to react\to suddenly hearing that I might be able to go home.\I want to see my mom and dad,\but I want to stay with Nyanta and everyone else.\I don't want to leave you guys...\Serara...\That's right.\We all got to be such good friends. response:	What do you think, Minori?
context: to suddenly hearing that I might be able to go home.\I want to see my mom and dad,\but I want to stay with Nyanta and everyone else.\I don't want to leave you guys...\Serara...\That's right.\We all got to be such good friends.\What do you think, Minori? response:	I'm going home.
context: I want to see my mom and dad,\but I want to stay with Nyanta and everyone else.\I don't want to leave you guys...\Serara...\That's right.\We all got to be such good friends.\What do you think, Minori?\I'm going home. response:	That's the natural thing, isn't it?
context: but I want to stay with Nyanta and everyone else.\I don't want to leave you guys...\Serara...\That's right.\We all got to be such good friends.\What do you think, Minori?\I'm going home.\That's the natural thing, isn't it? response:	I didn't make any effort to come here.
context: I don't want to leave you guys...\Serara...\That's right.\We all got to be such good friends.\What do you think, Minori?\I'm going home.\That's the natural thing, isn't it?\I didn't make any effort to come here. response:	What? Effort?
context: Serara...\That's right.\We all got to be such good friends.\What do you think, Minori?\I'm going home.\That's the natural thing, isn't it?\I didn't make any effort to come here.\What? Effort? response:	We were just caught up in this, right?
context: That's right.\We all got to be such good friends.\What do you think, Minori?\I'm going home.\That's the natural thing, isn't it?\I didn't make any effort to come here.\What? Effort?\We were just caught up in this, right? response:	Even so...
context: We all got to be such good friends.\What do you think, Minori?\I'm going home.\That's the natural thing, isn't it?\I didn't make any effort to come here.\What? Effort?\We were just caught up in this, right?\Even so... response:	I like this place, and I want to stay.
context: What do you think, Minori?\I'm going home.\That's the natural thing, isn't it?\I didn't make any effort to come here.\What? Effort?\We were just caught up in this, right?\Even so...\I like this place, and I want to stay. response:	But next time, I want to work hard myself,
context: I'm going home.\That's the natural thing, isn't it?\I didn't make any effort to come here.\What? Effort?\We were just caught up in this, right?\Even so...\I like this place, and I want to stay.\But next time, I want to work hard myself, response:	and make my own place to belong.
context: That's the natural thing, isn't it?\I didn't make any effort to come here.\What? Effort?\We were just caught up in this, right?\Even so...\I like this place, and I want to stay.\But next time, I want to work hard myself,\and make my own place to belong. response:	Tohya...
context: I didn't make any effort to come here.\What? Effort?\We were just caught up in this, right?\Even so...\I like this place, and I want to stay.\But next time, I want to work hard myself,\and make my own place to belong.\Tohya... response:	I respect that way of thinking.
context: What? Effort?\We were just caught up in this, right?\Even so...\I like this place, and I want to stay.\But next time, I want to work hard myself,\and make my own place to belong.\Tohya...\I respect that way of thinking. response:	Rudy...
context: We were just caught up in this, right?\Even so...\I like this place, and I want to stay.\But next time, I want to work hard myself,\and make my own place to belong.\Tohya...\I respect that way of thinking.\Rudy... response:	If you have a home, returning to it is natural.
context: Even so...\I like this place, and I want to stay.\But next time, I want to work hard myself,\and make my own place to belong.\Tohya...\I respect that way of thinking.\Rudy...\If you have a home, returning to it is natural. response:	I've been expecting to say goodbye at some point.
context: I like this place, and I want to stay.\But next time, I want to work hard myself,\and make my own place to belong.\Tohya...\I respect that way of thinking.\Rudy...\If you have a home, returning to it is natural.\I've been expecting to say goodbye at some point. response:	I can respect Tohya's desire to choose on his own,
context: But next time, I want to work hard myself,\and make my own place to belong.\Tohya...\I respect that way of thinking.\Rudy...\If you have a home, returning to it is natural.\I've been expecting to say goodbye at some point.\I can respect Tohya's desire to choose on his own, response:	rather than it being a chance event brought on by outside forces.
context: and make my own place to belong.\Tohya...\I respect that way of thinking.\Rudy...\If you have a home, returning to it is natural.\I've been expecting to say goodbye at some point.\I can respect Tohya's desire to choose on his own,\rather than it being a chance event brought on by outside forces. response:	Rudy...
context: Tohya...\I respect that way of thinking.\Rudy...\If you have a home, returning to it is natural.\I've been expecting to say goodbye at some point.\I can respect Tohya's desire to choose on his own,\rather than it being a chance event brought on by outside forces.\Rudy... response:	But...
context: I respect that way of thinking.\Rudy...\If you have a home, returning to it is natural.\I've been expecting to say goodbye at some point.\I can respect Tohya's desire to choose on his own,\rather than it being a chance event brought on by outside forces.\Rudy...\But... response:	Miss Isuzu, if you go home,
context: Rudy...\If you have a home, returning to it is natural.\I've been expecting to say goodbye at some point.\I can respect Tohya's desire to choose on his own,\rather than it being a chance event brought on by outside forces.\Rudy...\But...\Miss Isuzu, if you go home, response:	you can play music with your father, right?
context: If you have a home, returning to it is natural.\I've been expecting to say goodbye at some point.\I can respect Tohya's desire to choose on his own,\rather than it being a chance event brought on by outside forces.\Rudy...\But...\Miss Isuzu, if you go home,\you can play music with your father, right? response:	Yeah, but it isn't that simple for me.
context: I've been expecting to say goodbye at some point.\I can respect Tohya's desire to choose on his own,\rather than it being a chance event brought on by outside forces.\Rudy...\But...\Miss Isuzu, if you go home,\you can play music with your father, right?\Yeah, but it isn't that simple for me. response:	What's the best choice, I wonder.
context: I can respect Tohya's desire to choose on his own,\rather than it being a chance event brought on by outside forces.\Rudy...\But...\Miss Isuzu, if you go home,\you can play music with your father, right?\Yeah, but it isn't that simple for me.\What's the best choice, I wonder. response:	Doesn't this town seem to be turning into Akihabara lately?
context: rather than it being a chance event brought on by outside forces.\Rudy...\But...\Miss Isuzu, if you go home,\you can play music with your father, right?\Yeah, but it isn't that simple for me.\What's the best choice, I wonder.\Doesn't this town seem to be turning into Akihabara lately? response:	Deadlines Are Life But I Refuse I Can't Go On
context: Rudy...\But...\Miss Isuzu, if you go home,\you can play music with your father, right?\Yeah, but it isn't that simple for me.\What's the best choice, I wonder.\Doesn't this town seem to be turning into Akihabara lately?\Deadlines Are Life But I Refuse I Can't Go On response:	Moe
context: But...\Miss Isuzu, if you go home,\you can play music with your father, right?\Yeah, but it isn't that simple for me.\What's the best choice, I wonder.\Doesn't this town seem to be turning into Akihabara lately?\Deadlines Are Life But I Refuse I Can't Go On\Moe response:	I guess it means adventurers are influencing People of the Land in several ways.
context: Miss Isuzu, if you go home,\you can play music with your father, right?\Yeah, but it isn't that simple for me.\What's the best choice, I wonder.\Doesn't this town seem to be turning into Akihabara lately?\Deadlines Are Life But I Refuse I Can't Go On\Moe\I guess it means adventurers are influencing People of the Land in several ways. response:	Cosplay House
context: you can play music with your father, right?\Yeah, but it isn't that simple for me.\What's the best choice, I wonder.\Doesn't this town seem to be turning into Akihabara lately?\Deadlines Are Life But I Refuse I Can't Go On\Moe\I guess it means adventurers are influencing People of the Land in several ways.\Cosplay House response:	Yep, yep.
context: Yeah, but it isn't that simple for me.\What's the best choice, I wonder.\Doesn't this town seem to be turning into Akihabara lately?\Deadlines Are Life But I Refuse I Can't Go On\Moe\I guess it means adventurers are influencing People of the Land in several ways.\Cosplay House\Yep, yep. response:	Is that what it is?
context: What's the best choice, I wonder.\Doesn't this town seem to be turning into Akihabara lately?\Deadlines Are Life But I Refuse I Can't Go On\Moe\I guess it means adventurers are influencing People of the Land in several ways.\Cosplay House\Yep, yep.\Is that what it is? response:	It is!
context: Doesn't this town seem to be turning into Akihabara lately?\Deadlines Are Life But I Refuse I Can't Go On\Moe\I guess it means adventurers are influencing People of the Land in several ways.\Cosplay House\Yep, yep.\Is that what it is?\It is! response:	The People of the Land are absorbing the adventurers' culture
context: Deadlines Are Life But I Refuse I Can't Go On\Moe\I guess it means adventurers are influencing People of the Land in several ways.\Cosplay House\Yep, yep.\Is that what it is?\It is!\The People of the Land are absorbing the adventurers' culture response:	and developing their own.
context: Moe\I guess it means adventurers are influencing People of the Land in several ways.\Cosplay House\Yep, yep.\Is that what it is?\It is!\The People of the Land are absorbing the adventurers' culture\and developing their own. response:	My grandfather said that's important.
context: I guess it means adventurers are influencing People of the Land in several ways.\Cosplay House\Yep, yep.\Is that what it is?\It is!\The People of the Land are absorbing the adventurers' culture\and developing their own.\My grandfather said that's important. response:	How long are you going to keep following us?
context: Cosplay House\Yep, yep.\Is that what it is?\It is!\The People of the Land are absorbing the adventurers' culture\and developing their own.\My grandfather said that's important.\How long are you going to keep following us? response:	I want to know a lot about adventurers, like my sister.
context: Yep, yep.\Is that what it is?\It is!\The People of the Land are absorbing the adventurers' culture\and developing their own.\My grandfather said that's important.\How long are you going to keep following us?\I want to know a lot about adventurers, like my sister. response:	Please teach me all sorts of things!
context: Is that what it is?\It is!\The People of the Land are absorbing the adventurers' culture\and developing their own.\My grandfather said that's important.\How long are you going to keep following us?\I want to know a lot about adventurers, like my sister.\Please teach me all sorts of things! response:	Well, it's our job to protect him, Isaac.
context: It is!\The People of the Land are absorbing the adventurers' culture\and developing their own.\My grandfather said that's important.\How long are you going to keep following us?\I want to know a lot about adventurers, like my sister.\Please teach me all sorts of things!\Well, it's our job to protect him, Isaac. response:	Do whatever you want.
context: The People of the Land are absorbing the adventurers' culture\and developing their own.\My grandfather said that's important.\How long are you going to keep following us?\I want to know a lot about adventurers, like my sister.\Please teach me all sorts of things!\Well, it's our job to protect him, Isaac.\Do whatever you want. response:	He really likes you.
context: and developing their own.\My grandfather said that's important.\How long are you going to keep following us?\I want to know a lot about adventurers, like my sister.\Please teach me all sorts of things!\Well, it's our job to protect him, Isaac.\Do whatever you want.\He really likes you. response:	This isn't my style.
context: My grandfather said that's important.\How long are you going to keep following us?\I want to know a lot about adventurers, like my sister.\Please teach me all sorts of things!\Well, it's our job to protect him, Isaac.\Do whatever you want.\He really likes you.\This isn't my style. response:	What's the problem?
context: How long are you going to keep following us?\I want to know a lot about adventurers, like my sister.\Please teach me all sorts of things!\Well, it's our job to protect him, Isaac.\Do whatever you want.\He really likes you.\This isn't my style.\What's the problem? response:	This brings Akihabara and Maihama even closer.
context: I want to know a lot about adventurers, like my sister.\Please teach me all sorts of things!\Well, it's our job to protect him, Isaac.\Do whatever you want.\He really likes you.\This isn't my style.\What's the problem?\This brings Akihabara and Maihama even closer. response:	But the situation's changed a bit, I'm told.
context: Please teach me all sorts of things!\Well, it's our job to protect him, Isaac.\Do whatever you want.\He really likes you.\This isn't my style.\What's the problem?\This brings Akihabara and Maihama even closer.\But the situation's changed a bit, I'm told. response:	What do you mean?
context: Well, it's our job to protect him, Isaac.\Do whatever you want.\He really likes you.\This isn't my style.\What's the problem?\This brings Akihabara and Maihama even closer.\But the situation's changed a bit, I'm told.\What do you mean? response:	You know...
context: Do whatever you want.\He really likes you.\This isn't my style.\What's the problem?\This brings Akihabara and Maihama even closer.\But the situation's changed a bit, I'm told.\What do you mean?\You know... response:	That lunar communication attempt
context: He really likes you.\This isn't my style.\What's the problem?\This brings Akihabara and Maihama even closer.\But the situation's changed a bit, I'm told.\What do you mean?\You know...\That lunar communication attempt response:	they were talking about at the Round Table.
context: This isn't my style.\What's the problem?\This brings Akihabara and Maihama even closer.\But the situation's changed a bit, I'm told.\What do you mean?\You know...\That lunar communication attempt\they were talking about at the Round Table. response:	The one that might give us a hint about how to go home?
context: What's the problem?\This brings Akihabara and Maihama even closer.\But the situation's changed a bit, I'm told.\What do you mean?\You know...\That lunar communication attempt\they were talking about at the Round Table.\The one that might give us a hint about how to go home? response:	I'm sure that would change Yamato's power balance.
context: This brings Akihabara and Maihama even closer.\But the situation's changed a bit, I'm told.\What do you mean?\You know...\That lunar communication attempt\they were talking about at the Round Table.\The one that might give us a hint about how to go home?\I'm sure that would change Yamato's power balance. response:	I don't care.
context: But the situation's changed a bit, I'm told.\What do you mean?\You know...\That lunar communication attempt\they were talking about at the Round Table.\The one that might give us a hint about how to go home?\I'm sure that would change Yamato's power balance.\I don't care. response:	All that complicated crap irritates me.
context: What do you mean?\You know...\That lunar communication attempt\they were talking about at the Round Table.\The one that might give us a hint about how to go home?\I'm sure that would change Yamato's power balance.\I don't care.\All that complicated crap irritates me. response:	What? You don't want to go home?
context: You know...\That lunar communication attempt\they were talking about at the Round Table.\The one that might give us a hint about how to go home?\I'm sure that would change Yamato's power balance.\I don't care.\All that complicated crap irritates me.\What? You don't want to go home? response:	I try to think about that stuff after it actually happens.
context: That lunar communication attempt\they were talking about at the Round Table.\The one that might give us a hint about how to go home?\I'm sure that would change Yamato's power balance.\I don't care.\All that complicated crap irritates me.\What? You don't want to go home?\I try to think about that stuff after it actually happens. response:	I understand.
context: they were talking about at the Round Table.\The one that might give us a hint about how to go home?\I'm sure that would change Yamato's power balance.\I don't care.\All that complicated crap irritates me.\What? You don't want to go home?\I try to think about that stuff after it actually happens.\I understand. response:	Jeez.
context: The one that might give us a hint about how to go home?\I'm sure that would change Yamato's power balance.\I don't care.\All that complicated crap irritates me.\What? You don't want to go home?\I try to think about that stuff after it actually happens.\I understand.\Jeez. response:	That sword's just expensive, not useful.
context: I'm sure that would change Yamato's power balance.\I don't care.\All that complicated crap irritates me.\What? You don't want to go home?\I try to think about that stuff after it actually happens.\I understand.\Jeez.\That sword's just expensive, not useful. response:	Reserick, you should have stopped him.
context: I don't care.\All that complicated crap irritates me.\What? You don't want to go home?\I try to think about that stuff after it actually happens.\I understand.\Jeez.\That sword's just expensive, not useful.\Reserick, you should have stopped him. response:	You're better at judging swords than I am, aren't you?
context: All that complicated crap irritates me.\What? You don't want to go home?\I try to think about that stuff after it actually happens.\I understand.\Jeez.\That sword's just expensive, not useful.\Reserick, you should have stopped him.\You're better at judging swords than I am, aren't you? response:	Listen...
context: What? You don't want to go home?\I try to think about that stuff after it actually happens.\I understand.\Jeez.\That sword's just expensive, not useful.\Reserick, you should have stopped him.\You're better at judging swords than I am, aren't you?\Listen... response:	Here, buy this one.
context: I try to think about that stuff after it actually happens.\I understand.\Jeez.\That sword's just expensive, not useful.\Reserick, you should have stopped him.\You're better at judging swords than I am, aren't you?\Listen...\Here, buy this one. response:	At my equipment level, I can't master an expensive sword like this.
context: I understand.\Jeez.\That sword's just expensive, not useful.\Reserick, you should have stopped him.\You're better at judging swords than I am, aren't you?\Listen...\Here, buy this one.\At my equipment level, I can't master an expensive sword like this. response:	I'm not worthy of it.
context: Jeez.\That sword's just expensive, not useful.\Reserick, you should have stopped him.\You're better at judging swords than I am, aren't you?\Listen...\Here, buy this one.\At my equipment level, I can't master an expensive sword like this.\I'm not worthy of it. response:	Let's go.
context: That sword's just expensive, not useful.\Reserick, you should have stopped him.\You're better at judging swords than I am, aren't you?\Listen...\Here, buy this one.\At my equipment level, I can't master an expensive sword like this.\I'm not worthy of it.\Let's go. response:	I was nice enough to recommend it to him, too.
context: Reserick, you should have stopped him.\You're better at judging swords than I am, aren't you?\Listen...\Here, buy this one.\At my equipment level, I can't master an expensive sword like this.\I'm not worthy of it.\Let's go.\I was nice enough to recommend it to him, too. response:	He knows his own capabilities.
context: You're better at judging swords than I am, aren't you?\Listen...\Here, buy this one.\At my equipment level, I can't master an expensive sword like this.\I'm not worthy of it.\Let's go.\I was nice enough to recommend it to him, too.\He knows his own capabilities. response:	I'd thought he was just a child, but maybe I was wrong.
context: Listen...\Here, buy this one.\At my equipment level, I can't master an expensive sword like this.\I'm not worthy of it.\Let's go.\I was nice enough to recommend it to him, too.\He knows his own capabilities.\I'd thought he was just a child, but maybe I was wrong. response:	Is that what it is?
context: Here, buy this one.\At my equipment level, I can't master an expensive sword like this.\I'm not worthy of it.\Let's go.\I was nice enough to recommend it to him, too.\He knows his own capabilities.\I'd thought he was just a child, but maybe I was wrong.\Is that what it is? response:	Is something wrong?
context: At my equipment level, I can't master an expensive sword like this.\I'm not worthy of it.\Let's go.\I was nice enough to recommend it to him, too.\He knows his own capabilities.\I'd thought he was just a child, but maybe I was wrong.\Is that what it is?\Is something wrong? response:	No.
context: I'm not worthy of it.\Let's go.\I was nice enough to recommend it to him, too.\He knows his own capabilities.\I'd thought he was just a child, but maybe I was wrong.\Is that what it is?\Is something wrong?\No. response:	It's nothing.
context: Let's go.\I was nice enough to recommend it to him, too.\He knows his own capabilities.\I'd thought he was just a child, but maybe I was wrong.\Is that what it is?\Is something wrong?\No.\It's nothing. response:	How is the training going, Sir Isaac?
context: I was nice enough to recommend it to him, too.\He knows his own capabilities.\I'd thought he was just a child, but maybe I was wrong.\Is that what it is?\Is something wrong?\No.\It's nothing.\How is the training going, Sir Isaac? response:	Pretty well.
context: He knows his own capabilities.\I'd thought he was just a child, but maybe I was wrong.\Is that what it is?\Is something wrong?\No.\It's nothing.\How is the training going, Sir Isaac?\Pretty well. response:	The knights' levels are rising pretty fast.
context: I'd thought he was just a child, but maybe I was wrong.\Is that what it is?\Is something wrong?\No.\It's nothing.\How is the training going, Sir Isaac?\Pretty well.\The knights' levels are rising pretty fast. response:	I'm glad to hear it.
context: Is that what it is?\Is something wrong?\No.\It's nothing.\How is the training going, Sir Isaac?\Pretty well.\The knights' levels are rising pretty fast.\I'm glad to hear it. response:	These days, we never know what will happen.
context: Is something wrong?\No.\It's nothing.\How is the training going, Sir Isaac?\Pretty well.\The knights' levels are rising pretty fast.\I'm glad to hear it.\These days, we never know what will happen. response:	Did you call me here to make small talk, old man?
context: No.\It's nothing.\How is the training going, Sir Isaac?\Pretty well.\The knights' levels are rising pretty fast.\I'm glad to hear it.\These days, we never know what will happen.\Did you call me here to make small talk, old man? response:	It's about Iselus.
context: It's nothing.\How is the training going, Sir Isaac?\Pretty well.\The knights' levels are rising pretty fast.\I'm glad to hear it.\These days, we never know what will happen.\Did you call me here to make small talk, old man?\It's about Iselus. response:	We will soon be holding a large festival to celebrate his birthday.
context: How is the training going, Sir Isaac?\Pretty well.\The knights' levels are rising pretty fast.\I'm glad to hear it.\These days, we never know what will happen.\Did you call me here to make small talk, old man?\It's about Iselus.\We will soon be holding a large festival to celebrate his birthday. response:	There, I will announce him as the Cowen family heir.
context: Pretty well.\The knights' levels are rising pretty fast.\I'm glad to hear it.\These days, we never know what will happen.\Did you call me here to make small talk, old man?\It's about Iselus.\We will soon be holding a large festival to celebrate his birthday.\There, I will announce him as the Cowen family heir. response:	Heir? Him?
