context: STAFF ROOM response:	A meeting of delegates?
context: It is terribly perilous for one such as I to appear\in such an overt gathering.\You don't wanna do it.\Yuta, if I should appear in such a meeting,\the overwhelming power of Wicked Lord Shingan\will inevitably affect every mortal in my vicinity.\So you're saying you don't wanna do it.\Hey. response:	Excuse me.
context: in such an overt gathering.\You don't wanna do it.\Yuta, if I should appear in such a meeting,\the overwhelming power of Wicked Lord Shingan\will inevitably affect every mortal in my vicinity.\So you're saying you don't wanna do it.\Hey.\Excuse me. response:	The meeting is starting.
context: You don't wanna do it.\Yuta, if I should appear in such a meeting,\the overwhelming power of Wicked Lord Shingan\will inevitably affect every mortal in my vicinity.\So you're saying you don't wanna do it.\Hey.\Excuse me.\The meeting is starting. response:	Maybe you should have gone in with her, Togashi.
context: Yuta, if I should appear in such a meeting,\the overwhelming power of Wicked Lord Shingan\will inevitably affect every mortal in my vicinity.\So you're saying you don't wanna do it.\Hey.\Excuse me.\The meeting is starting.\Maybe you should have gone in with her, Togashi. response:	There's no way I could do that.
context: the overwhelming power of Wicked Lord Shingan\will inevitably affect every mortal in my vicinity.\So you're saying you don't wanna do it.\Hey.\Excuse me.\The meeting is starting.\Maybe you should have gone in with her, Togashi.\There's no way I could do that. response:	Only one delegate from each club can attend.
context: will inevitably affect every mortal in my vicinity.\So you're saying you don't wanna do it.\Hey.\Excuse me.\The meeting is starting.\Maybe you should have gone in with her, Togashi.\There's no way I could do that.\Only one delegate from each club can attend. response:	Master, you are a shining example of a Dark Being!
context: So you're saying you don't wanna do it.\Hey.\Excuse me.\The meeting is starting.\Maybe you should have gone in with her, Togashi.\There's no way I could do that.\Only one delegate from each club can attend.\Master, you are a shining example of a Dark Being! response:	Just look at your all-enveloping deep black aura!
context: Hey.\Excuse me.\The meeting is starting.\Maybe you should have gone in with her, Togashi.\There's no way I could do that.\Only one delegate from each club can attend.\Master, you are a shining example of a Dark Being!\Just look at your all-enveloping deep black aura! response:	No one can touch you now!
context: Excuse me.\The meeting is starting.\Maybe you should have gone in with her, Togashi.\There's no way I could do that.\Only one delegate from each club can attend.\Master, you are a shining example of a Dark Being!\Just look at your all-enveloping deep black aura!\No one can touch you now! response:	She's just nervous.
context: The meeting is starting.\Maybe you should have gone in with her, Togashi.\There's no way I could do that.\Only one delegate from each club can attend.\Master, you are a shining example of a Dark Being!\Just look at your all-enveloping deep black aura!\No one can touch you now!\She's just nervous. response:	I call the delegate from the Far-East Magical Napping...?
context: Maybe you should have gone in with her, Togashi.\There's no way I could do that.\Only one delegate from each club can attend.\Master, you are a shining example of a Dark Being!\Just look at your all-enveloping deep black aura!\No one can touch you now!\She's just nervous.\I call the delegate from the Far-East Magical Napping...? response:	Society...
context: There's no way I could do that.\Only one delegate from each club can attend.\Master, you are a shining example of a Dark Being!\Just look at your all-enveloping deep black aura!\No one can touch you now!\She's just nervous.\I call the delegate from the Far-East Magical Napping...?\Society... response:	That is I. I am here.
context: Only one delegate from each club can attend.\Master, you are a shining example of a Dark Being!\Just look at your all-enveloping deep black aura!\No one can touch you now!\She's just nervous.\I call the delegate from the Far-East Magical Napping...?\Society...\That is I. I am here. response:	Sure. Please describe your club activities.
context: Master, you are a shining example of a Dark Being!\Just look at your all-enveloping deep black aura!\No one can touch you now!\She's just nervous.\I call the delegate from the Far-East Magical Napping...?\Society...\That is I. I am here.\Sure. Please describe your club activities. response:	Unfortunately I am not at liberty to discuss that.
context: Just look at your all-enveloping deep black aura!\No one can touch you now!\She's just nervous.\I call the delegate from the Far-East Magical Napping...?\Society...\That is I. I am here.\Sure. Please describe your club activities.\Unfortunately I am not at liberty to discuss that. response:	Those who have chosen to learn of our society
context: No one can touch you now!\She's just nervous.\I call the delegate from the Far-East Magical Napping...?\Society...\That is I. I am here.\Sure. Please describe your club activities.\Unfortunately I am not at liberty to discuss that.\Those who have chosen to learn of our society response:	have done so in full acceptance of the risks to life and limb...
context: She's just nervous.\I call the delegate from the Far-East Magical Napping...?\Society...\That is I. I am here.\Sure. Please describe your club activities.\Unfortunately I am not at liberty to discuss that.\Those who have chosen to learn of our society\have done so in full acceptance of the risks to life and limb... response:	So you did write a speech for her.
context: I call the delegate from the Far-East Magical Napping...?\Society...\That is I. I am here.\Sure. Please describe your club activities.\Unfortunately I am not at liberty to discuss that.\Those who have chosen to learn of our society\have done so in full acceptance of the risks to life and limb...\So you did write a speech for her. response:	Yes, because we can't let her do the talking.
context: Society...\That is I. I am here.\Sure. Please describe your club activities.\Unfortunately I am not at liberty to discuss that.\Those who have chosen to learn of our society\have done so in full acceptance of the risks to life and limb...\So you did write a speech for her.\Yes, because we can't let her do the talking. response:	We, the Far-East Magical Napping Society - summer thereof...
context: That is I. I am here.\Sure. Please describe your club activities.\Unfortunately I am not at liberty to discuss that.\Those who have chosen to learn of our society\have done so in full acceptance of the risks to life and limb...\So you did write a speech for her.\Yes, because we can't let her do the talking.\We, the Far-East Magical Napping Society - summer thereof... response:	Such commoners!
context: Sure. Please describe your club activities.\Unfortunately I am not at liberty to discuss that.\Those who have chosen to learn of our society\have done so in full acceptance of the risks to life and limb...\So you did write a speech for her.\Yes, because we can't let her do the talking.\We, the Far-East Magical Napping Society - summer thereof...\Such commoners! response:	Those weaker beings were awed speechless
context: Unfortunately I am not at liberty to discuss that.\Those who have chosen to learn of our society\have done so in full acceptance of the risks to life and limb...\So you did write a speech for her.\Yes, because we can't let her do the talking.\We, the Far-East Magical Napping Society - summer thereof...\Such commoners!\Those weaker beings were awed speechless response:	in the presence of Wicked Lord Shingan. Victory!
context: Those who have chosen to learn of our society\have done so in full acceptance of the risks to life and limb...\So you did write a speech for her.\Yes, because we can't let her do the talking.\We, the Far-East Magical Napping Society - summer thereof...\Such commoners!\Those weaker beings were awed speechless\in the presence of Wicked Lord Shingan. Victory! response:	My master! Your dark aura is a force to be reckoned with!
context: have done so in full acceptance of the risks to life and limb...\So you did write a speech for her.\Yes, because we can't let her do the talking.\We, the Far-East Magical Napping Society - summer thereof...\Such commoners!\Those weaker beings were awed speechless\in the presence of Wicked Lord Shingan. Victory!\My master! Your dark aura is a force to be reckoned with! response:	So she was removed from the room without saying anything helpful?
context: So you did write a speech for her.\Yes, because we can't let her do the talking.\We, the Far-East Magical Napping Society - summer thereof...\Such commoners!\Those weaker beings were awed speechless\in the presence of Wicked Lord Shingan. Victory!\My master! Your dark aura is a force to be reckoned with!\So she was removed from the room without saying anything helpful? response:	It's more like she removed herself.
context: Yes, because we can't let her do the talking.\We, the Far-East Magical Napping Society - summer thereof...\Such commoners!\Those weaker beings were awed speechless\in the presence of Wicked Lord Shingan. Victory!\My master! Your dark aura is a force to be reckoned with!\So she was removed from the room without saying anything helpful?\It's more like she removed herself. response:	Based on the historical materials of magic and such...
context: We, the Far-East Magical Napping Society - summer thereof...\Such commoners!\Those weaker beings were awed speechless\in the presence of Wicked Lord Shingan. Victory!\My master! Your dark aura is a force to be reckoned with!\So she was removed from the room without saying anything helpful?\It's more like she removed herself.\Based on the historical materials of magic and such... response:	Can you please speak up?
context: Such commoners!\Those weaker beings were awed speechless\in the presence of Wicked Lord Shingan. Victory!\My master! Your dark aura is a force to be reckoned with!\So she was removed from the room without saying anything helpful?\It's more like she removed herself.\Based on the historical materials of magic and such...\Can you please speak up? response:	I feel ill.
context: Those weaker beings were awed speechless\in the presence of Wicked Lord Shingan. Victory!\My master! Your dark aura is a force to be reckoned with!\So she was removed from the room without saying anything helpful?\It's more like she removed herself.\Based on the historical materials of magic and such...\Can you please speak up?\I feel ill. response:	What?
context: in the presence of Wicked Lord Shingan. Victory!\My master! Your dark aura is a force to be reckoned with!\So she was removed from the room without saying anything helpful?\It's more like she removed herself.\Based on the historical materials of magic and such...\Can you please speak up?\I feel ill.\What? response:	See?
context: My master! Your dark aura is a force to be reckoned with!\So she was removed from the room without saying anything helpful?\It's more like she removed herself.\Based on the historical materials of magic and such...\Can you please speak up?\I feel ill.\What?\See? response:	Why didn't you go in there with her?
context: So she was removed from the room without saying anything helpful?\It's more like she removed herself.\Based on the historical materials of magic and such...\Can you please speak up?\I feel ill.\What?\See?\Why didn't you go in there with her? response:	Because only one person from a club could attend.
context: It's more like she removed herself.\Based on the historical materials of magic and such...\Can you please speak up?\I feel ill.\What?\See?\Why didn't you go in there with her?\Because only one person from a club could attend. response:	That is exactly the time to use the fact that you're a couple.
context: Based on the historical materials of magic and such...\Can you please speak up?\I feel ill.\What?\See?\Why didn't you go in there with her?\Because only one person from a club could attend.\That is exactly the time to use the fact that you're a couple. response:	For example...
context: Can you please speak up?\I feel ill.\What?\See?\Why didn't you go in there with her?\Because only one person from a club could attend.\That is exactly the time to use the fact that you're a couple.\For example... response:	Rikka and I are of one flesh! Only together are we one person!
context: I feel ill.\What?\See?\Why didn't you go in there with her?\Because only one person from a club could attend.\That is exactly the time to use the fact that you're a couple.\For example...\Rikka and I are of one flesh! Only together are we one person! response:	No one must ever...
context: What?\See?\Why didn't you go in there with her?\Because only one person from a club could attend.\That is exactly the time to use the fact that you're a couple.\For example...\Rikka and I are of one flesh! Only together are we one person!\No one must ever... response:	That would be too embarrassing.
context: See?\Why didn't you go in there with her?\Because only one person from a club could attend.\That is exactly the time to use the fact that you're a couple.\For example...\Rikka and I are of one flesh! Only together are we one person!\No one must ever...\That would be too embarrassing. response:	But you two are inseparable. Right?
context: Why didn't you go in there with her?\Because only one person from a club could attend.\That is exactly the time to use the fact that you're a couple.\For example...\Rikka and I are of one flesh! Only together are we one person!\No one must ever...\That would be too embarrassing.\But you two are inseparable. Right? response:	Yeah, you're such lovebirds.
context: Because only one person from a club could attend.\That is exactly the time to use the fact that you're a couple.\For example...\Rikka and I are of one flesh! Only together are we one person!\No one must ever...\That would be too embarrassing.\But you two are inseparable. Right?\Yeah, you're such lovebirds. response:	In what way?!
context: That is exactly the time to use the fact that you're a couple.\For example...\Rikka and I are of one flesh! Only together are we one person!\No one must ever...\That would be too embarrassing.\But you two are inseparable. Right?\Yeah, you're such lovebirds.\In what way?! response:	We really would be ejected if we did that.
context: For example...\Rikka and I are of one flesh! Only together are we one person!\No one must ever...\That would be too embarrassing.\But you two are inseparable. Right?\Yeah, you're such lovebirds.\In what way?!\We really would be ejected if we did that. response:	Good afternoon!
context: Rikka and I are of one flesh! Only together are we one person!\No one must ever...\That would be too embarrassing.\But you two are inseparable. Right?\Yeah, you're such lovebirds.\In what way?!\We really would be ejected if we did that.\Good afternoon! response:	Teacher.
context: No one must ever...\That would be too embarrassing.\But you two are inseparable. Right?\Yeah, you're such lovebirds.\In what way?!\We really would be ejected if we did that.\Good afternoon!\Teacher. response:	What brings you here?
context: That would be too embarrassing.\But you two are inseparable. Right?\Yeah, you're such lovebirds.\In what way?!\We really would be ejected if we did that.\Good afternoon!\Teacher.\What brings you here? response:	A special news bulletin!
context: But you two are inseparable. Right?\Yeah, you're such lovebirds.\In what way?!\We really would be ejected if we did that.\Good afternoon!\Teacher.\What brings you here?\A special news bulletin! response:	The student council?
context: Yeah, you're such lovebirds.\In what way?!\We really would be ejected if we did that.\Good afternoon!\Teacher.\What brings you here?\A special news bulletin!\The student council? response:	Uh-huh. The gist was that you don't appear to be active enough...
context: In what way?!\We really would be ejected if we did that.\Good afternoon!\Teacher.\What brings you here?\A special news bulletin!\The student council?\Uh-huh. The gist was that you don't appear to be active enough... response:	They asked me for my opinion as your advisor.
context: We really would be ejected if we did that.\Good afternoon!\Teacher.\What brings you here?\A special news bulletin!\The student council?\Uh-huh. The gist was that you don't appear to be active enough...\They asked me for my opinion as your advisor. response:	Well, that's no big surprise.
context: Good afternoon!\Teacher.\What brings you here?\A special news bulletin!\The student council?\Uh-huh. The gist was that you don't appear to be active enough...\They asked me for my opinion as your advisor.\Well, that's no big surprise. response:	Hey! Give that back!
context: Teacher.\What brings you here?\A special news bulletin!\The student council?\Uh-huh. The gist was that you don't appear to be active enough...\They asked me for my opinion as your advisor.\Well, that's no big surprise.\Hey! Give that back! response:	So what came of it?
context: What brings you here?\A special news bulletin!\The student council?\Uh-huh. The gist was that you don't appear to be active enough...\They asked me for my opinion as your advisor.\Well, that's no big surprise.\Hey! Give that back!\So what came of it? response:	I told them that I would confirm your club's activities
context: A special news bulletin!\The student council?\Uh-huh. The gist was that you don't appear to be active enough...\They asked me for my opinion as your advisor.\Well, that's no big surprise.\Hey! Give that back!\So what came of it?\I told them that I would confirm your club's activities response:	and make a one-time report.
context: The student council?\Uh-huh. The gist was that you don't appear to be active enough...\They asked me for my opinion as your advisor.\Well, that's no big surprise.\Hey! Give that back!\So what came of it?\I told them that I would confirm your club's activities\and make a one-time report. response:	So, what do you guys do in here?
context: Uh-huh. The gist was that you don't appear to be active enough...\They asked me for my opinion as your advisor.\Well, that's no big surprise.\Hey! Give that back!\So what came of it?\I told them that I would confirm your club's activities\and make a one-time report.\So, what do you guys do in here? response:	You don't know?
context: They asked me for my opinion as your advisor.\Well, that's no big surprise.\Hey! Give that back!\So what came of it?\I told them that I would confirm your club's activities\and make a one-time report.\So, what do you guys do in here?\You don't know? response:	Uh-huh.
context: Well, that's no big surprise.\Hey! Give that back!\So what came of it?\I told them that I would confirm your club's activities\and make a one-time report.\So, what do you guys do in here?\You don't know?\Uh-huh. response:	You are our advisor, right?
context: Hey! Give that back!\So what came of it?\I told them that I would confirm your club's activities\and make a one-time report.\So, what do you guys do in here?\You don't know?\Uh-huh.\You are our advisor, right? response:	That's just it.
context: So what came of it?\I told them that I would confirm your club's activities\and make a one-time report.\So, what do you guys do in here?\You don't know?\Uh-huh.\You are our advisor, right?\That's just it. response:	The student council person asked me the same thing.
context: I told them that I would confirm your club's activities\and make a one-time report.\So, what do you guys do in here?\You don't know?\Uh-huh.\You are our advisor, right?\That's just it.\The student council person asked me the same thing. response:	Oh.
context: and make a one-time report.\So, what do you guys do in here?\You don't know?\Uh-huh.\You are our advisor, right?\That's just it.\The student council person asked me the same thing.\Oh. response:	But you have a magic summoning circle,
context: So, what do you guys do in here?\You don't know?\Uh-huh.\You are our advisor, right?\That's just it.\The student council person asked me the same thing.\Oh.\But you have a magic summoning circle, response:	so I'm sure you do magic-type things.
context: You don't know?\Uh-huh.\You are our advisor, right?\That's just it.\The student council person asked me the same thing.\Oh.\But you have a magic summoning circle,\so I'm sure you do magic-type things. response:	Let go of that!
context: Uh-huh.\You are our advisor, right?\That's just it.\The student council person asked me the same thing.\Oh.\But you have a magic summoning circle,\so I'm sure you do magic-type things.\Let go of that! response:	Mjolnir Tornado!
context: You are our advisor, right?\That's just it.\The student council person asked me the same thing.\Oh.\But you have a magic summoning circle,\so I'm sure you do magic-type things.\Let go of that!\Mjolnir Tornado! response:	Or not.
context: That's just it.\The student council person asked me the same thing.\Oh.\But you have a magic summoning circle,\so I'm sure you do magic-type things.\Let go of that!\Mjolnir Tornado!\Or not. response:	True.
context: The student council person asked me the same thing.\Oh.\But you have a magic summoning circle,\so I'm sure you do magic-type things.\Let go of that!\Mjolnir Tornado!\Or not.\True. response:	But I nap.
context: Oh.\But you have a magic summoning circle,\so I'm sure you do magic-type things.\Let go of that!\Mjolnir Tornado!\Or not.\True.\But I nap. response:	You're awake?
context: But you have a magic summoning circle,\so I'm sure you do magic-type things.\Let go of that!\Mjolnir Tornado!\Or not.\True.\But I nap.\You're awake? response:	Yeah.
context: so I'm sure you do magic-type things.\Let go of that!\Mjolnir Tornado!\Or not.\True.\But I nap.\You're awake?\Yeah. response:	Nap?
context: Let go of that!\Mjolnir Tornado!\Or not.\True.\But I nap.\You're awake?\Yeah.\Nap? response:	Yes. It's even in the name, see?
context: Mjolnir Tornado!\Or not.\True.\But I nap.\You're awake?\Yeah.\Nap?\Yes. It's even in the name, see? response:	The Napping Society - summer thereof.
context: Or not.\True.\But I nap.\You're awake?\Yeah.\Nap?\Yes. It's even in the name, see?\The Napping Society - summer thereof. response:	You're right. Does that mean you're also a napping club?
context: True.\But I nap.\You're awake?\Yeah.\Nap?\Yes. It's even in the name, see?\The Napping Society - summer thereof.\You're right. Does that mean you're also a napping club? response:	Yes.
context: But I nap.\You're awake?\Yeah.\Nap?\Yes. It's even in the name, see?\The Napping Society - summer thereof.\You're right. Does that mean you're also a napping club?\Yes. response:	I doubt that classifying our magical society
context: You're awake?\Yeah.\Nap?\Yes. It's even in the name, see?\The Napping Society - summer thereof.\You're right. Does that mean you're also a napping club?\Yes.\I doubt that classifying our magical society response:	as a napping society will help our case much.
context: Yeah.\Nap?\Yes. It's even in the name, see?\The Napping Society - summer thereof.\You're right. Does that mean you're also a napping club?\Yes.\I doubt that classifying our magical society\as a napping society will help our case much. response:	You're wrong.
context: Nap?\Yes. It's even in the name, see?\The Napping Society - summer thereof.\You're right. Does that mean you're also a napping club?\Yes.\I doubt that classifying our magical society\as a napping society will help our case much.\You're wrong. response:	Napping Competition (search)
context: Yes. It's even in the name, see?\The Napping Society - summer thereof.\You're right. Does that mean you're also a napping club?\Yes.\I doubt that classifying our magical society\as a napping society will help our case much.\You're wrong.\Napping Competition (search) response:	Napping clubs are perfectly acceptable.
context: The Napping Society - summer thereof.\You're right. Does that mean you're also a napping club?\Yes.\I doubt that classifying our magical society\as a napping society will help our case much.\You're wrong.\Napping Competition (search)\Napping clubs are perfectly acceptable. response:	10 Ways to Win a Napping Tournament The Napping Olympics Expo
context: You're right. Does that mean you're also a napping club?\Yes.\I doubt that classifying our magical society\as a napping society will help our case much.\You're wrong.\Napping Competition (search)\Napping clubs are perfectly acceptable.\10 Ways to Win a Napping Tournament The Napping Olympics Expo response:	There is such a thing as championship napping?
context: Yes.\I doubt that classifying our magical society\as a napping society will help our case much.\You're wrong.\Napping Competition (search)\Napping clubs are perfectly acceptable.\10 Ways to Win a Napping Tournament The Napping Olympics Expo\There is such a thing as championship napping? response:	Yes. In Europe, they even hold tournaments as a competitive sport.
context: I doubt that classifying our magical society\as a napping society will help our case much.\You're wrong.\Napping Competition (search)\Napping clubs are perfectly acceptable.\10 Ways to Win a Napping Tournament The Napping Olympics Expo\There is such a thing as championship napping?\Yes. In Europe, they even hold tournaments as a competitive sport. response:	Registering Now For This Year's Participants
context: as a napping society will help our case much.\You're wrong.\Napping Competition (search)\Napping clubs are perfectly acceptable.\10 Ways to Win a Napping Tournament The Napping Olympics Expo\There is such a thing as championship napping?\Yes. In Europe, they even hold tournaments as a competitive sport.\Registering Now For This Year's Participants response:	How do you determine the merits of a nap?
context: You're wrong.\Napping Competition (search)\Napping clubs are perfectly acceptable.\10 Ways to Win a Napping Tournament The Napping Olympics Expo\There is such a thing as championship napping?\Yes. In Europe, they even hold tournaments as a competitive sport.\Registering Now For This Year's Participants\How do you determine the merits of a nap? response:	Well, the total score is based on...
context: Napping Competition (search)\Napping clubs are perfectly acceptable.\10 Ways to Win a Napping Tournament The Napping Olympics Expo\There is such a thing as championship napping?\Yes. In Europe, they even hold tournaments as a competitive sport.\Registering Now For This Year's Participants\How do you determine the merits of a nap?\Well, the total score is based on... response:	You knew about this, Kumin-senpai?
