context: The moon is beautiful, isn't it? response:	Yes. It really soothes the heart.
context: Wow, this is so beautiful!\Our Undine is adorable, too!\T-T-Thank you very much.\Hey, hey. Isn't that the Bridge of Sighs?\Yeah, I'm pretty sure it was in the guidebook.\Up ahead is the Bridge of Sighs.\Ah, I knew it!\Because it's so beautiful it makes you want to sigh! response:	No, its name actually comes from Manhome, back when prisoners had to cross this bridge...
context: Our Undine is adorable, too!\T-T-Thank you very much.\Hey, hey. Isn't that the Bridge of Sighs?\Yeah, I'm pretty sure it was in the guidebook.\Up ahead is the Bridge of Sighs.\Ah, I knew it!\Because it's so beautiful it makes you want to sigh!\No, its name actually comes from Manhome, back when prisoners had to cross this bridge... response:	It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw...
context: T-T-Thank you very much.\Hey, hey. Isn't that the Bridge of Sighs?\Yeah, I'm pretty sure it was in the guidebook.\Up ahead is the Bridge of Sighs.\Ah, I knew it!\Because it's so beautiful it makes you want to sigh!\No, its name actually comes from Manhome, back when prisoners had to cross this bridge...\It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw... response:	It's the sea!
context: Hey, hey. Isn't that the Bridge of Sighs?\Yeah, I'm pretty sure it was in the guidebook.\Up ahead is the Bridge of Sighs.\Ah, I knew it!\Because it's so beautiful it makes you want to sigh!\No, its name actually comes from Manhome, back when prisoners had to cross this bridge...\It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw...\It's the sea! response:	It's so pretty!
context: Yeah, I'm pretty sure it was in the guidebook.\Up ahead is the Bridge of Sighs.\Ah, I knew it!\Because it's so beautiful it makes you want to sigh!\No, its name actually comes from Manhome, back when prisoners had to cross this bridge...\It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw...\It's the sea!\It's so pretty! response:	I'm glad we came here.
context: Up ahead is the Bridge of Sighs.\Ah, I knew it!\Because it's so beautiful it makes you want to sigh!\No, its name actually comes from Manhome, back when prisoners had to cross this bridge...\It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw...\It's the sea!\It's so pretty!\I'm glad we came here. response:	Definitely!
context: Ah, I knew it!\Because it's so beautiful it makes you want to sigh!\No, its name actually comes from Manhome, back when prisoners had to cross this bridge...\It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw...\It's the sea!\It's so pretty!\I'm glad we came here.\Definitely! response:	Geez, could she be any more stiff?
context: Because it's so beautiful it makes you want to sigh!\No, its name actually comes from Manhome, back when prisoners had to cross this bridge...\It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw...\It's the sea!\It's so pretty!\I'm glad we came here.\Definitely!\Geez, could she be any more stiff? response:	Alice...
context: No, its name actually comes from Manhome, back when prisoners had to cross this bridge...\It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw...\It's the sea!\It's so pretty!\I'm glad we came here.\Definitely!\Geez, could she be any more stiff?\Alice... response:	It looks like she has a clothes hanger for shoulders.
context: It's the sea!...after receiving their sentence at Doge's Palace, and they would let out a deep sigh when they saw...\It's the sea!\It's so pretty!\I'm glad we came here.\Definitely!\Geez, could she be any more stiff?\Alice...\It looks like she has a clothes hanger for shoulders. response:	I had such a good time.
context: It's the sea!\It's so pretty!\I'm glad we came here.\Definitely!\Geez, could she be any more stiff?\Alice...\It looks like she has a clothes hanger for shoulders.\I had such a good time. response:	Me, too. We'll definitely come again!
context: It's so pretty!\I'm glad we came here.\Definitely!\Geez, could she be any more stiff?\Alice...\It looks like she has a clothes hanger for shoulders.\I had such a good time.\Me, too. We'll definitely come again! response:	Thank you very much!
context: I'm glad we came here.\Definitely!\Geez, could she be any more stiff?\Alice...\It looks like she has a clothes hanger for shoulders.\I had such a good time.\Me, too. We'll definitely come again!\Thank you very much! response:	At any rate, it seems like she was able to satisfy her customers.
context: Definitely!\Geez, could she be any more stiff?\Alice...\It looks like she has a clothes hanger for shoulders.\I had such a good time.\Me, too. We'll definitely come again!\Thank you very much!\At any rate, it seems like she was able to satisfy her customers. response:	Thank goodness.
context: Geez, could she be any more stiff?\Alice...\It looks like she has a clothes hanger for shoulders.\I had such a good time.\Me, too. We'll definitely come again!\Thank you very much!\At any rate, it seems like she was able to satisfy her customers.\Thank goodness. response:	I'm sorry, President Aria!
context: Alice...\It looks like she has a clothes hanger for shoulders.\I had such a good time.\Me, too. We'll definitely come again!\Thank you very much!\At any rate, it seems like she was able to satisfy her customers.\Thank goodness.\I'm sorry, President Aria! response:	President Aria, please hold it in!
context: It looks like she has a clothes hanger for shoulders.\I had such a good time.\Me, too. We'll definitely come again!\Thank you very much!\At any rate, it seems like she was able to satisfy her customers.\Thank goodness.\I'm sorry, President Aria!\President Aria, please hold it in! response:	Alice will notice we're here!
context: I had such a good time.\Me, too. We'll definitely come again!\Thank you very much!\At any rate, it seems like she was able to satisfy her customers.\Thank goodness.\I'm sorry, President Aria!\President Aria, please hold it in!\Alice will notice we're here! response:	I really already noticed you. What are you doing here?
context: Me, too. We'll definitely come again!\Thank you very much!\At any rate, it seems like she was able to satisfy her customers.\Thank goodness.\I'm sorry, President Aria!\President Aria, please hold it in!\Alice will notice we're here!\I really already noticed you. What are you doing here? response:	Umm! We just happened to be passing by...
context: Thank you very much!\At any rate, it seems like she was able to satisfy her customers.\Thank goodness.\I'm sorry, President Aria!\President Aria, please hold it in!\Alice will notice we're here!\I really already noticed you. What are you doing here?\Umm! We just happened to be passing by... response:	Right! We just happened to see you while you were working and decided to watch...
context: At any rate, it seems like she was able to satisfy her customers.\Thank goodness.\I'm sorry, President Aria!\President Aria, please hold it in!\Alice will notice we're here!\I really already noticed you. What are you doing here?\Umm! We just happened to be passing by...\Right! We just happened to see you while you were working and decided to watch... response:	You two... watched me... while I was working...
context: Thank goodness.\I'm sorry, President Aria!\President Aria, please hold it in!\Alice will notice we're here!\I really already noticed you. What are you doing here?\Umm! We just happened to be passing by...\Right! We just happened to see you while you were working and decided to watch...\You two... watched me... while I was working... response:	But, you know... You seem to have managed it okay!
context: I'm sorry, President Aria!\President Aria, please hold it in!\Alice will notice we're here!\I really already noticed you. What are you doing here?\Umm! We just happened to be passing by...\Right! We just happened to see you while you were working and decided to watch...\You two... watched me... while I was working...\But, you know... You seem to have managed it okay! response:	Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats.
context: President Aria, please hold it in!\Alice will notice we're here!\I really already noticed you. What are you doing here?\Umm! We just happened to be passing by...\Right! We just happened to see you while you were working and decided to watch...\You two... watched me... while I was working...\But, you know... You seem to have managed it okay!\Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats. response:	Athena would have done the same...
context: Alice will notice we're here!\I really already noticed you. What are you doing here?\Umm! We just happened to be passing by...\Right! We just happened to see you while you were working and decided to watch...\You two... watched me... while I was working...\But, you know... You seem to have managed it okay!\Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats.\Athena would have done the same... response:	You've been watching me for that long?
context: I really already noticed you. What are you doing here?\Umm! We just happened to be passing by...\Right! We just happened to see you while you were working and decided to watch...\You two... watched me... while I was working...\But, you know... You seem to have managed it okay!\Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats.\Athena would have done the same...\You've been watching me for that long? response:	Spying on me is really not allowed!
context: Umm! We just happened to be passing by...\Right! We just happened to see you while you were working and decided to watch...\You two... watched me... while I was working...\But, you know... You seem to have managed it okay!\Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats.\Athena would have done the same...\You've been watching me for that long?\Spying on me is really not allowed! response:	Right... Right...
context: Right! We just happened to see you while you were working and decided to watch...\You two... watched me... while I was working...\But, you know... You seem to have managed it okay!\Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats.\Athena would have done the same...\You've been watching me for that long?\Spying on me is really not allowed!\Right... Right... response:	But...
context: You two... watched me... while I was working...\But, you know... You seem to have managed it okay!\Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats.\Athena would have done the same...\You've been watching me for that long?\Spying on me is really not allowed!\Right... Right...\But... response:	Please tell me honestly what you thought!
context: But, you know... You seem to have managed it okay!\Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats.\Athena would have done the same...\You've been watching me for that long?\Spying on me is really not allowed!\Right... Right...\But...\Please tell me honestly what you thought! response:	Well, my thought was that you looked like a toy robot.
context: Yeah! It was very thoughtful of you to back up, so that gentleman could see those cats.\Athena would have done the same...\You've been watching me for that long?\Spying on me is really not allowed!\Right... Right...\But...\Please tell me honestly what you thought!\Well, my thought was that you looked like a toy robot. response:	A robot?
context: Athena would have done the same...\You've been watching me for that long?\Spying on me is really not allowed!\Right... Right...\But...\Please tell me honestly what you thought!\Well, my thought was that you looked like a toy robot.\A robot? response:	Your shoulders were so tense...
context: You've been watching me for that long?\Spying on me is really not allowed!\Right... Right...\But...\Please tell me honestly what you thought!\Well, my thought was that you looked like a toy robot.\A robot?\Your shoulders were so tense... response:	This is how you looked.
context: Spying on me is really not allowed!\Right... Right...\But...\Please tell me honestly what you thought!\Well, my thought was that you looked like a toy robot.\A robot?\Your shoulders were so tense...\This is how you looked. response:	That's a zombie. This is how you looked.
context: Right... Right...\But...\Please tell me honestly what you thought!\Well, my thought was that you looked like a toy robot.\A robot?\Your shoulders were so tense...\This is how you looked.\That's a zombie. This is how you looked. response:	That's a zombie.
context: But...\Please tell me honestly what you thought!\Well, my thought was that you looked like a toy robot.\A robot?\Your shoulders were so tense...\This is how you looked.\That's a zombie. This is how you looked.\That's a zombie. response:	Wha-?!
context: Please tell me honestly what you thought!\Well, my thought was that you looked like a toy robot.\A robot?\Your shoulders were so tense...\This is how you looked.\That's a zombie. This is how you looked.\That's a zombie.\Wha-?! response:	Aika...
context: Well, my thought was that you looked like a toy robot.\A robot?\Your shoulders were so tense...\This is how you looked.\That's a zombie. This is how you looked.\That's a zombie.\Wha-?!\Aika... response:	You know there's no time to be depressed, right?
context: A robot?\Your shoulders were so tense...\This is how you looked.\That's a zombie. This is how you looked.\That's a zombie.\Wha-?!\Aika...\You know there's no time to be depressed, right? response:	You're a Prima now.
context: Your shoulders were so tense...\This is how you looked.\That's a zombie. This is how you looked.\That's a zombie.\Wha-?!\Aika...\You know there's no time to be depressed, right?\You're a Prima now. response:	I know!
context: This is how you looked.\That's a zombie. This is how you looked.\That's a zombie.\Wha-?!\Aika...\You know there's no time to be depressed, right?\You're a Prima now.\I know! response:	Why don't we have a moon-gazing party tonight?
context: That's a zombie. This is how you looked.\That's a zombie.\Wha-?!\Aika...\You know there's no time to be depressed, right?\You're a Prima now.\I know!\Why don't we have a moon-gazing party tonight? response:	Moon-gazing?
context: That's a zombie.\Wha-?!\Aika...\You know there's no time to be depressed, right?\You're a Prima now.\I know!\Why don't we have a moon-gazing party tonight?\Moon-gazing? response:	Yeah!
context: Wha-?!\Aika...\You know there's no time to be depressed, right?\You're a Prima now.\I know!\Why don't we have a moon-gazing party tonight?\Moon-gazing?\Yeah! response:	It's fall now, and the weather's nice today.
context: Aika...\You know there's no time to be depressed, right?\You're a Prima now.\I know!\Why don't we have a moon-gazing party tonight?\Moon-gazing?\Yeah!\It's fall now, and the weather's nice today. response:	I'm sure the moon will look really beautiful!
context: You know there's no time to be depressed, right?\You're a Prima now.\I know!\Why don't we have a moon-gazing party tonight?\Moon-gazing?\Yeah!\It's fall now, and the weather's nice today.\I'm sure the moon will look really beautiful! response:	Moon-gazing...
context: You're a Prima now.\I know!\Why don't we have a moon-gazing party tonight?\Moon-gazing?\Yeah!\It's fall now, and the weather's nice today.\I'm sure the moon will look really beautiful!\Moon-gazing... response:	This... is the first time I've ever been moon-gazing.
context: I know!\Why don't we have a moon-gazing party tonight?\Moon-gazing?\Yeah!\It's fall now, and the weather's nice today.\I'm sure the moon will look really beautiful!\Moon-gazing...\This... is the first time I've ever been moon-gazing. response:	It's not a tradition we have here on Aqua.
context: Why don't we have a moon-gazing party tonight?\Moon-gazing?\Yeah!\It's fall now, and the weather's nice today.\I'm sure the moon will look really beautiful!\Moon-gazing...\This... is the first time I've ever been moon-gazing.\It's not a tradition we have here on Aqua. response:	Why are we having dumplings at our moon-gazing party?
context: Moon-gazing?\Yeah!\It's fall now, and the weather's nice today.\I'm sure the moon will look really beautiful!\Moon-gazing...\This... is the first time I've ever been moon-gazing.\It's not a tradition we have here on Aqua.\Why are we having dumplings at our moon-gazing party? response:	They're supposed to be symbolic of Manhome's moon.
context: Yeah!\It's fall now, and the weather's nice today.\I'm sure the moon will look really beautiful!\Moon-gazing...\This... is the first time I've ever been moon-gazing.\It's not a tradition we have here on Aqua.\Why are we having dumplings at our moon-gazing party?\They're supposed to be symbolic of Manhome's moon. response:	Well, in that case...
context: It's fall now, and the weather's nice today.\I'm sure the moon will look really beautiful!\Moon-gazing...\This... is the first time I've ever been moon-gazing.\It's not a tradition we have here on Aqua.\Why are we having dumplings at our moon-gazing party?\They're supposed to be symbolic of Manhome's moon.\Well, in that case... response:	I'll have some, too.
context: I'm sure the moon will look really beautiful!\Moon-gazing...\This... is the first time I've ever been moon-gazing.\It's not a tradition we have here on Aqua.\Why are we having dumplings at our moon-gazing party?\They're supposed to be symbolic of Manhome's moon.\Well, in that case...\I'll have some, too. response:	Ah! Eating two at once is no fair!
context: Moon-gazing...\This... is the first time I've ever been moon-gazing.\It's not a tradition we have here on Aqua.\Why are we having dumplings at our moon-gazing party?\They're supposed to be symbolic of Manhome's moon.\Well, in that case...\I'll have some, too.\Ah! Eating two at once is no fair! response:	Wha-?!
context: This... is the first time I've ever been moon-gazing.\It's not a tradition we have here on Aqua.\Why are we having dumplings at our moon-gazing party?\They're supposed to be symbolic of Manhome's moon.\Well, in that case...\I'll have some, too.\Ah! Eating two at once is no fair!\Wha-?! response:	Then, I'll have four at once!
context: It's not a tradition we have here on Aqua.\Why are we having dumplings at our moon-gazing party?\They're supposed to be symbolic of Manhome's moon.\Well, in that case...\I'll have some, too.\Ah! Eating two at once is no fair!\Wha-?!\Then, I'll have four at once! response:	You can't beat me!
context: Why are we having dumplings at our moon-gazing party?\They're supposed to be symbolic of Manhome's moon.\Well, in that case...\I'll have some, too.\Ah! Eating two at once is no fair!\Wha-?!\Then, I'll have four at once!\You can't beat me! response:	Don't be so sure!
context: They're supposed to be symbolic of Manhome's moon.\Well, in that case...\I'll have some, too.\Ah! Eating two at once is no fair!\Wha-?!\Then, I'll have four at once!\You can't beat me!\Don't be so sure! response:	N-No more dumplings allowed!
context: Well, in that case...\I'll have some, too.\Ah! Eating two at once is no fair!\Wha-?!\Then, I'll have four at once!\You can't beat me!\Don't be so sure!\N-No more dumplings allowed! response:	You're really a glutton!
context: I'll have some, too.\Ah! Eating two at once is no fair!\Wha-?!\Then, I'll have four at once!\You can't beat me!\Don't be so sure!\N-No more dumplings allowed!\You're really a glutton! response:	Pudgy-wudgy tummy...
context: Ah! Eating two at once is no fair!\Wha-?!\Then, I'll have four at once!\You can't beat me!\Don't be so sure!\N-No more dumplings allowed!\You're really a glutton!\Pudgy-wudgy tummy... response:	President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling!
context: Wha-?!\Then, I'll have four at once!\You can't beat me!\Don't be so sure!\N-No more dumplings allowed!\You're really a glutton!\Pudgy-wudgy tummy...\President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling! response:	This is the brown rice tea that the postman recommended.
context: Then, I'll have four at once!\You can't beat me!\Don't be so sure!\N-No more dumplings allowed!\You're really a glutton!\Pudgy-wudgy tummy...\President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling!\This is the brown rice tea that the postman recommended. response:	It's delicious.
context: You can't beat me!\Don't be so sure!\N-No more dumplings allowed!\You're really a glutton!\Pudgy-wudgy tummy...\President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling!\This is the brown rice tea that the postman recommended.\It's delicious. response:	The season when warm drinks taste great is finally here, isn't it?
context: Don't be so sure!\N-No more dumplings allowed!\You're really a glutton!\Pudgy-wudgy tummy...\President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling!\This is the brown rice tea that the postman recommended.\It's delicious.\The season when warm drinks taste great is finally here, isn't it? response:	Come to think of it, Al is late, isn't he?
context: N-No more dumplings allowed!\You're really a glutton!\Pudgy-wudgy tummy...\President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling!\This is the brown rice tea that the postman recommended.\It's delicious.\The season when warm drinks taste great is finally here, isn't it?\Come to think of it, Al is late, isn't he? response:	Since when was Al supposed to join us?
