context: Episode 8 The Pocket Watch response:	Good morning.
context: The latch on the gate is broken, so he's gone to buy a new one.\I see...\It's stopped again...\It stops so often these days.\For years, I would wind it 1 5 times every morning.\I have to wind it more these days, since I haven't been using it.\Um...\Shall I take it in to be mended, ma'am? response:	Yes...
context: I see...\It's stopped again...\It stops so often these days.\For years, I would wind it 1 5 times every morning.\I have to wind it more these days, since I haven't been using it.\Um...\Shall I take it in to be mended, ma'am?\Yes... response:	Please do.
context: It's stopped again...\It stops so often these days.\For years, I would wind it 1 5 times every morning.\I have to wind it more these days, since I haven't been using it.\Um...\Shall I take it in to be mended, ma'am?\Yes...\Please do. response:	Yes, ma'am.
context: It stops so often these days.\For years, I would wind it 1 5 times every morning.\I have to wind it more these days, since I haven't been using it.\Um...\Shall I take it in to be mended, ma'am?\Yes...\Please do.\Yes, ma'am. response:	Oh? Your mistress has hurt her leg?
context: For years, I would wind it 1 5 times every morning.\I have to wind it more these days, since I haven't been using it.\Um...\Shall I take it in to be mended, ma'am?\Yes...\Please do.\Yes, ma'am.\Oh? Your mistress has hurt her leg? response:	Yes...
context: I have to wind it more these days, since I haven't been using it.\Um...\Shall I take it in to be mended, ma'am?\Yes...\Please do.\Yes, ma'am.\Oh? Your mistress has hurt her leg?\Yes... response:	Even when my father fell into the Thames years ago, he lived through it, hardy as ever.
context: Um...\Shall I take it in to be mended, ma'am?\Yes...\Please do.\Yes, ma'am.\Oh? Your mistress has hurt her leg?\Yes...\Even when my father fell into the Thames years ago, he lived through it, hardy as ever. response:	But when he hurt his leg, it wasn't long before he died.
context: Shall I take it in to be mended, ma'am?\Yes...\Please do.\Yes, ma'am.\Oh? Your mistress has hurt her leg?\Yes...\Even when my father fell into the Thames years ago, he lived through it, hardy as ever.\But when he hurt his leg, it wasn't long before he died. response:	You'll have to leave this with me.
context: Yes...\Please do.\Yes, ma'am.\Oh? Your mistress has hurt her leg?\Yes...\Even when my father fell into the Thames years ago, he lived through it, hardy as ever.\But when he hurt his leg, it wasn't long before he died.\You'll have to leave this with me. response:	Yes...
context: Please do.\Yes, ma'am.\Oh? Your mistress has hurt her leg?\Yes...\Even when my father fell into the Thames years ago, he lived through it, hardy as ever.\But when he hurt his leg, it wasn't long before he died.\You'll have to leave this with me.\Yes... response:	They would often come here together, when her husband was alive...
context: Yes, ma'am.\Oh? Your mistress has hurt her leg?\Yes...\Even when my father fell into the Thames years ago, he lived through it, hardy as ever.\But when he hurt his leg, it wasn't long before he died.\You'll have to leave this with me.\Yes...\They would often come here together, when her husband was alive... response:	All right. My regards to your mistress. I hope she gets well soon.
context: Oh? Your mistress has hurt her leg?\Yes...\Even when my father fell into the Thames years ago, he lived through it, hardy as ever.\But when he hurt his leg, it wasn't long before he died.\You'll have to leave this with me.\Yes...\They would often come here together, when her husband was alive...\All right. My regards to your mistress. I hope she gets well soon. response:	Yes...
context: Yes...\Even when my father fell into the Thames years ago, he lived through it, hardy as ever.\But when he hurt his leg, it wasn't long before he died.\You'll have to leave this with me.\Yes...\They would often come here together, when her husband was alive...\All right. My regards to your mistress. I hope she gets well soon.\Yes... response:	I will keep trying to convince my father until he understands how serious we are.
context: Even when my father fell into the Thames years ago, he lived through it, hardy as ever.\But when he hurt his leg, it wasn't long before he died.\You'll have to leave this with me.\Yes...\They would often come here together, when her husband was alive...\All right. My regards to your mistress. I hope she gets well soon.\Yes...\I will keep trying to convince my father until he understands how serious we are. response:	PIease, I want you to trust me and wait for me...
context: But when he hurt his leg, it wasn't long before he died.\You'll have to leave this with me.\Yes...\They would often come here together, when her husband was alive...\All right. My regards to your mistress. I hope she gets well soon.\Yes...\I will keep trying to convince my father until he understands how serious we are.\PIease, I want you to trust me and wait for me... response:	Master William?
context: You'll have to leave this with me.\Yes...\They would often come here together, when her husband was alive...\All right. My regards to your mistress. I hope she gets well soon.\Yes...\I will keep trying to convince my father until he understands how serious we are.\PIease, I want you to trust me and wait for me...\Master William? response:	Can you inform me when my father returns?
context: Yes...\They would often come here together, when her husband was alive...\All right. My regards to your mistress. I hope she gets well soon.\Yes...\I will keep trying to convince my father until he understands how serious we are.\PIease, I want you to trust me and wait for me...\Master William?\Can you inform me when my father returns? response:	I'll be downstairs.
context: They would often come here together, when her husband was alive...\All right. My regards to your mistress. I hope she gets well soon.\Yes...\I will keep trying to convince my father until he understands how serious we are.\PIease, I want you to trust me and wait for me...\Master William?\Can you inform me when my father returns?\I'll be downstairs. response:	Understood, sir.
context: All right. My regards to your mistress. I hope she gets well soon.\Yes...\I will keep trying to convince my father until he understands how serious we are.\PIease, I want you to trust me and wait for me...\Master William?\Can you inform me when my father returns?\I'll be downstairs.\Understood, sir. response:	Where's lndia?
context: Yes...\I will keep trying to convince my father until he understands how serious we are.\PIease, I want you to trust me and wait for me...\Master William?\Can you inform me when my father returns?\I'll be downstairs.\Understood, sir.\Where's lndia? response:	Who knows?
context: I will keep trying to convince my father until he understands how serious we are.\PIease, I want you to trust me and wait for me...\Master William?\Can you inform me when my father returns?\I'll be downstairs.\Understood, sir.\Where's lndia?\Who knows? response:	So, Prince Hakim, you think lndian women are the most beautiful, right?
context: PIease, I want you to trust me and wait for me...\Master William?\Can you inform me when my father returns?\I'll be downstairs.\Understood, sir.\Where's lndia?\Who knows?\So, Prince Hakim, you think lndian women are the most beautiful, right? response:	Vivi!
context: Master William?\Can you inform me when my father returns?\I'll be downstairs.\Understood, sir.\Where's lndia?\Who knows?\So, Prince Hakim, you think lndian women are the most beautiful, right?\Vivi! response:	No. I used to think they were...
context: Can you inform me when my father returns?\I'll be downstairs.\Understood, sir.\Where's lndia?\Who knows?\So, Prince Hakim, you think lndian women are the most beautiful, right?\Vivi!\No. I used to think they were... response:	I've come around.
context: I'll be downstairs.\Understood, sir.\Where's lndia?\Who knows?\So, Prince Hakim, you think lndian women are the most beautiful, right?\Vivi!\No. I used to think they were...\I've come around. response:	Prince Hakim...
context: Understood, sir.\Where's lndia?\Who knows?\So, Prince Hakim, you think lndian women are the most beautiful, right?\Vivi!\No. I used to think they were...\I've come around.\Prince Hakim... response:	English women are all so very beautiful.
context: Where's lndia?\Who knows?\So, Prince Hakim, you think lndian women are the most beautiful, right?\Vivi!\No. I used to think they were...\I've come around.\Prince Hakim...\English women are all so very beautiful. response:	Why, Prince Hakim...
context: Who knows?\So, Prince Hakim, you think lndian women are the most beautiful, right?\Vivi!\No. I used to think they were...\I've come around.\Prince Hakim...\English women are all so very beautiful.\Why, Prince Hakim... response:	Eh?
context: So, Prince Hakim, you think lndian women are the most beautiful, right?\Vivi!\No. I used to think they were...\I've come around.\Prince Hakim...\English women are all so very beautiful.\Why, Prince Hakim...\Eh? response:	I'm honored. But I'm afraid I'm already spoken for.
context: Vivi!\No. I used to think they were...\I've come around.\Prince Hakim...\English women are all so very beautiful.\Why, Prince Hakim...\Eh?\I'm honored. But I'm afraid I'm already spoken for. response:	Such a shame.
context: No. I used to think they were...\I've come around.\Prince Hakim...\English women are all so very beautiful.\Why, Prince Hakim...\Eh?\I'm honored. But I'm afraid I'm already spoken for.\Such a shame. response:	Sister gets all the attention!
context: I've come around.\Prince Hakim...\English women are all so very beautiful.\Why, Prince Hakim...\Eh?\I'm honored. But I'm afraid I'm already spoken for.\Such a shame.\Sister gets all the attention! response:	Will...
context: Prince Hakim...\English women are all so very beautiful.\Why, Prince Hakim...\Eh?\I'm honored. But I'm afraid I'm already spoken for.\Such a shame.\Sister gets all the attention!\Will... response:	Yes?
context: English women are all so very beautiful.\Why, Prince Hakim...\Eh?\I'm honored. But I'm afraid I'm already spoken for.\Such a shame.\Sister gets all the attention!\Will...\Yes? response:	Where's lndia?
context: Why, Prince Hakim...\Eh?\I'm honored. But I'm afraid I'm already spoken for.\Such a shame.\Sister gets all the attention!\Will...\Yes?\Where's lndia? response:	Where?
context: Eh?\I'm honored. But I'm afraid I'm already spoken for.\Such a shame.\Sister gets all the attention!\Will...\Yes?\Where's lndia?\Where? response:	Let's have a look.
context: I'm honored. But I'm afraid I'm already spoken for.\Such a shame.\Sister gets all the attention!\Will...\Yes?\Where's lndia?\Where?\Let's have a look. response:	By the way, brother...
context: Such a shame.\Sister gets all the attention!\Will...\Yes?\Where's lndia?\Where?\Let's have a look.\By the way, brother... response:	You've been sending a lot of letters recently!
context: Sister gets all the attention!\Will...\Yes?\Where's lndia?\Where?\Let's have a look.\By the way, brother...\You've been sending a lot of letters recently! response:	Letters? To whom?
context: Will...\Yes?\Where's lndia?\Where?\Let's have a look.\By the way, brother...\You've been sending a lot of letters recently!\Letters? To whom? response:	Isn't it obvious? To Eleanor!
context: Yes?\Where's lndia?\Where?\Let's have a look.\By the way, brother...\You've been sending a lot of letters recently!\Letters? To whom?\Isn't it obvious? To Eleanor! response:	Eleanor?
context: Where's lndia?\Where?\Let's have a look.\By the way, brother...\You've been sending a lot of letters recently!\Letters? To whom?\Isn't it obvious? To Eleanor!\Eleanor? response:	Those are letters for work.
context: Where?\Let's have a look.\By the way, brother...\You've been sending a lot of letters recently!\Letters? To whom?\Isn't it obvious? To Eleanor!\Eleanor?\Those are letters for work. response:	But if they aren't for Eleanor, then who?
context: Let's have a look.\By the way, brother...\You've been sending a lot of letters recently!\Letters? To whom?\Isn't it obvious? To Eleanor!\Eleanor?\Those are letters for work.\But if they aren't for Eleanor, then who? response:	I told you, they're for business.
context: By the way, brother...\You've been sending a lot of letters recently!\Letters? To whom?\Isn't it obvious? To Eleanor!\Eleanor?\Those are letters for work.\But if they aren't for Eleanor, then who?\I told you, they're for business. response:	Emma...
context: You've been sending a lot of letters recently!\Letters? To whom?\Isn't it obvious? To Eleanor!\Eleanor?\Those are letters for work.\But if they aren't for Eleanor, then who?\I told you, they're for business.\Emma... response:	Hakim...
context: Letters? To whom?\Isn't it obvious? To Eleanor!\Eleanor?\Those are letters for work.\But if they aren't for Eleanor, then who?\I told you, they're for business.\Emma...\Hakim... response:	Emma?
context: Isn't it obvious? To Eleanor!\Eleanor?\Those are letters for work.\But if they aren't for Eleanor, then who?\I told you, they're for business.\Emma...\Hakim...\Emma? response:	Who's that? What kind of person is she?
context: Eleanor?\Those are letters for work.\But if they aren't for Eleanor, then who?\I told you, they're for business.\Emma...\Hakim...\Emma?\Who's that? What kind of person is she? response:	What kind of person...?
context: Those are letters for work.\But if they aren't for Eleanor, then who?\I told you, they're for business.\Emma...\Hakim...\Emma?\Who's that? What kind of person is she?\What kind of person...? response:	Come now, have I met her?
context: But if they aren't for Eleanor, then who?\I told you, they're for business.\Emma...\Hakim...\Emma?\Who's that? What kind of person is she?\What kind of person...?\Come now, have I met her? response:	No.
context: I told you, they're for business.\Emma...\Hakim...\Emma?\Who's that? What kind of person is she?\What kind of person...?\Come now, have I met her?\No. response:	Is she a Duchess? A Countess?
context: Emma...\Hakim...\Emma?\Who's that? What kind of person is she?\What kind of person...?\Come now, have I met her?\No.\Is she a Duchess? A Countess? response:	Knowing you, she's a Baronet's daughter.
context: Hakim...\Emma?\Who's that? What kind of person is she?\What kind of person...?\Come now, have I met her?\No.\Is she a Duchess? A Countess?\Knowing you, she's a Baronet's daughter. response:	You're wrong.
context: Emma?\Who's that? What kind of person is she?\What kind of person...?\Come now, have I met her?\No.\Is she a Duchess? A Countess?\Knowing you, she's a Baronet's daughter.\You're wrong. response:	She's a maid.
context: Who's that? What kind of person is she?\What kind of person...?\Come now, have I met her?\No.\Is she a Duchess? A Countess?\Knowing you, she's a Baronet's daughter.\You're wrong.\She's a maid. response:	A maid...?
context: What kind of person...?\Come now, have I met her?\No.\Is she a Duchess? A Countess?\Knowing you, she's a Baronet's daughter.\You're wrong.\She's a maid.\A maid...? response:	A maid...
context: Come now, have I met her?\No.\Is she a Duchess? A Countess?\Knowing you, she's a Baronet's daughter.\You're wrong.\She's a maid.\A maid...?\A maid... response:	Well, she may be a maid now...
context: No.\Is she a Duchess? A Countess?\Knowing you, she's a Baronet's daughter.\You're wrong.\She's a maid.\A maid...?\A maid...\Well, she may be a maid now... response:	You're lying! Well, she may be a maid now...
context: Is she a Duchess? A Countess?\Knowing you, she's a Baronet's daughter.\You're wrong.\She's a maid.\A maid...?\A maid...\Well, she may be a maid now...\You're lying! Well, she may be a maid now... response:	You're lying!
context: Knowing you, she's a Baronet's daughter.\You're wrong.\She's a maid.\A maid...?\A maid...\Well, she may be a maid now...\You're lying! Well, she may be a maid now...\You're lying! response:	Why would I lie?
context: You're wrong.\She's a maid.\A maid...?\A maid...\Well, she may be a maid now...\You're lying! Well, she may be a maid now...\You're lying!\Why would I lie? response:	You're serious?
context: She's a maid.\A maid...?\A maid...\Well, she may be a maid now...\You're lying! Well, she may be a maid now...\You're lying!\Why would I lie?\You're serious? response:	I'm serious.
context: A maid...?\A maid...\Well, she may be a maid now...\You're lying! Well, she may be a maid now...\You're lying!\Why would I lie?\You're serious?\I'm serious. response:	What are you thinking?
context: A maid...\Well, she may be a maid now...\You're lying! Well, she may be a maid now...\You're lying!\Why would I lie?\You're serious?\I'm serious.\What are you thinking? response:	Unbelievable! I didn't think even you could have so little common sense.
context: Well, she may be a maid now...\You're lying! Well, she may be a maid now...\You're lying!\Why would I lie?\You're serious?\I'm serious.\What are you thinking?\Unbelievable! I didn't think even you could have so little common sense. response:	I am absolutely against her!
context: You're lying! Well, she may be a maid now...\You're lying!\Why would I lie?\You're serious?\I'm serious.\What are you thinking?\Unbelievable! I didn't think even you could have so little common sense.\I am absolutely against her! response:	You're being inappropriate. Even a child would know that!
context: You're lying!\Why would I lie?\You're serious?\I'm serious.\What are you thinking?\Unbelievable! I didn't think even you could have so little common sense.\I am absolutely against her!\You're being inappropriate. Even a child would know that! response:	Enough, you two!
context: Why would I lie?\You're serious?\I'm serious.\What are you thinking?\Unbelievable! I didn't think even you could have so little common sense.\I am absolutely against her!\You're being inappropriate. Even a child would know that!\Enough, you two! response:	Stop this.
context: You're serious?\I'm serious.\What are you thinking?\Unbelievable! I didn't think even you could have so little common sense.\I am absolutely against her!\You're being inappropriate. Even a child would know that!\Enough, you two!\Stop this. response:	Anywhere...
context: I'm serious.\What are you thinking?\Unbelievable! I didn't think even you could have so little common sense.\I am absolutely against her!\You're being inappropriate. Even a child would know that!\Enough, you two!\Stop this.\Anywhere... response:	Love can be found anywhere.
context: What are you thinking?\Unbelievable! I didn't think even you could have so little common sense.\I am absolutely against her!\You're being inappropriate. Even a child would know that!\Enough, you two!\Stop this.\Anywhere...\Love can be found anywhere. response:	That's not the point!
context: Unbelievable! I didn't think even you could have so little common sense.\I am absolutely against her!\You're being inappropriate. Even a child would know that!\Enough, you two!\Stop this.\Anywhere...\Love can be found anywhere.\That's not the point! response:	You always think with your heart instead of your brain.
context: I am absolutely against her!\You're being inappropriate. Even a child would know that!\Enough, you two!\Stop this.\Anywhere...\Love can be found anywhere.\That's not the point!\You always think with your heart instead of your brain. response:	You have no grasp of the situation!
context: You're being inappropriate. Even a child would know that!\Enough, you two!\Stop this.\Anywhere...\Love can be found anywhere.\That's not the point!\You always think with your heart instead of your brain.\You have no grasp of the situation! response:	You're hardly one to speak!
context: Enough, you two!\Stop this.\Anywhere...\Love can be found anywhere.\That's not the point!\You always think with your heart instead of your brain.\You have no grasp of the situation!\You're hardly one to speak! response:	Haven't you thought about our family's reputation?
context: Stop this.\Anywhere...\Love can be found anywhere.\That's not the point!\You always think with your heart instead of your brain.\You have no grasp of the situation!\You're hardly one to speak!\Haven't you thought about our family's reputation? response:	Vivi! Stay out of this.
context: Anywhere...\Love can be found anywhere.\That's not the point!\You always think with your heart instead of your brain.\You have no grasp of the situation!\You're hardly one to speak!\Haven't you thought about our family's reputation?\Vivi! Stay out of this. response:	I've got things to say!
context: Love can be found anywhere.\That's not the point!\You always think with your heart instead of your brain.\You have no grasp of the situation!\You're hardly one to speak!\Haven't you thought about our family's reputation?\Vivi! Stay out of this.\I've got things to say! response:	Brother! We haven't finished talking yet!
context: That's not the point!\You always think with your heart instead of your brain.\You have no grasp of the situation!\You're hardly one to speak!\Haven't you thought about our family's reputation?\Vivi! Stay out of this.\I've got things to say!\Brother! We haven't finished talking yet! response:	We'll continue after I've spoken to father.
context: You always think with your heart instead of your brain.\You have no grasp of the situation!\You're hardly one to speak!\Haven't you thought about our family's reputation?\Vivi! Stay out of this.\I've got things to say!\Brother! We haven't finished talking yet!\We'll continue after I've spoken to father. response:	You're going to tell father?
context: You have no grasp of the situation!\You're hardly one to speak!\Haven't you thought about our family's reputation?\Vivi! Stay out of this.\I've got things to say!\Brother! We haven't finished talking yet!\We'll continue after I've spoken to father.\You're going to tell father? response:	No. Absolutely not.
context: You're hardly one to speak!\Haven't you thought about our family's reputation?\Vivi! Stay out of this.\I've got things to say!\Brother! We haven't finished talking yet!\We'll continue after I've spoken to father.\You're going to tell father?\No. Absolutely not. response:	I knew what your position would be. But I'm telling you this, regardless.
context: Haven't you thought about our family's reputation?\Vivi! Stay out of this.\I've got things to say!\Brother! We haven't finished talking yet!\We'll continue after I've spoken to father.\You're going to tell father?\No. Absolutely not.\I knew what your position would be. But I'm telling you this, regardless. response:	No.
context: Vivi! Stay out of this.\I've got things to say!\Brother! We haven't finished talking yet!\We'll continue after I've spoken to father.\You're going to tell father?\No. Absolutely not.\I knew what your position would be. But I'm telling you this, regardless.\No. response:	She isn't like other maids.
context: I've got things to say!\Brother! We haven't finished talking yet!\We'll continue after I've spoken to father.\You're going to tell father?\No. Absolutely not.\I knew what your position would be. But I'm telling you this, regardless.\No.\She isn't like other maids. response:	Her character isn't the problem.
context: Brother! We haven't finished talking yet!\We'll continue after I've spoken to father.\You're going to tell father?\No. Absolutely not.\I knew what your position would be. But I'm telling you this, regardless.\No.\She isn't like other maids.\Her character isn't the problem. response:	Well, then...
context: We'll continue after I've spoken to father.\You're going to tell father?\No. Absolutely not.\I knew what your position would be. But I'm telling you this, regardless.\No.\She isn't like other maids.\Her character isn't the problem.\Well, then... response:	A wife has many important duties.
context: You're going to tell father?\No. Absolutely not.\I knew what your position would be. But I'm telling you this, regardless.\No.\She isn't like other maids.\Her character isn't the problem.\Well, then...\A wife has many important duties. response:	She must organize dinners, balls and tea parties.
context: No. Absolutely not.\I knew what your position would be. But I'm telling you this, regardless.\No.\She isn't like other maids.\Her character isn't the problem.\Well, then...\A wife has many important duties.\She must organize dinners, balls and tea parties. response:	She has to converse appropriately, display the correct manners.
context: I knew what your position would be. But I'm telling you this, regardless.\No.\She isn't like other maids.\Her character isn't the problem.\Well, then...\A wife has many important duties.\She must organize dinners, balls and tea parties.\She has to converse appropriately, display the correct manners. response:	She must be educated, and speak the Queen's English.
context: No.\She isn't like other maids.\Her character isn't the problem.\Well, then...\A wife has many important duties.\She must organize dinners, balls and tea parties.\She has to converse appropriately, display the correct manners.\She must be educated, and speak the Queen's English. response:	Can a mere maid accomplish all this?
context: She isn't like other maids.\Her character isn't the problem.\Well, then...\A wife has many important duties.\She must organize dinners, balls and tea parties.\She has to converse appropriately, display the correct manners.\She must be educated, and speak the Queen's English.\Can a mere maid accomplish all this? response:	You told me once yourself, father. A gentleman is bred, not born.
context: Her character isn't the problem.\Well, then...\A wife has many important duties.\She must organize dinners, balls and tea parties.\She has to converse appropriately, display the correct manners.\She must be educated, and speak the Queen's English.\Can a mere maid accomplish all this?\You told me once yourself, father. A gentleman is bred, not born. response:	Through its nature and training, a horse can become a champion.
context: Well, then...\A wife has many important duties.\She must organize dinners, balls and tea parties.\She has to converse appropriately, display the correct manners.\She must be educated, and speak the Queen's English.\Can a mere maid accomplish all this?\You told me once yourself, father. A gentleman is bred, not born.\Through its nature and training, a horse can become a champion. response:	However, a cat cannot become a horse. Some things can't be changed.
