context: As always, I can't make any sense of you. response:	Whatever.
context: Ready,\go!\Wow! Rin-chan has a stronger kick!\But...\Haru's stroke is faster!\Gou?\Damn it!\From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys? response:	Does this mean that I can't ever beat him?
context: go!\Wow! Rin-chan has a stronger kick!\But...\Haru's stroke is faster!\Gou?\Damn it!\From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys?\Does this mean that I can't ever beat him? response:	Memories in the Distance!
context: Wow! Rin-chan has a stronger kick!\But...\Haru's stroke is faster!\Gou?\Damn it!\From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys?\Does this mean that I can't ever beat him?\Memories in the Distance! response:	Idiots!
context: But...\Haru's stroke is faster!\Gou?\Damn it!\From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys?\Does this mean that I can't ever beat him?\Memories in the Distance!\Idiots! response:	Do you actually feel bad about what you've done?!
context: Haru's stroke is faster!\Gou?\Damn it!\From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys?\Does this mean that I can't ever beat him?\Memories in the Distance!\Idiots!\Do you actually feel bad about what you've done?! response:	Sorry.
context: Gou?\Damn it!\From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys?\Does this mean that I can't ever beat him?\Memories in the Distance!\Idiots!\Do you actually feel bad about what you've done?!\Sorry. response:	First you trespass in an abandoned building,
context: Damn it!\From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys?\Does this mean that I can't ever beat him?\Memories in the Distance!\Idiots!\Do you actually feel bad about what you've done?!\Sorry.\First you trespass in an abandoned building, response:	now you trespass in another school's pool?!
context: From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys?\Does this mean that I can't ever beat him?\Memories in the Distance!\Idiots!\Do you actually feel bad about what you've done?!\Sorry.\First you trespass in an abandoned building,\now you trespass in another school's pool?! response:	Honestly, we're fortunate that
context: Does this mean that I can't ever beat him?\Memories in the Distance!\Idiots!\Do you actually feel bad about what you've done?!\Sorry.\First you trespass in an abandoned building,\now you trespass in another school's pool?!\Honestly, we're fortunate that response:	they've agreed not to make a big deal of this.
context: Memories in the Distance!\Idiots!\Do you actually feel bad about what you've done?!\Sorry.\First you trespass in an abandoned building,\now you trespass in another school's pool?!\Honestly, we're fortunate that\they've agreed not to make a big deal of this. response:	Now, now. I think that's enough.
context: Idiots!\Do you actually feel bad about what you've done?!\Sorry.\First you trespass in an abandoned building,\now you trespass in another school's pool?!\Honestly, we're fortunate that\they've agreed not to make a big deal of this.\Now, now. I think that's enough. response:	There's a famous saying that applies to this situation.
context: Do you actually feel bad about what you've done?!\Sorry.\First you trespass in an abandoned building,\now you trespass in another school's pool?!\Honestly, we're fortunate that\they've agreed not to make a big deal of this.\Now, now. I think that's enough.\There's a famous saying that applies to this situation. response:	In Ancient China during the Shang Dynasty,
context: Sorry.\First you trespass in an abandoned building,\now you trespass in another school's pool?!\Honestly, we're fortunate that\they've agreed not to make a big deal of this.\Now, now. I think that's enough.\There's a famous saying that applies to this situation.\In Ancient China during the Shang Dynasty, response:	Duke Tai of Qi would fish without any bait...
context: First you trespass in an abandoned building,\now you trespass in another school's pool?!\Honestly, we're fortunate that\they've agreed not to make a big deal of this.\Now, now. I think that's enough.\There's a famous saying that applies to this situation.\In Ancient China during the Shang Dynasty,\Duke Tai of Qi would fish without any bait... response:	I hate fish.
context: now you trespass in another school's pool?!\Honestly, we're fortunate that\they've agreed not to make a big deal of this.\Now, now. I think that's enough.\There's a famous saying that applies to this situation.\In Ancient China during the Shang Dynasty,\Duke Tai of Qi would fish without any bait...\I hate fish. response:	Excuse me.
context: Honestly, we're fortunate that\they've agreed not to make a big deal of this.\Now, now. I think that's enough.\There's a famous saying that applies to this situation.\In Ancient China during the Shang Dynasty,\Duke Tai of Qi would fish without any bait...\I hate fish.\Excuse me. response:	Miss Ama-chan wasn't much help.
context: they've agreed not to make a big deal of this.\Now, now. I think that's enough.\There's a famous saying that applies to this situation.\In Ancient China during the Shang Dynasty,\Duke Tai of Qi would fish without any bait...\I hate fish.\Excuse me.\Miss Ama-chan wasn't much help. response:	I wonder how that fish saying goes...
context: Now, now. I think that's enough.\There's a famous saying that applies to this situation.\In Ancient China during the Shang Dynasty,\Duke Tai of Qi would fish without any bait...\I hate fish.\Excuse me.\Miss Ama-chan wasn't much help.\I wonder how that fish saying goes... response:	Haru, do you know...?
context: There's a famous saying that applies to this situation.\In Ancient China during the Shang Dynasty,\Duke Tai of Qi would fish without any bait...\I hate fish.\Excuse me.\Miss Ama-chan wasn't much help.\I wonder how that fish saying goes...\Haru, do you know...? response:	Huh?
context: In Ancient China during the Shang Dynasty,\Duke Tai of Qi would fish without any bait...\I hate fish.\Excuse me.\Miss Ama-chan wasn't much help.\I wonder how that fish saying goes...\Haru, do you know...?\Huh? response:	Haru-chan's over there.
context: Duke Tai of Qi would fish without any bait...\I hate fish.\Excuse me.\Miss Ama-chan wasn't much help.\I wonder how that fish saying goes...\Haru, do you know...?\Huh?\Haru-chan's over there. response:	When did that happen?
context: I hate fish.\Excuse me.\Miss Ama-chan wasn't much help.\I wonder how that fish saying goes...\Haru, do you know...?\Huh?\Haru-chan's over there.\When did that happen? response:	Ah, Gou-chan!
context: Excuse me.\Miss Ama-chan wasn't much help.\I wonder how that fish saying goes...\Haru, do you know...?\Huh?\Haru-chan's over there.\When did that happen?\Ah, Gou-chan! response:	I told you to call me Kou!
context: Miss Ama-chan wasn't much help.\I wonder how that fish saying goes...\Haru, do you know...?\Huh?\Haru-chan's over there.\When did that happen?\Ah, Gou-chan!\I told you to call me Kou! response:	Does it really matter?
context: I wonder how that fish saying goes...\Haru, do you know...?\Huh?\Haru-chan's over there.\When did that happen?\Ah, Gou-chan!\I told you to call me Kou!\Does it really matter? response:	It matters! I'm Kou!
context: Haru, do you know...?\Huh?\Haru-chan's over there.\When did that happen?\Ah, Gou-chan!\I told you to call me Kou!\Does it really matter?\It matters! I'm Kou! response:	Gou.
context: Huh?\Haru-chan's over there.\When did that happen?\Ah, Gou-chan!\I told you to call me Kou!\Does it really matter?\It matters! I'm Kou!\Gou. response:	Kou!
context: Haru-chan's over there.\When did that happen?\Ah, Gou-chan!\I told you to call me Kou!\Does it really matter?\It matters! I'm Kou!\Gou.\Kou! response:	Gou.
context: When did that happen?\Ah, Gou-chan!\I told you to call me Kou!\Does it really matter?\It matters! I'm Kou!\Gou.\Kou!\Gou. response:	Kou!
context: Ah, Gou-chan!\I told you to call me Kou!\Does it really matter?\It matters! I'm Kou!\Gou.\Kou!\Gou.\Kou! response:	Kou.
context: I told you to call me Kou!\Does it really matter?\It matters! I'm Kou!\Gou.\Kou!\Gou.\Kou!\Kou. response:	Gou!
context: Does it really matter?\It matters! I'm Kou!\Gou.\Kou!\Gou.\Kou!\Kou.\Gou! response:	Damn you!
context: It matters! I'm Kou!\Gou.\Kou!\Gou.\Kou!\Kou.\Gou!\Damn you! response:	So were you able to see my brother?
context: Gou.\Kou!\Gou.\Kou!\Kou.\Gou!\Damn you!\So were you able to see my brother? response:	Yeah, about that...
context: Kou!\Gou.\Kou!\Kou.\Gou!\Damn you!\So were you able to see my brother?\Yeah, about that... response:	Rin-chan's so mean!
context: Gou.\Kou!\Kou.\Gou!\Damn you!\So were you able to see my brother?\Yeah, about that...\Rin-chan's so mean! response:	We haven't seen each other in four years!
context: Kou!\Kou.\Gou!\Damn you!\So were you able to see my brother?\Yeah, about that...\Rin-chan's so mean!\We haven't seen each other in four years! response:	And the first thing he does is challenge Haru-chan to a race.
context: Kou.\Gou!\Damn you!\So were you able to see my brother?\Yeah, about that...\Rin-chan's so mean!\We haven't seen each other in four years!\And the first thing he does is challenge Haru-chan to a race. response:	He completely ignored me and Makoto.
context: Gou!\Damn you!\So were you able to see my brother?\Yeah, about that...\Rin-chan's so mean!\We haven't seen each other in four years!\And the first thing he does is challenge Haru-chan to a race.\He completely ignored me and Makoto. response:	We didn't get a chance to talk about anything.
context: Damn you!\So were you able to see my brother?\Yeah, about that...\Rin-chan's so mean!\We haven't seen each other in four years!\And the first thing he does is challenge Haru-chan to a race.\He completely ignored me and Makoto.\We didn't get a chance to talk about anything. response:	Have you heard anything from Rin, Kou-chan?
context: So were you able to see my brother?\Yeah, about that...\Rin-chan's so mean!\We haven't seen each other in four years!\And the first thing he does is challenge Haru-chan to a race.\He completely ignored me and Makoto.\We didn't get a chance to talk about anything.\Have you heard anything from Rin, Kou-chan? response:	I've sent him e-mails and called his cell without any luck.
context: Yeah, about that...\Rin-chan's so mean!\We haven't seen each other in four years!\And the first thing he does is challenge Haru-chan to a race.\He completely ignored me and Makoto.\We didn't get a chance to talk about anything.\Have you heard anything from Rin, Kou-chan?\I've sent him e-mails and called his cell without any luck. response:	I even called his dorm number and nobody picked up.
context: Rin-chan's so mean!\We haven't seen each other in four years!\And the first thing he does is challenge Haru-chan to a race.\He completely ignored me and Makoto.\We didn't get a chance to talk about anything.\Have you heard anything from Rin, Kou-chan?\I've sent him e-mails and called his cell without any luck.\I even called his dorm number and nobody picked up. response:	How come Rin-chan's changed so much?
context: We haven't seen each other in four years!\And the first thing he does is challenge Haru-chan to a race.\He completely ignored me and Makoto.\We didn't get a chance to talk about anything.\Have you heard anything from Rin, Kou-chan?\I've sent him e-mails and called his cell without any luck.\I even called his dorm number and nobody picked up.\How come Rin-chan's changed so much? response:	Did something happen in Australia?
context: And the first thing he does is challenge Haru-chan to a race.\He completely ignored me and Makoto.\We didn't get a chance to talk about anything.\Have you heard anything from Rin, Kou-chan?\I've sent him e-mails and called his cell without any luck.\I even called his dorm number and nobody picked up.\How come Rin-chan's changed so much?\Did something happen in Australia? response:	I don't know.
context: He completely ignored me and Makoto.\We didn't get a chance to talk about anything.\Have you heard anything from Rin, Kou-chan?\I've sent him e-mails and called his cell without any luck.\I even called his dorm number and nobody picked up.\How come Rin-chan's changed so much?\Did something happen in Australia?\I don't know. response:	I was hoping that he'd open up after meeting you guys.
context: We didn't get a chance to talk about anything.\Have you heard anything from Rin, Kou-chan?\I've sent him e-mails and called his cell without any luck.\I even called his dorm number and nobody picked up.\How come Rin-chan's changed so much?\Did something happen in Australia?\I don't know.\I was hoping that he'd open up after meeting you guys. response:	Are you responsible for Rin showing up at the swimming club?
context: Have you heard anything from Rin, Kou-chan?\I've sent him e-mails and called his cell without any luck.\I even called his dorm number and nobody picked up.\How come Rin-chan's changed so much?\Did something happen in Australia?\I don't know.\I was hoping that he'd open up after meeting you guys.\Are you responsible for Rin showing up at the swimming club? response:	I wouldn't say that I was responsible...
context: I've sent him e-mails and called his cell without any luck.\I even called his dorm number and nobody picked up.\How come Rin-chan's changed so much?\Did something happen in Australia?\I don't know.\I was hoping that he'd open up after meeting you guys.\Are you responsible for Rin showing up at the swimming club?\I wouldn't say that I was responsible... response:	I was just trying to help.
context: I even called his dorm number and nobody picked up.\How come Rin-chan's changed so much?\Did something happen in Australia?\I don't know.\I was hoping that he'd open up after meeting you guys.\Are you responsible for Rin showing up at the swimming club?\I wouldn't say that I was responsible...\I was just trying to help. response:	I happened to overhear your conversation,
context: How come Rin-chan's changed so much?\Did something happen in Australia?\I don't know.\I was hoping that he'd open up after meeting you guys.\Are you responsible for Rin showing up at the swimming club?\I wouldn't say that I was responsible...\I was just trying to help.\I happened to overhear your conversation, response:	I just heard that they're tearing down the swimming club you used to go to
context: Did something happen in Australia?\I don't know.\I was hoping that he'd open up after meeting you guys.\Are you responsible for Rin showing up at the swimming club?\I wouldn't say that I was responsible...\I was just trying to help.\I happened to overhear your conversation,\I just heard that they're tearing down the swimming club you used to go to response:	so I sent him a message.
context: I don't know.\I was hoping that he'd open up after meeting you guys.\Are you responsible for Rin showing up at the swimming club?\I wouldn't say that I was responsible...\I was just trying to help.\I happened to overhear your conversation,\I just heard that they're tearing down the swimming club you used to go to\so I sent him a message. response:	But he never replied.
context: I was hoping that he'd open up after meeting you guys.\Are you responsible for Rin showing up at the swimming club?\I wouldn't say that I was responsible...\I was just trying to help.\I happened to overhear your conversation,\I just heard that they're tearing down the swimming club you used to go to\so I sent him a message.\But he never replied. response:	That's why you went to Haru's place yesterday?
context: Are you responsible for Rin showing up at the swimming club?\I wouldn't say that I was responsible...\I was just trying to help.\I happened to overhear your conversation,\I just heard that they're tearing down the swimming club you used to go to\so I sent him a message.\But he never replied.\That's why you went to Haru's place yesterday? response:	Yes, I was hoping he might have some answers.
context: I wouldn't say that I was responsible...\I was just trying to help.\I happened to overhear your conversation,\I just heard that they're tearing down the swimming club you used to go to\so I sent him a message.\But he never replied.\That's why you went to Haru's place yesterday?\Yes, I was hoping he might have some answers. response:	Hey, I have a great idea!
context: I was just trying to help.\I happened to overhear your conversation,\I just heard that they're tearing down the swimming club you used to go to\so I sent him a message.\But he never replied.\That's why you went to Haru's place yesterday?\Yes, I was hoping he might have some answers.\Hey, I have a great idea! response:	Let's start a swim club!
context: I happened to overhear your conversation,\I just heard that they're tearing down the swimming club you used to go to\so I sent him a message.\But he never replied.\That's why you went to Haru's place yesterday?\Yes, I was hoping he might have some answers.\Hey, I have a great idea!\Let's start a swim club! response:	Then we can see Rin-chan at tournaments.
context: I just heard that they're tearing down the swimming club you used to go to\so I sent him a message.\But he never replied.\That's why you went to Haru's place yesterday?\Yes, I was hoping he might have some answers.\Hey, I have a great idea!\Let's start a swim club!\Then we can see Rin-chan at tournaments. response:	Uh, I'm not sure Haru will be on board with that.
context: so I sent him a message.\But he never replied.\That's why you went to Haru's place yesterday?\Yes, I was hoping he might have some answers.\Hey, I have a great idea!\Let's start a swim club!\Then we can see Rin-chan at tournaments.\Uh, I'm not sure Haru will be on board with that. response:	Whatever. Knock yourself out.
context: But he never replied.\That's why you went to Haru's place yesterday?\Yes, I was hoping he might have some answers.\Hey, I have a great idea!\Let's start a swim club!\Then we can see Rin-chan at tournaments.\Uh, I'm not sure Haru will be on board with that.\Whatever. Knock yourself out. response:	Huh?
context: That's why you went to Haru's place yesterday?\Yes, I was hoping he might have some answers.\Hey, I have a great idea!\Let's start a swim club!\Then we can see Rin-chan at tournaments.\Uh, I'm not sure Haru will be on board with that.\Whatever. Knock yourself out.\Huh? response:	Really?
context: Yes, I was hoping he might have some answers.\Hey, I have a great idea!\Let's start a swim club!\Then we can see Rin-chan at tournaments.\Uh, I'm not sure Haru will be on board with that.\Whatever. Knock yourself out.\Huh?\Really? response:	Yay!
context: Hey, I have a great idea!\Let's start a swim club!\Then we can see Rin-chan at tournaments.\Uh, I'm not sure Haru will be on board with that.\Whatever. Knock yourself out.\Huh?\Really?\Yay! response:	We're good to go then!
context: Let's start a swim club!\Then we can see Rin-chan at tournaments.\Uh, I'm not sure Haru will be on board with that.\Whatever. Knock yourself out.\Huh?\Really?\Yay!\We're good to go then! response:	I'm so excited!
context: Then we can see Rin-chan at tournaments.\Uh, I'm not sure Haru will be on board with that.\Whatever. Knock yourself out.\Huh?\Really?\Yay!\We're good to go then!\I'm so excited! response:	Are you sure about this?
context: Uh, I'm not sure Haru will be on board with that.\Whatever. Knock yourself out.\Huh?\Really?\Yay!\We're good to go then!\I'm so excited!\Are you sure about this? response:	We won't be doing this by ourselves.
context: Whatever. Knock yourself out.\Huh?\Really?\Yay!\We're good to go then!\I'm so excited!\Are you sure about this?\We won't be doing this by ourselves. response:	You're expected to join the club.
context: Huh?\Really?\Yay!\We're good to go then!\I'm so excited!\Are you sure about this?\We won't be doing this by ourselves.\You're expected to join the club. response:	I know.
context: Really?\Yay!\We're good to go then!\I'm so excited!\Are you sure about this?\We won't be doing this by ourselves.\You're expected to join the club.\I know. response:	No! Don't look!
context: Yay!\We're good to go then!\I'm so excited!\Are you sure about this?\We won't be doing this by ourselves.\You're expected to join the club.\I know.\No! Don't look! response:	Girls my age shouldn't ogle naked men!
context: We're good to go then!\I'm so excited!\Are you sure about this?\We won't be doing this by ourselves.\You're expected to join the club.\I know.\No! Don't look!\Girls my age shouldn't ogle naked men! response:	Must... not...
context: I'm so excited!\Are you sure about this?\We won't be doing this by ourselves.\You're expected to join the club.\I know.\No! Don't look!\Girls my age shouldn't ogle naked men!\Must... not... response:	look...
context: Are you sure about this?\We won't be doing this by ourselves.\You're expected to join the club.\I know.\No! Don't look!\Girls my age shouldn't ogle naked men!\Must... not...\look... response:	What...
context: We won't be doing this by ourselves.\You're expected to join the club.\I know.\No! Don't look!\Girls my age shouldn't ogle naked men!\Must... not...\look...\What... response:	incredible triceps!
context: You're expected to join the club.\I know.\No! Don't look!\Girls my age shouldn't ogle naked men!\Must... not...\look...\What...\incredible triceps! response:	Oh, yeah. Haru-chan wasn't with us the other day.
context: I know.\No! Don't look!\Girls my age shouldn't ogle naked men!\Must... not...\look...\What...\incredible triceps!\Oh, yeah. Haru-chan wasn't with us the other day. response:	This is Rin-chan's sister.
context: No! Don't look!\Girls my age shouldn't ogle naked men!\Must... not...\look...\What...\incredible triceps!\Oh, yeah. Haru-chan wasn't with us the other day.\This is Rin-chan's sister. response:	H-Hello. It's been a long time.
context: Girls my age shouldn't ogle naked men!\Must... not...\look...\What...\incredible triceps!\Oh, yeah. Haru-chan wasn't with us the other day.\This is Rin-chan's sister.\H-Hello. It's been a long time. response:	Matsuoka
context: Must... not...\look...\What...\incredible triceps!\Oh, yeah. Haru-chan wasn't with us the other day.\This is Rin-chan's sister.\H-Hello. It's been a long time.\Matsuoka response:	Kou.
context: look...\What...\incredible triceps!\Oh, yeah. Haru-chan wasn't with us the other day.\This is Rin-chan's sister.\H-Hello. It's been a long time.\Matsuoka\Kou. response:	Yes!
context: What...\incredible triceps!\Oh, yeah. Haru-chan wasn't with us the other day.\This is Rin-chan's sister.\H-Hello. It's been a long time.\Matsuoka\Kou.\Yes! response:	I'm sorry about what my brother did yesterday.
context: incredible triceps!\Oh, yeah. Haru-chan wasn't with us the other day.\This is Rin-chan's sister.\H-Hello. It's been a long time.\Matsuoka\Kou.\Yes!\I'm sorry about what my brother did yesterday. response:	Don't sweat it.
context: Oh, yeah. Haru-chan wasn't with us the other day.\This is Rin-chan's sister.\H-Hello. It's been a long time.\Matsuoka\Kou.\Yes!\I'm sorry about what my brother did yesterday.\Don't sweat it. response:	Oh, if you're making tea, I have some squid to go with it.
context: This is Rin-chan's sister.\H-Hello. It's been a long time.\Matsuoka\Kou.\Yes!\I'm sorry about what my brother did yesterday.\Don't sweat it.\Oh, if you're making tea, I have some squid to go with it. response:	What? Wouldn't chocolate be better?
context: H-Hello. It's been a long time.\Matsuoka\Kou.\Yes!\I'm sorry about what my brother did yesterday.\Don't sweat it.\Oh, if you're making tea, I have some squid to go with it.\What? Wouldn't chocolate be better? response:	We'll compromise and have mackerel.
context: Matsuoka\Kou.\Yes!\I'm sorry about what my brother did yesterday.\Don't sweat it.\Oh, if you're making tea, I have some squid to go with it.\What? Wouldn't chocolate be better?\We'll compromise and have mackerel. response:	That's not a compromise.
context: Kou.\Yes!\I'm sorry about what my brother did yesterday.\Don't sweat it.\Oh, if you're making tea, I have some squid to go with it.\What? Wouldn't chocolate be better?\We'll compromise and have mackerel.\That's not a compromise. response:	I'll give you a hand!
context: Yes!\I'm sorry about what my brother did yesterday.\Don't sweat it.\Oh, if you're making tea, I have some squid to go with it.\What? Wouldn't chocolate be better?\We'll compromise and have mackerel.\That's not a compromise.\I'll give you a hand! response:	Is this okay?
context: I'm sorry about what my brother did yesterday.\Don't sweat it.\Oh, if you're making tea, I have some squid to go with it.\What? Wouldn't chocolate be better?\We'll compromise and have mackerel.\That's not a compromise.\I'll give you a hand!\Is this okay? response:	Isn't this...
context: Don't sweat it.\Oh, if you're making tea, I have some squid to go with it.\What? Wouldn't chocolate be better?\We'll compromise and have mackerel.\That's not a compromise.\I'll give you a hand!\Is this okay?\Isn't this... response:	Ah, right.
context: Oh, if you're making tea, I have some squid to go with it.\What? Wouldn't chocolate be better?\We'll compromise and have mackerel.\That's not a compromise.\I'll give you a hand!\Is this okay?\Isn't this...\Ah, right. response:	That's the trophy the four of us won as kids.
context: What? Wouldn't chocolate be better?\We'll compromise and have mackerel.\That's not a compromise.\I'll give you a hand!\Is this okay?\Isn't this...\Ah, right.\That's the trophy the four of us won as kids. response:	Rin told us that he no longer needed it.
context: We'll compromise and have mackerel.\That's not a compromise.\I'll give you a hand!\Is this okay?\Isn't this...\Ah, right.\That's the trophy the four of us won as kids.\Rin told us that he no longer needed it. response:	Everyone's smiling.
context: That's not a compromise.\I'll give you a hand!\Is this okay?\Isn't this...\Ah, right.\That's the trophy the four of us won as kids.\Rin told us that he no longer needed it.\Everyone's smiling. response:	Actually, Haru's the sole exception in this photo.
context: I'll give you a hand!\Is this okay?\Isn't this...\Ah, right.\That's the trophy the four of us won as kids.\Rin told us that he no longer needed it.\Everyone's smiling.\Actually, Haru's the sole exception in this photo. response:	Haru-chan is always smiling on the inside.
context: Is this okay?\Isn't this...\Ah, right.\That's the trophy the four of us won as kids.\Rin told us that he no longer needed it.\Everyone's smiling.\Actually, Haru's the sole exception in this photo.\Haru-chan is always smiling on the inside. response:	You make him sound like a bad person!
context: Isn't this...\Ah, right.\That's the trophy the four of us won as kids.\Rin told us that he no longer needed it.\Everyone's smiling.\Actually, Haru's the sole exception in this photo.\Haru-chan is always smiling on the inside.\You make him sound like a bad person! response:	Oh, so is this the first time Rin's come back to Japan since he left?
context: Ah, right.\That's the trophy the four of us won as kids.\Rin told us that he no longer needed it.\Everyone's smiling.\Actually, Haru's the sole exception in this photo.\Haru-chan is always smiling on the inside.\You make him sound like a bad person!\Oh, so is this the first time Rin's come back to Japan since he left? response:	Huh?
context: That's the trophy the four of us won as kids.\Rin told us that he no longer needed it.\Everyone's smiling.\Actually, Haru's the sole exception in this photo.\Haru-chan is always smiling on the inside.\You make him sound like a bad person!\Oh, so is this the first time Rin's come back to Japan since he left?\Huh? response:	He came back every year for New Year's.
context: Rin told us that he no longer needed it.\Everyone's smiling.\Actually, Haru's the sole exception in this photo.\Haru-chan is always smiling on the inside.\You make him sound like a bad person!\Oh, so is this the first time Rin's come back to Japan since he left?\Huh?\He came back every year for New Year's. response:	Really?!
context: Everyone's smiling.\Actually, Haru's the sole exception in this photo.\Haru-chan is always smiling on the inside.\You make him sound like a bad person!\Oh, so is this the first time Rin's come back to Japan since he left?\Huh?\He came back every year for New Year's.\Really?! response:	And he never told us?!
context: Actually, Haru's the sole exception in this photo.\Haru-chan is always smiling on the inside.\You make him sound like a bad person!\Oh, so is this the first time Rin's come back to Japan since he left?\Huh?\He came back every year for New Year's.\Really?!\And he never told us?! response:	That's mean.
context: Haru-chan is always smiling on the inside.\You make him sound like a bad person!\Oh, so is this the first time Rin's come back to Japan since he left?\Huh?\He came back every year for New Year's.\Really?!\And he never told us?!\That's mean. response:	Haru?
context: You make him sound like a bad person!\Oh, so is this the first time Rin's come back to Japan since he left?\Huh?\He came back every year for New Year's.\Really?!\And he never told us?!\That's mean.\Haru? response:	Since everyone's on board,
context: Oh, so is this the first time Rin's come back to Japan since he left?\Huh?\He came back every year for New Year's.\Really?!\And he never told us?!\That's mean.\Haru?\Since everyone's on board, response:	I picked up a new club application form.
context: Huh?\He came back every year for New Year's.\Really?!\And he never told us?!\That's mean.\Haru?\Since everyone's on board,\I picked up a new club application form. response:	You move fast.
context: He came back every year for New Year's.\Really?!\And he never told us?!\That's mean.\Haru?\Since everyone's on board,\I picked up a new club application form.\You move fast. response:	It's important to get the ball rolling.
context: Really?!\And he never told us?!\That's mean.\Haru?\Since everyone's on board,\I picked up a new club application form.\You move fast.\It's important to get the ball rolling. response:	Let's see, the purpose of this club is
context: And he never told us?!\That's mean.\Haru?\Since everyone's on board,\I picked up a new club application form.\You move fast.\It's important to get the ball rolling.\Let's see, the purpose of this club is response:	to train our minds and bodies through swimming
context: That's mean.\Haru?\Since everyone's on board,\I picked up a new club application form.\You move fast.\It's important to get the ball rolling.\Let's see, the purpose of this club is\to train our minds and bodies through swimming response:	and improve the school experience.
context: Haru?\Since everyone's on board,\I picked up a new club application form.\You move fast.\It's important to get the ball rolling.\Let's see, the purpose of this club is\to train our minds and bodies through swimming\and improve the school experience. response:	And you know what you're doing.
context: Since everyone's on board,\I picked up a new club application form.\You move fast.\It's important to get the ball rolling.\Let's see, the purpose of this club is\to train our minds and bodies through swimming\and improve the school experience.\And you know what you're doing. response:	There will be three members initially.
context: I picked up a new club application form.\You move fast.\It's important to get the ball rolling.\Let's see, the purpose of this club is\to train our minds and bodies through swimming\and improve the school experience.\And you know what you're doing.\There will be three members initially. response:	Mako-chan, you can be the captain.
context: You move fast.\It's important to get the ball rolling.\Let's see, the purpose of this club is\to train our minds and bodies through swimming\and improve the school experience.\And you know what you're doing.\There will be three members initially.\Mako-chan, you can be the captain. response:	Uh, shouldn't it be Haru?
context: It's important to get the ball rolling.\Let's see, the purpose of this club is\to train our minds and bodies through swimming\and improve the school experience.\And you know what you're doing.\There will be three members initially.\Mako-chan, you can be the captain.\Uh, shouldn't it be Haru? response:	He's the fastest swimmer.
context: Let's see, the purpose of this club is\to train our minds and bodies through swimming\and improve the school experience.\And you know what you're doing.\There will be three members initially.\Mako-chan, you can be the captain.\Uh, shouldn't it be Haru?\He's the fastest swimmer. response:	This isn't about speed.
