context: I'll rip you apart with my fangs, Earth Engine! response:	What's that?
context: Well? What do you think?\Wh-What do I think? What are you doing?\This is the beautiful, beautiful Akari-chan showing you her belly button\as a magic spell to make you feel better!\Belly Button Forte!\See? You feel better, don't you?\Yes... A little, maybe.\Okay... response:	Then let's bust our way in!
context: Wh-What do I think? What are you doing?\This is the beautiful, beautiful Akari-chan showing you her belly button\as a magic spell to make you feel better!\Belly Button Forte!\See? You feel better, don't you?\Yes... A little, maybe.\Okay...\Then let's bust our way in! response:	Last night's earthquake was caused by movement of the ship on the sea floor.
context: This is the beautiful, beautiful Akari-chan showing you her belly button\as a magic spell to make you feel better!\Belly Button Forte!\See? You feel better, don't you?\Yes... A little, maybe.\Okay...\Then let's bust our way in!\Last night's earthquake was caused by movement of the ship on the sea floor. response:	We believe she used her own body as an energy relay circuit
context: as a magic spell to make you feel better!\Belly Button Forte!\See? You feel better, don't you?\Yes... A little, maybe.\Okay...\Then let's bust our way in!\Last night's earthquake was caused by movement of the ship on the sea floor.\We believe she used her own body as an energy relay circuit response:	to activate Machine Goodfellow Aramusha's main systems.
context: Belly Button Forte!\See? You feel better, don't you?\Yes... A little, maybe.\Okay...\Then let's bust our way in!\Last night's earthquake was caused by movement of the ship on the sea floor.\We believe she used her own body as an energy relay circuit\to activate Machine Goodfellow Aramusha's main systems. response:	We know she has an unknown type of organelle
context: See? You feel better, don't you?\Yes... A little, maybe.\Okay...\Then let's bust our way in!\Last night's earthquake was caused by movement of the ship on the sea floor.\We believe she used her own body as an energy relay circuit\to activate Machine Goodfellow Aramusha's main systems.\We know she has an unknown type of organelle response:	in her body that we Homo sapiens don't.
context: Yes... A little, maybe.\Okay...\Then let's bust our way in!\Last night's earthquake was caused by movement of the ship on the sea floor.\We believe she used her own body as an energy relay circuit\to activate Machine Goodfellow Aramusha's main systems.\We know she has an unknown type of organelle\in her body that we Homo sapiens don't. response:	Our hypothesis is that the energy she used
context: Okay...\Then let's bust our way in!\Last night's earthquake was caused by movement of the ship on the sea floor.\We believe she used her own body as an energy relay circuit\to activate Machine Goodfellow Aramusha's main systems.\We know she has an unknown type of organelle\in her body that we Homo sapiens don't.\Our hypothesis is that the energy she used response:	is a variant of the Orgone energy that is stored on the Blume.
context: Then let's bust our way in!\Last night's earthquake was caused by movement of the ship on the sea floor.\We believe she used her own body as an energy relay circuit\to activate Machine Goodfellow Aramusha's main systems.\We know she has an unknown type of organelle\in her body that we Homo sapiens don't.\Our hypothesis is that the energy she used\is a variant of the Orgone energy that is stored on the Blume. response:	These are the results of the mental health test, the forensic psychiatry test,
context: Last night's earthquake was caused by movement of the ship on the sea floor.\We believe she used her own body as an energy relay circuit\to activate Machine Goodfellow Aramusha's main systems.\We know she has an unknown type of organelle\in her body that we Homo sapiens don't.\Our hypothesis is that the energy she used\is a variant of the Orgone energy that is stored on the Blume.\These are the results of the mental health test, the forensic psychiatry test, response:	and the thought examination system that we conducted this morning.
context: We believe she used her own body as an energy relay circuit\to activate Machine Goodfellow Aramusha's main systems.\We know she has an unknown type of organelle\in her body that we Homo sapiens don't.\Our hypothesis is that the energy she used\is a variant of the Orgone energy that is stored on the Blume.\These are the results of the mental health test, the forensic psychiatry test,\and the thought examination system that we conducted this morning. response:	He was very cooperative with all the tests.
context: to activate Machine Goodfellow Aramusha's main systems.\We know she has an unknown type of organelle\in her body that we Homo sapiens don't.\Our hypothesis is that the energy she used\is a variant of the Orgone energy that is stored on the Blume.\These are the results of the mental health test, the forensic psychiatry test,\and the thought examination system that we conducted this morning.\He was very cooperative with all the tests. response:	Good morning, Teppei.
context: We know she has an unknown type of organelle\in her body that we Homo sapiens don't.\Our hypothesis is that the energy she used\is a variant of the Orgone energy that is stored on the Blume.\These are the results of the mental health test, the forensic psychiatry test,\and the thought examination system that we conducted this morning.\He was very cooperative with all the tests.\Good morning, Teppei. response:	That Machine Goodfellow you used last night
context: in her body that we Homo sapiens don't.\Our hypothesis is that the energy she used\is a variant of the Orgone energy that is stored on the Blume.\These are the results of the mental health test, the forensic psychiatry test,\and the thought examination system that we conducted this morning.\He was very cooperative with all the tests.\Good morning, Teppei.\That Machine Goodfellow you used last night response:	was secretly taken from Macbeth Enterprises during the Kanda incident.
context: Our hypothesis is that the energy she used\is a variant of the Orgone energy that is stored on the Blume.\These are the results of the mental health test, the forensic psychiatry test,\and the thought examination system that we conducted this morning.\He was very cooperative with all the tests.\Good morning, Teppei.\That Machine Goodfellow you used last night\was secretly taken from Macbeth Enterprises during the Kanda incident. response:	At the same time as you, in fact...
context: is a variant of the Orgone energy that is stored on the Blume.\These are the results of the mental health test, the forensic psychiatry test,\and the thought examination system that we conducted this morning.\He was very cooperative with all the tests.\Good morning, Teppei.\That Machine Goodfellow you used last night\was secretly taken from Macbeth Enterprises during the Kanda incident.\At the same time as you, in fact... response:	We knew it was able to recognize you specifically.
context: These are the results of the mental health test, the forensic psychiatry test,\and the thought examination system that we conducted this morning.\He was very cooperative with all the tests.\Good morning, Teppei.\That Machine Goodfellow you used last night\was secretly taken from Macbeth Enterprises during the Kanda incident.\At the same time as you, in fact...\We knew it was able to recognize you specifically. response:	That's your own personal Neural Maneuver System.
context: and the thought examination system that we conducted this morning.\He was very cooperative with all the tests.\Good morning, Teppei.\That Machine Goodfellow you used last night\was secretly taken from Macbeth Enterprises during the Kanda incident.\At the same time as you, in fact...\We knew it was able to recognize you specifically.\That's your own personal Neural Maneuver System. response:	I didn't know.
context: He was very cooperative with all the tests.\Good morning, Teppei.\That Machine Goodfellow you used last night\was secretly taken from Macbeth Enterprises during the Kanda incident.\At the same time as you, in fact...\We knew it was able to recognize you specifically.\That's your own personal Neural Maneuver System.\I didn't know. response:	Until yesterday, that is.
context: Good morning, Teppei.\That Machine Goodfellow you used last night\was secretly taken from Macbeth Enterprises during the Kanda incident.\At the same time as you, in fact...\We knew it was able to recognize you specifically.\That's your own personal Neural Maneuver System.\I didn't know.\Until yesterday, that is. response:	Macbeth Enterprises
context: That Machine Goodfellow you used last night\was secretly taken from Macbeth Enterprises during the Kanda incident.\At the same time as you, in fact...\We knew it was able to recognize you specifically.\That's your own personal Neural Maneuver System.\I didn't know.\Until yesterday, that is.\Macbeth Enterprises response:	ostensibly developed it as a man-machine interface
context: was secretly taken from Macbeth Enterprises during the Kanda incident.\At the same time as you, in fact...\We knew it was able to recognize you specifically.\That's your own personal Neural Maneuver System.\I didn't know.\Until yesterday, that is.\Macbeth Enterprises\ostensibly developed it as a man-machine interface response:	for the latest mobile weaponry, but early on, we realized that it had a greater function...
context: At the same time as you, in fact...\We knew it was able to recognize you specifically.\That's your own personal Neural Maneuver System.\I didn't know.\Until yesterday, that is.\Macbeth Enterprises\ostensibly developed it as a man-machine interface\for the latest mobile weaponry, but early on, we realized that it had a greater function... response:	No, that it had been developed for an entirely different purpose.
context: We knew it was able to recognize you specifically.\That's your own personal Neural Maneuver System.\I didn't know.\Until yesterday, that is.\Macbeth Enterprises\ostensibly developed it as a man-machine interface\for the latest mobile weaponry, but early on, we realized that it had a greater function...\No, that it had been developed for an entirely different purpose. response:	But we didn't know what it was for.
context: That's your own personal Neural Maneuver System.\I didn't know.\Until yesterday, that is.\Macbeth Enterprises\ostensibly developed it as a man-machine interface\for the latest mobile weaponry, but early on, we realized that it had a greater function...\No, that it had been developed for an entirely different purpose.\But we didn't know what it was for. response:	Were you controlling that Kiltgang Type-3
context: I didn't know.\Until yesterday, that is.\Macbeth Enterprises\ostensibly developed it as a man-machine interface\for the latest mobile weaponry, but early on, we realized that it had a greater function...\No, that it had been developed for an entirely different purpose.\But we didn't know what it was for.\Were you controlling that Kiltgang Type-3 response:	that appeared in the Earth Engine's combat zone?
context: Until yesterday, that is.\Macbeth Enterprises\ostensibly developed it as a man-machine interface\for the latest mobile weaponry, but early on, we realized that it had a greater function...\No, that it had been developed for an entirely different purpose.\But we didn't know what it was for.\Were you controlling that Kiltgang Type-3\that appeared in the Earth Engine's combat zone? response:	No, I don't think you were controlling it...
context: Macbeth Enterprises\ostensibly developed it as a man-machine interface\for the latest mobile weaponry, but early on, we realized that it had a greater function...\No, that it had been developed for an entirely different purpose.\But we didn't know what it was for.\Were you controlling that Kiltgang Type-3\that appeared in the Earth Engine's combat zone?\No, I don't think you were controlling it... response:	You were that Type-3, which is still floating in Alpha sector.
context: ostensibly developed it as a man-machine interface\for the latest mobile weaponry, but early on, we realized that it had a greater function...\No, that it had been developed for an entirely different purpose.\But we didn't know what it was for.\Were you controlling that Kiltgang Type-3\that appeared in the Earth Engine's combat zone?\No, I don't think you were controlling it...\You were that Type-3, which is still floating in Alpha sector. response:	Weren't you?
context: for the latest mobile weaponry, but early on, we realized that it had a greater function...\No, that it had been developed for an entirely different purpose.\But we didn't know what it was for.\Were you controlling that Kiltgang Type-3\that appeared in the Earth Engine's combat zone?\No, I don't think you were controlling it...\You were that Type-3, which is still floating in Alpha sector.\Weren't you? response:	Thank you... That's all.
context: No, that it had been developed for an entirely different purpose.\But we didn't know what it was for.\Were you controlling that Kiltgang Type-3\that appeared in the Earth Engine's combat zone?\No, I don't think you were controlling it...\You were that Type-3, which is still floating in Alpha sector.\Weren't you?\Thank you... That's all. response:	He was the Kiltgang itself? What do you mean?
context: But we didn't know what it was for.\Were you controlling that Kiltgang Type-3\that appeared in the Earth Engine's combat zone?\No, I don't think you were controlling it...\You were that Type-3, which is still floating in Alpha sector.\Weren't you?\Thank you... That's all.\He was the Kiltgang itself? What do you mean? response:	Until yesterday,
context: Were you controlling that Kiltgang Type-3\that appeared in the Earth Engine's combat zone?\No, I don't think you were controlling it...\You were that Type-3, which is still floating in Alpha sector.\Weren't you?\Thank you... That's all.\He was the Kiltgang itself? What do you mean?\Until yesterday, response:	Teppei had the mentality of a 17-year-old boy who was born and raised in Japan.
context: that appeared in the Earth Engine's combat zone?\No, I don't think you were controlling it...\You were that Type-3, which is still floating in Alpha sector.\Weren't you?\Thank you... That's all.\He was the Kiltgang itself? What do you mean?\Until yesterday,\Teppei had the mentality of a 17-year-old boy who was born and raised in Japan. response:	Looking at him, I never doubted that for a second.
context: No, I don't think you were controlling it...\You were that Type-3, which is still floating in Alpha sector.\Weren't you?\Thank you... That's all.\He was the Kiltgang itself? What do you mean?\Until yesterday,\Teppei had the mentality of a 17-year-old boy who was born and raised in Japan.\Looking at him, I never doubted that for a second. response:	But what about now?
context: You were that Type-3, which is still floating in Alpha sector.\Weren't you?\Thank you... That's all.\He was the Kiltgang itself? What do you mean?\Until yesterday,\Teppei had the mentality of a 17-year-old boy who was born and raised in Japan.\Looking at him, I never doubted that for a second.\But what about now? response:	I'd be very interested to learn about his memories and consciousness,
context: Weren't you?\Thank you... That's all.\He was the Kiltgang itself? What do you mean?\Until yesterday,\Teppei had the mentality of a 17-year-old boy who was born and raised in Japan.\Looking at him, I never doubted that for a second.\But what about now?\I'd be very interested to learn about his memories and consciousness, response:	now that he's become a Kiltgang.
context: Thank you... That's all.\He was the Kiltgang itself? What do you mean?\Until yesterday,\Teppei had the mentality of a 17-year-old boy who was born and raised in Japan.\Looking at him, I never doubted that for a second.\But what about now?\I'd be very interested to learn about his memories and consciousness,\now that he's become a Kiltgang. response:	This fact constitutes a threat.
context: He was the Kiltgang itself? What do you mean?\Until yesterday,\Teppei had the mentality of a 17-year-old boy who was born and raised in Japan.\Looking at him, I never doubted that for a second.\But what about now?\I'd be very interested to learn about his memories and consciousness,\now that he's become a Kiltgang.\This fact constitutes a threat. response:	It is of grave significance in determining the course of the battle from here on.
context: Until yesterday,\Teppei had the mentality of a 17-year-old boy who was born and raised in Japan.\Looking at him, I never doubted that for a second.\But what about now?\I'd be very interested to learn about his memories and consciousness,\now that he's become a Kiltgang.\This fact constitutes a threat.\It is of grave significance in determining the course of the battle from here on. response:	Commander!
context: Teppei had the mentality of a 17-year-old boy who was born and raised in Japan.\Looking at him, I never doubted that for a second.\But what about now?\I'd be very interested to learn about his memories and consciousness,\now that he's become a Kiltgang.\This fact constitutes a threat.\It is of grave significance in determining the course of the battle from here on.\Commander! response:	Until we have more information, this matter is classified top-secret.
context: Looking at him, I never doubted that for a second.\But what about now?\I'd be very interested to learn about his memories and consciousness,\now that he's become a Kiltgang.\This fact constitutes a threat.\It is of grave significance in determining the course of the battle from here on.\Commander!\Until we have more information, this matter is classified top-secret. response:	That goes for HQ, too.
context: But what about now?\I'd be very interested to learn about his memories and consciousness,\now that he's become a Kiltgang.\This fact constitutes a threat.\It is of grave significance in determining the course of the battle from here on.\Commander!\Until we have more information, this matter is classified top-secret.\That goes for HQ, too. response:	Of course, you realize that decision is outside
context: I'd be very interested to learn about his memories and consciousness,\now that he's become a Kiltgang.\This fact constitutes a threat.\It is of grave significance in determining the course of the battle from here on.\Commander!\Until we have more information, this matter is classified top-secret.\That goes for HQ, too.\Of course, you realize that decision is outside response:	your authority to make, right?
context: now that he's become a Kiltgang.\This fact constitutes a threat.\It is of grave significance in determining the course of the battle from here on.\Commander!\Until we have more information, this matter is classified top-secret.\That goes for HQ, too.\Of course, you realize that decision is outside\your authority to make, right? response:	To me, the most important fact is that
context: This fact constitutes a threat.\It is of grave significance in determining the course of the battle from here on.\Commander!\Until we have more information, this matter is classified top-secret.\That goes for HQ, too.\Of course, you realize that decision is outside\your authority to make, right?\To me, the most important fact is that response:	Teppei's Kiltgang saved the Earth Engine.
context: It is of grave significance in determining the course of the battle from here on.\Commander!\Until we have more information, this matter is classified top-secret.\That goes for HQ, too.\Of course, you realize that decision is outside\your authority to make, right?\To me, the most important fact is that\Teppei's Kiltgang saved the Earth Engine. response:	You aren't going to the base?
context: Commander!\Until we have more information, this matter is classified top-secret.\That goes for HQ, too.\Of course, you realize that decision is outside\your authority to make, right?\To me, the most important fact is that\Teppei's Kiltgang saved the Earth Engine.\You aren't going to the base? response:	First, we need to eat.
context: Until we have more information, this matter is classified top-secret.\That goes for HQ, too.\Of course, you realize that decision is outside\your authority to make, right?\To me, the most important fact is that\Teppei's Kiltgang saved the Earth Engine.\You aren't going to the base?\First, we need to eat. response:	You just ate that watermelon...
context: That goes for HQ, too.\Of course, you realize that decision is outside\your authority to make, right?\To me, the most important fact is that\Teppei's Kiltgang saved the Earth Engine.\You aren't going to the base?\First, we need to eat.\You just ate that watermelon... response:	That doesn't count.
context: Of course, you realize that decision is outside\your authority to make, right?\To me, the most important fact is that\Teppei's Kiltgang saved the Earth Engine.\You aren't going to the base?\First, we need to eat.\You just ate that watermelon...\That doesn't count. response:	How about a crepe? They're good!
context: your authority to make, right?\To me, the most important fact is that\Teppei's Kiltgang saved the Earth Engine.\You aren't going to the base?\First, we need to eat.\You just ate that watermelon...\That doesn't count.\How about a crepe? They're good! response:	Want one?
context: To me, the most important fact is that\Teppei's Kiltgang saved the Earth Engine.\You aren't going to the base?\First, we need to eat.\You just ate that watermelon...\That doesn't count.\How about a crepe? They're good!\Want one? response:	Okay, I'll take a banana crepe.
context: Teppei's Kiltgang saved the Earth Engine.\You aren't going to the base?\First, we need to eat.\You just ate that watermelon...\That doesn't count.\How about a crepe? They're good!\Want one?\Okay, I'll take a banana crepe. response:	I'll have a mango crepe.
context: You aren't going to the base?\First, we need to eat.\You just ate that watermelon...\That doesn't count.\How about a crepe? They're good!\Want one?\Okay, I'll take a banana crepe.\I'll have a mango crepe. response:	Coming right up.
context: First, we need to eat.\You just ate that watermelon...\That doesn't count.\How about a crepe? They're good!\Want one?\Okay, I'll take a banana crepe.\I'll have a mango crepe.\Coming right up. response:	Your belly button won't become magical if you show it all the time.
context: You just ate that watermelon...\That doesn't count.\How about a crepe? They're good!\Want one?\Okay, I'll take a banana crepe.\I'll have a mango crepe.\Coming right up.\Your belly button won't become magical if you show it all the time. response:	Or maybe it will?
context: That doesn't count.\How about a crepe? They're good!\Want one?\Okay, I'll take a banana crepe.\I'll have a mango crepe.\Coming right up.\Your belly button won't become magical if you show it all the time.\Or maybe it will? response:	Here you go.
context: How about a crepe? They're good!\Want one?\Okay, I'll take a banana crepe.\I'll have a mango crepe.\Coming right up.\Your belly button won't become magical if you show it all the time.\Or maybe it will?\Here you go. response:	Thanks!
context: Want one?\Okay, I'll take a banana crepe.\I'll have a mango crepe.\Coming right up.\Your belly button won't become magical if you show it all the time.\Or maybe it will?\Here you go.\Thanks! response:	Want some, Pitz?
context: Okay, I'll take a banana crepe.\I'll have a mango crepe.\Coming right up.\Your belly button won't become magical if you show it all the time.\Or maybe it will?\Here you go.\Thanks!\Want some, Pitz? response:	Here you go.
context: I'll have a mango crepe.\Coming right up.\Your belly button won't become magical if you show it all the time.\Or maybe it will?\Here you go.\Thanks!\Want some, Pitz?\Here you go. response:	Thanks.
context: Coming right up.\Your belly button won't become magical if you show it all the time.\Or maybe it will?\Here you go.\Thanks!\Want some, Pitz?\Here you go.\Thanks. response:	Hmm?
context: Your belly button won't become magical if you show it all the time.\Or maybe it will?\Here you go.\Thanks!\Want some, Pitz?\Here you go.\Thanks.\Hmm? response:	You shouldn't waste food.
context: Or maybe it will?\Here you go.\Thanks!\Want some, Pitz?\Here you go.\Thanks.\Hmm?\You shouldn't waste food. response:	That's right.
context: Here you go.\Thanks!\Want some, Pitz?\Here you go.\Thanks.\Hmm?\You shouldn't waste food.\That's right. response:	That's a big trailer.
context: Thanks!\Want some, Pitz?\Here you go.\Thanks.\Hmm?\You shouldn't waste food.\That's right.\That's a big trailer. response:	I travel around Japan selling crepes.
context: Want some, Pitz?\Here you go.\Thanks.\Hmm?\You shouldn't waste food.\That's right.\That's a big trailer.\I travel around Japan selling crepes. response:	Today's my first time on this island.
context: Here you go.\Thanks.\Hmm?\You shouldn't waste food.\That's right.\That's a big trailer.\I travel around Japan selling crepes.\Today's my first time on this island. response:	The wind feels good here, doesn't it?
context: Thanks.\Hmm?\You shouldn't waste food.\That's right.\That's a big trailer.\I travel around Japan selling crepes.\Today's my first time on this island.\The wind feels good here, doesn't it? response:	The wind?
context: Hmm?\You shouldn't waste food.\That's right.\That's a big trailer.\I travel around Japan selling crepes.\Today's my first time on this island.\The wind feels good here, doesn't it?\The wind? response:	Does it?
context: You shouldn't waste food.\That's right.\That's a big trailer.\I travel around Japan selling crepes.\Today's my first time on this island.\The wind feels good here, doesn't it?\The wind?\Does it? response:	Can we come in?
context: That's right.\That's a big trailer.\I travel around Japan selling crepes.\Today's my first time on this island.\The wind feels good here, doesn't it?\The wind?\Does it?\Can we come in? response:	Just a second...
context: That's a big trailer.\I travel around Japan selling crepes.\Today's my first time on this island.\The wind feels good here, doesn't it?\The wind?\Does it?\Can we come in?\Just a second... response:	Okay, you can enter.
context: I travel around Japan selling crepes.\Today's my first time on this island.\The wind feels good here, doesn't it?\The wind?\Does it?\Can we come in?\Just a second...\Okay, you can enter. response:	Those look good.
context: Today's my first time on this island.\The wind feels good here, doesn't it?\The wind?\Does it?\Can we come in?\Just a second...\Okay, you can enter.\Those look good. response:	They are good!
context: The wind feels good here, doesn't it?\The wind?\Does it?\Can we come in?\Just a second...\Okay, you can enter.\Those look good.\They are good! response:	Hana's undergoing a physical exam at the medical center.
context: The wind?\Does it?\Can we come in?\Just a second...\Okay, you can enter.\Those look good.\They are good!\Hana's undergoing a physical exam at the medical center. response:	Where's Teppei?
context: Does it?\Can we come in?\Just a second...\Okay, you can enter.\Those look good.\They are good!\Hana's undergoing a physical exam at the medical center.\Where's Teppei? response:	Room 45, in block C.
context: Can we come in?\Just a second...\Okay, you can enter.\Those look good.\They are good!\Hana's undergoing a physical exam at the medical center.\Where's Teppei?\Room 45, in block C. response:	That's the interrogation room.
context: Just a second...\Okay, you can enter.\Those look good.\They are good!\Hana's undergoing a physical exam at the medical center.\Where's Teppei?\Room 45, in block C.\That's the interrogation room. response:	Stop touching things without permission!
context: Okay, you can enter.\Those look good.\They are good!\Hana's undergoing a physical exam at the medical center.\Where's Teppei?\Room 45, in block C.\That's the interrogation room.\Stop touching things without permission! response:	Oh, that place...
context: Those look good.\They are good!\Hana's undergoing a physical exam at the medical center.\Where's Teppei?\Room 45, in block C.\That's the interrogation room.\Stop touching things without permission!\Oh, that place... response:	It's kind of depressing.
context: They are good!\Hana's undergoing a physical exam at the medical center.\Where's Teppei?\Room 45, in block C.\That's the interrogation room.\Stop touching things without permission!\Oh, that place...\It's kind of depressing. response:	Fine... Go and see him.
context: Hana's undergoing a physical exam at the medical center.\Where's Teppei?\Room 45, in block C.\That's the interrogation room.\Stop touching things without permission!\Oh, that place...\It's kind of depressing.\Fine... Go and see him. response:	Aren't you being a bit soft?
context: Where's Teppei?\Room 45, in block C.\That's the interrogation room.\Stop touching things without permission!\Oh, that place...\It's kind of depressing.\Fine... Go and see him.\Aren't you being a bit soft? response:	When I was a kid, I was kind of proud of this.
context: Room 45, in block C.\That's the interrogation room.\Stop touching things without permission!\Oh, that place...\It's kind of depressing.\Fine... Go and see him.\Aren't you being a bit soft?\When I was a kid, I was kind of proud of this. response:	But once I realized how strange being able to make a rainbow appear over my hand was...
context: That's the interrogation room.\Stop touching things without permission!\Oh, that place...\It's kind of depressing.\Fine... Go and see him.\Aren't you being a bit soft?\When I was a kid, I was kind of proud of this.\But once I realized how strange being able to make a rainbow appear over my hand was... response:	I avoided doing it again.
context: Stop touching things without permission!\Oh, that place...\It's kind of depressing.\Fine... Go and see him.\Aren't you being a bit soft?\When I was a kid, I was kind of proud of this.\But once I realized how strange being able to make a rainbow appear over my hand was...\I avoided doing it again. response:	I pretended I couldn't do it anymore.
context: Oh, that place...\It's kind of depressing.\Fine... Go and see him.\Aren't you being a bit soft?\When I was a kid, I was kind of proud of this.\But once I realized how strange being able to make a rainbow appear over my hand was...\I avoided doing it again.\I pretended I couldn't do it anymore. response:	I often dream,
context: It's kind of depressing.\Fine... Go and see him.\Aren't you being a bit soft?\When I was a kid, I was kind of proud of this.\But once I realized how strange being able to make a rainbow appear over my hand was...\I avoided doing it again.\I pretended I couldn't do it anymore.\I often dream, response:	but when I'm awake, it feels more like a dream.
