context: Daiku Power response:	eyecatch
context: With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived. response:	Instantly igniting my face into a bright red
context: Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red response:	T-That's stupid?! My hands are shaking
context: This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking response:	Is this really what they call love?
context: What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love? response:	I-I did it! A conversation filled with stutters
context: Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters response:	This awkward silence... *mumble mumble*
context: This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble* response:	Your... ( Your...) I want to know your feelings.
context: I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings. response:	O-One-sided love
context: Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love response:	First love! The usual way to school
context: Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school response:	The shining light. I do fall in love!
context: T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love! response:	I feel I could fly towards the sky
context: Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky response:	O-One-sided love
context: I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love response:	10
context: This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10 response:	H H!
context: Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H! response:	Woke up in the morning, brushed my teeth
context: O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth response:	In the blink of an eye, it's 10pm
context: First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm response:	Today, we laughed a whole lot
context: The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot response:	We had a great time
context: I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time response:	At times, with my friends, acting like fools, being noisy
context: O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy response:	Fluttering, our eyes met.
context: 10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met. response:	It's a coincidence, right?
context: H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right? response:	I wouldn't call this my first love
context: Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love response:	It's not my character.
context: In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character. response:	Say, will we be able to meet again tomorrow?
context: Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow? response:	As my eyelids close
context: We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close response:	I see you sparkling all over the place
context: At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place response:	Today was fun, too, wasn't it?
context: Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it? response:	I'm in love
context: It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love response:	So happy, so happy
context: I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy response:	It is my pleasure to meet you, my new-found love.
context: It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love. response:	Surely, we'll meet again tomorrow
context: Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow response:	Have a good night
context: As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night response:	We'll meet immediately in our dreams
context: I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams response:	So have a good night
context: Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night response:	Not A Winner
context: I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Not A Winner response:	Nichijou 44
context: So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Not A Winner\Nichijou 44 response:	Finals Day Schedule
context: It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Not A Winner\Nichijou 44\Finals Day Schedule response:	Day 1 English Music
context: Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Not A Winner\Nichijou 44\Finals Day Schedule\Day 1 English Music response:	Day 2 He alth P.E.
context: Have a good night\We'll meet immediately in our dreams\So have a good night\Not A Winner\Nichijou 44\Finals Day Schedule\Day 1 English Music\Day 2 He alth P.E. response:	Day 3 Language Arts Maths Science History
context: We'll meet immediately in our dreams\So have a good night\Not A Winner\Nichijou 44\Finals Day Schedule\Day 1 English Music\Day 2 He alth P.E.\Day 3 Language Arts Maths Science History response:	Daiku Power
context: So have a good night\Not A Winner\Nichijou 44\Finals Day Schedule\Day 1 English Music\Day 2 He alth P.E.\Day 3 Language Arts Maths Science History\Daiku Power response:	Nichijou 45
context: Not A Winner\Nichijou 44\Finals Day Schedule\Day 1 English Music\Day 2 He alth P.E.\Day 3 Language Arts Maths Science History\Daiku Power\Nichijou 45 response:	Wife Away At School Reunion
context: Nichijou 44\Finals Day Schedule\Day 1 English Music\Day 2 He alth P.E.\Day 3 Language Arts Maths Science History\Daiku Power\Nichijou 45\Wife Away At School Reunion response:	Liver
context: Finals Day Schedule\Day 1 English Music\Day 2 He alth P.E.\Day 3 Language Arts Maths Science History\Daiku Power\Nichijou 45\Wife Away At School Reunion\Liver response:	Duodenum
context: Day 1 English Music\Day 2 He alth P.E.\Day 3 Language Arts Maths Science History\Daiku Power\Nichijou 45\Wife Away At School Reunion\Liver\Duodenum response:	Pancreas
context: Day 2 He alth P.E.\Day 3 Language Arts Maths Science History\Daiku Power\Nichijou 45\Wife Away At School Reunion\Liver\Duodenum\Pancreas response:	Hepatic Portal
context: Day 3 Language Arts Maths Science History\Daiku Power\Nichijou 45\Wife Away At School Reunion\Liver\Duodenum\Pancreas\Hepatic Portal response:	Gall Bladder
context: Daiku Power\Nichijou 45\Wife Away At School Reunion\Liver\Duodenum\Pancreas\Hepatic Portal\Gall Bladder response:	Common
context: Nichijou 45\Wife Away At School Reunion\Liver\Duodenum\Pancreas\Hepatic Portal\Gall Bladder\Common response:	Bile Duct
context: Wife Away At School Reunion\Liver\Duodenum\Pancreas\Hepatic Portal\Gall Bladder\Common\Bile Duct response:	Bile Duct
context: Liver\Duodenum\Pancreas\Hepatic Portal\Gall Bladder\Common\Bile Duct\Bile Duct response:	Huge Chat Meeting Tonight At 19:00
context: Duodenum\Pancreas\Hepatic Portal\Gall Bladder\Common\Bile Duct\Bile Duct\Huge Chat Meeting Tonight At 19:00 response:	Chat Participants
context: Pancreas\Hepatic Portal\Gall Bladder\Common\Bile Duct\Bile Duct\Huge Chat Meeting Tonight At 19:00\Chat Participants response:	People
context: Hepatic Portal\Gall Bladder\Common\Bile Duct\Bile Duct\Huge Chat Meeting Tonight At 19:00\Chat Participants\People response:	School Trip Photo Album
context: Gall Bladder\Common\Bile Duct\Bile Duct\Huge Chat Meeting Tonight At 19:00\Chat Participants\People\School Trip Photo Album response:	Tour of Kamakura Houses
context: Common\Bile Duct\Bile Duct\Huge Chat Meeting Tonight At 19:00\Chat Participants\People\School Trip Photo Album\Tour of Kamakura Houses response:	Name: Oora Kousuke
context: Bile Duct\Bile Duct\Huge Chat Meeting Tonight At 19:00\Chat Participants\People\School Trip Photo Album\Tour of Kamakura Houses\Name: Oora Kousuke response:	Word Of The Day
context: Bile Duct\Huge Chat Meeting Tonight At 19:00\Chat Participants\People\School Trip Photo Album\Tour of Kamakura Houses\Name: Oora Kousuke\Word Of The Day response:	Nichijou 46
context: Huge Chat Meeting Tonight At 19:00\Chat Participants\People\School Trip Photo Album\Tour of Kamakura Houses\Name: Oora Kousuke\Word Of The Day\Nichijou 46 response:	Participating in the Prefectural Tournament
context: Chat Participants\People\School Trip Photo Album\Tour of Kamakura Houses\Name: Oora Kousuke\Word Of The Day\Nichijou 46\Participating in the Prefectural Tournament response:	Aim for
context: People\School Trip Photo Album\Tour of Kamakura Houses\Name: Oora Kousuke\Word Of The Day\Nichijou 46\Participating in the Prefectural Tournament\Aim for response:	Congrats!
context: School Trip Photo Album\Tour of Kamakura Houses\Name: Oora Kousuke\Word Of The Day\Nichijou 46\Participating in the Prefectural Tournament\Aim for\Congrats! response:	Go Soccer Club Participa
context: Tour of Kamakura Houses\Name: Oora Kousuke\Word Of The Day\Nichijou 46\Participating in the Prefectural Tournament\Aim for\Congrats!\Go Soccer Club Participa response:	Money
context: Name: Oora Kousuke\Word Of The Day\Nichijou 46\Participating in the Prefectural Tournament\Aim for\Congrats!\Go Soccer Club Participa\Money response:	A Small Miracle
context: Word Of The Day\Nichijou 46\Participating in the Prefectural Tournament\Aim for\Congrats!\Go Soccer Club Participa\Money\A Small Miracle response:	Next one is Sakamoto
context: Nichijou 46\Participating in the Prefectural Tournament\Aim for\Congrats!\Go Soccer Club Participa\Money\A Small Miracle\Next one is Sakamoto response:	Nichijou 47
context: Participating in the Prefectural Tournament\Aim for\Congrats!\Go Soccer Club Participa\Money\A Small Miracle\Next one is Sakamoto\Nichijou 47 response:	Write the English vocabulary word that each picture represents.
context: Aim for\Congrats!\Go Soccer Club Participa\Money\A Small Miracle\Next one is Sakamoto\Nichijou 47\Write the English vocabulary word that each picture represents. response:	Open
context: Congrats!\Go Soccer Club Participa\Money\A Small Miracle\Next one is Sakamoto\Nichijou 47\Write the English vocabulary word that each picture represents.\Open response:	Narration: Shiraishi Fuyumi
context: Go Soccer Club Participa\Money\A Small Miracle\Next one is Sakamoto\Nichijou 47\Write the English vocabulary word that each picture represents.\Open\Narration: Shiraishi Fuyumi response:	Hey, you guys!
context: Money\A Small Miracle\Next one is Sakamoto\Nichijou 47\Write the English vocabulary word that each picture represents.\Open\Narration: Shiraishi Fuyumi\Hey, you guys! response:	How long will you keep hoarding the rent?
context: A Small Miracle\Next one is Sakamoto\Nichijou 47\Write the English vocabulary word that each picture represents.\Open\Narration: Shiraishi Fuyumi\Hey, you guys!\How long will you keep hoarding the rent? response:	With this month, you owe 60,000 yen!
context: Next one is Sakamoto\Nichijou 47\Write the English vocabulary word that each picture represents.\Open\Narration: Shiraishi Fuyumi\Hey, you guys!\How long will you keep hoarding the rent?\With this month, you owe 60,000 yen! response:	I'm sorry!
context: Nichijou 47\Write the English vocabulary word that each picture represents.\Open\Narration: Shiraishi Fuyumi\Hey, you guys!\How long will you keep hoarding the rent?\With this month, you owe 60,000 yen!\I'm sorry! response:	Don't apologise! Pay your rent!
context: Write the English vocabulary word that each picture represents.\Open\Narration: Shiraishi Fuyumi\Hey, you guys!\How long will you keep hoarding the rent?\With this month, you owe 60,000 yen!\I'm sorry!\Don't apologise! Pay your rent! response:	Last time I came by,
context: Open\Narration: Shiraishi Fuyumi\Hey, you guys!\How long will you keep hoarding the rent?\With this month, you owe 60,000 yen!\I'm sorry!\Don't apologise! Pay your rent!\Last time I came by, response:	you said you'd pay it this month for sure, didn't you?
context: Narration: Shiraishi Fuyumi\Hey, you guys!\How long will you keep hoarding the rent?\With this month, you owe 60,000 yen!\I'm sorry!\Don't apologise! Pay your rent!\Last time I came by,\you said you'd pay it this month for sure, didn't you? response:	Come on.
context: Hey, you guys!\How long will you keep hoarding the rent?\With this month, you owe 60,000 yen!\I'm sorry!\Don't apologise! Pay your rent!\Last time I came by,\you said you'd pay it this month for sure, didn't you?\Come on. response:	Out with it.
context: How long will you keep hoarding the rent?\With this month, you owe 60,000 yen!\I'm sorry!\Don't apologise! Pay your rent!\Last time I came by,\you said you'd pay it this month for sure, didn't you?\Come on.\Out with it. response:	It's no good pretending you're asleep!
context: With this month, you owe 60,000 yen!\I'm sorry!\Don't apologise! Pay your rent!\Last time I came by,\you said you'd pay it this month for sure, didn't you?\Come on.\Out with it.\It's no good pretending you're asleep! response:	I won't leave until you pay it!
context: I'm sorry!\Don't apologise! Pay your rent!\Last time I came by,\you said you'd pay it this month for sure, didn't you?\Come on.\Out with it.\It's no good pretending you're asleep!\I won't leave until you pay it! response:	Um...
context: Don't apologise! Pay your rent!\Last time I came by,\you said you'd pay it this month for sure, didn't you?\Come on.\Out with it.\It's no good pretending you're asleep!\I won't leave until you pay it!\Um... response:	Even though this may not be too much, please, accept the humble tears of this bird...
context: Last time I came by,\you said you'd pay it this month for sure, didn't you?\Come on.\Out with it.\It's no good pretending you're asleep!\I won't leave until you pay it!\Um...\Even though this may not be too much, please, accept the humble tears of this bird... response:	Number 1, Honduras Slider Turtle.
context: you said you'd pay it this month for sure, didn't you?\Come on.\Out with it.\It's no good pretending you're asleep!\I won't leave until you pay it!\Um...\Even though this may not be too much, please, accept the humble tears of this bird...\Number 1, Honduras Slider Turtle. response:	Number 2, Modern Ornate Box Turtle.
context: Come on.\Out with it.\It's no good pretending you're asleep!\I won't leave until you pay it!\Um...\Even though this may not be too much, please, accept the humble tears of this bird...\Number 1, Honduras Slider Turtle.\Number 2, Modern Ornate Box Turtle. response:	Number 3, Worrell's Neck-folding Turtle.
context: Out with it.\It's no good pretending you're asleep!\I won't leave until you pay it!\Um...\Even though this may not be too much, please, accept the humble tears of this bird...\Number 1, Honduras Slider Turtle.\Number 2, Modern Ornate Box Turtle.\Number 3, Worrell's Neck-folding Turtle. response:	Number 2.
context: It's no good pretending you're asleep!\I won't leave until you pay it!\Um...\Even though this may not be too much, please, accept the humble tears of this bird...\Number 1, Honduras Slider Turtle.\Number 2, Modern Ornate Box Turtle.\Number 3, Worrell's Neck-folding Turtle.\Number 2. response:	The answer is...
context: I won't leave until you pay it!\Um...\Even though this may not be too much, please, accept the humble tears of this bird...\Number 1, Honduras Slider Turtle.\Number 2, Modern Ornate Box Turtle.\Number 3, Worrell's Neck-folding Turtle.\Number 2.\The answer is... response:	Number 3. Everyone is correct.
context: Um...\Even though this may not be too much, please, accept the humble tears of this bird...\Number 1, Honduras Slider Turtle.\Number 2, Modern Ornate Box Turtle.\Number 3, Worrell's Neck-folding Turtle.\Number 2.\The answer is...\Number 3. Everyone is correct. response:	Shut up.
context: Even though this may not be too much, please, accept the humble tears of this bird...\Number 1, Honduras Slider Turtle.\Number 2, Modern Ornate Box Turtle.\Number 3, Worrell's Neck-folding Turtle.\Number 2.\The answer is...\Number 3. Everyone is correct.\Shut up. response:	Oh, you're still awake?
context: Number 1, Honduras Slider Turtle.\Number 2, Modern Ornate Box Turtle.\Number 3, Worrell's Neck-folding Turtle.\Number 2.\The answer is...\Number 3. Everyone is correct.\Shut up.\Oh, you're still awake? response:	Are you over your cold?
context: Number 2, Modern Ornate Box Turtle.\Number 3, Worrell's Neck-folding Turtle.\Number 2.\The answer is...\Number 3. Everyone is correct.\Shut up.\Oh, you're still awake?\Are you over your cold? response:	Then go back to school tomorrow.
context: Number 3, Worrell's Neck-folding Turtle.\Number 2.\The answer is...\Number 3. Everyone is correct.\Shut up.\Oh, you're still awake?\Are you over your cold?\Then go back to school tomorrow. response:	You've got a test coming up, don't you?
context: Number 2.\The answer is...\Number 3. Everyone is correct.\Shut up.\Oh, you're still awake?\Are you over your cold?\Then go back to school tomorrow.\You've got a test coming up, don't you? response:	All right.
context: The answer is...\Number 3. Everyone is correct.\Shut up.\Oh, you're still awake?\Are you over your cold?\Then go back to school tomorrow.\You've got a test coming up, don't you?\All right. response:	You've been out for three days, so be sure to ask your friends what you missed and what will be on the test.
context: Number 3. Everyone is correct.\Shut up.\Oh, you're still awake?\Are you over your cold?\Then go back to school tomorrow.\You've got a test coming up, don't you?\All right.\You've been out for three days, so be sure to ask your friends what you missed and what will be on the test. response:	You know, you didn't even get a good mark on the last test.
context: Shut up.\Oh, you're still awake?\Are you over your cold?\Then go back to school tomorrow.\You've got a test coming up, don't you?\All right.\You've been out for three days, so be sure to ask your friends what you missed and what will be on the test.\You know, you didn't even get a good mark on the last test. response:	Are you listening?!
context: Oh, you're still awake?\Are you over your cold?\Then go back to school tomorrow.\You've got a test coming up, don't you?\All right.\You've been out for three days, so be sure to ask your friends what you missed and what will be on the test.\You know, you didn't even get a good mark on the last test.\Are you listening?! response:	Man, you're annoying, Mum.
context: Are you over your cold?\Then go back to school tomorrow.\You've got a test coming up, don't you?\All right.\You've been out for three days, so be sure to ask your friends what you missed and what will be on the test.\You know, you didn't even get a good mark on the last test.\Are you listening?!\Man, you're annoying, Mum. response:	Besides, finals are -
context: Then go back to school tomorrow.\You've got a test coming up, don't you?\All right.\You've been out for three days, so be sure to ask your friends what you missed and what will be on the test.\You know, you didn't even get a good mark on the last test.\Are you listening?!\Man, you're annoying, Mum.\Besides, finals are - response:	Tomorrow!?
context: You've got a test coming up, don't you?\All right.\You've been out for three days, so be sure to ask your friends what you missed and what will be on the test.\You know, you didn't even get a good mark on the last test.\Are you listening?!\Man, you're annoying, Mum.\Besides, finals are -\Tomorrow!? response:	Hey, it's too late!
context: All right.\You've been out for three days, so be sure to ask your friends what you missed and what will be on the test.\You know, you didn't even get a good mark on the last test.\Are you listening?!\Man, you're annoying, Mum.\Besides, finals are -\Tomorrow!?\Hey, it's too late! response:	Your warning is too late!
context: You've been out for three days, so be sure to ask your friends what you missed and what will be on the test.\You know, you didn't even get a good mark on the last test.\Are you listening?!\Man, you're annoying, Mum.\Besides, finals are -\Tomorrow!?\Hey, it's too late!\Your warning is too late! response:	But you've been stuck in bed and unable to study, haven't you?
context: You know, you didn't even get a good mark on the last test.\Are you listening?!\Man, you're annoying, Mum.\Besides, finals are -\Tomorrow!?\Hey, it's too late!\Your warning is too late!\But you've been stuck in bed and unable to study, haven't you? response:	I studied!
context: Are you listening?!\Man, you're annoying, Mum.\Besides, finals are -\Tomorrow!?\Hey, it's too late!\Your warning is too late!\But you've been stuck in bed and unable to study, haven't you?\I studied! response:	I studied while I was asleep!
context: Man, you're annoying, Mum.\Besides, finals are -\Tomorrow!?\Hey, it's too late!\Your warning is too late!\But you've been stuck in bed and unable to study, haven't you?\I studied!\I studied while I was asleep! response:	You studied?
context: Besides, finals are -\Tomorrow!?\Hey, it's too late!\Your warning is too late!\But you've been stuck in bed and unable to study, haven't you?\I studied!\I studied while I was asleep!\You studied? response:	I didn't study!
context: Tomorrow!?\Hey, it's too late!\Your warning is too late!\But you've been stuck in bed and unable to study, haven't you?\I studied!\I studied while I was asleep!\You studied?\I didn't study! response:	Which is it?!
context: Hey, it's too late!\Your warning is too late!\But you've been stuck in bed and unable to study, haven't you?\I studied!\I studied while I was asleep!\You studied?\I didn't study!\Which is it?! response:	You warned me too late, so I didn't!
context: Your warning is too late!\But you've been stuck in bed and unable to study, haven't you?\I studied!\I studied while I was asleep!\You studied?\I didn't study!\Which is it?!\You warned me too late, so I didn't! response:	Would you have studied If I warned you earlier?
context: But you've been stuck in bed and unable to study, haven't you?\I studied!\I studied while I was asleep!\You studied?\I didn't study!\Which is it?!\You warned me too late, so I didn't!\Would you have studied If I warned you earlier? response:	I wouldn't!
context: I studied!\I studied while I was asleep!\You studied?\I didn't study!\Which is it?!\You warned me too late, so I didn't!\Would you have studied If I warned you earlier?\I wouldn't! response:	If you get a failing grade, I'll kill you.
context: I studied while I was asleep!\You studied?\I didn't study!\Which is it?!\You warned me too late, so I didn't!\Would you have studied If I warned you earlier?\I wouldn't!\If you get a failing grade, I'll kill you. response:	That's too radical!
context: You studied?\I didn't study!\Which is it?!\You warned me too late, so I didn't!\Would you have studied If I warned you earlier?\I wouldn't!\If you get a failing grade, I'll kill you.\That's too radical! response:	This is super-ultra-great-delicious-wonderful bad.
context: I didn't study!\Which is it?!\You warned me too late, so I didn't!\Would you have studied If I warned you earlier?\I wouldn't!\If you get a failing grade, I'll kill you.\That's too radical!\This is super-ultra-great-delicious-wonderful bad. response:	Anyway, I've got no choice but to do it!
context: Which is it?!\You warned me too late, so I didn't!\Would you have studied If I warned you earlier?\I wouldn't!\If you get a failing grade, I'll kill you.\That's too radical!\This is super-ultra-great-delicious-wonderful bad.\Anyway, I've got no choice but to do it! response:	I have approximately ten hours left until school.
