context: Bell-kun, are we at that town yet? response:	Just a little more, I think, Goddess.
context: Okay, let's go!\What is it, Hermes-sama?\Bell-kun, once we get back to camp, can I have a little of your time?\Good work, Bete.\Hauling antidotes is a pain, don't make me do\it!\Thanks to you, we can leave for the surface in the morning.\We'll be splitting into two groups, response:	and you should go with the first
context: What is it, Hermes-sama?\Bell-kun, once we get back to camp, can I have a little of your time?\Good work, Bete.\Hauling antidotes is a pain, don't make me do\it!\Thanks to you, we can leave for the surface in the morning.\We'll be splitting into two groups,\and you should go with the first response:	What's the bunny brat doing here?
context: Bell-kun, once we get back to camp, can I have a little of your time?\Good work, Bete.\Hauling antidotes is a pain, don't make me do\it!\Thanks to you, we can leave for the surface in the morning.\We'll be splitting into two groups,\and you should go with the first\What's the bunny brat doing here? response:	Oh, some stuff happened.
context: Good work, Bete.\Hauling antidotes is a pain, don't make me do\it!\Thanks to you, we can leave for the surface in the morning.\We'll be splitting into two groups,\and you should go with the first\What's the bunny brat doing here?\Oh, some stuff happened. response:	What do you mean, some stuff?
context: Hauling antidotes is a pain, don't make me do\it!\Thanks to you, we can leave for the surface in the morning.\We'll be splitting into two groups,\and you should go with the first\What's the bunny brat doing here?\Oh, some stuff happened.\What do you mean, some stuff? response:	Um, Hermes-sama...
context: it!\Thanks to you, we can leave for the surface in the morning.\We'll be splitting into two groups,\and you should go with the first\What's the bunny brat doing here?\Oh, some stuff happened.\What do you mean, some stuff?\Um, Hermes-sama... response:	I followed you here because you said you wanted to speak alone.
context: Thanks to you, we can leave for the surface in the morning.\We'll be splitting into two groups,\and you should go with the first\What's the bunny brat doing here?\Oh, some stuff happened.\What do you mean, some stuff?\Um, Hermes-sama...\I followed you here because you said you wanted to speak alone. response:	But why are we climbing a tree?
context: We'll be splitting into two groups,\and you should go with the first\What's the bunny brat doing here?\Oh, some stuff happened.\What do you mean, some stuff?\Um, Hermes-sama...\I followed you here because you said you wanted to speak alone.\But why are we climbing a tree? response:	You'll understand if you follow.
context: and you should go with the first\What's the bunny brat doing here?\Oh, some stuff happened.\What do you mean, some stuff?\Um, Hermes-sama...\I followed you here because you said you wanted to speak alone.\But why are we climbing a tree?\You'll understand if you follow. response:	Uh...
context: What's the bunny brat doing here?\Oh, some stuff happened.\What do you mean, some stuff?\Um, Hermes-sama...\I followed you here because you said you wanted to speak alone.\But why are we climbing a tree?\You'll understand if you follow.\Uh... response:	But...
context: Oh, some stuff happened.\What do you mean, some stuff?\Um, Hermes-sama...\I followed you here because you said you wanted to speak alone.\But why are we climbing a tree?\You'll understand if you follow.\Uh...\But... response:	Look below, Bell-kun.
context: What do you mean, some stuff?\Um, Hermes-sama...\I followed you here because you said you wanted to speak alone.\But why are we climbing a tree?\You'll understand if you follow.\Uh...\But...\Look below, Bell-kun. response:	I win, hands-down!
context: Um, Hermes-sama...\I followed you here because you said you wanted to speak alone.\But why are we climbing a tree?\You'll understand if you follow.\Uh...\But...\Look below, Bell-kun.\I win, hands-down! response:	Why are you comparing yourself to the others, Hestia-sama?
context: I followed you here because you said you wanted to speak alone.\But why are we climbing a tree?\You'll understand if you follow.\Uh...\But...\Look below, Bell-kun.\I win, hands-down!\Why are you comparing yourself to the others, Hestia-sama? response:	The girls are bathing.
context: But why are we climbing a tree?\You'll understand if you follow.\Uh...\But...\Look below, Bell-kun.\I win, hands-down!\Why are you comparing yourself to the others, Hestia-sama?\The girls are bathing. response:	Obviously, we're going to peek.
context: You'll understand if you follow.\Uh...\But...\Look below, Bell-kun.\I win, hands-down!\Why are you comparing yourself to the others, Hestia-sama?\The girls are bathing.\Obviously, we're going to peek. response:	That's not obvious at all!
context: Uh...\But...\Look below, Bell-kun.\I win, hands-down!\Why are you comparing yourself to the others, Hestia-sama?\The girls are bathing.\Obviously, we're going to peek.\That's not obvious at all! response:	This is wrong, Hermes-sama!
context: But...\Look below, Bell-kun.\I win, hands-down!\Why are you comparing yourself to the others, Hestia-sama?\The girls are bathing.\Obviously, we're going to peek.\That's not obvious at all!\This is wrong, Hermes-sama! response:	Bell-kun, peeking is part of a man's romance.
context: Look below, Bell-kun.\I win, hands-down!\Why are you comparing yourself to the others, Hestia-sama?\The girls are bathing.\Obviously, we're going to peek.\That's not obvious at all!\This is wrong, Hermes-sama!\Bell-kun, peeking is part of a man's romance. response:	Bell, peeking is part of a man's romance.
context: I win, hands-down!\Why are you comparing yourself to the others, Hestia-sama?\The girls are bathing.\Obviously, we're going to peek.\That's not obvious at all!\This is wrong, Hermes-sama!\Bell-kun, peeking is part of a man's romance.\Bell, peeking is part of a man's romance. response:	Grandpa!
context: Why are you comparing yourself to the others, Hestia-sama?\The girls are bathing.\Obviously, we're going to peek.\That's not obvious at all!\This is wrong, Hermes-sama!\Bell-kun, peeking is part of a man's romance.\Bell, peeking is part of a man's romance.\Grandpa! response:	RRRomance!
context: The girls are bathing.\Obviously, we're going to peek.\That's not obvious at all!\This is wrong, Hermes-sama!\Bell-kun, peeking is part of a man's romance.\Bell, peeking is part of a man's romance.\Grandpa!\RRRomance! response:	Grandpa!
context: Obviously, we're going to peek.\That's not obvious at all!\This is wrong, Hermes-sama!\Bell-kun, peeking is part of a man's romance.\Bell, peeking is part of a man's romance.\Grandpa!\RRRomance!\Grandpa! response:	Let's go back, Hermes-sama!
context: That's not obvious at all!\This is wrong, Hermes-sama!\Bell-kun, peeking is part of a man's romance.\Bell, peeking is part of a man's romance.\Grandpa!\RRRomance!\Grandpa!\Let's go back, Hermes-sama! response:	Hey, it's the Argonaut!
context: This is wrong, Hermes-sama!\Bell-kun, peeking is part of a man's romance.\Bell, peeking is part of a man's romance.\Grandpa!\RRRomance!\Grandpa!\Let's go back, Hermes-sama!\Hey, it's the Argonaut! response:	What, did you come to take a bath, too?
context: Bell-kun, peeking is part of a man's romance.\Bell, peeking is part of a man's romance.\Grandpa!\RRRomance!\Grandpa!\Let's go back, Hermes-sama!\Hey, it's the Argonaut!\What, did you come to take a bath, too? response:	I had you pegged as the quiet type. I'm impressed.
context: Bell, peeking is part of a man's romance.\Grandpa!\RRRomance!\Grandpa!\Let's go back, Hermes-sama!\Hey, it's the Argonaut!\What, did you come to take a bath, too?\I had you pegged as the quiet type. I'm impressed. response:	No way...
context: Grandpa!\RRRomance!\Grandpa!\Let's go back, Hermes-sama!\Hey, it's the Argonaut!\What, did you come to take a bath, too?\I had you pegged as the quiet type. I'm impressed.\No way... response:	Um... um...
context: RRRomance!\Grandpa!\Let's go back, Hermes-sama!\Hey, it's the Argonaut!\What, did you come to take a bath, too?\I had you pegged as the quiet type. I'm impressed.\No way...\Um... um... response:	What are you doing, Bell-sama?
context: Grandpa!\Let's go back, Hermes-sama!\Hey, it's the Argonaut!\What, did you come to take a bath, too?\I had you pegged as the quiet type. I'm impressed.\No way...\Um... um...\What are you doing, Bell-sama? response:	Oh, Bell-kun, you're so silly.
context: Let's go back, Hermes-sama!\Hey, it's the Argonaut!\What, did you come to take a bath, too?\I had you pegged as the quiet type. I'm impressed.\No way...\Um... um...\What are you doing, Bell-sama?\Oh, Bell-kun, you're so silly. response:	I'm sorry!
context: Hey, it's the Argonaut!\What, did you come to take a bath, too?\I had you pegged as the quiet type. I'm impressed.\No way...\Um... um...\What are you doing, Bell-sama?\Oh, Bell-kun, you're so silly.\I'm sorry! response:	Huh?
context: What, did you come to take a bath, too?\I had you pegged as the quiet type. I'm impressed.\No way...\Um... um...\What are you doing, Bell-sama?\Oh, Bell-kun, you're so silly.\I'm sorry!\Huh? response:	Where am I?
context: I had you pegged as the quiet type. I'm impressed.\No way...\Um... um...\What are you doing, Bell-sama?\Oh, Bell-kun, you're so silly.\I'm sorry!\Huh?\Where am I? response:	What do I do?
context: No way...\Um... um...\What are you doing, Bell-sama?\Oh, Bell-kun, you're so silly.\I'm sorry!\Huh?\Where am I?\What do I do? response:	The sound of water?
context: Um... um...\What are you doing, Bell-sama?\Oh, Bell-kun, you're so silly.\I'm sorry!\Huh?\Where am I?\What do I do?\The sound of water? response:	Who's there?
context: What are you doing, Bell-sama?\Oh, Bell-kun, you're so silly.\I'm sorry!\Huh?\Where am I?\What do I do?\The sound of water?\Who's there? response:	I-I'm sorry!
context: Oh, Bell-kun, you're so silly.\I'm sorry!\Huh?\Where am I?\What do I do?\The sound of water?\Who's there?\I-I'm sorry! response:	Cranel-san!
context: I'm sorry!\Huh?\Where am I?\What do I do?\The sound of water?\Who's there?\I-I'm sorry!\Cranel-san! response:	I see.
context: Huh?\Where am I?\What do I do?\The sound of water?\Who's there?\I-I'm sorry!\Cranel-san!\I see. response:	I understand what happened.
context: Where am I?\What do I do?\The sound of water?\Who's there?\I-I'm sorry!\Cranel-san!\I see.\I understand what happened. response:	There's no need to worry about it.
context: What do I do?\The sound of water?\Who's there?\I-I'm sorry!\Cranel-san!\I see.\I understand what happened.\There's no need to worry about it. response:	Y-You're going to forgive me?
context: The sound of water?\Who's there?\I-I'm sorry!\Cranel-san!\I see.\I understand what happened.\There's no need to worry about it.\Y-You're going to forgive me? response:	You don't think I'm lying?
context: Who's there?\I-I'm sorry!\Cranel-san!\I see.\I understand what happened.\There's no need to worry about it.\Y-You're going to forgive me?\You don't think I'm lying? response:	Cranel-san.
context: I-I'm sorry!\Cranel-san!\I see.\I understand what happened.\There's no need to worry about it.\Y-You're going to forgive me?\You don't think I'm lying?\Cranel-san. response:	Humility is a virtue.
context: Cranel-san!\I see.\I understand what happened.\There's no need to worry about it.\Y-You're going to forgive me?\You don't think I'm lying?\Cranel-san.\Humility is a virtue. response:	But do not insult yourself.
context: I see.\I understand what happened.\There's no need to worry about it.\Y-You're going to forgive me?\You don't think I'm lying?\Cranel-san.\Humility is a virtue.\But do not insult yourself. response:	It's a bad habit of yours.
context: I understand what happened.\There's no need to worry about it.\Y-You're going to forgive me?\You don't think I'm lying?\Cranel-san.\Humility is a virtue.\But do not insult yourself.\It's a bad habit of yours. response:	I-I'm sorry.
context: There's no need to worry about it.\Y-You're going to forgive me?\You don't think I'm lying?\Cranel-san.\Humility is a virtue.\But do not insult yourself.\It's a bad habit of yours.\I-I'm sorry. response:	Um...
context: Y-You're going to forgive me?\You don't think I'm lying?\Cranel-san.\Humility is a virtue.\But do not insult yourself.\It's a bad habit of yours.\I-I'm sorry.\Um... response:	It's a little late for this,
context: You don't think I'm lying?\Cranel-san.\Humility is a virtue.\But do not insult yourself.\It's a bad habit of yours.\I-I'm sorry.\Um...\It's a little late for this, response:	but thanks for coming all this way to save me.
context: Cranel-san.\Humility is a virtue.\But do not insult yourself.\It's a bad habit of yours.\I-I'm sorry.\Um...\It's a little late for this,\but thanks for coming all this way to save me. response:	Don't worry about it.
context: Humility is a virtue.\But do not insult yourself.\It's a bad habit of yours.\I-I'm sorry.\Um...\It's a little late for this,\but thanks for coming all this way to save me.\Don't worry about it. response:	I was planning on coming here sometime soon, anyway.
context: But do not insult yourself.\It's a bad habit of yours.\I-I'm sorry.\Um...\It's a little late for this,\but thanks for coming all this way to save me.\Don't worry about it.\I was planning on coming here sometime soon, anyway. response:	Mama Mia gives me time off, every so often, to bring them flowers.
context: It's a bad habit of yours.\I-I'm sorry.\Um...\It's a little late for this,\but thanks for coming all this way to save me.\Don't worry about it.\I was planning on coming here sometime soon, anyway.\Mama Mia gives me time off, every so often, to bring them flowers. response:	Ryu-san, is this...
context: I-I'm sorry.\Um...\It's a little late for this,\but thanks for coming all this way to save me.\Don't worry about it.\I was planning on coming here sometime soon, anyway.\Mama Mia gives me time off, every so often, to bring them flowers.\Ryu-san, is this... response:	It's the grave of the familia I belonged to once.
context: Um...\It's a little late for this,\but thanks for coming all this way to save me.\Don't worry about it.\I was planning on coming here sometime soon, anyway.\Mama Mia gives me time off, every so often, to bring them flowers.\Ryu-san, is this...\It's the grave of the familia I belonged to once. response:	An enemy familia set a trap for us in the dungeon,
context: It's a little late for this,\but thanks for coming all this way to save me.\Don't worry about it.\I was planning on coming here sometime soon, anyway.\Mama Mia gives me time off, every so often, to bring them flowers.\Ryu-san, is this...\It's the grave of the familia I belonged to once.\An enemy familia set a trap for us in the dungeon, response:	and everyone but me was killed.
context: but thanks for coming all this way to save me.\Don't worry about it.\I was planning on coming here sometime soon, anyway.\Mama Mia gives me time off, every so often, to bring them flowers.\Ryu-san, is this...\It's the grave of the familia I belonged to once.\An enemy familia set a trap for us in the dungeon,\and everyone but me was killed. response:	Cranel-san,
context: Don't worry about it.\I was planning on coming here sometime soon, anyway.\Mama Mia gives me time off, every so often, to bring them flowers.\Ryu-san, is this...\It's the grave of the familia I belonged to once.\An enemy familia set a trap for us in the dungeon,\and everyone but me was killed.\Cranel-san, response:	would you listen to my story?
context: I was planning on coming here sometime soon, anyway.\Mama Mia gives me time off, every so often, to bring them flowers.\Ryu-san, is this...\It's the grave of the familia I belonged to once.\An enemy familia set a trap for us in the dungeon,\and everyone but me was killed.\Cranel-san,\would you listen to my story? response:	Uh, sure.
context: Mama Mia gives me time off, every so often, to bring them flowers.\Ryu-san, is this...\It's the grave of the familia I belonged to once.\An enemy familia set a trap for us in the dungeon,\and everyone but me was killed.\Cranel-san,\would you listen to my story?\Uh, sure. response:	I'm blacklisted from the guild.
context: Ryu-san, is this...\It's the grave of the familia I belonged to once.\An enemy familia set a trap for us in the dungeon,\and everyone but me was killed.\Cranel-san,\would you listen to my story?\Uh, sure.\I'm blacklisted from the guild. response:	I wiped out that enemy familia.
context: It's the grave of the familia I belonged to once.\An enemy familia set a trap for us in the dungeon,\and everyone but me was killed.\Cranel-san,\would you listen to my story?\Uh, sure.\I'm blacklisted from the guild.\I wiped out that enemy familia. response:	Night attacks. Surprise attacks. Traps.
context: An enemy familia set a trap for us in the dungeon,\and everyone but me was killed.\Cranel-san,\would you listen to my story?\Uh, sure.\I'm blacklisted from the guild.\I wiped out that enemy familia.\Night attacks. Surprise attacks. Traps. response:	Driven by rage, I avenged my comrades, doing whatever was necessary.
context: and everyone but me was killed.\Cranel-san,\would you listen to my story?\Uh, sure.\I'm blacklisted from the guild.\I wiped out that enemy familia.\Night attacks. Surprise attacks. Traps.\Driven by rage, I avenged my comrades, doing whatever was necessary. response:	And when I'd had my revenge,
context: Cranel-san,\would you listen to my story?\Uh, sure.\I'm blacklisted from the guild.\I wiped out that enemy familia.\Night attacks. Surprise attacks. Traps.\Driven by rage, I avenged my comrades, doing whatever was necessary.\And when I'd had my revenge, response:	I collapsed in a dark, abandoned alleyway.
