context: To visit someone named Daphne who was said to have met a dragon, response:	we came to a traveler's inn named Rise.
context: Yes-yes-yes...\I've been waiting for you, Dragon Slayer.\So, what are you doing here, Gray?\Gray-san?\What's wrong with you, Gray?\Stand back, Wendy.\He's being serious.\Gray, what's wrong? response:	Do you have a stomachache?
context: I've been waiting for you, Dragon Slayer.\So, what are you doing here, Gray?\Gray-san?\What's wrong with you, Gray?\Stand back, Wendy.\He's being serious.\Gray, what's wrong?\Do you have a stomachache? response:	That's obviously not the problem!
context: So, what are you doing here, Gray?\Gray-san?\What's wrong with you, Gray?\Stand back, Wendy.\He's being serious.\Gray, what's wrong?\Do you have a stomachache?\That's obviously not the problem! response:	Gray-san!
context: Gray-san?\What's wrong with you, Gray?\Stand back, Wendy.\He's being serious.\Gray, what's wrong?\Do you have a stomachache?\That's obviously not the problem!\Gray-san! response:	Ice Make Lance!
context: What's wrong with you, Gray?\Stand back, Wendy.\He's being serious.\Gray, what's wrong?\Do you have a stomachache?\That's obviously not the problem!\Gray-san!\Ice Make Lance! response:	Natsu-san! Gray-san!
context: Stand back, Wendy.\He's being serious.\Gray, what's wrong?\Do you have a stomachache?\That's obviously not the problem!\Gray-san!\Ice Make Lance!\Natsu-san! Gray-san! response:	What's going on?
context: He's being serious.\Gray, what's wrong?\Do you have a stomachache?\That's obviously not the problem!\Gray-san!\Ice Make Lance!\Natsu-san! Gray-san!\What's going on? response:	Gray! Why are you attacking Natsu?
context: Gray, what's wrong?\Do you have a stomachache?\That's obviously not the problem!\Gray-san!\Ice Make Lance!\Natsu-san! Gray-san!\What's going on?\Gray! Why are you attacking Natsu? response:	Yes-yes-yes...
context: Do you have a stomachache?\That's obviously not the problem!\Gray-san!\Ice Make Lance!\Natsu-san! Gray-san!\What's going on?\Gray! Why are you attacking Natsu?\Yes-yes-yes... response:	I bet you are surprised.
context: That's obviously not the problem!\Gray-san!\Ice Make Lance!\Natsu-san! Gray-san!\What's going on?\Gray! Why are you attacking Natsu?\Yes-yes-yes...\I bet you are surprised. response:	But you have no time to stand there slack-jawed.
context: Gray-san!\Ice Make Lance!\Natsu-san! Gray-san!\What's going on?\Gray! Why are you attacking Natsu?\Yes-yes-yes...\I bet you are surprised.\But you have no time to stand there slack-jawed. response:	Gray Fullbuster, finish them off!
context: Ice Make Lance!\Natsu-san! Gray-san!\What's going on?\Gray! Why are you attacking Natsu?\Yes-yes-yes...\I bet you are surprised.\But you have no time to stand there slack-jawed.\Gray Fullbuster, finish them off! response:	I heard ya!
context: Natsu-san! Gray-san!\What's going on?\Gray! Why are you attacking Natsu?\Yes-yes-yes...\I bet you are surprised.\But you have no time to stand there slack-jawed.\Gray Fullbuster, finish them off!\I heard ya! response:	What do you think you're doing, seriously?
context: What's going on?\Gray! Why are you attacking Natsu?\Yes-yes-yes...\I bet you are surprised.\But you have no time to stand there slack-jawed.\Gray Fullbuster, finish them off!\I heard ya!\What do you think you're doing, seriously? response:	Nothin' at all.
context: Gray! Why are you attacking Natsu?\Yes-yes-yes...\I bet you are surprised.\But you have no time to stand there slack-jawed.\Gray Fullbuster, finish them off!\I heard ya!\What do you think you're doing, seriously?\Nothin' at all. response:	Just wiping you out, is all!
context: Yes-yes-yes...\I bet you are surprised.\But you have no time to stand there slack-jawed.\Gray Fullbuster, finish them off!\I heard ya!\What do you think you're doing, seriously?\Nothin' at all.\Just wiping you out, is all! response:	Stop it, Gray-san!
context: I bet you are surprised.\But you have no time to stand there slack-jawed.\Gray Fullbuster, finish them off!\I heard ya!\What do you think you're doing, seriously?\Nothin' at all.\Just wiping you out, is all!\Stop it, Gray-san! response:	Wait, isn't he a fake?
context: But you have no time to stand there slack-jawed.\Gray Fullbuster, finish them off!\I heard ya!\What do you think you're doing, seriously?\Nothin' at all.\Just wiping you out, is all!\Stop it, Gray-san!\Wait, isn't he a fake? response:	Something similar happened before.
context: Gray Fullbuster, finish them off!\I heard ya!\What do you think you're doing, seriously?\Nothin' at all.\Just wiping you out, is all!\Stop it, Gray-san!\Wait, isn't he a fake?\Something similar happened before. response:	That's right!
context: I heard ya!\What do you think you're doing, seriously?\Nothin' at all.\Just wiping you out, is all!\Stop it, Gray-san!\Wait, isn't he a fake?\Something similar happened before.\That's right! response:	There's something different about Gray this time...
context: What do you think you're doing, seriously?\Nothin' at all.\Just wiping you out, is all!\Stop it, Gray-san!\Wait, isn't he a fake?\Something similar happened before.\That's right!\There's something different about Gray this time... response:	Something different?
context: Nothin' at all.\Just wiping you out, is all!\Stop it, Gray-san!\Wait, isn't he a fake?\Something similar happened before.\That's right!\There's something different about Gray this time...\Something different? response:	Like what?
context: Just wiping you out, is all!\Stop it, Gray-san!\Wait, isn't he a fake?\Something similar happened before.\That's right!\There's something different about Gray this time...\Something different?\Like what? response:	Um...
context: Stop it, Gray-san!\Wait, isn't he a fake?\Something similar happened before.\That's right!\There's something different about Gray this time...\Something different?\Like what?\Um... response:	Let's do this for real already, Natsu.
context: Wait, isn't he a fake?\Something similar happened before.\That's right!\There's something different about Gray this time...\Something different?\Like what?\Um...\Let's do this for real already, Natsu. response:	He stripped.
context: Something similar happened before.\That's right!\There's something different about Gray this time...\Something different?\Like what?\Um...\Let's do this for real already, Natsu.\He stripped. response:	He really is Gray!
context: That's right!\There's something different about Gray this time...\Something different?\Like what?\Um...\Let's do this for real already, Natsu.\He stripped.\He really is Gray! response:	That's what it was?
context: There's something different about Gray this time...\Something different?\Like what?\Um...\Let's do this for real already, Natsu.\He stripped.\He really is Gray!\That's what it was? response:	Natsu vs. Gray!!
context: Something different?\Like what?\Um...\Let's do this for real already, Natsu.\He stripped.\He really is Gray!\That's what it was?\Natsu vs. Gray!! response:	You bastard... You're seriously going for it?
context: Like what?\Um...\Let's do this for real already, Natsu.\He stripped.\He really is Gray!\That's what it was?\Natsu vs. Gray!!\You bastard... You're seriously going for it? response:	Here I come, Natsu.
context: Um...\Let's do this for real already, Natsu.\He stripped.\He really is Gray!\That's what it was?\Natsu vs. Gray!!\You bastard... You're seriously going for it?\Here I come, Natsu. response:	Ice Make Battle Axe!
context: Let's do this for real already, Natsu.\He stripped.\He really is Gray!\That's what it was?\Natsu vs. Gray!!\You bastard... You're seriously going for it?\Here I come, Natsu.\Ice Make Battle Axe! response:	Roar of the Fire Dragon!
context: He stripped.\He really is Gray!\That's what it was?\Natsu vs. Gray!!\You bastard... You're seriously going for it?\Here I come, Natsu.\Ice Make Battle Axe!\Roar of the Fire Dragon! response:	Yes-yes, that's the way.
context: He really is Gray!\That's what it was?\Natsu vs. Gray!!\You bastard... You're seriously going for it?\Here I come, Natsu.\Ice Make Battle Axe!\Roar of the Fire Dragon!\Yes-yes, that's the way. response:	He's not a fake, absolutely not.
context: That's what it was?\Natsu vs. Gray!!\You bastard... You're seriously going for it?\Here I come, Natsu.\Ice Make Battle Axe!\Roar of the Fire Dragon!\Yes-yes, that's the way.\He's not a fake, absolutely not. response:	He is the honest to goodness Gray Fullbuster, in the flesh!
context: Natsu vs. Gray!!\You bastard... You're seriously going for it?\Here I come, Natsu.\Ice Make Battle Axe!\Roar of the Fire Dragon!\Yes-yes, that's the way.\He's not a fake, absolutely not.\He is the honest to goodness Gray Fullbuster, in the flesh! response:	And just so you know, I'm not controlling him using magic!
context: You bastard... You're seriously going for it?\Here I come, Natsu.\Ice Make Battle Axe!\Roar of the Fire Dragon!\Yes-yes, that's the way.\He's not a fake, absolutely not.\He is the honest to goodness Gray Fullbuster, in the flesh!\And just so you know, I'm not controlling him using magic! response:	He is doing this of his own free will!
context: Here I come, Natsu.\Ice Make Battle Axe!\Roar of the Fire Dragon!\Yes-yes, that's the way.\He's not a fake, absolutely not.\He is the honest to goodness Gray Fullbuster, in the flesh!\And just so you know, I'm not controlling him using magic!\He is doing this of his own free will! response:	You don't need to tell me that.
context: Ice Make Battle Axe!\Roar of the Fire Dragon!\Yes-yes, that's the way.\He's not a fake, absolutely not.\He is the honest to goodness Gray Fullbuster, in the flesh!\And just so you know, I'm not controlling him using magic!\He is doing this of his own free will!\You don't need to tell me that. response:	No one's punches could piss me off the same way as the real Gray's!
context: Roar of the Fire Dragon!\Yes-yes, that's the way.\He's not a fake, absolutely not.\He is the honest to goodness Gray Fullbuster, in the flesh!\And just so you know, I'm not controlling him using magic!\He is doing this of his own free will!\You don't need to tell me that.\No one's punches could piss me off the same way as the real Gray's! response:	You're tellin' me you let me punch you as some sort of test?
context: Yes-yes, that's the way.\He's not a fake, absolutely not.\He is the honest to goodness Gray Fullbuster, in the flesh!\And just so you know, I'm not controlling him using magic!\He is doing this of his own free will!\You don't need to tell me that.\No one's punches could piss me off the same way as the real Gray's!\You're tellin' me you let me punch you as some sort of test? response:	Talons of the Fire Dragon!
context: He's not a fake, absolutely not.\He is the honest to goodness Gray Fullbuster, in the flesh!\And just so you know, I'm not controlling him using magic!\He is doing this of his own free will!\You don't need to tell me that.\No one's punches could piss me off the same way as the real Gray's!\You're tellin' me you let me punch you as some sort of test?\Talons of the Fire Dragon! response:	Hold it, buddy!
context: He is the honest to goodness Gray Fullbuster, in the flesh!\And just so you know, I'm not controlling him using magic!\He is doing this of his own free will!\You don't need to tell me that.\No one's punches could piss me off the same way as the real Gray's!\You're tellin' me you let me punch you as some sort of test?\Talons of the Fire Dragon!\Hold it, buddy! response:	Natsu!
context: And just so you know, I'm not controlling him using magic!\He is doing this of his own free will!\You don't need to tell me that.\No one's punches could piss me off the same way as the real Gray's!\You're tellin' me you let me punch you as some sort of test?\Talons of the Fire Dragon!\Hold it, buddy!\Natsu! response:	Overdoing it, as always.
context: He is doing this of his own free will!\You don't need to tell me that.\No one's punches could piss me off the same way as the real Gray's!\You're tellin' me you let me punch you as some sort of test?\Talons of the Fire Dragon!\Hold it, buddy!\Natsu!\Overdoing it, as always. response:	That enough?
context: You don't need to tell me that.\No one's punches could piss me off the same way as the real Gray's!\You're tellin' me you let me punch you as some sort of test?\Talons of the Fire Dragon!\Hold it, buddy!\Natsu!\Overdoing it, as always.\That enough? response:	Explain what's going on already.
context: No one's punches could piss me off the same way as the real Gray's!\You're tellin' me you let me punch you as some sort of test?\Talons of the Fire Dragon!\Hold it, buddy!\Natsu!\Overdoing it, as always.\That enough?\Explain what's going on already. response:	What the hell are you thinking, Gray?
context: You're tellin' me you let me punch you as some sort of test?\Talons of the Fire Dragon!\Hold it, buddy!\Natsu!\Overdoing it, as always.\That enough?\Explain what's going on already.\What the hell are you thinking, Gray? response:	A city without sound.
context: Talons of the Fire Dragon!\Hold it, buddy!\Natsu!\Overdoing it, as always.\That enough?\Explain what's going on already.\What the hell are you thinking, Gray?\A city without sound. response:	Huh? A city without sound?
context: Hold it, buddy!\Natsu!\Overdoing it, as always.\That enough?\Explain what's going on already.\What the hell are you thinking, Gray?\A city without sound.\Huh? A city without sound? response:	What are you talking about?
context: Natsu!\Overdoing it, as always.\That enough?\Explain what's going on already.\What the hell are you thinking, Gray?\A city without sound.\Huh? A city without sound?\What are you talking about? response:	You wouldn't understand.
context: Overdoing it, as always.\That enough?\Explain what's going on already.\What the hell are you thinking, Gray?\A city without sound.\Huh? A city without sound?\What are you talking about?\You wouldn't understand. response:	But it doesn't matter anyway!
context: That enough?\Explain what's going on already.\What the hell are you thinking, Gray?\A city without sound.\Huh? A city without sound?\What are you talking about?\You wouldn't understand.\But it doesn't matter anyway! response:	Just die already!
context: Explain what's going on already.\What the hell are you thinking, Gray?\A city without sound.\Huh? A city without sound?\What are you talking about?\You wouldn't understand.\But it doesn't matter anyway!\Just die already! response:	Wow... Both of their powers are about equal.
context: What the hell are you thinking, Gray?\A city without sound.\Huh? A city without sound?\What are you talking about?\You wouldn't understand.\But it doesn't matter anyway!\Just die already!\Wow... Both of their powers are about equal. response:	This is no time to be impressed!
context: A city without sound.\Huh? A city without sound?\What are you talking about?\You wouldn't understand.\But it doesn't matter anyway!\Just die already!\Wow... Both of their powers are about equal.\This is no time to be impressed! response:	Aye...
context: Huh? A city without sound?\What are you talking about?\You wouldn't understand.\But it doesn't matter anyway!\Just die already!\Wow... Both of their powers are about equal.\This is no time to be impressed!\Aye... response:	What in the world is this?
context: What are you talking about?\You wouldn't understand.\But it doesn't matter anyway!\Just die already!\Wow... Both of their powers are about equal.\This is no time to be impressed!\Aye...\What in the world is this? response:	Why is Gray-san doing this?
context: You wouldn't understand.\But it doesn't matter anyway!\Just die already!\Wow... Both of their powers are about equal.\This is no time to be impressed!\Aye...\What in the world is this?\Why is Gray-san doing this? response:	Gray Fullbuster volunteered to assist me of his own will.
context: But it doesn't matter anyway!\Just die already!\Wow... Both of their powers are about equal.\This is no time to be impressed!\Aye...\What in the world is this?\Why is Gray-san doing this?\Gray Fullbuster volunteered to assist me of his own will. response:	Of his own will?
context: Just die already!\Wow... Both of their powers are about equal.\This is no time to be impressed!\Aye...\What in the world is this?\Why is Gray-san doing this?\Gray Fullbuster volunteered to assist me of his own will.\Of his own will? response:	I came to Magnolia about 10 days ago.
context: Wow... Both of their powers are about equal.\This is no time to be impressed!\Aye...\What in the world is this?\Why is Gray-san doing this?\Gray Fullbuster volunteered to assist me of his own will.\Of his own will?\I came to Magnolia about 10 days ago. response:	When I went to investigate the origins of Natsu Dragneel,
context: This is no time to be impressed!\Aye...\What in the world is this?\Why is Gray-san doing this?\Gray Fullbuster volunteered to assist me of his own will.\Of his own will?\I came to Magnolia about 10 days ago.\When I went to investigate the origins of Natsu Dragneel, response:	I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see.
context: Aye...\What in the world is this?\Why is Gray-san doing this?\Gray Fullbuster volunteered to assist me of his own will.\Of his own will?\I came to Magnolia about 10 days ago.\When I went to investigate the origins of Natsu Dragneel,\I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see. response:	Right now, he's my partner!
context: What in the world is this?\Why is Gray-san doing this?\Gray Fullbuster volunteered to assist me of his own will.\Of his own will?\I came to Magnolia about 10 days ago.\When I went to investigate the origins of Natsu Dragneel,\I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see.\Right now, he's my partner! response:	He's a complete traitor!
context: Why is Gray-san doing this?\Gray Fullbuster volunteered to assist me of his own will.\Of his own will?\I came to Magnolia about 10 days ago.\When I went to investigate the origins of Natsu Dragneel,\I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see.\Right now, he's my partner!\He's a complete traitor! response:	But... I can't believe that!
context: Gray Fullbuster volunteered to assist me of his own will.\Of his own will?\I came to Magnolia about 10 days ago.\When I went to investigate the origins of Natsu Dragneel,\I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see.\Right now, he's my partner!\He's a complete traitor!\But... I can't believe that! response:	That means that Gray and Daphne really do...
context: Of his own will?\I came to Magnolia about 10 days ago.\When I went to investigate the origins of Natsu Dragneel,\I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see.\Right now, he's my partner!\He's a complete traitor!\But... I can't believe that!\That means that Gray and Daphne really do... response:	Could be.
context: I came to Magnolia about 10 days ago.\When I went to investigate the origins of Natsu Dragneel,\I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see.\Right now, he's my partner!\He's a complete traitor!\But... I can't believe that!\That means that Gray and Daphne really do...\Could be. response:	She didn't deny it!
context: When I went to investigate the origins of Natsu Dragneel,\I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see.\Right now, he's my partner!\He's a complete traitor!\But... I can't believe that!\That means that Gray and Daphne really do...\Could be.\She didn't deny it! response:	Whoa! Juvia ain't gonna let this stand!
context: I happened upon Gray Fullbuster, who took interest in my story, and offered to assist me, see.\Right now, he's my partner!\He's a complete traitor!\But... I can't believe that!\That means that Gray and Daphne really do...\Could be.\She didn't deny it!\Whoa! Juvia ain't gonna let this stand! response:	It's gonna be a bloodbath!
context: Right now, he's my partner!\He's a complete traitor!\But... I can't believe that!\That means that Gray and Daphne really do...\Could be.\She didn't deny it!\Whoa! Juvia ain't gonna let this stand!\It's gonna be a bloodbath! response:	Honestly, you are so annoying!
context: He's a complete traitor!\But... I can't believe that!\That means that Gray and Daphne really do...\Could be.\She didn't deny it!\Whoa! Juvia ain't gonna let this stand!\It's gonna be a bloodbath!\Honestly, you are so annoying! response:	Stop butting into every conversation!
context: But... I can't believe that!\That means that Gray and Daphne really do...\Could be.\She didn't deny it!\Whoa! Juvia ain't gonna let this stand!\It's gonna be a bloodbath!\Honestly, you are so annoying!\Stop butting into every conversation! response:	I'm sorry...
context: That means that Gray and Daphne really do...\Could be.\She didn't deny it!\Whoa! Juvia ain't gonna let this stand!\It's gonna be a bloodbath!\Honestly, you are so annoying!\Stop butting into every conversation!\I'm sorry... response:	What is the city without sound that Gray-san is talking about?
context: Could be.\She didn't deny it!\Whoa! Juvia ain't gonna let this stand!\It's gonna be a bloodbath!\Honestly, you are so annoying!\Stop butting into every conversation!\I'm sorry...\What is the city without sound that Gray-san is talking about? response:	Why were you investigating Natsu-san exactly?
context: She didn't deny it!\Whoa! Juvia ain't gonna let this stand!\It's gonna be a bloodbath!\Honestly, you are so annoying!\Stop butting into every conversation!\I'm sorry...\What is the city without sound that Gray-san is talking about?\Why were you investigating Natsu-san exactly? response:	Yes-yes!
context: Whoa! Juvia ain't gonna let this stand!\It's gonna be a bloodbath!\Honestly, you are so annoying!\Stop butting into every conversation!\I'm sorry...\What is the city without sound that Gray-san is talking about?\Why were you investigating Natsu-san exactly?\Yes-yes! response:	Hold all questions for later.
context: It's gonna be a bloodbath!\Honestly, you are so annoying!\Stop butting into every conversation!\I'm sorry...\What is the city without sound that Gray-san is talking about?\Why were you investigating Natsu-san exactly?\Yes-yes!\Hold all questions for later. response:	Why don't you have a snack, yes?
context: Honestly, you are so annoying!\Stop butting into every conversation!\I'm sorry...\What is the city without sound that Gray-san is talking about?\Why were you investigating Natsu-san exactly?\Yes-yes!\Hold all questions for later.\Why don't you have a snack, yes? response:	Don't be silly!
context: Stop butting into every conversation!\I'm sorry...\What is the city without sound that Gray-san is talking about?\Why were you investigating Natsu-san exactly?\Yes-yes!\Hold all questions for later.\Why don't you have a snack, yes?\Don't be silly! response:	Now is not the time!
context: I'm sorry...\What is the city without sound that Gray-san is talking about?\Why were you investigating Natsu-san exactly?\Yes-yes!\Hold all questions for later.\Why don't you have a snack, yes?\Don't be silly!\Now is not the time! response:	Well, maybe just one more...
context: What is the city without sound that Gray-san is talking about?\Why were you investigating Natsu-san exactly?\Yes-yes!\Hold all questions for later.\Why don't you have a snack, yes?\Don't be silly!\Now is not the time!\Well, maybe just one more... response:	Don't eat them!
context: Why were you investigating Natsu-san exactly?\Yes-yes!\Hold all questions for later.\Why don't you have a snack, yes?\Don't be silly!\Now is not the time!\Well, maybe just one more...\Don't eat them! response:	Hot!!
context: Yes-yes!\Hold all questions for later.\Why don't you have a snack, yes?\Don't be silly!\Now is not the time!\Well, maybe just one more...\Don't eat them!\Hot!! response:	That's the spicy flavor.
context: Hold all questions for later.\Why don't you have a snack, yes?\Don't be silly!\Now is not the time!\Well, maybe just one more...\Don't eat them!\Hot!!\That's the spicy flavor. response:	Would you like one?
context: Why don't you have a snack, yes?\Don't be silly!\Now is not the time!\Well, maybe just one more...\Don't eat them!\Hot!!\That's the spicy flavor.\Would you like one? response:	What is with her?
context: Don't be silly!\Now is not the time!\Well, maybe just one more...\Don't eat them!\Hot!!\That's the spicy flavor.\Would you like one?\What is with her? response:	I'm gettin' fired up!
context: Now is not the time!\Well, maybe just one more...\Don't eat them!\Hot!!\That's the spicy flavor.\Would you like one?\What is with her?\I'm gettin' fired up! response:	If you're being serious, then so will I!
context: Well, maybe just one more...\Don't eat them!\Hot!!\That's the spicy flavor.\Would you like one?\What is with her?\I'm gettin' fired up!\If you're being serious, then so will I! response:	I'll beat the reason for this outta you!
context: Don't eat them!\Hot!!\That's the spicy flavor.\Would you like one?\What is with her?\I'm gettin' fired up!\If you're being serious, then so will I!\I'll beat the reason for this outta you! response:	He's late!
context: Hot!!\That's the spicy flavor.\Would you like one?\What is with her?\I'm gettin' fired up!\If you're being serious, then so will I!\I'll beat the reason for this outta you!\He's late! response:	What is Natsu doing?
context: That's the spicy flavor.\Would you like one?\What is with her?\I'm gettin' fired up!\If you're being serious, then so will I!\I'll beat the reason for this outta you!\He's late!\What is Natsu doing? response:	He should have returned by now.
context: Would you like one?\What is with her?\I'm gettin' fired up!\If you're being serious, then so will I!\I'll beat the reason for this outta you!\He's late!\What is Natsu doing?\He should have returned by now. response:	He only went to ask about dragons, after all.
context: What is with her?\I'm gettin' fired up!\If you're being serious, then so will I!\I'll beat the reason for this outta you!\He's late!\What is Natsu doing?\He should have returned by now.\He only went to ask about dragons, after all. response:	Definitely taking too long for that.
context: I'm gettin' fired up!\If you're being serious, then so will I!\I'll beat the reason for this outta you!\He's late!\What is Natsu doing?\He should have returned by now.\He only went to ask about dragons, after all.\Definitely taking too long for that. response:	I think you should calm down, Erza.
context: If you're being serious, then so will I!\I'll beat the reason for this outta you!\He's late!\What is Natsu doing?\He should have returned by now.\He only went to ask about dragons, after all.\Definitely taking too long for that.\I think you should calm down, Erza. response:	He's probably just taking his time, that's all.
context: I'll beat the reason for this outta you!\He's late!\What is Natsu doing?\He should have returned by now.\He only went to ask about dragons, after all.\Definitely taking too long for that.\I think you should calm down, Erza.\He's probably just taking his time, that's all. response:	No. He had Wendy with him, so it's strange for him to be this late.
context: He's late!\What is Natsu doing?\He should have returned by now.\He only went to ask about dragons, after all.\Definitely taking too long for that.\I think you should calm down, Erza.\He's probably just taking his time, that's all.\No. He had Wendy with him, so it's strange for him to be this late. response:	It ain't like Natsu.
context: What is Natsu doing?\He should have returned by now.\He only went to ask about dragons, after all.\Definitely taking too long for that.\I think you should calm down, Erza.\He's probably just taking his time, that's all.\No. He had Wendy with him, so it's strange for him to be this late.\It ain't like Natsu. response:	Draggin' a little girl around town all night ain't Manly!
context: He should have returned by now.\He only went to ask about dragons, after all.\Definitely taking too long for that.\I think you should calm down, Erza.\He's probably just taking his time, that's all.\No. He had Wendy with him, so it's strange for him to be this late.\It ain't like Natsu.\Draggin' a little girl around town all night ain't Manly! response:	I'm also worried about the thing that suddenly attacked me today.
context: He only went to ask about dragons, after all.\Definitely taking too long for that.\I think you should calm down, Erza.\He's probably just taking his time, that's all.\No. He had Wendy with him, so it's strange for him to be this late.\It ain't like Natsu.\Draggin' a little girl around town all night ain't Manly!\I'm also worried about the thing that suddenly attacked me today. response:	What if it also attacked Natsu and Wendy?
context: Definitely taking too long for that.\I think you should calm down, Erza.\He's probably just taking his time, that's all.\No. He had Wendy with him, so it's strange for him to be this late.\It ain't like Natsu.\Draggin' a little girl around town all night ain't Manly!\I'm also worried about the thing that suddenly attacked me today.\What if it also attacked Natsu and Wendy? response:	Juvia is worried about Gray-sama!
context: I think you should calm down, Erza.\He's probably just taking his time, that's all.\No. He had Wendy with him, so it's strange for him to be this late.\It ain't like Natsu.\Draggin' a little girl around town all night ain't Manly!\I'm also worried about the thing that suddenly attacked me today.\What if it also attacked Natsu and Wendy?\Juvia is worried about Gray-sama! response:	Juvia feels unease in her heart, wondering if something has happened to him!
context: He's probably just taking his time, that's all.\No. He had Wendy with him, so it's strange for him to be this late.\It ain't like Natsu.\Draggin' a little girl around town all night ain't Manly!\I'm also worried about the thing that suddenly attacked me today.\What if it also attacked Natsu and Wendy?\Juvia is worried about Gray-sama!\Juvia feels unease in her heart, wondering if something has happened to him! response:	And I think you're just worryin' too much.
context: No. He had Wendy with him, so it's strange for him to be this late.\It ain't like Natsu.\Draggin' a little girl around town all night ain't Manly!\I'm also worried about the thing that suddenly attacked me today.\What if it also attacked Natsu and Wendy?\Juvia is worried about Gray-sama!\Juvia feels unease in her heart, wondering if something has happened to him!\And I think you're just worryin' too much. response:	He might've just gone straight home.
context: It ain't like Natsu.\Draggin' a little girl around town all night ain't Manly!\I'm also worried about the thing that suddenly attacked me today.\What if it also attacked Natsu and Wendy?\Juvia is worried about Gray-sama!\Juvia feels unease in her heart, wondering if something has happened to him!\And I think you're just worryin' too much.\He might've just gone straight home. response:	The intuition of a woman in love is never wrong!
context: Draggin' a little girl around town all night ain't Manly!\I'm also worried about the thing that suddenly attacked me today.\What if it also attacked Natsu and Wendy?\Juvia is worried about Gray-sama!\Juvia feels unease in her heart, wondering if something has happened to him!\And I think you're just worryin' too much.\He might've just gone straight home.\The intuition of a woman in love is never wrong! response:	Right, sure! Don't look at me like that!
context: I'm also worried about the thing that suddenly attacked me today.\What if it also attacked Natsu and Wendy?\Juvia is worried about Gray-sama!\Juvia feels unease in her heart, wondering if something has happened to him!\And I think you're just worryin' too much.\He might've just gone straight home.\The intuition of a woman in love is never wrong!\Right, sure! Don't look at me like that! response:	Don't take it so seriously!
context: What if it also attacked Natsu and Wendy?\Juvia is worried about Gray-sama!\Juvia feels unease in her heart, wondering if something has happened to him!\And I think you're just worryin' too much.\He might've just gone straight home.\The intuition of a woman in love is never wrong!\Right, sure! Don't look at me like that!\Don't take it so seriously! response:	We'll go search for him.
context: Juvia is worried about Gray-sama!\Juvia feels unease in her heart, wondering if something has happened to him!\And I think you're just worryin' too much.\He might've just gone straight home.\The intuition of a woman in love is never wrong!\Right, sure! Don't look at me like that!\Don't take it so seriously!\We'll go search for him. response:	Lucy, come with me.
context: Juvia feels unease in her heart, wondering if something has happened to him!\And I think you're just worryin' too much.\He might've just gone straight home.\The intuition of a woman in love is never wrong!\Right, sure! Don't look at me like that!\Don't take it so seriously!\We'll go search for him.\Lucy, come with me. response:	Okay.
