context: Dear viewers, good evening response:	Breaking news coming in right now
context: Spirit sis?\Monsters...\Hey, I'm still bathing, you should...\So you're all here at once\How insolent!\Spirit sis?\This is um...\Prepare to be eliminated! response:	Come back here!
context: Monsters...\Hey, I'm still bathing, you should...\So you're all here at once\How insolent!\Spirit sis?\This is um...\Prepare to be eliminated!\Come back here! response:	Wait!
context: Hey, I'm still bathing, you should...\So you're all here at once\How insolent!\Spirit sis?\This is um...\Prepare to be eliminated!\Come back here!\Wait! response:	Don't get reckless
context: So you're all here at once\How insolent!\Spirit sis?\This is um...\Prepare to be eliminated!\Come back here!\Wait!\Don't get reckless response:	We can negotiate!
context: How insolent!\Spirit sis?\This is um...\Prepare to be eliminated!\Come back here!\Wait!\Don't get reckless\We can negotiate! response:	She's dangerous!
context: Spirit sis?\This is um...\Prepare to be eliminated!\Come back here!\Wait!\Don't get reckless\We can negotiate!\She's dangerous! response:	Humans must keep their distance from monsters
context: This is um...\Prepare to be eliminated!\Come back here!\Wait!\Don't get reckless\We can negotiate!\She's dangerous!\Humans must keep their distance from monsters response:	There's no excuse!
context: Prepare to be eliminated!\Come back here!\Wait!\Don't get reckless\We can negotiate!\She's dangerous!\Humans must keep their distance from monsters\There's no excuse! response:	Let go of Yeyan
context: Come back here!\Wait!\Don't get reckless\We can negotiate!\She's dangerous!\Humans must keep their distance from monsters\There's no excuse!\Let go of Yeyan response:	Come forth and be eliminated
context: Wait!\Don't get reckless\We can negotiate!\She's dangerous!\Humans must keep their distance from monsters\There's no excuse!\Let go of Yeyan\Come forth and be eliminated response:	Wait
context: Don't get reckless\We can negotiate!\She's dangerous!\Humans must keep their distance from monsters\There's no excuse!\Let go of Yeyan\Come forth and be eliminated\Wait response:	You've misunderstood
context: We can negotiate!\She's dangerous!\Humans must keep their distance from monsters\There's no excuse!\Let go of Yeyan\Come forth and be eliminated\Wait\You've misunderstood response:	Save us boss!
context: She's dangerous!\Humans must keep their distance from monsters\There's no excuse!\Let go of Yeyan\Come forth and be eliminated\Wait\You've misunderstood\Save us boss! response:	Boss?
context: Humans must keep their distance from monsters\There's no excuse!\Let go of Yeyan\Come forth and be eliminated\Wait\You've misunderstood\Save us boss!\Boss? response:	So you really were working with those monsters
context: There's no excuse!\Let go of Yeyan\Come forth and be eliminated\Wait\You've misunderstood\Save us boss!\Boss?\So you really were working with those monsters response:	That's why you always try to harm me
context: Let go of Yeyan\Come forth and be eliminated\Wait\You've misunderstood\Save us boss!\Boss?\So you really were working with those monsters\That's why you always try to harm me response:	Unforgivable
context: Come forth and be eliminated\Wait\You've misunderstood\Save us boss!\Boss?\So you really were working with those monsters\That's why you always try to harm me\Unforgivable response:	Wait!
context: Wait\You've misunderstood\Save us boss!\Boss?\So you really were working with those monsters\That's why you always try to harm me\Unforgivable\Wait! response:	Let me explain!
context: You've misunderstood\Save us boss!\Boss?\So you really were working with those monsters\That's why you always try to harm me\Unforgivable\Wait!\Let me explain! response:	What is there to explain?
context: Save us boss!\Boss?\So you really were working with those monsters\That's why you always try to harm me\Unforgivable\Wait!\Let me explain!\What is there to explain? response:	To be allied with monsters
context: Boss?\So you really were working with those monsters\That's why you always try to harm me\Unforgivable\Wait!\Let me explain!\What is there to explain?\To be allied with monsters response:	You must be an evildoer!
context: So you really were working with those monsters\That's why you always try to harm me\Unforgivable\Wait!\Let me explain!\What is there to explain?\To be allied with monsters\You must be an evildoer! response:	These monsters have already been tamed
context: That's why you always try to harm me\Unforgivable\Wait!\Let me explain!\What is there to explain?\To be allied with monsters\You must be an evildoer!\These monsters have already been tamed response:	Like I'd believe you!
context: Unforgivable\Wait!\Let me explain!\What is there to explain?\To be allied with monsters\You must be an evildoer!\These monsters have already been tamed\Like I'd believe you! response:	Eat steel!
context: Wait!\Let me explain!\What is there to explain?\To be allied with monsters\You must be an evildoer!\These monsters have already been tamed\Like I'd believe you!\Eat steel! response:	Ah help us!
context: Let me explain!\What is there to explain?\To be allied with monsters\You must be an evildoer!\These monsters have already been tamed\Like I'd believe you!\Eat steel!\Ah help us! response:	There's nowhere to run now!
context: What is there to explain?\To be allied with monsters\You must be an evildoer!\These monsters have already been tamed\Like I'd believe you!\Eat steel!\Ah help us!\There's nowhere to run now! response:	Big sis, don't be rash
context: To be allied with monsters\You must be an evildoer!\These monsters have already been tamed\Like I'd believe you!\Eat steel!\Ah help us!\There's nowhere to run now!\Big sis, don't be rash response:	So you are working with monsters
context: You must be an evildoer!\These monsters have already been tamed\Like I'd believe you!\Eat steel!\Ah help us!\There's nowhere to run now!\Big sis, don't be rash\So you are working with monsters response:	Today I'll carry out the will of the heavens!
context: These monsters have already been tamed\Like I'd believe you!\Eat steel!\Ah help us!\There's nowhere to run now!\Big sis, don't be rash\So you are working with monsters\Today I'll carry out the will of the heavens! response:	Hey, you alright?
context: Like I'd believe you!\Eat steel!\Ah help us!\There's nowhere to run now!\Big sis, don't be rash\So you are working with monsters\Today I'll carry out the will of the heavens!\Hey, you alright? response:	So this was your secret weapon
context: Eat steel!\Ah help us!\There's nowhere to run now!\Big sis, don't be rash\So you are working with monsters\Today I'll carry out the will of the heavens!\Hey, you alright?\So this was your secret weapon response:	How vile
context: Ah help us!\There's nowhere to run now!\Big sis, don't be rash\So you are working with monsters\Today I'll carry out the will of the heavens!\Hey, you alright?\So this was your secret weapon\How vile response:	Crazy women!
context: There's nowhere to run now!\Big sis, don't be rash\So you are working with monsters\Today I'll carry out the will of the heavens!\Hey, you alright?\So this was your secret weapon\How vile\Crazy women! response:	Hold it!
context: Big sis, don't be rash\So you are working with monsters\Today I'll carry out the will of the heavens!\Hey, you alright?\So this was your secret weapon\How vile\Crazy women!\Hold it! response:	Under the glimering stars
context: So you are working with monsters\Today I'll carry out the will of the heavens!\Hey, you alright?\So this was your secret weapon\How vile\Crazy women!\Hold it!\Under the glimering stars response:	This generation of censorates sure are lively
context: Today I'll carry out the will of the heavens!\Hey, you alright?\So this was your secret weapon\How vile\Crazy women!\Hold it!\Under the glimering stars\This generation of censorates sure are lively response:	Looking at them reminds me of when I was younger
context: Hey, you alright?\So this was your secret weapon\How vile\Crazy women!\Hold it!\Under the glimering stars\This generation of censorates sure are lively\Looking at them reminds me of when I was younger response:	Dahm spirit, this is getting ridiculous
context: So this was your secret weapon\How vile\Crazy women!\Hold it!\Under the glimering stars\This generation of censorates sure are lively\Looking at them reminds me of when I was younger\Dahm spirit, this is getting ridiculous response:	Come back!
context: How vile\Crazy women!\Hold it!\Under the glimering stars\This generation of censorates sure are lively\Looking at them reminds me of when I was younger\Dahm spirit, this is getting ridiculous\Come back! response:	I'll have to use it
context: Crazy women!\Hold it!\Under the glimering stars\This generation of censorates sure are lively\Looking at them reminds me of when I was younger\Dahm spirit, this is getting ridiculous\Come back!\I'll have to use it response:	Chaos Beast!
context: Hold it!\Under the glimering stars\This generation of censorates sure are lively\Looking at them reminds me of when I was younger\Dahm spirit, this is getting ridiculous\Come back!\I'll have to use it\Chaos Beast! response:	Freaking amateur
context: Under the glimering stars\This generation of censorates sure are lively\Looking at them reminds me of when I was younger\Dahm spirit, this is getting ridiculous\Come back!\I'll have to use it\Chaos Beast!\Freaking amateur response:	Fill the world with ice and darkness
context: This generation of censorates sure are lively\Looking at them reminds me of when I was younger\Dahm spirit, this is getting ridiculous\Come back!\I'll have to use it\Chaos Beast!\Freaking amateur\Fill the world with ice and darkness response:	Comply to my laws and decrees
context: Looking at them reminds me of when I was younger\Dahm spirit, this is getting ridiculous\Come back!\I'll have to use it\Chaos Beast!\Freaking amateur\Fill the world with ice and darkness\Comply to my laws and decrees response:	Million Seal Barrage!
context: Dahm spirit, this is getting ridiculous\Come back!\I'll have to use it\Chaos Beast!\Freaking amateur\Fill the world with ice and darkness\Comply to my laws and decrees\Million Seal Barrage! response:	It's those two brats again, cut it out!
context: Come back!\I'll have to use it\Chaos Beast!\Freaking amateur\Fill the world with ice and darkness\Comply to my laws and decrees\Million Seal Barrage!\It's those two brats again, cut it out! response:	You're messing with the headmasters youth
context: I'll have to use it\Chaos Beast!\Freaking amateur\Fill the world with ice and darkness\Comply to my laws and decrees\Million Seal Barrage!\It's those two brats again, cut it out!\You're messing with the headmasters youth response:	Stop yelling
context: Chaos Beast!\Freaking amateur\Fill the world with ice and darkness\Comply to my laws and decrees\Million Seal Barrage!\It's those two brats again, cut it out!\You're messing with the headmasters youth\Stop yelling response:	I'll have them learn a lesson from this old geezer
context: Freaking amateur\Fill the world with ice and darkness\Comply to my laws and decrees\Million Seal Barrage!\It's those two brats again, cut it out!\You're messing with the headmasters youth\Stop yelling\I'll have them learn a lesson from this old geezer response:	Headmaster, you
context: Fill the world with ice and darkness\Comply to my laws and decrees\Million Seal Barrage!\It's those two brats again, cut it out!\You're messing with the headmasters youth\Stop yelling\I'll have them learn a lesson from this old geezer\Headmaster, you response:	Lift!
context: Comply to my laws and decrees\Million Seal Barrage!\It's those two brats again, cut it out!\You're messing with the headmasters youth\Stop yelling\I'll have them learn a lesson from this old geezer\Headmaster, you\Lift! response:	My children!
context: Million Seal Barrage!\It's those two brats again, cut it out!\You're messing with the headmasters youth\Stop yelling\I'll have them learn a lesson from this old geezer\Headmaster, you\Lift!\My children! response:	Halt!
context: It's those two brats again, cut it out!\You're messing with the headmasters youth\Stop yelling\I'll have them learn a lesson from this old geezer\Headmaster, you\Lift!\My children!\Halt! response:	Headmaster?
context: You're messing with the headmasters youth\Stop yelling\I'll have them learn a lesson from this old geezer\Headmaster, you\Lift!\My children!\Halt!\Headmaster? response:	Headmaster!
context: Stop yelling\I'll have them learn a lesson from this old geezer\Headmaster, you\Lift!\My children!\Halt!\Headmaster?\Headmaster! response:	You two, do you know what you've done?
context: I'll have them learn a lesson from this old geezer\Headmaster, you\Lift!\My children!\Halt!\Headmaster?\Headmaster!\You two, do you know what you've done? response:	You've injured the headmaster!
context: Headmaster, you\Lift!\My children!\Halt!\Headmaster?\Headmaster!\You two, do you know what you've done?\You've injured the headmaster! response:	It was clearly his own fault
context: Lift!\My children!\Halt!\Headmaster?\Headmaster!\You two, do you know what you've done?\You've injured the headmaster!\It was clearly his own fault response:	Old people really should restrain themselves
context: My children!\Halt!\Headmaster?\Headmaster!\You two, do you know what you've done?\You've injured the headmaster!\It was clearly his own fault\Old people really should restrain themselves response:	I'm not talking about you
context: Halt!\Headmaster?\Headmaster!\You two, do you know what you've done?\You've injured the headmaster!\It was clearly his own fault\Old people really should restrain themselves\I'm not talking about you response:	This isn't settled yet
context: Headmaster?\Headmaster!\You two, do you know what you've done?\You've injured the headmaster!\It was clearly his own fault\Old people really should restrain themselves\I'm not talking about you\This isn't settled yet response:	Enougth!
context: Headmaster!\You two, do you know what you've done?\You've injured the headmaster!\It was clearly his own fault\Old people really should restrain themselves\I'm not talking about you\This isn't settled yet\Enougth! response:	I've lost my patience
context: You two, do you know what you've done?\You've injured the headmaster!\It was clearly his own fault\Old people really should restrain themselves\I'm not talking about you\This isn't settled yet\Enougth!\I've lost my patience response:	Listen up!
context: You've injured the headmaster!\It was clearly his own fault\Old people really should restrain themselves\I'm not talking about you\This isn't settled yet\Enougth!\I've lost my patience\Listen up! response:	Not only am I the headmaster, I'm also the Minister of the Night Command
context: It was clearly his own fault\Old people really should restrain themselves\I'm not talking about you\This isn't settled yet\Enougth!\I've lost my patience\Listen up!\Not only am I the headmaster, I'm also the Minister of the Night Command response:	The name is Wang Sheng-Li
context: Old people really should restrain themselves\I'm not talking about you\This isn't settled yet\Enougth!\I've lost my patience\Listen up!\Not only am I the headmaster, I'm also the Minister of the Night Command\The name is Wang Sheng-Li response:	The Night Command gold badge?
context: I'm not talking about you\This isn't settled yet\Enougth!\I've lost my patience\Listen up!\Not only am I the headmaster, I'm also the Minister of the Night Command\The name is Wang Sheng-Li\The Night Command gold badge? response:	May the minister be in good health
context: This isn't settled yet\Enougth!\I've lost my patience\Listen up!\Not only am I the headmaster, I'm also the Minister of the Night Command\The name is Wang Sheng-Li\The Night Command gold badge?\May the minister be in good health response:	Don't try to suck up now!
context: Enougth!\I've lost my patience\Listen up!\Not only am I the headmaster, I'm also the Minister of the Night Command\The name is Wang Sheng-Li\The Night Command gold badge?\May the minister be in good health\Don't try to suck up now! response:	My face is ruined
context: I've lost my patience\Listen up!\Not only am I the headmaster, I'm also the Minister of the Night Command\The name is Wang Sheng-Li\The Night Command gold badge?\May the minister be in good health\Don't try to suck up now!\My face is ruined response:	Don't you know to respect your elders?
context: Listen up!\Not only am I the headmaster, I'm also the Minister of the Night Command\The name is Wang Sheng-Li\The Night Command gold badge?\May the minister be in good health\Don't try to suck up now!\My face is ruined\Don't you know to respect your elders? response:	Give back my youth!
context: Not only am I the headmaster, I'm also the Minister of the Night Command\The name is Wang Sheng-Li\The Night Command gold badge?\May the minister be in good health\Don't try to suck up now!\My face is ruined\Don't you know to respect your elders?\Give back my youth! response:	We know that we're wrong
context: The name is Wang Sheng-Li\The Night Command gold badge?\May the minister be in good health\Don't try to suck up now!\My face is ruined\Don't you know to respect your elders?\Give back my youth!\We know that we're wrong response:	Headmaster please calm down
context: The Night Command gold badge?\May the minister be in good health\Don't try to suck up now!\My face is ruined\Don't you know to respect your elders?\Give back my youth!\We know that we're wrong\Headmaster please calm down response:	Enough with the bullcrap!
context: May the minister be in good health\Don't try to suck up now!\My face is ruined\Don't you know to respect your elders?\Give back my youth!\We know that we're wrong\Headmaster please calm down\Enough with the bullcrap! response:	This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle
context: Don't try to suck up now!\My face is ruined\Don't you know to respect your elders?\Give back my youth!\We know that we're wrong\Headmaster please calm down\Enough with the bullcrap!\This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle response:	Report to my office tomorrow and wait for your orders
context: My face is ruined\Don't you know to respect your elders?\Give back my youth!\We know that we're wrong\Headmaster please calm down\Enough with the bullcrap!\This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle\Report to my office tomorrow and wait for your orders response:	So tired
context: Don't you know to respect your elders?\Give back my youth!\We know that we're wrong\Headmaster please calm down\Enough with the bullcrap!\This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle\Report to my office tomorrow and wait for your orders\So tired response:	That beastly women kept me up all night
context: Give back my youth!\We know that we're wrong\Headmaster please calm down\Enough with the bullcrap!\This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle\Report to my office tomorrow and wait for your orders\So tired\That beastly women kept me up all night response:	This morning, a female body was discovered in the western district
context: We know that we're wrong\Headmaster please calm down\Enough with the bullcrap!\This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle\Report to my office tomorrow and wait for your orders\So tired\That beastly women kept me up all night\This morning, a female body was discovered in the western district response:	Again?
context: Headmaster please calm down\Enough with the bullcrap!\This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle\Report to my office tomorrow and wait for your orders\So tired\That beastly women kept me up all night\This morning, a female body was discovered in the western district\Again? response:	There are no signs of injuries on the body
context: Enough with the bullcrap!\This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle\Report to my office tomorrow and wait for your orders\So tired\That beastly women kept me up all night\This morning, a female body was discovered in the western district\Again?\There are no signs of injuries on the body response:	Police beleive that it is sudden death
context: This generations of Elite Censorates, also known as the Night Command is the student council at Xiahou middle\Report to my office tomorrow and wait for your orders\So tired\That beastly women kept me up all night\This morning, a female body was discovered in the western district\Again?\There are no signs of injuries on the body\Police beleive that it is sudden death response:	No
context: Report to my office tomorrow and wait for your orders\So tired\That beastly women kept me up all night\This morning, a female body was discovered in the western district\Again?\There are no signs of injuries on the body\Police beleive that it is sudden death\No response:	This isn't sudden death
context: So tired\That beastly women kept me up all night\This morning, a female body was discovered in the western district\Again?\There are no signs of injuries on the body\Police beleive that it is sudden death\No\This isn't sudden death response:	It's zombification
context: That beastly women kept me up all night\This morning, a female body was discovered in the western district\Again?\There are no signs of injuries on the body\Police beleive that it is sudden death\No\This isn't sudden death\It's zombification response:	There's definitely monsters behind this
context: This morning, a female body was discovered in the western district\Again?\There are no signs of injuries on the body\Police beleive that it is sudden death\No\This isn't sudden death\It's zombification\There's definitely monsters behind this response:	You take quite an interest in corpses I see
context: Again?\There are no signs of injuries on the body\Police beleive that it is sudden death\No\This isn't sudden death\It's zombification\There's definitely monsters behind this\You take quite an interest in corpses I see response:	Monster!
context: There are no signs of injuries on the body\Police beleive that it is sudden death\No\This isn't sudden death\It's zombification\There's definitely monsters behind this\You take quite an interest in corpses I see\Monster! response:	It was a reflexive action
context: Police beleive that it is sudden death\No\This isn't sudden death\It's zombification\There's definitely monsters behind this\You take quite an interest in corpses I see\Monster!\It was a reflexive action response:	Hey, don't sneak behind other people like that
context: No\This isn't sudden death\It's zombification\There's definitely monsters behind this\You take quite an interest in corpses I see\Monster!\It was a reflexive action\Hey, don't sneak behind other people like that response:	I was just trying to tell you that you're going to be late for school
context: This isn't sudden death\It's zombification\There's definitely monsters behind this\You take quite an interest in corpses I see\Monster!\It was a reflexive action\Hey, don't sneak behind other people like that\I was just trying to tell you that you're going to be late for school response:	Ehya, I really am late
context: It's zombification\There's definitely monsters behind this\You take quite an interest in corpses I see\Monster!\It was a reflexive action\Hey, don't sneak behind other people like that\I was just trying to tell you that you're going to be late for school\Ehya, I really am late response:	What an excellent ressource
context: There's definitely monsters behind this\You take quite an interest in corpses I see\Monster!\It was a reflexive action\Hey, don't sneak behind other people like that\I was just trying to tell you that you're going to be late for school\Ehya, I really am late\What an excellent ressource response:	I've waited for long
context: You take quite an interest in corpses I see\Monster!\It was a reflexive action\Hey, don't sneak behind other people like that\I was just trying to tell you that you're going to be late for school\Ehya, I really am late\What an excellent ressource\I've waited for long response:	Getting in my way first thing in the morning, what do you want?
context: Monster!\It was a reflexive action\Hey, don't sneak behind other people like that\I was just trying to tell you that you're going to be late for school\Ehya, I really am late\What an excellent ressource\I've waited for long\Getting in my way first thing in the morning, what do you want? response:	It has nothing to do with me
context: It was a reflexive action\Hey, don't sneak behind other people like that\I was just trying to tell you that you're going to be late for school\Ehya, I really am late\What an excellent ressource\I've waited for long\Getting in my way first thing in the morning, what do you want?\It has nothing to do with me response:	I'm the one looking for you
context: Hey, don't sneak behind other people like that\I was just trying to tell you that you're going to be late for school\Ehya, I really am late\What an excellent ressource\I've waited for long\Getting in my way first thing in the morning, what do you want?\It has nothing to do with me\I'm the one looking for you response:	This generations Night Command is Xiahou Middle School's student council
context: I was just trying to tell you that you're going to be late for school\Ehya, I really am late\What an excellent ressource\I've waited for long\Getting in my way first thing in the morning, what do you want?\It has nothing to do with me\I'm the one looking for you\This generations Night Command is Xiahou Middle School's student council response:	I'm sure you already know that
context: Ehya, I really am late\What an excellent ressource\I've waited for long\Getting in my way first thing in the morning, what do you want?\It has nothing to do with me\I'm the one looking for you\This generations Night Command is Xiahou Middle School's student council\I'm sure you already know that response:	Night Watcher Yeyan
context: What an excellent ressource\I've waited for long\Getting in my way first thing in the morning, what do you want?\It has nothing to do with me\I'm the one looking for you\This generations Night Command is Xiahou Middle School's student council\I'm sure you already know that\Night Watcher Yeyan response:	Stray Spirit Huang Xiao-Yan
context: I've waited for long\Getting in my way first thing in the morning, what do you want?\It has nothing to do with me\I'm the one looking for you\This generations Night Command is Xiahou Middle School's student council\I'm sure you already know that\Night Watcher Yeyan\Stray Spirit Huang Xiao-Yan response:	Your recent actions have seriously affected the reputation of student council
context: Getting in my way first thing in the morning, what do you want?\It has nothing to do with me\I'm the one looking for you\This generations Night Command is Xiahou Middle School's student council\I'm sure you already know that\Night Watcher Yeyan\Stray Spirit Huang Xiao-Yan\Your recent actions have seriously affected the reputation of student council response:	In just a couple days
context: It has nothing to do with me\I'm the one looking for you\This generations Night Command is Xiahou Middle School's student council\I'm sure you already know that\Night Watcher Yeyan\Stray Spirit Huang Xiao-Yan\Your recent actions have seriously affected the reputation of student council\In just a couple days response:	Street fighting
context: I'm the one looking for you\This generations Night Command is Xiahou Middle School's student council\I'm sure you already know that\Night Watcher Yeyan\Stray Spirit Huang Xiao-Yan\Your recent actions have seriously affected the reputation of student council\In just a couple days\Street fighting response:	Obstructing traffic
context: This generations Night Command is Xiahou Middle School's student council\I'm sure you already know that\Night Watcher Yeyan\Stray Spirit Huang Xiao-Yan\Your recent actions have seriously affected the reputation of student council\In just a couple days\Street fighting\Obstructing traffic response:	Carrying weapons
context: I'm sure you already know that\Night Watcher Yeyan\Stray Spirit Huang Xiao-Yan\Your recent actions have seriously affected the reputation of student council\In just a couple days\Street fighting\Obstructing traffic\Carrying weapons response:	Architectural damage
context: Night Watcher Yeyan\Stray Spirit Huang Xiao-Yan\Your recent actions have seriously affected the reputation of student council\In just a couple days\Street fighting\Obstructing traffic\Carrying weapons\Architectural damage response:	Assaulting medical personnal
context: Stray Spirit Huang Xiao-Yan\Your recent actions have seriously affected the reputation of student council\In just a couple days\Street fighting\Obstructing traffic\Carrying weapons\Architectural damage\Assaulting medical personnal response:	And...
context: Your recent actions have seriously affected the reputation of student council\In just a couple days\Street fighting\Obstructing traffic\Carrying weapons\Architectural damage\Assaulting medical personnal\And... response:	In short
context: In just a couple days\Street fighting\Obstructing traffic\Carrying weapons\Architectural damage\Assaulting medical personnal\And...\In short response:	Xiahou Middle has become a target of public criticism
context: Street fighting\Obstructing traffic\Carrying weapons\Architectural damage\Assaulting medical personnal\And...\In short\Xiahou Middle has become a target of public criticism response:	The headmaster is pissed
context: Obstructing traffic\Carrying weapons\Architectural damage\Assaulting medical personnal\And...\In short\Xiahou Middle has become a target of public criticism\The headmaster is pissed response:	You two, this is a task for yous
context: Carrying weapons\Architectural damage\Assaulting medical personnal\And...\In short\Xiahou Middle has become a target of public criticism\The headmaster is pissed\You two, this is a task for yous response:	Task?
context: Architectural damage\Assaulting medical personnal\And...\In short\Xiahou Middle has become a target of public criticism\The headmaster is pissed\You two, this is a task for yous\Task? response:	Anyways, you better behave yourselves in front of the new student council president when he returns
context: Assaulting medical personnal\And...\In short\Xiahou Middle has become a target of public criticism\The headmaster is pissed\You two, this is a task for yous\Task?\Anyways, you better behave yourselves in front of the new student council president when he returns response:	So our task was to repair the damaged buildings
context: And...\In short\Xiahou Middle has become a target of public criticism\The headmaster is pissed\You two, this is a task for yous\Task?\Anyways, you better behave yourselves in front of the new student council president when he returns\So our task was to repair the damaged buildings response:	Hard labour
context: In short\Xiahou Middle has become a target of public criticism\The headmaster is pissed\You two, this is a task for yous\Task?\Anyways, you better behave yourselves in front of the new student council president when he returns\So our task was to repair the damaged buildings\Hard labour response:	Yeyan
context: Xiahou Middle has become a target of public criticism\The headmaster is pissed\You two, this is a task for yous\Task?\Anyways, you better behave yourselves in front of the new student council president when he returns\So our task was to repair the damaged buildings\Hard labour\Yeyan response:	Sorry about yesterday night
context: The headmaster is pissed\You two, this is a task for yous\Task?\Anyways, you better behave yourselves in front of the new student council president when he returns\So our task was to repair the damaged buildings\Hard labour\Yeyan\Sorry about yesterday night response:	Huh?
context: You two, this is a task for yous\Task?\Anyways, you better behave yourselves in front of the new student council president when he returns\So our task was to repair the damaged buildings\Hard labour\Yeyan\Sorry about yesterday night\Huh? response:	I considered what the secretary said to us
context: Task?\Anyways, you better behave yourselves in front of the new student council president when he returns\So our task was to repair the damaged buildings\Hard labour\Yeyan\Sorry about yesterday night\Huh?\I considered what the secretary said to us response:	I forgive you, it was nothing really
context: Anyways, you better behave yourselves in front of the new student council president when he returns\So our task was to repair the damaged buildings\Hard labour\Yeyan\Sorry about yesterday night\Huh?\I considered what the secretary said to us\I forgive you, it was nothing really response:	He was right
context: So our task was to repair the damaged buildings\Hard labour\Yeyan\Sorry about yesterday night\Huh?\I considered what the secretary said to us\I forgive you, it was nothing really\He was right response:	The goal of the Night Command is to kill monsters and promote peace
context: Hard labour\Yeyan\Sorry about yesterday night\Huh?\I considered what the secretary said to us\I forgive you, it was nothing really\He was right\The goal of the Night Command is to kill monsters and promote peace response:	The hatred between me and you will only worsen if left that way
