context: Tiger Echo Fist! response:	Bastard!
context: My lord?\A mass of blue goblins from the coast?\Sahuagin?\Those monsters live farther south...\What's going on?\Maybe it's a coincidence?\You think so?\So all the adventurers at the coast are heading back to the school. response:	What should we do, Naotsugu?
context: A mass of blue goblins from the coast?\Sahuagin?\Those monsters live farther south...\What's going on?\Maybe it's a coincidence?\You think so?\So all the adventurers at the coast are heading back to the school.\What should we do, Naotsugu? response:	If it comes down to it, we could all use a return spell to go back...
context: Sahuagin?\Those monsters live farther south...\What's going on?\Maybe it's a coincidence?\You think so?\So all the adventurers at the coast are heading back to the school.\What should we do, Naotsugu?\If it comes down to it, we could all use a return spell to go back... response:	If we do that, it'll take us several days to come back here, to Zantleaf.
context: Those monsters live farther south...\What's going on?\Maybe it's a coincidence?\You think so?\So all the adventurers at the coast are heading back to the school.\What should we do, Naotsugu?\If it comes down to it, we could all use a return spell to go back...\If we do that, it'll take us several days to come back here, to Zantleaf. response:	Then that's our last resort.
context: What's going on?\Maybe it's a coincidence?\You think so?\So all the adventurers at the coast are heading back to the school.\What should we do, Naotsugu?\If it comes down to it, we could all use a return spell to go back...\If we do that, it'll take us several days to come back here, to Zantleaf.\Then that's our last resort. response:	Marie's in charge of the camp.
context: Maybe it's a coincidence?\You think so?\So all the adventurers at the coast are heading back to the school.\What should we do, Naotsugu?\If it comes down to it, we could all use a return spell to go back...\If we do that, it'll take us several days to come back here, to Zantleaf.\Then that's our last resort.\Marie's in charge of the camp. response:	We'll meet up with her.
context: You think so?\So all the adventurers at the coast are heading back to the school.\What should we do, Naotsugu?\If it comes down to it, we could all use a return spell to go back...\If we do that, it'll take us several days to come back here, to Zantleaf.\Then that's our last resort.\Marie's in charge of the camp.\We'll meet up with her. response:	Here it is.
context: So all the adventurers at the coast are heading back to the school.\What should we do, Naotsugu?\If it comes down to it, we could all use a return spell to go back...\If we do that, it'll take us several days to come back here, to Zantleaf.\Then that's our last resort.\Marie's in charge of the camp.\We'll meet up with her.\Here it is. response:	Do it.
context: What should we do, Naotsugu?\If it comes down to it, we could all use a return spell to go back...\If we do that, it'll take us several days to come back here, to Zantleaf.\Then that's our last resort.\Marie's in charge of the camp.\We'll meet up with her.\Here it is.\Do it. response:	Thank you for responding to my sudden call, everyone.
context: If it comes down to it, we could all use a return spell to go back...\If we do that, it'll take us several days to come back here, to Zantleaf.\Then that's our last resort.\Marie's in charge of the camp.\We'll meet up with her.\Here it is.\Do it.\Thank you for responding to my sudden call, everyone. response:	This is Shiroe, of Log Horizon.
context: If we do that, it'll take us several days to come back here, to Zantleaf.\Then that's our last resort.\Marie's in charge of the camp.\We'll meet up with her.\Here it is.\Do it.\Thank you for responding to my sudden call, everyone.\This is Shiroe, of Log Horizon. response:	As the Round Table members are currently separated from one another,
context: Then that's our last resort.\Marie's in charge of the camp.\We'll meet up with her.\Here it is.\Do it.\Thank you for responding to my sudden call, everyone.\This is Shiroe, of Log Horizon.\As the Round Table members are currently separated from one another, response:	I've taken the irregular step of convening a telepathic conference.
context: Marie's in charge of the camp.\We'll meet up with her.\Here it is.\Do it.\Thank you for responding to my sudden call, everyone.\This is Shiroe, of Log Horizon.\As the Round Table members are currently separated from one another,\I've taken the irregular step of convening a telepathic conference. response:	I realize it's a bit bothersome,
context: We'll meet up with her.\Here it is.\Do it.\Thank you for responding to my sudden call, everyone.\This is Shiroe, of Log Horizon.\As the Round Table members are currently separated from one another,\I've taken the irregular step of convening a telepathic conference.\I realize it's a bit bothersome, response:	but I've designated one person in each of your locations to be a relay,
context: Here it is.\Do it.\Thank you for responding to my sudden call, everyone.\This is Shiroe, of Log Horizon.\As the Round Table members are currently separated from one another,\I've taken the irregular step of convening a telepathic conference.\I realize it's a bit bothersome,\but I've designated one person in each of your locations to be a relay, response:	so we can have this conversation in as near to real time as possible.
context: Do it.\Thank you for responding to my sudden call, everyone.\This is Shiroe, of Log Horizon.\As the Round Table members are currently separated from one another,\I've taken the irregular step of convening a telepathic conference.\I realize it's a bit bothersome,\but I've designated one person in each of your locations to be a relay,\so we can have this conversation in as near to real time as possible. response:	In the future, I plan to further develop this network.
context: Thank you for responding to my sudden call, everyone.\This is Shiroe, of Log Horizon.\As the Round Table members are currently separated from one another,\I've taken the irregular step of convening a telepathic conference.\I realize it's a bit bothersome,\but I've designated one person in each of your locations to be a relay,\so we can have this conversation in as near to real time as possible.\In the future, I plan to further develop this network. response:	First, to brief everyone on the situation...
context: This is Shiroe, of Log Horizon.\As the Round Table members are currently separated from one another,\I've taken the irregular step of convening a telepathic conference.\I realize it's a bit bothersome,\but I've designated one person in each of your locations to be a relay,\so we can have this conversation in as near to real time as possible.\In the future, I plan to further develop this network.\First, to brief everyone on the situation... response:	This morning, on the Zantleaf Peninsula,
context: As the Round Table members are currently separated from one another,\I've taken the irregular step of convening a telepathic conference.\I realize it's a bit bothersome,\but I've designated one person in each of your locations to be a relay,\so we can have this conversation in as near to real time as possible.\In the future, I plan to further develop this network.\First, to brief everyone on the situation...\This morning, on the Zantleaf Peninsula, response:	attacks by multiple races of demi-humans were confirmed.
context: I've taken the irregular step of convening a telepathic conference.\I realize it's a bit bothersome,\but I've designated one person in each of your locations to be a relay,\so we can have this conversation in as near to real time as possible.\In the future, I plan to further develop this network.\First, to brief everyone on the situation...\This morning, on the Zantleaf Peninsula,\attacks by multiple races of demi-humans were confirmed. response:	At the coasts, a minimum of several hundred sahuagin.
context: I realize it's a bit bothersome,\but I've designated one person in each of your locations to be a relay,\so we can have this conversation in as near to real time as possible.\In the future, I plan to further develop this network.\First, to brief everyone on the situation...\This morning, on the Zantleaf Peninsula,\attacks by multiple races of demi-humans were confirmed.\At the coasts, a minimum of several hundred sahuagin. response:	In the forest, a huge raiding force primarily composed of goblins.
context: but I've designated one person in each of your locations to be a relay,\so we can have this conversation in as near to real time as possible.\In the future, I plan to further develop this network.\First, to brief everyone on the situation...\This morning, on the Zantleaf Peninsula,\attacks by multiple races of demi-humans were confirmed.\At the coasts, a minimum of several hundred sahuagin.\In the forest, a huge raiding force primarily composed of goblins. response:	There are at least
context: so we can have this conversation in as near to real time as possible.\In the future, I plan to further develop this network.\First, to brief everyone on the situation...\This morning, on the Zantleaf Peninsula,\attacks by multiple races of demi-humans were confirmed.\At the coasts, a minimum of several hundred sahuagin.\In the forest, a huge raiding force primarily composed of goblins.\There are at least response:	ten thousand.
context: In the future, I plan to further develop this network.\First, to brief everyone on the situation...\This morning, on the Zantleaf Peninsula,\attacks by multiple races of demi-humans were confirmed.\At the coasts, a minimum of several hundred sahuagin.\In the forest, a huge raiding force primarily composed of goblins.\There are at least\ten thousand. response:	Ten thousand?
context: First, to brief everyone on the situation...\This morning, on the Zantleaf Peninsula,\attacks by multiple races of demi-humans were confirmed.\At the coasts, a minimum of several hundred sahuagin.\In the forest, a huge raiding force primarily composed of goblins.\There are at least\ten thousand.\Ten thousand? response:	I believe there to be even more.
context: This morning, on the Zantleaf Peninsula,\attacks by multiple races of demi-humans were confirmed.\At the coasts, a minimum of several hundred sahuagin.\In the forest, a huge raiding force primarily composed of goblins.\There are at least\ten thousand.\Ten thousand?\I believe there to be even more. response:	Shiro, do you have any idea...
context: attacks by multiple races of demi-humans were confirmed.\At the coasts, a minimum of several hundred sahuagin.\In the forest, a huge raiding force primarily composed of goblins.\There are at least\ten thousand.\Ten thousand?\I believe there to be even more.\Shiro, do you have any idea... response:	I believe the driving force behind this invasion
context: At the coasts, a minimum of several hundred sahuagin.\In the forest, a huge raiding force primarily composed of goblins.\There are at least\ten thousand.\Ten thousand?\I believe there to be even more.\Shiro, do you have any idea...\I believe the driving force behind this invasion response:	is the Goblin King's Return.
context: In the forest, a huge raiding force primarily composed of goblins.\There are at least\ten thousand.\Ten thousand?\I believe there to be even more.\Shiro, do you have any idea...\I believe the driving force behind this invasion\is the Goblin King's Return. response:	The Goblin King's Return?
context: There are at least\ten thousand.\Ten thousand?\I believe there to be even more.\Shiro, do you have any idea...\I believe the driving force behind this invasion\is the Goblin King's Return.\The Goblin King's Return? response:	In the game, that event occurred regularly.
context: ten thousand.\Ten thousand?\I believe there to be even more.\Shiro, do you have any idea...\I believe the driving force behind this invasion\is the Goblin King's Return.\The Goblin King's Return?\In the game, that event occurred regularly. response:	Yes.
context: Ten thousand?\I believe there to be even more.\Shiro, do you have any idea...\I believe the driving force behind this invasion\is the Goblin King's Return.\The Goblin King's Return?\In the game, that event occurred regularly.\Yes. response:	The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory.
context: I believe there to be even more.\Shiro, do you have any idea...\I believe the driving force behind this invasion\is the Goblin King's Return.\The Goblin King's Return?\In the game, that event occurred regularly.\Yes.\The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory. response:	Twice a year, the Goblin King is crowned there.
context: Shiro, do you have any idea...\I believe the driving force behind this invasion\is the Goblin King's Return.\The Goblin King's Return?\In the game, that event occurred regularly.\Yes.\The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory.\Twice a year, the Goblin King is crowned there. response:	Before that happens, players are given a week to slay him.
context: I believe the driving force behind this invasion\is the Goblin King's Return.\The Goblin King's Return?\In the game, that event occurred regularly.\Yes.\The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory.\Twice a year, the Goblin King is crowned there.\Before that happens, players are given a week to slay him. response:	If they defeat the king before the coronation, they can acquire rare items.
context: is the Goblin King's Return.\The Goblin King's Return?\In the game, that event occurred regularly.\Yes.\The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory.\Twice a year, the Goblin King is crowned there.\Before that happens, players are given a week to slay him.\If they defeat the king before the coronation, they can acquire rare items. response:	Since these items were very powerful,
context: The Goblin King's Return?\In the game, that event occurred regularly.\Yes.\The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory.\Twice a year, the Goblin King is crowned there.\Before that happens, players are given a week to slay him.\If they defeat the king before the coronation, they can acquire rare items.\Since these items were very powerful, response:	and it was an easy event for regular players,
context: In the game, that event occurred regularly.\Yes.\The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory.\Twice a year, the Goblin King is crowned there.\Before that happens, players are given a week to slay him.\If they defeat the king before the coronation, they can acquire rare items.\Since these items were very powerful,\and it was an easy event for regular players, response:	it was one of the game's most popular events.
context: Yes.\The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory.\Twice a year, the Goblin King is crowned there.\Before that happens, players are given a week to slay him.\If they defeat the king before the coronation, they can acquire rare items.\Since these items were very powerful,\and it was an easy event for regular players,\it was one of the game's most popular events. response:	The chief of the area's most powerful clan becomes the Goblin King.
context: The goblin castle, Seventh Fall, lies deep within the forests of the Ouu territory.\Twice a year, the Goblin King is crowned there.\Before that happens, players are given a week to slay him.\If they defeat the king before the coronation, they can acquire rare items.\Since these items were very powerful,\and it was an easy event for regular players,\it was one of the game's most popular events.\The chief of the area's most powerful clan becomes the Goblin King. response:	In other words, by attacking goblin bases around the Ouu area,
context: Twice a year, the Goblin King is crowned there.\Before that happens, players are given a week to slay him.\If they defeat the king before the coronation, they can acquire rare items.\Since these items were very powerful,\and it was an easy event for regular players,\it was one of the game's most popular events.\The chief of the area's most powerful clan becomes the Goblin King.\In other words, by attacking goblin bases around the Ouu area, response:	you could weaken them, thus weakening the Goblin King.
context: Before that happens, players are given a week to slay him.\If they defeat the king before the coronation, they can acquire rare items.\Since these items were very powerful,\and it was an easy event for regular players,\it was one of the game's most popular events.\The chief of the area's most powerful clan becomes the Goblin King.\In other words, by attacking goblin bases around the Ouu area,\you could weaken them, thus weakening the Goblin King. response:	And that event had an element
context: If they defeat the king before the coronation, they can acquire rare items.\Since these items were very powerful,\and it was an easy event for regular players,\it was one of the game's most popular events.\The chief of the area's most powerful clan becomes the Goblin King.\In other words, by attacking goblin bases around the Ouu area,\you could weaken them, thus weakening the Goblin King.\And that event had an element response:	that was nearly forgotten because it almost never happened.
context: Since these items were very powerful,\and it was an easy event for regular players,\it was one of the game's most popular events.\The chief of the area's most powerful clan becomes the Goblin King.\In other words, by attacking goblin bases around the Ouu area,\you could weaken them, thus weakening the Goblin King.\And that event had an element\that was nearly forgotten because it almost never happened. response:	As I recall, if you failed to defeat the Goblin King during that week,
context: and it was an easy event for regular players,\it was one of the game's most popular events.\The chief of the area's most powerful clan becomes the Goblin King.\In other words, by attacking goblin bases around the Ouu area,\you could weaken them, thus weakening the Goblin King.\And that event had an element\that was nearly forgotten because it almost never happened.\As I recall, if you failed to defeat the Goblin King during that week, response:	the king was crowned.
context: it was one of the game's most popular events.\The chief of the area's most powerful clan becomes the Goblin King.\In other words, by attacking goblin bases around the Ouu area,\you could weaken them, thus weakening the Goblin King.\And that event had an element\that was nearly forgotten because it almost never happened.\As I recall, if you failed to defeat the Goblin King during that week,\the king was crowned. response:	This unified the surrounding clans,
context: The chief of the area's most powerful clan becomes the Goblin King.\In other words, by attacking goblin bases around the Ouu area,\you could weaken them, thus weakening the Goblin King.\And that event had an element\that was nearly forgotten because it almost never happened.\As I recall, if you failed to defeat the Goblin King during that week,\the king was crowned.\This unified the surrounding clans, response:	making the goblins several times more numerous than they'd previously been.
context: In other words, by attacking goblin bases around the Ouu area,\you could weaken them, thus weakening the Goblin King.\And that event had an element\that was nearly forgotten because it almost never happened.\As I recall, if you failed to defeat the Goblin King during that week,\the king was crowned.\This unified the surrounding clans,\making the goblins several times more numerous than they'd previously been. response:	Come to think of it...
context: you could weaken them, thus weakening the Goblin King.\And that event had an element\that was nearly forgotten because it almost never happened.\As I recall, if you failed to defeat the Goblin King during that week,\the king was crowned.\This unified the surrounding clans,\making the goblins several times more numerous than they'd previously been.\Come to think of it... response:	I remember that.
context: And that event had an element\that was nearly forgotten because it almost never happened.\As I recall, if you failed to defeat the Goblin King during that week,\the king was crowned.\This unified the surrounding clans,\making the goblins several times more numerous than they'd previously been.\Come to think of it...\I remember that. response:	Yeah.
context: that was nearly forgotten because it almost never happened.\As I recall, if you failed to defeat the Goblin King during that week,\the king was crowned.\This unified the surrounding clans,\making the goblins several times more numerous than they'd previously been.\Come to think of it...\I remember that.\Yeah. response:	Then that's it...
context: As I recall, if you failed to defeat the Goblin King during that week,\the king was crowned.\This unified the surrounding clans,\making the goblins several times more numerous than they'd previously been.\Come to think of it...\I remember that.\Yeah.\Then that's it... response:	Since the Apocalypse,
context: the king was crowned.\This unified the surrounding clans,\making the goblins several times more numerous than they'd previously been.\Come to think of it...\I remember that.\Yeah.\Then that's it...\Since the Apocalypse, response:	we've been so busy trying to make this world livable for ourselves...
context: This unified the surrounding clans,\making the goblins several times more numerous than they'd previously been.\Come to think of it...\I remember that.\Yeah.\Then that's it...\Since the Apocalypse,\we've been so busy trying to make this world livable for ourselves... response:	And we've been so preoccupied with raising our levels,
context: making the goblins several times more numerous than they'd previously been.\Come to think of it...\I remember that.\Yeah.\Then that's it...\Since the Apocalypse,\we've been so busy trying to make this world livable for ourselves...\And we've been so preoccupied with raising our levels, response:	we haven't taken any quests from the People of the Land.
context: Come to think of it...\I remember that.\Yeah.\Then that's it...\Since the Apocalypse,\we've been so busy trying to make this world livable for ourselves...\And we've been so preoccupied with raising our levels,\we haven't taken any quests from the People of the Land. response:	So this is the result...
context: I remember that.\Yeah.\Then that's it...\Since the Apocalypse,\we've been so busy trying to make this world livable for ourselves...\And we've been so preoccupied with raising our levels,\we haven't taken any quests from the People of the Land.\So this is the result... response:	Does that mean the goblins are at their full strength, Shiro?
context: Yeah.\Then that's it...\Since the Apocalypse,\we've been so busy trying to make this world livable for ourselves...\And we've been so preoccupied with raising our levels,\we haven't taken any quests from the People of the Land.\So this is the result...\Does that mean the goblins are at their full strength, Shiro? response:	We should assume the Goblin King, his guards,
context: Then that's it...\Since the Apocalypse,\we've been so busy trying to make this world livable for ourselves...\And we've been so preoccupied with raising our levels,\we haven't taken any quests from the People of the Land.\So this is the result...\Does that mean the goblins are at their full strength, Shiro?\We should assume the Goblin King, his guards, response:	and his armies are stronger than we've ever seen them.
