context: I have a copy of this, too. response:	So Yamamoto-san also reads poetry books...
context: The lunch counter's gonna get crowded.\Y-Yeah.\I guess you're right.\What am I gonna do...?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Y-Yeah.\I guess you're right.\What am I gonna do...?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: I guess you're right.\What am I gonna do...?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: What am I gonna do...?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 10 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 10 ... response:	I'm sure Yamamoto-san's upset, since she lost the picture...
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 10 ...\I'm sure Yamamoto-san's upset, since she lost the picture... response:	I have to get it back to her.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 10 ...\I'm sure Yamamoto-san's upset, since she lost the picture...\I have to get it back to her. response:	But I can't find the right time to talk to her...
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 10 ...\I'm sure Yamamoto-san's upset, since she lost the picture...\I have to get it back to her.\But I can't find the right time to talk to her... response:	And...
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 10 ...\I'm sure Yamamoto-san's upset, since she lost the picture...\I have to get it back to her.\But I can't find the right time to talk to her...\And... response:	What? You also had a copy of it?
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 10 ...\I'm sure Yamamoto-san's upset, since she lost the picture...\I have to get it back to her.\But I can't find the right time to talk to her...\And...\What? You also had a copy of it? response:	I don't understand...
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 10 ...\I'm sure Yamamoto-san's upset, since she lost the picture...\I have to get it back to her.\But I can't find the right time to talk to her...\And...\What? You also had a copy of it?\I don't understand... response:	Ah... someone just went to throw the trash in the incinerator.
context: Episode 10 ...\I'm sure Yamamoto-san's upset, since she lost the picture...\I have to get it back to her.\But I can't find the right time to talk to her...\And...\What? You also had a copy of it?\I don't understand...\Ah... someone just went to throw the trash in the incinerator. response:	Were you looking for something?
context: I'm sure Yamamoto-san's upset, since she lost the picture...\I have to get it back to her.\But I can't find the right time to talk to her...\And...\What? You also had a copy of it?\I don't understand...\Ah... someone just went to throw the trash in the incinerator.\Were you looking for something? response:	No...
context: I have to get it back to her.\But I can't find the right time to talk to her...\And...\What? You also had a copy of it?\I don't understand...\Ah... someone just went to throw the trash in the incinerator.\Were you looking for something?\No... response:	You serious?
context: But I can't find the right time to talk to her...\And...\What? You also had a copy of it?\I don't understand...\Ah... someone just went to throw the trash in the incinerator.\Were you looking for something?\No...\You serious? response:	Hey, listen to this! You won't believe what he did!
context: And...\What? You also had a copy of it?\I don't understand...\Ah... someone just went to throw the trash in the incinerator.\Were you looking for something?\No...\You serious?\Hey, listen to this! You won't believe what he did! response:	Come on, shut up!
context: What? You also had a copy of it?\I don't understand...\Ah... someone just went to throw the trash in the incinerator.\Were you looking for something?\No...\You serious?\Hey, listen to this! You won't believe what he did!\Come on, shut up! response:	Just spill it!
context: I don't understand...\Ah... someone just went to throw the trash in the incinerator.\Were you looking for something?\No...\You serious?\Hey, listen to this! You won't believe what he did!\Come on, shut up!\Just spill it! response:	Nana-chan.
context: Ah... someone just went to throw the trash in the incinerator.\Were you looking for something?\No...\You serious?\Hey, listen to this! You won't believe what he did!\Come on, shut up!\Just spill it!\Nana-chan. response:	Let me see your English homework.
context: Were you looking for something?\No...\You serious?\Hey, listen to this! You won't believe what he did!\Come on, shut up!\Just spill it!\Nana-chan.\Let me see your English homework. response:	Again? You need to do it yourself sometimes, you know.
context: No...\You serious?\Hey, listen to this! You won't believe what he did!\Come on, shut up!\Just spill it!\Nana-chan.\Let me see your English homework.\Again? You need to do it yourself sometimes, you know. response:	Please?
context: You serious?\Hey, listen to this! You won't believe what he did!\Come on, shut up!\Just spill it!\Nana-chan.\Let me see your English homework.\Again? You need to do it yourself sometimes, you know.\Please? response:	Sheesh.
context: Hey, listen to this! You won't believe what he did!\Come on, shut up!\Just spill it!\Nana-chan.\Let me see your English homework.\Again? You need to do it yourself sometimes, you know.\Please?\Sheesh. response:	All right. Thanks a lot.
context: Come on, shut up!\Just spill it!\Nana-chan.\Let me see your English homework.\Again? You need to do it yourself sometimes, you know.\Please?\Sheesh.\All right. Thanks a lot. response:	Ah, I'm... getting jealous again...
context: Just spill it!\Nana-chan.\Let me see your English homework.\Again? You need to do it yourself sometimes, you know.\Please?\Sheesh.\All right. Thanks a lot.\Ah, I'm... getting jealous again... response:	Nana-chan, is something bugging you?
context: Nana-chan.\Let me see your English homework.\Again? You need to do it yourself sometimes, you know.\Please?\Sheesh.\All right. Thanks a lot.\Ah, I'm... getting jealous again...\Nana-chan, is something bugging you? response:	It's like you haven't been able to relax all day.
context: Let me see your English homework.\Again? You need to do it yourself sometimes, you know.\Please?\Sheesh.\All right. Thanks a lot.\Ah, I'm... getting jealous again...\Nana-chan, is something bugging you?\It's like you haven't been able to relax all day. response:	N-Not really.
context: Again? You need to do it yourself sometimes, you know.\Please?\Sheesh.\All right. Thanks a lot.\Ah, I'm... getting jealous again...\Nana-chan, is something bugging you?\It's like you haven't been able to relax all day.\N-Not really. response:	I guess that's fine, then.
context: Please?\Sheesh.\All right. Thanks a lot.\Ah, I'm... getting jealous again...\Nana-chan, is something bugging you?\It's like you haven't been able to relax all day.\N-Not really.\I guess that's fine, then. response:	But remember, no secrets between us.
context: Sheesh.\All right. Thanks a lot.\Ah, I'm... getting jealous again...\Nana-chan, is something bugging you?\It's like you haven't been able to relax all day.\N-Not really.\I guess that's fine, then.\But remember, no secrets between us. response:	That's not fair... with just one smile, I'll let you do whatever you want.
context: All right. Thanks a lot.\Ah, I'm... getting jealous again...\Nana-chan, is something bugging you?\It's like you haven't been able to relax all day.\N-Not really.\I guess that's fine, then.\But remember, no secrets between us.\That's not fair... with just one smile, I'll let you do whatever you want. response:	Go ahead and take my homework.
context: Ah, I'm... getting jealous again...\Nana-chan, is something bugging you?\It's like you haven't been able to relax all day.\N-Not really.\I guess that's fine, then.\But remember, no secrets between us.\That's not fair... with just one smile, I'll let you do whatever you want.\Go ahead and take my homework. response:	You're gonna be called on today, right?
context: Nana-chan, is something bugging you?\It's like you haven't been able to relax all day.\N-Not really.\I guess that's fine, then.\But remember, no secrets between us.\That's not fair... with just one smile, I'll let you do whatever you want.\Go ahead and take my homework.\You're gonna be called on today, right? response:	Really? Yay!
context: It's like you haven't been able to relax all day.\N-Not really.\I guess that's fine, then.\But remember, no secrets between us.\That's not fair... with just one smile, I'll let you do whatever you want.\Go ahead and take my homework.\You're gonna be called on today, right?\Really? Yay! response:	That's why I want him all to myself...
context: N-Not really.\I guess that's fine, then.\But remember, no secrets between us.\That's not fair... with just one smile, I'll let you do whatever you want.\Go ahead and take my homework.\You're gonna be called on today, right?\Really? Yay!\That's why I want him all to myself... response:	Oh, now I get it!
context: I guess that's fine, then.\But remember, no secrets between us.\That's not fair... with just one smile, I'll let you do whatever you want.\Go ahead and take my homework.\You're gonna be called on today, right?\Really? Yay!\That's why I want him all to myself...\Oh, now I get it! response:	That picture... wasn't of Yano. It was picture of Yamamoto-san's sister!
context: But remember, no secrets between us.\That's not fair... with just one smile, I'll let you do whatever you want.\Go ahead and take my homework.\You're gonna be called on today, right?\Really? Yay!\That's why I want him all to myself...\Oh, now I get it!\That picture... wasn't of Yano. It was picture of Yamamoto-san's sister! response:	I see! It all connects now!
context: That's not fair... with just one smile, I'll let you do whatever you want.\Go ahead and take my homework.\You're gonna be called on today, right?\Really? Yay!\That's why I want him all to myself...\Oh, now I get it!\That picture... wasn't of Yano. It was picture of Yamamoto-san's sister!\I see! It all connects now! response:	It makes sense for Yamamoto-san to have it.
context: Go ahead and take my homework.\You're gonna be called on today, right?\Really? Yay!\That's why I want him all to myself...\Oh, now I get it!\That picture... wasn't of Yano. It was picture of Yamamoto-san's sister!\I see! It all connects now!\It makes sense for Yamamoto-san to have it. response:	Huh?
context: You're gonna be called on today, right?\Really? Yay!\That's why I want him all to myself...\Oh, now I get it!\That picture... wasn't of Yano. It was picture of Yamamoto-san's sister!\I see! It all connects now!\It makes sense for Yamamoto-san to have it.\Huh? response:	Did you do the English assignment?
context: Really? Yay!\That's why I want him all to myself...\Oh, now I get it!\That picture... wasn't of Yano. It was picture of Yamamoto-san's sister!\I see! It all connects now!\It makes sense for Yamamoto-san to have it.\Huh?\Did you do the English assignment? response:	I've got it down pat.
context: That's why I want him all to myself...\Oh, now I get it!\That picture... wasn't of Yano. It was picture of Yamamoto-san's sister!\I see! It all connects now!\It makes sense for Yamamoto-san to have it.\Huh?\Did you do the English assignment?\I've got it down pat. response:	Oh, no!
context: Oh, now I get it!\That picture... wasn't of Yano. It was picture of Yamamoto-san's sister!\I see! It all connects now!\It makes sense for Yamamoto-san to have it.\Huh?\Did you do the English assignment?\I've got it down pat.\Oh, no! response:	Let me see it?
context: That picture... wasn't of Yano. It was picture of Yamamoto-san's sister!\I see! It all connects now!\It makes sense for Yamamoto-san to have it.\Huh?\Did you do the English assignment?\I've got it down pat.\Oh, no!\Let me see it? response:	No.
context: I see! It all connects now!\It makes sense for Yamamoto-san to have it.\Huh?\Did you do the English assignment?\I've got it down pat.\Oh, no!\Let me see it?\No. response:	My English notebook!
context: It makes sense for Yamamoto-san to have it.\Huh?\Did you do the English assignment?\I've got it down pat.\Oh, no!\Let me see it?\No.\My English notebook! response:	Nana-chan's notebook is only for me.
context: Huh?\Did you do the English assignment?\I've got it down pat.\Oh, no!\Let me see it?\No.\My English notebook!\Nana-chan's notebook is only for me. response:	That's... mine.
context: Did you do the English assignment?\I've got it down pat.\Oh, no!\Let me see it?\No.\My English notebook!\Nana-chan's notebook is only for me.\That's... mine. response:	Give it back.
context: I've got it down pat.\Oh, no!\Let me see it?\No.\My English notebook!\Nana-chan's notebook is only for me.\That's... mine.\Give it back. response:	Is this some sort of harassment?!
context: Oh, no!\Let me see it?\No.\My English notebook!\Nana-chan's notebook is only for me.\That's... mine.\Give it back.\Is this some sort of harassment?! response:	Yano.
context: Let me see it?\No.\My English notebook!\Nana-chan's notebook is only for me.\That's... mine.\Give it back.\Is this some sort of harassment?!\Yano. response:	U-Umm...
context: No.\My English notebook!\Nana-chan's notebook is only for me.\That's... mine.\Give it back.\Is this some sort of harassment?!\Yano.\U-Umm... response:	In my notebook before...
context: My English notebook!\Nana-chan's notebook is only for me.\That's... mine.\Give it back.\Is this some sort of harassment?!\Yano.\U-Umm...\In my notebook before... response:	Umm...
context: Nana-chan's notebook is only for me.\That's... mine.\Give it back.\Is this some sort of harassment?!\Yano.\U-Umm...\In my notebook before...\Umm... response:	W-Was there maybe.. a picture in it?
context: That's... mine.\Give it back.\Is this some sort of harassment?!\Yano.\U-Umm...\In my notebook before...\Umm...\W-Was there maybe.. a picture in it? response:	A picture of what?
context: Give it back.\Is this some sort of harassment?!\Yano.\U-Umm...\In my notebook before...\Umm...\W-Was there maybe.. a picture in it?\A picture of what? response:	Ah... never mind. If you didn't see it, don't worry about it.
context: Is this some sort of harassment?!\Yano.\U-Umm...\In my notebook before...\Umm...\W-Was there maybe.. a picture in it?\A picture of what?\Ah... never mind. If you didn't see it, don't worry about it. response:	I gave it back.
context: Yano.\U-Umm...\In my notebook before...\Umm...\W-Was there maybe.. a picture in it?\A picture of what?\Ah... never mind. If you didn't see it, don't worry about it.\I gave it back. response:	I gave it back to Yamamoto.
context: U-Umm...\In my notebook before...\Umm...\W-Was there maybe.. a picture in it?\A picture of what?\Ah... never mind. If you didn't see it, don't worry about it.\I gave it back.\I gave it back to Yamamoto. response:	Ah... I see...
context: In my notebook before...\Umm...\W-Was there maybe.. a picture in it?\A picture of what?\Ah... never mind. If you didn't see it, don't worry about it.\I gave it back.\I gave it back to Yamamoto.\Ah... I see... response:	Umm... did Yamamoto-san say anything about it...?
context: Umm...\W-Was there maybe.. a picture in it?\A picture of what?\Ah... never mind. If you didn't see it, don't worry about it.\I gave it back.\I gave it back to Yamamoto.\Ah... I see...\Umm... did Yamamoto-san say anything about it...? response:	Not a word.
context: W-Was there maybe.. a picture in it?\A picture of what?\Ah... never mind. If you didn't see it, don't worry about it.\I gave it back.\I gave it back to Yamamoto.\Ah... I see...\Umm... did Yamamoto-san say anything about it...?\Not a word. response:	Umm, nothing like where'd you find it or anything?
context: A picture of what?\Ah... never mind. If you didn't see it, don't worry about it.\I gave it back.\I gave it back to Yamamoto.\Ah... I see...\Umm... did Yamamoto-san say anything about it...?\Not a word.\Umm, nothing like where'd you find it or anything? response:	Nothing like that.
context: Ah... never mind. If you didn't see it, don't worry about it.\I gave it back.\I gave it back to Yamamoto.\Ah... I see...\Umm... did Yamamoto-san say anything about it...?\Not a word.\Umm, nothing like where'd you find it or anything?\Nothing like that. response:	Ah... I see...
context: I gave it back.\I gave it back to Yamamoto.\Ah... I see...\Umm... did Yamamoto-san say anything about it...?\Not a word.\Umm, nothing like where'd you find it or anything?\Nothing like that.\Ah... I see... response:	He's...
context: I gave it back to Yamamoto.\Ah... I see...\Umm... did Yamamoto-san say anything about it...?\Not a word.\Umm, nothing like where'd you find it or anything?\Nothing like that.\Ah... I see...\He's... response:	Yano...
context: Ah... I see...\Umm... did Yamamoto-san say anything about it...?\Not a word.\Umm, nothing like where'd you find it or anything?\Nothing like that.\Ah... I see...\He's...\Yano... response:	Nana-chan... why'd you have that?
context: Umm... did Yamamoto-san say anything about it...?\Not a word.\Umm, nothing like where'd you find it or anything?\Nothing like that.\Ah... I see...\He's...\Yano...\Nana-chan... why'd you have that? response:	He's really mad at me...
context: Not a word.\Umm, nothing like where'd you find it or anything?\Nothing like that.\Ah... I see...\He's...\Yano...\Nana-chan... why'd you have that?\He's really mad at me... response:	Snooping around in other people's things is pretty awful, don't you think?
context: Umm, nothing like where'd you find it or anything?\Nothing like that.\Ah... I see...\He's...\Yano...\Nana-chan... why'd you have that?\He's really mad at me...\Snooping around in other people's things is pretty awful, don't you think? response:	Nanairo no niji ga koi no yukue shitteru no
context: Nothing like that.\Ah... I see...\He's...\Yano...\Nana-chan... why'd you have that?\He's really mad at me...\Snooping around in other people's things is pretty awful, don't you think?\Nanairo no niji ga koi no yukue shitteru no response:	Kiseki wa meguru to miageta yozora wa
context: Ah... I see...\He's...\Yano...\Nana-chan... why'd you have that?\He's really mad at me...\Snooping around in other people's things is pretty awful, don't you think?\Nanairo no niji ga koi no yukue shitteru no\Kiseki wa meguru to miageta yozora wa response:	Kakomare maboshi kumo no ue de odoru
context: He's...\Yano...\Nana-chan... why'd you have that?\He's really mad at me...\Snooping around in other people's things is pretty awful, don't you think?\Nanairo no niji ga koi no yukue shitteru no\Kiseki wa meguru to miageta yozora wa\Kakomare maboshi kumo no ue de odoru response:	Ikibasho wo sagashita tameiki ga irodzuku
context: Yano...\Nana-chan... why'd you have that?\He's really mad at me...\Snooping around in other people's things is pretty awful, don't you think?\Nanairo no niji ga koi no yukue shitteru no\Kiseki wa meguru to miageta yozora wa\Kakomare maboshi kumo no ue de odoru\Ikibasho wo sagashita tameiki ga irodzuku response:	Ushinau sono mae ni furete hashiri
context: Nana-chan... why'd you have that?\He's really mad at me...\Snooping around in other people's things is pretty awful, don't you think?\Nanairo no niji ga koi no yukue shitteru no\Kiseki wa meguru to miageta yozora wa\Kakomare maboshi kumo no ue de odoru\Ikibasho wo sagashita tameiki ga irodzuku\Ushinau sono mae ni furete hashiri response:	Anata wa tenohira nukumori de
context: He's really mad at me...\Snooping around in other people's things is pretty awful, don't you think?\Nanairo no niji ga koi no yukue shitteru no\Kiseki wa meguru to miageta yozora wa\Kakomare maboshi kumo no ue de odoru\Ikibasho wo sagashita tameiki ga irodzuku\Ushinau sono mae ni furete hashiri\Anata wa tenohira nukumori de response:	Hanasanaide mou sukoshi dake kowaresou yo
context: Snooping around in other people's things is pretty awful, don't you think?\Nanairo no niji ga koi no yukue shitteru no\Kiseki wa meguru to miageta yozora wa\Kakomare maboshi kumo no ue de odoru\Ikibasho wo sagashita tameiki ga irodzuku\Ushinau sono mae ni furete hashiri\Anata wa tenohira nukumori de\Hanasanaide mou sukoshi dake kowaresou yo response:	Kokoro yurete namida tte ochiru
context: Nanairo no niji ga koi no yukue shitteru no\Kiseki wa meguru to miageta yozora wa\Kakomare maboshi kumo no ue de odoru\Ikibasho wo sagashita tameiki ga irodzuku\Ushinau sono mae ni furete hashiri\Anata wa tenohira nukumori de\Hanasanaide mou sukoshi dake kowaresou yo\Kokoro yurete namida tte ochiru response:	Anata no kao wa shizuka ni
context: Kiseki wa meguru to miageta yozora wa\Kakomare maboshi kumo no ue de odoru\Ikibasho wo sagashita tameiki ga irodzuku\Ushinau sono mae ni furete hashiri\Anata wa tenohira nukumori de\Hanasanaide mou sukoshi dake kowaresou yo\Kokoro yurete namida tte ochiru\Anata no kao wa shizuka ni response:	Kirakira ni terasou
context: Kakomare maboshi kumo no ue de odoru\Ikibasho wo sagashita tameiki ga irodzuku\Ushinau sono mae ni furete hashiri\Anata wa tenohira nukumori de\Hanasanaide mou sukoshi dake kowaresou yo\Kokoro yurete namida tte ochiru\Anata no kao wa shizuka ni\Kirakira ni terasou response:	Mi no sono mae no sono hitomi
context: Ikibasho wo sagashita tameiki ga irodzuku\Ushinau sono mae ni furete hashiri\Anata wa tenohira nukumori de\Hanasanaide mou sukoshi dake kowaresou yo\Kokoro yurete namida tte ochiru\Anata no kao wa shizuka ni\Kirakira ni terasou\Mi no sono mae no sono hitomi response:	Kaze ni utau yume no hito
context: Ushinau sono mae ni furete hashiri\Anata wa tenohira nukumori de\Hanasanaide mou sukoshi dake kowaresou yo\Kokoro yurete namida tte ochiru\Anata no kao wa shizuka ni\Kirakira ni terasou\Mi no sono mae no sono hitomi\Kaze ni utau yume no hito response:	Mayou kibun utare omoidaseta nara
context: Anata wa tenohira nukumori de\Hanasanaide mou sukoshi dake kowaresou yo\Kokoro yurete namida tte ochiru\Anata no kao wa shizuka ni\Kirakira ni terasou\Mi no sono mae no sono hitomi\Kaze ni utau yume no hito\Mayou kibun utare omoidaseta nara response:	Hohoemu sono tabi ni setsunasa tsumoru
context: Hanasanaide mou sukoshi dake kowaresou yo\Kokoro yurete namida tte ochiru\Anata no kao wa shizuka ni\Kirakira ni terasou\Mi no sono mae no sono hitomi\Kaze ni utau yume no hito\Mayou kibun utare omoidaseta nara\Hohoemu sono tabi ni setsunasa tsumoru response:	Mabushii sora no naka...
context: Kokoro yurete namida tte ochiru\Anata no kao wa shizuka ni\Kirakira ni terasou\Mi no sono mae no sono hitomi\Kaze ni utau yume no hito\Mayou kibun utare omoidaseta nara\Hohoemu sono tabi ni setsunasa tsumoru\Mabushii sora no naka... response:	The seven-colored rainbow knows where our love is headed.
context: Anata no kao wa shizuka ni\Kirakira ni terasou\Mi no sono mae no sono hitomi\Kaze ni utau yume no hito\Mayou kibun utare omoidaseta nara\Hohoemu sono tabi ni setsunasa tsumoru\Mabushii sora no naka...\The seven-colored rainbow knows where our love is headed. response:	As the seasons turn, the night sky I gaze up at
context: Kirakira ni terasou\Mi no sono mae no sono hitomi\Kaze ni utau yume no hito\Mayou kibun utare omoidaseta nara\Hohoemu sono tabi ni setsunasa tsumoru\Mabushii sora no naka...\The seven-colored rainbow knows where our love is headed.\As the seasons turn, the night sky I gaze up at response:	surrounds me, and illusions dance above the clouds.
context: Mi no sono mae no sono hitomi\Kaze ni utau yume no hito\Mayou kibun utare omoidaseta nara\Hohoemu sono tabi ni setsunasa tsumoru\Mabushii sora no naka...\The seven-colored rainbow knows where our love is headed.\As the seasons turn, the night sky I gaze up at\surrounds me, and illusions dance above the clouds. response:	I tried to find where it led, but it only colored my sighs.
