context: Edolas...? response:	Yes, Edolas... A different world than this one.
context: Someone was going around and closing the Anima...\When I heard the story from Wendy about Jellal, I mean Mystogan,\I didn't think it was possible, but...\I'm sure of it now. It was him.\But the Anima this time was simply too large for anyone to defend against it,\and the guild was absorbed.\Why did they suck up Fairy Tail?\Didn't I tell you? response:	This is all for Edolas's magical power.
context: When I heard the story from Wendy about Jellal, I mean Mystogan,\I didn't think it was possible, but...\I'm sure of it now. It was him.\But the Anima this time was simply too large for anyone to defend against it,\and the guild was absorbed.\Why did they suck up Fairy Tail?\Didn't I tell you?\This is all for Edolas's magical power. response:	There are a ton of powerful wizards at Fairy Tail!
context: I didn't think it was possible, but...\I'm sure of it now. It was him.\But the Anima this time was simply too large for anyone to defend against it,\and the guild was absorbed.\Why did they suck up Fairy Tail?\Didn't I tell you?\This is all for Edolas's magical power.\There are a ton of powerful wizards at Fairy Tail! response:	Is that why it was targeted?
context: I'm sure of it now. It was him.\But the Anima this time was simply too large for anyone to defend against it,\and the guild was absorbed.\Why did they suck up Fairy Tail?\Didn't I tell you?\This is all for Edolas's magical power.\There are a ton of powerful wizards at Fairy Tail!\Is that why it was targeted? response:	Yes.
context: But the Anima this time was simply too large for anyone to defend against it,\and the guild was absorbed.\Why did they suck up Fairy Tail?\Didn't I tell you?\This is all for Edolas's magical power.\There are a ton of powerful wizards at Fairy Tail!\Is that why it was targeted?\Yes. response:	Man, how selfish can you get?
context: and the guild was absorbed.\Why did they suck up Fairy Tail?\Didn't I tell you?\This is all for Edolas's magical power.\There are a ton of powerful wizards at Fairy Tail!\Is that why it was targeted?\Yes.\Man, how selfish can you get? response:	Give everyone back, you jerk!
context: Why did they suck up Fairy Tail?\Didn't I tell you?\This is all for Edolas's magical power.\There are a ton of powerful wizards at Fairy Tail!\Is that why it was targeted?\Yes.\Man, how selfish can you get?\Give everyone back, you jerk! response:	Damn it...
context: Didn't I tell you?\This is all for Edolas's magical power.\There are a ton of powerful wizards at Fairy Tail!\Is that why it was targeted?\Yes.\Man, how selfish can you get?\Give everyone back, you jerk!\Damn it... response:	So this... is Carla's and my fault?
context: This is all for Edolas's magical power.\There are a ton of powerful wizards at Fairy Tail!\Is that why it was targeted?\Yes.\Man, how selfish can you get?\Give everyone back, you jerk!\Damn it...\So this... is Carla's and my fault? response:	Indirectly, yes.
context: There are a ton of powerful wizards at Fairy Tail!\Is that why it was targeted?\Yes.\Man, how selfish can you get?\Give everyone back, you jerk!\Damn it...\So this... is Carla's and my fault?\Indirectly, yes. response:	Indirectly?
context: Is that why it was targeted?\Yes.\Man, how selfish can you get?\Give everyone back, you jerk!\Damn it...\So this... is Carla's and my fault?\Indirectly, yes.\Indirectly? response:	We were sent to this world from the Kingdom of Edolas with a separate mission.
context: Yes.\Man, how selfish can you get?\Give everyone back, you jerk!\Damn it...\So this... is Carla's and my fault?\Indirectly, yes.\Indirectly?\We were sent to this world from the Kingdom of Edolas with a separate mission. response:	That can't be!
context: Man, how selfish can you get?\Give everyone back, you jerk!\Damn it...\So this... is Carla's and my fault?\Indirectly, yes.\Indirectly?\We were sent to this world from the Kingdom of Edolas with a separate mission.\That can't be! response:	You were born from an egg... In this world!
context: Give everyone back, you jerk!\Damn it...\So this... is Carla's and my fault?\Indirectly, yes.\Indirectly?\We were sent to this world from the Kingdom of Edolas with a separate mission.\That can't be!\You were born from an egg... In this world! response:	So was Happy! I found him!
context: Damn it...\So this... is Carla's and my fault?\Indirectly, yes.\Indirectly?\We were sent to this world from the Kingdom of Edolas with a separate mission.\That can't be!\You were born from an egg... In this world!\So was Happy! I found him! response:	True.
context: So this... is Carla's and my fault?\Indirectly, yes.\Indirectly?\We were sent to this world from the Kingdom of Edolas with a separate mission.\That can't be!\You were born from an egg... In this world!\So was Happy! I found him!\True. response:	Just so you know, I've never set foot in Edolas.
context: Indirectly, yes.\Indirectly?\We were sent to this world from the Kingdom of Edolas with a separate mission.\That can't be!\You were born from an egg... In this world!\So was Happy! I found him!\True.\Just so you know, I've never set foot in Edolas. response:	Like Wendy said, I was born and raised in this world.
context: Indirectly?\We were sent to this world from the Kingdom of Edolas with a separate mission.\That can't be!\You were born from an egg... In this world!\So was Happy! I found him!\True.\Just so you know, I've never set foot in Edolas.\Like Wendy said, I was born and raised in this world. response:	But knowledge of Edolas and our mission was ingrained in us.
context: We were sent to this world from the Kingdom of Edolas with a separate mission.\That can't be!\You were born from an egg... In this world!\So was Happy! I found him!\True.\Just so you know, I've never set foot in Edolas.\Like Wendy said, I was born and raised in this world.\But knowledge of Edolas and our mission was ingrained in us. response:	We should have known it all from the moment we were born.
context: That can't be!\You were born from an egg... In this world!\So was Happy! I found him!\True.\Just so you know, I've never set foot in Edolas.\Like Wendy said, I was born and raised in this world.\But knowledge of Edolas and our mission was ingrained in us.\We should have known it all from the moment we were born. response:	And yet...
context: You were born from an egg... In this world!\So was Happy! I found him!\True.\Just so you know, I've never set foot in Edolas.\Like Wendy said, I was born and raised in this world.\But knowledge of Edolas and our mission was ingrained in us.\We should have known it all from the moment we were born.\And yet... response:	Why don't you know anything?
context: So was Happy! I found him!\True.\Just so you know, I've never set foot in Edolas.\Like Wendy said, I was born and raised in this world.\But knowledge of Edolas and our mission was ingrained in us.\We should have known it all from the moment we were born.\And yet...\Why don't you know anything? response:	So that's that.
context: True.\Just so you know, I've never set foot in Edolas.\Like Wendy said, I was born and raised in this world.\But knowledge of Edolas and our mission was ingrained in us.\We should have known it all from the moment we were born.\And yet...\Why don't you know anything?\So that's that. response:	We're from Edolas, and what happened here is our fault.
context: Just so you know, I've never set foot in Edolas.\Like Wendy said, I was born and raised in this world.\But knowledge of Edolas and our mission was ingrained in us.\We should have known it all from the moment we were born.\And yet...\Why don't you know anything?\So that's that.\We're from Edolas, and what happened here is our fault. response:	You said something about a separate mission, Carla?
context: Like Wendy said, I was born and raised in this world.\But knowledge of Edolas and our mission was ingrained in us.\We should have known it all from the moment we were born.\And yet...\Why don't you know anything?\So that's that.\We're from Edolas, and what happened here is our fault.\You said something about a separate mission, Carla? response:	I can't say.
context: But knowledge of Edolas and our mission was ingrained in us.\We should have known it all from the moment we were born.\And yet...\Why don't you know anything?\So that's that.\We're from Edolas, and what happened here is our fault.\You said something about a separate mission, Carla?\I can't say. response:	Please tell me, Carla! I want to know what I am!
context: We should have known it all from the moment we were born.\And yet...\Why don't you know anything?\So that's that.\We're from Edolas, and what happened here is our fault.\You said something about a separate mission, Carla?\I can't say.\Please tell me, Carla! I want to know what I am! response:	I told you, I can't say! You have to remember yourself!
context: And yet...\Why don't you know anything?\So that's that.\We're from Edolas, and what happened here is our fault.\You said something about a separate mission, Carla?\I can't say.\Please tell me, Carla! I want to know what I am!\I told you, I can't say! You have to remember yourself! response:	Righto!
context: Why don't you know anything?\So that's that.\We're from Edolas, and what happened here is our fault.\You said something about a separate mission, Carla?\I can't say.\Please tell me, Carla! I want to know what I am!\I told you, I can't say! You have to remember yourself!\Righto! response:	We've got everything settled, so let's go!
context: So that's that.\We're from Edolas, and what happened here is our fault.\You said something about a separate mission, Carla?\I can't say.\Please tell me, Carla! I want to know what I am!\I told you, I can't say! You have to remember yourself!\Righto!\We've got everything settled, so let's go! response:	Off to this Edolas place!
context: We're from Edolas, and what happened here is our fault.\You said something about a separate mission, Carla?\I can't say.\Please tell me, Carla! I want to know what I am!\I told you, I can't say! You have to remember yourself!\Righto!\We've got everything settled, so let's go!\Off to this Edolas place! response:	Everything is hardly settled!
context: You said something about a separate mission, Carla?\I can't say.\Please tell me, Carla! I want to know what I am!\I told you, I can't say! You have to remember yourself!\Righto!\We've got everything settled, so let's go!\Off to this Edolas place!\Everything is hardly settled! response:	You don't understand at all...
context: I can't say.\Please tell me, Carla! I want to know what I am!\I told you, I can't say! You have to remember yourself!\Righto!\We've got everything settled, so let's go!\Off to this Edolas place!\Everything is hardly settled!\You don't understand at all... response:	Natsu-san...
context: Please tell me, Carla! I want to know what I am!\I told you, I can't say! You have to remember yourself!\Righto!\We've got everything settled, so let's go!\Off to this Edolas place!\Everything is hardly settled!\You don't understand at all...\Natsu-san... response:	Natsu... I...
context: I told you, I can't say! You have to remember yourself!\Righto!\We've got everything settled, so let's go!\Off to this Edolas place!\Everything is hardly settled!\You don't understand at all...\Natsu-san...\Natsu... I... response:	All this unease is making me hungry.
context: Righto!\We've got everything settled, so let's go!\Off to this Edolas place!\Everything is hardly settled!\You don't understand at all...\Natsu-san...\Natsu... I...\All this unease is making me hungry. response:	That just proves you're alive!
context: We've got everything settled, so let's go!\Off to this Edolas place!\Everything is hardly settled!\You don't understand at all...\Natsu-san...\Natsu... I...\All this unease is making me hungry.\That just proves you're alive! response:	Everyone's in Edolas, right? In that case, we gotta go save'em!
context: Off to this Edolas place!\Everything is hardly settled!\You don't understand at all...\Natsu-san...\Natsu... I...\All this unease is making me hungry.\That just proves you're alive!\Everyone's in Edolas, right? In that case, we gotta go save'em! response:	What about that, Carla?
context: Everything is hardly settled!\You don't understand at all...\Natsu-san...\Natsu... I...\All this unease is making me hungry.\That just proves you're alive!\Everyone's in Edolas, right? In that case, we gotta go save'em!\What about that, Carla? response:	They might be there...
context: You don't understand at all...\Natsu-san...\Natsu... I...\All this unease is making me hungry.\That just proves you're alive!\Everyone's in Edolas, right? In that case, we gotta go save'em!\What about that, Carla?\They might be there... response:	But I don't know if we could save them.
context: Natsu-san...\Natsu... I...\All this unease is making me hungry.\That just proves you're alive!\Everyone's in Edolas, right? In that case, we gotta go save'em!\What about that, Carla?\They might be there...\But I don't know if we could save them. response:	I don't even know if we could return from Edolas...
context: Natsu... I...\All this unease is making me hungry.\That just proves you're alive!\Everyone's in Edolas, right? In that case, we gotta go save'em!\What about that, Carla?\They might be there...\But I don't know if we could save them.\I don't even know if we could return from Edolas... response:	Well, as long as my friends aren't here, I don't need to come back.
context: All this unease is making me hungry.\That just proves you're alive!\Everyone's in Edolas, right? In that case, we gotta go save'em!\What about that, Carla?\They might be there...\But I don't know if we could save them.\I don't even know if we could return from Edolas...\Well, as long as my friends aren't here, I don't need to come back. response:	Everyone except for Igneel, anyway...
context: That just proves you're alive!\Everyone's in Edolas, right? In that case, we gotta go save'em!\What about that, Carla?\They might be there...\But I don't know if we could save them.\I don't even know if we could return from Edolas...\Well, as long as my friends aren't here, I don't need to come back.\Everyone except for Igneel, anyway... response:	I agree.
context: Everyone's in Edolas, right? In that case, we gotta go save'em!\What about that, Carla?\They might be there...\But I don't know if we could save them.\I don't even know if we could return from Edolas...\Well, as long as my friends aren't here, I don't need to come back.\Everyone except for Igneel, anyway...\I agree. response:	Can we really save everyone?
context: What about that, Carla?\They might be there...\But I don't know if we could save them.\I don't even know if we could return from Edolas...\Well, as long as my friends aren't here, I don't need to come back.\Everyone except for Igneel, anyway...\I agree.\Can we really save everyone? response:	I guess I'm basically a member of Fairy Tail too...
context: They might be there...\But I don't know if we could save them.\I don't even know if we could return from Edolas...\Well, as long as my friends aren't here, I don't need to come back.\Everyone except for Igneel, anyway...\I agree.\Can we really save everyone?\I guess I'm basically a member of Fairy Tail too... response:	And I do feel somewhat responsible about what my home Kingdom has done...
context: But I don't know if we could save them.\I don't even know if we could return from Edolas...\Well, as long as my friends aren't here, I don't need to come back.\Everyone except for Igneel, anyway...\I agree.\Can we really save everyone?\I guess I'm basically a member of Fairy Tail too...\And I do feel somewhat responsible about what my home Kingdom has done... response:	I guess I might take you there...
context: I don't even know if we could return from Edolas...\Well, as long as my friends aren't here, I don't need to come back.\Everyone except for Igneel, anyway...\I agree.\Can we really save everyone?\I guess I'm basically a member of Fairy Tail too...\And I do feel somewhat responsible about what my home Kingdom has done...\I guess I might take you there... response:	But you need to promise me a few things.
context: Well, as long as my friends aren't here, I don't need to come back.\Everyone except for Igneel, anyway...\I agree.\Can we really save everyone?\I guess I'm basically a member of Fairy Tail too...\And I do feel somewhat responsible about what my home Kingdom has done...\I guess I might take you there...\But you need to promise me a few things. response:	Returning to Edolas is a violation of my orders.
context: Everyone except for Igneel, anyway...\I agree.\Can we really save everyone?\I guess I'm basically a member of Fairy Tail too...\And I do feel somewhat responsible about what my home Kingdom has done...\I guess I might take you there...\But you need to promise me a few things.\Returning to Edolas is a violation of my orders. response:	We can't be discovered by the people from the Kingdom.
context: I agree.\Can we really save everyone?\I guess I'm basically a member of Fairy Tail too...\And I do feel somewhat responsible about what my home Kingdom has done...\I guess I might take you there...\But you need to promise me a few things.\Returning to Edolas is a violation of my orders.\We can't be discovered by the people from the Kingdom. response:	Everyone has to be in disguise.
context: Can we really save everyone?\I guess I'm basically a member of Fairy Tail too...\And I do feel somewhat responsible about what my home Kingdom has done...\I guess I might take you there...\But you need to promise me a few things.\Returning to Edolas is a violation of my orders.\We can't be discovered by the people from the Kingdom.\Everyone has to be in disguise. response:	Me, too?
context: I guess I'm basically a member of Fairy Tail too...\And I do feel somewhat responsible about what my home Kingdom has done...\I guess I might take you there...\But you need to promise me a few things.\Returning to Edolas is a violation of my orders.\We can't be discovered by the people from the Kingdom.\Everyone has to be in disguise.\Me, too? response:	You sure about this, Carla?
context: And I do feel somewhat responsible about what my home Kingdom has done...\I guess I might take you there...\But you need to promise me a few things.\Returning to Edolas is a violation of my orders.\We can't be discovered by the people from the Kingdom.\Everyone has to be in disguise.\Me, too?\You sure about this, Carla? response:	Yes. I've made up my mind.
context: I guess I might take you there...\But you need to promise me a few things.\Returning to Edolas is a violation of my orders.\We can't be discovered by the people from the Kingdom.\Everyone has to be in disguise.\Me, too?\You sure about this, Carla?\Yes. I've made up my mind. response:	And you, he-cat... Don't ask me about our orders.
context: But you need to promise me a few things.\Returning to Edolas is a violation of my orders.\We can't be discovered by the people from the Kingdom.\Everyone has to be in disguise.\Me, too?\You sure about this, Carla?\Yes. I've made up my mind.\And you, he-cat... Don't ask me about our orders. response:	Aye...
context: Returning to Edolas is a violation of my orders.\We can't be discovered by the people from the Kingdom.\Everyone has to be in disguise.\Me, too?\You sure about this, Carla?\Yes. I've made up my mind.\And you, he-cat... Don't ask me about our orders.\Aye... response:	And thirdly, I don't know anything other than basic info about Edolas.
context: We can't be discovered by the people from the Kingdom.\Everyone has to be in disguise.\Me, too?\You sure about this, Carla?\Yes. I've made up my mind.\And you, he-cat... Don't ask me about our orders.\Aye...\And thirdly, I don't know anything other than basic info about Edolas. response:	I can't guide you.
context: Everyone has to be in disguise.\Me, too?\You sure about this, Carla?\Yes. I've made up my mind.\And you, he-cat... Don't ask me about our orders.\Aye...\And thirdly, I don't know anything other than basic info about Edolas.\I can't guide you. response:	Got it.
context: Me, too?\You sure about this, Carla?\Yes. I've made up my mind.\And you, he-cat... Don't ask me about our orders.\Aye...\And thirdly, I don't know anything other than basic info about Edolas.\I can't guide you.\Got it. response:	Roger that.
context: You sure about this, Carla?\Yes. I've made up my mind.\And you, he-cat... Don't ask me about our orders.\Aye...\And thirdly, I don't know anything other than basic info about Edolas.\I can't guide you.\Got it.\Roger that. response:	Finally...
context: Yes. I've made up my mind.\And you, he-cat... Don't ask me about our orders.\Aye...\And thirdly, I don't know anything other than basic info about Edolas.\I can't guide you.\Got it.\Roger that.\Finally... response:	If I or the he-cat do something to betray you, do not hesitate to kill us.
context: And you, he-cat... Don't ask me about our orders.\Aye...\And thirdly, I don't know anything other than basic info about Edolas.\I can't guide you.\Got it.\Roger that.\Finally...\If I or the he-cat do something to betray you, do not hesitate to kill us. response:	I wouldn't do something like that...
context: Aye...\And thirdly, I don't know anything other than basic info about Edolas.\I can't guide you.\Got it.\Roger that.\Finally...\If I or the he-cat do something to betray you, do not hesitate to kill us.\I wouldn't do something like that... response:	And would you shut that thing up!
context: And thirdly, I don't know anything other than basic info about Edolas.\I can't guide you.\Got it.\Roger that.\Finally...\If I or the he-cat do something to betray you, do not hesitate to kill us.\I wouldn't do something like that...\And would you shut that thing up! response:	Let's go.
context: I can't guide you.\Got it.\Roger that.\Finally...\If I or the he-cat do something to betray you, do not hesitate to kill us.\I wouldn't do something like that...\And would you shut that thing up!\Let's go. response:	He-cat, grab onto Natsu.
context: Got it.\Roger that.\Finally...\If I or the he-cat do something to betray you, do not hesitate to kill us.\I wouldn't do something like that...\And would you shut that thing up!\Let's go.\He-cat, grab onto Natsu. response:	We're going to fly there?
context: Roger that.\Finally...\If I or the he-cat do something to betray you, do not hesitate to kill us.\I wouldn't do something like that...\And would you shut that thing up!\Let's go.\He-cat, grab onto Natsu.\We're going to fly there? response:	Our wings...
context: Finally...\If I or the he-cat do something to betray you, do not hesitate to kill us.\I wouldn't do something like that...\And would you shut that thing up!\Let's go.\He-cat, grab onto Natsu.\We're going to fly there?\Our wings... response:	Our wings are for returning to Edolas.
context: If I or the he-cat do something to betray you, do not hesitate to kill us.\I wouldn't do something like that...\And would you shut that thing up!\Let's go.\He-cat, grab onto Natsu.\We're going to fly there?\Our wings...\Our wings are for returning to Edolas. response:	Let's go, Happy! To your home country!
context: I wouldn't do something like that...\And would you shut that thing up!\Let's go.\He-cat, grab onto Natsu.\We're going to fly there?\Our wings...\Our wings are for returning to Edolas.\Let's go, Happy! To your home country! response:	Aye!
context: And would you shut that thing up!\Let's go.\He-cat, grab onto Natsu.\We're going to fly there?\Our wings...\Our wings are for returning to Edolas.\Let's go, Happy! To your home country!\Aye! response:	He-cat, open up your full magical power!
context: Let's go.\He-cat, grab onto Natsu.\We're going to fly there?\Our wings...\Our wings are for returning to Edolas.\Let's go, Happy! To your home country!\Aye!\He-cat, open up your full magical power! response:	Aye, sir!
context: He-cat, grab onto Natsu.\We're going to fly there?\Our wings...\Our wings are for returning to Edolas.\Let's go, Happy! To your home country!\Aye!\He-cat, open up your full magical power!\Aye, sir! response:	We can enter Edolas through the remaining traces of the Anima!
context: We're going to fly there?\Our wings...\Our wings are for returning to Edolas.\Let's go, Happy! To your home country!\Aye!\He-cat, open up your full magical power!\Aye, sir!\We can enter Edolas through the remaining traces of the Anima! response:	We'll cut through with our wings, Aera!
context: Our wings...\Our wings are for returning to Edolas.\Let's go, Happy! To your home country!\Aye!\He-cat, open up your full magical power!\Aye, sir!\We can enter Edolas through the remaining traces of the Anima!\We'll cut through with our wings, Aera! response:	Now!
context: Our wings are for returning to Edolas.\Let's go, Happy! To your home country!\Aye!\He-cat, open up your full magical power!\Aye, sir!\We can enter Edolas through the remaining traces of the Anima!\We'll cut through with our wings, Aera!\Now! response:	So bright...
context: Let's go, Happy! To your home country!\Aye!\He-cat, open up your full magical power!\Aye, sir!\We can enter Edolas through the remaining traces of the Anima!\We'll cut through with our wings, Aera!\Now!\So bright... response:	This is... Edolas...
context: Aye!\He-cat, open up your full magical power!\Aye, sir!\We can enter Edolas through the remaining traces of the Anima!\We'll cut through with our wings, Aera!\Now!\So bright...\This is... Edolas... response:	My roots...
context: He-cat, open up your full magical power!\Aye, sir!\We can enter Edolas through the remaining traces of the Anima!\We'll cut through with our wings, Aera!\Now!\So bright...\This is... Edolas...\My roots... response:	The islands are floating.
context: Aye, sir!\We can enter Edolas through the remaining traces of the Anima!\We'll cut through with our wings, Aera!\Now!\So bright...\This is... Edolas...\My roots...\The islands are floating. response:	This is your homeland, Happy.
context: We can enter Edolas through the remaining traces of the Anima!\We'll cut through with our wings, Aera!\Now!\So bright...\This is... Edolas...\My roots...\The islands are floating.\This is your homeland, Happy. response:	This is Edolas.
context: We'll cut through with our wings, Aera!\Now!\So bright...\This is... Edolas...\My roots...\The islands are floating.\This is your homeland, Happy.\This is Edolas. response:	It really is...
context: Now!\So bright...\This is... Edolas...\My roots...\The islands are floating.\This is your homeland, Happy.\This is Edolas.\It really is... response:	It's full of strange trees and plants!
context: So bright...\This is... Edolas...\My roots...\The islands are floating.\This is your homeland, Happy.\This is Edolas.\It really is...\It's full of strange trees and plants! response:	Wow! Look at that, Happy!
context: This is... Edolas...\My roots...\The islands are floating.\This is your homeland, Happy.\This is Edolas.\It really is...\It's full of strange trees and plants!\Wow! Look at that, Happy! response:	A river is flowing in the sky!
context: My roots...\The islands are floating.\This is your homeland, Happy.\This is Edolas.\It really is...\It's full of strange trees and plants!\Wow! Look at that, Happy!\A river is flowing in the sky! response:	How's it do that?
context: The islands are floating.\This is your homeland, Happy.\This is Edolas.\It really is...\It's full of strange trees and plants!\Wow! Look at that, Happy!\A river is flowing in the sky!\How's it do that? response:	Come on, you people...
context: This is your homeland, Happy.\This is Edolas.\It really is...\It's full of strange trees and plants!\Wow! Look at that, Happy!\A river is flowing in the sky!\How's it do that?\Come on, you people... response:	I know how you feel, but we didn't come here to sightsee.
context: This is Edolas.\It really is...\It's full of strange trees and plants!\Wow! Look at that, Happy!\A river is flowing in the sky!\How's it do that?\Come on, you people...\I know how you feel, but we didn't come here to sightsee. response:	Don't get so excited.
context: It really is...\It's full of strange trees and plants!\Wow! Look at that, Happy!\A river is flowing in the sky!\How's it do that?\Come on, you people...\I know how you feel, but we didn't come here to sightsee.\Don't get so excited. response:	Yeah, you're right.
context: It's full of strange trees and plants!\Wow! Look at that, Happy!\A river is flowing in the sky!\How's it do that?\Come on, you people...\I know how you feel, but we didn't come here to sightsee.\Don't get so excited.\Yeah, you're right. response:	My bad...
context: Wow! Look at that, Happy!\A river is flowing in the sky!\How's it do that?\Come on, you people...\I know how you feel, but we didn't come here to sightsee.\Don't get so excited.\Yeah, you're right.\My bad... response:	My wings suddenly...
context: A river is flowing in the sky!\How's it do that?\Come on, you people...\I know how you feel, but we didn't come here to sightsee.\Don't get so excited.\Yeah, you're right.\My bad...\My wings suddenly... response:	What happened?
