context: Captain? response:	How?
context: Whoa!\Awesome!\We'll all back up Natsuki-san and Crusch-san\until the captain is fully healed, and we can regroup.\Ricardo's still alive?\Yes, my sister took him to Felix-san.\He struggled a lot! It wasn't easy!\Gotcha... That's a relief. response:	On the verge of death, our captain sent a message.
context: Awesome!\We'll all back up Natsuki-san and Crusch-san\until the captain is fully healed, and we can regroup.\Ricardo's still alive?\Yes, my sister took him to Felix-san.\He struggled a lot! It wasn't easy!\Gotcha... That's a relief.\On the verge of death, our captain sent a message. response:	Hey, it's gettin' a lot lighter.
context: We'll all back up Natsuki-san and Crusch-san\until the captain is fully healed, and we can regroup.\Ricardo's still alive?\Yes, my sister took him to Felix-san.\He struggled a lot! It wasn't easy!\Gotcha... That's a relief.\On the verge of death, our captain sent a message.\Hey, it's gettin' a lot lighter. response:	The fact that I didn't die proves that!
context: until the captain is fully healed, and we can regroup.\Ricardo's still alive?\Yes, my sister took him to Felix-san.\He struggled a lot! It wasn't easy!\Gotcha... That's a relief.\On the verge of death, our captain sent a message.\Hey, it's gettin' a lot lighter.\The fact that I didn't die proves that! response:	That's what he said.
context: Ricardo's still alive?\Yes, my sister took him to Felix-san.\He struggled a lot! It wasn't easy!\Gotcha... That's a relief.\On the verge of death, our captain sent a message.\Hey, it's gettin' a lot lighter.\The fact that I didn't die proves that!\That's what he said. response:	Lighter?
context: Yes, my sister took him to Felix-san.\He struggled a lot! It wasn't easy!\Gotcha... That's a relief.\On the verge of death, our captain sent a message.\Hey, it's gettin' a lot lighter.\The fact that I didn't die proves that!\That's what he said.\Lighter? response:	What's light about a hard, heavy situation like this?
context: He struggled a lot! It wasn't easy!\Gotcha... That's a relief.\On the verge of death, our captain sent a message.\Hey, it's gettin' a lot lighter.\The fact that I didn't die proves that!\That's what he said.\Lighter?\What's light about a hard, heavy situation like this? response:	Light?
context: Gotcha... That's a relief.\On the verge of death, our captain sent a message.\Hey, it's gettin' a lot lighter.\The fact that I didn't die proves that!\That's what he said.\Lighter?\What's light about a hard, heavy situation like this?\Light? response:	That's it... I get it!
context: On the verge of death, our captain sent a message.\Hey, it's gettin' a lot lighter.\The fact that I didn't die proves that!\That's what he said.\Lighter?\What's light about a hard, heavy situation like this?\Light?\That's it... I get it! response:	Huh?
context: Hey, it's gettin' a lot lighter.\The fact that I didn't die proves that!\That's what he said.\Lighter?\What's light about a hard, heavy situation like this?\Light?\That's it... I get it!\Huh? response:	What?
context: The fact that I didn't die proves that!\That's what he said.\Lighter?\What's light about a hard, heavy situation like this?\Light?\That's it... I get it!\Huh?\What? response:	Wilhelm-san!
context: That's what he said.\Lighter?\What's light about a hard, heavy situation like this?\Light?\That's it... I get it!\Huh?\What?\Wilhelm-san! response:	Not skilled enough.
context: Lighter?\What's light about a hard, heavy situation like this?\Light?\That's it... I get it!\Huh?\What?\Wilhelm-san!\Not skilled enough. response:	I was careless...
context: What's light about a hard, heavy situation like this?\Light?\That's it... I get it!\Huh?\What?\Wilhelm-san!\Not skilled enough.\I was careless... response:	Is he all right?
context: Light?\That's it... I get it!\Huh?\What?\Wilhelm-san!\Not skilled enough.\I was careless...\Is he all right? response:	Yeah, he's just unconscious!
context: That's it... I get it!\Huh?\What?\Wilhelm-san!\Not skilled enough.\I was careless...\Is he all right?\Yeah, he's just unconscious! response:	Sorry, but could you take him to Felis?
context: Huh?\What?\Wilhelm-san!\Not skilled enough.\I was careless...\Is he all right?\Yeah, he's just unconscious!\Sorry, but could you take him to Felis? response:	Of course! What about you?
context: What?\Wilhelm-san!\Not skilled enough.\I was careless...\Is he all right?\Yeah, he's just unconscious!\Sorry, but could you take him to Felis?\Of course! What about you? response:	I realized something...
context: Wilhelm-san!\Not skilled enough.\I was careless...\Is he all right?\Yeah, he's just unconscious!\Sorry, but could you take him to Felis?\Of course! What about you?\I realized something... response:	It divided?
context: Not skilled enough.\I was careless...\Is he all right?\Yeah, he's just unconscious!\Sorry, but could you take him to Felis?\Of course! What about you?\I realized something...\It divided? response:	Yeah.
context: I was careless...\Is he all right?\Yeah, he's just unconscious!\Sorry, but could you take him to Felis?\Of course! What about you?\I realized something...\It divided?\Yeah. response:	Its fighting strength and the left eye
context: Is he all right?\Yeah, he's just unconscious!\Sorry, but could you take him to Felis?\Of course! What about you?\I realized something...\It divided?\Yeah.\Its fighting strength and the left eye response:	that Wilhelm-san gouged out convinced me.
context: Yeah, he's just unconscious!\Sorry, but could you take him to Felis?\Of course! What about you?\I realized something...\It divided?\Yeah.\Its fighting strength and the left eye\that Wilhelm-san gouged out convinced me. response:	Your group's been engaging it head-on, so you must have sensed it.
context: Sorry, but could you take him to Felis?\Of course! What about you?\I realized something...\It divided?\Yeah.\Its fighting strength and the left eye\that Wilhelm-san gouged out convinced me.\Your group's been engaging it head-on, so you must have sensed it. response:	I was absorbed in battle, but...
context: Of course! What about you?\I realized something...\It divided?\Yeah.\Its fighting strength and the left eye\that Wilhelm-san gouged out convinced me.\Your group's been engaging it head-on, so you must have sensed it.\I was absorbed in battle, but... response:	You're right.
context: I realized something...\It divided?\Yeah.\Its fighting strength and the left eye\that Wilhelm-san gouged out convinced me.\Your group's been engaging it head-on, so you must have sensed it.\I was absorbed in battle, but...\You're right. response:	I do agree with the conjecture that that this one is weaker than the original body.
context: It divided?\Yeah.\Its fighting strength and the left eye\that Wilhelm-san gouged out convinced me.\Your group's been engaging it head-on, so you must have sensed it.\I was absorbed in battle, but...\You're right.\I do agree with the conjecture that that this one is weaker than the original body. response:	But what good does knowing this do?
context: Yeah.\Its fighting strength and the left eye\that Wilhelm-san gouged out convinced me.\Your group's been engaging it head-on, so you must have sensed it.\I was absorbed in battle, but...\You're right.\I do agree with the conjecture that that this one is weaker than the original body.\But what good does knowing this do? response:	Killing three White Whales is much easier said than done.
context: Its fighting strength and the left eye\that Wilhelm-san gouged out convinced me.\Your group's been engaging it head-on, so you must have sensed it.\I was absorbed in battle, but...\You're right.\I do agree with the conjecture that that this one is weaker than the original body.\But what good does knowing this do?\Killing three White Whales is much easier said than done. response:	We don't need to kill all three of them.
context: that Wilhelm-san gouged out convinced me.\Your group's been engaging it head-on, so you must have sensed it.\I was absorbed in battle, but...\You're right.\I do agree with the conjecture that that this one is weaker than the original body.\But what good does knowing this do?\Killing three White Whales is much easier said than done.\We don't need to kill all three of them. response:	Just one should be enough.
context: Your group's been engaging it head-on, so you must have sensed it.\I was absorbed in battle, but...\You're right.\I do agree with the conjecture that that this one is weaker than the original body.\But what good does knowing this do?\Killing three White Whales is much easier said than done.\We don't need to kill all three of them.\Just one should be enough. response:	That bastard's been making its two doubles fight,
context: I was absorbed in battle, but...\You're right.\I do agree with the conjecture that that this one is weaker than the original body.\But what good does knowing this do?\Killing three White Whales is much easier said than done.\We don't need to kill all three of them.\Just one should be enough.\That bastard's been making its two doubles fight, response:	while it hangs around up there, watching.
context: You're right.\I do agree with the conjecture that that this one is weaker than the original body.\But what good does knowing this do?\Killing three White Whales is much easier said than done.\We don't need to kill all three of them.\Just one should be enough.\That bastard's been making its two doubles fight,\while it hangs around up there, watching. response:	What do you think it's doing?
context: I do agree with the conjecture that that this one is weaker than the original body.\But what good does knowing this do?\Killing three White Whales is much easier said than done.\We don't need to kill all three of them.\Just one should be enough.\That bastard's been making its two doubles fight,\while it hangs around up there, watching.\What do you think it's doing? response:	That is the real one?
context: But what good does knowing this do?\Killing three White Whales is much easier said than done.\We don't need to kill all three of them.\Just one should be enough.\That bastard's been making its two doubles fight,\while it hangs around up there, watching.\What do you think it's doing?\That is the real one? response:	It won't descend
context: Killing three White Whales is much easier said than done.\We don't need to kill all three of them.\Just one should be enough.\That bastard's been making its two doubles fight,\while it hangs around up there, watching.\What do you think it's doing?\That is the real one?\It won't descend response:	because it knows it can't let itself be killed.
context: We don't need to kill all three of them.\Just one should be enough.\That bastard's been making its two doubles fight,\while it hangs around up there, watching.\What do you think it's doing?\That is the real one?\It won't descend\because it knows it can't let itself be killed. response:	But...
context: Just one should be enough.\That bastard's been making its two doubles fight,\while it hangs around up there, watching.\What do you think it's doing?\That is the real one?\It won't descend\because it knows it can't let itself be killed.\But... response:	I cannot rely on my sword to hit from this distance.
context: That bastard's been making its two doubles fight,\while it hangs around up there, watching.\What do you think it's doing?\That is the real one?\It won't descend\because it knows it can't let itself be killed.\But...\I cannot rely on my sword to hit from this distance. response:	If I had one strike, it might be possible...
context: while it hangs around up there, watching.\What do you think it's doing?\That is the real one?\It won't descend\because it knows it can't let itself be killed.\But...\I cannot rely on my sword to hit from this distance.\If I had one strike, it might be possible... response:	I have a plan...
context: What do you think it's doing?\That is the real one?\It won't descend\because it knows it can't let itself be killed.\But...\I cannot rely on my sword to hit from this distance.\If I had one strike, it might be possible...\I have a plan... response:	but it's a little too much of a wager.
context: That is the real one?\It won't descend\because it knows it can't let itself be killed.\But...\I cannot rely on my sword to hit from this distance.\If I had one strike, it might be possible...\I have a plan...\but it's a little too much of a wager. response:	You want in?
context: It won't descend\because it knows it can't let itself be killed.\But...\I cannot rely on my sword to hit from this distance.\If I had one strike, it might be possible...\I have a plan...\but it's a little too much of a wager.\You want in? response:	I think you're insane.
context: because it knows it can't let itself be killed.\But...\I cannot rely on my sword to hit from this distance.\If I had one strike, it might be possible...\I have a plan...\but it's a little too much of a wager.\You want in?\I think you're insane. response:	We're already insane for taking on that huge thing in the first place.
context: But...\I cannot rely on my sword to hit from this distance.\If I had one strike, it might be possible...\I have a plan...\but it's a little too much of a wager.\You want in?\I think you're insane.\We're already insane for taking on that huge thing in the first place. response:	Perhaps.
context: I cannot rely on my sword to hit from this distance.\If I had one strike, it might be possible...\I have a plan...\but it's a little too much of a wager.\You want in?\I think you're insane.\We're already insane for taking on that huge thing in the first place.\Perhaps. response:	No, you are correct.
context: If I had one strike, it might be possible...\I have a plan...\but it's a little too much of a wager.\You want in?\I think you're insane.\We're already insane for taking on that huge thing in the first place.\Perhaps.\No, you are correct. response:	That goes for everyone here right now.
context: I have a plan...\but it's a little too much of a wager.\You want in?\I think you're insane.\We're already insane for taking on that huge thing in the first place.\Perhaps.\No, you are correct.\That goes for everyone here right now. response:	Get away!
context: but it's a little too much of a wager.\You want in?\I think you're insane.\We're already insane for taking on that huge thing in the first place.\Perhaps.\No, you are correct.\That goes for everyone here right now.\Get away! response:	We will hold off the two doubles.
context: You want in?\I think you're insane.\We're already insane for taking on that huge thing in the first place.\Perhaps.\No, you are correct.\That goes for everyone here right now.\Get away!\We will hold off the two doubles. response:	I will take your wager.
context: I think you're insane.\We're already insane for taking on that huge thing in the first place.\Perhaps.\No, you are correct.\That goes for everyone here right now.\Get away!\We will hold off the two doubles.\I will take your wager. response:	They're coming this way...
context: We're already insane for taking on that huge thing in the first place.\Perhaps.\No, you are correct.\That goes for everyone here right now.\Get away!\We will hold off the two doubles.\I will take your wager.\They're coming this way... response:	Stay away!
context: Perhaps.\No, you are correct.\That goes for everyone here right now.\Get away!\We will hold off the two doubles.\I will take your wager.\They're coming this way...\Stay away! response:	Run!
context: No, you are correct.\That goes for everyone here right now.\Get away!\We will hold off the two doubles.\I will take your wager.\They're coming this way...\Stay away!\Run! response:	We'll be wiped out...
context: That goes for everyone here right now.\Get away!\We will hold off the two doubles.\I will take your wager.\They're coming this way...\Stay away!\Run!\We'll be wiped out... response:	Crusch-sama!
context: Get away!\We will hold off the two doubles.\I will take your wager.\They're coming this way...\Stay away!\Run!\We'll be wiped out...\Crusch-sama! response:	Stand up! Lift your faces!
context: We will hold off the two doubles.\I will take your wager.\They're coming this way...\Stay away!\Run!\We'll be wiped out...\Crusch-sama!\Stand up! Lift your faces! response:	Take up your weapons!
context: I will take your wager.\They're coming this way...\Stay away!\Run!\We'll be wiped out...\Crusch-sama!\Stand up! Lift your faces!\Take up your weapons! response:	Look at that boy.
context: They're coming this way...\Stay away!\Run!\We'll be wiped out...\Crusch-sama!\Stand up! Lift your faces!\Take up your weapons!\Look at that boy. response:	He's so weak and fragile,
context: Stay away!\Run!\We'll be wiped out...\Crusch-sama!\Stand up! Lift your faces!\Take up your weapons!\Look at that boy.\He's so weak and fragile, response:	a breath could blow him away, and he's unarmed!
context: Run!\We'll be wiped out...\Crusch-sama!\Stand up! Lift your faces!\Take up your weapons!\Look at that boy.\He's so weak and fragile,\a breath could blow him away, and he's unarmed! response:	He is a powerless boy, whose defeat I have seen with my own eyes!
context: We'll be wiped out...\Crusch-sama!\Stand up! Lift your faces!\Take up your weapons!\Look at that boy.\He's so weak and fragile,\a breath could blow him away, and he's unarmed!\He is a powerless boy, whose defeat I have seen with my own eyes! response:	He's weaker than anyone else here!
context: Crusch-sama!\Stand up! Lift your faces!\Take up your weapons!\Look at that boy.\He's so weak and fragile,\a breath could blow him away, and he's unarmed!\He is a powerless boy, whose defeat I have seen with my own eyes!\He's weaker than anyone else here! response:	Yet he's shouting louder than anyone
context: Stand up! Lift your faces!\Take up your weapons!\Look at that boy.\He's so weak and fragile,\a breath could blow him away, and he's unarmed!\He is a powerless boy, whose defeat I have seen with my own eyes!\He's weaker than anyone else here!\Yet he's shouting louder than anyone response:	that we can still do this.
context: Take up your weapons!\Look at that boy.\He's so weak and fragile,\a breath could blow him away, and he's unarmed!\He is a powerless boy, whose defeat I have seen with my own eyes!\He's weaker than anyone else here!\Yet he's shouting louder than anyone\that we can still do this. response:	So how can we sit here, with downcast gazes?
context: Look at that boy.\He's so weak and fragile,\a breath could blow him away, and he's unarmed!\He is a powerless boy, whose defeat I have seen with my own eyes!\He's weaker than anyone else here!\Yet he's shouting louder than anyone\that we can still do this.\So how can we sit here, with downcast gazes? response:	If our weakest man has not given up,
context: He's so weak and fragile,\a breath could blow him away, and he's unarmed!\He is a powerless boy, whose defeat I have seen with my own eyes!\He's weaker than anyone else here!\Yet he's shouting louder than anyone\that we can still do this.\So how can we sit here, with downcast gazes?\If our weakest man has not given up, response:	how is kneeling in defeat acceptable for us?
context: a breath could blow him away, and he's unarmed!\He is a powerless boy, whose defeat I have seen with my own eyes!\He's weaker than anyone else here!\Yet he's shouting louder than anyone\that we can still do this.\So how can we sit here, with downcast gazes?\If our weakest man has not given up,\how is kneeling in defeat acceptable for us? response:	Did you all come this far
context: He is a powerless boy, whose defeat I have seen with my own eyes!\He's weaker than anyone else here!\Yet he's shouting louder than anyone\that we can still do this.\So how can we sit here, with downcast gazes?\If our weakest man has not given up,\how is kneeling in defeat acceptable for us?\Did you all come this far response:	to wallow in shame?!
context: He's weaker than anyone else here!\Yet he's shouting louder than anyone\that we can still do this.\So how can we sit here, with downcast gazes?\If our weakest man has not given up,\how is kneeling in defeat acceptable for us?\Did you all come this far\to wallow in shame?! response:	Follow me!
context: Yet he's shouting louder than anyone\that we can still do this.\So how can we sit here, with downcast gazes?\If our weakest man has not given up,\how is kneeling in defeat acceptable for us?\Did you all come this far\to wallow in shame?!\Follow me! response:	She has some nerve, calling me a weakling and a loser...
context: that we can still do this.\So how can we sit here, with downcast gazes?\If our weakest man has not given up,\how is kneeling in defeat acceptable for us?\Did you all come this far\to wallow in shame?!\Follow me!\She has some nerve, calling me a weakling and a loser... response:	Let's do this, Rem.
context: So how can we sit here, with downcast gazes?\If our weakest man has not given up,\how is kneeling in defeat acceptable for us?\Did you all come this far\to wallow in shame?!\Follow me!\She has some nerve, calling me a weakling and a loser...\Let's do this, Rem. response:	Time for the climax!
context: If our weakest man has not given up,\how is kneeling in defeat acceptable for us?\Did you all come this far\to wallow in shame?!\Follow me!\She has some nerve, calling me a weakling and a loser...\Let's do this, Rem.\Time for the climax! response:	Right, Subaru-kun.
context: how is kneeling in defeat acceptable for us?\Did you all come this far\to wallow in shame?!\Follow me!\She has some nerve, calling me a weakling and a loser...\Let's do this, Rem.\Time for the climax!\Right, Subaru-kun. response:	Al Huma!
context: Did you all come this far\to wallow in shame?!\Follow me!\She has some nerve, calling me a weakling and a loser...\Let's do this, Rem.\Time for the climax!\Right, Subaru-kun.\Al Huma! response:	Please!
context: to wallow in shame?!\Follow me!\She has some nerve, calling me a weakling and a loser...\Let's do this, Rem.\Time for the climax!\Right, Subaru-kun.\Al Huma!\Please! response:	I'm counting on you.
context: Follow me!\She has some nerve, calling me a weakling and a loser...\Let's do this, Rem.\Time for the climax!\Right, Subaru-kun.\Al Huma!\Please!\I'm counting on you. response:	Hey... Now that I see you up close,
context: She has some nerve, calling me a weakling and a loser...\Let's do this, Rem.\Time for the climax!\Right, Subaru-kun.\Al Huma!\Please!\I'm counting on you.\Hey... Now that I see you up close, response:	you really are creepy.
context: Let's do this, Rem.\Time for the climax!\Right, Subaru-kun.\Al Huma!\Please!\I'm counting on you.\Hey... Now that I see you up close,\you really are creepy. response:	Try to keep up with me.
context: Time for the climax!\Right, Subaru-kun.\Al Huma!\Please!\I'm counting on you.\Hey... Now that I see you up close,\you really are creepy.\Try to keep up with me. response:	Just so you know, I'm infamous for being
context: Right, Subaru-kun.\Al Huma!\Please!\I'm counting on you.\Hey... Now that I see you up close,\you really are creepy.\Try to keep up with me.\Just so you know, I'm infamous for being response:	so annoying that no one can ignore me!
context: Al Huma!\Please!\I'm counting on you.\Hey... Now that I see you up close,\you really are creepy.\Try to keep up with me.\Just so you know, I'm infamous for being\so annoying that no one can ignore me! response:	Okay, let's do this!
context: Please!\I'm counting on you.\Hey... Now that I see you up close,\you really are creepy.\Try to keep up with me.\Just so you know, I'm infamous for being\so annoying that no one can ignore me!\Okay, let's do this! response:	I'm doing you a huge favor! Listen up!
context: I'm counting on you.\Hey... Now that I see you up close,\you really are creepy.\Try to keep up with me.\Just so you know, I'm infamous for being\so annoying that no one can ignore me!\Okay, let's do this!\I'm doing you a huge favor! Listen up! response:	It's because of you, Rem died
context: Hey... Now that I see you up close,\you really are creepy.\Try to keep up with me.\Just so you know, I'm infamous for being\so annoying that no one can ignore me!\Okay, let's do this!\I'm doing you a huge favor! Listen up!\It's because of you, Rem died response:	and I experienced such a horrible trauma!
context: you really are creepy.\Try to keep up with me.\Just so you know, I'm infamous for being\so annoying that no one can ignore me!\Okay, let's do this!\I'm doing you a huge favor! Listen up!\It's because of you, Rem died\and I experienced such a horrible trauma! response:	I made it back!
context: Try to keep up with me.\Just so you know, I'm infamous for being\so annoying that no one can ignore me!\Okay, let's do this!\I'm doing you a huge favor! Listen up!\It's because of you, Rem died\and I experienced such a horrible trauma!\I made it back! response:	Rem!
context: Just so you know, I'm infamous for being\so annoying that no one can ignore me!\Okay, let's do this!\I'm doing you a huge favor! Listen up!\It's because of you, Rem died\and I experienced such a horrible trauma!\I made it back!\Rem! response:	Yes!
context: so annoying that no one can ignore me!\Okay, let's do this!\I'm doing you a huge favor! Listen up!\It's because of you, Rem died\and I experienced such a horrible trauma!\I made it back!\Rem!\Yes! response:	You saved me...
context: Okay, let's do this!\I'm doing you a huge favor! Listen up!\It's because of you, Rem died\and I experienced such a horrible trauma!\I made it back!\Rem!\Yes!\You saved me... response:	Thank you for the treat.
