context: H-He got me... response:	Teacher!
context: Huh?!\What?\Everyone, go to the entrance.\I'm leaving Aizawa to you.\He's unconscious.\Hurry!\Y-Yes, sir!\Ribbit. response:	All Might...
context: What?\Everyone, go to the entrance.\I'm leaving Aizawa to you.\He's unconscious.\Hurry!\Y-Yes, sir!\Ribbit.\All Might... response:	It's no good... It's no good...
context: Everyone, go to the entrance.\I'm leaving Aizawa to you.\He's unconscious.\Hurry!\Y-Yes, sir!\Ribbit.\All Might...\It's no good... It's no good... response:	I-It's no good... It's no good...
context: I'm leaving Aizawa to you.\He's unconscious.\Hurry!\Y-Yes, sir!\Ribbit.\All Might...\It's no good... It's no good...\I-It's no good... It's no good... response:	I-I'm sorry, Father...
context: He's unconscious.\Hurry!\Y-Yes, sir!\Ribbit.\All Might...\It's no good... It's no good...\I-It's no good... It's no good...\I-I'm sorry, Father... response:	He hit me as he was saving them...
context: Hurry!\Y-Yes, sir!\Ribbit.\All Might...\It's no good... It's no good...\I-It's no good... It's no good...\I-I'm sorry, Father...\He hit me as he was saving them... response:	It's the violence of a government official.
context: Y-Yes, sir!\Ribbit.\All Might...\It's no good... It's no good...\I-It's no good... It's no good...\I-I'm sorry, Father...\He hit me as he was saving them...\It's the violence of a government official. response:	He's fast, as expected.
context: Ribbit.\All Might...\It's no good... It's no good...\I-It's no good... It's no good...\I-I'm sorry, Father...\He hit me as he was saving them...\It's the violence of a government official.\He's fast, as expected. response:	I can't follow him with my eyes.
context: All Might...\It's no good... It's no good...\I-It's no good... It's no good...\I-I'm sorry, Father...\He hit me as he was saving them...\It's the violence of a government official.\He's fast, as expected.\I can't follow him with my eyes. response:	But not as fast as I thought he'd be.
context: It's no good... It's no good...\I-It's no good... It's no good...\I-I'm sorry, Father...\He hit me as he was saving them...\It's the violence of a government official.\He's fast, as expected.\I can't follow him with my eyes.\But not as fast as I thought he'd be. response:	I guess it's true, after all...
context: I-It's no good... It's no good...\I-I'm sorry, Father...\He hit me as he was saving them...\It's the violence of a government official.\He's fast, as expected.\I can't follow him with my eyes.\But not as fast as I thought he'd be.\I guess it's true, after all... response:	All Might, you can't!
context: I-I'm sorry, Father...\He hit me as he was saving them...\It's the violence of a government official.\He's fast, as expected.\I can't follow him with my eyes.\But not as fast as I thought he'd be.\I guess it's true, after all...\All Might, you can't! response:	That brain villain took One Fo
context: He hit me as he was saving them...\It's the violence of a government official.\He's fast, as expected.\I can't follow him with my eyes.\But not as fast as I thought he'd be.\I guess it's true, after all...\All Might, you can't!\That brain villain took One Fo response:	He took a punch that didn't break my arm, but he didn't even twitch.
context: It's the violence of a government official.\He's fast, as expected.\I can't follow him with my eyes.\But not as fast as I thought he'd be.\I guess it's true, after all...\All Might, you can't!\That brain villain took One Fo\He took a punch that didn't break my arm, but he didn't even twitch. response:	He's gotta be
context: He's fast, as expected.\I can't follow him with my eyes.\But not as fast as I thought he'd be.\I guess it's true, after all...\All Might, you can't!\That brain villain took One Fo\He took a punch that didn't break my arm, but he didn't even twitch.\He's gotta be response:	Young Midoriya!
context: I can't follow him with my eyes.\But not as fast as I thought he'd be.\I guess it's true, after all...\All Might, you can't!\That brain villain took One Fo\He took a punch that didn't break my arm, but he didn't even twitch.\He's gotta be\Young Midoriya! response:	It's fine!
context: But not as fast as I thought he'd be.\I guess it's true, after all...\All Might, you can't!\That brain villain took One Fo\He took a punch that didn't break my arm, but he didn't even twitch.\He's gotta be\Young Midoriya!\It's fine! response:	Carolina...
context: I guess it's true, after all...\All Might, you can't!\That brain villain took One Fo\He took a punch that didn't break my arm, but he didn't even twitch.\He's gotta be\Young Midoriya!\It's fine!\Carolina... response:	Nomu.
context: All Might, you can't!\That brain villain took One Fo\He took a punch that didn't break my arm, but he didn't even twitch.\He's gotta be\Young Midoriya!\It's fine!\Carolina...\Nomu. response:	It seriously has no effect at all, huh?!
context: That brain villain took One Fo\He took a punch that didn't break my arm, but he didn't even twitch.\He's gotta be\Young Midoriya!\It's fine!\Carolina...\Nomu.\It seriously has no effect at all, huh?! response:	In that case
context: He took a punch that didn't break my arm, but he didn't even twitch.\He's gotta be\Young Midoriya!\It's fine!\Carolina...\Nomu.\It seriously has no effect at all, huh?!\In that case response:	It doesn't work on his face, either, huh?
context: He's gotta be\Young Midoriya!\It's fine!\Carolina...\Nomu.\It seriously has no effect at all, huh?!\In that case\It doesn't work on his face, either, huh? response:	It doesn't work because of shock absorption.
context: Young Midoriya!\It's fine!\Carolina...\Nomu.\It seriously has no effect at all, huh?!\In that case\It doesn't work on his face, either, huh?\It doesn't work because of shock absorption. response:	In order to cause damage to Nomu...
context: It's fine!\Carolina...\Nomu.\It seriously has no effect at all, huh?!\In that case\It doesn't work on his face, either, huh?\It doesn't work because of shock absorption.\In order to cause damage to Nomu... response:	Whether he'd let you do that or not is a different issue, though.
context: Carolina...\Nomu.\It seriously has no effect at all, huh?!\In that case\It doesn't work on his face, either, huh?\It doesn't work because of shock absorption.\In order to cause damage to Nomu...\Whether he'd let you do that or not is a different issue, though. response:	Thanks for telling me all that!
context: Nomu.\It seriously has no effect at all, huh?!\In that case\It doesn't work on his face, either, huh?\It doesn't work because of shock absorption.\In order to cause damage to Nomu...\Whether he'd let you do that or not is a different issue, though.\Thanks for telling me all that! response:	If that's true, then it's easier for me!
context: It seriously has no effect at all, huh?!\In that case\It doesn't work on his face, either, huh?\It doesn't work because of shock absorption.\In order to cause damage to Nomu...\Whether he'd let you do that or not is a different issue, though.\Thanks for telling me all that!\If that's true, then it's easier for me! response:	Hey, hey...
context: In that case\It doesn't work on his face, either, huh?\It doesn't work because of shock absorption.\In order to cause damage to Nomu...\Whether he'd let you do that or not is a different issue, though.\Thanks for telling me all that!\If that's true, then it's easier for me!\Hey, hey... response:	All right!
context: It doesn't work on his face, either, huh?\It doesn't work because of shock absorption.\In order to cause damage to Nomu...\Whether he'd let you do that or not is a different issue, though.\Thanks for telling me all that!\If that's true, then it's easier for me!\Hey, hey...\All right! response:	Take that!
context: It doesn't work because of shock absorption.\In order to cause damage to Nomu...\Whether he'd let you do that or not is a different issue, though.\Thanks for telling me all that!\If that's true, then it's easier for me!\Hey, hey...\All right!\Take that! response:	W-Wow...
context: In order to cause damage to Nomu...\Whether he'd let you do that or not is a different issue, though.\Thanks for telling me all that!\If that's true, then it's easier for me!\Hey, hey...\All right!\Take that!\W-Wow... response:	Those guys are underestimating All Might too much!
context: Whether he'd let you do that or not is a different issue, though.\Thanks for telling me all that!\If that's true, then it's easier for me!\Hey, hey...\All right!\Take that!\W-Wow...\Those guys are underestimating All Might too much! response:	How did he make a suplex look like an explosion?!
context: Thanks for telling me all that!\If that's true, then it's easier for me!\Hey, hey...\All right!\Take that!\W-Wow...\Those guys are underestimating All Might too much!\How did he make a suplex look like an explosion?! response:	All Might's on a whole nother level!
context: If that's true, then it's easier for me!\Hey, hey...\All right!\Take that!\W-Wow...\Those guys are underestimating All Might too much!\How did he make a suplex look like an explosion?!\All Might's on a whole nother level! response:	Even though he's a rookie teacher who can't teach without looking at his notes.
context: Hey, hey...\All right!\Take that!\W-Wow...\Those guys are underestimating All Might too much!\How did he make a suplex look like an explosion?!\All Might's on a whole nother level!\Even though he's a rookie teacher who can't teach without looking at his notes. response:	It's possible they have a way to kill him...
context: All right!\Take that!\W-Wow...\Those guys are underestimating All Might too much!\How did he make a suplex look like an explosion?!\All Might's on a whole nother level!\Even though he's a rookie teacher who can't teach without looking at his notes.\It's possible they have a way to kill him... response:	Even so, there's nothing we can do right now.
context: Take that!\W-Wow...\Those guys are underestimating All Might too much!\How did he make a suplex look like an explosion?!\All Might's on a whole nother level!\Even though he's a rookie teacher who can't teach without looking at his notes.\It's possible they have a way to kill him...\Even so, there's nothing we can do right now. response:	Instead, if anyone gets held hostage, we'd be worse than in the way.
context: W-Wow...\Those guys are underestimating All Might too much!\How did he make a suplex look like an explosion?!\All Might's on a whole nother level!\Even though he's a rookie teacher who can't teach without looking at his notes.\It's possible they have a way to kill him...\Even so, there's nothing we can do right now.\Instead, if anyone gets held hostage, we'd be worse than in the way. response:	Rather than wondering about the villains...
context: Those guys are underestimating All Might too much!\How did he make a suplex look like an explosion?!\All Might's on a whole nother level!\Even though he's a rookie teacher who can't teach without looking at his notes.\It's possible they have a way to kill him...\Even so, there's nothing we can do right now.\Instead, if anyone gets held hostage, we'd be worse than in the way.\Rather than wondering about the villains... response:	Get'em!
context: How did he make a suplex look like an explosion?!\All Might's on a whole nother level!\Even though he's a rookie teacher who can't teach without looking at his notes.\It's possible they have a way to kill him...\Even so, there's nothing we can do right now.\Instead, if anyone gets held hostage, we'd be worse than in the way.\Rather than wondering about the villains...\Get'em! response:	Aim for the balls!
context: All Might's on a whole nother level!\Even though he's a rookie teacher who can't teach without looking at his notes.\It's possible they have a way to kill him...\Even so, there's nothing we can do right now.\Instead, if anyone gets held hostage, we'd be worse than in the way.\Rather than wondering about the villains...\Get'em!\Aim for the balls! response:	Were we overthinking it?
context: Even though he's a rookie teacher who can't teach without looking at his notes.\It's possible they have a way to kill him...\Even so, there's nothing we can do right now.\Instead, if anyone gets held hostage, we'd be worse than in the way.\Rather than wondering about the villains...\Get'em!\Aim for the balls!\Were we overthinking it? response:	He's amazing.
context: It's possible they have a way to kill him...\Even so, there's nothing we can do right now.\Instead, if anyone gets held hostage, we'd be worse than in the way.\Rather than wondering about the villains...\Get'em!\Aim for the balls!\Were we overthinking it?\He's amazing. response:	But...
context: Even so, there's nothing we can do right now.\Instead, if anyone gets held hostage, we'd be worse than in the way.\Rather than wondering about the villains...\Get'em!\Aim for the balls!\Were we overthinking it?\He's amazing.\But... response:	But... I know...!
context: Instead, if anyone gets held hostage, we'd be worse than in the way.\Rather than wondering about the villains...\Get'em!\Aim for the balls!\Were we overthinking it?\He's amazing.\But...\But... I know...! response:	Every day on my way to school, I read the hero news in real time.
context: Rather than wondering about the villains...\Get'em!\Aim for the balls!\Were we overthinking it?\He's amazing.\But...\But... I know...!\Every day on my way to school, I read the hero news in real time. response:	When they were talking about how All Might wasn't here...
context: Get'em!\Aim for the balls!\Were we overthinking it?\He's amazing.\But...\But... I know...!\Every day on my way to school, I read the hero news in real time.\When they were talking about how All Might wasn't here... response:	It must have been because he'd used too much of his power!
context: Aim for the balls!\Were we overthinking it?\He's amazing.\But...\But... I know...!\Every day on my way to school, I read the hero news in real time.\When they were talking about how All Might wasn't here...\It must have been because he'd used too much of his power! response:	I'm the only one who knows.
context: Were we overthinking it?\He's amazing.\But...\But... I know...!\Every day on my way to school, I read the hero news in real time.\When they were talking about how All Might wasn't here...\It must have been because he'd used too much of his power!\I'm the only one who knows. response:	It's an injury I got from an enemy's attack five years ago.
context: He's amazing.\But...\But... I know...!\Every day on my way to school, I read the hero news in real time.\When they were talking about how All Might wasn't here...\It must have been because he'd used too much of his power!\I'm the only one who knows.\It's an injury I got from an enemy's attack five years ago. response:	Half of my respiratory organs were destroyed...
context: But...\But... I know...!\Every day on my way to school, I read the hero news in real time.\When they were talking about how All Might wasn't here...\It must have been because he'd used too much of his power!\I'm the only one who knows.\It's an injury I got from an enemy's attack five years ago.\Half of my respiratory organs were destroyed... response:	I've become emaciated from repeated surgeries and the aftereffects.
context: But... I know...!\Every day on my way to school, I read the hero news in real time.\When they were talking about how All Might wasn't here...\It must have been because he'd used too much of his power!\I'm the only one who knows.\It's an injury I got from an enemy's attack five years ago.\Half of my respiratory organs were destroyed...\I've become emaciated from repeated surgeries and the aftereffects. response:	Right now, I can only work as a hero...
context: Every day on my way to school, I read the hero news in real time.\When they were talking about how All Might wasn't here...\It must have been because he'd used too much of his power!\I'm the only one who knows.\It's an injury I got from an enemy's attack five years ago.\Half of my respiratory organs were destroyed...\I've become emaciated from repeated surgeries and the aftereffects.\Right now, I can only work as a hero... response:	I will save people with a smile!
context: When they were talking about how All Might wasn't here...\It must have been because he'd used too much of his power!\I'm the only one who knows.\It's an injury I got from an enemy's attack five years ago.\Half of my respiratory organs were destroyed...\I've become emaciated from repeated surgeries and the aftereffects.\Right now, I can only work as a hero...\I will save people with a smile! response:	The Symbol of Peace cannot be daunted by evil.
context: It must have been because he'd used too much of his power!\I'm the only one who knows.\It's an injury I got from an enemy's attack five years ago.\Half of my respiratory organs were destroyed...\I've become emaciated from repeated surgeries and the aftereffects.\Right now, I can only work as a hero...\I will save people with a smile!\The Symbol of Peace cannot be daunted by evil. response:	I smile to show the pressure of heroes...
context: I'm the only one who knows.\It's an injury I got from an enemy's attack five years ago.\Half of my respiratory organs were destroyed...\I've become emaciated from repeated surgeries and the aftereffects.\Right now, I can only work as a hero...\I will save people with a smile!\The Symbol of Peace cannot be daunted by evil.\I smile to show the pressure of heroes... response:	I'm the only one who knows!
context: It's an injury I got from an enemy's attack five years ago.\Half of my respiratory organs were destroyed...\I've become emaciated from repeated surgeries and the aftereffects.\Right now, I can only work as a hero...\I will save people with a smile!\The Symbol of Peace cannot be daunted by evil.\I smile to show the pressure of heroes...\I'm the only one who knows! response:	All Might's secret...
context: Half of my respiratory organs were destroyed...\I've become emaciated from repeated surgeries and the aftereffects.\Right now, I can only work as a hero...\I will save people with a smile!\The Symbol of Peace cannot be daunted by evil.\I smile to show the pressure of heroes...\I'm the only one who knows!\All Might's secret... response:	Is...
context: I've become emaciated from repeated surgeries and the aftereffects.\Right now, I can only work as a hero...\I will save people with a smile!\The Symbol of Peace cannot be daunted by evil.\I smile to show the pressure of heroes...\I'm the only one who knows!\All Might's secret...\Is... response:	Is that how it is?
context: Right now, I can only work as a hero...\I will save people with a smile!\The Symbol of Peace cannot be daunted by evil.\I smile to show the pressure of heroes...\I'm the only one who knows!\All Might's secret...\Is...\Is that how it is? response:	Were you trying to keep him from moving by sticking him deep in the concrete?
context: I will save people with a smile!\The Symbol of Peace cannot be daunted by evil.\I smile to show the pressure of heroes...\I'm the only one who knows!\All Might's secret...\Is...\Is that how it is?\Were you trying to keep him from moving by sticking him deep in the concrete? response:	You won't be able to stop him like that.
context: The Symbol of Peace cannot be daunted by evil.\I smile to show the pressure of heroes...\I'm the only one who knows!\All Might's secret...\Is...\Is that how it is?\Were you trying to keep him from moving by sticking him deep in the concrete?\You won't be able to stop him like that. response:	Because Nomu is as strong as you are.
context: I smile to show the pressure of heroes...\I'm the only one who knows!\All Might's secret...\Is...\Is that how it is?\Were you trying to keep him from moving by sticking him deep in the concrete?\You won't be able to stop him like that.\Because Nomu is as strong as you are. response:	This is good, Kurogiri.
context: I'm the only one who knows!\All Might's secret...\Is...\Is that how it is?\Were you trying to keep him from moving by sticking him deep in the concrete?\You won't be able to stop him like that.\Because Nomu is as strong as you are.\This is good, Kurogiri. response:	It's an unexpected opportunity.
context: All Might's secret...\Is...\Is that how it is?\Were you trying to keep him from moving by sticking him deep in the concrete?\You won't be able to stop him like that.\Because Nomu is as strong as you are.\This is good, Kurogiri.\It's an unexpected opportunity. response:	Ouch!
context: Is...\Is that how it is?\Were you trying to keep him from moving by sticking him deep in the concrete?\You won't be able to stop him like that.\Because Nomu is as strong as you are.\This is good, Kurogiri.\It's an unexpected opportunity.\Ouch! response:	That's my weak spot!
context: Is that how it is?\Were you trying to keep him from moving by sticking him deep in the concrete?\You won't be able to stop him like that.\Because Nomu is as strong as you are.\This is good, Kurogiri.\It's an unexpected opportunity.\Ouch!\That's my weak spot! response:	Stop it!
context: Were you trying to keep him from moving by sticking him deep in the concrete?\You won't be able to stop him like that.\Because Nomu is as strong as you are.\This is good, Kurogiri.\It's an unexpected opportunity.\Ouch!\That's my weak spot!\Stop it! response:	What power!
context: You won't be able to stop him like that.\Because Nomu is as strong as you are.\This is good, Kurogiri.\It's an unexpected opportunity.\Ouch!\That's my weak spot!\Stop it!\What power! response:	This is... your first offense?
context: Because Nomu is as strong as you are.\This is good, Kurogiri.\It's an unexpected opportunity.\Ouch!\That's my weak spot!\Stop it!\What power!\This is... your first offense? response:	You'd better prepare yourselves...!
context: This is good, Kurogiri.\It's an unexpected opportunity.\Ouch!\That's my weak spot!\Stop it!\What power!\This is... your first offense?\You'd better prepare yourselves...! response:	Kurogiri.
context: It's an unexpected opportunity.\Ouch!\That's my weak spot!\Stop it!\What power!\This is... your first offense?\You'd better prepare yourselves...!\Kurogiri. response:	I do not want blood and guts overflowing within me...
context: Ouch!\That's my weak spot!\Stop it!\What power!\This is... your first offense?\You'd better prepare yourselves...!\Kurogiri.\I do not want blood and guts overflowing within me... response:	You are too fast to see with the human eye.
context: That's my weak spot!\Stop it!\What power!\This is... your first offense?\You'd better prepare yourselves...!\Kurogiri.\I do not want blood and guts overflowing within me...\You are too fast to see with the human eye. response:	Restraining you was Nomu's job.
context: Stop it!\What power!\This is... your first offense?\You'd better prepare yourselves...!\Kurogiri.\I do not want blood and guts overflowing within me...\You are too fast to see with the human eye.\Restraining you was Nomu's job. response:	And then... when your body is halfway in, to close the gate...
context: What power!\This is... your first offense?\You'd better prepare yourselves...!\Kurogiri.\I do not want blood and guts overflowing within me...\You are too fast to see with the human eye.\Restraining you was Nomu's job.\And then... when your body is halfway in, to close the gate... response:	Asui.
context: This is... your first offense?\You'd better prepare yourselves...!\Kurogiri.\I do not want blood and guts overflowing within me...\You are too fast to see with the human eye.\Restraining you was Nomu's job.\And then... when your body is halfway in, to close the gate...\Asui. response:	What is it, Midoriya?
context: You'd better prepare yourselves...!\Kurogiri.\I do not want blood and guts overflowing within me...\You are too fast to see with the human eye.\Restraining you was Nomu's job.\And then... when your body is halfway in, to close the gate...\Asui.\What is it, Midoriya? response:	Trade places with me carrying Mr. Aizawa.
context: Kurogiri.\I do not want blood and guts overflowing within me...\You are too fast to see with the human eye.\Restraining you was Nomu's job.\And then... when your body is halfway in, to close the gate...\Asui.\What is it, Midoriya?\Trade places with me carrying Mr. Aizawa. response:	Ribbit?
context: I do not want blood and guts overflowing within me...\You are too fast to see with the human eye.\Restraining you was Nomu's job.\And then... when your body is halfway in, to close the gate...\Asui.\What is it, Midoriya?\Trade places with me carrying Mr. Aizawa.\Ribbit? response:	Okay...
context: You are too fast to see with the human eye.\Restraining you was Nomu's job.\And then... when your body is halfway in, to close the gate...\Asui.\What is it, Midoriya?\Trade places with me carrying Mr. Aizawa.\Ribbit?\Okay... response:	But why?
context: Restraining you was Nomu's job.\And then... when your body is halfway in, to close the gate...\Asui.\What is it, Midoriya?\Trade places with me carrying Mr. Aizawa.\Ribbit?\Okay...\But why? response:	No...
context: And then... when your body is halfway in, to close the gate...\Asui.\What is it, Midoriya?\Trade places with me carrying Mr. Aizawa.\Ribbit?\Okay...\But why?\No... response:	No... All Might!
context: Asui.\What is it, Midoriya?\Trade places with me carrying Mr. Aizawa.\Ribbit?\Okay...\But why?\No...\No... All Might! response:	Midoriya!
context: What is it, Midoriya?\Trade places with me carrying Mr. Aizawa.\Ribbit?\Okay...\But why?\No...\No... All Might!\Midoriya! response:	There are still tons of things...
context: Trade places with me carrying Mr. Aizawa.\Ribbit?\Okay...\But why?\No...\No... All Might!\Midoriya!\There are still tons of things... response:	All Might!
context: Ribbit?\Okay...\But why?\No...\No... All Might!\Midoriya!\There are still tons of things...\All Might! response:	Young Midoriya?
context: Okay...\But why?\No...\No... All Might!\Midoriya!\There are still tons of things...\All Might!\Young Midoriya? response:	What are you...!
context: But why?\No...\No... All Might!\Midoriya!\There are still tons of things...\All Might!\Young Midoriya?\What are you...! response:	How foolish.
context: No...\No... All Might!\Midoriya!\There are still tons of things...\All Might!\Young Midoriya?\What are you...!\How foolish. response:	Move, you're in the way, Deku!
context: No... All Might!\Midoriya!\There are still tons of things...\All Might!\Young Midoriya?\What are you...!\How foolish.\Move, you're in the way, Deku! response:	Take that!
context: Midoriya!\There are still tons of things...\All Might!\Young Midoriya?\What are you...!\How foolish.\Move, you're in the way, Deku!\Take that! response:	He's frozen?
context: There are still tons of things...\All Might!\Young Midoriya?\What are you...!\How foolish.\Move, you're in the way, Deku!\Take that!\He's frozen? response:	Young Todoroki?!
context: All Might!\Young Midoriya?\What are you...!\How foolish.\Move, you're in the way, Deku!\Take that!\He's frozen?\Young Todoroki?! response:	All I heard was that you all are here to kill All Might.
context: Young Midoriya?\What are you...!\How foolish.\Move, you're in the way, Deku!\Take that!\He's frozen?\Young Todoroki?!\All I heard was that you all are here to kill All Might. response:	He controlled it so that the ice stopped just before it reached me.
context: What are you...!\How foolish.\Move, you're in the way, Deku!\Take that!\He's frozen?\Young Todoroki?!\All I heard was that you all are here to kill All Might.\He controlled it so that the ice stopped just before it reached me. response:	Thanks to that, his grip loosened!
context: How foolish.\Move, you're in the way, Deku!\Take that!\He's frozen?\Young Todoroki?!\All I heard was that you all are here to kill All Might.\He controlled it so that the ice stopped just before it reached me.\Thanks to that, his grip loosened! response:	All Might!
context: Move, you're in the way, Deku!\Take that!\He's frozen?\Young Todoroki?!\All I heard was that you all are here to kill All Might.\He controlled it so that the ice stopped just before it reached me.\Thanks to that, his grip loosened!\All Might! response:	Huh?
context: Take that!\He's frozen?\Young Todoroki?!\All I heard was that you all are here to kill All Might.\He controlled it so that the ice stopped just before it reached me.\Thanks to that, his grip loosened!\All Might!\Huh? response:	Damn it!
context: He's frozen?\Young Todoroki?!\All I heard was that you all are here to kill All Might.\He controlled it so that the ice stopped just before it reached me.\Thanks to that, his grip loosened!\All Might!\Huh?\Damn it! response:	I didn't get to show off!
