context: I apologize for summoning you on such short notice. response:	To be frank, I'd like to ask you for a favor.
context: And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru response:	So here I go
context: And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go response:	So here I go
context: watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go response:	sou da yo iku yo
context: watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo response:	sou da yo iku yo
context: Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo response:	I've been wandering, trying to find you
context: Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you response:	I've been wandering, trying to find you
context: kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you response:	mayoi nagara mo kimi wo sagasu tabi
context: kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi response:	mayoi nagara mo kimi wo sagasu tabi
context: So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi response:	We missed each other, but our hands touched
context: So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched response:	We missed each other, but our hands touched
context: sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched response:	surechigau ishiki te ga fureta yo ne
context: sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne response:	surechigau ishiki te ga fureta yo ne
context: I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne response:	I'll hold your hand tightly
context: I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly response:	I'll hold your hand tightly
context: mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly response:	tsukaemaeru yo shikkari
context: mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari response:	tsukaemaeru yo shikkari
context: We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari response:	Our mutual longing is
context: We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is response:	Our mutual longing is
context: surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is response:	motomeau kokoro
context: surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro response:	motomeau kokoro
context: I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro response:	The first step toward our dream
context: I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream response:	The first step toward our dream
context: tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream response:	sore wa yume no akashi
context: tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi response:	sore wa yume no akashi
context: Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi response:	We're drawn closer as we begin to accept each other
context: Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other response:	We're drawn closer as we begin to accept each other
context: motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other response:	tagai wo uketomeru tabi ni hikareteku
context: motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku response:	tagai wo uketomeru tabi ni hikareteku
context: The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku response:	We won't need to spend our days in sadness anymore
context: The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore response:	We won't need to spend our days in sadness anymore
context: sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore response:	kanashii hibi wa mou iranai
context: sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai response:	kanashii hibi wa mou iranai
context: We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai response:	Because we'll have a great time together
context: We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together response:	Because we'll have a great time together
context: tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together response:	tagai wo uketomete ikiru yorokobi ni
context: tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni response:	tagai wo uketomete ikiru yorokobi ni
context: We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni response:	That I'm sure the two of us will
context: We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will response:	That I'm sure the two of us will
context: kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will response:	kitto kitto futari
context: kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari response:	kitto kitto futari
context: Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari response:	Learn to appreciate
context: Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate response:	Learn to appreciate
context: tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate response:	mezameru yo
context: tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo response:	mezameru yo
context: That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo response:	What matters is that I've finally found you
context: That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you response:	What matters is that I've finally found you
context: kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you response:	mayoi nagara mo kimi wo mitsuketa yo
context: kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo response:	mayoi nagara mo kimi wo mitsuketa yo
context: Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo response:	Calming Gold
context: Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Calming Gold response:	Calming Gold
context: mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Calming Gold\Calming Gold response:	Calming Gold
context: mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: mayoi nagara mo kimi wo mitsuketa yo\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
