context: A fireworks festival. response:	Going out with friends!
context: And Hishiro-san's calmed down. Let's go!\Arata-kun!\I'd love some takoyaki!\So buy some.\Meanie!\You can afford takoyaki!\Aki-chan! Let's catch some goldfish again!\You're on. response:	Don't catch too many!
context: Arata-kun!\I'd love some takoyaki!\So buy some.\Meanie!\You can afford takoyaki!\Aki-chan! Let's catch some goldfish again!\You're on.\Don't catch too many! response:	Remember last year? That poor stall owner.
context: I'd love some takoyaki!\So buy some.\Meanie!\You can afford takoyaki!\Aki-chan! Let's catch some goldfish again!\You're on.\Don't catch too many!\Remember last year? That poor stall owner. response:	Man, it's hot.
context: So buy some.\Meanie!\You can afford takoyaki!\Aki-chan! Let's catch some goldfish again!\You're on.\Don't catch too many!\Remember last year? That poor stall owner.\Man, it's hot. response:	Yeah.
context: Meanie!\You can afford takoyaki!\Aki-chan! Let's catch some goldfish again!\You're on.\Don't catch too many!\Remember last year? That poor stall owner.\Man, it's hot.\Yeah. response:	You okay, Hishiro-san?
context: You can afford takoyaki!\Aki-chan! Let's catch some goldfish again!\You're on.\Don't catch too many!\Remember last year? That poor stall owner.\Man, it's hot.\Yeah.\You okay, Hishiro-san? response:	How far'd you run?
context: Aki-chan! Let's catch some goldfish again!\You're on.\Don't catch too many!\Remember last year? That poor stall owner.\Man, it's hot.\Yeah.\You okay, Hishiro-san?\How far'd you run? response:	Your feet hurt?
context: You're on.\Don't catch too many!\Remember last year? That poor stall owner.\Man, it's hot.\Yeah.\You okay, Hishiro-san?\How far'd you run?\Your feet hurt? response:	My feet are fine.
context: Don't catch too many!\Remember last year? That poor stall owner.\Man, it's hot.\Yeah.\You okay, Hishiro-san?\How far'd you run?\Your feet hurt?\My feet are fine. response:	But the crowd's a bit much, and I'm a little dizzy.
context: Remember last year? That poor stall owner.\Man, it's hot.\Yeah.\You okay, Hishiro-san?\How far'd you run?\Your feet hurt?\My feet are fine.\But the crowd's a bit much, and I'm a little dizzy. response:	I'll be fine.
context: Man, it's hot.\Yeah.\You okay, Hishiro-san?\How far'd you run?\Your feet hurt?\My feet are fine.\But the crowd's a bit much, and I'm a little dizzy.\I'll be fine. response:	Need an arm?
context: Yeah.\You okay, Hishiro-san?\How far'd you run?\Your feet hurt?\My feet are fine.\But the crowd's a bit much, and I'm a little dizzy.\I'll be fine.\Need an arm? response:	See? Like them.
context: You okay, Hishiro-san?\How far'd you run?\Your feet hurt?\My feet are fine.\But the crowd's a bit much, and I'm a little dizzy.\I'll be fine.\Need an arm?\See? Like them. response:	Keeps you from tripping, yeah?
context: How far'd you run?\Your feet hurt?\My feet are fine.\But the crowd's a bit much, and I'm a little dizzy.\I'll be fine.\Need an arm?\See? Like them.\Keeps you from tripping, yeah? response:	You don't mind?
context: Your feet hurt?\My feet are fine.\But the crowd's a bit much, and I'm a little dizzy.\I'll be fine.\Need an arm?\See? Like them.\Keeps you from tripping, yeah?\You don't mind? response:	I offered, didn't I?
context: My feet are fine.\But the crowd's a bit much, and I'm a little dizzy.\I'll be fine.\Need an arm?\See? Like them.\Keeps you from tripping, yeah?\You don't mind?\I offered, didn't I? response:	Then I will accept your offer.
context: But the crowd's a bit much, and I'm a little dizzy.\I'll be fine.\Need an arm?\See? Like them.\Keeps you from tripping, yeah?\You don't mind?\I offered, didn't I?\Then I will accept your offer. response:	Look, we need to be subtle.
context: I'll be fine.\Need an arm?\See? Like them.\Keeps you from tripping, yeah?\You don't mind?\I offered, didn't I?\Then I will accept your offer.\Look, we need to be subtle. response:	I know, I know.
context: Need an arm?\See? Like them.\Keeps you from tripping, yeah?\You don't mind?\I offered, didn't I?\Then I will accept your offer.\Look, we need to be subtle.\I know, I know. response:	Gotta leave those two alone naturally
context: See? Like them.\Keeps you from tripping, yeah?\You don't mind?\I offered, didn't I?\Then I will accept your offer.\Look, we need to be subtle.\I know, I know.\Gotta leave those two alone naturally response:	What?
context: Keeps you from tripping, yeah?\You don't mind?\I offered, didn't I?\Then I will accept your offer.\Look, we need to be subtle.\I know, I know.\Gotta leave those two alone naturally\What? response:	Is Yoake-san really making a move on a high school girl?!
context: You don't mind?\I offered, didn't I?\Then I will accept your offer.\Look, we need to be subtle.\I know, I know.\Gotta leave those two alone naturally\What?\Is Yoake-san really making a move on a high school girl?! response:	No, no, out of the question.
context: I offered, didn't I?\Then I will accept your offer.\Look, we need to be subtle.\I know, I know.\Gotta leave those two alone naturally\What?\Is Yoake-san really making a move on a high school girl?!\No, no, out of the question. response:	Ryo...
context: Then I will accept your offer.\Look, we need to be subtle.\I know, I know.\Gotta leave those two alone naturally\What?\Is Yoake-san really making a move on a high school girl?!\No, no, out of the question.\Ryo... response:	Yoake-san might not be...
context: Look, we need to be subtle.\I know, I know.\Gotta leave those two alone naturally\What?\Is Yoake-san really making a move on a high school girl?!\No, no, out of the question.\Ryo...\Yoake-san might not be... response:	But could Hishiro-san be...?
context: I know, I know.\Gotta leave those two alone naturally\What?\Is Yoake-san really making a move on a high school girl?!\No, no, out of the question.\Ryo...\Yoake-san might not be...\But could Hishiro-san be...? response:	Huh? Where is everyone?
context: Gotta leave those two alone naturally\What?\Is Yoake-san really making a move on a high school girl?!\No, no, out of the question.\Ryo...\Yoake-san might not be...\But could Hishiro-san be...?\Huh? Where is everyone? response:	Did we get separated?
context: What?\Is Yoake-san really making a move on a high school girl?!\No, no, out of the question.\Ryo...\Yoake-san might not be...\But could Hishiro-san be...?\Huh? Where is everyone?\Did we get separated? response:	Huh?
context: Is Yoake-san really making a move on a high school girl?!\No, no, out of the question.\Ryo...\Yoake-san might not be...\But could Hishiro-san be...?\Huh? Where is everyone?\Did we get separated?\Huh? response:	Enjoy your alone time!
context: No, no, out of the question.\Ryo...\Yoake-san might not be...\But could Hishiro-san be...?\Huh? Where is everyone?\Did we get separated?\Huh?\Enjoy your alone time! response:	Good luck!
context: Ryo...\Yoake-san might not be...\But could Hishiro-san be...?\Huh? Where is everyone?\Did we get separated?\Huh?\Enjoy your alone time!\Good luck! response:	Already?!
context: Yoake-san might not be...\But could Hishiro-san be...?\Huh? Where is everyone?\Did we get separated?\Huh?\Enjoy your alone time!\Good luck!\Already?! response:	Sure, I asked for it, but this came out of nowhere!
context: But could Hishiro-san be...?\Huh? Where is everyone?\Did we get separated?\Huh?\Enjoy your alone time!\Good luck!\Already?!\Sure, I asked for it, but this came out of nowhere! response:	I'm not ready yet!
context: Huh? Where is everyone?\Did we get separated?\Huh?\Enjoy your alone time!\Good luck!\Already?!\Sure, I asked for it, but this came out of nowhere!\I'm not ready yet! response:	What are you doing, Tama?
context: Did we get separated?\Huh?\Enjoy your alone time!\Good luck!\Already?!\Sure, I asked for it, but this came out of nowhere!\I'm not ready yet!\What are you doing, Tama? response:	Hurry up, or I'll catch them all.
context: Huh?\Enjoy your alone time!\Good luck!\Already?!\Sure, I asked for it, but this came out of nowhere!\I'm not ready yet!\What are you doing, Tama?\Hurry up, or I'll catch them all. response:	Aw, no fair! I won't lose, though!
context: Enjoy your alone time!\Good luck!\Already?!\Sure, I asked for it, but this came out of nowhere!\I'm not ready yet!\What are you doing, Tama?\Hurry up, or I'll catch them all.\Aw, no fair! I won't lose, though! response:	You! From last year!
context: Good luck!\Already?!\Sure, I asked for it, but this came out of nowhere!\I'm not ready yet!\What are you doing, Tama?\Hurry up, or I'll catch them all.\Aw, no fair! I won't lose, though!\You! From last year! response:	Sorry!
context: Already?!\Sure, I asked for it, but this came out of nowhere!\I'm not ready yet!\What are you doing, Tama?\Hurry up, or I'll catch them all.\Aw, no fair! I won't lose, though!\You! From last year!\Sorry! response:	Distance to target: 1 meter.
context: Sure, I asked for it, but this came out of nowhere!\I'm not ready yet!\What are you doing, Tama?\Hurry up, or I'll catch them all.\Aw, no fair! I won't lose, though!\You! From last year!\Sorry!\Distance to target: 1 meter. response:	It went well, huh?
context: I'm not ready yet!\What are you doing, Tama?\Hurry up, or I'll catch them all.\Aw, no fair! I won't lose, though!\You! From last year!\Sorry!\Distance to target: 1 meter.\It went well, huh? response:	If gravitation force is g, and my throw is at 180 degrees,
context: What are you doing, Tama?\Hurry up, or I'll catch them all.\Aw, no fair! I won't lose, though!\You! From last year!\Sorry!\Distance to target: 1 meter.\It went well, huh?\If gravitation force is g, and my throw is at 180 degrees, response:	More importantly, do something about An!
context: Hurry up, or I'll catch them all.\Aw, no fair! I won't lose, though!\You! From last year!\Sorry!\Distance to target: 1 meter.\It went well, huh?\If gravitation force is g, and my throw is at 180 degrees,\More importantly, do something about An! response:	I need a force of...
context: Aw, no fair! I won't lose, though!\You! From last year!\Sorry!\Distance to target: 1 meter.\It went well, huh?\If gravitation force is g, and my throw is at 180 degrees,\More importantly, do something about An!\I need a force of... response:	She's being super clingy.
context: You! From last year!\Sorry!\Distance to target: 1 meter.\It went well, huh?\If gravitation force is g, and my throw is at 180 degrees,\More importantly, do something about An!\I need a force of...\She's being super clingy. response:	Will that math help?
context: Sorry!\Distance to target: 1 meter.\It went well, huh?\If gravitation force is g, and my throw is at 180 degrees,\More importantly, do something about An!\I need a force of...\She's being super clingy.\Will that math help? response:	Hmm... it would be a problem if we had a subject
context: Distance to target: 1 meter.\It went well, huh?\If gravitation force is g, and my throw is at 180 degrees,\More importantly, do something about An!\I need a force of...\She's being super clingy.\Will that math help?\Hmm... it would be a problem if we had a subject response:	and an employee hanging out, ignoring the students.
context: It went well, huh?\If gravitation force is g, and my throw is at 180 degrees,\More importantly, do something about An!\I need a force of...\She's being super clingy.\Will that math help?\Hmm... it would be a problem if we had a subject\and an employee hanging out, ignoring the students. response:	But everyone's here today, so it's fine!
context: If gravitation force is g, and my throw is at 180 degrees,\More importantly, do something about An!\I need a force of...\She's being super clingy.\Will that math help?\Hmm... it would be a problem if we had a subject\and an employee hanging out, ignoring the students.\But everyone's here today, so it's fine! response:	You're lax!
context: More importantly, do something about An!\I need a force of...\She's being super clingy.\Will that math help?\Hmm... it would be a problem if we had a subject\and an employee hanging out, ignoring the students.\But everyone's here today, so it's fine!\You're lax! response:	Oh, I see.
context: I need a force of...\She's being super clingy.\Will that math help?\Hmm... it would be a problem if we had a subject\and an employee hanging out, ignoring the students.\But everyone's here today, so it's fine!\You're lax!\Oh, I see. response:	You aren't bothered by Onoya.
context: She's being super clingy.\Will that math help?\Hmm... it would be a problem if we had a subject\and an employee hanging out, ignoring the students.\But everyone's here today, so it's fine!\You're lax!\Oh, I see.\You aren't bothered by Onoya. response:	You don't like me being with Hishiro-san.
context: Will that math help?\Hmm... it would be a problem if we had a subject\and an employee hanging out, ignoring the students.\But everyone's here today, so it's fine!\You're lax!\Oh, I see.\You aren't bothered by Onoya.\You don't like me being with Hishiro-san. response:	10 cm diameter.
context: Hmm... it would be a problem if we had a subject\and an employee hanging out, ignoring the students.\But everyone's here today, so it's fine!\You're lax!\Oh, I see.\You aren't bothered by Onoya.\You don't like me being with Hishiro-san.\10 cm diameter. response:	That's not it!
context: and an employee hanging out, ignoring the students.\But everyone's here today, so it's fine!\You're lax!\Oh, I see.\You aren't bothered by Onoya.\You don't like me being with Hishiro-san.\10 cm diameter.\That's not it! response:	You should have said!
context: But everyone's here today, so it's fine!\You're lax!\Oh, I see.\You aren't bothered by Onoya.\You don't like me being with Hishiro-san.\10 cm diameter.\That's not it!\You should have said! response:	Pi is 3.14...
context: You're lax!\Oh, I see.\You aren't bothered by Onoya.\You don't like me being with Hishiro-san.\10 cm diameter.\That's not it!\You should have said!\Pi is 3.14... response:	Will those calculations really help?
context: Oh, I see.\You aren't bothered by Onoya.\You don't like me being with Hishiro-san.\10 cm diameter.\That's not it!\You should have said!\Pi is 3.14...\Will those calculations really help? response:	Sorry, I didn't even notice.
context: You aren't bothered by Onoya.\You don't like me being with Hishiro-san.\10 cm diameter.\That's not it!\You should have said!\Pi is 3.14...\Will those calculations really help?\Sorry, I didn't even notice. response:	Quiet, please.
context: You don't like me being with Hishiro-san.\10 cm diameter.\That's not it!\You should have said!\Pi is 3.14...\Will those calculations really help?\Sorry, I didn't even notice.\Quiet, please. response:	Like I said...
context: 10 cm diameter.\That's not it!\You should have said!\Pi is 3.14...\Will those calculations really help?\Sorry, I didn't even notice.\Quiet, please.\Like I said... response:	It's the last summer of high school.
context: That's not it!\You should have said!\Pi is 3.14...\Will those calculations really help?\Sorry, I didn't even notice.\Quiet, please.\Like I said...\It's the last summer of high school. response:	It's a precious time that won't come again.
context: You should have said!\Pi is 3.14...\Will those calculations really help?\Sorry, I didn't even notice.\Quiet, please.\Like I said...\It's the last summer of high school.\It's a precious time that won't come again. response:	But I guess for you,
context: Pi is 3.14...\Will those calculations really help?\Sorry, I didn't even notice.\Quiet, please.\Like I said...\It's the last summer of high school.\It's a precious time that won't come again.\But I guess for you, response:	this is your first and last summer!
context: Will those calculations really help?\Sorry, I didn't even notice.\Quiet, please.\Like I said...\It's the last summer of high school.\It's a precious time that won't come again.\But I guess for you,\this is your first and last summer! response:	You... god damn sadist!
context: Sorry, I didn't even notice.\Quiet, please.\Like I said...\It's the last summer of high school.\It's a precious time that won't come again.\But I guess for you,\this is your first and last summer!\You... god damn sadist! response:	So what am I supposed to do about it?
context: Quiet, please.\Like I said...\It's the last summer of high school.\It's a precious time that won't come again.\But I guess for you,\this is your first and last summer!\You... god damn sadist!\So what am I supposed to do about it? response:	Can't wait for the fireworks!
context: Like I said...\It's the last summer of high school.\It's a precious time that won't come again.\But I guess for you,\this is your first and last summer!\You... god damn sadist!\So what am I supposed to do about it?\Can't wait for the fireworks! response:	Say, Kariu.
context: It's the last summer of high school.\It's a precious time that won't come again.\But I guess for you,\this is your first and last summer!\You... god damn sadist!\So what am I supposed to do about it?\Can't wait for the fireworks!\Say, Kariu. response:	I, uh... love you.
context: It's a precious time that won't come again.\But I guess for you,\this is your first and last summer!\You... god damn sadist!\So what am I supposed to do about it?\Can't wait for the fireworks!\Say, Kariu.\I, uh... love you. response:	Out of the blue?!
context: But I guess for you,\this is your first and last summer!\You... god damn sadist!\So what am I supposed to do about it?\Can't wait for the fireworks!\Say, Kariu.\I, uh... love you.\Out of the blue?! response:	With all these people around?!
context: this is your first and last summer!\You... god damn sadist!\So what am I supposed to do about it?\Can't wait for the fireworks!\Say, Kariu.\I, uh... love you.\Out of the blue?!\With all these people around?! response:	Not good timing?
context: You... god damn sadist!\So what am I supposed to do about it?\Can't wait for the fireworks!\Say, Kariu.\I, uh... love you.\Out of the blue?!\With all these people around?!\Not good timing? response:	Not exactly, no.
context: So what am I supposed to do about it?\Can't wait for the fireworks!\Say, Kariu.\I, uh... love you.\Out of the blue?!\With all these people around?!\Not good timing?\Not exactly, no. response:	But that's not the point...
context: Can't wait for the fireworks!\Say, Kariu.\I, uh... love you.\Out of the blue?!\With all these people around?!\Not good timing?\Not exactly, no.\But that's not the point... response:	What?!
context: Say, Kariu.\I, uh... love you.\Out of the blue?!\With all these people around?!\Not good timing?\Not exactly, no.\But that's not the point...\What?! response:	Nobody told me this would happen!
context: I, uh... love you.\Out of the blue?!\With all these people around?!\Not good timing?\Not exactly, no.\But that's not the point...\What?!\Nobody told me this would happen! response:	I didn't think he'd do that!
context: Out of the blue?!\With all these people around?!\Not good timing?\Not exactly, no.\But that's not the point...\What?!\Nobody told me this would happen!\I didn't think he'd do that! response:	I didn't think you'd do this!
context: With all these people around?!\Not good timing?\Not exactly, no.\But that's not the point...\What?!\Nobody told me this would happen!\I didn't think he'd do that!\I didn't think you'd do this! response:	Are you... serious?
context: Not good timing?\Not exactly, no.\But that's not the point...\What?!\Nobody told me this would happen!\I didn't think he'd do that!\I didn't think you'd do this!\Are you... serious? response:	What? You don't trust me?
context: Not exactly, no.\But that's not the point...\What?!\Nobody told me this would happen!\I didn't think he'd do that!\I didn't think you'd do this!\Are you... serious?\What? You don't trust me? response:	N-Not that! I just can't believe it!
context: But that's not the point...\What?!\Nobody told me this would happen!\I didn't think he'd do that!\I didn't think you'd do this!\Are you... serious?\What? You don't trust me?\N-Not that! I just can't believe it! response:	That's the same thing, isn't it?
context: What?!\Nobody told me this would happen!\I didn't think he'd do that!\I didn't think you'd do this!\Are you... serious?\What? You don't trust me?\N-Not that! I just can't believe it!\That's the same thing, isn't it? response:	No.
context: Nobody told me this would happen!\I didn't think he'd do that!\I didn't think you'd do this!\Are you... serious?\What? You don't trust me?\N-Not that! I just can't believe it!\That's the same thing, isn't it?\No. response:	I didn't mean it like that.
context: I didn't think he'd do that!\I didn't think you'd do this!\Are you... serious?\What? You don't trust me?\N-Not that! I just can't believe it!\That's the same thing, isn't it?\No.\I didn't mean it like that. response:	Man, I came up with so many ideas.
context: I didn't think you'd do this!\Are you... serious?\What? You don't trust me?\N-Not that! I just can't believe it!\That's the same thing, isn't it?\No.\I didn't mean it like that.\Man, I came up with so many ideas. response:	It wasn't supposed to go like this!
context: Are you... serious?\What? You don't trust me?\N-Not that! I just can't believe it!\That's the same thing, isn't it?\No.\I didn't mean it like that.\Man, I came up with so many ideas.\It wasn't supposed to go like this! response:	Kariu!
context: What? You don't trust me?\N-Not that! I just can't believe it!\That's the same thing, isn't it?\No.\I didn't mean it like that.\Man, I came up with so many ideas.\It wasn't supposed to go like this!\Kariu! response:	Oh, sorry.
context: N-Not that! I just can't believe it!\That's the same thing, isn't it?\No.\I didn't mean it like that.\Man, I came up with so many ideas.\It wasn't supposed to go like this!\Kariu!\Oh, sorry. response:	When you asked me to these fireworks, I was so happy.
context: That's the same thing, isn't it?\No.\I didn't mean it like that.\Man, I came up with so many ideas.\It wasn't supposed to go like this!\Kariu!\Oh, sorry.\When you asked me to these fireworks, I was so happy. response:	Oga...
context: No.\I didn't mean it like that.\Man, I came up with so many ideas.\It wasn't supposed to go like this!\Kariu!\Oh, sorry.\When you asked me to these fireworks, I was so happy.\Oga... response:	I remembered you talking about going to college elsewhere.
context: I didn't mean it like that.\Man, I came up with so many ideas.\It wasn't supposed to go like this!\Kariu!\Oh, sorry.\When you asked me to these fireworks, I was so happy.\Oga...\I remembered you talking about going to college elsewhere. response:	So I made up my mind to tell you today.
context: Man, I came up with so many ideas.\It wasn't supposed to go like this!\Kariu!\Oh, sorry.\When you asked me to these fireworks, I was so happy.\Oga...\I remembered you talking about going to college elsewhere.\So I made up my mind to tell you today. response:	I've been in love with you since our first year, too.
context: It wasn't supposed to go like this!\Kariu!\Oh, sorry.\When you asked me to these fireworks, I was so happy.\Oga...\I remembered you talking about going to college elsewhere.\So I made up my mind to tell you today.\I've been in love with you since our first year, too. response:	Will you go out with me?
context: Kariu!\Oh, sorry.\When you asked me to these fireworks, I was so happy.\Oga...\I remembered you talking about going to college elsewhere.\So I made up my mind to tell you today.\I've been in love with you since our first year, too.\Will you go out with me? response:	Come on! I summon all my courage to tell you, and that's how you react?!
context: Oh, sorry.\When you asked me to these fireworks, I was so happy.\Oga...\I remembered you talking about going to college elsewhere.\So I made up my mind to tell you today.\I've been in love with you since our first year, too.\Will you go out with me?\Come on! I summon all my courage to tell you, and that's how you react?! response:	I mean, who wouldn't be surprised?
context: When you asked me to these fireworks, I was so happy.\Oga...\I remembered you talking about going to college elsewhere.\So I made up my mind to tell you today.\I've been in love with you since our first year, too.\Will you go out with me?\Come on! I summon all my courage to tell you, and that's how you react?!\I mean, who wouldn't be surprised? response:	I was gonna ask you out, but you asked me instead!
context: Oga...\I remembered you talking about going to college elsewhere.\So I made up my mind to tell you today.\I've been in love with you since our first year, too.\Will you go out with me?\Come on! I summon all my courage to tell you, and that's how you react?!\I mean, who wouldn't be surprised?\I was gonna ask you out, but you asked me instead! response:	Right back at you!
context: I remembered you talking about going to college elsewhere.\So I made up my mind to tell you today.\I've been in love with you since our first year, too.\Will you go out with me?\Come on! I summon all my courage to tell you, and that's how you react?!\I mean, who wouldn't be surprised?\I was gonna ask you out, but you asked me instead!\Right back at you! response:	Ow...
context: So I made up my mind to tell you today.\I've been in love with you since our first year, too.\Will you go out with me?\Come on! I summon all my courage to tell you, and that's how you react?!\I mean, who wouldn't be surprised?\I was gonna ask you out, but you asked me instead!\Right back at you!\Ow... response:	Sorry.
context: I've been in love with you since our first year, too.\Will you go out with me?\Come on! I summon all my courage to tell you, and that's how you react?!\I mean, who wouldn't be surprised?\I was gonna ask you out, but you asked me instead!\Right back at you!\Ow...\Sorry. response:	I've never really talked about these things with friends.
context: Will you go out with me?\Come on! I summon all my courage to tell you, and that's how you react?!\I mean, who wouldn't be surprised?\I was gonna ask you out, but you asked me instead!\Right back at you!\Ow...\Sorry.\I've never really talked about these things with friends. response:	I think I'm not good at picking up on things.
context: Come on! I summon all my courage to tell you, and that's how you react?!\I mean, who wouldn't be surprised?\I was gonna ask you out, but you asked me instead!\Right back at you!\Ow...\Sorry.\I've never really talked about these things with friends.\I think I'm not good at picking up on things. response:	I had no idea you felt that way.
context: I mean, who wouldn't be surprised?\I was gonna ask you out, but you asked me instead!\Right back at you!\Ow...\Sorry.\I've never really talked about these things with friends.\I think I'm not good at picking up on things.\I had no idea you felt that way. response:	I didn't notice how I felt, either.
