context: This is justice! response:	In response to the cowardly act of the Terrans who turned on Princess Asseylum,
context: If that's your plan,\then maybe you should start by dodging that?\Right? Right? Left? Right? Right? Left?\Quick exhaust.\Sheesh, what's the helmsman doing?\Um...\Sure.\Thank you for earlier, er... response:	Inaho. Inaho Kaizuka.
context: then maybe you should start by dodging that?\Right? Right? Left? Right? Right? Left?\Quick exhaust.\Sheesh, what's the helmsman doing?\Um...\Sure.\Thank you for earlier, er...\Inaho. Inaho Kaizuka. response:	Thank you so much, Inaho. I am-
context: Right? Right? Left? Right? Right? Left?\Quick exhaust.\Sheesh, what's the helmsman doing?\Um...\Sure.\Thank you for earlier, er...\Inaho. Inaho Kaizuka.\Thank you so much, Inaho. I am- response:	Please, call me Seylum.
context: Quick exhaust.\Sheesh, what's the helmsman doing?\Um...\Sure.\Thank you for earlier, er...\Inaho. Inaho Kaizuka.\Thank you so much, Inaho. I am-\Please, call me Seylum. response:	I'll do that, Seylum.
context: Sheesh, what's the helmsman doing?\Um...\Sure.\Thank you for earlier, er...\Inaho. Inaho Kaizuka.\Thank you so much, Inaho. I am-\Please, call me Seylum.\I'll do that, Seylum. response:	If it is not too much trouble, perhaps you could show me around the ship?
context: Um...\Sure.\Thank you for earlier, er...\Inaho. Inaho Kaizuka.\Thank you so much, Inaho. I am-\Please, call me Seylum.\I'll do that, Seylum.\If it is not too much trouble, perhaps you could show me around the ship? response:	Inaho?
context: Sure.\Thank you for earlier, er...\Inaho. Inaho Kaizuka.\Thank you so much, Inaho. I am-\Please, call me Seylum.\I'll do that, Seylum.\If it is not too much trouble, perhaps you could show me around the ship?\Inaho? response:	But Milady, you-
context: Thank you for earlier, er...\Inaho. Inaho Kaizuka.\Thank you so much, Inaho. I am-\Please, call me Seylum.\I'll do that, Seylum.\If it is not too much trouble, perhaps you could show me around the ship?\Inaho?\But Milady, you- response:	It's all right.
context: Inaho. Inaho Kaizuka.\Thank you so much, Inaho. I am-\Please, call me Seylum.\I'll do that, Seylum.\If it is not too much trouble, perhaps you could show me around the ship?\Inaho?\But Milady, you-\It's all right. response:	Let us try that again. I am Asseylum Vers Allusia.
context: Thank you so much, Inaho. I am-\Please, call me Seylum.\I'll do that, Seylum.\If it is not too much trouble, perhaps you could show me around the ship?\Inaho?\But Milady, you-\It's all right.\Let us try that again. I am Asseylum Vers Allusia. response:	Emperor Vers' granddaughter.
context: Please, call me Seylum.\I'll do that, Seylum.\If it is not too much trouble, perhaps you could show me around the ship?\Inaho?\But Milady, you-\It's all right.\Let us try that again. I am Asseylum Vers Allusia.\Emperor Vers' granddaughter. response:	That's the real you?
context: I'll do that, Seylum.\If it is not too much trouble, perhaps you could show me around the ship?\Inaho?\But Milady, you-\It's all right.\Let us try that again. I am Asseylum Vers Allusia.\Emperor Vers' granddaughter.\That's the real you? response:	My earlier appearance is the result of what I am told
context: If it is not too much trouble, perhaps you could show me around the ship?\Inaho?\But Milady, you-\It's all right.\Let us try that again. I am Asseylum Vers Allusia.\Emperor Vers' granddaughter.\That's the real you?\My earlier appearance is the result of what I am told response:	is a form of optical camouflage that employs holography.
context: Inaho?\But Milady, you-\It's all right.\Let us try that again. I am Asseylum Vers Allusia.\Emperor Vers' granddaughter.\That's the real you?\My earlier appearance is the result of what I am told\is a form of optical camouflage that employs holography. response:	The princess was assassinated on the day of the parade. I saw the whole thing.
context: But Milady, you-\It's all right.\Let us try that again. I am Asseylum Vers Allusia.\Emperor Vers' granddaughter.\That's the real you?\My earlier appearance is the result of what I am told\is a form of optical camouflage that employs holography.\The princess was assassinated on the day of the parade. I saw the whole thing. response:	She was-
context: It's all right.\Let us try that again. I am Asseylum Vers Allusia.\Emperor Vers' granddaughter.\That's the real you?\My earlier appearance is the result of what I am told\is a form of optical camouflage that employs holography.\The princess was assassinated on the day of the parade. I saw the whole thing.\She was- response:	A double.
context: Let us try that again. I am Asseylum Vers Allusia.\Emperor Vers' granddaughter.\That's the real you?\My earlier appearance is the result of what I am told\is a form of optical camouflage that employs holography.\The princess was assassinated on the day of the parade. I saw the whole thing.\She was-\A double. response:	Her Highness was not feeling well that day.
context: Emperor Vers' granddaughter.\That's the real you?\My earlier appearance is the result of what I am told\is a form of optical camouflage that employs holography.\The princess was assassinated on the day of the parade. I saw the whole thing.\She was-\A double.\Her Highness was not feeling well that day. response:	For that reason, the skeptical security detail leader insisted that a double be used.
context: That's the real you?\My earlier appearance is the result of what I am told\is a form of optical camouflage that employs holography.\The princess was assassinated on the day of the parade. I saw the whole thing.\She was-\A double.\Her Highness was not feeling well that day.\For that reason, the skeptical security detail leader insisted that a double be used. response:	So that wasn't a hypothesis.
context: My earlier appearance is the result of what I am told\is a form of optical camouflage that employs holography.\The princess was assassinated on the day of the parade. I saw the whole thing.\She was-\A double.\Her Highness was not feeling well that day.\For that reason, the skeptical security detail leader insisted that a double be used.\So that wasn't a hypothesis. response:	When my grandfather the emperor learns that I am alive and well,
context: is a form of optical camouflage that employs holography.\The princess was assassinated on the day of the parade. I saw the whole thing.\She was-\A double.\Her Highness was not feeling well that day.\For that reason, the skeptical security detail leader insisted that a double be used.\So that wasn't a hypothesis.\When my grandfather the emperor learns that I am alive and well, response:	this war will come to an end immediately.
context: The princess was assassinated on the day of the parade. I saw the whole thing.\She was-\A double.\Her Highness was not feeling well that day.\For that reason, the skeptical security detail leader insisted that a double be used.\So that wasn't a hypothesis.\When my grandfather the emperor learns that I am alive and well,\this war will come to an end immediately. response:	I wish to get in touch with Vers as soon as possible.
context: She was-\A double.\Her Highness was not feeling well that day.\For that reason, the skeptical security detail leader insisted that a double be used.\So that wasn't a hypothesis.\When my grandfather the emperor learns that I am alive and well,\this war will come to an end immediately.\I wish to get in touch with Vers as soon as possible. response:	How?
context: A double.\Her Highness was not feeling well that day.\For that reason, the skeptical security detail leader insisted that a double be used.\So that wasn't a hypothesis.\When my grandfather the emperor learns that I am alive and well,\this war will come to an end immediately.\I wish to get in touch with Vers as soon as possible.\How? response:	At the very least, it would be difficult to do from here.
context: Her Highness was not feeling well that day.\For that reason, the skeptical security detail leader insisted that a double be used.\So that wasn't a hypothesis.\When my grandfather the emperor learns that I am alive and well,\this war will come to an end immediately.\I wish to get in touch with Vers as soon as possible.\How?\At the very least, it would be difficult to do from here. response:	Their jamming makes long-range communications impossible.
context: For that reason, the skeptical security detail leader insisted that a double be used.\So that wasn't a hypothesis.\When my grandfather the emperor learns that I am alive and well,\this war will come to an end immediately.\I wish to get in touch with Vers as soon as possible.\How?\At the very least, it would be difficult to do from here.\Their jamming makes long-range communications impossible. response:	And our telecommunications bases have been destroyed, so we can't use the Net, either.
context: So that wasn't a hypothesis.\When my grandfather the emperor learns that I am alive and well,\this war will come to an end immediately.\I wish to get in touch with Vers as soon as possible.\How?\At the very least, it would be difficult to do from here.\Their jamming makes long-range communications impossible.\And our telecommunications bases have been destroyed, so we can't use the Net, either. response:	But we can take you to a facility that can contact the Vers government.
context: When my grandfather the emperor learns that I am alive and well,\this war will come to an end immediately.\I wish to get in touch with Vers as soon as possible.\How?\At the very least, it would be difficult to do from here.\Their jamming makes long-range communications impossible.\And our telecommunications bases have been destroyed, so we can't use the Net, either.\But we can take you to a facility that can contact the Vers government. response:	I'll talk to my sister Yuki and the others about it.
context: this war will come to an end immediately.\I wish to get in touch with Vers as soon as possible.\How?\At the very least, it would be difficult to do from here.\Their jamming makes long-range communications impossible.\And our telecommunications bases have been destroyed, so we can't use the Net, either.\But we can take you to a facility that can contact the Vers government.\I'll talk to my sister Yuki and the others about it. response:	You mustn't do that!
context: I wish to get in touch with Vers as soon as possible.\How?\At the very least, it would be difficult to do from here.\Their jamming makes long-range communications impossible.\And our telecommunications bases have been destroyed, so we can't use the Net, either.\But we can take you to a facility that can contact the Vers government.\I'll talk to my sister Yuki and the others about it.\You mustn't do that! response:	There is a Vers spy hidden amongst the Terrans!
context: How?\At the very least, it would be difficult to do from here.\Their jamming makes long-range communications impossible.\And our telecommunications bases have been destroyed, so we can't use the Net, either.\But we can take you to a facility that can contact the Vers government.\I'll talk to my sister Yuki and the others about it.\You mustn't do that!\There is a Vers spy hidden amongst the Terrans! response:	In league with those assassins, no doubt!
context: At the very least, it would be difficult to do from here.\Their jamming makes long-range communications impossible.\And our telecommunications bases have been destroyed, so we can't use the Net, either.\But we can take you to a facility that can contact the Vers government.\I'll talk to my sister Yuki and the others about it.\You mustn't do that!\There is a Vers spy hidden amongst the Terrans!\In league with those assassins, no doubt! response:	The spy wishes to see Her Highness dead!
context: Their jamming makes long-range communications impossible.\And our telecommunications bases have been destroyed, so we can't use the Net, either.\But we can take you to a facility that can contact the Vers government.\I'll talk to my sister Yuki and the others about it.\You mustn't do that!\There is a Vers spy hidden amongst the Terrans!\In league with those assassins, no doubt!\The spy wishes to see Her Highness dead! response:	I do apologize for dragging you into our problems.
context: And our telecommunications bases have been destroyed, so we can't use the Net, either.\But we can take you to a facility that can contact the Vers government.\I'll talk to my sister Yuki and the others about it.\You mustn't do that!\There is a Vers spy hidden amongst the Terrans!\In league with those assassins, no doubt!\The spy wishes to see Her Highness dead!\I do apologize for dragging you into our problems. response:	I beg you, keep this matter between us.
context: But we can take you to a facility that can contact the Vers government.\I'll talk to my sister Yuki and the others about it.\You mustn't do that!\There is a Vers spy hidden amongst the Terrans!\In league with those assassins, no doubt!\The spy wishes to see Her Highness dead!\I do apologize for dragging you into our problems.\I beg you, keep this matter between us. response:	I'm really glad that we have you here, Dr. Yagarai.
context: I'll talk to my sister Yuki and the others about it.\You mustn't do that!\There is a Vers spy hidden amongst the Terrans!\In league with those assassins, no doubt!\The spy wishes to see Her Highness dead!\I do apologize for dragging you into our problems.\I beg you, keep this matter between us.\I'm really glad that we have you here, Dr. Yagarai. response:	I haven't used exoskeleton therapy in a long time.
context: You mustn't do that!\There is a Vers spy hidden amongst the Terrans!\In league with those assassins, no doubt!\The spy wishes to see Her Highness dead!\I do apologize for dragging you into our problems.\I beg you, keep this matter between us.\I'm really glad that we have you here, Dr. Yagarai.\I haven't used exoskeleton therapy in a long time. response:	Please refrain from doing anything crazy. This is only temporary.
context: There is a Vers spy hidden amongst the Terrans!\In league with those assassins, no doubt!\The spy wishes to see Her Highness dead!\I do apologize for dragging you into our problems.\I beg you, keep this matter between us.\I'm really glad that we have you here, Dr. Yagarai.\I haven't used exoskeleton therapy in a long time.\Please refrain from doing anything crazy. This is only temporary. response:	It'll do, it'll do!
context: In league with those assassins, no doubt!\The spy wishes to see Her Highness dead!\I do apologize for dragging you into our problems.\I beg you, keep this matter between us.\I'm really glad that we have you here, Dr. Yagarai.\I haven't used exoskeleton therapy in a long time.\Please refrain from doing anything crazy. This is only temporary.\It'll do, it'll do! response:	Just because you aren't in pain doesn't mean there isn't any strain on your system.
context: The spy wishes to see Her Highness dead!\I do apologize for dragging you into our problems.\I beg you, keep this matter between us.\I'm really glad that we have you here, Dr. Yagarai.\I haven't used exoskeleton therapy in a long time.\Please refrain from doing anything crazy. This is only temporary.\It'll do, it'll do!\Just because you aren't in pain doesn't mean there isn't any strain on your system. response:	When that anesthetic wears off, it's going to be unpleasant.
context: I do apologize for dragging you into our problems.\I beg you, keep this matter between us.\I'm really glad that we have you here, Dr. Yagarai.\I haven't used exoskeleton therapy in a long time.\Please refrain from doing anything crazy. This is only temporary.\It'll do, it'll do!\Just because you aren't in pain doesn't mean there isn't any strain on your system.\When that anesthetic wears off, it's going to be unpleasant. response:	I've got it, don't worry. I'll come in for fine-tuning later, okay?
context: I beg you, keep this matter between us.\I'm really glad that we have you here, Dr. Yagarai.\I haven't used exoskeleton therapy in a long time.\Please refrain from doing anything crazy. This is only temporary.\It'll do, it'll do!\Just because you aren't in pain doesn't mean there isn't any strain on your system.\When that anesthetic wears off, it's going to be unpleasant.\I've got it, don't worry. I'll come in for fine-tuning later, okay? response:	Or maybe I should have you make a few more adjustments while you're here...
context: I'm really glad that we have you here, Dr. Yagarai.\I haven't used exoskeleton therapy in a long time.\Please refrain from doing anything crazy. This is only temporary.\It'll do, it'll do!\Just because you aren't in pain doesn't mean there isn't any strain on your system.\When that anesthetic wears off, it's going to be unpleasant.\I've got it, don't worry. I'll come in for fine-tuning later, okay?\Or maybe I should have you make a few more adjustments while you're here... response:	Oh, so Okisuke was...
context: I haven't used exoskeleton therapy in a long time.\Please refrain from doing anything crazy. This is only temporary.\It'll do, it'll do!\Just because you aren't in pain doesn't mean there isn't any strain on your system.\When that anesthetic wears off, it's going to be unpleasant.\I've got it, don't worry. I'll come in for fine-tuning later, okay?\Or maybe I should have you make a few more adjustments while you're here...\Oh, so Okisuke was... response:	Man, he was a moron up to the very end...
context: Please refrain from doing anything crazy. This is only temporary.\It'll do, it'll do!\Just because you aren't in pain doesn't mean there isn't any strain on your system.\When that anesthetic wears off, it's going to be unpleasant.\I've got it, don't worry. I'll come in for fine-tuning later, okay?\Or maybe I should have you make a few more adjustments while you're here...\Oh, so Okisuke was...\Man, he was a moron up to the very end... response:	A moron and a perv and a slacker.
context: It'll do, it'll do!\Just because you aren't in pain doesn't mean there isn't any strain on your system.\When that anesthetic wears off, it's going to be unpleasant.\I've got it, don't worry. I'll come in for fine-tuning later, okay?\Or maybe I should have you make a few more adjustments while you're here...\Oh, so Okisuke was...\Man, he was a moron up to the very end...\A moron and a perv and a slacker. response:	Poor bastard, dying and then getting chewed out like this...
context: Just because you aren't in pain doesn't mean there isn't any strain on your system.\When that anesthetic wears off, it's going to be unpleasant.\I've got it, don't worry. I'll come in for fine-tuning later, okay?\Or maybe I should have you make a few more adjustments while you're here...\Oh, so Okisuke was...\Man, he was a moron up to the very end...\A moron and a perv and a slacker.\Poor bastard, dying and then getting chewed out like this... response:	He shouldn't have gotten himself killed, then.
context: When that anesthetic wears off, it's going to be unpleasant.\I've got it, don't worry. I'll come in for fine-tuning later, okay?\Or maybe I should have you make a few more adjustments while you're here...\Oh, so Okisuke was...\Man, he was a moron up to the very end...\A moron and a perv and a slacker.\Poor bastard, dying and then getting chewed out like this...\He shouldn't have gotten himself killed, then. response:	Inko...
context: I've got it, don't worry. I'll come in for fine-tuning later, okay?\Or maybe I should have you make a few more adjustments while you're here...\Oh, so Okisuke was...\Man, he was a moron up to the very end...\A moron and a perv and a slacker.\Poor bastard, dying and then getting chewed out like this...\He shouldn't have gotten himself killed, then.\Inko... response:	They started a war and destroyed the Moon.
context: Or maybe I should have you make a few more adjustments while you're here...\Oh, so Okisuke was...\Man, he was a moron up to the very end...\A moron and a perv and a slacker.\Poor bastard, dying and then getting chewed out like this...\He shouldn't have gotten himself killed, then.\Inko...\They started a war and destroyed the Moon. response:	Heaven's Fall wrecked the Earth.
context: Oh, so Okisuke was...\Man, he was a moron up to the very end...\A moron and a perv and a slacker.\Poor bastard, dying and then getting chewed out like this...\He shouldn't have gotten himself killed, then.\Inko...\They started a war and destroyed the Moon.\Heaven's Fall wrecked the Earth. response:	They've been up there in the Satellite Belt looking down on us ever since!
context: Man, he was a moron up to the very end...\A moron and a perv and a slacker.\Poor bastard, dying and then getting chewed out like this...\He shouldn't have gotten himself killed, then.\Inko...\They started a war and destroyed the Moon.\Heaven's Fall wrecked the Earth.\They've been up there in the Satellite Belt looking down on us ever since! response:	I'll make them pay! For Okojo and every other Terran who was killed!
context: A moron and a perv and a slacker.\Poor bastard, dying and then getting chewed out like this...\He shouldn't have gotten himself killed, then.\Inko...\They started a war and destroyed the Moon.\Heaven's Fall wrecked the Earth.\They've been up there in the Satellite Belt looking down on us ever since!\I'll make them pay! For Okojo and every other Terran who was killed! response:	Martian sons of bitches...
context: Poor bastard, dying and then getting chewed out like this...\He shouldn't have gotten himself killed, then.\Inko...\They started a war and destroyed the Moon.\Heaven's Fall wrecked the Earth.\They've been up there in the Satellite Belt looking down on us ever since!\I'll make them pay! For Okojo and every other Terran who was killed!\Martian sons of bitches... response:	About earlier...
context: He shouldn't have gotten himself killed, then.\Inko...\They started a war and destroyed the Moon.\Heaven's Fall wrecked the Earth.\They've been up there in the Satellite Belt looking down on us ever since!\I'll make them pay! For Okojo and every other Terran who was killed!\Martian sons of bitches...\About earlier... response:	What will you do? Keep her secret?
context: Inko...\They started a war and destroyed the Moon.\Heaven's Fall wrecked the Earth.\They've been up there in the Satellite Belt looking down on us ever since!\I'll make them pay! For Okojo and every other Terran who was killed!\Martian sons of bitches...\About earlier...\What will you do? Keep her secret? response:	In an extreme situation where there's no telling when an enemy will come,
context: They started a war and destroyed the Moon.\Heaven's Fall wrecked the Earth.\They've been up there in the Satellite Belt looking down on us ever since!\I'll make them pay! For Okojo and every other Terran who was killed!\Martian sons of bitches...\About earlier...\What will you do? Keep her secret?\In an extreme situation where there's no telling when an enemy will come, response:	human beings aren't known for remaining calm and rational.
context: Heaven's Fall wrecked the Earth.\They've been up there in the Satellite Belt looking down on us ever since!\I'll make them pay! For Okojo and every other Terran who was killed!\Martian sons of bitches...\About earlier...\What will you do? Keep her secret?\In an extreme situation where there's no telling when an enemy will come,\human beings aren't known for remaining calm and rational. response:	If they found out that she's a Martian, there's no telling what might happen to her.
