context: I can't take the sun... response:	Looks like we're in the Zuland Plains.
context: The path here seems to be curving a little.\It runs along the coast.\There's so much grass, I can't see the ocean at all.\But you can kind of smell the salt air, can't you?\I'm not sure, honestly.\Hey, didn't Shiroe say this road was...\The East Sea Road.\That's what this used to be called. response:	It was one of the Five Routes.
context: It runs along the coast.\There's so much grass, I can't see the ocean at all.\But you can kind of smell the salt air, can't you?\I'm not sure, honestly.\Hey, didn't Shiroe say this road was...\The East Sea Road.\That's what this used to be called.\It was one of the Five Routes. response:	It began in Nihonbashi, Tokyo, and it became an important trade route.
context: There's so much grass, I can't see the ocean at all.\But you can kind of smell the salt air, can't you?\I'm not sure, honestly.\Hey, didn't Shiroe say this road was...\The East Sea Road.\That's what this used to be called.\It was one of the Five Routes.\It began in Nihonbashi, Tokyo, and it became an important trade route. response:	Today, the East Sea Road is called National Route 1,
context: But you can kind of smell the salt air, can't you?\I'm not sure, honestly.\Hey, didn't Shiroe say this road was...\The East Sea Road.\That's what this used to be called.\It was one of the Five Routes.\It began in Nihonbashi, Tokyo, and it became an important trade route.\Today, the East Sea Road is called National Route 1, response:	and many roads branch off of it.
context: I'm not sure, honestly.\Hey, didn't Shiroe say this road was...\The East Sea Road.\That's what this used to be called.\It was one of the Five Routes.\It began in Nihonbashi, Tokyo, and it became an important trade route.\Today, the East Sea Road is called National Route 1,\and many roads branch off of it. response:	If you follow it all the way, it'll take you to Osaka.
context: Hey, didn't Shiroe say this road was...\The East Sea Road.\That's what this used to be called.\It was one of the Five Routes.\It began in Nihonbashi, Tokyo, and it became an important trade route.\Today, the East Sea Road is called National Route 1,\and many roads branch off of it.\If you follow it all the way, it'll take you to Osaka. response:	Osaka!
context: The East Sea Road.\That's what this used to be called.\It was one of the Five Routes.\It began in Nihonbashi, Tokyo, and it became an important trade route.\Today, the East Sea Road is called National Route 1,\and many roads branch off of it.\If you follow it all the way, it'll take you to Osaka.\Osaka! response:	Oh, you mean Minami.
context: That's what this used to be called.\It was one of the Five Routes.\It began in Nihonbashi, Tokyo, and it became an important trade route.\Today, the East Sea Road is called National Route 1,\and many roads branch off of it.\If you follow it all the way, it'll take you to Osaka.\Osaka!\Oh, you mean Minami. response:	So the roads are connected in this world, too.
context: It was one of the Five Routes.\It began in Nihonbashi, Tokyo, and it became an important trade route.\Today, the East Sea Road is called National Route 1,\and many roads branch off of it.\If you follow it all the way, it'll take you to Osaka.\Osaka!\Oh, you mean Minami.\So the roads are connected in this world, too. response:	Yeah.
context: It began in Nihonbashi, Tokyo, and it became an important trade route.\Today, the East Sea Road is called National Route 1,\and many roads branch off of it.\If you follow it all the way, it'll take you to Osaka.\Osaka!\Oh, you mean Minami.\So the roads are connected in this world, too.\Yeah. response:	This might be the fastest route to the Redstone Mountains.
context: Today, the East Sea Road is called National Route 1,\and many roads branch off of it.\If you follow it all the way, it'll take you to Osaka.\Osaka!\Oh, you mean Minami.\So the roads are connected in this world, too.\Yeah.\This might be the fastest route to the Redstone Mountains. response:	I've never really thought about the roads that way before.
context: and many roads branch off of it.\If you follow it all the way, it'll take you to Osaka.\Osaka!\Oh, you mean Minami.\So the roads are connected in this world, too.\Yeah.\This might be the fastest route to the Redstone Mountains.\I've never really thought about the roads that way before. response:	Me, neither.
context: If you follow it all the way, it'll take you to Osaka.\Osaka!\Oh, you mean Minami.\So the roads are connected in this world, too.\Yeah.\This might be the fastest route to the Redstone Mountains.\I've never really thought about the roads that way before.\Me, neither. response:	Shiroe is so amazing...
context: Osaka!\Oh, you mean Minami.\So the roads are connected in this world, too.\Yeah.\This might be the fastest route to the Redstone Mountains.\I've never really thought about the roads that way before.\Me, neither.\Shiroe is so amazing... response:	He knows so much stuff.
context: Oh, you mean Minami.\So the roads are connected in this world, too.\Yeah.\This might be the fastest route to the Redstone Mountains.\I've never really thought about the roads that way before.\Me, neither.\Shiroe is so amazing...\He knows so much stuff. response:	Okay!
context: So the roads are connected in this world, too.\Yeah.\This might be the fastest route to the Redstone Mountains.\I've never really thought about the roads that way before.\Me, neither.\Shiroe is so amazing...\He knows so much stuff.\Okay! response:	While I'm here, I'm gonna have an adventure, and learn all kinds of things!
context: Yeah.\This might be the fastest route to the Redstone Mountains.\I've never really thought about the roads that way before.\Me, neither.\Shiroe is so amazing...\He knows so much stuff.\Okay!\While I'm here, I'm gonna have an adventure, and learn all kinds of things! response:	Think it's about time for lunch?
context: This might be the fastest route to the Redstone Mountains.\I've never really thought about the roads that way before.\Me, neither.\Shiroe is so amazing...\He knows so much stuff.\Okay!\While I'm here, I'm gonna have an adventure, and learn all kinds of things!\Think it's about time for lunch? response:	Sounds great!
context: I've never really thought about the roads that way before.\Me, neither.\Shiroe is so amazing...\He knows so much stuff.\Okay!\While I'm here, I'm gonna have an adventure, and learn all kinds of things!\Think it's about time for lunch?\Sounds great! response:	This is good!
context: Me, neither.\Shiroe is so amazing...\He knows so much stuff.\Okay!\While I'm here, I'm gonna have an adventure, and learn all kinds of things!\Think it's about time for lunch?\Sounds great!\This is good! response:	The chief's ham sandwiches are so good!
context: Shiroe is so amazing...\He knows so much stuff.\Okay!\While I'm here, I'm gonna have an adventure, and learn all kinds of things!\Think it's about time for lunch?\Sounds great!\This is good!\The chief's ham sandwiches are so good! response:	No objection, whatsoever.
context: He knows so much stuff.\Okay!\While I'm here, I'm gonna have an adventure, and learn all kinds of things!\Think it's about time for lunch?\Sounds great!\This is good!\The chief's ham sandwiches are so good!\No objection, whatsoever. response:	Hey, you two!
context: Okay!\While I'm here, I'm gonna have an adventure, and learn all kinds of things!\Think it's about time for lunch?\Sounds great!\This is good!\The chief's ham sandwiches are so good!\No objection, whatsoever.\Hey, you two! response:	Leave some for us, okay?
context: While I'm here, I'm gonna have an adventure, and learn all kinds of things!\Think it's about time for lunch?\Sounds great!\This is good!\The chief's ham sandwiches are so good!\No objection, whatsoever.\Hey, you two!\Leave some for us, okay? response:	That's right.
context: Think it's about time for lunch?\Sounds great!\This is good!\The chief's ham sandwiches are so good!\No objection, whatsoever.\Hey, you two!\Leave some for us, okay?\That's right. response:	Hey!
context: Sounds great!\This is good!\The chief's ham sandwiches are so good!\No objection, whatsoever.\Hey, you two!\Leave some for us, okay?\That's right.\Hey! response:	We're almost to Kalbe.
context: This is good!\The chief's ham sandwiches are so good!\No objection, whatsoever.\Hey, you two!\Leave some for us, okay?\That's right.\Hey!\We're almost to Kalbe. response:	What should we do?
context: The chief's ham sandwiches are so good!\No objection, whatsoever.\Hey, you two!\Leave some for us, okay?\That's right.\Hey!\We're almost to Kalbe.\What should we do? response:	Stop there?
context: No objection, whatsoever.\Hey, you two!\Leave some for us, okay?\That's right.\Hey!\We're almost to Kalbe.\What should we do?\Stop there? response:	Let's keep going.
context: Hey, you two!\Leave some for us, okay?\That's right.\Hey!\We're almost to Kalbe.\What should we do?\Stop there?\Let's keep going. response:	The weather's nice.
context: Leave some for us, okay?\That's right.\Hey!\We're almost to Kalbe.\What should we do?\Stop there?\Let's keep going.\The weather's nice. response:	Let's have Danish and Croissant work a little harder.
context: That's right.\Hey!\We're almost to Kalbe.\What should we do?\Stop there?\Let's keep going.\The weather's nice.\Let's have Danish and Croissant work a little harder. response:	They're up for it.
context: Hey!\We're almost to Kalbe.\What should we do?\Stop there?\Let's keep going.\The weather's nice.\Let's have Danish and Croissant work a little harder.\They're up for it. response:	We can keep going!
context: We're almost to Kalbe.\What should we do?\Stop there?\Let's keep going.\The weather's nice.\Let's have Danish and Croissant work a little harder.\They're up for it.\We can keep going! response:	Let's do our best!
context: What should we do?\Stop there?\Let's keep going.\The weather's nice.\Let's have Danish and Croissant work a little harder.\They're up for it.\We can keep going!\Let's do our best! response:	Yeah.
context: Stop there?\Let's keep going.\The weather's nice.\Let's have Danish and Croissant work a little harder.\They're up for it.\We can keep going!\Let's do our best!\Yeah. response:	The path opens before Rundel Haus Code!
context: Let's keep going.\The weather's nice.\Let's have Danish and Croissant work a little harder.\They're up for it.\We can keep going!\Let's do our best!\Yeah.\The path opens before Rundel Haus Code! response:	Okay, let's get going before it gets dark!
context: The weather's nice.\Let's have Danish and Croissant work a little harder.\They're up for it.\We can keep going!\Let's do our best!\Yeah.\The path opens before Rundel Haus Code!\Okay, let's get going before it gets dark! response:	Yeah!
context: Let's have Danish and Croissant work a little harder.\They're up for it.\We can keep going!\Let's do our best!\Yeah.\The path opens before Rundel Haus Code!\Okay, let's get going before it gets dark!\Yeah! response:	Wh-What happened?
context: They're up for it.\We can keep going!\Let's do our best!\Yeah.\The path opens before Rundel Haus Code!\Okay, let's get going before it gets dark!\Yeah!\Wh-What happened? response:	The time limit ran out!
context: We can keep going!\Let's do our best!\Yeah.\The path opens before Rundel Haus Code!\Okay, let's get going before it gets dark!\Yeah!\Wh-What happened?\The time limit ran out! response:	For the Twin Horse Flute of Lyman!
context: Let's do our best!\Yeah.\The path opens before Rundel Haus Code!\Okay, let's get going before it gets dark!\Yeah!\Wh-What happened?\The time limit ran out!\For the Twin Horse Flute of Lyman! response:	Oh, right...
context: Yeah.\The path opens before Rundel Haus Code!\Okay, let's get going before it gets dark!\Yeah!\Wh-What happened?\The time limit ran out!\For the Twin Horse Flute of Lyman!\Oh, right... response:	It was six hours a day, wasn't it?
context: The path opens before Rundel Haus Code!\Okay, let's get going before it gets dark!\Yeah!\Wh-What happened?\The time limit ran out!\For the Twin Horse Flute of Lyman!\Oh, right...\It was six hours a day, wasn't it? response:	Why didn't anyone realize that, anyway?
context: Okay, let's get going before it gets dark!\Yeah!\Wh-What happened?\The time limit ran out!\For the Twin Horse Flute of Lyman!\Oh, right...\It was six hours a day, wasn't it?\Why didn't anyone realize that, anyway? response:	You're right.
context: Yeah!\Wh-What happened?\The time limit ran out!\For the Twin Horse Flute of Lyman!\Oh, right...\It was six hours a day, wasn't it?\Why didn't anyone realize that, anyway?\You're right. response:	Still, just because the time limit ran out,
context: Wh-What happened?\The time limit ran out!\For the Twin Horse Flute of Lyman!\Oh, right...\It was six hours a day, wasn't it?\Why didn't anyone realize that, anyway?\You're right.\Still, just because the time limit ran out, response:	they didn't have to run away so fast.
context: The time limit ran out!\For the Twin Horse Flute of Lyman!\Oh, right...\It was six hours a day, wasn't it?\Why didn't anyone realize that, anyway?\You're right.\Still, just because the time limit ran out,\they didn't have to run away so fast. response:	That's right.
context: For the Twin Horse Flute of Lyman!\Oh, right...\It was six hours a day, wasn't it?\Why didn't anyone realize that, anyway?\You're right.\Still, just because the time limit ran out,\they didn't have to run away so fast.\That's right. response:	They ate carrots out of my hand.
context: Oh, right...\It was six hours a day, wasn't it?\Why didn't anyone realize that, anyway?\You're right.\Still, just because the time limit ran out,\they didn't have to run away so fast.\That's right.\They ate carrots out of my hand. response:	They ate my cabbage, too.
context: It was six hours a day, wasn't it?\Why didn't anyone realize that, anyway?\You're right.\Still, just because the time limit ran out,\they didn't have to run away so fast.\That's right.\They ate carrots out of my hand.\They ate my cabbage, too. response:	They really have no sense of human gratitude!
context: Why didn't anyone realize that, anyway?\You're right.\Still, just because the time limit ran out,\they didn't have to run away so fast.\That's right.\They ate carrots out of my hand.\They ate my cabbage, too.\They really have no sense of human gratitude! response:	Well, they're horses.
context: You're right.\Still, just because the time limit ran out,\they didn't have to run away so fast.\That's right.\They ate carrots out of my hand.\They ate my cabbage, too.\They really have no sense of human gratitude!\Well, they're horses. response:	Even horses...
context: Still, just because the time limit ran out,\they didn't have to run away so fast.\That's right.\They ate carrots out of my hand.\They ate my cabbage, too.\They really have no sense of human gratitude!\Well, they're horses.\Even horses... response:	Horses?
context: they didn't have to run away so fast.\That's right.\They ate carrots out of my hand.\They ate my cabbage, too.\They really have no sense of human gratitude!\Well, they're horses.\Even horses...\Horses? response:	Then would they have horse gratitude, rather than human gratitude?
context: That's right.\They ate carrots out of my hand.\They ate my cabbage, too.\They really have no sense of human gratitude!\Well, they're horses.\Even horses...\Horses?\Then would they have horse gratitude, rather than human gratitude? response:	The horses ran off, but this is kind of nice.
context: They ate carrots out of my hand.\They ate my cabbage, too.\They really have no sense of human gratitude!\Well, they're horses.\Even horses...\Horses?\Then would they have horse gratitude, rather than human gratitude?\The horses ran off, but this is kind of nice. response:	Yeah.
context: They ate my cabbage, too.\They really have no sense of human gratitude!\Well, they're horses.\Even horses...\Horses?\Then would they have horse gratitude, rather than human gratitude?\The horses ran off, but this is kind of nice.\Yeah. response:	Hey, where are we?
context: They really have no sense of human gratitude!\Well, they're horses.\Even horses...\Horses?\Then would they have horse gratitude, rather than human gratitude?\The horses ran off, but this is kind of nice.\Yeah.\Hey, where are we? response:	Somewhere between the Kalbe Inn and Wilistoria Village.
context: Well, they're horses.\Even horses...\Horses?\Then would they have horse gratitude, rather than human gratitude?\The horses ran off, but this is kind of nice.\Yeah.\Hey, where are we?\Somewhere between the Kalbe Inn and Wilistoria Village. response:	Without them, we can't go on...
context: Even horses...\Horses?\Then would they have horse gratitude, rather than human gratitude?\The horses ran off, but this is kind of nice.\Yeah.\Hey, where are we?\Somewhere between the Kalbe Inn and Wilistoria Village.\Without them, we can't go on... response:	We'll have to camp.
context: Horses?\Then would they have horse gratitude, rather than human gratitude?\The horses ran off, but this is kind of nice.\Yeah.\Hey, where are we?\Somewhere between the Kalbe Inn and Wilistoria Village.\Without them, we can't go on...\We'll have to camp. response:	Yeah, we'll just have to do it.
context: Then would they have horse gratitude, rather than human gratitude?\The horses ran off, but this is kind of nice.\Yeah.\Hey, where are we?\Somewhere between the Kalbe Inn and Wilistoria Village.\Without them, we can't go on...\We'll have to camp.\Yeah, we'll just have to do it. response:	Leave the cooking to me.
context: The horses ran off, but this is kind of nice.\Yeah.\Hey, where are we?\Somewhere between the Kalbe Inn and Wilistoria Village.\Without them, we can't go on...\We'll have to camp.\Yeah, we'll just have to do it.\Leave the cooking to me. response:	This is where an adventurer really shines.
context: Yeah.\Hey, where are we?\Somewhere between the Kalbe Inn and Wilistoria Village.\Without them, we can't go on...\We'll have to camp.\Yeah, we'll just have to do it.\Leave the cooking to me.\This is where an adventurer really shines. response:	Being an adventurer has nothing to do with this.
context: Hey, where are we?\Somewhere between the Kalbe Inn and Wilistoria Village.\Without them, we can't go on...\We'll have to camp.\Yeah, we'll just have to do it.\Leave the cooking to me.\This is where an adventurer really shines.\Being an adventurer has nothing to do with this. response:	We're camping out!
context: Somewhere between the Kalbe Inn and Wilistoria Village.\Without them, we can't go on...\We'll have to camp.\Yeah, we'll just have to do it.\Leave the cooking to me.\This is where an adventurer really shines.\Being an adventurer has nothing to do with this.\We're camping out! response:	Yeah!
context: Without them, we can't go on...\We'll have to camp.\Yeah, we'll just have to do it.\Leave the cooking to me.\This is where an adventurer really shines.\Being an adventurer has nothing to do with this.\We're camping out!\Yeah! response:	Let's eat!
context: We'll have to camp.\Yeah, we'll just have to do it.\Leave the cooking to me.\This is where an adventurer really shines.\Being an adventurer has nothing to do with this.\We're camping out!\Yeah!\Let's eat! response:	This is good.
context: Yeah, we'll just have to do it.\Leave the cooking to me.\This is where an adventurer really shines.\Being an adventurer has nothing to do with this.\We're camping out!\Yeah!\Let's eat!\This is good. response:	Yeah, it's really good.
context: Leave the cooking to me.\This is where an adventurer really shines.\Being an adventurer has nothing to do with this.\We're camping out!\Yeah!\Let's eat!\This is good.\Yeah, it's really good. response:	It's just a little...
context: This is where an adventurer really shines.\Being an adventurer has nothing to do with this.\We're camping out!\Yeah!\Let's eat!\This is good.\Yeah, it's really good.\It's just a little... response:	The salt flavor is...
context: Being an adventurer has nothing to do with this.\We're camping out!\Yeah!\Let's eat!\This is good.\Yeah, it's really good.\It's just a little...\The salt flavor is... response:	Also...
context: We're camping out!\Yeah!\Let's eat!\This is good.\Yeah, it's really good.\It's just a little...\The salt flavor is...\Also... response:	Rudy!
context: Yeah!\Let's eat!\This is good.\Yeah, it's really good.\It's just a little...\The salt flavor is...\Also...\Rudy! response:	I'm sorry! I'm sorry! I'm sorry!
context: Let's eat!\This is good.\Yeah, it's really good.\It's just a little...\The salt flavor is...\Also...\Rudy!\I'm sorry! I'm sorry! I'm sorry! response:	When I'm with Nyanta, I can make it just fine...
context: This is good.\Yeah, it's really good.\It's just a little...\The salt flavor is...\Also...\Rudy!\I'm sorry! I'm sorry! I'm sorry!\When I'm with Nyanta, I can make it just fine... response:	You just haven't practiced enough.
context: Yeah, it's really good.\It's just a little...\The salt flavor is...\Also...\Rudy!\I'm sorry! I'm sorry! I'm sorry!\When I'm with Nyanta, I can make it just fine...\You just haven't practiced enough. response:	Don't worry about it.
context: It's just a little...\The salt flavor is...\Also...\Rudy!\I'm sorry! I'm sorry! I'm sorry!\When I'm with Nyanta, I can make it just fine...\You just haven't practiced enough.\Don't worry about it. response:	The chief would say, You simply need to improve, little by little.
context: The salt flavor is...\Also...\Rudy!\I'm sorry! I'm sorry! I'm sorry!\When I'm with Nyanta, I can make it just fine...\You just haven't practiced enough.\Don't worry about it.\The chief would say, You simply need to improve, little by little. response:	Right?
context: Also...\Rudy!\I'm sorry! I'm sorry! I'm sorry!\When I'm with Nyanta, I can make it just fine...\You just haven't practiced enough.\Don't worry about it.\The chief would say, You simply need to improve, little by little.\Right? response:	He's right, Serara.
context: Rudy!\I'm sorry! I'm sorry! I'm sorry!\When I'm with Nyanta, I can make it just fine...\You just haven't practiced enough.\Don't worry about it.\The chief would say, You simply need to improve, little by little.\Right?\He's right, Serara. response:	I wish we had a cooking skill.
context: I'm sorry! I'm sorry! I'm sorry!\When I'm with Nyanta, I can make it just fine...\You just haven't practiced enough.\Don't worry about it.\The chief would say, You simply need to improve, little by little.\Right?\He's right, Serara.\I wish we had a cooking skill. response:	Sorry to keep relying on you, Serara!
context: When I'm with Nyanta, I can make it just fine...\You just haven't practiced enough.\Don't worry about it.\The chief would say, You simply need to improve, little by little.\Right?\He's right, Serara.\I wish we had a cooking skill.\Sorry to keep relying on you, Serara! response:	That's right.
context: You just haven't practiced enough.\Don't worry about it.\The chief would say, You simply need to improve, little by little.\Right?\He's right, Serara.\I wish we had a cooking skill.\Sorry to keep relying on you, Serara!\That's right. response:	I need to keep a hold of myself.
context: Don't worry about it.\The chief would say, You simply need to improve, little by little.\Right?\He's right, Serara.\I wish we had a cooking skill.\Sorry to keep relying on you, Serara!\That's right.\I need to keep a hold of myself. response:	I've got the Newlywed's Apron Dress, after all!
context: The chief would say, You simply need to improve, little by little.\Right?\He's right, Serara.\I wish we had a cooking skill.\Sorry to keep relying on you, Serara!\That's right.\I need to keep a hold of myself.\I've got the Newlywed's Apron Dress, after all! response:	I need to do my best for Nyanta and for everyone else!
context: Right?\He's right, Serara.\I wish we had a cooking skill.\Sorry to keep relying on you, Serara!\That's right.\I need to keep a hold of myself.\I've got the Newlywed's Apron Dress, after all!\I need to do my best for Nyanta and for everyone else! response:	Looks like the next place we can stop is the town of Sazan.
context: He's right, Serara.\I wish we had a cooking skill.\Sorry to keep relying on you, Serara!\That's right.\I need to keep a hold of myself.\I've got the Newlywed's Apron Dress, after all!\I need to do my best for Nyanta and for everyone else!\Looks like the next place we can stop is the town of Sazan. response:	How long will it take to get there?
context: I wish we had a cooking skill.\Sorry to keep relying on you, Serara!\That's right.\I need to keep a hold of myself.\I've got the Newlywed's Apron Dress, after all!\I need to do my best for Nyanta and for everyone else!\Looks like the next place we can stop is the town of Sazan.\How long will it take to get there? response:	If we can only use the horses for six hours a day,
context: Sorry to keep relying on you, Serara!\That's right.\I need to keep a hold of myself.\I've got the Newlywed's Apron Dress, after all!\I need to do my best for Nyanta and for everyone else!\Looks like the next place we can stop is the town of Sazan.\How long will it take to get there?\If we can only use the horses for six hours a day, response:	it could take about three days.
context: That's right.\I need to keep a hold of myself.\I've got the Newlywed's Apron Dress, after all!\I need to do my best for Nyanta and for everyone else!\Looks like the next place we can stop is the town of Sazan.\How long will it take to get there?\If we can only use the horses for six hours a day,\it could take about three days. response:	Why is this road so twisty?
context: I need to keep a hold of myself.\I've got the Newlywed's Apron Dress, after all!\I need to do my best for Nyanta and for everyone else!\Looks like the next place we can stop is the town of Sazan.\How long will it take to get there?\If we can only use the horses for six hours a day,\it could take about three days.\Why is this road so twisty? response:	I wish it would just go straight.
context: I've got the Newlywed's Apron Dress, after all!\I need to do my best for Nyanta and for everyone else!\Looks like the next place we can stop is the town of Sazan.\How long will it take to get there?\If we can only use the horses for six hours a day,\it could take about three days.\Why is this road so twisty?\I wish it would just go straight. response:	Yeah, but as long as I get to travel with everyone like this,
context: I need to do my best for Nyanta and for everyone else!\Looks like the next place we can stop is the town of Sazan.\How long will it take to get there?\If we can only use the horses for six hours a day,\it could take about three days.\Why is this road so twisty?\I wish it would just go straight.\Yeah, but as long as I get to travel with everyone like this, response:	I don't care if it takes a long time.
context: Looks like the next place we can stop is the town of Sazan.\How long will it take to get there?\If we can only use the horses for six hours a day,\it could take about three days.\Why is this road so twisty?\I wish it would just go straight.\Yeah, but as long as I get to travel with everyone like this,\I don't care if it takes a long time. response:	I think Shiroe and the others sent us on this trip to teach us this stuff.
context: How long will it take to get there?\If we can only use the horses for six hours a day,\it could take about three days.\Why is this road so twisty?\I wish it would just go straight.\Yeah, but as long as I get to travel with everyone like this,\I don't care if it takes a long time.\I think Shiroe and the others sent us on this trip to teach us this stuff. response:	You're great, Minori.
context: If we can only use the horses for six hours a day,\it could take about three days.\Why is this road so twisty?\I wish it would just go straight.\Yeah, but as long as I get to travel with everyone like this,\I don't care if it takes a long time.\I think Shiroe and the others sent us on this trip to teach us this stuff.\You're great, Minori. response:	I feel like you've really grown up from the person you used to be.
context: it could take about three days.\Why is this road so twisty?\I wish it would just go straight.\Yeah, but as long as I get to travel with everyone like this,\I don't care if it takes a long time.\I think Shiroe and the others sent us on this trip to teach us this stuff.\You're great, Minori.\I feel like you've really grown up from the person you used to be. response:	Have I?
context: Why is this road so twisty?\I wish it would just go straight.\Yeah, but as long as I get to travel with everyone like this,\I don't care if it takes a long time.\I think Shiroe and the others sent us on this trip to teach us this stuff.\You're great, Minori.\I feel like you've really grown up from the person you used to be.\Have I? response:	I thought I'd grown up with you, but I guess I have a long way to go.
context: I wish it would just go straight.\Yeah, but as long as I get to travel with everyone like this,\I don't care if it takes a long time.\I think Shiroe and the others sent us on this trip to teach us this stuff.\You're great, Minori.\I feel like you've really grown up from the person you used to be.\Have I?\I thought I'd grown up with you, but I guess I have a long way to go. response:	That's not true.
context: Yeah, but as long as I get to travel with everyone like this,\I don't care if it takes a long time.\I think Shiroe and the others sent us on this trip to teach us this stuff.\You're great, Minori.\I feel like you've really grown up from the person you used to be.\Have I?\I thought I'd grown up with you, but I guess I have a long way to go.\That's not true. response:	You saved me back there.
