context: Teach Me How to Play Shogi (Continued) response:	Next I'll introduce the characteristics of each type of cat.
context: Pawn\Pawn!\He's a hard worker who moves ahead one step at a time-meow!\I may be the weakest piece,\My meaty paw punch will knock you silly-meow!\but there are scenarios where you can't win without me, so I'm quite important-meow.\Lance\Lance! response:	He's a single-minded fellow who's as straight as an arrow!
context: Pawn!\He's a hard worker who moves ahead one step at a time-meow!\I may be the weakest piece,\My meaty paw punch will knock you silly-meow!\but there are scenarios where you can't win without me, so I'm quite important-meow.\Lance\Lance!\He's a single-minded fellow who's as straight as an arrow! response:	I'll go straight ahead as far as you like! But I can't turn back-meow!
context: He's a hard worker who moves ahead one step at a time-meow!\I may be the weakest piece,\My meaty paw punch will knock you silly-meow!\but there are scenarios where you can't win without me, so I'm quite important-meow.\Lance\Lance!\He's a single-minded fellow who's as straight as an arrow!\I'll go straight ahead as far as you like! But I can't turn back-meow! response:	I'm kind of maladroit...
context: I may be the weakest piece,\My meaty paw punch will knock you silly-meow!\but there are scenarios where you can't win without me, so I'm quite important-meow.\Lance\Lance!\He's a single-minded fellow who's as straight as an arrow!\I'll go straight ahead as far as you like! But I can't turn back-meow!\I'm kind of maladroit... response:	Knight
context: My meaty paw punch will knock you silly-meow!\but there are scenarios where you can't win without me, so I'm quite important-meow.\Lance\Lance!\He's a single-minded fellow who's as straight as an arrow!\I'll go straight ahead as far as you like! But I can't turn back-meow!\I'm kind of maladroit...\Knight response:	Knight!
context: but there are scenarios where you can't win without me, so I'm quite important-meow.\Lance\Lance!\He's a single-minded fellow who's as straight as an arrow!\I'll go straight ahead as far as you like! But I can't turn back-meow!\I'm kind of maladroit...\Knight\Knight! response:	He can hop right and left!
context: Lance\Lance!\He's a single-minded fellow who's as straight as an arrow!\I'll go straight ahead as far as you like! But I can't turn back-meow!\I'm kind of maladroit...\Knight\Knight!\He can hop right and left! response:	Only I can jump over the heads of enemies and allies alike-meow!
context: Lance!\He's a single-minded fellow who's as straight as an arrow!\I'll go straight ahead as far as you like! But I can't turn back-meow!\I'm kind of maladroit...\Knight\Knight!\He can hop right and left!\Only I can jump over the heads of enemies and allies alike-meow! response:	I hop and then let loose a kangaroo punch!
context: He's a single-minded fellow who's as straight as an arrow!\I'll go straight ahead as far as you like! But I can't turn back-meow!\I'm kind of maladroit...\Knight\Knight!\He can hop right and left!\Only I can jump over the heads of enemies and allies alike-meow!\I hop and then let loose a kangaroo punch! response:	Silver General
context: I'll go straight ahead as far as you like! But I can't turn back-meow!\I'm kind of maladroit...\Knight\Knight!\He can hop right and left!\Only I can jump over the heads of enemies and allies alike-meow!\I hop and then let loose a kangaroo punch!\Silver General response:	Silver General!
context: I'm kind of maladroit...\Knight\Knight!\He can hop right and left!\Only I can jump over the heads of enemies and allies alike-meow!\I hop and then let loose a kangaroo punch!\Silver General\Silver General! response:	A cool guy with a little bit of an attitude!
context: Knight\Knight!\He can hop right and left!\Only I can jump over the heads of enemies and allies alike-meow!\I hop and then let loose a kangaroo punch!\Silver General\Silver General!\A cool guy with a little bit of an attitude! response:	When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow!
context: Knight!\He can hop right and left!\Only I can jump over the heads of enemies and allies alike-meow!\I hop and then let loose a kangaroo punch!\Silver General\Silver General!\A cool guy with a little bit of an attitude!\When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow! response:	But I'm wide open from the back and sides-meow.
context: He can hop right and left!\Only I can jump over the heads of enemies and allies alike-meow!\I hop and then let loose a kangaroo punch!\Silver General\Silver General!\A cool guy with a little bit of an attitude!\When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow!\But I'm wide open from the back and sides-meow. response:	Gold General
context: Only I can jump over the heads of enemies and allies alike-meow!\I hop and then let loose a kangaroo punch!\Silver General\Silver General!\A cool guy with a little bit of an attitude!\When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow!\But I'm wide open from the back and sides-meow.\Gold General response:	Gold General!
context: I hop and then let loose a kangaroo punch!\Silver General\Silver General!\A cool guy with a little bit of an attitude!\When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow!\But I'm wide open from the back and sides-meow.\Gold General\Gold General! response:	The confident bodyguard who protects the king!
context: Silver General\Silver General!\A cool guy with a little bit of an attitude!\When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow!\But I'm wide open from the back and sides-meow.\Gold General\Gold General!\The confident bodyguard who protects the king! response:	I like being near the king!
context: Silver General!\A cool guy with a little bit of an attitude!\When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow!\But I'm wide open from the back and sides-meow.\Gold General\Gold General!\The confident bodyguard who protects the king!\I like being near the king! response:	I'm the honest cat who has nothing to hide-meow.
context: A cool guy with a little bit of an attitude!\When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow!\But I'm wide open from the back and sides-meow.\Gold General\Gold General!\The confident bodyguard who protects the king!\I like being near the king!\I'm the honest cat who has nothing to hide-meow. response:	And I love getting close to and then capturing the enemy king, too.
context: When it comes to cool attacks, I'm a star! I'm good for both offense and defense-meow!\But I'm wide open from the back and sides-meow.\Gold General\Gold General!\The confident bodyguard who protects the king!\I like being near the king!\I'm the honest cat who has nothing to hide-meow.\And I love getting close to and then capturing the enemy king, too. response:	Rook
context: But I'm wide open from the back and sides-meow.\Gold General\Gold General!\The confident bodyguard who protects the king!\I like being near the king!\I'm the honest cat who has nothing to hide-meow.\And I love getting close to and then capturing the enemy king, too.\Rook response:	Rook!
context: Gold General\Gold General!\The confident bodyguard who protects the king!\I like being near the king!\I'm the honest cat who has nothing to hide-meow.\And I love getting close to and then capturing the enemy king, too.\Rook\Rook! response:	The strongest warrior! A true hero-meow!
context: Gold General!\The confident bodyguard who protects the king!\I like being near the king!\I'm the honest cat who has nothing to hide-meow.\And I love getting close to and then capturing the enemy king, too.\Rook\Rook!\The strongest warrior! A true hero-meow! response:	I can fly both horizontally and vertically-meow!
context: The confident bodyguard who protects the king!\I like being near the king!\I'm the honest cat who has nothing to hide-meow.\And I love getting close to and then capturing the enemy king, too.\Rook\Rook!\The strongest warrior! A true hero-meow!\I can fly both horizontally and vertically-meow! response:	I'm popular with men and women of all ages-meow!
context: I like being near the king!\I'm the honest cat who has nothing to hide-meow.\And I love getting close to and then capturing the enemy king, too.\Rook\Rook!\The strongest warrior! A true hero-meow!\I can fly both horizontally and vertically-meow!\I'm popular with men and women of all ages-meow! response:	Bishop
context: I'm the honest cat who has nothing to hide-meow.\And I love getting close to and then capturing the enemy king, too.\Rook\Rook!\The strongest warrior! A true hero-meow!\I can fly both horizontally and vertically-meow!\I'm popular with men and women of all ages-meow!\Bishop response:	Bishop!
context: And I love getting close to and then capturing the enemy king, too.\Rook\Rook!\The strongest warrior! A true hero-meow!\I can fly both horizontally and vertically-meow!\I'm popular with men and women of all ages-meow!\Bishop\Bishop! response:	A heavyweight missile who's effective diagonally as far as the eye can see!
context: Rook\Rook!\The strongest warrior! A true hero-meow!\I can fly both horizontally and vertically-meow!\I'm popular with men and women of all ages-meow!\Bishop\Bishop!\A heavyweight missile who's effective diagonally as far as the eye can see! response:	I'm a lonely guy who's always risking his life.
context: Rook!\The strongest warrior! A true hero-meow!\I can fly both horizontally and vertically-meow!\I'm popular with men and women of all ages-meow!\Bishop\Bishop!\A heavyweight missile who's effective diagonally as far as the eye can see!\I'm a lonely guy who's always risking his life. response:	Just be careful, because when I'm attacking, my defense might be weak.
context: The strongest warrior! A true hero-meow!\I can fly both horizontally and vertically-meow!\I'm popular with men and women of all ages-meow!\Bishop\Bishop!\A heavyweight missile who's effective diagonally as far as the eye can see!\I'm a lonely guy who's always risking his life.\Just be careful, because when I'm attacking, my defense might be weak. response:	King
context: I can fly both horizontally and vertically-meow!\I'm popular with men and women of all ages-meow!\Bishop\Bishop!\A heavyweight missile who's effective diagonally as far as the eye can see!\I'm a lonely guy who's always risking his life.\Just be careful, because when I'm attacking, my defense might be weak.\King response:	King!
context: I'm popular with men and women of all ages-meow!\Bishop\Bishop!\A heavyweight missile who's effective diagonally as far as the eye can see!\I'm a lonely guy who's always risking his life.\Just be careful, because when I'm attacking, my defense might be weak.\King\King! response:	Without me, there won't even be a game. So don't leave me alone-meow!
context: Bishop\Bishop!\A heavyweight missile who's effective diagonally as far as the eye can see!\I'm a lonely guy who's always risking his life.\Just be careful, because when I'm attacking, my defense might be weak.\King\King!\Without me, there won't even be a game. So don't leave me alone-meow! response:	If I get captured, the game's over-meow.
context: Bishop!\A heavyweight missile who's effective diagonally as far as the eye can see!\I'm a lonely guy who's always risking his life.\Just be careful, because when I'm attacking, my defense might be weak.\King\King!\Without me, there won't even be a game. So don't leave me alone-meow!\If I get captured, the game's over-meow. response:	Therefore, treat me like royalty-meow!
context: A heavyweight missile who's effective diagonally as far as the eye can see!\I'm a lonely guy who's always risking his life.\Just be careful, because when I'm attacking, my defense might be weak.\King\King!\Without me, there won't even be a game. So don't leave me alone-meow!\If I get captured, the game's over-meow.\Therefore, treat me like royalty-meow! response:	Only the king can move in every direction? Wow!
context: I'm a lonely guy who's always risking his life.\Just be careful, because when I'm attacking, my defense might be weak.\King\King!\Without me, there won't even be a game. So don't leave me alone-meow!\If I get captured, the game's over-meow.\Therefore, treat me like royalty-meow!\Only the king can move in every direction? Wow! response:	That's right! After all, he's the king!
context: Just be careful, because when I'm attacking, my defense might be weak.\King\King!\Without me, there won't even be a game. So don't leave me alone-meow!\If I get captured, the game's over-meow.\Therefore, treat me like royalty-meow!\Only the king can move in every direction? Wow!\That's right! After all, he's the king! response:	Swish
context: King\King!\Without me, there won't even be a game. So don't leave me alone-meow!\If I get captured, the game's over-meow.\Therefore, treat me like royalty-meow!\Only the king can move in every direction? Wow!\That's right! After all, he's the king!\Swish response:	But also when needed, he's a great fighter in his own right!
context: King!\Without me, there won't even be a game. So don't leave me alone-meow!\If I get captured, the game's over-meow.\Therefore, treat me like royalty-meow!\Only the king can move in every direction? Wow!\That's right! After all, he's the king!\Swish\But also when needed, he's a great fighter in his own right! response:	Swish
context: Without me, there won't even be a game. So don't leave me alone-meow!\If I get captured, the game's over-meow.\Therefore, treat me like royalty-meow!\Only the king can move in every direction? Wow!\That's right! After all, he's the king!\Swish\But also when needed, he's a great fighter in his own right!\Swish response:	I see. So each piece has its own personality!
context: If I get captured, the game's over-meow.\Therefore, treat me like royalty-meow!\Only the king can move in every direction? Wow!\That's right! After all, he's the king!\Swish\But also when needed, he's a great fighter in his own right!\Swish\I see. So each piece has its own personality! response:	Yeah. And moreover, the awesome thing about these Shogi Land Kitties
context: Therefore, treat me like royalty-meow!\Only the king can move in every direction? Wow!\That's right! After all, he's the king!\Swish\But also when needed, he's a great fighter in his own right!\Swish\I see. So each piece has its own personality!\Yeah. And moreover, the awesome thing about these Shogi Land Kitties response:	is that when they advance step by step and finally reach the enemy camp...
context: Only the king can move in every direction? Wow!\That's right! After all, he's the king!\Swish\But also when needed, he's a great fighter in his own right!\Swish\I see. So each piece has its own personality!\Yeah. And moreover, the awesome thing about these Shogi Land Kitties\is that when they advance step by step and finally reach the enemy camp... response:	Enemy Army
context: That's right! After all, he's the king!\Swish\But also when needed, he's a great fighter in his own right!\Swish\I see. So each piece has its own personality!\Yeah. And moreover, the awesome thing about these Shogi Land Kitties\is that when they advance step by step and finally reach the enemy camp...\Enemy Army response:	J-Just one more step to the enemy's camp-meow...
context: Swish\But also when needed, he's a great fighter in his own right!\Swish\I see. So each piece has its own personality!\Yeah. And moreover, the awesome thing about these Shogi Land Kitties\is that when they advance step by step and finally reach the enemy camp...\Enemy Army\J-Just one more step to the enemy's camp-meow... response:	Yes! I reached the enemy camp-meow!
context: But also when needed, he's a great fighter in his own right!\Swish\I see. So each piece has its own personality!\Yeah. And moreover, the awesome thing about these Shogi Land Kitties\is that when they advance step by step and finally reach the enemy camp...\Enemy Army\J-Just one more step to the enemy's camp-meow...\Yes! I reached the enemy camp-meow! response:	Pawn > Promoted Pawn (has the same abilities as Gold!!)
context: Swish\I see. So each piece has its own personality!\Yeah. And moreover, the awesome thing about these Shogi Land Kitties\is that when they advance step by step and finally reach the enemy camp...\Enemy Army\J-Just one more step to the enemy's camp-meow...\Yes! I reached the enemy camp-meow!\Pawn > Promoted Pawn (has the same abilities as Gold!!) response:	Meowy! I got promoted-meow!
context: I see. So each piece has its own personality!\Yeah. And moreover, the awesome thing about these Shogi Land Kitties\is that when they advance step by step and finally reach the enemy camp...\Enemy Army\J-Just one more step to the enemy's camp-meow...\Yes! I reached the enemy camp-meow!\Pawn > Promoted Pawn (has the same abilities as Gold!!)\Meowy! I got promoted-meow! response:	- The same as gold! The same as gold! - Congratulations! Please take this!
context: Yeah. And moreover, the awesome thing about these Shogi Land Kitties\is that when they advance step by step and finally reach the enemy camp...\Enemy Army\J-Just one more step to the enemy's camp-meow...\Yes! I reached the enemy camp-meow!\Pawn > Promoted Pawn (has the same abilities as Gold!!)\Meowy! I got promoted-meow!\- The same as gold! The same as gold! - Congratulations! Please take this! response:	Amazing!
context: is that when they advance step by step and finally reach the enemy camp...\Enemy Army\J-Just one more step to the enemy's camp-meow...\Yes! I reached the enemy camp-meow!\Pawn > Promoted Pawn (has the same abilities as Gold!!)\Meowy! I got promoted-meow!\- The same as gold! The same as gold! - Congratulations! Please take this!\Amazing! response:	Right?
context: Enemy Army\J-Just one more step to the enemy's camp-meow...\Yes! I reached the enemy camp-meow!\Pawn > Promoted Pawn (has the same abilities as Gold!!)\Meowy! I got promoted-meow!\- The same as gold! The same as gold! - Congratulations! Please take this!\Amazing!\Right? response:	Damn you, Nikaidou...
context: J-Just one more step to the enemy's camp-meow...\Yes! I reached the enemy camp-meow!\Pawn > Promoted Pawn (has the same abilities as Gold!!)\Meowy! I got promoted-meow!\- The same as gold! The same as gold! - Congratulations! Please take this!\Amazing!\Right?\Damn you, Nikaidou... response:	Squeee Squeee
context: Yes! I reached the enemy camp-meow!\Pawn > Promoted Pawn (has the same abilities as Gold!!)\Meowy! I got promoted-meow!\- The same as gold! The same as gold! - Congratulations! Please take this!\Amazing!\Right?\Damn you, Nikaidou...\Squeee Squeee response:	But this book is pretty easy to understand.
context: Pawn > Promoted Pawn (has the same abilities as Gold!!)\Meowy! I got promoted-meow!\- The same as gold! The same as gold! - Congratulations! Please take this!\Amazing!\Right?\Damn you, Nikaidou...\Squeee Squeee\But this book is pretty easy to understand. response:	Where is it published from?
context: Meowy! I got promoted-meow!\- The same as gold! The same as gold! - Congratulations! Please take this!\Amazing!\Right?\Damn you, Nikaidou...\Squeee Squeee\But this book is pretty easy to understand.\Where is it published from? response:	There's no publisher information. No bar code either...
context: - The same as gold! The same as gold! - Congratulations! Please take this!\Amazing!\Right?\Damn you, Nikaidou...\Squeee Squeee\But this book is pretty easy to understand.\Where is it published from?\There's no publisher information. No bar code either... response:	And no price, either.
context: Amazing!\Right?\Damn you, Nikaidou...\Squeee Squeee\But this book is pretty easy to understand.\Where is it published from?\There's no publisher information. No bar code either...\And no price, either. response:	But it looks pretty fancy...
context: Right?\Damn you, Nikaidou...\Squeee Squeee\But this book is pretty easy to understand.\Where is it published from?\There's no publisher information. No bar code either...\And no price, either.\But it looks pretty fancy... response:	Written and Illustrated by Harunobu Nikaidou
context: Damn you, Nikaidou...\Squeee Squeee\But this book is pretty easy to understand.\Where is it published from?\There's no publisher information. No bar code either...\And no price, either.\But it looks pretty fancy...\Written and Illustrated by Harunobu Nikaidou response:	What?!
context: Squeee Squeee\But this book is pretty easy to understand.\Where is it published from?\There's no publisher information. No bar code either...\And no price, either.\But it looks pretty fancy...\Written and Illustrated by Harunobu Nikaidou\What?! response:	N-N-N-N-Nikaidou, don't tell me you...
context: But this book is pretty easy to understand.\Where is it published from?\There's no publisher information. No bar code either...\And no price, either.\But it looks pretty fancy...\Written and Illustrated by Harunobu Nikaidou\What?!\N-N-N-N-Nikaidou, don't tell me you... response:	Yeah, I wrote and drew it. You noticed!
context: Where is it published from?\There's no publisher information. No bar code either...\And no price, either.\But it looks pretty fancy...\Written and Illustrated by Harunobu Nikaidou\What?!\N-N-N-N-Nikaidou, don't tell me you...\Yeah, I wrote and drew it. You noticed! response:	Shine
context: There's no publisher information. No bar code either...\And no price, either.\But it looks pretty fancy...\Written and Illustrated by Harunobu Nikaidou\What?!\N-N-N-N-Nikaidou, don't tell me you...\Yeah, I wrote and drew it. You noticed!\Shine response:	Wow, really? That's amazing! I wish I could draw like that!
context: And no price, either.\But it looks pretty fancy...\Written and Illustrated by Harunobu Nikaidou\What?!\N-N-N-N-Nikaidou, don't tell me you...\Yeah, I wrote and drew it. You noticed!\Shine\Wow, really? That's amazing! I wish I could draw like that! response:	Wow! Wow! Wow! Wow!
context: But it looks pretty fancy...\Written and Illustrated by Harunobu Nikaidou\What?!\N-N-N-N-Nikaidou, don't tell me you...\Yeah, I wrote and drew it. You noticed!\Shine\Wow, really? That's amazing! I wish I could draw like that!\Wow! Wow! Wow! Wow! response:	Is it magic?
context: Written and Illustrated by Harunobu Nikaidou\What?!\N-N-N-N-Nikaidou, don't tell me you...\Yeah, I wrote and drew it. You noticed!\Shine\Wow, really? That's amazing! I wish I could draw like that!\Wow! Wow! Wow! Wow!\Is it magic? response:	I wonder if my drawings are easy to understand.
context: What?!\N-N-N-N-Nikaidou, don't tell me you...\Yeah, I wrote and drew it. You noticed!\Shine\Wow, really? That's amazing! I wish I could draw like that!\Wow! Wow! Wow! Wow!\Is it magic?\I wonder if my drawings are easy to understand. response:	Young Master, this is wonderful! I'm touched!
context: N-N-N-N-Nikaidou, don't tell me you...\Yeah, I wrote and drew it. You noticed!\Shine\Wow, really? That's amazing! I wish I could draw like that!\Wow! Wow! Wow! Wow!\Is it magic?\I wonder if my drawings are easy to understand.\Young Master, this is wonderful! I'm touched! response:	Yep. Actually, I've loved to draw ever since I was a kid.
context: Yeah, I wrote and drew it. You noticed!\Shine\Wow, really? That's amazing! I wish I could draw like that!\Wow! Wow! Wow! Wow!\Is it magic?\I wonder if my drawings are easy to understand.\Young Master, this is wonderful! I'm touched!\Yep. Actually, I've loved to draw ever since I was a kid. response:	I wanted to contribute to the popularization of my hobby,
context: Shine\Wow, really? That's amazing! I wish I could draw like that!\Wow! Wow! Wow! Wow!\Is it magic?\I wonder if my drawings are easy to understand.\Young Master, this is wonderful! I'm touched!\Yep. Actually, I've loved to draw ever since I was a kid.\I wanted to contribute to the popularization of my hobby, response:	And so, I even asked the Daitokyo Printing Company to throw it together simply like this,
context: Wow, really? That's amazing! I wish I could draw like that!\Wow! Wow! Wow! Wow!\Is it magic?\I wonder if my drawings are easy to understand.\Young Master, this is wonderful! I'm touched!\Yep. Actually, I've loved to draw ever since I was a kid.\I wanted to contribute to the popularization of my hobby,\And so, I even asked the Daitokyo Printing Company to throw it together simply like this, response:	then distributed copies to relatives at the Nikaidou Family New Year's party.
context: Wow! Wow! Wow! Wow!\Is it magic?\I wonder if my drawings are easy to understand.\Young Master, this is wonderful! I'm touched!\Yep. Actually, I've loved to draw ever since I was a kid.\I wanted to contribute to the popularization of my hobby,\And so, I even asked the Daitokyo Printing Company to throw it together simply like this,\then distributed copies to relatives at the Nikaidou Family New Year's party. response:	That's incredible!
context: Is it magic?\I wonder if my drawings are easy to understand.\Young Master, this is wonderful! I'm touched!\Yep. Actually, I've loved to draw ever since I was a kid.\I wanted to contribute to the popularization of my hobby,\And so, I even asked the Daitokyo Printing Company to throw it together simply like this,\then distributed copies to relatives at the Nikaidou Family New Year's party.\That's incredible! response:	Th-Th-Th-Th-Th...
context: I wonder if my drawings are easy to understand.\Young Master, this is wonderful! I'm touched!\Yep. Actually, I've loved to draw ever since I was a kid.\I wanted to contribute to the popularization of my hobby,\And so, I even asked the Daitokyo Printing Company to throw it together simply like this,\then distributed copies to relatives at the Nikaidou Family New Year's party.\That's incredible!\Th-Th-Th-Th-Th... response:	Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed
context: Young Master, this is wonderful! I'm touched!\Yep. Actually, I've loved to draw ever since I was a kid.\I wanted to contribute to the popularization of my hobby,\And so, I even asked the Daitokyo Printing Company to throw it together simply like this,\then distributed copies to relatives at the Nikaidou Family New Year's party.\That's incredible!\Th-Th-Th-Th-Th...\Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed response:	Super Fancy!
context: Yep. Actually, I've loved to draw ever since I was a kid.\I wanted to contribute to the popularization of my hobby,\And so, I even asked the Daitokyo Printing Company to throw it together simply like this,\then distributed copies to relatives at the Nikaidou Family New Year's party.\That's incredible!\Th-Th-Th-Th-Th...\Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed\Super Fancy! response:	Throw it together?
context: I wanted to contribute to the popularization of my hobby,\And so, I even asked the Daitokyo Printing Company to throw it together simply like this,\then distributed copies to relatives at the Nikaidou Family New Year's party.\That's incredible!\Th-Th-Th-Th-Th...\Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed\Super Fancy!\Throw it together? response:	I'm just glad they were interested.
context: And so, I even asked the Daitokyo Printing Company to throw it together simply like this,\then distributed copies to relatives at the Nikaidou Family New Year's party.\That's incredible!\Th-Th-Th-Th-Th...\Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed\Super Fancy!\Throw it together?\I'm just glad they were interested. response:	Well, the best thing to do is introduce the detailed rules as they go.
context: then distributed copies to relatives at the Nikaidou Family New Year's party.\That's incredible!\Th-Th-Th-Th-Th...\Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed\Super Fancy!\Throw it together?\I'm just glad they were interested.\Well, the best thing to do is introduce the detailed rules as they go. response:	This being the first day, I'm pleased with what we accomplished.
context: That's incredible!\Th-Th-Th-Th-Th...\Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed\Super Fancy!\Throw it together?\I'm just glad they were interested.\Well, the best thing to do is introduce the detailed rules as they go.\This being the first day, I'm pleased with what we accomplished. response:	In general, we did a good job.
context: Th-Th-Th-Th-Th...\Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed\Super Fancy!\Throw it together?\I'm just glad they were interested.\Well, the best thing to do is introduce the detailed rules as they go.\This being the first day, I'm pleased with what we accomplished.\In general, we did a good job. response:	Clench
context: Deluxe edition With Gold Leaf UV Processing Cloth Back Cover Spin Endpapers Endsheets Flower pattern-bound spine Trans TUVC Embossed\Super Fancy!\Throw it together?\I'm just glad they were interested.\Well, the best thing to do is introduce the detailed rules as they go.\This being the first day, I'm pleased with what we accomplished.\In general, we did a good job.\Clench response:	Yeah!
context: Super Fancy!\Throw it together?\I'm just glad they were interested.\Well, the best thing to do is introduce the detailed rules as they go.\This being the first day, I'm pleased with what we accomplished.\In general, we did a good job.\Clench\Yeah! response:	This is how you build the future, taking one small step at a time!
context: Throw it together?\I'm just glad they were interested.\Well, the best thing to do is introduce the detailed rules as they go.\This being the first day, I'm pleased with what we accomplished.\In general, we did a good job.\Clench\Yeah!\This is how you build the future, taking one small step at a time! response:	Um, the station isn't this way.
context: I'm just glad they were interested.\Well, the best thing to do is introduce the detailed rules as they go.\This being the first day, I'm pleased with what we accomplished.\In general, we did a good job.\Clench\Yeah!\This is how you build the future, taking one small step at a time!\Um, the station isn't this way. response:	How far do you intend to accompany me?
context: Well, the best thing to do is introduce the detailed rules as they go.\This being the first day, I'm pleased with what we accomplished.\In general, we did a good job.\Clench\Yeah!\This is how you build the future, taking one small step at a time!\Um, the station isn't this way.\How far do you intend to accompany me? response:	How far? Your apartment, of course!
context: This being the first day, I'm pleased with what we accomplished.\In general, we did a good job.\Clench\Yeah!\This is how you build the future, taking one small step at a time!\Um, the station isn't this way.\How far do you intend to accompany me?\How far? Your apartment, of course! response:	What?
context: In general, we did a good job.\Clench\Yeah!\This is how you build the future, taking one small step at a time!\Um, the station isn't this way.\How far do you intend to accompany me?\How far? Your apartment, of course!\What? response:	O-Of course... not. Not, right?
context: Clench\Yeah!\This is how you build the future, taking one small step at a time!\Um, the station isn't this way.\How far do you intend to accompany me?\How far? Your apartment, of course!\What?\O-Of course... not. Not, right? response:	It'll be fine.
context: Yeah!\This is how you build the future, taking one small step at a time!\Um, the station isn't this way.\How far do you intend to accompany me?\How far? Your apartment, of course!\What?\O-Of course... not. Not, right?\It'll be fine. response:	Why would I shy away from sleeping over at my best friend's place?
context: This is how you build the future, taking one small step at a time!\Um, the station isn't this way.\How far do you intend to accompany me?\How far? Your apartment, of course!\What?\O-Of course... not. Not, right?\It'll be fine.\Why would I shy away from sleeping over at my best friend's place? response:	But let's try to shy away! And I'm not your best friend.
context: Um, the station isn't this way.\How far do you intend to accompany me?\How far? Your apartment, of course!\What?\O-Of course... not. Not, right?\It'll be fine.\Why would I shy away from sleeping over at my best friend's place?\But let's try to shy away! And I'm not your best friend. response:	Well, don't worry about it.
context: How far do you intend to accompany me?\How far? Your apartment, of course!\What?\O-Of course... not. Not, right?\It'll be fine.\Why would I shy away from sleeping over at my best friend's place?\But let's try to shy away! And I'm not your best friend.\Well, don't worry about it. response:	I do worry! And so should you!
context: How far? Your apartment, of course!\What?\O-Of course... not. Not, right?\It'll be fine.\Why would I shy away from sleeping over at my best friend's place?\But let's try to shy away! And I'm not your best friend.\Well, don't worry about it.\I do worry! And so should you! response:	Master Kiriyama, Master Harunobu.
