context: Maou... response:	Chiho, I
context: A dream where I went back to Ente Isla, eh?\And? What happens to me after that?\Huh? Well...\That's, uh... Hehehe...\Well, whatever.\It's impossible for me now.\I don't have the kind of power required for that.\But man, yesterday sure was tiring. response:	I had to restore the destroyed buildings,
context: And? What happens to me after that?\Huh? Well...\That's, uh... Hehehe...\Well, whatever.\It's impossible for me now.\I don't have the kind of power required for that.\But man, yesterday sure was tiring.\I had to restore the destroyed buildings, response:	and let's not forget that I opened a gate and threw Sariel in.
context: Huh? Well...\That's, uh... Hehehe...\Well, whatever.\It's impossible for me now.\I don't have the kind of power required for that.\But man, yesterday sure was tiring.\I had to restore the destroyed buildings,\and let's not forget that I opened a gate and threw Sariel in. response:	That cost me all the power I had.
context: That's, uh... Hehehe...\Well, whatever.\It's impossible for me now.\I don't have the kind of power required for that.\But man, yesterday sure was tiring.\I had to restore the destroyed buildings,\and let's not forget that I opened a gate and threw Sariel in.\That cost me all the power I had. response:	I see...
context: Well, whatever.\It's impossible for me now.\I don't have the kind of power required for that.\But man, yesterday sure was tiring.\I had to restore the destroyed buildings,\and let's not forget that I opened a gate and threw Sariel in.\That cost me all the power I had.\I see... response:	Chiho, where's Maou?
context: It's impossible for me now.\I don't have the kind of power required for that.\But man, yesterday sure was tiring.\I had to restore the destroyed buildings,\and let's not forget that I opened a gate and threw Sariel in.\That cost me all the power I had.\I see...\Chiho, where's Maou? response:	You called?
context: I don't have the kind of power required for that.\But man, yesterday sure was tiring.\I had to restore the destroyed buildings,\and let's not forget that I opened a gate and threw Sariel in.\That cost me all the power I had.\I see...\Chiho, where's Maou?\You called? response:	Kawacchi told me you ran off last night, mop in hand, and didn't come back.
context: But man, yesterday sure was tiring.\I had to restore the destroyed buildings,\and let's not forget that I opened a gate and threw Sariel in.\That cost me all the power I had.\I see...\Chiho, where's Maou?\You called?\Kawacchi told me you ran off last night, mop in hand, and didn't come back. response:	Well, uh...
context: I had to restore the destroyed buildings,\and let's not forget that I opened a gate and threw Sariel in.\That cost me all the power I had.\I see...\Chiho, where's Maou?\You called?\Kawacchi told me you ran off last night, mop in hand, and didn't come back.\Well, uh... response:	Why are you answering?
context: and let's not forget that I opened a gate and threw Sariel in.\That cost me all the power I had.\I see...\Chiho, where's Maou?\You called?\Kawacchi told me you ran off last night, mop in hand, and didn't come back.\Well, uh...\Why are you answering? response:	Sadao saved us.
context: That cost me all the power I had.\I see...\Chiho, where's Maou?\You called?\Kawacchi told me you ran off last night, mop in hand, and didn't come back.\Well, uh...\Why are you answering?\Sadao saved us. response:	Hello.
context: I see...\Chiho, where's Maou?\You called?\Kawacchi told me you ran off last night, mop in hand, and didn't come back.\Well, uh...\Why are you answering?\Sadao saved us.\Hello. response:	Looks like Crestia Bell's gone to Maou's place.
context: Chiho, where's Maou?\You called?\Kawacchi told me you ran off last night, mop in hand, and didn't come back.\Well, uh...\Why are you answering?\Sadao saved us.\Hello.\Looks like Crestia Bell's gone to Maou's place. response:	It's all well and good that you want to keep an eye on everyone,
context: You called?\Kawacchi told me you ran off last night, mop in hand, and didn't come back.\Well, uh...\Why are you answering?\Sadao saved us.\Hello.\Looks like Crestia Bell's gone to Maou's place.\It's all well and good that you want to keep an eye on everyone, response:	but stop spying on people already
context: Kawacchi told me you ran off last night, mop in hand, and didn't come back.\Well, uh...\Why are you answering?\Sadao saved us.\Hello.\Looks like Crestia Bell's gone to Maou's place.\It's all well and good that you want to keep an eye on everyone,\but stop spying on people already response:	Wait!
context: Well, uh...\Why are you answering?\Sadao saved us.\Hello.\Looks like Crestia Bell's gone to Maou's place.\It's all well and good that you want to keep an eye on everyone,\but stop spying on people already\Wait! response:	You put a transmitter on Emilia and Bell?!
context: Why are you answering?\Sadao saved us.\Hello.\Looks like Crestia Bell's gone to Maou's place.\It's all well and good that you want to keep an eye on everyone,\but stop spying on people already\Wait!\You put a transmitter on Emilia and Bell?! response:	How much did they cost?!
context: Sadao saved us.\Hello.\Looks like Crestia Bell's gone to Maou's place.\It's all well and good that you want to keep an eye on everyone,\but stop spying on people already\Wait!\You put a transmitter on Emilia and Bell?!\How much did they cost?! response:	Hey, don't touch me with those soapy hands.
context: Hello.\Looks like Crestia Bell's gone to Maou's place.\It's all well and good that you want to keep an eye on everyone,\but stop spying on people already\Wait!\You put a transmitter on Emilia and Bell?!\How much did they cost?!\Hey, don't touch me with those soapy hands. response:	Pardon me. I'm Kamazuki Suzuno.
context: Looks like Crestia Bell's gone to Maou's place.\It's all well and good that you want to keep an eye on everyone,\but stop spying on people already\Wait!\You put a transmitter on Emilia and Bell?!\How much did they cost?!\Hey, don't touch me with those soapy hands.\Pardon me. I'm Kamazuki Suzuno. response:	Last night, Chiho and I were on our way home
context: It's all well and good that you want to keep an eye on everyone,\but stop spying on people already\Wait!\You put a transmitter on Emilia and Bell?!\How much did they cost?!\Hey, don't touch me with those soapy hands.\Pardon me. I'm Kamazuki Suzuno.\Last night, Chiho and I were on our way home response:	when a pervert started chasing us.
context: but stop spying on people already\Wait!\You put a transmitter on Emilia and Bell?!\How much did they cost?!\Hey, don't touch me with those soapy hands.\Pardon me. I'm Kamazuki Suzuno.\Last night, Chiho and I were on our way home\when a pervert started chasing us. response:	Sadao rushed to our aid.
context: Wait!\You put a transmitter on Emilia and Bell?!\How much did they cost?!\Hey, don't touch me with those soapy hands.\Pardon me. I'm Kamazuki Suzuno.\Last night, Chiho and I were on our way home\when a pervert started chasing us.\Sadao rushed to our aid. response:	That's right! Who knows what would've happened to us if Maou hadn't come to help?!
context: You put a transmitter on Emilia and Bell?!\How much did they cost?!\Hey, don't touch me with those soapy hands.\Pardon me. I'm Kamazuki Suzuno.\Last night, Chiho and I were on our way home\when a pervert started chasing us.\Sadao rushed to our aid.\That's right! Who knows what would've happened to us if Maou hadn't come to help?! response:	And all you took was a mop?
context: How much did they cost?!\Hey, don't touch me with those soapy hands.\Pardon me. I'm Kamazuki Suzuno.\Last night, Chiho and I were on our way home\when a pervert started chasing us.\Sadao rushed to our aid.\That's right! Who knows what would've happened to us if Maou hadn't come to help?!\And all you took was a mop? response:	He was a tough opponent.
context: Hey, don't touch me with those soapy hands.\Pardon me. I'm Kamazuki Suzuno.\Last night, Chiho and I were on our way home\when a pervert started chasing us.\Sadao rushed to our aid.\That's right! Who knows what would've happened to us if Maou hadn't come to help?!\And all you took was a mop?\He was a tough opponent. response:	Oh, well, if that's what happened...
context: Pardon me. I'm Kamazuki Suzuno.\Last night, Chiho and I were on our way home\when a pervert started chasing us.\Sadao rushed to our aid.\That's right! Who knows what would've happened to us if Maou hadn't come to help?!\And all you took was a mop?\He was a tough opponent.\Oh, well, if that's what happened... response:	Excuse me!
context: Last night, Chiho and I were on our way home\when a pervert started chasing us.\Sadao rushed to our aid.\That's right! Who knows what would've happened to us if Maou hadn't come to help?!\And all you took was a mop?\He was a tough opponent.\Oh, well, if that's what happened...\Excuse me! response:	Ms. Kisaki, we found a person in the freezer!
context: when a pervert started chasing us.\Sadao rushed to our aid.\That's right! Who knows what would've happened to us if Maou hadn't come to help?!\And all you took was a mop?\He was a tough opponent.\Oh, well, if that's what happened...\Excuse me!\Ms. Kisaki, we found a person in the freezer! response:	Oh.
context: Sadao rushed to our aid.\That's right! Who knows what would've happened to us if Maou hadn't come to help?!\And all you took was a mop?\He was a tough opponent.\Oh, well, if that's what happened...\Excuse me!\Ms. Kisaki, we found a person in the freezer!\Oh. response:	Sariel...
context: That's right! Who knows what would've happened to us if Maou hadn't come to help?!\And all you took was a mop?\He was a tough opponent.\Oh, well, if that's what happened...\Excuse me!\Ms. Kisaki, we found a person in the freezer!\Oh.\Sariel... response:	Didn't you say you threw him into a gate?
context: And all you took was a mop?\He was a tough opponent.\Oh, well, if that's what happened...\Excuse me!\Ms. Kisaki, we found a person in the freezer!\Oh.\Sariel...\Didn't you say you threw him into a gate? response:	Sadao, could it be that the bamboo decoration responded to your magic
context: He was a tough opponent.\Oh, well, if that's what happened...\Excuse me!\Ms. Kisaki, we found a person in the freezer!\Oh.\Sariel...\Didn't you say you threw him into a gate?\Sadao, could it be that the bamboo decoration responded to your magic response:	and made the exit appear inside the store?
context: Oh, well, if that's what happened...\Excuse me!\Ms. Kisaki, we found a person in the freezer!\Oh.\Sariel...\Didn't you say you threw him into a gate?\Sadao, could it be that the bamboo decoration responded to your magic\and made the exit appear inside the store? response:	Have you come to?
context: Excuse me!\Ms. Kisaki, we found a person in the freezer!\Oh.\Sariel...\Didn't you say you threw him into a gate?\Sadao, could it be that the bamboo decoration responded to your magic\and made the exit appear inside the store?\Have you come to? response:	Are you okay?
context: Ms. Kisaki, we found a person in the freezer!\Oh.\Sariel...\Didn't you say you threw him into a gate?\Sadao, could it be that the bamboo decoration responded to your magic\and made the exit appear inside the store?\Have you come to?\Are you okay? response:	You're not dead, are you?
context: Oh.\Sariel...\Didn't you say you threw him into a gate?\Sadao, could it be that the bamboo decoration responded to your magic\and made the exit appear inside the store?\Have you come to?\Are you okay?\You're not dead, are you? response:	Beautiful...
context: Sariel...\Didn't you say you threw him into a gate?\Sadao, could it be that the bamboo decoration responded to your magic\and made the exit appear inside the store?\Have you come to?\Are you okay?\You're not dead, are you?\Beautiful... response:	Huh?
context: Didn't you say you threw him into a gate?\Sadao, could it be that the bamboo decoration responded to your magic\and made the exit appear inside the store?\Have you come to?\Are you okay?\You're not dead, are you?\Beautiful...\Huh? response:	This must be fate.
context: Sadao, could it be that the bamboo decoration responded to your magic\and made the exit appear inside the store?\Have you come to?\Are you okay?\You're not dead, are you?\Beautiful...\Huh?\This must be fate. response:	I've met a goddess of beauty in another world!
context: and made the exit appear inside the store?\Have you come to?\Are you okay?\You're not dead, are you?\Beautiful...\Huh?\This must be fate.\I've met a goddess of beauty in another world! response:	O God,
context: Have you come to?\Are you okay?\You're not dead, are you?\Beautiful...\Huh?\This must be fate.\I've met a goddess of beauty in another world!\O God, response:	I'm yearning for a forbidden love
context: Are you okay?\You're not dead, are you?\Beautiful...\Huh?\This must be fate.\I've met a goddess of beauty in another world!\O God,\I'm yearning for a forbidden love response:	and on my way to becoming a fallen angel!
context: You're not dead, are you?\Beautiful...\Huh?\This must be fate.\I've met a goddess of beauty in another world!\O God,\I'm yearning for a forbidden love\and on my way to becoming a fallen angel! response:	What's with this retard?
context: Beautiful...\Huh?\This must be fate.\I've met a goddess of beauty in another world!\O God,\I'm yearning for a forbidden love\and on my way to becoming a fallen angel!\What's with this retard? response:	Actually, he's Sentucky's
context: Huh?\This must be fate.\I've met a goddess of beauty in another world!\O God,\I'm yearning for a forbidden love\and on my way to becoming a fallen angel!\What's with this retard?\Actually, he's Sentucky's response:	Oh, my lovely lady!
context: This must be fate.\I've met a goddess of beauty in another world!\O God,\I'm yearning for a forbidden love\and on my way to becoming a fallen angel!\What's with this retard?\Actually, he's Sentucky's\Oh, my lovely lady! response:	You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye!
context: I've met a goddess of beauty in another world!\O God,\I'm yearning for a forbidden love\and on my way to becoming a fallen angel!\What's with this retard?\Actually, he's Sentucky's\Oh, my lovely lady!\You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye! response:	We are truly the Romeo and Juliet of the fast-food industry!
context: O God,\I'm yearning for a forbidden love\and on my way to becoming a fallen angel!\What's with this retard?\Actually, he's Sentucky's\Oh, my lovely lady!\You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye!\We are truly the Romeo and Juliet of the fast-food industry! response:	Did this guy hit his head or something?
context: I'm yearning for a forbidden love\and on my way to becoming a fallen angel!\What's with this retard?\Actually, he's Sentucky's\Oh, my lovely lady!\You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye!\We are truly the Romeo and Juliet of the fast-food industry!\Did this guy hit his head or something? response:	I think we should call an ambulance.
context: and on my way to becoming a fallen angel!\What's with this retard?\Actually, he's Sentucky's\Oh, my lovely lady!\You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye!\We are truly the Romeo and Juliet of the fast-food industry!\Did this guy hit his head or something?\I think we should call an ambulance. response:	Oh, such kind words.
context: What's with this retard?\Actually, he's Sentucky's\Oh, my lovely lady!\You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye!\We are truly the Romeo and Juliet of the fast-food industry!\Did this guy hit his head or something?\I think we should call an ambulance.\Oh, such kind words. response:	You're worried about me, aren't you?
context: Actually, he's Sentucky's\Oh, my lovely lady!\You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye!\We are truly the Romeo and Juliet of the fast-food industry!\Did this guy hit his head or something?\I think we should call an ambulance.\Oh, such kind words.\You're worried about me, aren't you? response:	However, no medicine can cure my lovesickness!
context: Oh, my lovely lady!\You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye!\We are truly the Romeo and Juliet of the fast-food industry!\Did this guy hit his head or something?\I think we should call an ambulance.\Oh, such kind words.\You're worried about me, aren't you?\However, no medicine can cure my lovesickness! response:	Looks like I should call the cops instead!
context: You hail from House Mac and I from House SFC! Two organizations that'll never see eye-to-eye!\We are truly the Romeo and Juliet of the fast-food industry!\Did this guy hit his head or something?\I think we should call an ambulance.\Oh, such kind words.\You're worried about me, aren't you?\However, no medicine can cure my lovesickness!\Looks like I should call the cops instead! response:	So this is the temptation of corruption!
context: We are truly the Romeo and Juliet of the fast-food industry!\Did this guy hit his head or something?\I think we should call an ambulance.\Oh, such kind words.\You're worried about me, aren't you?\However, no medicine can cure my lovesickness!\Looks like I should call the cops instead!\So this is the temptation of corruption! response:	What an exquisite pain!
context: Did this guy hit his head or something?\I think we should call an ambulance.\Oh, such kind words.\You're worried about me, aren't you?\However, no medicine can cure my lovesickness!\Looks like I should call the cops instead!\So this is the temptation of corruption!\What an exquisite pain! response:	OP
context: I think we should call an ambulance.\Oh, such kind words.\You're worried about me, aren't you?\However, no medicine can cure my lovesickness!\Looks like I should call the cops instead!\So this is the temptation of corruption!\What an exquisite pain!\OP response:	Get out of your cage
context: Oh, such kind words.\You're worried about me, aren't you?\However, no medicine can cure my lovesickness!\Looks like I should call the cops instead!\So this is the temptation of corruption!\What an exquisite pain!\OP\Get out of your cage response:	Fly toward the sky
context: You're worried about me, aren't you?\However, no medicine can cure my lovesickness!\Looks like I should call the cops instead!\So this is the temptation of corruption!\What an exquisite pain!\OP\Get out of your cage\Fly toward the sky response:	Fly toward the sky
context: However, no medicine can cure my lovesickness!\Looks like I should call the cops instead!\So this is the temptation of corruption!\What an exquisite pain!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky response:	It all starts right here, right now
context: Looks like I should call the cops instead!\So this is the temptation of corruption!\What an exquisite pain!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now response:	Let's picture what we can do
context: So this is the temptation of corruption!\What an exquisite pain!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do response:	Let's picture what we can do
context: What an exquisite pain!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do response:	Let's picture what we can do
context: OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do response:	Unbelievable things might happen
context: Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen response:	But we can overcome them all
context: Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all response:	But we can overcome them all
context: Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all response:	But we can overcome them all
context: It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams response:	Our dreams are born from nothing
context: Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing response:	Power of dreams
context: Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams response:	And take us to that shining sky
context: But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky response:	fly
context: But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly response:	And take us to that shining sky
context: But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky response:	Light blue wind
context: Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind response:	I want to spread my wings
context: Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings response:	Light blue wind
context: And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind response:	Now here I go, with the greatest smile on my face
context: fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Let's set out to an unknown world
context: Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world response:	Let's set out to an unknown world
context: I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world response:	Let's set out to an unknown world
context: Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world response:	Let's set out to an unknown world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world response:	Go to another world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world response:	We'll be the ones to choose and decide the future
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future response:	Let's chase after our dreams
context: Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams response:	There will be times when we cry
context: Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry response:	I have a really important wish
context: Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish response:	Don't fade away
context: Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away response:	I'm sure you'll be able to meet your future self
context: Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self response:	I'm sure you'll be able to meet your future self
context: Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self response:	I'm sure you'll be able to meet your future self
context: We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self response:	Get out of your cage
context: Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage response:	Overlord at Work!
context: There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work! response:	Overlord at Work!
context: I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
