context: Draw your blades. response:	If we see it, it'll only be for a second.
context: Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it!\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain? response:	Captain, your orders!
context: Let's go for it!\It's dangerous...\We should kill it!\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders! response:	Everyone, cover your ears.
context: It's dangerous...\We should kill it!\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears. response:	Bite 57th Expedition Beyond the Walls (3)
context: We should kill it!\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears.\Bite 57th Expedition Beyond the Walls (3) response:	A noise grenade?
context: At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears.\Bite 57th Expedition Beyond the Walls (3)\A noise grenade? response:	What is your job?
context: We kill it here...\That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears.\Bite 57th Expedition Beyond the Walls (3)\A noise grenade?\What is your job? response:	To just let yourself be swayed by whatever you're feeling at the moment?
context: That's why we came to this forest!\Right, Captain?\Captain, your orders!\Everyone, cover your ears.\Bite 57th Expedition Beyond the Walls (3)\A noise grenade?\What is your job?\To just let yourself be swayed by whatever you're feeling at the moment? response:	No, it's not.
context: Right, Captain?\Captain, your orders!\Everyone, cover your ears.\Bite 57th Expedition Beyond the Walls (3)\A noise grenade?\What is your job?\To just let yourself be swayed by whatever you're feeling at the moment?\No, it's not. response:	Our squad's job
context: Captain, your orders!\Everyone, cover your ears.\Bite 57th Expedition Beyond the Walls (3)\A noise grenade?\What is your job?\To just let yourself be swayed by whatever you're feeling at the moment?\No, it's not.\Our squad's job response:	is to keep the brat from getting a single scratch on him.
context: Everyone, cover your ears.\Bite 57th Expedition Beyond the Walls (3)\A noise grenade?\What is your job?\To just let yourself be swayed by whatever you're feeling at the moment?\No, it's not.\Our squad's job\is to keep the brat from getting a single scratch on him. response:	Even if it costs our lives.
context: Bite 57th Expedition Beyond the Walls (3)\A noise grenade?\What is your job?\To just let yourself be swayed by whatever you're feeling at the moment?\No, it's not.\Our squad's job\is to keep the brat from getting a single scratch on him.\Even if it costs our lives. response:	It wasn't to keep watch on me?
context: A noise grenade?\What is your job?\To just let yourself be swayed by whatever you're feeling at the moment?\No, it's not.\Our squad's job\is to keep the brat from getting a single scratch on him.\Even if it costs our lives.\It wasn't to keep watch on me? response:	We keep going on our horses, got it?
context: What is your job?\To just let yourself be swayed by whatever you're feeling at the moment?\No, it's not.\Our squad's job\is to keep the brat from getting a single scratch on him.\Even if it costs our lives.\It wasn't to keep watch on me?\We keep going on our horses, got it? response:	Roger!
context: To just let yourself be swayed by whatever you're feeling at the moment?\No, it's not.\Our squad's job\is to keep the brat from getting a single scratch on him.\Even if it costs our lives.\It wasn't to keep watch on me?\We keep going on our horses, got it?\Roger! response:	Keep going? For how long?
context: No, it's not.\Our squad's job\is to keep the brat from getting a single scratch on him.\Even if it costs our lives.\It wasn't to keep watch on me?\We keep going on our horses, got it?\Roger!\Keep going? For how long? response:	And it's right on top of us...
context: Our squad's job\is to keep the brat from getting a single scratch on him.\Even if it costs our lives.\It wasn't to keep watch on me?\We keep going on our horses, got it?\Roger!\Keep going? For how long?\And it's right on top of us... response:	Again!
context: is to keep the brat from getting a single scratch on him.\Even if it costs our lives.\It wasn't to keep watch on me?\We keep going on our horses, got it?\Roger!\Keep going? For how long?\And it's right on top of us...\Again! response:	The reinforcements!
context: Even if it costs our lives.\It wasn't to keep watch on me?\We keep going on our horses, got it?\Roger!\Keep going? For how long?\And it's right on top of us...\Again!\The reinforcements! response:	If we don't help, they'll be wiped out again!
context: It wasn't to keep watch on me?\We keep going on our horses, got it?\Roger!\Keep going? For how long?\And it's right on top of us...\Again!\The reinforcements!\If we don't help, they'll be wiped out again! response:	Eren, eyes on the road!
context: We keep going on our horses, got it?\Roger!\Keep going? For how long?\And it's right on top of us...\Again!\The reinforcements!\If we don't help, they'll be wiped out again!\Eren, eyes on the road! response:	Sir!
context: Roger!\Keep going? For how long?\And it's right on top of us...\Again!\The reinforcements!\If we don't help, they'll be wiped out again!\Eren, eyes on the road!\Sir! response:	Keep your pace up...
context: Keep going? For how long?\And it's right on top of us...\Again!\The reinforcements!\If we don't help, they'll be wiped out again!\Eren, eyes on the road!\Sir!\Keep your pace up... response:	Stay at top speed!
context: And it's right on top of us...\Again!\The reinforcements!\If we don't help, they'll be wiped out again!\Eren, eyes on the road!\Sir!\Keep your pace up...\Stay at top speed! response:	But, sir...
context: Again!\The reinforcements!\If we don't help, they'll be wiped out again!\Eren, eyes on the road!\Sir!\Keep your pace up...\Stay at top speed!\But, sir... response:	Why?!
context: The reinforcements!\If we don't help, they'll be wiped out again!\Eren, eyes on the road!\Sir!\Keep your pace up...\Stay at top speed!\But, sir...\Why?! response:	If Squad Levi doesn't defeat it, who will?
context: If we don't help, they'll be wiped out again!\Eren, eyes on the road!\Sir!\Keep your pace up...\Stay at top speed!\But, sir...\Why?!\If Squad Levi doesn't defeat it, who will? response:	Another one's dead...
context: Eren, eyes on the road!\Sir!\Keep your pace up...\Stay at top speed!\But, sir...\Why?!\If Squad Levi doesn't defeat it, who will?\Another one's dead... response:	And maybe we could've saved him!
context: Sir!\Keep your pace up...\Stay at top speed!\But, sir...\Why?!\If Squad Levi doesn't defeat it, who will?\Another one's dead...\And maybe we could've saved him! response:	One's still fighting...
context: Keep your pace up...\Stay at top speed!\But, sir...\Why?!\If Squad Levi doesn't defeat it, who will?\Another one's dead...\And maybe we could've saved him!\One's still fighting... response:	We could still make it!
context: Stay at top speed!\But, sir...\Why?!\If Squad Levi doesn't defeat it, who will?\Another one's dead...\And maybe we could've saved him!\One's still fighting...\We could still make it! response:	Eren, eyes back on the road! Keep going!
context: But, sir...\Why?!\If Squad Levi doesn't defeat it, who will?\Another one's dead...\And maybe we could've saved him!\One's still fighting...\We could still make it!\Eren, eyes back on the road! Keep going! response:	Are you telling me to look away?
context: Why?!\If Squad Levi doesn't defeat it, who will?\Another one's dead...\And maybe we could've saved him!\One's still fighting...\We could still make it!\Eren, eyes back on the road! Keep going!\Are you telling me to look away? response:	To abandon my comrades and run?!
context: If Squad Levi doesn't defeat it, who will?\Another one's dead...\And maybe we could've saved him!\One's still fighting...\We could still make it!\Eren, eyes back on the road! Keep going!\Are you telling me to look away?\To abandon my comrades and run?! response:	Yes, that's right!
context: Another one's dead...\And maybe we could've saved him!\One's still fighting...\We could still make it!\Eren, eyes back on the road! Keep going!\Are you telling me to look away?\To abandon my comrades and run?!\Yes, that's right! response:	Obey the Captain's orders!
context: And maybe we could've saved him!\One's still fighting...\We could still make it!\Eren, eyes back on the road! Keep going!\Are you telling me to look away?\To abandon my comrades and run?!\Yes, that's right!\Obey the Captain's orders! response:	I don't understand why we're leaving them to die!
context: One's still fighting...\We could still make it!\Eren, eyes back on the road! Keep going!\Are you telling me to look away?\To abandon my comrades and run?!\Yes, that's right!\Obey the Captain's orders!\I don't understand why we're leaving them to die! response:	Or why he won't explain!
context: We could still make it!\Eren, eyes back on the road! Keep going!\Are you telling me to look away?\To abandon my comrades and run?!\Yes, that's right!\Obey the Captain's orders!\I don't understand why we're leaving them to die!\Or why he won't explain! response:	Why?!
context: Eren, eyes back on the road! Keep going!\Are you telling me to look away?\To abandon my comrades and run?!\Yes, that's right!\Obey the Captain's orders!\I don't understand why we're leaving them to die!\Or why he won't explain!\Why?! response:	That's because the Captain decided the reason should not be explained.
context: Are you telling me to look away?\To abandon my comrades and run?!\Yes, that's right!\Obey the Captain's orders!\I don't understand why we're leaving them to die!\Or why he won't explain!\Why?!\That's because the Captain decided the reason should not be explained. response:	You just don't understand because you're still green!
context: To abandon my comrades and run?!\Yes, that's right!\Obey the Captain's orders!\I don't understand why we're leaving them to die!\Or why he won't explain!\Why?!\That's because the Captain decided the reason should not be explained.\You just don't understand because you're still green! response:	If you get it, then shut up and obey!
context: Yes, that's right!\Obey the Captain's orders!\I don't understand why we're leaving them to die!\Or why he won't explain!\Why?!\That's because the Captain decided the reason should not be explained.\You just don't understand because you're still green!\If you get it, then shut up and obey! response:	No...
context: Obey the Captain's orders!\I don't understand why we're leaving them to die!\Or why he won't explain!\Why?!\That's because the Captain decided the reason should not be explained.\You just don't understand because you're still green!\If you get it, then shut up and obey!\No... response:	I can fight on my own.
context: I don't understand why we're leaving them to die!\Or why he won't explain!\Why?!\That's because the Captain decided the reason should not be explained.\You just don't understand because you're still green!\If you get it, then shut up and obey!\No...\I can fight on my own. response:	Why am I relying on others?
context: Or why he won't explain!\Why?!\That's because the Captain decided the reason should not be explained.\You just don't understand because you're still green!\If you get it, then shut up and obey!\No...\I can fight on my own.\Why am I relying on others? response:	I can just fight on my own.
context: Why?!\That's because the Captain decided the reason should not be explained.\You just don't understand because you're still green!\If you get it, then shut up and obey!\No...\I can fight on my own.\Why am I relying on others?\I can just fight on my own. response:	What are you doing, Eren?
context: That's because the Captain decided the reason should not be explained.\You just don't understand because you're still green!\If you get it, then shut up and obey!\No...\I can fight on my own.\Why am I relying on others?\I can just fight on my own.\What are you doing, Eren? response:	You're only allowed to do that if your life is in danger.
context: You just don't understand because you're still green!\If you get it, then shut up and obey!\No...\I can fight on my own.\Why am I relying on others?\I can just fight on my own.\What are you doing, Eren?\You're only allowed to do that if your life is in danger. response:	You promised us!
context: If you get it, then shut up and obey!\No...\I can fight on my own.\Why am I relying on others?\I can just fight on my own.\What are you doing, Eren?\You're only allowed to do that if your life is in danger.\You promised us! response:	Eren!
context: No...\I can fight on my own.\Why am I relying on others?\I can just fight on my own.\What are you doing, Eren?\You're only allowed to do that if your life is in danger.\You promised us!\Eren! response:	You aren't wrong.
context: I can fight on my own.\Why am I relying on others?\I can just fight on my own.\What are you doing, Eren?\You're only allowed to do that if your life is in danger.\You promised us!\Eren!\You aren't wrong. response:	If you want to, do it.
context: Why am I relying on others?\I can just fight on my own.\What are you doing, Eren?\You're only allowed to do that if your life is in danger.\You promised us!\Eren!\You aren't wrong.\If you want to, do it. response:	I can tell.
context: I can just fight on my own.\What are you doing, Eren?\You're only allowed to do that if your life is in danger.\You promised us!\Eren!\You aren't wrong.\If you want to, do it.\I can tell. response:	He's a real monster.
context: What are you doing, Eren?\You're only allowed to do that if your life is in danger.\You promised us!\Eren!\You aren't wrong.\If you want to, do it.\I can tell.\He's a real monster. response:	And it has nothing to do with his Titan power.
context: You're only allowed to do that if your life is in danger.\You promised us!\Eren!\You aren't wrong.\If you want to, do it.\I can tell.\He's a real monster.\And it has nothing to do with his Titan power. response:	No matter what power you use to suppress him,
context: You promised us!\Eren!\You aren't wrong.\If you want to, do it.\I can tell.\He's a real monster.\And it has nothing to do with his Titan power.\No matter what power you use to suppress him, response:	no matter what cage you put him in,
context: Eren!\You aren't wrong.\If you want to, do it.\I can tell.\He's a real monster.\And it has nothing to do with his Titan power.\No matter what power you use to suppress him,\no matter what cage you put him in, response:	he will never submit to anyone.
context: You aren't wrong.\If you want to, do it.\I can tell.\He's a real monster.\And it has nothing to do with his Titan power.\No matter what power you use to suppress him,\no matter what cage you put him in,\he will never submit to anyone. response:	I just want to slaughter the Titans.
context: If you want to, do it.\I can tell.\He's a real monster.\And it has nothing to do with his Titan power.\No matter what power you use to suppress him,\no matter what cage you put him in,\he will never submit to anyone.\I just want to slaughter the Titans. response:	Eren, the difference between your decision and ours is experience.
context: I can tell.\He's a real monster.\And it has nothing to do with his Titan power.\No matter what power you use to suppress him,\no matter what cage you put him in,\he will never submit to anyone.\I just want to slaughter the Titans.\Eren, the difference between your decision and ours is experience. response:	But you don't have to rely on that.
context: He's a real monster.\And it has nothing to do with his Titan power.\No matter what power you use to suppress him,\no matter what cage you put him in,\he will never submit to anyone.\I just want to slaughter the Titans.\Eren, the difference between your decision and ours is experience.\But you don't have to rely on that. response:	Choose.
context: And it has nothing to do with his Titan power.\No matter what power you use to suppress him,\no matter what cage you put him in,\he will never submit to anyone.\I just want to slaughter the Titans.\Eren, the difference between your decision and ours is experience.\But you don't have to rely on that.\Choose. response:	Believe in yourself.
context: No matter what power you use to suppress him,\no matter what cage you put him in,\he will never submit to anyone.\I just want to slaughter the Titans.\Eren, the difference between your decision and ours is experience.\But you don't have to rely on that.\Choose.\Believe in yourself. response:	Or believe in the Survey Corps and me.
context: no matter what cage you put him in,\he will never submit to anyone.\I just want to slaughter the Titans.\Eren, the difference between your decision and ours is experience.\But you don't have to rely on that.\Choose.\Believe in yourself.\Or believe in the Survey Corps and me. response:	I don't know...
context: he will never submit to anyone.\I just want to slaughter the Titans.\Eren, the difference between your decision and ours is experience.\But you don't have to rely on that.\Choose.\Believe in yourself.\Or believe in the Survey Corps and me.\I don't know... response:	I never have.
context: I just want to slaughter the Titans.\Eren, the difference between your decision and ours is experience.\But you don't have to rely on that.\Choose.\Believe in yourself.\Or believe in the Survey Corps and me.\I don't know...\I never have. response:	I can believe in my own abilities
context: Eren, the difference between your decision and ours is experience.\But you don't have to rely on that.\Choose.\Believe in yourself.\Or believe in the Survey Corps and me.\I don't know...\I never have.\I can believe in my own abilities response:	or the choices of companions I trust.
context: But you don't have to rely on that.\Choose.\Believe in yourself.\Or believe in the Survey Corps and me.\I don't know...\I never have.\I can believe in my own abilities\or the choices of companions I trust. response:	But no one ever knows how it will turn out.
context: Choose.\Believe in yourself.\Or believe in the Survey Corps and me.\I don't know...\I never have.\I can believe in my own abilities\or the choices of companions I trust.\But no one ever knows how it will turn out. response:	So choose for yourself whichever decision you'll regret least.
context: Believe in yourself.\Or believe in the Survey Corps and me.\I don't know...\I never have.\I can believe in my own abilities\or the choices of companions I trust.\But no one ever knows how it will turn out.\So choose for yourself whichever decision you'll regret least. response:	Eren!
context: Or believe in the Survey Corps and me.\I don't know...\I never have.\I can believe in my own abilities\or the choices of companions I trust.\But no one ever knows how it will turn out.\So choose for yourself whichever decision you'll regret least.\Eren! response:	Have faith!
context: I don't know...\I never have.\I can believe in my own abilities\or the choices of companions I trust.\But no one ever knows how it will turn out.\So choose for yourself whichever decision you'll regret least.\Eren!\Have faith! response:	I came up with a way that'd only half-kill you.
context: I never have.\I can believe in my own abilities\or the choices of companions I trust.\But no one ever knows how it will turn out.\So choose for yourself whichever decision you'll regret least.\Eren!\Have faith!\I came up with a way that'd only half-kill you. response:	Sir?
context: I can believe in my own abilities\or the choices of companions I trust.\But no one ever knows how it will turn out.\So choose for yourself whichever decision you'll regret least.\Eren!\Have faith!\I came up with a way that'd only half-kill you.\Sir? response:	I said I'd only be able to stop you as a Titan if I killed you.
context: or the choices of companions I trust.\But no one ever knows how it will turn out.\So choose for yourself whichever decision you'll regret least.\Eren!\Have faith!\I came up with a way that'd only half-kill you.\Sir?\I said I'd only be able to stop you as a Titan if I killed you. response:	But this method would only badly wound you.
context: But no one ever knows how it will turn out.\So choose for yourself whichever decision you'll regret least.\Eren!\Have faith!\I came up with a way that'd only half-kill you.\Sir?\I said I'd only be able to stop you as a Titan if I killed you.\But this method would only badly wound you. response:	Of course, it relies on the squad's skill.
context: So choose for yourself whichever decision you'll regret least.\Eren!\Have faith!\I came up with a way that'd only half-kill you.\Sir?\I said I'd only be able to stop you as a Titan if I killed you.\But this method would only badly wound you.\Of course, it relies on the squad's skill. response:	The idea is to cut you right out of the Titan's neck.
context: Eren!\Have faith!\I came up with a way that'd only half-kill you.\Sir?\I said I'd only be able to stop you as a Titan if I killed you.\But this method would only badly wound you.\Of course, it relies on the squad's skill.\The idea is to cut you right out of the Titan's neck. response:	We'd end up cutting the ends of your arms and legs off,
context: Have faith!\I came up with a way that'd only half-kill you.\Sir?\I said I'd only be able to stop you as a Titan if I killed you.\But this method would only badly wound you.\Of course, it relies on the squad's skill.\The idea is to cut you right out of the Titan's neck.\We'd end up cutting the ends of your arms and legs off, response:	but they'd just grow back like a lizard's...
context: I came up with a way that'd only half-kill you.\Sir?\I said I'd only be able to stop you as a Titan if I killed you.\But this method would only badly wound you.\Of course, it relies on the squad's skill.\The idea is to cut you right out of the Titan's neck.\We'd end up cutting the ends of your arms and legs off,\but they'd just grow back like a lizard's... response:	Creepy, really.
context: Sir?\I said I'd only be able to stop you as a Titan if I killed you.\But this method would only badly wound you.\Of course, it relies on the squad's skill.\The idea is to cut you right out of the Titan's neck.\We'd end up cutting the ends of your arms and legs off,\but they'd just grow back like a lizard's...\Creepy, really. response:	Wait.
context: I said I'd only be able to stop you as a Titan if I killed you.\But this method would only badly wound you.\Of course, it relies on the squad's skill.\The idea is to cut you right out of the Titan's neck.\We'd end up cutting the ends of your arms and legs off,\but they'd just grow back like a lizard's...\Creepy, really.\Wait. response:	I don't know how they grow back.
context: But this method would only badly wound you.\Of course, it relies on the squad's skill.\The idea is to cut you right out of the Titan's neck.\We'd end up cutting the ends of your arms and legs off,\but they'd just grow back like a lizard's...\Creepy, really.\Wait.\I don't know how they grow back. response:	Is there some other way...
context: Of course, it relies on the squad's skill.\The idea is to cut you right out of the Titan's neck.\We'd end up cutting the ends of your arms and legs off,\but they'd just grow back like a lizard's...\Creepy, really.\Wait.\I don't know how they grow back.\Is there some other way... response:	So you're saying you don't want there to be any danger or sacrifice?
context: The idea is to cut you right out of the Titan's neck.\We'd end up cutting the ends of your arms and legs off,\but they'd just grow back like a lizard's...\Creepy, really.\Wait.\I don't know how they grow back.\Is there some other way...\So you're saying you don't want there to be any danger or sacrifice? response:	N-No...
context: We'd end up cutting the ends of your arms and legs off,\but they'd just grow back like a lizard's...\Creepy, really.\Wait.\I don't know how they grow back.\Is there some other way...\So you're saying you don't want there to be any danger or sacrifice?\N-No... response:	Then just resolve yourself.
context: but they'd just grow back like a lizard's...\Creepy, really.\Wait.\I don't know how they grow back.\Is there some other way...\So you're saying you don't want there to be any danger or sacrifice?\N-No...\Then just resolve yourself. response:	We will, too...
context: Creepy, really.\Wait.\I don't know how they grow back.\Is there some other way...\So you're saying you don't want there to be any danger or sacrifice?\N-No...\Then just resolve yourself.\We will, too... response:	The danger for us is that you might kill us.
context: Wait.\I don't know how they grow back.\Is there some other way...\So you're saying you don't want there to be any danger or sacrifice?\N-No...\Then just resolve yourself.\We will, too...\The danger for us is that you might kill us. response:	So don't worry.
context: I don't know how they grow back.\Is there some other way...\So you're saying you don't want there to be any danger or sacrifice?\N-No...\Then just resolve yourself.\We will, too...\The danger for us is that you might kill us.\So don't worry. response:	Yes... Understood.
context: Is there some other way...\So you're saying you don't want there to be any danger or sacrifice?\N-No...\Then just resolve yourself.\We will, too...\The danger for us is that you might kill us.\So don't worry.\Yes... Understood. response:	Th-Then, I can do experiments?
context: So you're saying you don't want there to be any danger or sacrifice?\N-No...\Then just resolve yourself.\We will, too...\The danger for us is that you might kill us.\So don't worry.\Yes... Understood.\Th-Then, I can do experiments? response:	It's very risky.
context: N-No...\Then just resolve yourself.\We will, too...\The danger for us is that you might kill us.\So don't worry.\Yes... Understood.\Th-Then, I can do experiments?\It's very risky. response:	But that doesn't mean that we can't use him to investigate.
context: Then just resolve yourself.\We will, too...\The danger for us is that you might kill us.\So don't worry.\Yes... Understood.\Th-Then, I can do experiments?\It's very risky.\But that doesn't mean that we can't use him to investigate. response:	I can be in charge of planning this, right?
context: We will, too...\The danger for us is that you might kill us.\So don't worry.\Yes... Understood.\Th-Then, I can do experiments?\It's very risky.\But that doesn't mean that we can't use him to investigate.\I can be in charge of planning this, right? response:	Eren, if there's something you don't understand,
context: The danger for us is that you might kill us.\So don't worry.\Yes... Understood.\Th-Then, I can do experiments?\It's very risky.\But that doesn't mean that we can't use him to investigate.\I can be in charge of planning this, right?\Eren, if there's something you don't understand, response:	learn to understand it.
context: So don't worry.\Yes... Understood.\Th-Then, I can do experiments?\It's very risky.\But that doesn't mean that we can't use him to investigate.\I can be in charge of planning this, right?\Eren, if there's something you don't understand,\learn to understand it. response:	It's well worth any risk to our lives.
context: Yes... Understood.\Th-Then, I can do experiments?\It's very risky.\But that doesn't mean that we can't use him to investigate.\I can be in charge of planning this, right?\Eren, if there's something you don't understand,\learn to understand it.\It's well worth any risk to our lives. response:	Ready, Eren?
context: Th-Then, I can do experiments?\It's very risky.\But that doesn't mean that we can't use him to investigate.\I can be in charge of planning this, right?\Eren, if there's something you don't understand,\learn to understand it.\It's well worth any risk to our lives.\Ready, Eren? response:	When it's prepared, I'll use the smoke round to notify you.
context: It's very risky.\But that doesn't mean that we can't use him to investigate.\I can be in charge of planning this, right?\Eren, if there's something you don't understand,\learn to understand it.\It's well worth any risk to our lives.\Ready, Eren?\When it's prepared, I'll use the smoke round to notify you. response:	After that, any decisions are up to you.
context: But that doesn't mean that we can't use him to investigate.\I can be in charge of planning this, right?\Eren, if there's something you don't understand,\learn to understand it.\It's well worth any risk to our lives.\Ready, Eren?\When it's prepared, I'll use the smoke round to notify you.\After that, any decisions are up to you. response:	Roger!
context: I can be in charge of planning this, right?\Eren, if there's something you don't understand,\learn to understand it.\It's well worth any risk to our lives.\Ready, Eren?\When it's prepared, I'll use the smoke round to notify you.\After that, any decisions are up to you.\Roger! response:	This dried-up well could hold even a mindless Titan...
context: Eren, if there's something you don't understand,\learn to understand it.\It's well worth any risk to our lives.\Ready, Eren?\When it's prepared, I'll use the smoke round to notify you.\After that, any decisions are up to you.\Roger!\This dried-up well could hold even a mindless Titan... response:	Probably!
context: learn to understand it.\It's well worth any risk to our lives.\Ready, Eren?\When it's prepared, I'll use the smoke round to notify you.\After that, any decisions are up to you.\Roger!\This dried-up well could hold even a mindless Titan...\Probably! response:	That's the signal.
context: It's well worth any risk to our lives.\Ready, Eren?\When it's prepared, I'll use the smoke round to notify you.\After that, any decisions are up to you.\Roger!\This dried-up well could hold even a mindless Titan...\Probably!\That's the signal. response:	Since I sealed the wall, I haven't tried to control the Titan.
context: Ready, Eren?\When it's prepared, I'll use the smoke round to notify you.\After that, any decisions are up to you.\Roger!\This dried-up well could hold even a mindless Titan...\Probably!\That's the signal.\Since I sealed the wall, I haven't tried to control the Titan. response:	If I lose control, Squad Levi might kill me this time...
context: When it's prepared, I'll use the smoke round to notify you.\After that, any decisions are up to you.\Roger!\This dried-up well could hold even a mindless Titan...\Probably!\That's the signal.\Since I sealed the wall, I haven't tried to control the Titan.\If I lose control, Squad Levi might kill me this time... response:	Did he not see the signal?
context: After that, any decisions are up to you.\Roger!\This dried-up well could hold even a mindless Titan...\Probably!\That's the signal.\Since I sealed the wall, I haven't tried to control the Titan.\If I lose control, Squad Levi might kill me this time...\Did he not see the signal? response:	No...
context: Roger!\This dried-up well could hold even a mindless Titan...\Probably!\That's the signal.\Since I sealed the wall, I haven't tried to control the Titan.\If I lose control, Squad Levi might kill me this time...\Did he not see the signal?\No... response:	His ability just isn't that reliable.
context: This dried-up well could hold even a mindless Titan...\Probably!\That's the signal.\Since I sealed the wall, I haven't tried to control the Titan.\If I lose control, Squad Levi might kill me this time...\Did he not see the signal?\No...\His ability just isn't that reliable. response:	Hey, Eren! We're calling it quits for now.
context: Probably!\That's the signal.\Since I sealed the wall, I haven't tried to control the Titan.\If I lose control, Squad Levi might kill me this time...\Did he not see the signal?\No...\His ability just isn't that reliable.\Hey, Eren! We're calling it quits for now. response:	Did something happen?
context: That's the signal.\Since I sealed the wall, I haven't tried to control the Titan.\If I lose control, Squad Levi might kill me this time...\Did he not see the signal?\No...\His ability just isn't that reliable.\Hey, Eren! We're calling it quits for now.\Did something happen? response:	Hanji...
context: Since I sealed the wall, I haven't tried to control the Titan.\If I lose control, Squad Levi might kill me this time...\Did he not see the signal?\No...\His ability just isn't that reliable.\Hey, Eren! We're calling it quits for now.\Did something happen?\Hanji... response:	I can't become a Titan.
context: If I lose control, Squad Levi might kill me this time...\Did he not see the signal?\No...\His ability just isn't that reliable.\Hey, Eren! We're calling it quits for now.\Did something happen?\Hanji...\I can't become a Titan. response:	So your self-inflicted bite wounds on your hands aren't healing, either?
context: Did he not see the signal?\No...\His ability just isn't that reliable.\Hey, Eren! We're calling it quits for now.\Did something happen?\Hanji...\I can't become a Titan.\So your self-inflicted bite wounds on your hands aren't healing, either? response:	No.
context: No...\His ability just isn't that reliable.\Hey, Eren! We're calling it quits for now.\Did something happen?\Hanji...\I can't become a Titan.\So your self-inflicted bite wounds on your hands aren't healing, either?\No. response:	If you can't transform into a Titan,
context: His ability just isn't that reliable.\Hey, Eren! We're calling it quits for now.\Did something happen?\Hanji...\I can't become a Titan.\So your self-inflicted bite wounds on your hands aren't healing, either?\No.\If you can't transform into a Titan, response:	our main goal of sealing Wall Maria is off the table.
context: Hey, Eren! We're calling it quits for now.\Did something happen?\Hanji...\I can't become a Titan.\So your self-inflicted bite wounds on your hands aren't healing, either?\No.\If you can't transform into a Titan,\our main goal of sealing Wall Maria is off the table. response:	This is an order...
context: Did something happen?\Hanji...\I can't become a Titan.\So your self-inflicted bite wounds on your hands aren't healing, either?\No.\If you can't transform into a Titan,\our main goal of sealing Wall Maria is off the table.\This is an order... response:	Make it happen.
