context: Big Brother. response:	Did Li Jing have you come here to kill me?
context: Xuan Nu?\It's me.\Where exactly have you been for the last 70,000 years?\A-Yin again?\It's been 70,000 years! Why are you still thinking of that celestial immortal?\So what if she's a celestial immortal?\The 3,000 women in my harem don't even measure up to her finger.\What exactly has A-Yin done for you? response:	She only uses you.
context: It's me.\Where exactly have you been for the last 70,000 years?\A-Yin again?\It's been 70,000 years! Why are you still thinking of that celestial immortal?\So what if she's a celestial immortal?\The 3,000 women in my harem don't even measure up to her finger.\What exactly has A-Yin done for you?\She only uses you. response:	Even after Mo Yuan died, she used your love for her to ask for the soul jade.
context: Where exactly have you been for the last 70,000 years?\A-Yin again?\It's been 70,000 years! Why are you still thinking of that celestial immortal?\So what if she's a celestial immortal?\The 3,000 women in my harem don't even measure up to her finger.\What exactly has A-Yin done for you?\She only uses you.\Even after Mo Yuan died, she used your love for her to ask for the soul jade. response:	My lord.
context: A-Yin again?\It's been 70,000 years! Why are you still thinking of that celestial immortal?\So what if she's a celestial immortal?\The 3,000 women in my harem don't even measure up to her finger.\What exactly has A-Yin done for you?\She only uses you.\Even after Mo Yuan died, she used your love for her to ask for the soul jade.\My lord. response:	Shouldn't you be in the Arctic Lands?
context: It's been 70,000 years! Why are you still thinking of that celestial immortal?\So what if she's a celestial immortal?\The 3,000 women in my harem don't even measure up to her finger.\What exactly has A-Yin done for you?\She only uses you.\Even after Mo Yuan died, she used your love for her to ask for the soul jade.\My lord.\Shouldn't you be in the Arctic Lands? response:	The princess took Li Yuan away.
context: So what if she's a celestial immortal?\The 3,000 women in my harem don't even measure up to her finger.\What exactly has A-Yin done for you?\She only uses you.\Even after Mo Yuan died, she used your love for her to ask for the soul jade.\My lord.\Shouldn't you be in the Arctic Lands?\The princess took Li Yuan away. response:	What did you say?
context: The 3,000 women in my harem don't even measure up to her finger.\What exactly has A-Yin done for you?\She only uses you.\Even after Mo Yuan died, she used your love for her to ask for the soul jade.\My lord.\Shouldn't you be in the Arctic Lands?\The princess took Li Yuan away.\What did you say? response:	Princess had the military seal.
context: What exactly has A-Yin done for you?\She only uses you.\Even after Mo Yuan died, she used your love for her to ask for the soul jade.\My lord.\Shouldn't you be in the Arctic Lands?\The princess took Li Yuan away.\What did you say?\Princess had the military seal. response:	I didn't dare to stop her. I could only come here to report it to you.
context: She only uses you.\Even after Mo Yuan died, she used your love for her to ask for the soul jade.\My lord.\Shouldn't you be in the Arctic Lands?\The princess took Li Yuan away.\What did you say?\Princess had the military seal.\I didn't dare to stop her. I could only come here to report it to you. response:	Why would Yan Zhi have my military seal?
context: Even after Mo Yuan died, she used your love for her to ask for the soul jade.\My lord.\Shouldn't you be in the Arctic Lands?\The princess took Li Yuan away.\What did you say?\Princess had the military seal.\I didn't dare to stop her. I could only come here to report it to you.\Why would Yan Zhi have my military seal? response:	My military seal was put in...
context: My lord.\Shouldn't you be in the Arctic Lands?\The princess took Li Yuan away.\What did you say?\Princess had the military seal.\I didn't dare to stop her. I could only come here to report it to you.\Why would Yan Zhi have my military seal?\My military seal was put in... response:	Did you take my military seal?
context: Shouldn't you be in the Arctic Lands?\The princess took Li Yuan away.\What did you say?\Princess had the military seal.\I didn't dare to stop her. I could only come here to report it to you.\Why would Yan Zhi have my military seal?\My military seal was put in...\Did you take my military seal? response:	She asked me for it.
context: The princess took Li Yuan away.\What did you say?\Princess had the military seal.\I didn't dare to stop her. I could only come here to report it to you.\Why would Yan Zhi have my military seal?\My military seal was put in...\Did you take my military seal?\She asked me for it. response:	How can you give away something as important
context: What did you say?\Princess had the military seal.\I didn't dare to stop her. I could only come here to report it to you.\Why would Yan Zhi have my military seal?\My military seal was put in...\Did you take my military seal?\She asked me for it.\How can you give away something as important response:	as the military seal just because she asked!
context: Princess had the military seal.\I didn't dare to stop her. I could only come here to report it to you.\Why would Yan Zhi have my military seal?\My military seal was put in...\Did you take my military seal?\She asked me for it.\How can you give away something as important\as the military seal just because she asked! response:	Do you know that Li Yuan got taken away!
context: I didn't dare to stop her. I could only come here to report it to you.\Why would Yan Zhi have my military seal?\My military seal was put in...\Did you take my military seal?\She asked me for it.\How can you give away something as important\as the military seal just because she asked!\Do you know that Li Yuan got taken away! response:	You dote on her so much that I thought...
context: Why would Yan Zhi have my military seal?\My military seal was put in...\Did you take my military seal?\She asked me for it.\How can you give away something as important\as the military seal just because she asked!\Do you know that Li Yuan got taken away!\You dote on her so much that I thought... response:	She wouldn't do anything to hurt you.
context: My military seal was put in...\Did you take my military seal?\She asked me for it.\How can you give away something as important\as the military seal just because she asked!\Do you know that Li Yuan got taken away!\You dote on her so much that I thought...\She wouldn't do anything to hurt you. response:	Li Yuan's mother is from the mermaid clan.
context: Did you take my military seal?\She asked me for it.\How can you give away something as important\as the military seal just because she asked!\Do you know that Li Yuan got taken away!\You dote on her so much that I thought...\She wouldn't do anything to hurt you.\Li Yuan's mother is from the mermaid clan. response:	He will definitely flee to the Chang Sea.
context: She asked me for it.\How can you give away something as important\as the military seal just because she asked!\Do you know that Li Yuan got taken away!\You dote on her so much that I thought...\She wouldn't do anything to hurt you.\Li Yuan's mother is from the mermaid clan.\He will definitely flee to the Chang Sea. response:	If the mermaid clan revolts and the ghost realm goes into chaos
context: How can you give away something as important\as the military seal just because she asked!\Do you know that Li Yuan got taken away!\You dote on her so much that I thought...\She wouldn't do anything to hurt you.\Li Yuan's mother is from the mermaid clan.\He will definitely flee to the Chang Sea.\If the mermaid clan revolts and the ghost realm goes into chaos response:	I'll make you pay for it!
context: as the military seal just because she asked!\Do you know that Li Yuan got taken away!\You dote on her so much that I thought...\She wouldn't do anything to hurt you.\Li Yuan's mother is from the mermaid clan.\He will definitely flee to the Chang Sea.\If the mermaid clan revolts and the ghost realm goes into chaos\I'll make you pay for it! response:	Anyone there!
context: Do you know that Li Yuan got taken away!\You dote on her so much that I thought...\She wouldn't do anything to hurt you.\Li Yuan's mother is from the mermaid clan.\He will definitely flee to the Chang Sea.\If the mermaid clan revolts and the ghost realm goes into chaos\I'll make you pay for it!\Anyone there! response:	- My Lord. - Tell all the generals quickly.
context: You dote on her so much that I thought...\She wouldn't do anything to hurt you.\Li Yuan's mother is from the mermaid clan.\He will definitely flee to the Chang Sea.\If the mermaid clan revolts and the ghost realm goes into chaos\I'll make you pay for it!\Anyone there!\- My Lord. - Tell all the generals quickly. response:	Rebel Li Yuan was rescued by the princess.
context: She wouldn't do anything to hurt you.\Li Yuan's mother is from the mermaid clan.\He will definitely flee to the Chang Sea.\If the mermaid clan revolts and the ghost realm goes into chaos\I'll make you pay for it!\Anyone there!\- My Lord. - Tell all the generals quickly.\Rebel Li Yuan was rescued by the princess. response:	He is probably heading to the Chang Sea.
context: Li Yuan's mother is from the mermaid clan.\He will definitely flee to the Chang Sea.\If the mermaid clan revolts and the ghost realm goes into chaos\I'll make you pay for it!\Anyone there!\- My Lord. - Tell all the generals quickly.\Rebel Li Yuan was rescued by the princess.\He is probably heading to the Chang Sea. response:	Hurry and go arrest the criminal.
context: He will definitely flee to the Chang Sea.\If the mermaid clan revolts and the ghost realm goes into chaos\I'll make you pay for it!\Anyone there!\- My Lord. - Tell all the generals quickly.\Rebel Li Yuan was rescued by the princess.\He is probably heading to the Chang Sea.\Hurry and go arrest the criminal. response:	- Yes. - Wait.
context: If the mermaid clan revolts and the ghost realm goes into chaos\I'll make you pay for it!\Anyone there!\- My Lord. - Tell all the generals quickly.\Rebel Li Yuan was rescued by the princess.\He is probably heading to the Chang Sea.\Hurry and go arrest the criminal.\- Yes. - Wait. response:	This matter can't get out.
context: I'll make you pay for it!\Anyone there!\- My Lord. - Tell all the generals quickly.\Rebel Li Yuan was rescued by the princess.\He is probably heading to the Chang Sea.\Hurry and go arrest the criminal.\- Yes. - Wait.\This matter can't get out. response:	The Nine Heavens must not know about it.
context: Anyone there!\- My Lord. - Tell all the generals quickly.\Rebel Li Yuan was rescued by the princess.\He is probably heading to the Chang Sea.\Hurry and go arrest the criminal.\- Yes. - Wait.\This matter can't get out.\The Nine Heavens must not know about it. response:	You must do this secretly.
context: - My Lord. - Tell all the generals quickly.\Rebel Li Yuan was rescued by the princess.\He is probably heading to the Chang Sea.\Hurry and go arrest the criminal.\- Yes. - Wait.\This matter can't get out.\The Nine Heavens must not know about it.\You must do this secretly. response:	Yes.
context: Rebel Li Yuan was rescued by the princess.\He is probably heading to the Chang Sea.\Hurry and go arrest the criminal.\- Yes. - Wait.\This matter can't get out.\The Nine Heavens must not know about it.\You must do this secretly.\Yes. response:	Aren't you afraid that my old bones aren't suitable for cloud leaping?
context: He is probably heading to the Chang Sea.\Hurry and go arrest the criminal.\- Yes. - Wait.\This matter can't get out.\The Nine Heavens must not know about it.\You must do this secretly.\Yes.\Aren't you afraid that my old bones aren't suitable for cloud leaping? response:	I came running here step by step.
context: Hurry and go arrest the criminal.\- Yes. - Wait.\This matter can't get out.\The Nine Heavens must not know about it.\You must do this secretly.\Yes.\Aren't you afraid that my old bones aren't suitable for cloud leaping?\I came running here step by step. response:	Where's Su Jin?
context: - Yes. - Wait.\This matter can't get out.\The Nine Heavens must not know about it.\You must do this secretly.\Yes.\Aren't you afraid that my old bones aren't suitable for cloud leaping?\I came running here step by step.\Where's Su Jin? response:	She went to serve tea to those generals.
context: This matter can't get out.\The Nine Heavens must not know about it.\You must do this secretly.\Yes.\Aren't you afraid that my old bones aren't suitable for cloud leaping?\I came running here step by step.\Where's Su Jin?\She went to serve tea to those generals. response:	I don't think she'll be here for a while.
context: The Nine Heavens must not know about it.\You must do this secretly.\Yes.\Aren't you afraid that my old bones aren't suitable for cloud leaping?\I came running here step by step.\Where's Su Jin?\She went to serve tea to those generals.\I don't think she'll be here for a while. response:	Hurry and go.
context: You must do this secretly.\Yes.\Aren't you afraid that my old bones aren't suitable for cloud leaping?\I came running here step by step.\Where's Su Jin?\She went to serve tea to those generals.\I don't think she'll be here for a while.\Hurry and go. response:	Anyone there?
context: Yes.\Aren't you afraid that my old bones aren't suitable for cloud leaping?\I came running here step by step.\Where's Su Jin?\She went to serve tea to those generals.\I don't think she'll be here for a while.\Hurry and go.\Anyone there? response:	Here.
context: Aren't you afraid that my old bones aren't suitable for cloud leaping?\I came running here step by step.\Where's Su Jin?\She went to serve tea to those generals.\I don't think she'll be here for a while.\Hurry and go.\Anyone there?\Here. response:	No one is to come in without my permission.
context: I came running here step by step.\Where's Su Jin?\She went to serve tea to those generals.\I don't think she'll be here for a while.\Hurry and go.\Anyone there?\Here.\No one is to come in without my permission. response:	Yes.
context: Where's Su Jin?\She went to serve tea to those generals.\I don't think she'll be here for a while.\Hurry and go.\Anyone there?\Here.\No one is to come in without my permission.\Yes. response:	Your Highness.
context: She went to serve tea to those generals.\I don't think she'll be here for a while.\Hurry and go.\Anyone there?\Here.\No one is to come in without my permission.\Yes.\Your Highness. response:	I need to go see His Highness.
context: I don't think she'll be here for a while.\Hurry and go.\Anyone there?\Here.\No one is to come in without my permission.\Yes.\Your Highness.\I need to go see His Highness. response:	His Highness said that no one is allowed to go in.
context: Hurry and go.\Anyone there?\Here.\No one is to come in without my permission.\Yes.\Your Highness.\I need to go see His Highness.\His Highness said that no one is allowed to go in. response:	Your Highness, Su Jin would like to see you.
context: Anyone there?\Here.\No one is to come in without my permission.\Yes.\Your Highness.\I need to go see His Highness.\His Highness said that no one is allowed to go in.\Your Highness, Su Jin would like to see you. response:	Su Jin would like to see Your Highness.
context: Here.\No one is to come in without my permission.\Yes.\Your Highness.\I need to go see His Highness.\His Highness said that no one is allowed to go in.\Your Highness, Su Jin would like to see you.\Su Jin would like to see Your Highness. response:	This Su Jin...
context: No one is to come in without my permission.\Yes.\Your Highness.\I need to go see His Highness.\His Highness said that no one is allowed to go in.\Your Highness, Su Jin would like to see you.\Su Jin would like to see Your Highness.\This Su Jin... response:	Didn't she go to serve tea? Why is she here all of a sudden?
context: Yes.\Your Highness.\I need to go see His Highness.\His Highness said that no one is allowed to go in.\Your Highness, Su Jin would like to see you.\Su Jin would like to see Your Highness.\This Su Jin...\Didn't she go to serve tea? Why is she here all of a sudden? response:	What should I do?
context: Your Highness.\I need to go see His Highness.\His Highness said that no one is allowed to go in.\Your Highness, Su Jin would like to see you.\Su Jin would like to see Your Highness.\This Su Jin...\Didn't she go to serve tea? Why is she here all of a sudden?\What should I do? response:	If I don't respond, and she gets suspicious and tells Heavenly Lord
context: I need to go see His Highness.\His Highness said that no one is allowed to go in.\Your Highness, Su Jin would like to see you.\Su Jin would like to see Your Highness.\This Su Jin...\Didn't she go to serve tea? Why is she here all of a sudden?\What should I do?\If I don't respond, and she gets suspicious and tells Heavenly Lord response:	then we're done for.
context: His Highness said that no one is allowed to go in.\Your Highness, Su Jin would like to see you.\Su Jin would like to see Your Highness.\This Su Jin...\Didn't she go to serve tea? Why is she here all of a sudden?\What should I do?\If I don't respond, and she gets suspicious and tells Heavenly Lord\then we're done for. response:	Your Highness.
context: Your Highness, Su Jin would like to see you.\Su Jin would like to see Your Highness.\This Su Jin...\Didn't she go to serve tea? Why is she here all of a sudden?\What should I do?\If I don't respond, and she gets suspicious and tells Heavenly Lord\then we're done for.\Your Highness. response:	His Highness usually doesn't go to bed this early.
context: Su Jin would like to see Your Highness.\This Su Jin...\Didn't she go to serve tea? Why is she here all of a sudden?\What should I do?\If I don't respond, and she gets suspicious and tells Heavenly Lord\then we're done for.\Your Highness.\His Highness usually doesn't go to bed this early. response:	Is he's feeling sick?
context: This Su Jin...\Didn't she go to serve tea? Why is she here all of a sudden?\What should I do?\If I don't respond, and she gets suspicious and tells Heavenly Lord\then we're done for.\Your Highness.\His Highness usually doesn't go to bed this early.\Is he's feeling sick? response:	Shouldn't someone go check on him?
context: Didn't she go to serve tea? Why is she here all of a sudden?\What should I do?\If I don't respond, and she gets suspicious and tells Heavenly Lord\then we're done for.\Your Highness.\His Highness usually doesn't go to bed this early.\Is he's feeling sick?\Shouldn't someone go check on him? response:	Your Highness, please leave. When His Highness doesn't want to see anyone
context: What should I do?\If I don't respond, and she gets suspicious and tells Heavenly Lord\then we're done for.\Your Highness.\His Highness usually doesn't go to bed this early.\Is he's feeling sick?\Shouldn't someone go check on him?\Your Highness, please leave. When His Highness doesn't want to see anyone response:	I'm afraid only Heavenly Lord can make him.
context: If I don't respond, and she gets suspicious and tells Heavenly Lord\then we're done for.\Your Highness.\His Highness usually doesn't go to bed this early.\Is he's feeling sick?\Shouldn't someone go check on him?\Your Highness, please leave. When His Highness doesn't want to see anyone\I'm afraid only Heavenly Lord can make him. response:	Don't you think it's strange?
context: then we're done for.\Your Highness.\His Highness usually doesn't go to bed this early.\Is he's feeling sick?\Shouldn't someone go check on him?\Your Highness, please leave. When His Highness doesn't want to see anyone\I'm afraid only Heavenly Lord can make him.\Don't you think it's strange? response:	If His Highness doesn't want to see me, there should be some response.
context: Your Highness.\His Highness usually doesn't go to bed this early.\Is he's feeling sick?\Shouldn't someone go check on him?\Your Highness, please leave. When His Highness doesn't want to see anyone\I'm afraid only Heavenly Lord can make him.\Don't you think it's strange?\If His Highness doesn't want to see me, there should be some response. response:	Maybe His Highness... didn't hear you.
context: His Highness usually doesn't go to bed this early.\Is he's feeling sick?\Shouldn't someone go check on him?\Your Highness, please leave. When His Highness doesn't want to see anyone\I'm afraid only Heavenly Lord can make him.\Don't you think it's strange?\If His Highness doesn't want to see me, there should be some response.\Maybe His Highness... didn't hear you. response:	Your Highness, did you see? His Highness blew out the candle.
context: Is he's feeling sick?\Shouldn't someone go check on him?\Your Highness, please leave. When His Highness doesn't want to see anyone\I'm afraid only Heavenly Lord can make him.\Don't you think it's strange?\If His Highness doesn't want to see me, there should be some response.\Maybe His Highness... didn't hear you.\Your Highness, did you see? His Highness blew out the candle. response:	I'm afraid he's telling us that he's going to rest.
context: Shouldn't someone go check on him?\Your Highness, please leave. When His Highness doesn't want to see anyone\I'm afraid only Heavenly Lord can make him.\Don't you think it's strange?\If His Highness doesn't want to see me, there should be some response.\Maybe His Highness... didn't hear you.\Your Highness, did you see? His Highness blew out the candle.\I'm afraid he's telling us that he's going to rest. response:	Your Highness, you know His Highness best.
context: Your Highness, please leave. When His Highness doesn't want to see anyone\I'm afraid only Heavenly Lord can make him.\Don't you think it's strange?\If His Highness doesn't want to see me, there should be some response.\Maybe His Highness... didn't hear you.\Your Highness, did you see? His Highness blew out the candle.\I'm afraid he's telling us that he's going to rest.\Your Highness, you know His Highness best. response:	If he doesn't want to say anything, he won't say anything for the whole day.
context: I'm afraid only Heavenly Lord can make him.\Don't you think it's strange?\If His Highness doesn't want to see me, there should be some response.\Maybe His Highness... didn't hear you.\Your Highness, did you see? His Highness blew out the candle.\I'm afraid he's telling us that he's going to rest.\Your Highness, you know His Highness best.\If he doesn't want to say anything, he won't say anything for the whole day. response:	Since he's blown out his candle
context: Don't you think it's strange?\If His Highness doesn't want to see me, there should be some response.\Maybe His Highness... didn't hear you.\Your Highness, did you see? His Highness blew out the candle.\I'm afraid he's telling us that he's going to rest.\Your Highness, you know His Highness best.\If he doesn't want to say anything, he won't say anything for the whole day.\Since he's blown out his candle response:	I'm afraid that means he doesn't want you to disturb him anymore.
context: If His Highness doesn't want to see me, there should be some response.\Maybe His Highness... didn't hear you.\Your Highness, did you see? His Highness blew out the candle.\I'm afraid he's telling us that he's going to rest.\Your Highness, you know His Highness best.\If he doesn't want to say anything, he won't say anything for the whole day.\Since he's blown out his candle\I'm afraid that means he doesn't want you to disturb him anymore. response:	Take care of His Highness.
context: Maybe His Highness... didn't hear you.\Your Highness, did you see? His Highness blew out the candle.\I'm afraid he's telling us that he's going to rest.\Your Highness, you know His Highness best.\If he doesn't want to say anything, he won't say anything for the whole day.\Since he's blown out his candle\I'm afraid that means he doesn't want you to disturb him anymore.\Take care of His Highness. response:	Don't be negligent.
context: Your Highness, did you see? His Highness blew out the candle.\I'm afraid he's telling us that he's going to rest.\Your Highness, you know His Highness best.\If he doesn't want to say anything, he won't say anything for the whole day.\Since he's blown out his candle\I'm afraid that means he doesn't want you to disturb him anymore.\Take care of His Highness.\Don't be negligent. response:	Yes.
context: I'm afraid he's telling us that he's going to rest.\Your Highness, you know His Highness best.\If he doesn't want to say anything, he won't say anything for the whole day.\Since he's blown out his candle\I'm afraid that means he doesn't want you to disturb him anymore.\Take care of His Highness.\Don't be negligent.\Yes. response:	This isn't a long-term solution.
context: Your Highness, you know His Highness best.\If he doesn't want to say anything, he won't say anything for the whole day.\Since he's blown out his candle\I'm afraid that means he doesn't want you to disturb him anymore.\Take care of His Highness.\Don't be negligent.\Yes.\This isn't a long-term solution. response:	As the crown prince of the Celestial Tribe
context: If he doesn't want to say anything, he won't say anything for the whole day.\Since he's blown out his candle\I'm afraid that means he doesn't want you to disturb him anymore.\Take care of His Highness.\Don't be negligent.\Yes.\This isn't a long-term solution.\As the crown prince of the Celestial Tribe response:	if Ye Hua locks himself in his room every day
context: Since he's blown out his candle\I'm afraid that means he doesn't want you to disturb him anymore.\Take care of His Highness.\Don't be negligent.\Yes.\This isn't a long-term solution.\As the crown prince of the Celestial Tribe\if Ye Hua locks himself in his room every day response:	he'll be caught eventually.
context: I'm afraid that means he doesn't want you to disturb him anymore.\Take care of His Highness.\Don't be negligent.\Yes.\This isn't a long-term solution.\As the crown prince of the Celestial Tribe\if Ye Hua locks himself in his room every day\he'll be caught eventually. response:	Su Su!
context: Take care of His Highness.\Don't be negligent.\Yes.\This isn't a long-term solution.\As the crown prince of the Celestial Tribe\if Ye Hua locks himself in his room every day\he'll be caught eventually.\Su Su! response:	Where did she go?
context: Don't be negligent.\Yes.\This isn't a long-term solution.\As the crown prince of the Celestial Tribe\if Ye Hua locks himself in his room every day\he'll be caught eventually.\Su Su!\Where did she go? response:	Ye Hua.
context: Yes.\This isn't a long-term solution.\As the crown prince of the Celestial Tribe\if Ye Hua locks himself in his room every day\he'll be caught eventually.\Su Su!\Where did she go?\Ye Hua. response:	I'm back.
context: This isn't a long-term solution.\As the crown prince of the Celestial Tribe\if Ye Hua locks himself in his room every day\he'll be caught eventually.\Su Su!\Where did she go?\Ye Hua.\I'm back. response:	Do you know that you've been gone for over half a year?
context: As the crown prince of the Celestial Tribe\if Ye Hua locks himself in his room every day\he'll be caught eventually.\Su Su!\Where did she go?\Ye Hua.\I'm back.\Do you know that you've been gone for over half a year? response:	You left without saying anything.
context: if Ye Hua locks himself in his room every day\he'll be caught eventually.\Su Su!\Where did she go?\Ye Hua.\I'm back.\Do you know that you've been gone for over half a year?\You left without saying anything. response:	Was something a matter of life and death?
context: he'll be caught eventually.\Su Su!\Where did she go?\Ye Hua.\I'm back.\Do you know that you've been gone for over half a year?\You left without saying anything.\Was something a matter of life and death? response:	No.
context: Su Su!\Where did she go?\Ye Hua.\I'm back.\Do you know that you've been gone for over half a year?\You left without saying anything.\Was something a matter of life and death?\No. response:	No?
context: Where did she go?\Ye Hua.\I'm back.\Do you know that you've been gone for over half a year?\You left without saying anything.\Was something a matter of life and death?\No.\No? response:	Do you know that you've been gone for over half a year?
context: Ye Hua.\I'm back.\Do you know that you've been gone for over half a year?\You left without saying anything.\Was something a matter of life and death?\No.\No?\Do you know that you've been gone for over half a year? response:	You want me to drop this by just answering no?
context: I'm back.\Do you know that you've been gone for over half a year?\You left without saying anything.\Was something a matter of life and death?\No.\No?\Do you know that you've been gone for over half a year?\You want me to drop this by just answering no? response:	I had something important to take care of.
context: Do you know that you've been gone for over half a year?\You left without saying anything.\Was something a matter of life and death?\No.\No?\Do you know that you've been gone for over half a year?\You want me to drop this by just answering no?\I had something important to take care of. response:	What's so important that you couldn't have told me about it before leaving?
context: You left without saying anything.\Was something a matter of life and death?\No.\No?\Do you know that you've been gone for over half a year?\You want me to drop this by just answering no?\I had something important to take care of.\What's so important that you couldn't have told me about it before leaving? response:	It's my bad.
context: Was something a matter of life and death?\No.\No?\Do you know that you've been gone for over half a year?\You want me to drop this by just answering no?\I had something important to take care of.\What's so important that you couldn't have told me about it before leaving?\It's my bad. response:	Do you know that everything about you is good
context: No.\No?\Do you know that you've been gone for over half a year?\You want me to drop this by just answering no?\I had something important to take care of.\What's so important that you couldn't have told me about it before leaving?\It's my bad.\Do you know that everything about you is good response:	except that you never tell me everything.
context: No?\Do you know that you've been gone for over half a year?\You want me to drop this by just answering no?\I had something important to take care of.\What's so important that you couldn't have told me about it before leaving?\It's my bad.\Do you know that everything about you is good\except that you never tell me everything. response:	So I can never completely know everything about you.
context: Do you know that you've been gone for over half a year?\You want me to drop this by just answering no?\I had something important to take care of.\What's so important that you couldn't have told me about it before leaving?\It's my bad.\Do you know that everything about you is good\except that you never tell me everything.\So I can never completely know everything about you. response:	No matter how much I tell you
context: You want me to drop this by just answering no?\I had something important to take care of.\What's so important that you couldn't have told me about it before leaving?\It's my bad.\Do you know that everything about you is good\except that you never tell me everything.\So I can never completely know everything about you.\No matter how much I tell you response:	it's fine as long as you trust me.
context: I had something important to take care of.\What's so important that you couldn't have told me about it before leaving?\It's my bad.\Do you know that everything about you is good\except that you never tell me everything.\So I can never completely know everything about you.\No matter how much I tell you\it's fine as long as you trust me. response:	Okay. I lose.
context: What's so important that you couldn't have told me about it before leaving?\It's my bad.\Do you know that everything about you is good\except that you never tell me everything.\So I can never completely know everything about you.\No matter how much I tell you\it's fine as long as you trust me.\Okay. I lose. response:	If you don't want to tell me, then don't.
context: It's my bad.\Do you know that everything about you is good\except that you never tell me everything.\So I can never completely know everything about you.\No matter how much I tell you\it's fine as long as you trust me.\Okay. I lose.\If you don't want to tell me, then don't. response:	But if you just take on all these burdens yourself
context: Do you know that everything about you is good\except that you never tell me everything.\So I can never completely know everything about you.\No matter how much I tell you\it's fine as long as you trust me.\Okay. I lose.\If you don't want to tell me, then don't.\But if you just take on all these burdens yourself response:	it makes me think I'm not your wife.
context: except that you never tell me everything.\So I can never completely know everything about you.\No matter how much I tell you\it's fine as long as you trust me.\Okay. I lose.\If you don't want to tell me, then don't.\But if you just take on all these burdens yourself\it makes me think I'm not your wife. response:	Look at you. You're not saying anything again.
context: So I can never completely know everything about you.\No matter how much I tell you\it's fine as long as you trust me.\Okay. I lose.\If you don't want to tell me, then don't.\But if you just take on all these burdens yourself\it makes me think I'm not your wife.\Look at you. You're not saying anything again. response:	You taciturn person, I'm not mad anymore.
context: No matter how much I tell you\it's fine as long as you trust me.\Okay. I lose.\If you don't want to tell me, then don't.\But if you just take on all these burdens yourself\it makes me think I'm not your wife.\Look at you. You're not saying anything again.\You taciturn person, I'm not mad anymore. response:	Can't you just coax me?
context: it's fine as long as you trust me.\Okay. I lose.\If you don't want to tell me, then don't.\But if you just take on all these burdens yourself\it makes me think I'm not your wife.\Look at you. You're not saying anything again.\You taciturn person, I'm not mad anymore.\Can't you just coax me? response:	It's my fault.
context: Okay. I lose.\If you don't want to tell me, then don't.\But if you just take on all these burdens yourself\it makes me think I'm not your wife.\Look at you. You're not saying anything again.\You taciturn person, I'm not mad anymore.\Can't you just coax me?\It's my fault. response:	You... You disappeared for over half a year.
context: If you don't want to tell me, then don't.\But if you just take on all these burdens yourself\it makes me think I'm not your wife.\Look at you. You're not saying anything again.\You taciturn person, I'm not mad anymore.\Can't you just coax me?\It's my fault.\You... You disappeared for over half a year. response:	All you can say is that it's your fault.
context: But if you just take on all these burdens yourself\it makes me think I'm not your wife.\Look at you. You're not saying anything again.\You taciturn person, I'm not mad anymore.\Can't you just coax me?\It's my fault.\You... You disappeared for over half a year.\All you can say is that it's your fault. response:	You're the only one in this world.
context: it makes me think I'm not your wife.\Look at you. You're not saying anything again.\You taciturn person, I'm not mad anymore.\Can't you just coax me?\It's my fault.\You... You disappeared for over half a year.\All you can say is that it's your fault.\You're the only one in this world. response:	Were you hurt?
context: Look at you. You're not saying anything again.\You taciturn person, I'm not mad anymore.\Can't you just coax me?\It's my fault.\You... You disappeared for over half a year.\All you can say is that it's your fault.\You're the only one in this world.\Were you hurt? response:	No. There are very few people in this world that can hurt me.
