context: Gathering shards of the Sacred Jewel, response:	we continue our journey to battle our arch-enemy Naraku.
context: There's no other way.\But my young lord, what about the other personage?\Stop whining!\Leave no stone unturned! Find it!\Yes sire!\Damn!\You should use an umbrella, too, Inuyasha.\Only kids and women use that stuff! response:	Cling to pride and you'll catch cold.
context: But my young lord, what about the other personage?\Stop whining!\Leave no stone unturned! Find it!\Yes sire!\Damn!\You should use an umbrella, too, Inuyasha.\Only kids and women use that stuff!\Cling to pride and you'll catch cold. response:	You just don't understand.
context: Stop whining!\Leave no stone unturned! Find it!\Yes sire!\Damn!\You should use an umbrella, too, Inuyasha.\Only kids and women use that stuff!\Cling to pride and you'll catch cold.\You just don't understand. response:	Understand what?
context: Leave no stone unturned! Find it!\Yes sire!\Damn!\You should use an umbrella, too, Inuyasha.\Only kids and women use that stuff!\Cling to pride and you'll catch cold.\You just don't understand.\Understand what? response:	Umbrellas are useful for a number of reasons.
context: Yes sire!\Damn!\You should use an umbrella, too, Inuyasha.\Only kids and women use that stuff!\Cling to pride and you'll catch cold.\You just don't understand.\Understand what?\Umbrellas are useful for a number of reasons. response:	Like what?
context: Damn!\You should use an umbrella, too, Inuyasha.\Only kids and women use that stuff!\Cling to pride and you'll catch cold.\You just don't understand.\Understand what?\Umbrellas are useful for a number of reasons.\Like what? response:	Well...
context: You should use an umbrella, too, Inuyasha.\Only kids and women use that stuff!\Cling to pride and you'll catch cold.\You just don't understand.\Understand what?\Umbrellas are useful for a number of reasons.\Like what?\Well... response:	What's the matter?
context: Only kids and women use that stuff!\Cling to pride and you'll catch cold.\You just don't understand.\Understand what?\Umbrellas are useful for a number of reasons.\Like what?\Well...\What's the matter? response:	Something's coming.
context: Cling to pride and you'll catch cold.\You just don't understand.\Understand what?\Umbrellas are useful for a number of reasons.\Like what?\Well...\What's the matter?\Something's coming. response:	I don't feel a demonic aura.
context: You just don't understand.\Understand what?\Umbrellas are useful for a number of reasons.\Like what?\Well...\What's the matter?\Something's coming.\I don't feel a demonic aura. response:	I think they're...
context: Understand what?\Umbrellas are useful for a number of reasons.\Like what?\Well...\What's the matter?\Something's coming.\I don't feel a demonic aura.\I think they're... response:	Humans.
context: Umbrellas are useful for a number of reasons.\Like what?\Well...\What's the matter?\Something's coming.\I don't feel a demonic aura.\I think they're...\Humans. response:	Yeah... and a lot of'em.
context: Like what?\Well...\What's the matter?\Something's coming.\I don't feel a demonic aura.\I think they're...\Humans.\Yeah... and a lot of'em. response:	Are you Sango the Demon Slayer and her travel party?
context: Well...\What's the matter?\Something's coming.\I don't feel a demonic aura.\I think they're...\Humans.\Yeah... and a lot of'em.\Are you Sango the Demon Slayer and her travel party? response:	Huh?
context: What's the matter?\Something's coming.\I don't feel a demonic aura.\I think they're...\Humans.\Yeah... and a lot of'em.\Are you Sango the Demon Slayer and her travel party?\Huh? response:	Yes, we are they.
context: Something's coming.\I don't feel a demonic aura.\I think they're...\Humans.\Yeah... and a lot of'em.\Are you Sango the Demon Slayer and her travel party?\Huh?\Yes, we are they. response:	I am Takeda Clan vassal Miwanosuke Asahi.
context: I don't feel a demonic aura.\I think they're...\Humans.\Yeah... and a lot of'em.\Are you Sango the Demon Slayer and her travel party?\Huh?\Yes, we are they.\I am Takeda Clan vassal Miwanosuke Asahi. response:	We have come to speak to Sango.
context: I think they're...\Humans.\Yeah... and a lot of'em.\Are you Sango the Demon Slayer and her travel party?\Huh?\Yes, we are they.\I am Takeda Clan vassal Miwanosuke Asahi.\We have come to speak to Sango. response:	Huh?
context: Humans.\Yeah... and a lot of'em.\Are you Sango the Demon Slayer and her travel party?\Huh?\Yes, we are they.\I am Takeda Clan vassal Miwanosuke Asahi.\We have come to speak to Sango.\Huh? response:	We have to request that you destroy a demon
context: Yeah... and a lot of'em.\Are you Sango the Demon Slayer and her travel party?\Huh?\Yes, we are they.\I am Takeda Clan vassal Miwanosuke Asahi.\We have come to speak to Sango.\Huh?\We have to request that you destroy a demon response:	that has plagued our castle night after night.
context: Are you Sango the Demon Slayer and her travel party?\Huh?\Yes, we are they.\I am Takeda Clan vassal Miwanosuke Asahi.\We have come to speak to Sango.\Huh?\We have to request that you destroy a demon\that has plagued our castle night after night. response:	We will not question your methods.
context: Huh?\Yes, we are they.\I am Takeda Clan vassal Miwanosuke Asahi.\We have come to speak to Sango.\Huh?\We have to request that you destroy a demon\that has plagued our castle night after night.\We will not question your methods. response:	Minor damages to the castle will be tolerated.
context: Yes, we are they.\I am Takeda Clan vassal Miwanosuke Asahi.\We have come to speak to Sango.\Huh?\We have to request that you destroy a demon\that has plagued our castle night after night.\We will not question your methods.\Minor damages to the castle will be tolerated. response:	Here is an advance.
context: I am Takeda Clan vassal Miwanosuke Asahi.\We have come to speak to Sango.\Huh?\We have to request that you destroy a demon\that has plagued our castle night after night.\We will not question your methods.\Minor damages to the castle will be tolerated.\Here is an advance. response:	After the beast is destroyed,
context: We have come to speak to Sango.\Huh?\We have to request that you destroy a demon\that has plagued our castle night after night.\We will not question your methods.\Minor damages to the castle will be tolerated.\Here is an advance.\After the beast is destroyed, response:	you will receive an amount equal to this.
context: Huh?\We have to request that you destroy a demon\that has plagued our castle night after night.\We will not question your methods.\Minor damages to the castle will be tolerated.\Here is an advance.\After the beast is destroyed,\you will receive an amount equal to this. response:	What do you say?
context: We have to request that you destroy a demon\that has plagued our castle night after night.\We will not question your methods.\Minor damages to the castle will be tolerated.\Here is an advance.\After the beast is destroyed,\you will receive an amount equal to this.\What do you say? response:	It is not a bad offer?
context: that has plagued our castle night after night.\We will not question your methods.\Minor damages to the castle will be tolerated.\Here is an advance.\After the beast is destroyed,\you will receive an amount equal to this.\What do you say?\It is not a bad offer? response:	It's way too much.
context: We will not question your methods.\Minor damages to the castle will be tolerated.\Here is an advance.\After the beast is destroyed,\you will receive an amount equal to this.\What do you say?\It is not a bad offer?\It's way too much. response:	Ten times... Twenty times what is normally charged.
context: Minor damages to the castle will be tolerated.\Here is an advance.\After the beast is destroyed,\you will receive an amount equal to this.\What do you say?\It is not a bad offer?\It's way too much.\Ten times... Twenty times what is normally charged. response:	Then you'll agree?
context: Here is an advance.\After the beast is destroyed,\you will receive an amount equal to this.\What do you say?\It is not a bad offer?\It's way too much.\Ten times... Twenty times what is normally charged.\Then you'll agree? response:	The terms are too good.
context: After the beast is destroyed,\you will receive an amount equal to this.\What do you say?\It is not a bad offer?\It's way too much.\Ten times... Twenty times what is normally charged.\Then you'll agree?\The terms are too good. response:	I'm sorry, but I must...
context: you will receive an amount equal to this.\What do you say?\It is not a bad offer?\It's way too much.\Ten times... Twenty times what is normally charged.\Then you'll agree?\The terms are too good.\I'm sorry, but I must... response:	You cannot refuse!
context: What do you say?\It is not a bad offer?\It's way too much.\Ten times... Twenty times what is normally charged.\Then you'll agree?\The terms are too good.\I'm sorry, but I must...\You cannot refuse! response:	It's been a long time, Sango.
context: It is not a bad offer?\It's way too much.\Ten times... Twenty times what is normally charged.\Then you'll agree?\The terms are too good.\I'm sorry, but I must...\You cannot refuse!\It's been a long time, Sango. response:	Huh?
context: It's way too much.\Ten times... Twenty times what is normally charged.\Then you'll agree?\The terms are too good.\I'm sorry, but I must...\You cannot refuse!\It's been a long time, Sango.\Huh? response:	Who are you?
context: Ten times... Twenty times what is normally charged.\Then you'll agree?\The terms are too good.\I'm sorry, but I must...\You cannot refuse!\It's been a long time, Sango.\Huh?\Who are you? response:	Sango, you don't remember?
context: Then you'll agree?\The terms are too good.\I'm sorry, but I must...\You cannot refuse!\It's been a long time, Sango.\Huh?\Who are you?\Sango, you don't remember? response:	You seem to have totally forgotten.
context: The terms are too good.\I'm sorry, but I must...\You cannot refuse!\It's been a long time, Sango.\Huh?\Who are you?\Sango, you don't remember?\You seem to have totally forgotten. response:	Uh-huh...
context: I'm sorry, but I must...\You cannot refuse!\It's been a long time, Sango.\Huh?\Who are you?\Sango, you don't remember?\You seem to have totally forgotten.\Uh-huh... response:	Well, I don't blame her for not remembering.
context: You cannot refuse!\It's been a long time, Sango.\Huh?\Who are you?\Sango, you don't remember?\You seem to have totally forgotten.\Uh-huh...\Well, I don't blame her for not remembering. response:	It was a long time ago.
context: It's been a long time, Sango.\Huh?\Who are you?\Sango, you don't remember?\You seem to have totally forgotten.\Uh-huh...\Well, I don't blame her for not remembering.\It was a long time ago. response:	But we mustn't talk here.
context: Huh?\Who are you?\Sango, you don't remember?\You seem to have totally forgotten.\Uh-huh...\Well, I don't blame her for not remembering.\It was a long time ago.\But we mustn't talk here. response:	Come to the castle.
context: Who are you?\Sango, you don't remember?\You seem to have totally forgotten.\Uh-huh...\Well, I don't blame her for not remembering.\It was a long time ago.\But we mustn't talk here.\Come to the castle. response:	W-What is this?
context: Sango, you don't remember?\You seem to have totally forgotten.\Uh-huh...\Well, I don't blame her for not remembering.\It was a long time ago.\But we mustn't talk here.\Come to the castle.\W-What is this? response:	Wow! Amazing!
context: You seem to have totally forgotten.\Uh-huh...\Well, I don't blame her for not remembering.\It was a long time ago.\But we mustn't talk here.\Come to the castle.\W-What is this?\Wow! Amazing! response:	What a fine castle!
context: Uh-huh...\Well, I don't blame her for not remembering.\It was a long time ago.\But we mustn't talk here.\Come to the castle.\W-What is this?\Wow! Amazing!\What a fine castle! response:	Pardon the late introduction.
context: Well, I don't blame her for not remembering.\It was a long time ago.\But we mustn't talk here.\Come to the castle.\W-What is this?\Wow! Amazing!\What a fine castle!\Pardon the late introduction. response:	I am Kuranosuke Takeda, lord of this castle.
context: It was a long time ago.\But we mustn't talk here.\Come to the castle.\W-What is this?\Wow! Amazing!\What a fine castle!\Pardon the late introduction.\I am Kuranosuke Takeda, lord of this castle. response:	A clan lord?
context: But we mustn't talk here.\Come to the castle.\W-What is this?\Wow! Amazing!\What a fine castle!\Pardon the late introduction.\I am Kuranosuke Takeda, lord of this castle.\A clan lord? response:	No wonder he acts pompous.
context: Come to the castle.\W-What is this?\Wow! Amazing!\What a fine castle!\Pardon the late introduction.\I am Kuranosuke Takeda, lord of this castle.\A clan lord?\No wonder he acts pompous. response:	Kuranosuke Takeda...
context: W-What is this?\Wow! Amazing!\What a fine castle!\Pardon the late introduction.\I am Kuranosuke Takeda, lord of this castle.\A clan lord?\No wonder he acts pompous.\Kuranosuke Takeda... response:	Oh, that time... the runny-nosed kid!
context: Wow! Amazing!\What a fine castle!\Pardon the late introduction.\I am Kuranosuke Takeda, lord of this castle.\A clan lord?\No wonder he acts pompous.\Kuranosuke Takeda...\Oh, that time... the runny-nosed kid! response:	I mean... Young lord.
context: What a fine castle!\Pardon the late introduction.\I am Kuranosuke Takeda, lord of this castle.\A clan lord?\No wonder he acts pompous.\Kuranosuke Takeda...\Oh, that time... the runny-nosed kid!\I mean... Young lord. response:	So you remember.
context: Pardon the late introduction.\I am Kuranosuke Takeda, lord of this castle.\A clan lord?\No wonder he acts pompous.\Kuranosuke Takeda...\Oh, that time... the runny-nosed kid!\I mean... Young lord.\So you remember. response:	Yes, it was six years ago.
context: I am Kuranosuke Takeda, lord of this castle.\A clan lord?\No wonder he acts pompous.\Kuranosuke Takeda...\Oh, that time... the runny-nosed kid!\I mean... Young lord.\So you remember.\Yes, it was six years ago. response:	My castle had been plagued by a demon
context: A clan lord?\No wonder he acts pompous.\Kuranosuke Takeda...\Oh, that time... the runny-nosed kid!\I mean... Young lord.\So you remember.\Yes, it was six years ago.\My castle had been plagued by a demon response:	and we had hired your group to slay it.
context: No wonder he acts pompous.\Kuranosuke Takeda...\Oh, that time... the runny-nosed kid!\I mean... Young lord.\So you remember.\Yes, it was six years ago.\My castle had been plagued by a demon\and we had hired your group to slay it. response:	It was a magnificent sight.
context: Kuranosuke Takeda...\Oh, that time... the runny-nosed kid!\I mean... Young lord.\So you remember.\Yes, it was six years ago.\My castle had been plagued by a demon\and we had hired your group to slay it.\It was a magnificent sight. response:	Like a single lily in the bloody battlefield.
context: Oh, that time... the runny-nosed kid!\I mean... Young lord.\So you remember.\Yes, it was six years ago.\My castle had been plagued by a demon\and we had hired your group to slay it.\It was a magnificent sight.\Like a single lily in the bloody battlefield. response:	You were so awe-inspiring!
context: I mean... Young lord.\So you remember.\Yes, it was six years ago.\My castle had been plagued by a demon\and we had hired your group to slay it.\It was a magnificent sight.\Like a single lily in the bloody battlefield.\You were so awe-inspiring! response:	Awe-inspiring?
context: So you remember.\Yes, it was six years ago.\My castle had been plagued by a demon\and we had hired your group to slay it.\It was a magnificent sight.\Like a single lily in the bloody battlefield.\You were so awe-inspiring!\Awe-inspiring? response:	Oh, let me come to the point!
context: Yes, it was six years ago.\My castle had been plagued by a demon\and we had hired your group to slay it.\It was a magnificent sight.\Like a single lily in the bloody battlefield.\You were so awe-inspiring!\Awe-inspiring?\Oh, let me come to the point! response:	Sango! Destroy the beast, then marry me!
context: My castle had been plagued by a demon\and we had hired your group to slay it.\It was a magnificent sight.\Like a single lily in the bloody battlefield.\You were so awe-inspiring!\Awe-inspiring?\Oh, let me come to the point!\Sango! Destroy the beast, then marry me! response:	What?! This is so sudden!
context: and we had hired your group to slay it.\It was a magnificent sight.\Like a single lily in the bloody battlefield.\You were so awe-inspiring!\Awe-inspiring?\Oh, let me come to the point!\Sango! Destroy the beast, then marry me!\What?! This is so sudden! response:	I had decided the moment I saw you.
context: It was a magnificent sight.\Like a single lily in the bloody battlefield.\You were so awe-inspiring!\Awe-inspiring?\Oh, let me come to the point!\Sango! Destroy the beast, then marry me!\What?! This is so sudden!\I had decided the moment I saw you. response:	The one who will become my wife... is you, Sango, and only you!
context: Like a single lily in the bloody battlefield.\You were so awe-inspiring!\Awe-inspiring?\Oh, let me come to the point!\Sango! Destroy the beast, then marry me!\What?! This is so sudden!\I had decided the moment I saw you.\The one who will become my wife... is you, Sango, and only you! response:	Err... I...
context: You were so awe-inspiring!\Awe-inspiring?\Oh, let me come to the point!\Sango! Destroy the beast, then marry me!\What?! This is so sudden!\I had decided the moment I saw you.\The one who will become my wife... is you, Sango, and only you!\Err... I... response:	I hope you will accept.
context: Awe-inspiring?\Oh, let me come to the point!\Sango! Destroy the beast, then marry me!\What?! This is so sudden!\I had decided the moment I saw you.\The one who will become my wife... is you, Sango, and only you!\Err... I...\I hope you will accept. response:	Men! Prepare rooms for the guests!
context: Oh, let me come to the point!\Sango! Destroy the beast, then marry me!\What?! This is so sudden!\I had decided the moment I saw you.\The one who will become my wife... is you, Sango, and only you!\Err... I...\I hope you will accept.\Men! Prepare rooms for the guests! response:	Yes, sire!
context: Sango! Destroy the beast, then marry me!\What?! This is so sudden!\I had decided the moment I saw you.\The one who will become my wife... is you, Sango, and only you!\Err... I...\I hope you will accept.\Men! Prepare rooms for the guests!\Yes, sire! response:	What's happening anyway?
context: What?! This is so sudden!\I had decided the moment I saw you.\The one who will become my wife... is you, Sango, and only you!\Err... I...\I hope you will accept.\Men! Prepare rooms for the guests!\Yes, sire!\What's happening anyway? response:	Huh?
context: I had decided the moment I saw you.\The one who will become my wife... is you, Sango, and only you!\Err... I...\I hope you will accept.\Men! Prepare rooms for the guests!\Yes, sire!\What's happening anyway?\Huh? response:	It can't be helped.
context: The one who will become my wife... is you, Sango, and only you!\Err... I...\I hope you will accept.\Men! Prepare rooms for the guests!\Yes, sire!\What's happening anyway?\Huh?\It can't be helped. response:	Sango is a candidate to become a lord's bride.
context: Err... I...\I hope you will accept.\Men! Prepare rooms for the guests!\Yes, sire!\What's happening anyway?\Huh?\It can't be helped.\Sango is a candidate to become a lord's bride. response:	What'll I do? How do I refuse?
context: I hope you will accept.\Men! Prepare rooms for the guests!\Yes, sire!\What's happening anyway?\Huh?\It can't be helped.\Sango is a candidate to become a lord's bride.\What'll I do? How do I refuse? response:	Err... Miroku...
context: Men! Prepare rooms for the guests!\Yes, sire!\What's happening anyway?\Huh?\It can't be helped.\Sango is a candidate to become a lord's bride.\What'll I do? How do I refuse?\Err... Miroku... response:	Will you bear my child?
context: Yes, sire!\What's happening anyway?\Huh?\It can't be helped.\Sango is a candidate to become a lord's bride.\What'll I do? How do I refuse?\Err... Miroku...\Will you bear my child? response:	Huh?
context: What's happening anyway?\Huh?\It can't be helped.\Sango is a candidate to become a lord's bride.\What'll I do? How do I refuse?\Err... Miroku...\Will you bear my child?\Huh? response:	Surely you jest, Master Monk!
context: Huh?\It can't be helped.\Sango is a candidate to become a lord's bride.\What'll I do? How do I refuse?\Err... Miroku...\Will you bear my child?\Huh?\Surely you jest, Master Monk! response:	No, no. It's no joke.
context: It can't be helped.\Sango is a candidate to become a lord's bride.\What'll I do? How do I refuse?\Err... Miroku...\Will you bear my child?\Huh?\Surely you jest, Master Monk!\No, no. It's no joke. response:	What a fool!
context: Sango is a candidate to become a lord's bride.\What'll I do? How do I refuse?\Err... Miroku...\Will you bear my child?\Huh?\Surely you jest, Master Monk!\No, no. It's no joke.\What a fool! response:	That man is so maddening!
context: What'll I do? How do I refuse?\Err... Miroku...\Will you bear my child?\Huh?\Surely you jest, Master Monk!\No, no. It's no joke.\What a fool!\That man is so maddening! response:	Goodness! There was no need to slap me.
context: Err... Miroku...\Will you bear my child?\Huh?\Surely you jest, Master Monk!\No, no. It's no joke.\What a fool!\That man is so maddening!\Goodness! There was no need to slap me. response:	You didn't have to flirt with a girl like that!
context: Will you bear my child?\Huh?\Surely you jest, Master Monk!\No, no. It's no joke.\What a fool!\That man is so maddening!\Goodness! There was no need to slap me.\You didn't have to flirt with a girl like that! response:	Sango was so angry.
context: Huh?\Surely you jest, Master Monk!\No, no. It's no joke.\What a fool!\That man is so maddening!\Goodness! There was no need to slap me.\You didn't have to flirt with a girl like that!\Sango was so angry. response:	Miroku flirts all the time.
context: Surely you jest, Master Monk!\No, no. It's no joke.\What a fool!\That man is so maddening!\Goodness! There was no need to slap me.\You didn't have to flirt with a girl like that!\Sango was so angry.\Miroku flirts all the time. response:	What's the big deal?
context: No, no. It's no joke.\What a fool!\That man is so maddening!\Goodness! There was no need to slap me.\You didn't have to flirt with a girl like that!\Sango was so angry.\Miroku flirts all the time.\What's the big deal? response:	You don't understand a thing, Inuyasha!
context: What a fool!\That man is so maddening!\Goodness! There was no need to slap me.\You didn't have to flirt with a girl like that!\Sango was so angry.\Miroku flirts all the time.\What's the big deal?\You don't understand a thing, Inuyasha! response:	Understand what?
context: That man is so maddening!\Goodness! There was no need to slap me.\You didn't have to flirt with a girl like that!\Sango was so angry.\Miroku flirts all the time.\What's the big deal?\You don't understand a thing, Inuyasha!\Understand what? response:	Sango wants Miroku to stop her!
context: Goodness! There was no need to slap me.\You didn't have to flirt with a girl like that!\Sango was so angry.\Miroku flirts all the time.\What's the big deal?\You don't understand a thing, Inuyasha!\Understand what?\Sango wants Miroku to stop her! response:	Stop what?!
context: You didn't have to flirt with a girl like that!\Sango was so angry.\Miroku flirts all the time.\What's the big deal?\You don't understand a thing, Inuyasha!\Understand what?\Sango wants Miroku to stop her!\Stop what?! response:	He is so dense!
context: Sango was so angry.\Miroku flirts all the time.\What's the big deal?\You don't understand a thing, Inuyasha!\Understand what?\Sango wants Miroku to stop her!\Stop what?!\He is so dense! response:	But this may be just the chance!
context: Miroku flirts all the time.\What's the big deal?\You don't understand a thing, Inuyasha!\Understand what?\Sango wants Miroku to stop her!\Stop what?!\He is so dense!\But this may be just the chance! response:	Miroku has to be concerned about Sango.
context: What's the big deal?\You don't understand a thing, Inuyasha!\Understand what?\Sango wants Miroku to stop her!\Stop what?!\He is so dense!\But this may be just the chance!\Miroku has to be concerned about Sango. response:	So if I just give him a little push...
context: You don't understand a thing, Inuyasha!\Understand what?\Sango wants Miroku to stop her!\Stop what?!\He is so dense!\But this may be just the chance!\Miroku has to be concerned about Sango.\So if I just give him a little push... response:	W-What's the matter?
context: Understand what?\Sango wants Miroku to stop her!\Stop what?!\He is so dense!\But this may be just the chance!\Miroku has to be concerned about Sango.\So if I just give him a little push...\W-What's the matter? response:	I wonder...
context: Sango wants Miroku to stop her!\Stop what?!\He is so dense!\But this may be just the chance!\Miroku has to be concerned about Sango.\So if I just give him a little push...\W-What's the matter?\I wonder... response:	And now that's decided...
context: Stop what?!\He is so dense!\But this may be just the chance!\Miroku has to be concerned about Sango.\So if I just give him a little push...\W-What's the matter?\I wonder...\And now that's decided... response:	Let's go for it!
context: He is so dense!\But this may be just the chance!\Miroku has to be concerned about Sango.\So if I just give him a little push...\W-What's the matter?\I wonder...\And now that's decided...\Let's go for it! response:	Miroku, come with me!
context: But this may be just the chance!\Miroku has to be concerned about Sango.\So if I just give him a little push...\W-What's the matter?\I wonder...\And now that's decided...\Let's go for it!\Miroku, come with me! response:	Aghh! Kagome, what's going on?!
context: Miroku has to be concerned about Sango.\So if I just give him a little push...\W-What's the matter?\I wonder...\And now that's decided...\Let's go for it!\Miroku, come with me!\Aghh! Kagome, what's going on?! response:	Just come!
context: So if I just give him a little push...\W-What's the matter?\I wonder...\And now that's decided...\Let's go for it!\Miroku, come with me!\Aghh! Kagome, what's going on?!\Just come! response:	I have to be strong.
context: W-What's the matter?\I wonder...\And now that's decided...\Let's go for it!\Miroku, come with me!\Aghh! Kagome, what's going on?!\Just come!\I have to be strong. response:	Okay.
context: I wonder...\And now that's decided...\Let's go for it!\Miroku, come with me!\Aghh! Kagome, what's going on?!\Just come!\I have to be strong.\Okay. response:	What is the matter?
context: And now that's decided...\Let's go for it!\Miroku, come with me!\Aghh! Kagome, what's going on?!\Just come!\I have to be strong.\Okay.\What is the matter? response:	Must you ask?!
context: Let's go for it!\Miroku, come with me!\Aghh! Kagome, what's going on?!\Just come!\I have to be strong.\Okay.\What is the matter?\Must you ask?! response:	Do you realize Sango might get married?
context: Miroku, come with me!\Aghh! Kagome, what's going on?!\Just come!\I have to be strong.\Okay.\What is the matter?\Must you ask?!\Do you realize Sango might get married? response:	And what of it?
context: Aghh! Kagome, what's going on?!\Just come!\I have to be strong.\Okay.\What is the matter?\Must you ask?!\Do you realize Sango might get married?\And what of it? response:	What of it?!
context: Just come!\I have to be strong.\Okay.\What is the matter?\Must you ask?!\Do you realize Sango might get married?\And what of it?\What of it?! response:	Is that all right with you?
context: I have to be strong.\Okay.\What is the matter?\Must you ask?!\Do you realize Sango might get married?\And what of it?\What of it?!\Is that all right with you? response:	Well... It's something Sango must decide.
context: Okay.\What is the matter?\Must you ask?!\Do you realize Sango might get married?\And what of it?\What of it?!\Is that all right with you?\Well... It's something Sango must decide. response:	It's none of our business.
context: What is the matter?\Must you ask?!\Do you realize Sango might get married?\And what of it?\What of it?!\Is that all right with you?\Well... It's something Sango must decide.\It's none of our business. response:	I guess.
context: Must you ask?!\Do you realize Sango might get married?\And what of it?\What of it?!\Is that all right with you?\Well... It's something Sango must decide.\It's none of our business.\I guess. response:	After all, any woman would do for you.
context: Do you realize Sango might get married?\And what of it?\What of it?!\Is that all right with you?\Well... It's something Sango must decide.\It's none of our business.\I guess.\After all, any woman would do for you. response:	You... without fortune, home, or status...
context: And what of it?\What of it?!\Is that all right with you?\Well... It's something Sango must decide.\It's none of our business.\I guess.\After all, any woman would do for you.\You... without fortune, home, or status... response:	just a flirtatious, itinerant monk!
context: What of it?!\Is that all right with you?\Well... It's something Sango must decide.\It's none of our business.\I guess.\After all, any woman would do for you.\You... without fortune, home, or status...\just a flirtatious, itinerant monk! response:	On the other hand, a clan lord who is young, handsome and rich.
context: Is that all right with you?\Well... It's something Sango must decide.\It's none of our business.\I guess.\After all, any woman would do for you.\You... without fortune, home, or status...\just a flirtatious, itinerant monk!\On the other hand, a clan lord who is young, handsome and rich. response:	Earnest and focused and unlikely to stray...
context: Well... It's something Sango must decide.\It's none of our business.\I guess.\After all, any woman would do for you.\You... without fortune, home, or status...\just a flirtatious, itinerant monk!\On the other hand, a clan lord who is young, handsome and rich.\Earnest and focused and unlikely to stray... response:	He's a huge catch!
context: It's none of our business.\I guess.\After all, any woman would do for you.\You... without fortune, home, or status...\just a flirtatious, itinerant monk!\On the other hand, a clan lord who is young, handsome and rich.\Earnest and focused and unlikely to stray...\He's a huge catch! response:	I guess there's absolutely no question who's better.
context: I guess.\After all, any woman would do for you.\You... without fortune, home, or status...\just a flirtatious, itinerant monk!\On the other hand, a clan lord who is young, handsome and rich.\Earnest and focused and unlikely to stray...\He's a huge catch!\I guess there's absolutely no question who's better. response:	W-What? Well? Are you nervous?
