context: Being Here response:	So let's do an experiment.
context: Put the flour in a bowl and pour the water in a little at a time, mixing as we go.\Once it's mixed well, put some muscle in it as you knead it.\If you put in too much water, it'll get sticky, and make it hard to form into balls,\so stop when the dough has taken shape.\Then roll the dough out into rod shapes with your hands\and rip them apart into bite-sized piece.\I'm getting the hang of it!\KNEAD KNEAD response:	ROLL ROLL
context: Once it's mixed well, put some muscle in it as you knead it.\If you put in too much water, it'll get sticky, and make it hard to form into balls,\so stop when the dough has taken shape.\Then roll the dough out into rod shapes with your hands\and rip them apart into bite-sized piece.\I'm getting the hang of it!\KNEAD KNEAD\ROLL ROLL response:	This is fun!
context: If you put in too much water, it'll get sticky, and make it hard to form into balls,\so stop when the dough has taken shape.\Then roll the dough out into rod shapes with your hands\and rip them apart into bite-sized piece.\I'm getting the hang of it!\KNEAD KNEAD\ROLL ROLL\This is fun! response:	Rice flour dumplings! This is Momo's!
context: so stop when the dough has taken shape.\Then roll the dough out into rod shapes with your hands\and rip them apart into bite-sized piece.\I'm getting the hang of it!\KNEAD KNEAD\ROLL ROLL\This is fun!\Rice flour dumplings! This is Momo's! response:	FWHAAA
context: Then roll the dough out into rod shapes with your hands\and rip them apart into bite-sized piece.\I'm getting the hang of it!\KNEAD KNEAD\ROLL ROLL\This is fun!\Rice flour dumplings! This is Momo's!\FWHAAA response:	PUSH PUSH
context: and rip them apart into bite-sized piece.\I'm getting the hang of it!\KNEAD KNEAD\ROLL ROLL\This is fun!\Rice flour dumplings! This is Momo's!\FWHAAA\PUSH PUSH response:	SQUISH SQUISH
context: I'm getting the hang of it!\KNEAD KNEAD\ROLL ROLL\This is fun!\Rice flour dumplings! This is Momo's!\FWHAAA\PUSH PUSH\SQUISH SQUISH response:	Yes, you're doing good, Momo.
context: KNEAD KNEAD\ROLL ROLL\This is fun!\Rice flour dumplings! This is Momo's!\FWHAAA\PUSH PUSH\SQUISH SQUISH\Yes, you're doing good, Momo. response:	But maybe it's a little big.
context: ROLL ROLL\This is fun!\Rice flour dumplings! This is Momo's!\FWHAAA\PUSH PUSH\SQUISH SQUISH\Yes, you're doing good, Momo.\But maybe it's a little big. response:	Sis, about this size?
context: This is fun!\Rice flour dumplings! This is Momo's!\FWHAAA\PUSH PUSH\SQUISH SQUISH\Yes, you're doing good, Momo.\But maybe it's a little big.\Sis, about this size? response:	Is it too small?
context: Rice flour dumplings! This is Momo's!\FWHAAA\PUSH PUSH\SQUISH SQUISH\Yes, you're doing good, Momo.\But maybe it's a little big.\Sis, about this size?\Is it too small? response:	TINY
context: FWHAAA\PUSH PUSH\SQUISH SQUISH\Yes, you're doing good, Momo.\But maybe it's a little big.\Sis, about this size?\Is it too small?\TINY response:	More circular?
context: PUSH PUSH\SQUISH SQUISH\Yes, you're doing good, Momo.\But maybe it's a little big.\Sis, about this size?\Is it too small?\TINY\More circular? response:	Don't worry. They'll expand a bit when we boil them, so that's perfect.
context: SQUISH SQUISH\Yes, you're doing good, Momo.\But maybe it's a little big.\Sis, about this size?\Is it too small?\TINY\More circular?\Don't worry. They'll expand a bit when we boil them, so that's perfect. response:	When making large rice flour dumplings, you would put a little dent in them like this,
context: Yes, you're doing good, Momo.\But maybe it's a little big.\Sis, about this size?\Is it too small?\TINY\More circular?\Don't worry. They'll expand a bit when we boil them, so that's perfect.\When making large rice flour dumplings, you would put a little dent in them like this, response:	but today we're making smaller ones.
context: But maybe it's a little big.\Sis, about this size?\Is it too small?\TINY\More circular?\Don't worry. They'll expand a bit when we boil them, so that's perfect.\When making large rice flour dumplings, you would put a little dent in them like this,\but today we're making smaller ones. response:	Next we put them in boiling water.
context: Sis, about this size?\Is it too small?\TINY\More circular?\Don't worry. They'll expand a bit when we boil them, so that's perfect.\When making large rice flour dumplings, you would put a little dent in them like this,\but today we're making smaller ones.\Next we put them in boiling water. response:	After two or three minutes, they'll come burbling up to the surface.
context: Is it too small?\TINY\More circular?\Don't worry. They'll expand a bit when we boil them, so that's perfect.\When making large rice flour dumplings, you would put a little dent in them like this,\but today we're making smaller ones.\Next we put them in boiling water.\After two or three minutes, they'll come burbling up to the surface. response:	Maybe a little more.
context: TINY\More circular?\Don't worry. They'll expand a bit when we boil them, so that's perfect.\When making large rice flour dumplings, you would put a little dent in them like this,\but today we're making smaller ones.\Next we put them in boiling water.\After two or three minutes, they'll come burbling up to the surface.\Maybe a little more. response:	A little more?
context: More circular?\Don't worry. They'll expand a bit when we boil them, so that's perfect.\When making large rice flour dumplings, you would put a little dent in them like this,\but today we're making smaller ones.\Next we put them in boiling water.\After two or three minutes, they'll come burbling up to the surface.\Maybe a little more.\A little more? response:	Then you keep them in the boiling water for another minute.
context: Don't worry. They'll expand a bit when we boil them, so that's perfect.\When making large rice flour dumplings, you would put a little dent in them like this,\but today we're making smaller ones.\Next we put them in boiling water.\After two or three minutes, they'll come burbling up to the surface.\Maybe a little more.\A little more?\Then you keep them in the boiling water for another minute. response:	Then transfer them to ice water, which firms them up.
context: When making large rice flour dumplings, you would put a little dent in them like this,\but today we're making smaller ones.\Next we put them in boiling water.\After two or three minutes, they'll come burbling up to the surface.\Maybe a little more.\A little more?\Then you keep them in the boiling water for another minute.\Then transfer them to ice water, which firms them up. response:	And...
context: but today we're making smaller ones.\Next we put them in boiling water.\After two or three minutes, they'll come burbling up to the surface.\Maybe a little more.\A little more?\Then you keep them in the boiling water for another minute.\Then transfer them to ice water, which firms them up.\And... response:	They're done!
context: Next we put them in boiling water.\After two or three minutes, they'll come burbling up to the surface.\Maybe a little more.\A little more?\Then you keep them in the boiling water for another minute.\Then transfer them to ice water, which firms them up.\And...\They're done! response:	TA-DAA
context: After two or three minutes, they'll come burbling up to the surface.\Maybe a little more.\A little more?\Then you keep them in the boiling water for another minute.\Then transfer them to ice water, which firms them up.\And...\They're done!\TA-DAA response:	Voila!
context: Maybe a little more.\A little more?\Then you keep them in the boiling water for another minute.\Then transfer them to ice water, which firms them up.\And...\They're done!\TA-DAA\Voila! response:	SPRINGY
context: A little more?\Then you keep them in the boiling water for another minute.\Then transfer them to ice water, which firms them up.\And...\They're done!\TA-DAA\Voila!\SPRINGY response:	Th-That was so fast! And simple!
context: Then you keep them in the boiling water for another minute.\Then transfer them to ice water, which firms them up.\And...\They're done!\TA-DAA\Voila!\SPRINGY\Th-That was so fast! And simple! response:	Wonderful!
context: Then transfer them to ice water, which firms them up.\And...\They're done!\TA-DAA\Voila!\SPRINGY\Th-That was so fast! And simple!\Wonderful! response:	At first, let's just try it with sugar and soy sauce.
context: And...\They're done!\TA-DAA\Voila!\SPRINGY\Th-That was so fast! And simple!\Wonderful!\At first, let's just try it with sugar and soy sauce. response:	Yum!
context: They're done!\TA-DAA\Voila!\SPRINGY\Th-That was so fast! And simple!\Wonderful!\At first, let's just try it with sugar and soy sauce.\Yum! response:	It's so chewy!
context: TA-DAA\Voila!\SPRINGY\Th-That was so fast! And simple!\Wonderful!\At first, let's just try it with sugar and soy sauce.\Yum!\It's so chewy! response:	The rice flour dumplings pass the taste test,
context: Voila!\SPRINGY\Th-That was so fast! And simple!\Wonderful!\At first, let's just try it with sugar and soy sauce.\Yum!\It's so chewy!\The rice flour dumplings pass the taste test, response:	but the challenge is the syrup.
context: SPRINGY\Th-That was so fast! And simple!\Wonderful!\At first, let's just try it with sugar and soy sauce.\Yum!\It's so chewy!\The rice flour dumplings pass the taste test,\but the challenge is the syrup. response:	We have matcha, right? Plum syrup, chilled sweet red bean soup...
context: Th-That was so fast! And simple!\Wonderful!\At first, let's just try it with sugar and soy sauce.\Yum!\It's so chewy!\The rice flour dumplings pass the taste test,\but the challenge is the syrup.\We have matcha, right? Plum syrup, chilled sweet red bean soup... response:	It's so delicious with matcha!
context: Wonderful!\At first, let's just try it with sugar and soy sauce.\Yum!\It's so chewy!\The rice flour dumplings pass the taste test,\but the challenge is the syrup.\We have matcha, right? Plum syrup, chilled sweet red bean soup...\It's so delicious with matcha! response:	But powdered matcha is expensive.
context: At first, let's just try it with sugar and soy sauce.\Yum!\It's so chewy!\The rice flour dumplings pass the taste test,\but the challenge is the syrup.\We have matcha, right? Plum syrup, chilled sweet red bean soup...\It's so delicious with matcha!\But powdered matcha is expensive. response:	I don't want to make each cup more than 300 yen.
context: Yum!\It's so chewy!\The rice flour dumplings pass the taste test,\but the challenge is the syrup.\We have matcha, right? Plum syrup, chilled sweet red bean soup...\It's so delicious with matcha!\But powdered matcha is expensive.\I don't want to make each cup more than 300 yen. response:	Um, if we can get about 60 small dumplings from 200 grams of rice flour...
context: It's so chewy!\The rice flour dumplings pass the taste test,\but the challenge is the syrup.\We have matcha, right? Plum syrup, chilled sweet red bean soup...\It's so delicious with matcha!\But powdered matcha is expensive.\I don't want to make each cup more than 300 yen.\Um, if we can get about 60 small dumplings from 200 grams of rice flour... response:	Let's see...
context: The rice flour dumplings pass the taste test,\but the challenge is the syrup.\We have matcha, right? Plum syrup, chilled sweet red bean soup...\It's so delicious with matcha!\But powdered matcha is expensive.\I don't want to make each cup more than 300 yen.\Um, if we can get about 60 small dumplings from 200 grams of rice flour...\Let's see... response:	HMMM
context: but the challenge is the syrup.\We have matcha, right? Plum syrup, chilled sweet red bean soup...\It's so delicious with matcha!\But powdered matcha is expensive.\I don't want to make each cup more than 300 yen.\Um, if we can get about 60 small dumplings from 200 grams of rice flour...\Let's see...\HMMM response:	OH
context: We have matcha, right? Plum syrup, chilled sweet red bean soup...\It's so delicious with matcha!\But powdered matcha is expensive.\I don't want to make each cup more than 300 yen.\Um, if we can get about 60 small dumplings from 200 grams of rice flour...\Let's see...\HMMM\OH response:	I got it! How about cold milk tea?
context: It's so delicious with matcha!\But powdered matcha is expensive.\I don't want to make each cup more than 300 yen.\Um, if we can get about 60 small dumplings from 200 grams of rice flour...\Let's see...\HMMM\OH\I got it! How about cold milk tea? response:	It's rich and sweet!
context: But powdered matcha is expensive.\I don't want to make each cup more than 300 yen.\Um, if we can get about 60 small dumplings from 200 grams of rice flour...\Let's see...\HMMM\OH\I got it! How about cold milk tea?\It's rich and sweet! response:	That could be good!
context: I don't want to make each cup more than 300 yen.\Um, if we can get about 60 small dumplings from 200 grams of rice flour...\Let's see...\HMMM\OH\I got it! How about cold milk tea?\It's rich and sweet!\That could be good! response:	True, black tea leaves would be much cheaper!
context: Um, if we can get about 60 small dumplings from 200 grams of rice flour...\Let's see...\HMMM\OH\I got it! How about cold milk tea?\It's rich and sweet!\That could be good!\True, black tea leaves would be much cheaper! response:	Why don't we also put in black pearl tapioca? It would make nice color accents!
context: Let's see...\HMMM\OH\I got it! How about cold milk tea?\It's rich and sweet!\That could be good!\True, black tea leaves would be much cheaper!\Why don't we also put in black pearl tapioca? It would make nice color accents! response:	That's a great idea!
context: HMMM\OH\I got it! How about cold milk tea?\It's rich and sweet!\That could be good!\True, black tea leaves would be much cheaper!\Why don't we also put in black pearl tapioca? It would make nice color accents!\That's a great idea! response:	To defray the cost of the tapioca, instead of using disposable bowls and spoons,
context: OH\I got it! How about cold milk tea?\It's rich and sweet!\That could be good!\True, black tea leaves would be much cheaper!\Why don't we also put in black pearl tapioca? It would make nice color accents!\That's a great idea!\To defray the cost of the tapioca, instead of using disposable bowls and spoons, response:	we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub,
context: I got it! How about cold milk tea?\It's rich and sweet!\That could be good!\True, black tea leaves would be much cheaper!\Why don't we also put in black pearl tapioca? It would make nice color accents!\That's a great idea!\To defray the cost of the tapioca, instead of using disposable bowls and spoons,\we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub, response:	and just keep washing them, even though it might be a hassle.
context: It's rich and sweet!\That could be good!\True, black tea leaves would be much cheaper!\Why don't we also put in black pearl tapioca? It would make nice color accents!\That's a great idea!\To defray the cost of the tapioca, instead of using disposable bowls and spoons,\we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub,\and just keep washing them, even though it might be a hassle. response:	- Oh, we can have Kiriyama do the washing! - What?
context: That could be good!\True, black tea leaves would be much cheaper!\Why don't we also put in black pearl tapioca? It would make nice color accents!\That's a great idea!\To defray the cost of the tapioca, instead of using disposable bowls and spoons,\we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub,\and just keep washing them, even though it might be a hassle.\- Oh, we can have Kiriyama do the washing! - What? response:	Good idea! Let's ask him!
context: True, black tea leaves would be much cheaper!\Why don't we also put in black pearl tapioca? It would make nice color accents!\That's a great idea!\To defray the cost of the tapioca, instead of using disposable bowls and spoons,\we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub,\and just keep washing them, even though it might be a hassle.\- Oh, we can have Kiriyama do the washing! - What?\Good idea! Let's ask him! response:	CRESCENT MOON
context: Why don't we also put in black pearl tapioca? It would make nice color accents!\That's a great idea!\To defray the cost of the tapioca, instead of using disposable bowls and spoons,\we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub,\and just keep washing them, even though it might be a hassle.\- Oh, we can have Kiriyama do the washing! - What?\Good idea! Let's ask him!\CRESCENT MOON response:	You did a pretty good job with the dumplings.
context: That's a great idea!\To defray the cost of the tapioca, instead of using disposable bowls and spoons,\we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub,\and just keep washing them, even though it might be a hassle.\- Oh, we can have Kiriyama do the washing! - What?\Good idea! Let's ask him!\CRESCENT MOON\You did a pretty good job with the dumplings. response:	You put them in ice water to firm them up, right?
context: To defray the cost of the tapioca, instead of using disposable bowls and spoons,\we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub,\and just keep washing them, even though it might be a hassle.\- Oh, we can have Kiriyama do the washing! - What?\Good idea! Let's ask him!\CRESCENT MOON\You did a pretty good job with the dumplings.\You put them in ice water to firm them up, right? response:	And tapioca?
context: we can gather spoons and bowls from our house, Crescent Moon, and Aunt Misaki's pub,\and just keep washing them, even though it might be a hassle.\- Oh, we can have Kiriyama do the washing! - What?\Good idea! Let's ask him!\CRESCENT MOON\You did a pretty good job with the dumplings.\You put them in ice water to firm them up, right?\And tapioca? response:	Another fancy thing, huh?
context: and just keep washing them, even though it might be a hassle.\- Oh, we can have Kiriyama do the washing! - What?\Good idea! Let's ask him!\CRESCENT MOON\You did a pretty good job with the dumplings.\You put them in ice water to firm them up, right?\And tapioca?\Another fancy thing, huh? response:	Hey, it's pretty firm.
context: - Oh, we can have Kiriyama do the washing! - What?\Good idea! Let's ask him!\CRESCENT MOON\You did a pretty good job with the dumplings.\You put them in ice water to firm them up, right?\And tapioca?\Another fancy thing, huh?\Hey, it's pretty firm. response:	This is a type of starch, right?
context: Good idea! Let's ask him!\CRESCENT MOON\You did a pretty good job with the dumplings.\You put them in ice water to firm them up, right?\And tapioca?\Another fancy thing, huh?\Hey, it's pretty firm.\This is a type of starch, right? response:	Grandpa.
context: CRESCENT MOON\You did a pretty good job with the dumplings.\You put them in ice water to firm them up, right?\And tapioca?\Another fancy thing, huh?\Hey, it's pretty firm.\This is a type of starch, right?\Grandpa. response:	Wh-What do you think?
context: You did a pretty good job with the dumplings.\You put them in ice water to firm them up, right?\And tapioca?\Another fancy thing, huh?\Hey, it's pretty firm.\This is a type of starch, right?\Grandpa.\Wh-What do you think? response:	THUMP THUMP
context: You put them in ice water to firm them up, right?\And tapioca?\Another fancy thing, huh?\Hey, it's pretty firm.\This is a type of starch, right?\Grandpa.\Wh-What do you think?\THUMP THUMP response:	Well, I guess it'll do.
context: And tapioca?\Another fancy thing, huh?\Hey, it's pretty firm.\This is a type of starch, right?\Grandpa.\Wh-What do you think?\THUMP THUMP\Well, I guess it'll do. response:	Damn it, it's actually really good.
context: Another fancy thing, huh?\Hey, it's pretty firm.\This is a type of starch, right?\Grandpa.\Wh-What do you think?\THUMP THUMP\Well, I guess it'll do.\Damn it, it's actually really good. response:	I got a feeling the youngsters will really like them.
context: Hey, it's pretty firm.\This is a type of starch, right?\Grandpa.\Wh-What do you think?\THUMP THUMP\Well, I guess it'll do.\Damn it, it's actually really good.\I got a feeling the youngsters will really like them. response:	It should sell pretty well at a food stand. It's a festival, after all.
context: This is a type of starch, right?\Grandpa.\Wh-What do you think?\THUMP THUMP\Well, I guess it'll do.\Damn it, it's actually really good.\I got a feeling the youngsters will really like them.\It should sell pretty well at a food stand. It's a festival, after all. response:	BRIGHT
context: Grandpa.\Wh-What do you think?\THUMP THUMP\Well, I guess it'll do.\Damn it, it's actually really good.\I got a feeling the youngsters will really like them.\It should sell pretty well at a food stand. It's a festival, after all.\BRIGHT response:	Yay!
context: Wh-What do you think?\THUMP THUMP\Well, I guess it'll do.\Damn it, it's actually really good.\I got a feeling the youngsters will really like them.\It should sell pretty well at a food stand. It's a festival, after all.\BRIGHT\Yay! response:	This one was especially good.
context: THUMP THUMP\Well, I guess it'll do.\Damn it, it's actually really good.\I got a feeling the youngsters will really like them.\It should sell pretty well at a food stand. It's a festival, after all.\BRIGHT\Yay!\This one was especially good. response:	Plum syrup?
context: Well, I guess it'll do.\Damn it, it's actually really good.\I got a feeling the youngsters will really like them.\It should sell pretty well at a food stand. It's a festival, after all.\BRIGHT\Yay!\This one was especially good.\Plum syrup? response:	It's refreshing and tasty.
context: Damn it, it's actually really good.\I got a feeling the youngsters will really like them.\It should sell pretty well at a food stand. It's a festival, after all.\BRIGHT\Yay!\This one was especially good.\Plum syrup?\It's refreshing and tasty. response:	That plum syrup was made by Chiho.
context: I got a feeling the youngsters will really like them.\It should sell pretty well at a food stand. It's a festival, after all.\BRIGHT\Yay!\This one was especially good.\Plum syrup?\It's refreshing and tasty.\That plum syrup was made by Chiho. response:	Yeah? That's a nice smell from the plums.
context: It should sell pretty well at a food stand. It's a festival, after all.\BRIGHT\Yay!\This one was especially good.\Plum syrup?\It's refreshing and tasty.\That plum syrup was made by Chiho.\Yeah? That's a nice smell from the plums. response:	As soon as summer vacation started,
context: BRIGHT\Yay!\This one was especially good.\Plum syrup?\It's refreshing and tasty.\That plum syrup was made by Chiho.\Yeah? That's a nice smell from the plums.\As soon as summer vacation started, response:	we went to see Chiho.
context: Yay!\This one was especially good.\Plum syrup?\It's refreshing and tasty.\That plum syrup was made by Chiho.\Yeah? That's a nice smell from the plums.\As soon as summer vacation started,\we went to see Chiho. response:	Chiho!
context: This one was especially good.\Plum syrup?\It's refreshing and tasty.\That plum syrup was made by Chiho.\Yeah? That's a nice smell from the plums.\As soon as summer vacation started,\we went to see Chiho.\Chiho! response:	Hina.
context: Plum syrup?\It's refreshing and tasty.\That plum syrup was made by Chiho.\Yeah? That's a nice smell from the plums.\As soon as summer vacation started,\we went to see Chiho.\Chiho!\Hina. response:	She took me around the farm.
context: It's refreshing and tasty.\That plum syrup was made by Chiho.\Yeah? That's a nice smell from the plums.\As soon as summer vacation started,\we went to see Chiho.\Chiho!\Hina.\She took me around the farm. response:	WAG WAG WAG
context: That plum syrup was made by Chiho.\Yeah? That's a nice smell from the plums.\As soon as summer vacation started,\we went to see Chiho.\Chiho!\Hina.\She took me around the farm.\WAG WAG WAG response:	WAHH
context: Yeah? That's a nice smell from the plums.\As soon as summer vacation started,\we went to see Chiho.\Chiho!\Hina.\She took me around the farm.\WAG WAG WAG\WAHH response:	Love!
context: As soon as summer vacation started,\we went to see Chiho.\Chiho!\Hina.\She took me around the farm.\WAG WAG WAG\WAHH\Love! response:	Play with me. Woof-woof!
context: we went to see Chiho.\Chiho!\Hina.\She took me around the farm.\WAG WAG WAG\WAHH\Love!\Play with me. Woof-woof! response:	Let's play!
context: Chiho!\Hina.\She took me around the farm.\WAG WAG WAG\WAHH\Love!\Play with me. Woof-woof!\Let's play! response:	She showed me Hana, and her puppies.
context: Hina.\She took me around the farm.\WAG WAG WAG\WAHH\Love!\Play with me. Woof-woof!\Let's play!\She showed me Hana, and her puppies. response:	Love! I love you!
context: She took me around the farm.\WAG WAG WAG\WAHH\Love!\Play with me. Woof-woof!\Let's play!\She showed me Hana, and her puppies.\Love! I love you! response:	Sometimes while we talk, Chiho would go silent and space out.
