context: Yukako Yamagishi has been depressed lately. response:	What? There's someone you like?
context: Thank you, Dr. Aya! Thank you so much!\Phew...\I guess a woman's youth is better spent\happy and ugly than dark and beautiful...\Come in.\My makeup will help you encounter love.\What's written on that sign is true.\If you're interested... response:	Episode 20 Yukako Yamagishi Dreams of Cinderella
context: Phew...\I guess a woman's youth is better spent\happy and ugly than dark and beautiful...\Come in.\My makeup will help you encounter love.\What's written on that sign is true.\If you're interested...\Episode 20 Yukako Yamagishi Dreams of Cinderella response:	Please, come in.
context: I guess a woman's youth is better spent\happy and ugly than dark and beautiful...\Come in.\My makeup will help you encounter love.\What's written on that sign is true.\If you're interested...\Episode 20 Yukako Yamagishi Dreams of Cinderella\Please, come in. response:	My name is Aya Tsuji.
context: happy and ugly than dark and beautiful...\Come in.\My makeup will help you encounter love.\What's written on that sign is true.\If you're interested...\Episode 20 Yukako Yamagishi Dreams of Cinderella\Please, come in.\My name is Aya Tsuji. response:	Phew... I'm the owner of this place and an aesthetician.
context: Come in.\My makeup will help you encounter love.\What's written on that sign is true.\If you're interested...\Episode 20 Yukako Yamagishi Dreams of Cinderella\Please, come in.\My name is Aya Tsuji.\Phew... I'm the owner of this place and an aesthetician. response:	I talk like I have low blood pressure, but don't let it bother you.
context: My makeup will help you encounter love.\What's written on that sign is true.\If you're interested...\Episode 20 Yukako Yamagishi Dreams of Cinderella\Please, come in.\My name is Aya Tsuji.\Phew... I'm the owner of this place and an aesthetician.\I talk like I have low blood pressure, but don't let it bother you. response:	Phew...
context: What's written on that sign is true.\If you're interested...\Episode 20 Yukako Yamagishi Dreams of Cinderella\Please, come in.\My name is Aya Tsuji.\Phew... I'm the owner of this place and an aesthetician.\I talk like I have low blood pressure, but don't let it bother you.\Phew... response:	But I'm very motivated by my work.
context: If you're interested...\Episode 20 Yukako Yamagishi Dreams of Cinderella\Please, come in.\My name is Aya Tsuji.\Phew... I'm the owner of this place and an aesthetician.\I talk like I have low blood pressure, but don't let it bother you.\Phew...\But I'm very motivated by my work. response:	Phew...
context: Episode 20 Yukako Yamagishi Dreams of Cinderella\Please, come in.\My name is Aya Tsuji.\Phew... I'm the owner of this place and an aesthetician.\I talk like I have low blood pressure, but don't let it bother you.\Phew...\But I'm very motivated by my work.\Phew... response:	You...
context: Please, come in.\My name is Aya Tsuji.\Phew... I'm the owner of this place and an aesthetician.\I talk like I have low blood pressure, but don't let it bother you.\Phew...\But I'm very motivated by my work.\Phew...\You... response:	are quite beautiful.
context: My name is Aya Tsuji.\Phew... I'm the owner of this place and an aesthetician.\I talk like I have low blood pressure, but don't let it bother you.\Phew...\But I'm very motivated by my work.\Phew...\You...\are quite beautiful. response:	Phew...
context: Phew... I'm the owner of this place and an aesthetician.\I talk like I have low blood pressure, but don't let it bother you.\Phew...\But I'm very motivated by my work.\Phew...\You...\are quite beautiful.\Phew... response:	I had no idea there was someone so beautiful in Morioh...
context: I talk like I have low blood pressure, but don't let it bother you.\Phew...\But I'm very motivated by my work.\Phew...\You...\are quite beautiful.\Phew...\I had no idea there was someone so beautiful in Morioh... response:	Now, please have a seat right over there.
context: Phew...\But I'm very motivated by my work.\Phew...\You...\are quite beautiful.\Phew...\I had no idea there was someone so beautiful in Morioh...\Now, please have a seat right over there. response:	Write your name and address on that form.
context: But I'm very motivated by my work.\Phew...\You...\are quite beautiful.\Phew...\I had no idea there was someone so beautiful in Morioh...\Now, please have a seat right over there.\Write your name and address on that form. response:	I haven't decided that I'll do this yet.
context: Phew...\You...\are quite beautiful.\Phew...\I had no idea there was someone so beautiful in Morioh...\Now, please have a seat right over there.\Write your name and address on that form.\I haven't decided that I'll do this yet. response:	Here's the price listing.
context: You...\are quite beautiful.\Phew...\I had no idea there was someone so beautiful in Morioh...\Now, please have a seat right over there.\Write your name and address on that form.\I haven't decided that I'll do this yet.\Here's the price listing. response:	Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu
context: are quite beautiful.\Phew...\I had no idea there was someone so beautiful in Morioh...\Now, please have a seat right over there.\Write your name and address on that form.\I haven't decided that I'll do this yet.\Here's the price listing.\Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu response:	Makeup to marry a celebrity?
context: Phew...\I had no idea there was someone so beautiful in Morioh...\Now, please have a seat right over there.\Write your name and address on that form.\I haven't decided that I'll do this yet.\Here's the price listing.\Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu\Makeup to marry a celebrity? response:	This salon is a bit different from ordinary salons.
context: I had no idea there was someone so beautiful in Morioh...\Now, please have a seat right over there.\Write your name and address on that form.\I haven't decided that I'll do this yet.\Here's the price listing.\Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu\Makeup to marry a celebrity?\This salon is a bit different from ordinary salons. response:	I'm an aesthetician who creates faces of happiness.
context: Now, please have a seat right over there.\Write your name and address on that form.\I haven't decided that I'll do this yet.\Here's the price listing.\Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu\Makeup to marry a celebrity?\This salon is a bit different from ordinary salons.\I'm an aesthetician who creates faces of happiness. response:	Physiognomythat is, the shape of one's face
context: Write your name and address on that form.\I haven't decided that I'll do this yet.\Here's the price listing.\Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu\Makeup to marry a celebrity?\This salon is a bit different from ordinary salons.\I'm an aesthetician who creates faces of happiness.\Physiognomythat is, the shape of one's face response:	High Brows
context: I haven't decided that I'll do this yet.\Here's the price listing.\Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu\Makeup to marry a celebrity?\This salon is a bit different from ordinary salons.\I'm an aesthetician who creates faces of happiness.\Physiognomythat is, the shape of one's face\High Brows response:	Double Eyelid
context: Here's the price listing.\Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu\Makeup to marry a celebrity?\This salon is a bit different from ordinary salons.\I'm an aesthetician who creates faces of happiness.\Physiognomythat is, the shape of one's face\High Brows\Double Eyelid response:	Big, Wide Eyes
context: Makeup Menu Makeup to Encounter Love... 1000 yen Makeup to Capture Love... 1500 yen Makeup to Get Proposed to... 2000 yen Makeup to Make Men Submit... 3000 yen Makeup to Marry into Wealth... 5000 yen Makeup to Marry a Celebrity... 7000 yen Facial Menu\Makeup to marry a celebrity?\This salon is a bit different from ordinary salons.\I'm an aesthetician who creates faces of happiness.\Physiognomythat is, the shape of one's face\High Brows\Double Eyelid\Big, Wide Eyes response:	can change someone's fortune.
context: Makeup to marry a celebrity?\This salon is a bit different from ordinary salons.\I'm an aesthetician who creates faces of happiness.\Physiognomythat is, the shape of one's face\High Brows\Double Eyelid\Big, Wide Eyes\can change someone's fortune. response:	If you have a face that will be loved,
context: This salon is a bit different from ordinary salons.\I'm an aesthetician who creates faces of happiness.\Physiognomythat is, the shape of one's face\High Brows\Double Eyelid\Big, Wide Eyes\can change someone's fortune.\If you have a face that will be loved, response:	it'll heighten your luck with encountering love.
context: I'm an aesthetician who creates faces of happiness.\Physiognomythat is, the shape of one's face\High Brows\Double Eyelid\Big, Wide Eyes\can change someone's fortune.\If you have a face that will be loved,\it'll heighten your luck with encountering love. response:	Hmm... Too bad.
context: Physiognomythat is, the shape of one's face\High Brows\Double Eyelid\Big, Wide Eyes\can change someone's fortune.\If you have a face that will be loved,\it'll heighten your luck with encountering love.\Hmm... Too bad. response:	The shapes of your eyes and eyebrows aren't good.
context: High Brows\Double Eyelid\Big, Wide Eyes\can change someone's fortune.\If you have a face that will be loved,\it'll heighten your luck with encountering love.\Hmm... Too bad.\The shapes of your eyes and eyebrows aren't good. response:	Phew...
context: Double Eyelid\Big, Wide Eyes\can change someone's fortune.\If you have a face that will be loved,\it'll heighten your luck with encountering love.\Hmm... Too bad.\The shapes of your eyes and eyebrows aren't good.\Phew... response:	I'm going to be blunt.
context: Big, Wide Eyes\can change someone's fortune.\If you have a face that will be loved,\it'll heighten your luck with encountering love.\Hmm... Too bad.\The shapes of your eyes and eyebrows aren't good.\Phew...\I'm going to be blunt. response:	This is so stupid that I'm beyond disappointed.
context: can change someone's fortune.\If you have a face that will be loved,\it'll heighten your luck with encountering love.\Hmm... Too bad.\The shapes of your eyes and eyebrows aren't good.\Phew...\I'm going to be blunt.\This is so stupid that I'm beyond disappointed. response:	You're trying to charge money for this?
context: If you have a face that will be loved,\it'll heighten your luck with encountering love.\Hmm... Too bad.\The shapes of your eyes and eyebrows aren't good.\Phew...\I'm going to be blunt.\This is so stupid that I'm beyond disappointed.\You're trying to charge money for this? response:	With that face, the more you love a boy, the more he's going to run away.
context: it'll heighten your luck with encountering love.\Hmm... Too bad.\The shapes of your eyes and eyebrows aren't good.\Phew...\I'm going to be blunt.\This is so stupid that I'm beyond disappointed.\You're trying to charge money for this?\With that face, the more you love a boy, the more he's going to run away. response:	Am I wrong?
context: Hmm... Too bad.\The shapes of your eyes and eyebrows aren't good.\Phew...\I'm going to be blunt.\This is so stupid that I'm beyond disappointed.\You're trying to charge money for this?\With that face, the more you love a boy, the more he's going to run away.\Am I wrong? response:	Have you not experienced that?
context: The shapes of your eyes and eyebrows aren't good.\Phew...\I'm going to be blunt.\This is so stupid that I'm beyond disappointed.\You're trying to charge money for this?\With that face, the more you love a boy, the more he's going to run away.\Am I wrong?\Have you not experienced that? response:	You're wrong.
context: Phew...\I'm going to be blunt.\This is so stupid that I'm beyond disappointed.\You're trying to charge money for this?\With that face, the more you love a boy, the more he's going to run away.\Am I wrong?\Have you not experienced that?\You're wrong. response:	I've never had that happen in my life.
context: I'm going to be blunt.\This is so stupid that I'm beyond disappointed.\You're trying to charge money for this?\With that face, the more you love a boy, the more he's going to run away.\Am I wrong?\Have you not experienced that?\You're wrong.\I've never had that happen in my life. response:	Oh, no? Very well, then.
context: This is so stupid that I'm beyond disappointed.\You're trying to charge money for this?\With that face, the more you love a boy, the more he's going to run away.\Am I wrong?\Have you not experienced that?\You're wrong.\I've never had that happen in my life.\Oh, no? Very well, then. response:	In your case...
context: You're trying to charge money for this?\With that face, the more you love a boy, the more he's going to run away.\Am I wrong?\Have you not experienced that?\You're wrong.\I've never had that happen in my life.\Oh, no? Very well, then.\In your case... response:	Oh, I'm sorry.
context: With that face, the more you love a boy, the more he's going to run away.\Am I wrong?\Have you not experienced that?\You're wrong.\I've never had that happen in my life.\Oh, no? Very well, then.\In your case...\Oh, I'm sorry. response:	I'm not very accustomed to working with CG.
context: Am I wrong?\Have you not experienced that?\You're wrong.\I've never had that happen in my life.\Oh, no? Very well, then.\In your case...\Oh, I'm sorry.\I'm not very accustomed to working with CG. response:	This is the face that will encounter love.
context: Have you not experienced that?\You're wrong.\I've never had that happen in my life.\Oh, no? Very well, then.\In your case...\Oh, I'm sorry.\I'm not very accustomed to working with CG.\This is the face that will encounter love. response:	Wait... This is cosmetic surgery.
context: You're wrong.\I've never had that happen in my life.\Oh, no? Very well, then.\In your case...\Oh, I'm sorry.\I'm not very accustomed to working with CG.\This is the face that will encounter love.\Wait... This is cosmetic surgery. response:	You do surgeries?
context: I've never had that happen in my life.\Oh, no? Very well, then.\In your case...\Oh, I'm sorry.\I'm not very accustomed to working with CG.\This is the face that will encounter love.\Wait... This is cosmetic surgery.\You do surgeries? response:	This is a face we'll create using only makeup and beauty massage.
context: Oh, no? Very well, then.\In your case...\Oh, I'm sorry.\I'm not very accustomed to working with CG.\This is the face that will encounter love.\Wait... This is cosmetic surgery.\You do surgeries?\This is a face we'll create using only makeup and beauty massage. response:	But it only lasts thirty minutes.
context: In your case...\Oh, I'm sorry.\I'm not very accustomed to working with CG.\This is the face that will encounter love.\Wait... This is cosmetic surgery.\You do surgeries?\This is a face we'll create using only makeup and beauty massage.\But it only lasts thirty minutes. response:	If you don't encounter love,
context: Oh, I'm sorry.\I'm not very accustomed to working with CG.\This is the face that will encounter love.\Wait... This is cosmetic surgery.\You do surgeries?\This is a face we'll create using only makeup and beauty massage.\But it only lasts thirty minutes.\If you don't encounter love, response:	I will return the thousand-yen fee to you.
context: I'm not very accustomed to working with CG.\This is the face that will encounter love.\Wait... This is cosmetic surgery.\You do surgeries?\This is a face we'll create using only makeup and beauty massage.\But it only lasts thirty minutes.\If you don't encounter love,\I will return the thousand-yen fee to you. response:	Would you like to try it?
context: This is the face that will encounter love.\Wait... This is cosmetic surgery.\You do surgeries?\This is a face we'll create using only makeup and beauty massage.\But it only lasts thirty minutes.\If you don't encounter love,\I will return the thousand-yen fee to you.\Would you like to try it? response:	All right. If it's just makeup...
context: Wait... This is cosmetic surgery.\You do surgeries?\This is a face we'll create using only makeup and beauty massage.\But it only lasts thirty minutes.\If you don't encounter love,\I will return the thousand-yen fee to you.\Would you like to try it?\All right. If it's just makeup... response:	I have nothing to lose, so I guess I can give it a try.
context: You do surgeries?\This is a face we'll create using only makeup and beauty massage.\But it only lasts thirty minutes.\If you don't encounter love,\I will return the thousand-yen fee to you.\Would you like to try it?\All right. If it's just makeup...\I have nothing to lose, so I guess I can give it a try. response:	Thank you. Let's get started, then.
context: This is a face we'll create using only makeup and beauty massage.\But it only lasts thirty minutes.\If you don't encounter love,\I will return the thousand-yen fee to you.\Would you like to try it?\All right. If it's just makeup...\I have nothing to lose, so I guess I can give it a try.\Thank you. Let's get started, then. response:	Close your eyes.
context: But it only lasts thirty minutes.\If you don't encounter love,\I will return the thousand-yen fee to you.\Would you like to try it?\All right. If it's just makeup...\I have nothing to lose, so I guess I can give it a try.\Thank you. Let's get started, then.\Close your eyes. response:	Make sure you don't open your eyes.
context: If you don't encounter love,\I will return the thousand-yen fee to you.\Would you like to try it?\All right. If it's just makeup...\I have nothing to lose, so I guess I can give it a try.\Thank you. Let's get started, then.\Close your eyes.\Make sure you don't open your eyes. response:	Don't move.
context: I will return the thousand-yen fee to you.\Would you like to try it?\All right. If it's just makeup...\I have nothing to lose, so I guess I can give it a try.\Thank you. Let's get started, then.\Close your eyes.\Make sure you don't open your eyes.\Don't move. response:	My hands may slip if you do.
context: Would you like to try it?\All right. If it's just makeup...\I have nothing to lose, so I guess I can give it a try.\Thank you. Let's get started, then.\Close your eyes.\Make sure you don't open your eyes.\Don't move.\My hands may slip if you do. response:	Koichi...
context: All right. If it's just makeup...\I have nothing to lose, so I guess I can give it a try.\Thank you. Let's get started, then.\Close your eyes.\Make sure you don't open your eyes.\Don't move.\My hands may slip if you do.\Koichi... response:	This is the makeup that'll help me encounter love?
context: I have nothing to lose, so I guess I can give it a try.\Thank you. Let's get started, then.\Close your eyes.\Make sure you don't open your eyes.\Don't move.\My hands may slip if you do.\Koichi...\This is the makeup that'll help me encounter love? response:	Will my luck really change just by altering
context: Thank you. Let's get started, then.\Close your eyes.\Make sure you don't open your eyes.\Don't move.\My hands may slip if you do.\Koichi...\This is the makeup that'll help me encounter love?\Will my luck really change just by altering response:	the lines of my eyes and eyebrows?
context: Close your eyes.\Make sure you don't open your eyes.\Don't move.\My hands may slip if you do.\Koichi...\This is the makeup that'll help me encounter love?\Will my luck really change just by altering\the lines of my eyes and eyebrows? response:	Koichi?
context: Make sure you don't open your eyes.\Don't move.\My hands may slip if you do.\Koichi...\This is the makeup that'll help me encounter love?\Will my luck really change just by altering\the lines of my eyes and eyebrows?\Koichi? response:	I-I've been looking for you, Yukako.
context: Don't move.\My hands may slip if you do.\Koichi...\This is the makeup that'll help me encounter love?\Will my luck really change just by altering\the lines of my eyes and eyebrows?\Koichi?\I-I've been looking for you, Yukako. response:	Huh? Me?
context: My hands may slip if you do.\Koichi...\This is the makeup that'll help me encounter love?\Will my luck really change just by altering\the lines of my eyes and eyebrows?\Koichi?\I-I've been looking for you, Yukako.\Huh? Me? response:	Yeah... You passed by Rengatei earlier, didn't you?
context: Koichi...\This is the makeup that'll help me encounter love?\Will my luck really change just by altering\the lines of my eyes and eyebrows?\Koichi?\I-I've been looking for you, Yukako.\Huh? Me?\Yeah... You passed by Rengatei earlier, didn't you? response:	You looked really sad back there,
context: This is the makeup that'll help me encounter love?\Will my luck really change just by altering\the lines of my eyes and eyebrows?\Koichi?\I-I've been looking for you, Yukako.\Huh? Me?\Yeah... You passed by Rengatei earlier, didn't you?\You looked really sad back there, response:	a-and I sort of got worried...
context: Will my luck really change just by altering\the lines of my eyes and eyebrows?\Koichi?\I-I've been looking for you, Yukako.\Huh? Me?\Yeah... You passed by Rengatei earlier, didn't you?\You looked really sad back there,\a-and I sort of got worried... response:	Worried?
context: the lines of my eyes and eyebrows?\Koichi?\I-I've been looking for you, Yukako.\Huh? Me?\Yeah... You passed by Rengatei earlier, didn't you?\You looked really sad back there,\a-and I sort of got worried...\Worried? response:	You were worried about me, Koichi?
context: Koichi?\I-I've been looking for you, Yukako.\Huh? Me?\Yeah... You passed by Rengatei earlier, didn't you?\You looked really sad back there,\a-and I sort of got worried...\Worried?\You were worried about me, Koichi? response:	Y-Yeah... A lot happened between us, but it doesn't bug me anymore,
context: I-I've been looking for you, Yukako.\Huh? Me?\Yeah... You passed by Rengatei earlier, didn't you?\You looked really sad back there,\a-and I sort of got worried...\Worried?\You were worried about me, Koichi?\Y-Yeah... A lot happened between us, but it doesn't bug me anymore, response:	so I don't want you to feel down about it.
context: Huh? Me?\Yeah... You passed by Rengatei earlier, didn't you?\You looked really sad back there,\a-and I sort of got worried...\Worried?\You were worried about me, Koichi?\Y-Yeah... A lot happened between us, but it doesn't bug me anymore,\so I don't want you to feel down about it. response:	R-Really?
context: Yeah... You passed by Rengatei earlier, didn't you?\You looked really sad back there,\a-and I sort of got worried...\Worried?\You were worried about me, Koichi?\Y-Yeah... A lot happened between us, but it doesn't bug me anymore,\so I don't want you to feel down about it.\R-Really? response:	Yeah...
context: You looked really sad back there,\a-and I sort of got worried...\Worried?\You were worried about me, Koichi?\Y-Yeah... A lot happened between us, but it doesn't bug me anymore,\so I don't want you to feel down about it.\R-Really?\Yeah... response:	I can't believe it...
context: a-and I sort of got worried...\Worried?\You were worried about me, Koichi?\Y-Yeah... A lot happened between us, but it doesn't bug me anymore,\so I don't want you to feel down about it.\R-Really?\Yeah...\I can't believe it... response:	Is this really because of the makeup?
context: Worried?\You were worried about me, Koichi?\Y-Yeah... A lot happened between us, but it doesn't bug me anymore,\so I don't want you to feel down about it.\R-Really?\Yeah...\I can't believe it...\Is this really because of the makeup? response:	K-Koichi...
context: You were worried about me, Koichi?\Y-Yeah... A lot happened between us, but it doesn't bug me anymore,\so I don't want you to feel down about it.\R-Really?\Yeah...\I can't believe it...\Is this really because of the makeup?\K-Koichi... response:	Rather than standing around,
context: Y-Yeah... A lot happened between us, but it doesn't bug me anymore,\so I don't want you to feel down about it.\R-Really?\Yeah...\I can't believe it...\Is this really because of the makeup?\K-Koichi...\Rather than standing around, response:	why don't we find a place to sit and chat?
context: so I don't want you to feel down about it.\R-Really?\Yeah...\I can't believe it...\Is this really because of the makeup?\K-Koichi...\Rather than standing around,\why don't we find a place to sit and chat? response:	Huh?
context: R-Really?\Yeah...\I can't believe it...\Is this really because of the makeup?\K-Koichi...\Rather than standing around,\why don't we find a place to sit and chat?\Huh? response:	U-Um... Only if you want to...
context: Yeah...\I can't believe it...\Is this really because of the makeup?\K-Koichi...\Rather than standing around,\why don't we find a place to sit and chat?\Huh?\U-Um... Only if you want to... response:	Well...
context: I can't believe it...\Is this really because of the makeup?\K-Koichi...\Rather than standing around,\why don't we find a place to sit and chat?\Huh?\U-Um... Only if you want to...\Well... response:	I guess I am a little thirsty...
context: Is this really because of the makeup?\K-Koichi...\Rather than standing around,\why don't we find a place to sit and chat?\Huh?\U-Um... Only if you want to...\Well...\I guess I am a little thirsty... response:	Huh? Huh?!
context: K-Koichi...\Rather than standing around,\why don't we find a place to sit and chat?\Huh?\U-Um... Only if you want to...\Well...\I guess I am a little thirsty...\Huh? Huh?! response:	I really am lucky.
context: Rather than standing around,\why don't we find a place to sit and chat?\Huh?\U-Um... Only if you want to...\Well...\I guess I am a little thirsty...\Huh? Huh?!\I really am lucky. response:	Things are really changing!
context: why don't we find a place to sit and chat?\Huh?\U-Um... Only if you want to...\Well...\I guess I am a little thirsty...\Huh? Huh?!\I really am lucky.\Things are really changing! response:	I get to be near the cute, yet strong, Koichi...
context: Huh?\U-Um... Only if you want to...\Well...\I guess I am a little thirsty...\Huh? Huh?!\I really am lucky.\Things are really changing!\I get to be near the cute, yet strong, Koichi... response:	I suddenly want to eat a chocolate parfait.
context: U-Um... Only if you want to...\Well...\I guess I am a little thirsty...\Huh? Huh?!\I really am lucky.\Things are really changing!\I get to be near the cute, yet strong, Koichi...\I suddenly want to eat a chocolate parfait. response:	Does that make me seem girly?
context: Well...\I guess I am a little thirsty...\Huh? Huh?!\I really am lucky.\Things are really changing!\I get to be near the cute, yet strong, Koichi...\I suddenly want to eat a chocolate parfait.\Does that make me seem girly? response:	Huh? No! Not at all!
context: I guess I am a little thirsty...\Huh? Huh?!\I really am lucky.\Things are really changing!\I get to be near the cute, yet strong, Koichi...\I suddenly want to eat a chocolate parfait.\Does that make me seem girly?\Huh? No! Not at all! response:	That's what I wanted, too!
context: Huh? Huh?!\I really am lucky.\Things are really changing!\I get to be near the cute, yet strong, Koichi...\I suddenly want to eat a chocolate parfait.\Does that make me seem girly?\Huh? No! Not at all!\That's what I wanted, too! response:	This is like a dream...
