context: Major! Major! response:	I'm... okay.
context: After your team sent up the signal flare, the rest of our forces attacked,\and sensing their defeat,\the Gardarik Army bombarded their own headquarters before retreating.\You were found at the bottom of those stairs.\Most likely, he pushed you out of the way to protect you from the blast.\Everyone told me the major was fine when I was in the hospital.\We couldn't tell you.\You were more concerned about him than you were about yourself. response:	Let's go.
context: and sensing their defeat,\the Gardarik Army bombarded their own headquarters before retreating.\You were found at the bottom of those stairs.\Most likely, he pushed you out of the way to protect you from the blast.\Everyone told me the major was fine when I was in the hospital.\We couldn't tell you.\You were more concerned about him than you were about yourself.\Let's go. response:	Violet.
context: the Gardarik Army bombarded their own headquarters before retreating.\You were found at the bottom of those stairs.\Most likely, he pushed you out of the way to protect you from the blast.\Everyone told me the major was fine when I was in the hospital.\We couldn't tell you.\You were more concerned about him than you were about yourself.\Let's go.\Violet. response:	Where...
context: You were found at the bottom of those stairs.\Most likely, he pushed you out of the way to protect you from the blast.\Everyone told me the major was fine when I was in the hospital.\We couldn't tell you.\You were more concerned about him than you were about yourself.\Let's go.\Violet.\Where... response:	would I go?
context: Most likely, he pushed you out of the way to protect you from the blast.\Everyone told me the major was fine when I was in the hospital.\We couldn't tell you.\You were more concerned about him than you were about yourself.\Let's go.\Violet.\Where...\would I go? response:	I can only go where the major is.
context: Everyone told me the major was fine when I was in the hospital.\We couldn't tell you.\You were more concerned about him than you were about yourself.\Let's go.\Violet.\Where...\would I go?\I can only go where the major is. response:	We're going back to the office.
context: We couldn't tell you.\You were more concerned about him than you were about yourself.\Let's go.\Violet.\Where...\would I go?\I can only go where the major is.\We're going back to the office. response:	You're our Auto Memory Doll.
context: You were more concerned about him than you were about yourself.\Let's go.\Violet.\Where...\would I go?\I can only go where the major is.\We're going back to the office.\You're our Auto Memory Doll. response:	Then I'll stay here, too, until you decide to come back with me.
context: Let's go.\Violet.\Where...\would I go?\I can only go where the major is.\We're going back to the office.\You're our Auto Memory Doll.\Then I'll stay here, too, until you decide to come back with me. response:	After all, he did ask me to look after you.
context: Violet.\Where...\would I go?\I can only go where the major is.\We're going back to the office.\You're our Auto Memory Doll.\Then I'll stay here, too, until you decide to come back with me.\After all, he did ask me to look after you. response:	Right before the battle began, he came to me and told me...
context: Where...\would I go?\I can only go where the major is.\We're going back to the office.\You're our Auto Memory Doll.\Then I'll stay here, too, until you decide to come back with me.\After all, he did ask me to look after you.\Right before the battle began, he came to me and told me... response:	Take care of Violet if something happens to me.
context: would I go?\I can only go where the major is.\We're going back to the office.\You're our Auto Memory Doll.\Then I'll stay here, too, until you decide to come back with me.\After all, he did ask me to look after you.\Right before the battle began, he came to me and told me...\Take care of Violet if something happens to me. response:	Take her to the Evergarden House in Leiden once the war ends.
context: I can only go where the major is.\We're going back to the office.\You're our Auto Memory Doll.\Then I'll stay here, too, until you decide to come back with me.\After all, he did ask me to look after you.\Right before the battle began, he came to me and told me...\Take care of Violet if something happens to me.\Take her to the Evergarden House in Leiden once the war ends. response:	Gilbert?
context: We're going back to the office.\You're our Auto Memory Doll.\Then I'll stay here, too, until you decide to come back with me.\After all, he did ask me to look after you.\Right before the battle began, he came to me and told me...\Take care of Violet if something happens to me.\Take her to the Evergarden House in Leiden once the war ends.\Gilbert? response:	I'm counting on you.
context: You're our Auto Memory Doll.\Then I'll stay here, too, until you decide to come back with me.\After all, he did ask me to look after you.\Right before the battle began, he came to me and told me...\Take care of Violet if something happens to me.\Take her to the Evergarden House in Leiden once the war ends.\Gilbert?\I'm counting on you. response:	He never saw you as a war tool.
context: Then I'll stay here, too, until you decide to come back with me.\After all, he did ask me to look after you.\Right before the battle began, he came to me and told me...\Take care of Violet if something happens to me.\Take her to the Evergarden House in Leiden once the war ends.\Gilbert?\I'm counting on you.\He never saw you as a war tool. response:	He thought of you as a normal girl and was concerned about your future.
context: After all, he did ask me to look after you.\Right before the battle began, he came to me and told me...\Take care of Violet if something happens to me.\Take her to the Evergarden House in Leiden once the war ends.\Gilbert?\I'm counting on you.\He never saw you as a war tool.\He thought of you as a normal girl and was concerned about your future. response:	Hey. I'm sorry I pulled you away.
context: Right before the battle began, he came to me and told me...\Take care of Violet if something happens to me.\Take her to the Evergarden House in Leiden once the war ends.\Gilbert?\I'm counting on you.\He never saw you as a war tool.\He thought of you as a normal girl and was concerned about your future.\Hey. I'm sorry I pulled you away. response:	You okay?
context: Take care of Violet if something happens to me.\Take her to the Evergarden House in Leiden once the war ends.\Gilbert?\I'm counting on you.\He never saw you as a war tool.\He thought of you as a normal girl and was concerned about your future.\Hey. I'm sorry I pulled you away.\You okay? response:	You're okay, right?
context: Take her to the Evergarden House in Leiden once the war ends.\Gilbert?\I'm counting on you.\He never saw you as a war tool.\He thought of you as a normal girl and was concerned about your future.\Hey. I'm sorry I pulled you away.\You okay?\You're okay, right? response:	I wasn't sure what would happen when you were first discharged from the hospital,
context: Gilbert?\I'm counting on you.\He never saw you as a war tool.\He thought of you as a normal girl and was concerned about your future.\Hey. I'm sorry I pulled you away.\You okay?\You're okay, right?\I wasn't sure what would happen when you were first discharged from the hospital, response:	but you've learned how to be an Auto Memory Doll.
context: I'm counting on you.\He never saw you as a war tool.\He thought of you as a normal girl and was concerned about your future.\Hey. I'm sorry I pulled you away.\You okay?\You're okay, right?\I wasn't sure what would happen when you were first discharged from the hospital,\but you've learned how to be an Auto Memory Doll. response:	You've come so far.
context: He never saw you as a war tool.\He thought of you as a normal girl and was concerned about your future.\Hey. I'm sorry I pulled you away.\You okay?\You're okay, right?\I wasn't sure what would happen when you were first discharged from the hospital,\but you've learned how to be an Auto Memory Doll.\You've come so far. response:	You should be able to live your life without his orders.
context: He thought of you as a normal girl and was concerned about your future.\Hey. I'm sorry I pulled you away.\You okay?\You're okay, right?\I wasn't sure what would happen when you were first discharged from the hospital,\but you've learned how to be an Auto Memory Doll.\You've come so far.\You should be able to live your life without his orders. response:	Will I never receive any orders from you again, major?
context: Hey. I'm sorry I pulled you away.\You okay?\You're okay, right?\I wasn't sure what would happen when you were first discharged from the hospital,\but you've learned how to be an Auto Memory Doll.\You've come so far.\You should be able to live your life without his orders.\Will I never receive any orders from you again, major? response:	You've done nothing wrong.
context: You okay?\You're okay, right?\I wasn't sure what would happen when you were first discharged from the hospital,\but you've learned how to be an Auto Memory Doll.\You've come so far.\You should be able to live your life without his orders.\Will I never receive any orders from you again, major?\You've done nothing wrong. response:	We can talk about this later.
context: You're okay, right?\I wasn't sure what would happen when you were first discharged from the hospital,\but you've learned how to be an Auto Memory Doll.\You've come so far.\You should be able to live your life without his orders.\Will I never receive any orders from you again, major?\You've done nothing wrong.\We can talk about this later. response:	The road has been blocked.
context: I wasn't sure what would happen when you were first discharged from the hospital,\but you've learned how to be an Auto Memory Doll.\You've come so far.\You should be able to live your life without his orders.\Will I never receive any orders from you again, major?\You've done nothing wrong.\We can talk about this later.\The road has been blocked. response:	-Lieutenant colonel! -I'm not...
context: but you've learned how to be an Auto Memory Doll.\You've come so far.\You should be able to live your life without his orders.\Will I never receive any orders from you again, major?\You've done nothing wrong.\We can talk about this later.\The road has been blocked.\-Lieutenant colonel! -I'm not... response:	-Never mind. At ease. -Yes, sir!
context: You've come so far.\You should be able to live your life without his orders.\Will I never receive any orders from you again, major?\You've done nothing wrong.\We can talk about this later.\The road has been blocked.\-Lieutenant colonel! -I'm not...\-Never mind. At ease. -Yes, sir! response:	Did something happen?
context: You should be able to live your life without his orders.\Will I never receive any orders from you again, major?\You've done nothing wrong.\We can talk about this later.\The road has been blocked.\-Lieutenant colonel! -I'm not...\-Never mind. At ease. -Yes, sir!\Did something happen? response:	The city of Caisseclaire was attacked by an anti-peace faction from Gardarik.
context: Will I never receive any orders from you again, major?\You've done nothing wrong.\We can talk about this later.\The road has been blocked.\-Lieutenant colonel! -I'm not...\-Never mind. At ease. -Yes, sir!\Did something happen?\The city of Caisseclaire was attacked by an anti-peace faction from Gardarik. response:	I've heard that anti-peace sentiments have been growing.
context: You've done nothing wrong.\We can talk about this later.\The road has been blocked.\-Lieutenant colonel! -I'm not...\-Never mind. At ease. -Yes, sir!\Did something happen?\The city of Caisseclaire was attacked by an anti-peace faction from Gardarik.\I've heard that anti-peace sentiments have been growing. response:	What's the status?
context: We can talk about this later.\The road has been blocked.\-Lieutenant colonel! -I'm not...\-Never mind. At ease. -Yes, sir!\Did something happen?\The city of Caisseclaire was attacked by an anti-peace faction from Gardarik.\I've heard that anti-peace sentiments have been growing.\What's the status? response:	They've been defeated, but we must stay alert for any remaining insurgents.
context: The road has been blocked.\-Lieutenant colonel! -I'm not...\-Never mind. At ease. -Yes, sir!\Did something happen?\The city of Caisseclaire was attacked by an anti-peace faction from Gardarik.\I've heard that anti-peace sentiments have been growing.\What's the status?\They've been defeated, but we must stay alert for any remaining insurgents. response:	Let's take a different route then.
context: -Lieutenant colonel! -I'm not...\-Never mind. At ease. -Yes, sir!\Did something happen?\The city of Caisseclaire was attacked by an anti-peace faction from Gardarik.\I've heard that anti-peace sentiments have been growing.\What's the status?\They've been defeated, but we must stay alert for any remaining insurgents.\Let's take a different route then. response:	Copy that.
context: -Never mind. At ease. -Yes, sir!\Did something happen?\The city of Caisseclaire was attacked by an anti-peace faction from Gardarik.\I've heard that anti-peace sentiments have been growing.\What's the status?\They've been defeated, but we must stay alert for any remaining insurgents.\Let's take a different route then.\Copy that. response:	Violet's back, right?
context: Did something happen?\The city of Caisseclaire was attacked by an anti-peace faction from Gardarik.\I've heard that anti-peace sentiments have been growing.\What's the status?\They've been defeated, but we must stay alert for any remaining insurgents.\Let's take a different route then.\Copy that.\Violet's back, right? response:	Seems so, but...
context: The city of Caisseclaire was attacked by an anti-peace faction from Gardarik.\I've heard that anti-peace sentiments have been growing.\What's the status?\They've been defeated, but we must stay alert for any remaining insurgents.\Let's take a different route then.\Copy that.\Violet's back, right?\Seems so, but... response:	She'll come back to work, too, won't she?
context: I've heard that anti-peace sentiments have been growing.\What's the status?\They've been defeated, but we must stay alert for any remaining insurgents.\Let's take a different route then.\Copy that.\Violet's back, right?\Seems so, but...\She'll come back to work, too, won't she? response:	Can you go check on her?
context: What's the status?\They've been defeated, but we must stay alert for any remaining insurgents.\Let's take a different route then.\Copy that.\Violet's back, right?\Seems so, but...\She'll come back to work, too, won't she?\Can you go check on her? response:	-Why don't you go? -She needs someone like you right now.
context: They've been defeated, but we must stay alert for any remaining insurgents.\Let's take a different route then.\Copy that.\Violet's back, right?\Seems so, but...\She'll come back to work, too, won't she?\Can you go check on her?\-Why don't you go? -She needs someone like you right now. response:	What's that supposed to mean?
context: Let's take a different route then.\Copy that.\Violet's back, right?\Seems so, but...\She'll come back to work, too, won't she?\Can you go check on her?\-Why don't you go? -She needs someone like you right now.\What's that supposed to mean? response:	I've got better things to do.
context: Copy that.\Violet's back, right?\Seems so, but...\She'll come back to work, too, won't she?\Can you go check on her?\-Why don't you go? -She needs someone like you right now.\What's that supposed to mean?\I've got better things to do. response:	Benedict.
context: Violet's back, right?\Seems so, but...\She'll come back to work, too, won't she?\Can you go check on her?\-Why don't you go? -She needs someone like you right now.\What's that supposed to mean?\I've got better things to do.\Benedict. response:	Could you look around District 12 for me?
context: Seems so, but...\She'll come back to work, too, won't she?\Can you go check on her?\-Why don't you go? -She needs someone like you right now.\What's that supposed to mean?\I've got better things to do.\Benedict.\Could you look around District 12 for me? response:	I'll try heading over to District 14.
context: She'll come back to work, too, won't she?\Can you go check on her?\-Why don't you go? -She needs someone like you right now.\What's that supposed to mean?\I've got better things to do.\Benedict.\Could you look around District 12 for me?\I'll try heading over to District 14. response:	Did something happen?
context: Can you go check on her?\-Why don't you go? -She needs someone like you right now.\What's that supposed to mean?\I've got better things to do.\Benedict.\Could you look around District 12 for me?\I'll try heading over to District 14.\Did something happen? response:	One of our new deliverymen threw away the letters
context: -Why don't you go? -She needs someone like you right now.\What's that supposed to mean?\I've got better things to do.\Benedict.\Could you look around District 12 for me?\I'll try heading over to District 14.\Did something happen?\One of our new deliverymen threw away the letters response:	he couldn't get around to delivering.
context: What's that supposed to mean?\I've got better things to do.\Benedict.\Could you look around District 12 for me?\I'll try heading over to District 14.\Did something happen?\One of our new deliverymen threw away the letters\he couldn't get around to delivering. response:	What?
context: I've got better things to do.\Benedict.\Could you look around District 12 for me?\I'll try heading over to District 14.\Did something happen?\One of our new deliverymen threw away the letters\he couldn't get around to delivering.\What? response:	We're going to go look for them.
context: Benedict.\Could you look around District 12 for me?\I'll try heading over to District 14.\Did something happen?\One of our new deliverymen threw away the letters\he couldn't get around to delivering.\What?\We're going to go look for them. response:	Don't worry. We have a good idea where they might be.
context: Could you look around District 12 for me?\I'll try heading over to District 14.\Did something happen?\One of our new deliverymen threw away the letters\he couldn't get around to delivering.\What?\We're going to go look for them.\Don't worry. We have a good idea where they might be. response:	Violet, you're in here, aren't you? I just want to see how you're doing.
context: I'll try heading over to District 14.\Did something happen?\One of our new deliverymen threw away the letters\he couldn't get around to delivering.\What?\We're going to go look for them.\Don't worry. We have a good idea where they might be.\Violet, you're in here, aren't you? I just want to see how you're doing. response:	I am terribly sorry... for any worry I've caused.
context: Did something happen?\One of our new deliverymen threw away the letters\he couldn't get around to delivering.\What?\We're going to go look for them.\Don't worry. We have a good idea where they might be.\Violet, you're in here, aren't you? I just want to see how you're doing.\I am terribly sorry... for any worry I've caused. response:	How are you feeling? Are you eating?
context: One of our new deliverymen threw away the letters\he couldn't get around to delivering.\What?\We're going to go look for them.\Don't worry. We have a good idea where they might be.\Violet, you're in here, aren't you? I just want to see how you're doing.\I am terribly sorry... for any worry I've caused.\How are you feeling? Are you eating? response:	I'll leave your food out here.
context: he couldn't get around to delivering.\What?\We're going to go look for them.\Don't worry. We have a good idea where they might be.\Violet, you're in here, aren't you? I just want to see how you're doing.\I am terribly sorry... for any worry I've caused.\How are you feeling? Are you eating?\I'll leave your food out here. response:	Think you'll come out tomorrow?
context: What?\We're going to go look for them.\Don't worry. We have a good idea where they might be.\Violet, you're in here, aren't you? I just want to see how you're doing.\I am terribly sorry... for any worry I've caused.\How are you feeling? Are you eating?\I'll leave your food out here.\Think you'll come out tomorrow? response:	We can't wait to see you, and there's a lot of requests for you.
context: We're going to go look for them.\Don't worry. We have a good idea where they might be.\Violet, you're in here, aren't you? I just want to see how you're doing.\I am terribly sorry... for any worry I've caused.\How are you feeling? Are you eating?\I'll leave your food out here.\Think you'll come out tomorrow?\We can't wait to see you, and there's a lot of requests for you. response:	It's just as President Hodgins said.
context: Don't worry. We have a good idea where they might be.\Violet, you're in here, aren't you? I just want to see how you're doing.\I am terribly sorry... for any worry I've caused.\How are you feeling? Are you eating?\I'll leave your food out here.\Think you'll come out tomorrow?\We can't wait to see you, and there's a lot of requests for you.\It's just as President Hodgins said. response:	I am burning.
context: Violet, you're in here, aren't you? I just want to see how you're doing.\I am terribly sorry... for any worry I've caused.\How are you feeling? Are you eating?\I'll leave your food out here.\Think you'll come out tomorrow?\We can't wait to see you, and there's a lot of requests for you.\It's just as President Hodgins said.\I am burning. response:	For the things I've done.
context: I am terribly sorry... for any worry I've caused.\How are you feeling? Are you eating?\I'll leave your food out here.\Think you'll come out tomorrow?\We can't wait to see you, and there's a lot of requests for you.\It's just as President Hodgins said.\I am burning.\For the things I've done. response:	You'll understand one day.
context: How are you feeling? Are you eating?\I'll leave your food out here.\Think you'll come out tomorrow?\We can't wait to see you, and there's a lot of requests for you.\It's just as President Hodgins said.\I am burning.\For the things I've done.\You'll understand one day. response:	And then you'll realize for the first time that you have many burns.
context: I'll leave your food out here.\Think you'll come out tomorrow?\We can't wait to see you, and there's a lot of requests for you.\It's just as President Hodgins said.\I am burning.\For the things I've done.\You'll understand one day.\And then you'll realize for the first time that you have many burns. response:	Why did you say that to her?
context: Think you'll come out tomorrow?\We can't wait to see you, and there's a lot of requests for you.\It's just as President Hodgins said.\I am burning.\For the things I've done.\You'll understand one day.\And then you'll realize for the first time that you have many burns.\Why did you say that to her? response:	She didn't have a choice, considering her background.
context: We can't wait to see you, and there's a lot of requests for you.\It's just as President Hodgins said.\I am burning.\For the things I've done.\You'll understand one day.\And then you'll realize for the first time that you have many burns.\Why did you say that to her?\She didn't have a choice, considering her background. response:	It doesn't matter what her background was, or what the details or reasons may be.
context: It's just as President Hodgins said.\I am burning.\For the things I've done.\You'll understand one day.\And then you'll realize for the first time that you have many burns.\Why did you say that to her?\She didn't have a choice, considering her background.\It doesn't matter what her background was, or what the details or reasons may be. response:	You can't erase the past.
context: I am burning.\For the things I've done.\You'll understand one day.\And then you'll realize for the first time that you have many burns.\Why did you say that to her?\She didn't have a choice, considering her background.\It doesn't matter what her background was, or what the details or reasons may be.\You can't erase the past. response:	-Then just forget and start over... -It can't be forgotten either.
context: For the things I've done.\You'll understand one day.\And then you'll realize for the first time that you have many burns.\Why did you say that to her?\She didn't have a choice, considering her background.\It doesn't matter what her background was, or what the details or reasons may be.\You can't erase the past.\-Then just forget and start over... -It can't be forgotten either. response:	She's not the only one who's on fire.
context: You'll understand one day.\And then you'll realize for the first time that you have many burns.\Why did you say that to her?\She didn't have a choice, considering her background.\It doesn't matter what her background was, or what the details or reasons may be.\You can't erase the past.\-Then just forget and start over... -It can't be forgotten either.\She's not the only one who's on fire. response:	You and me both.
context: And then you'll realize for the first time that you have many burns.\Why did you say that to her?\She didn't have a choice, considering her background.\It doesn't matter what her background was, or what the details or reasons may be.\You can't erase the past.\-Then just forget and start over... -It can't be forgotten either.\She's not the only one who's on fire.\You and me both. response:	We have invisible scars left behind by the flames.
context: Why did you say that to her?\She didn't have a choice, considering her background.\It doesn't matter what her background was, or what the details or reasons may be.\You can't erase the past.\-Then just forget and start over... -It can't be forgotten either.\She's not the only one who's on fire.\You and me both.\We have invisible scars left behind by the flames. response:	Then...
context: She didn't have a choice, considering her background.\It doesn't matter what her background was, or what the details or reasons may be.\You can't erase the past.\-Then just forget and start over... -It can't be forgotten either.\She's not the only one who's on fire.\You and me both.\We have invisible scars left behind by the flames.\Then... response:	Then what should she do?
context: It doesn't matter what her background was, or what the details or reasons may be.\You can't erase the past.\-Then just forget and start over... -It can't be forgotten either.\She's not the only one who's on fire.\You and me both.\We have invisible scars left behind by the flames.\Then...\Then what should she do? response:	She'll have to decide on her own.
context: You can't erase the past.\-Then just forget and start over... -It can't be forgotten either.\She's not the only one who's on fire.\You and me both.\We have invisible scars left behind by the flames.\Then...\Then what should she do?\She'll have to decide on her own. response:	After she looks at her burning body and accepts it.
context: -Then just forget and start over... -It can't be forgotten either.\She's not the only one who's on fire.\You and me both.\We have invisible scars left behind by the flames.\Then...\Then what should she do?\She'll have to decide on her own.\After she looks at her burning body and accepts it. response:	But...
context: She's not the only one who's on fire.\You and me both.\We have invisible scars left behind by the flames.\Then...\Then what should she do?\She'll have to decide on her own.\After she looks at her burning body and accepts it.\But... response:	She's lost the major,
context: You and me both.\We have invisible scars left behind by the flames.\Then...\Then what should she do?\She'll have to decide on her own.\After she looks at her burning body and accepts it.\But...\She's lost the major, response:	and everything else she had.
context: We have invisible scars left behind by the flames.\Then...\Then what should she do?\She'll have to decide on her own.\After she looks at her burning body and accepts it.\But...\She's lost the major,\and everything else she had. response:	It'll be okay.
context: Then...\Then what should she do?\She'll have to decide on her own.\After she looks at her burning body and accepts it.\But...\She's lost the major,\and everything else she had.\It'll be okay. response:	She hasn't lost him.
context: Then what should she do?\She'll have to decide on her own.\After she looks at her burning body and accepts it.\But...\She's lost the major,\and everything else she had.\It'll be okay.\She hasn't lost him. response:	Or anything else.
context: She'll have to decide on her own.\After she looks at her burning body and accepts it.\But...\She's lost the major,\and everything else she had.\It'll be okay.\She hasn't lost him.\Or anything else. response:	Cattleya hasn't come back either.
context: After she looks at her burning body and accepts it.\But...\She's lost the major,\and everything else she had.\It'll be okay.\She hasn't lost him.\Or anything else.\Cattleya hasn't come back either. response:	I'll go check on her tomorrow.
context: But...\She's lost the major,\and everything else she had.\It'll be okay.\She hasn't lost him.\Or anything else.\Cattleya hasn't come back either.\I'll go check on her tomorrow. response:	It might be better to give her some space for now.
context: She's lost the major,\and everything else she had.\It'll be okay.\She hasn't lost him.\Or anything else.\Cattleya hasn't come back either.\I'll go check on her tomorrow.\It might be better to give her some space for now. response:	But...
context: and everything else she had.\It'll be okay.\She hasn't lost him.\Or anything else.\Cattleya hasn't come back either.\I'll go check on her tomorrow.\It might be better to give her some space for now.\But... response:	I want to know what I love you means.
context: It'll be okay.\She hasn't lost him.\Or anything else.\Cattleya hasn't come back either.\I'll go check on her tomorrow.\It might be better to give her some space for now.\But...\I want to know what I love you means. response:	I became a Doll because I wanted to know what the major meant by I love you.
context: She hasn't lost him.\Or anything else.\Cattleya hasn't come back either.\I'll go check on her tomorrow.\It might be better to give her some space for now.\But...\I want to know what I love you means.\I became a Doll because I wanted to know what the major meant by I love you. response:	Is giving her space all we really need to do?
context: Or anything else.\Cattleya hasn't come back either.\I'll go check on her tomorrow.\It might be better to give her some space for now.\But...\I want to know what I love you means.\I became a Doll because I wanted to know what the major meant by I love you.\Is giving her space all we really need to do? response:	What?
context: Cattleya hasn't come back either.\I'll go check on her tomorrow.\It might be better to give her some space for now.\But...\I want to know what I love you means.\I became a Doll because I wanted to know what the major meant by I love you.\Is giving her space all we really need to do?\What? response:	What if she never comes back to being a Doll?
context: I'll go check on her tomorrow.\It might be better to give her some space for now.\But...\I want to know what I love you means.\I became a Doll because I wanted to know what the major meant by I love you.\Is giving her space all we really need to do?\What?\What if she never comes back to being a Doll? response:	I'd like to hire a scribe.
context: It might be better to give her some space for now.\But...\I want to know what I love you means.\I became a Doll because I wanted to know what the major meant by I love you.\Is giving her space all we really need to do?\What?\What if she never comes back to being a Doll?\I'd like to hire a scribe. response:	Major.
context: But...\I want to know what I love you means.\I became a Doll because I wanted to know what the major meant by I love you.\Is giving her space all we really need to do?\What?\What if she never comes back to being a Doll?\I'd like to hire a scribe.\Major. response:	What's the matter?
context: I want to know what I love you means.\I became a Doll because I wanted to know what the major meant by I love you.\Is giving her space all we really need to do?\What?\What if she never comes back to being a Doll?\I'd like to hire a scribe.\Major.\What's the matter? response:	Violet?
context: I became a Doll because I wanted to know what the major meant by I love you.\Is giving her space all we really need to do?\What?\What if she never comes back to being a Doll?\I'd like to hire a scribe.\Major.\What's the matter?\Violet? response:	Major.
context: Is giving her space all we really need to do?\What?\What if she never comes back to being a Doll?\I'd like to hire a scribe.\Major.\What's the matter?\Violet?\Major. response:	Major!
