context: Episode 4 response:	Rumors
context: I wonder if I'm using up my lifetime's supply of happiness right now.\But I'm happy anyway.\What? No way.\Yoshida? The thin-eyed girl?\Yeah.\She used to be a real problem in middle school.\She made her teacher cry and beat up all the guys in her class.\I was a lot worse than that. response:	And my eyes aren't that thin.
context: But I'm happy anyway.\What? No way.\Yoshida? The thin-eyed girl?\Yeah.\She used to be a real problem in middle school.\She made her teacher cry and beat up all the guys in her class.\I was a lot worse than that.\And my eyes aren't that thin. response:	Yano-san, right?
context: What? No way.\Yoshida? The thin-eyed girl?\Yeah.\She used to be a real problem in middle school.\She made her teacher cry and beat up all the guys in her class.\I was a lot worse than that.\And my eyes aren't that thin.\Yano-san, right? response:	She does look like it.
context: Yoshida? The thin-eyed girl?\Yeah.\She used to be a real problem in middle school.\She made her teacher cry and beat up all the guys in her class.\I was a lot worse than that.\And my eyes aren't that thin.\Yano-san, right?\She does look like it. response:	A hundred guys in middle school... that's just crazy.
context: Yeah.\She used to be a real problem in middle school.\She made her teacher cry and beat up all the guys in her class.\I was a lot worse than that.\And my eyes aren't that thin.\Yano-san, right?\She does look like it.\A hundred guys in middle school... that's just crazy. response:	Are you saying there are a hundred guys that could satisfy me?
context: She used to be a real problem in middle school.\She made her teacher cry and beat up all the guys in her class.\I was a lot worse than that.\And my eyes aren't that thin.\Yano-san, right?\She does look like it.\A hundred guys in middle school... that's just crazy.\Are you saying there are a hundred guys that could satisfy me? response:	Hook me up.
context: She made her teacher cry and beat up all the guys in her class.\I was a lot worse than that.\And my eyes aren't that thin.\Yano-san, right?\She does look like it.\A hundred guys in middle school... that's just crazy.\Are you saying there are a hundred guys that could satisfy me?\Hook me up. response:	I'll let you know what they're like.
context: I was a lot worse than that.\And my eyes aren't that thin.\Yano-san, right?\She does look like it.\A hundred guys in middle school... that's just crazy.\Are you saying there are a hundred guys that could satisfy me?\Hook me up.\I'll let you know what they're like. response:	Dammit, my legend was way grander than that.
context: And my eyes aren't that thin.\Yano-san, right?\She does look like it.\A hundred guys in middle school... that's just crazy.\Are you saying there are a hundred guys that could satisfy me?\Hook me up.\I'll let you know what they're like.\Dammit, my legend was way grander than that. response:	It's just a rumor.
context: Yano-san, right?\She does look like it.\A hundred guys in middle school... that's just crazy.\Are you saying there are a hundred guys that could satisfy me?\Hook me up.\I'll let you know what they're like.\Dammit, my legend was way grander than that.\It's just a rumor. response:	And my eyes aren't that thin.
context: She does look like it.\A hundred guys in middle school... that's just crazy.\Are you saying there are a hundred guys that could satisfy me?\Hook me up.\I'll let you know what they're like.\Dammit, my legend was way grander than that.\It's just a rumor.\And my eyes aren't that thin. response:	They are thinner than you think, though.
context: A hundred guys in middle school... that's just crazy.\Are you saying there are a hundred guys that could satisfy me?\Hook me up.\I'll let you know what they're like.\Dammit, my legend was way grander than that.\It's just a rumor.\And my eyes aren't that thin.\They are thinner than you think, though. response:	Geez.
context: Are you saying there are a hundred guys that could satisfy me?\Hook me up.\I'll let you know what they're like.\Dammit, my legend was way grander than that.\It's just a rumor.\And my eyes aren't that thin.\They are thinner than you think, though.\Geez. response:	Lies. All lies.
context: Hook me up.\I'll let you know what they're like.\Dammit, my legend was way grander than that.\It's just a rumor.\And my eyes aren't that thin.\They are thinner than you think, though.\Geez.\Lies. All lies. response:	Even the rumors about Sadako.
context: I'll let you know what they're like.\Dammit, my legend was way grander than that.\It's just a rumor.\And my eyes aren't that thin.\They are thinner than you think, though.\Geez.\Lies. All lies.\Even the rumors about Sadako. response:	What do you think?
context: Dammit, my legend was way grander than that.\It's just a rumor.\And my eyes aren't that thin.\They are thinner than you think, though.\Geez.\Lies. All lies.\Even the rumors about Sadako.\What do you think? response:	I'm asking you who told you that.
context: It's just a rumor.\And my eyes aren't that thin.\They are thinner than you think, though.\Geez.\Lies. All lies.\Even the rumors about Sadako.\What do you think?\I'm asking you who told you that. response:	Who told you?
context: And my eyes aren't that thin.\They are thinner than you think, though.\Geez.\Lies. All lies.\Even the rumors about Sadako.\What do you think?\I'm asking you who told you that.\Who told you? response:	Sadako.
context: They are thinner than you think, though.\Geez.\Lies. All lies.\Even the rumors about Sadako.\What do you think?\I'm asking you who told you that.\Who told you?\Sadako. response:	Everyone's saying so,
context: Geez.\Lies. All lies.\Even the rumors about Sadako.\What do you think?\I'm asking you who told you that.\Who told you?\Sadako.\Everyone's saying so, response:	that she's using Kazehaya and you two to up her status.
context: Lies. All lies.\Even the rumors about Sadako.\What do you think?\I'm asking you who told you that.\Who told you?\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status. response:	Bullshit.
context: Even the rumors about Sadako.\What do you think?\I'm asking you who told you that.\Who told you?\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\Bullshit. response:	You wanna ask just to be sure?
context: What do you think?\I'm asking you who told you that.\Who told you?\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\Bullshit.\You wanna ask just to be sure? response:	So that ramen...
context: I'm asking you who told you that.\Who told you?\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\Bullshit.\You wanna ask just to be sure?\So that ramen... response:	Morning, Yano-san, Yoshida-san.
context: Who told you?\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\Bullshit.\You wanna ask just to be sure?\So that ramen...\Morning, Yano-san, Yoshida-san. response:	Morning, Sadako.
context: Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\Bullshit.\You wanna ask just to be sure?\So that ramen...\Morning, Yano-san, Yoshida-san.\Morning, Sadako. response:	So I beat up all the guys in my class huh?
context: Everyone's saying so,\that she's using Kazehaya and you two to up her status.\Bullshit.\You wanna ask just to be sure?\So that ramen...\Morning, Yano-san, Yoshida-san.\Morning, Sadako.\So I beat up all the guys in my class huh? response:	And I'm a slut, and I did a hundred guys in middle school.
context: that she's using Kazehaya and you two to up her status.\Bullshit.\You wanna ask just to be sure?\So that ramen...\Morning, Yano-san, Yoshida-san.\Morning, Sadako.\So I beat up all the guys in my class huh?\And I'm a slut, and I did a hundred guys in middle school. response:	Really?
context: Bullshit.\You wanna ask just to be sure?\So that ramen...\Morning, Yano-san, Yoshida-san.\Morning, Sadako.\So I beat up all the guys in my class huh?\And I'm a slut, and I did a hundred guys in middle school.\Really? response:	You're both so amazing.
context: You wanna ask just to be sure?\So that ramen...\Morning, Yano-san, Yoshida-san.\Morning, Sadako.\So I beat up all the guys in my class huh?\And I'm a slut, and I did a hundred guys in middle school.\Really?\You're both so amazing. response:	Pure!
context: So that ramen...\Morning, Yano-san, Yoshida-san.\Morning, Sadako.\So I beat up all the guys in my class huh?\And I'm a slut, and I did a hundred guys in middle school.\Really?\You're both so amazing.\Pure! response:	Yoshida-san, if it's okay with you...
context: Morning, Yano-san, Yoshida-san.\Morning, Sadako.\So I beat up all the guys in my class huh?\And I'm a slut, and I did a hundred guys in middle school.\Really?\You're both so amazing.\Pure!\Yoshida-san, if it's okay with you... response:	What's this?
context: Morning, Sadako.\So I beat up all the guys in my class huh?\And I'm a slut, and I did a hundred guys in middle school.\Really?\You're both so amazing.\Pure!\Yoshida-san, if it's okay with you...\What's this? response:	It's a summary for the midterm.
context: So I beat up all the guys in my class huh?\And I'm a slut, and I did a hundred guys in middle school.\Really?\You're both so amazing.\Pure!\Yoshida-san, if it's okay with you...\What's this?\It's a summary for the midterm. response:	I made it last night.
context: And I'm a slut, and I did a hundred guys in middle school.\Really?\You're both so amazing.\Pure!\Yoshida-san, if it's okay with you...\What's this?\It's a summary for the midterm.\I made it last night. response:	I was hoping you would have a use for it.
context: Really?\You're both so amazing.\Pure!\Yoshida-san, if it's okay with you...\What's this?\It's a summary for the midterm.\I made it last night.\I was hoping you would have a use for it. response:	Pure white!
context: You're both so amazing.\Pure!\Yoshida-san, if it's okay with you...\What's this?\It's a summary for the midterm.\I made it last night.\I was hoping you would have a use for it.\Pure white! response:	I'll be happy to use it.
context: Pure!\Yoshida-san, if it's okay with you...\What's this?\It's a summary for the midterm.\I made it last night.\I was hoping you would have a use for it.\Pure white!\I'll be happy to use it. response:	Yano-san?
context: Yoshida-san, if it's okay with you...\What's this?\It's a summary for the midterm.\I made it last night.\I was hoping you would have a use for it.\Pure white!\I'll be happy to use it.\Yano-san? response:	I was going to rent some horror story videos.
context: What's this?\It's a summary for the midterm.\I made it last night.\I was hoping you would have a use for it.\Pure white!\I'll be happy to use it.\Yano-san?\I was going to rent some horror story videos. response:	Could you please give me some recommendations?
context: It's a summary for the midterm.\I made it last night.\I was hoping you would have a use for it.\Pure white!\I'll be happy to use it.\Yano-san?\I was going to rent some horror story videos.\Could you please give me some recommendations? response:	Pure white!
context: I made it last night.\I was hoping you would have a use for it.\Pure white!\I'll be happy to use it.\Yano-san?\I was going to rent some horror story videos.\Could you please give me some recommendations?\Pure white! response:	Hey, Yoshida,
context: I was hoping you would have a use for it.\Pure white!\I'll be happy to use it.\Yano-san?\I was going to rent some horror story videos.\Could you please give me some recommendations?\Pure white!\Hey, Yoshida, response:	Can I copy that?
context: Pure white!\I'll be happy to use it.\Yano-san?\I was going to rent some horror story videos.\Could you please give me some recommendations?\Pure white!\Hey, Yoshida,\Can I copy that? response:	Me too. I'll give you some scrubs.
context: I'll be happy to use it.\Yano-san?\I was going to rent some horror story videos.\Could you please give me some recommendations?\Pure white!\Hey, Yoshida,\Can I copy that?\Me too. I'll give you some scrubs. response:	Me too.
context: Yano-san?\I was going to rent some horror story videos.\Could you please give me some recommendations?\Pure white!\Hey, Yoshida,\Can I copy that?\Me too. I'll give you some scrubs.\Me too. response:	Can they?
context: I was going to rent some horror story videos.\Could you please give me some recommendations?\Pure white!\Hey, Yoshida,\Can I copy that?\Me too. I'll give you some scrubs.\Me too.\Can they? response:	Of course.
context: Could you please give me some recommendations?\Pure white!\Hey, Yoshida,\Can I copy that?\Me too. I'll give you some scrubs.\Me too.\Can they?\Of course. response:	I really like being helpful.
context: Pure white!\Hey, Yoshida,\Can I copy that?\Me too. I'll give you some scrubs.\Me too.\Can they?\Of course.\I really like being helpful. response:	Triple pure white!
context: Hey, Yoshida,\Can I copy that?\Me too. I'll give you some scrubs.\Me too.\Can they?\Of course.\I really like being helpful.\Triple pure white! response:	Ryu.
context: Can I copy that?\Me too. I'll give you some scrubs.\Me too.\Can they?\Of course.\I really like being helpful.\Triple pure white!\Ryu. response:	Morning, Sanada-kun.
context: Me too. I'll give you some scrubs.\Me too.\Can they?\Of course.\I really like being helpful.\Triple pure white!\Ryu.\Morning, Sanada-kun. response:	Morning.
context: Me too.\Can they?\Of course.\I really like being helpful.\Triple pure white!\Ryu.\Morning, Sanada-kun.\Morning. response:	Kazehaya-kun's late.
context: Can they?\Of course.\I really like being helpful.\Triple pure white!\Ryu.\Morning, Sanada-kun.\Morning.\Kazehaya-kun's late. response:	You don't believe me, do you?
context: Of course.\I really like being helpful.\Triple pure white!\Ryu.\Morning, Sanada-kun.\Morning.\Kazehaya-kun's late.\You don't believe me, do you? response:	I seriously saw him last night.
context: I really like being helpful.\Triple pure white!\Ryu.\Morning, Sanada-kun.\Morning.\Kazehaya-kun's late.\You don't believe me, do you?\I seriously saw him last night. response:	Little old man.
context: Triple pure white!\Ryu.\Morning, Sanada-kun.\Morning.\Kazehaya-kun's late.\You don't believe me, do you?\I seriously saw him last night.\Little old man. response:	Pin, I really want to go to class.
context: Ryu.\Morning, Sanada-kun.\Morning.\Kazehaya-kun's late.\You don't believe me, do you?\I seriously saw him last night.\Little old man.\Pin, I really want to go to class. response:	I was drinking last night
context: Morning, Sanada-kun.\Morning.\Kazehaya-kun's late.\You don't believe me, do you?\I seriously saw him last night.\Little old man.\Pin, I really want to go to class.\I was drinking last night response:	Lots of them. Running around my glass.
context: Morning.\Kazehaya-kun's late.\You don't believe me, do you?\I seriously saw him last night.\Little old man.\Pin, I really want to go to class.\I was drinking last night\Lots of them. Running around my glass. response:	Round and round, round and round.
context: Kazehaya-kun's late.\You don't believe me, do you?\I seriously saw him last night.\Little old man.\Pin, I really want to go to class.\I was drinking last night\Lots of them. Running around my glass.\Round and round, round and round. response:	And then one by one they went into my glass!
context: You don't believe me, do you?\I seriously saw him last night.\Little old man.\Pin, I really want to go to class.\I was drinking last night\Lots of them. Running around my glass.\Round and round, round and round.\And then one by one they went into my glass! response:	Pin!
context: I seriously saw him last night.\Little old man.\Pin, I really want to go to class.\I was drinking last night\Lots of them. Running around my glass.\Round and round, round and round.\And then one by one they went into my glass!\Pin! response:	I told you I'm late!
context: Little old man.\Pin, I really want to go to class.\I was drinking last night\Lots of them. Running around my glass.\Round and round, round and round.\And then one by one they went into my glass!\Pin!\I told you I'm late! response:	Those are some tough bastards.
context: Pin, I really want to go to class.\I was drinking last night\Lots of them. Running around my glass.\Round and round, round and round.\And then one by one they went into my glass!\Pin!\I told you I'm late!\Those are some tough bastards. response:	I'm leaving.
context: I was drinking last night\Lots of them. Running around my glass.\Round and round, round and round.\And then one by one they went into my glass!\Pin!\I told you I'm late!\Those are some tough bastards.\I'm leaving. response:	So how's that Kuronuma girl?
context: Lots of them. Running around my glass.\Round and round, round and round.\And then one by one they went into my glass!\Pin!\I told you I'm late!\Those are some tough bastards.\I'm leaving.\So how's that Kuronuma girl? response:	What about her?
context: Round and round, round and round.\And then one by one they went into my glass!\Pin!\I told you I'm late!\Those are some tough bastards.\I'm leaving.\So how's that Kuronuma girl?\What about her? response:	All sorts of weird stuff has been happening since I looked into her eyes.
context: And then one by one they went into my glass!\Pin!\I told you I'm late!\Those are some tough bastards.\I'm leaving.\So how's that Kuronuma girl?\What about her?\All sorts of weird stuff has been happening since I looked into her eyes. response:	You sit next to her, you must know about her.
context: Pin!\I told you I'm late!\Those are some tough bastards.\I'm leaving.\So how's that Kuronuma girl?\What about her?\All sorts of weird stuff has been happening since I looked into her eyes.\You sit next to her, you must know about her. response:	Is she cursed or
context: I told you I'm late!\Those are some tough bastards.\I'm leaving.\So how's that Kuronuma girl?\What about her?\All sorts of weird stuff has been happening since I looked into her eyes.\You sit next to her, you must know about her.\Is she cursed or response:	I'll believe what I see.
context: Those are some tough bastards.\I'm leaving.\So how's that Kuronuma girl?\What about her?\All sorts of weird stuff has been happening since I looked into her eyes.\You sit next to her, you must know about her.\Is she cursed or\I'll believe what I see. response:	The Kuronuma I see is pure-hearted and good.
context: I'm leaving.\So how's that Kuronuma girl?\What about her?\All sorts of weird stuff has been happening since I looked into her eyes.\You sit next to her, you must know about her.\Is she cursed or\I'll believe what I see.\The Kuronuma I see is pure-hearted and good. response:	You... are you going out with her?
context: So how's that Kuronuma girl?\What about her?\All sorts of weird stuff has been happening since I looked into her eyes.\You sit next to her, you must know about her.\Is she cursed or\I'll believe what I see.\The Kuronuma I see is pure-hearted and good.\You... are you going out with her? response:	W-What are you getting all red about?
context: What about her?\All sorts of weird stuff has been happening since I looked into her eyes.\You sit next to her, you must know about her.\Is she cursed or\I'll believe what I see.\The Kuronuma I see is pure-hearted and good.\You... are you going out with her?\W-What are you getting all red about? response:	Y-You're not really
context: All sorts of weird stuff has been happening since I looked into her eyes.\You sit next to her, you must know about her.\Is she cursed or\I'll believe what I see.\The Kuronuma I see is pure-hearted and good.\You... are you going out with her?\W-What are you getting all red about?\Y-You're not really response:	Shut up!
context: You sit next to her, you must know about her.\Is she cursed or\I'll believe what I see.\The Kuronuma I see is pure-hearted and good.\You... are you going out with her?\W-What are you getting all red about?\Y-You're not really\Shut up! response:	I've heard enough from you!
context: Is she cursed or\I'll believe what I see.\The Kuronuma I see is pure-hearted and good.\You... are you going out with her?\W-What are you getting all red about?\Y-You're not really\Shut up!\I've heard enough from you! response:	I'm leaving.
context: I'll believe what I see.\The Kuronuma I see is pure-hearted and good.\You... are you going out with her?\W-What are you getting all red about?\Y-You're not really\Shut up!\I've heard enough from you!\I'm leaving. response:	S-Seriously?
context: The Kuronuma I see is pure-hearted and good.\You... are you going out with her?\W-What are you getting all red about?\Y-You're not really\Shut up!\I've heard enough from you!\I'm leaving.\S-Seriously? response:	He really has a type, doesn't he?
context: You... are you going out with her?\W-What are you getting all red about?\Y-You're not really\Shut up!\I've heard enough from you!\I'm leaving.\S-Seriously?\He really has a type, doesn't he? response:	Morning.
context: W-What are you getting all red about?\Y-You're not really\Shut up!\I've heard enough from you!\I'm leaving.\S-Seriously?\He really has a type, doesn't he?\Morning. response:	Morning.
context: Y-You're not really\Shut up!\I've heard enough from you!\I'm leaving.\S-Seriously?\He really has a type, doesn't he?\Morning.\Morning. response:	M-Morning.
context: Shut up!\I've heard enough from you!\I'm leaving.\S-Seriously?\He really has a type, doesn't he?\Morning.\Morning.\M-Morning. response:	You're late.
context: I've heard enough from you!\I'm leaving.\S-Seriously?\He really has a type, doesn't he?\Morning.\Morning.\M-Morning.\You're late. response:	Pin was talking to me about little old men.
context: I'm leaving.\S-Seriously?\He really has a type, doesn't he?\Morning.\Morning.\M-Morning.\You're late.\Pin was talking to me about little old men. response:	What the hell?
context: S-Seriously?\He really has a type, doesn't he?\Morning.\Morning.\M-Morning.\You're late.\Pin was talking to me about little old men.\What the hell? response:	No idea.
context: He really has a type, doesn't he?\Morning.\Morning.\M-Morning.\You're late.\Pin was talking to me about little old men.\What the hell?\No idea. response:	His bangs are standing.
context: Morning.\Morning.\M-Morning.\You're late.\Pin was talking to me about little old men.\What the hell?\No idea.\His bangs are standing. response:	She's normal, I think?
context: Morning.\M-Morning.\You're late.\Pin was talking to me about little old men.\What the hell?\No idea.\His bangs are standing.\She's normal, I think? response:	After I talked about having her to myself.
context: M-Morning.\You're late.\Pin was talking to me about little old men.\What the hell?\No idea.\His bangs are standing.\She's normal, I think?\After I talked about having her to myself. response:	His bangs... I want to see his bangs again.
context: You're late.\Pin was talking to me about little old men.\What the hell?\No idea.\His bangs are standing.\She's normal, I think?\After I talked about having her to myself.\His bangs... I want to see his bangs again. response:	Are you going out with her?
context: Pin was talking to me about little old men.\What the hell?\No idea.\His bangs are standing.\She's normal, I think?\After I talked about having her to myself.\His bangs... I want to see his bangs again.\Are you going out with her? response:	Shit, I can't look at her anymore.
context: What the hell?\No idea.\His bangs are standing.\She's normal, I think?\After I talked about having her to myself.\His bangs... I want to see his bangs again.\Are you going out with her?\Shit, I can't look at her anymore. response:	His bangs... too bad.
context: No idea.\His bangs are standing.\She's normal, I think?\After I talked about having her to myself.\His bangs... I want to see his bangs again.\Are you going out with her?\Shit, I can't look at her anymore.\His bangs... too bad. response:	In my happiness, my heart's racing faster day by day.
context: His bangs are standing.\She's normal, I think?\After I talked about having her to myself.\His bangs... I want to see his bangs again.\Are you going out with her?\Shit, I can't look at her anymore.\His bangs... too bad.\In my happiness, my heart's racing faster day by day. response:	I wonder what everyone else is thinking.
context: She's normal, I think?\After I talked about having her to myself.\His bangs... I want to see his bangs again.\Are you going out with her?\Shit, I can't look at her anymore.\His bangs... too bad.\In my happiness, my heart's racing faster day by day.\I wonder what everyone else is thinking. response:	Do they like being with me?
context: After I talked about having her to myself.\His bangs... I want to see his bangs again.\Are you going out with her?\Shit, I can't look at her anymore.\His bangs... too bad.\In my happiness, my heart's racing faster day by day.\I wonder what everyone else is thinking.\Do they like being with me? response:	I hope they do.
context: His bangs... I want to see his bangs again.\Are you going out with her?\Shit, I can't look at her anymore.\His bangs... too bad.\In my happiness, my heart's racing faster day by day.\I wonder what everyone else is thinking.\Do they like being with me?\I hope they do. response:	I hope they do.
context: Are you going out with her?\Shit, I can't look at her anymore.\His bangs... too bad.\In my happiness, my heart's racing faster day by day.\I wonder what everyone else is thinking.\Do they like being with me?\I hope they do.\I hope they do. response:	I always thought it was normal not to have anyone around me.
context: Shit, I can't look at her anymore.\His bangs... too bad.\In my happiness, my heart's racing faster day by day.\I wonder what everyone else is thinking.\Do they like being with me?\I hope they do.\I hope they do.\I always thought it was normal not to have anyone around me. response:	I never even thought about it.
context: His bangs... too bad.\In my happiness, my heart's racing faster day by day.\I wonder what everyone else is thinking.\Do they like being with me?\I hope they do.\I hope they do.\I always thought it was normal not to have anyone around me.\I never even thought about it. response:	Ever since that day, I've been filled with feelings that I'd never known before.
context: In my happiness, my heart's racing faster day by day.\I wonder what everyone else is thinking.\Do they like being with me?\I hope they do.\I hope they do.\I always thought it was normal not to have anyone around me.\I never even thought about it.\Ever since that day, I've been filled with feelings that I'd never known before. response:	I want to have them close to me.
context: I wonder what everyone else is thinking.\Do they like being with me?\I hope they do.\I hope they do.\I always thought it was normal not to have anyone around me.\I never even thought about it.\Ever since that day, I've been filled with feelings that I'd never known before.\I want to have them close to me. response:	They're like presents that I've received for the first time.
context: Do they like being with me?\I hope they do.\I hope they do.\I always thought it was normal not to have anyone around me.\I never even thought about it.\Ever since that day, I've been filled with feelings that I'd never known before.\I want to have them close to me.\They're like presents that I've received for the first time. response:	Yano-san, Yoshida-san.
context: I hope they do.\I hope they do.\I always thought it was normal not to have anyone around me.\I never even thought about it.\Ever since that day, I've been filled with feelings that I'd never known before.\I want to have them close to me.\They're like presents that I've received for the first time.\Yano-san, Yoshida-san. response:	Hey...
context: I hope they do.\I always thought it was normal not to have anyone around me.\I never even thought about it.\Ever since that day, I've been filled with feelings that I'd never known before.\I want to have them close to me.\They're like presents that I've received for the first time.\Yano-san, Yoshida-san.\Hey... response:	There's a rumor going around lately.
context: I always thought it was normal not to have anyone around me.\I never even thought about it.\Ever since that day, I've been filled with feelings that I'd never known before.\I want to have them close to me.\They're like presents that I've received for the first time.\Yano-san, Yoshida-san.\Hey...\There's a rumor going around lately. response:	Sounds like it.
context: I never even thought about it.\Ever since that day, I've been filled with feelings that I'd never known before.\I want to have them close to me.\They're like presents that I've received for the first time.\Yano-san, Yoshida-san.\Hey...\There's a rumor going around lately.\Sounds like it. response:	It keeps getting worse.
context: Ever since that day, I've been filled with feelings that I'd never known before.\I want to have them close to me.\They're like presents that I've received for the first time.\Yano-san, Yoshida-san.\Hey...\There's a rumor going around lately.\Sounds like it.\It keeps getting worse. response:	They're saying you beat an elderly man to a pulp.
context: I want to have them close to me.\They're like presents that I've received for the first time.\Yano-san, Yoshida-san.\Hey...\There's a rumor going around lately.\Sounds like it.\It keeps getting worse.\They're saying you beat an elderly man to a pulp. response:	I did help up an old guy after he fell.
context: They're like presents that I've received for the first time.\Yano-san, Yoshida-san.\Hey...\There's a rumor going around lately.\Sounds like it.\It keeps getting worse.\They're saying you beat an elderly man to a pulp.\I did help up an old guy after he fell. response:	And that Yano-san is involved in paid dating.
context: Yano-san, Yoshida-san.\Hey...\There's a rumor going around lately.\Sounds like it.\It keeps getting worse.\They're saying you beat an elderly man to a pulp.\I did help up an old guy after he fell.\And that Yano-san is involved in paid dating. response:	Bullshit!
context: Hey...\There's a rumor going around lately.\Sounds like it.\It keeps getting worse.\They're saying you beat an elderly man to a pulp.\I did help up an old guy after he fell.\And that Yano-san is involved in paid dating.\Bullshit! response:	We don't believe it, of course.
