context: I'm glad you're here. response:	This time, you won't get away.
context: I have only one demand. Return my insignia.\It's very important to me.\If she were just another magic user, I wouldn't back down,\but this one's trouble...\What's with you, Old Man Rom?\Admitting defeat before we even fight?!\Young lady, you're an elf, ain't ya?\Not exactly. response:	I'm only a half-elf.
context: It's very important to me.\If she were just another magic user, I wouldn't back down,\but this one's trouble...\What's with you, Old Man Rom?\Admitting defeat before we even fight?!\Young lady, you're an elf, ain't ya?\Not exactly.\I'm only a half-elf. response:	A half-elf?
context: If she were just another magic user, I wouldn't back down,\but this one's trouble...\What's with you, Old Man Rom?\Admitting defeat before we even fight?!\Young lady, you're an elf, ain't ya?\Not exactly.\I'm only a half-elf.\A half-elf? response:	And with silver hair... Wait, are you...
context: but this one's trouble...\What's with you, Old Man Rom?\Admitting defeat before we even fight?!\Young lady, you're an elf, ain't ya?\Not exactly.\I'm only a half-elf.\A half-elf?\And with silver hair... Wait, are you... response:	It's an accidental resemblance! Really, it's bothersome to me.
context: What's with you, Old Man Rom?\Admitting defeat before we even fight?!\Young lady, you're an elf, ain't ya?\Not exactly.\I'm only a half-elf.\A half-elf?\And with silver hair... Wait, are you...\It's an accidental resemblance! Really, it's bothersome to me. response:	You set me up, didn't you?
context: Admitting defeat before we even fight?!\Young lady, you're an elf, ain't ya?\Not exactly.\I'm only a half-elf.\A half-elf?\And with silver hair... Wait, are you...\It's an accidental resemblance! Really, it's bothersome to me.\You set me up, didn't you? response:	Huh? No, I didn't do anything...
context: Young lady, you're an elf, ain't ya?\Not exactly.\I'm only a half-elf.\A half-elf?\And with silver hair... Wait, are you...\It's an accidental resemblance! Really, it's bothersome to me.\You set me up, didn't you?\Huh? No, I didn't do anything... response:	After you said you'd return it to its owner, I thought you were suspicious!
context: Not exactly.\I'm only a half-elf.\A half-elf?\And with silver hair... Wait, are you...\It's an accidental resemblance! Really, it's bothersome to me.\You set me up, didn't you?\Huh? No, I didn't do anything...\After you said you'd return it to its owner, I thought you were suspicious! response:	What do you mean? You two aren't working together?
context: I'm only a half-elf.\A half-elf?\And with silver hair... Wait, are you...\It's an accidental resemblance! Really, it's bothersome to me.\You set me up, didn't you?\Huh? No, I didn't do anything...\After you said you'd return it to its owner, I thought you were suspicious!\What do you mean? You two aren't working together? response:	Her nature never changes, no matter how many times I start over in this world.
context: A half-elf?\And with silver hair... Wait, are you...\It's an accidental resemblance! Really, it's bothersome to me.\You set me up, didn't you?\Huh? No, I didn't do anything...\After you said you'd return it to its owner, I thought you were suspicious!\What do you mean? You two aren't working together?\Her nature never changes, no matter how many times I start over in this world. response:	Hey! What are you laughing about?!
context: And with silver hair... Wait, are you...\It's an accidental resemblance! Really, it's bothersome to me.\You set me up, didn't you?\Huh? No, I didn't do anything...\After you said you'd return it to its owner, I thought you were suspicious!\What do you mean? You two aren't working together?\Her nature never changes, no matter how many times I start over in this world.\Hey! What are you laughing about?! response:	Come on, isn't that enough? Return her insignia.
context: It's an accidental resemblance! Really, it's bothersome to me.\You set me up, didn't you?\Huh? No, I didn't do anything...\After you said you'd return it to its owner, I thought you were suspicious!\What do you mean? You two aren't working together?\Her nature never changes, no matter how many times I start over in this world.\Hey! What are you laughing about?!\Come on, isn't that enough? Return her insignia. response:	And, Sat you, hurry and get out of here.
context: You set me up, didn't you?\Huh? No, I didn't do anything...\After you said you'd return it to its owner, I thought you were suspicious!\What do you mean? You two aren't working together?\Her nature never changes, no matter how many times I start over in this world.\Hey! What are you laughing about?!\Come on, isn't that enough? Return her insignia.\And, Sat you, hurry and get out of here. response:	Try not to let anyone steal it again.
context: Huh? No, I didn't do anything...\After you said you'd return it to its owner, I thought you were suspicious!\What do you mean? You two aren't working together?\Her nature never changes, no matter how many times I start over in this world.\Hey! What are you laughing about?!\Come on, isn't that enough? Return her insignia.\And, Sat you, hurry and get out of here.\Try not to let anyone steal it again. response:	Why are you suddenly being so nice?
context: After you said you'd return it to its owner, I thought you were suspicious!\What do you mean? You two aren't working together?\Her nature never changes, no matter how many times I start over in this world.\Hey! What are you laughing about?!\Come on, isn't that enough? Return her insignia.\And, Sat you, hurry and get out of here.\Try not to let anyone steal it again.\Why are you suddenly being so nice? response:	I don't understand at all.
context: What do you mean? You two aren't working together?\Her nature never changes, no matter how many times I start over in this world.\Hey! What are you laughing about?!\Come on, isn't that enough? Return her insignia.\And, Sat you, hurry and get out of here.\Try not to let anyone steal it again.\Why are you suddenly being so nice?\I don't understand at all. response:	I don't understand you, either!
context: Her nature never changes, no matter how many times I start over in this world.\Hey! What are you laughing about?!\Come on, isn't that enough? Return her insignia.\And, Sat you, hurry and get out of here.\Try not to let anyone steal it again.\Why are you suddenly being so nice?\I don't understand at all.\I don't understand you, either! response:	What's up with you?
context: Hey! What are you laughing about?!\Come on, isn't that enough? Return her insignia.\And, Sat you, hurry and get out of here.\Try not to let anyone steal it again.\Why are you suddenly being so nice?\I don't understand at all.\I don't understand you, either!\What's up with you? response:	Puck! Shield her!
context: Come on, isn't that enough? Return her insignia.\And, Sat you, hurry and get out of here.\Try not to let anyone steal it again.\Why are you suddenly being so nice?\I don't understand at all.\I don't understand you, either!\What's up with you?\Puck! Shield her! response:	That was a bit closer than I expected.
context: And, Sat you, hurry and get out of here.\Try not to let anyone steal it again.\Why are you suddenly being so nice?\I don't understand at all.\I don't understand you, either!\What's up with you?\Puck! Shield her!\That was a bit closer than I expected. response:	You saved us!
context: Try not to let anyone steal it again.\Why are you suddenly being so nice?\I don't understand at all.\I don't understand you, either!\What's up with you?\Puck! Shield her!\That was a bit closer than I expected.\You saved us! response:	Nice one, Puck!
context: Why are you suddenly being so nice?\I don't understand at all.\I don't understand you, either!\What's up with you?\Puck! Shield her!\That was a bit closer than I expected.\You saved us!\Nice one, Puck! response:	Thank goodness it was before five, while you're still on duty.
context: I don't understand at all.\I don't understand you, either!\What's up with you?\Puck! Shield her!\That was a bit closer than I expected.\You saved us!\Nice one, Puck!\Thank goodness it was before five, while you're still on duty. response:	Thanks!
context: I don't understand you, either!\What's up with you?\Puck! Shield her!\That was a bit closer than I expected.\You saved us!\Nice one, Puck!\Thank goodness it was before five, while you're still on duty.\Thanks! response:	A spirit... That is a spirit, yes?
context: What's up with you?\Puck! Shield her!\That was a bit closer than I expected.\You saved us!\Nice one, Puck!\Thank goodness it was before five, while you're still on duty.\Thanks!\A spirit... That is a spirit, yes? response:	How wonderful.
context: Puck! Shield her!\That was a bit closer than I expected.\You saved us!\Nice one, Puck!\Thank goodness it was before five, while you're still on duty.\Thanks!\A spirit... That is a spirit, yes?\How wonderful. response:	I have never dissected a spirit's stomach before.
context: That was a bit closer than I expected.\You saved us!\Nice one, Puck!\Thank goodness it was before five, while you're still on duty.\Thanks!\A spirit... That is a spirit, yes?\How wonderful.\I have never dissected a spirit's stomach before. response:	Hey, what do you mean by that?
context: You saved us!\Nice one, Puck!\Thank goodness it was before five, while you're still on duty.\Thanks!\A spirit... That is a spirit, yes?\How wonderful.\I have never dissected a spirit's stomach before.\Hey, what do you mean by that? response:	We can hardly negotiate, if the item's original owner is here.
context: Nice one, Puck!\Thank goodness it was before five, while you're still on duty.\Thanks!\A spirit... That is a spirit, yes?\How wonderful.\I have never dissected a spirit's stomach before.\Hey, what do you mean by that?\We can hardly negotiate, if the item's original owner is here. response:	So I have changed my plans.
context: Thank goodness it was before five, while you're still on duty.\Thanks!\A spirit... That is a spirit, yes?\How wonderful.\I have never dissected a spirit's stomach before.\Hey, what do you mean by that?\We can hardly negotiate, if the item's original owner is here.\So I have changed my plans. response:	I shall slaughter everyone here.
context: Thanks!\A spirit... That is a spirit, yes?\How wonderful.\I have never dissected a spirit's stomach before.\Hey, what do you mean by that?\We can hardly negotiate, if the item's original owner is here.\So I have changed my plans.\I shall slaughter everyone here. response:	You failed to see your job through to the end.
context: A spirit... That is a spirit, yes?\How wonderful.\I have never dissected a spirit's stomach before.\Hey, what do you mean by that?\We can hardly negotiate, if the item's original owner is here.\So I have changed my plans.\I shall slaughter everyone here.\You failed to see your job through to the end. response:	You talk a good game, but you do terrible work.
context: How wonderful.\I have never dissected a spirit's stomach before.\Hey, what do you mean by that?\We can hardly negotiate, if the item's original owner is here.\So I have changed my plans.\I shall slaughter everyone here.\You failed to see your job through to the end.\You talk a good game, but you do terrible work. response:	You really are just another slum dweller.
context: I have never dissected a spirit's stomach before.\Hey, what do you mean by that?\We can hardly negotiate, if the item's original owner is here.\So I have changed my plans.\I shall slaughter everyone here.\You failed to see your job through to the end.\You talk a good game, but you do terrible work.\You really are just another slum dweller. response:	You bitch...
context: Hey, what do you mean by that?\We can hardly negotiate, if the item's original owner is here.\So I have changed my plans.\I shall slaughter everyone here.\You failed to see your job through to the end.\You talk a good game, but you do terrible work.\You really are just another slum dweller.\You bitch... response:	Cut the crap!
context: We can hardly negotiate, if the item's original owner is here.\So I have changed my plans.\I shall slaughter everyone here.\You failed to see your job through to the end.\You talk a good game, but you do terrible work.\You really are just another slum dweller.\You bitch...\Cut the crap! response:	Don't get your kicks from picking on a little kid!
context: So I have changed my plans.\I shall slaughter everyone here.\You failed to see your job through to the end.\You talk a good game, but you do terrible work.\You really are just another slum dweller.\You bitch...\Cut the crap!\Don't get your kicks from picking on a little kid! response:	You guts-loving sadist!
context: I shall slaughter everyone here.\You failed to see your job through to the end.\You talk a good game, but you do terrible work.\You really are just another slum dweller.\You bitch...\Cut the crap!\Don't get your kicks from picking on a little kid!\You guts-loving sadist! response:	Felt is doing her best to live strong...
context: You failed to see your job through to the end.\You talk a good game, but you do terrible work.\You really are just another slum dweller.\You bitch...\Cut the crap!\Don't get your kicks from picking on a little kid!\You guts-loving sadist!\Felt is doing her best to live strong... response:	Just because your plan was thrown off, you think it's over and flip tables?
context: You talk a good game, but you do terrible work.\You really are just another slum dweller.\You bitch...\Cut the crap!\Don't get your kicks from picking on a little kid!\You guts-loving sadist!\Felt is doing her best to live strong...\Just because your plan was thrown off, you think it's over and flip tables? response:	Are you a little kid?!
context: You really are just another slum dweller.\You bitch...\Cut the crap!\Don't get your kicks from picking on a little kid!\You guts-loving sadist!\Felt is doing her best to live strong...\Just because your plan was thrown off, you think it's over and flip tables?\Are you a little kid?! response:	You should value life more!
context: You bitch...\Cut the crap!\Don't get your kicks from picking on a little kid!\You guts-loving sadist!\Felt is doing her best to live strong...\Just because your plan was thrown off, you think it's over and flip tables?\Are you a little kid?!\You should value life more! response:	Do you know how much having your belly cut open hurts?
context: Cut the crap!\Don't get your kicks from picking on a little kid!\You guts-loving sadist!\Felt is doing her best to live strong...\Just because your plan was thrown off, you think it's over and flip tables?\Are you a little kid?!\You should value life more!\Do you know how much having your belly cut open hurts? response:	Well, I do!
context: Don't get your kicks from picking on a little kid!\You guts-loving sadist!\Felt is doing her best to live strong...\Just because your plan was thrown off, you think it's over and flip tables?\Are you a little kid?!\You should value life more!\Do you know how much having your belly cut open hurts?\Well, I do! response:	What are you talking about?
context: You guts-loving sadist!\Felt is doing her best to live strong...\Just because your plan was thrown off, you think it's over and flip tables?\Are you a little kid?!\You should value life more!\Do you know how much having your belly cut open hurts?\Well, I do!\What are you talking about? response:	I'm in the process of letting the justice and chivalry I never knew I had
context: Felt is doing her best to live strong...\Just because your plan was thrown off, you think it's over and flip tables?\Are you a little kid?!\You should value life more!\Do you know how much having your belly cut open hurts?\Well, I do!\What are you talking about?\I'm in the process of letting the justice and chivalry I never knew I had response:	denounce all the world's unfairness!
context: Just because your plan was thrown off, you think it's over and flip tables?\Are you a little kid?!\You should value life more!\Do you know how much having your belly cut open hurts?\Well, I do!\What are you talking about?\I'm in the process of letting the justice and chivalry I never knew I had\denounce all the world's unfairness! response:	And what I consider unfair is you, this situation, and...
context: Are you a little kid?!\You should value life more!\Do you know how much having your belly cut open hurts?\Well, I do!\What are you talking about?\I'm in the process of letting the justice and chivalry I never knew I had\denounce all the world's unfairness!\And what I consider unfair is you, this situation, and... response:	Stay tuned, folks.
context: You should value life more!\Do you know how much having your belly cut open hurts?\Well, I do!\What are you talking about?\I'm in the process of letting the justice and chivalry I never knew I had\denounce all the world's unfairness!\And what I consider unfair is you, this situation, and...\Stay tuned, folks. response:	There!
context: Do you know how much having your belly cut open hurts?\Well, I do!\What are you talking about?\I'm in the process of letting the justice and chivalry I never knew I had\denounce all the world's unfairness!\And what I consider unfair is you, this situation, and...\Stay tuned, folks.\There! response:	All done buying time...
context: Well, I do!\What are you talking about?\I'm in the process of letting the justice and chivalry I never knew I had\denounce all the world's unfairness!\And what I consider unfair is you, this situation, and...\Stay tuned, folks.\There!\All done buying time... response:	Get her, Puck!
context: What are you talking about?\I'm in the process of letting the justice and chivalry I never knew I had\denounce all the world's unfairness!\And what I consider unfair is you, this situation, and...\Stay tuned, folks.\There!\All done buying time...\Get her, Puck! response:	A brilliant display of awkwardness, which I hope survives through the ages.
context: I'm in the process of letting the justice and chivalry I never knew I had\denounce all the world's unfairness!\And what I consider unfair is you, this situation, and...\Stay tuned, folks.\There!\All done buying time...\Get her, Puck!\A brilliant display of awkwardness, which I hope survives through the ages. response:	I'd better live up to your expectations!
context: denounce all the world's unfairness!\And what I consider unfair is you, this situation, and...\Stay tuned, folks.\There!\All done buying time...\Get her, Puck!\A brilliant display of awkwardness, which I hope survives through the ages.\I'd better live up to your expectations! response:	We haven't introduced ourselves, have we?
context: And what I consider unfair is you, this situation, and...\Stay tuned, folks.\There!\All done buying time...\Get her, Puck!\A brilliant display of awkwardness, which I hope survives through the ages.\I'd better live up to your expectations!\We haven't introduced ourselves, have we? response:	My name's Puck.
context: Stay tuned, folks.\There!\All done buying time...\Get her, Puck!\A brilliant display of awkwardness, which I hope survives through the ages.\I'd better live up to your expectations!\We haven't introduced ourselves, have we?\My name's Puck. response:	Remember my name
context: There!\All done buying time...\Get her, Puck!\A brilliant display of awkwardness, which I hope survives through the ages.\I'd better live up to your expectations!\We haven't introduced ourselves, have we?\My name's Puck.\Remember my name response:	after you die!
context: All done buying time...\Get her, Puck!\A brilliant display of awkwardness, which I hope survives through the ages.\I'd better live up to your expectations!\We haven't introduced ourselves, have we?\My name's Puck.\Remember my name\after you die! response:	Did they get'er?!
context: Get her, Puck!\A brilliant display of awkwardness, which I hope survives through the ages.\I'd better live up to your expectations!\We haven't introduced ourselves, have we?\My name's Puck.\Remember my name\after you die!\Did they get'er?! response:	Don't trigger that flag, old man!
context: A brilliant display of awkwardness, which I hope survives through the ages.\I'd better live up to your expectations!\We haven't introduced ourselves, have we?\My name's Puck.\Remember my name\after you die!\Did they get'er?!\Don't trigger that flag, old man! response:	One should always be prepared.
context: I'd better live up to your expectations!\We haven't introduced ourselves, have we?\My name's Puck.\Remember my name\after you die!\Did they get'er?!\Don't trigger that flag, old man!\One should always be prepared. response:	Don't underestimate a user of the spiritual arts.
context: We haven't introduced ourselves, have we?\My name's Puck.\Remember my name\after you die!\Did they get'er?!\Don't trigger that flag, old man!\One should always be prepared.\Don't underestimate a user of the spiritual arts. response:	For a girl, you're well accustomed to battle.
context: My name's Puck.\Remember my name\after you die!\Did they get'er?!\Don't trigger that flag, old man!\One should always be prepared.\Don't underestimate a user of the spiritual arts.\For a girl, you're well accustomed to battle. response:	My, it's been a while since I was regarded as a simple girl.
context: Remember my name\after you die!\Did they get'er?!\Don't trigger that flag, old man!\One should always be prepared.\Don't underestimate a user of the spiritual arts.\For a girl, you're well accustomed to battle.\My, it's been a while since I was regarded as a simple girl. response:	Well, from my perspective, all opponents are basically babies.
context: after you die!\Did they get'er?!\Don't trigger that flag, old man!\One should always be prepared.\Don't underestimate a user of the spiritual arts.\For a girl, you're well accustomed to battle.\My, it's been a while since I was regarded as a simple girl.\Well, from my perspective, all opponents are basically babies. response:	Still, you're so strong, I almost pity you.
context: Did they get'er?!\Don't trigger that flag, old man!\One should always be prepared.\Don't underestimate a user of the spiritual arts.\For a girl, you're well accustomed to battle.\My, it's been a while since I was regarded as a simple girl.\Well, from my perspective, all opponents are basically babies.\Still, you're so strong, I almost pity you. response:	I'm deeply touched to be praised by a spirit.
context: Don't trigger that flag, old man!\One should always be prepared.\Don't underestimate a user of the spiritual arts.\For a girl, you're well accustomed to battle.\My, it's been a while since I was regarded as a simple girl.\Well, from my perspective, all opponents are basically babies.\Still, you're so strong, I almost pity you.\I'm deeply touched to be praised by a spirit. response:	If this turns into a battle of attrition, we should have a chance.
context: One should always be prepared.\Don't underestimate a user of the spiritual arts.\For a girl, you're well accustomed to battle.\My, it's been a while since I was regarded as a simple girl.\Well, from my perspective, all opponents are basically babies.\Still, you're so strong, I almost pity you.\I'm deeply touched to be praised by a spirit.\If this turns into a battle of attrition, we should have a chance. response:	No, fer a spirit, the real battle is how long they can stay corporeal.
context: Don't underestimate a user of the spiritual arts.\For a girl, you're well accustomed to battle.\My, it's been a while since I was regarded as a simple girl.\Well, from my perspective, all opponents are basically babies.\Still, you're so strong, I almost pity you.\I'm deeply touched to be praised by a spirit.\If this turns into a battle of attrition, we should have a chance.\No, fer a spirit, the real battle is how long they can stay corporeal. response:	That's right, it must be almost five...
context: For a girl, you're well accustomed to battle.\My, it's been a while since I was regarded as a simple girl.\Well, from my perspective, all opponents are basically babies.\Still, you're so strong, I almost pity you.\I'm deeply touched to be praised by a spirit.\If this turns into a battle of attrition, we should have a chance.\No, fer a spirit, the real battle is how long they can stay corporeal.\That's right, it must be almost five... response:	Oh, and just when we were having such fun. What a bore.
context: My, it's been a while since I was regarded as a simple girl.\Well, from my perspective, all opponents are basically babies.\Still, you're so strong, I almost pity you.\I'm deeply touched to be praised by a spirit.\If this turns into a battle of attrition, we should have a chance.\No, fer a spirit, the real battle is how long they can stay corporeal.\That's right, it must be almost five...\Oh, and just when we were having such fun. What a bore. response:	That's what sucks about being a ladies' man.
context: Well, from my perspective, all opponents are basically babies.\Still, you're so strong, I almost pity you.\I'm deeply touched to be praised by a spirit.\If this turns into a battle of attrition, we should have a chance.\No, fer a spirit, the real battle is how long they can stay corporeal.\That's right, it must be almost five...\Oh, and just when we were having such fun. What a bore.\That's what sucks about being a ladies' man. response:	The girls just won't let you sleep.
context: Still, you're so strong, I almost pity you.\I'm deeply touched to be praised by a spirit.\If this turns into a battle of attrition, we should have a chance.\No, fer a spirit, the real battle is how long they can stay corporeal.\That's right, it must be almost five...\Oh, and just when we were having such fun. What a bore.\That's what sucks about being a ladies' man.\The girls just won't let you sleep. response:	But you know, staying up late is bad for your skin, so we should wrap this up!
context: I'm deeply touched to be praised by a spirit.\If this turns into a battle of attrition, we should have a chance.\No, fer a spirit, the real battle is how long they can stay corporeal.\That's right, it must be almost five...\Oh, and just when we were having such fun. What a bore.\That's what sucks about being a ladies' man.\The girls just won't let you sleep.\But you know, staying up late is bad for your skin, so we should wrap this up! response:	I wasn't just randomly throwing those around.
context: If this turns into a battle of attrition, we should have a chance.\No, fer a spirit, the real battle is how long they can stay corporeal.\That's right, it must be almost five...\Oh, and just when we were having such fun. What a bore.\That's what sucks about being a ladies' man.\The girls just won't let you sleep.\But you know, staying up late is bad for your skin, so we should wrap this up!\I wasn't just randomly throwing those around. response:	Does this mean I've been had?
context: No, fer a spirit, the real battle is how long they can stay corporeal.\That's right, it must be almost five...\Oh, and just when we were having such fun. What a bore.\That's what sucks about being a ladies' man.\The girls just won't let you sleep.\But you know, staying up late is bad for your skin, so we should wrap this up!\I wasn't just randomly throwing those around.\Does this mean I've been had? response:	Goodnight!
context: That's right, it must be almost five...\Oh, and just when we were having such fun. What a bore.\That's what sucks about being a ladies' man.\The girls just won't let you sleep.\But you know, staying up late is bad for your skin, so we should wrap this up!\I wasn't just randomly throwing those around.\Does this mean I've been had?\Goodnight! response:	My, how lovely...
context: Oh, and just when we were having such fun. What a bore.\That's what sucks about being a ladies' man.\The girls just won't let you sleep.\But you know, staying up late is bad for your skin, so we should wrap this up!\I wasn't just randomly throwing those around.\Does this mean I've been had?\Goodnight!\My, how lovely... response:	I thought I was going to die.
context: That's what sucks about being a ladies' man.\The girls just won't let you sleep.\But you know, staying up late is bad for your skin, so we should wrap this up!\I wasn't just randomly throwing those around.\Does this mean I've been had?\Goodnight!\My, how lovely...\I thought I was going to die. response:	But you're a girl, so I don't find that sort of thing very impressive.
context: The girls just won't let you sleep.\But you know, staying up late is bad for your skin, so we should wrap this up!\I wasn't just randomly throwing those around.\Does this mean I've been had?\Goodnight!\My, how lovely...\I thought I was going to die.\But you're a girl, so I don't find that sort of thing very impressive. response:	Puck, can you keep going?
context: But you know, staying up late is bad for your skin, so we should wrap this up!\I wasn't just randomly throwing those around.\Does this mean I've been had?\Goodnight!\My, how lovely...\I thought I was going to die.\But you're a girl, so I don't find that sort of thing very impressive.\Puck, can you keep going? response:	Sorry, I'm really sleepy...
context: I wasn't just randomly throwing those around.\Does this mean I've been had?\Goodnight!\My, how lovely...\I thought I was going to die.\But you're a girl, so I don't find that sort of thing very impressive.\Puck, can you keep going?\Sorry, I'm really sleepy... response:	I underestimated her a bit...
context: Does this mean I've been had?\Goodnight!\My, how lovely...\I thought I was going to die.\But you're a girl, so I don't find that sort of thing very impressive.\Puck, can you keep going?\Sorry, I'm really sleepy...\I underestimated her a bit... response:	My mana's gone, so I have to disappear.
context: Goodnight!\My, how lovely...\I thought I was going to die.\But you're a girl, so I don't find that sort of thing very impressive.\Puck, can you keep going?\Sorry, I'm really sleepy...\I underestimated her a bit...\My mana's gone, so I have to disappear. response:	I'll take care of things here, so you can rest. Thank you.
context: My, how lovely...\I thought I was going to die.\But you're a girl, so I don't find that sort of thing very impressive.\Puck, can you keep going?\Sorry, I'm really sleepy...\I underestimated her a bit...\My mana's gone, so I have to disappear.\I'll take care of things here, so you can rest. Thank you. response:	If anything happens to you, I'll act according to my contract.
context: I thought I was going to die.\But you're a girl, so I don't find that sort of thing very impressive.\Puck, can you keep going?\Sorry, I'm really sleepy...\I underestimated her a bit...\My mana's gone, so I have to disappear.\I'll take care of things here, so you can rest. Thank you.\If anything happens to you, I'll act according to my contract. response:	If it comes to it, call me, even if you have to squeeze me out of my odo.
context: But you're a girl, so I don't find that sort of thing very impressive.\Puck, can you keep going?\Sorry, I'm really sleepy...\I underestimated her a bit...\My mana's gone, so I have to disappear.\I'll take care of things here, so you can rest. Thank you.\If anything happens to you, I'll act according to my contract.\If it comes to it, call me, even if you have to squeeze me out of my odo. response:	You're going away?
context: Puck, can you keep going?\Sorry, I'm really sleepy...\I underestimated her a bit...\My mana's gone, so I have to disappear.\I'll take care of things here, so you can rest. Thank you.\If anything happens to you, I'll act according to my contract.\If it comes to it, call me, even if you have to squeeze me out of my odo.\You're going away? response:	Well, that is very unfortunate.
context: Sorry, I'm really sleepy...\I underestimated her a bit...\My mana's gone, so I have to disappear.\I'll take care of things here, so you can rest. Thank you.\If anything happens to you, I'll act according to my contract.\If it comes to it, call me, even if you have to squeeze me out of my odo.\You're going away?\Well, that is very unfortunate. response:	We can't keep just sitting around, watchin', Felt.
context: I underestimated her a bit...\My mana's gone, so I have to disappear.\I'll take care of things here, so you can rest. Thank you.\If anything happens to you, I'll act according to my contract.\If it comes to it, call me, even if you have to squeeze me out of my odo.\You're going away?\Well, that is very unfortunate.\We can't keep just sitting around, watchin', Felt. response:	Yeah, I know.
context: My mana's gone, so I have to disappear.\I'll take care of things here, so you can rest. Thank you.\If anything happens to you, I'll act according to my contract.\If it comes to it, call me, even if you have to squeeze me out of my odo.\You're going away?\Well, that is very unfortunate.\We can't keep just sitting around, watchin', Felt.\Yeah, I know. response:	If we're going to run, we should get moving now.
context: I'll take care of things here, so you can rest. Thank you.\If anything happens to you, I'll act according to my contract.\If it comes to it, call me, even if you have to squeeze me out of my odo.\You're going away?\Well, that is very unfortunate.\We can't keep just sitting around, watchin', Felt.\Yeah, I know.\If we're going to run, we should get moving now. response:	About before, well...
context: If anything happens to you, I'll act according to my contract.\If it comes to it, call me, even if you have to squeeze me out of my odo.\You're going away?\Well, that is very unfortunate.\We can't keep just sitting around, watchin', Felt.\Yeah, I know.\If we're going to run, we should get moving now.\About before, well... response:	I guess you kinda saved me.
context: If it comes to it, call me, even if you have to squeeze me out of my odo.\You're going away?\Well, that is very unfortunate.\We can't keep just sitting around, watchin', Felt.\Yeah, I know.\If we're going to run, we should get moving now.\About before, well...\I guess you kinda saved me. response:	But just a little.
context: You're going away?\Well, that is very unfortunate.\We can't keep just sitting around, watchin', Felt.\Yeah, I know.\If we're going to run, we should get moving now.\About before, well...\I guess you kinda saved me.\But just a little. response:	Also, don't call me a little kid!
context: Well, that is very unfortunate.\We can't keep just sitting around, watchin', Felt.\Yeah, I know.\If we're going to run, we should get moving now.\About before, well...\I guess you kinda saved me.\But just a little.\Also, don't call me a little kid! response:	I'm fifteen, you know!
