context: It's so cold, I can't sleep. response:	Maybe I'll drink some warm milk...
context: I sure am.\What brings you here at this hour?\W-Well, Mayu-chan was muttering the landlady's name\while dressed like a witch and stirring a big pot!\C-Calm down! What on Earth happened?!\Mayu-chan was muttering the landlady's name\while making something in a big pot!\It must have been the kind of creepy potion that witches make! response:	A creepy potion?
context: What brings you here at this hour?\W-Well, Mayu-chan was muttering the landlady's name\while dressed like a witch and stirring a big pot!\C-Calm down! What on Earth happened?!\Mayu-chan was muttering the landlady's name\while making something in a big pot!\It must have been the kind of creepy potion that witches make!\A creepy potion? response:	Like a paralyzing potion...
context: W-Well, Mayu-chan was muttering the landlady's name\while dressed like a witch and stirring a big pot!\C-Calm down! What on Earth happened?!\Mayu-chan was muttering the landlady's name\while making something in a big pot!\It must have been the kind of creepy potion that witches make!\A creepy potion?\Like a paralyzing potion... response:	Huh?!
context: while dressed like a witch and stirring a big pot!\C-Calm down! What on Earth happened?!\Mayu-chan was muttering the landlady's name\while making something in a big pot!\It must have been the kind of creepy potion that witches make!\A creepy potion?\Like a paralyzing potion...\Huh?! response:	C-Creepy potion...
context: C-Calm down! What on Earth happened?!\Mayu-chan was muttering the landlady's name\while making something in a big pot!\It must have been the kind of creepy potion that witches make!\A creepy potion?\Like a paralyzing potion...\Huh?!\C-Creepy potion... response:	I'll go sneak a taste of it!
context: Mayu-chan was muttering the landlady's name\while making something in a big pot!\It must have been the kind of creepy potion that witches make!\A creepy potion?\Like a paralyzing potion...\Huh?!\C-Creepy potion...\I'll go sneak a taste of it! response:	You can't!
context: while making something in a big pot!\It must have been the kind of creepy potion that witches make!\A creepy potion?\Like a paralyzing potion...\Huh?!\C-Creepy potion...\I'll go sneak a taste of it!\You can't! response:	Come to think of it, isn't tomorrow Valentine's Day?
context: It must have been the kind of creepy potion that witches make!\A creepy potion?\Like a paralyzing potion...\Huh?!\C-Creepy potion...\I'll go sneak a taste of it!\You can't!\Come to think of it, isn't tomorrow Valentine's Day? response:	Will the landlady be okay?
context: A creepy potion?\Like a paralyzing potion...\Huh?!\C-Creepy potion...\I'll go sneak a taste of it!\You can't!\Come to think of it, isn't tomorrow Valentine's Day?\Will the landlady be okay? response:	What if there's some kind of incident?
context: Like a paralyzing potion...\Huh?!\C-Creepy potion...\I'll go sneak a taste of it!\You can't!\Come to think of it, isn't tomorrow Valentine's Day?\Will the landlady be okay?\What if there's some kind of incident? response:	What if we wake up in the morning to find the landlady unconscious?!
context: Huh?!\C-Creepy potion...\I'll go sneak a taste of it!\You can't!\Come to think of it, isn't tomorrow Valentine's Day?\Will the landlady be okay?\What if there's some kind of incident?\What if we wake up in the morning to find the landlady unconscious?! response:	That sounds like the premise of a mystery novel!
context: C-Creepy potion...\I'll go sneak a taste of it!\You can't!\Come to think of it, isn't tomorrow Valentine's Day?\Will the landlady be okay?\What if there's some kind of incident?\What if we wake up in the morning to find the landlady unconscious?!\That sounds like the premise of a mystery novel! response:	Let's say, for example, the landlady doesn't wake up in the morning.
context: I'll go sneak a taste of it!\You can't!\Come to think of it, isn't tomorrow Valentine's Day?\Will the landlady be okay?\What if there's some kind of incident?\What if we wake up in the morning to find the landlady unconscious?!\That sounds like the premise of a mystery novel!\Let's say, for example, the landlady doesn't wake up in the morning. response:	So we go to her room to check on her, and...
context: You can't!\Come to think of it, isn't tomorrow Valentine's Day?\Will the landlady be okay?\What if there's some kind of incident?\What if we wake up in the morning to find the landlady unconscious?!\That sounds like the premise of a mystery novel!\Let's say, for example, the landlady doesn't wake up in the morning.\So we go to her room to check on her, and... response:	And?
context: Come to think of it, isn't tomorrow Valentine's Day?\Will the landlady be okay?\What if there's some kind of incident?\What if we wake up in the morning to find the landlady unconscious?!\That sounds like the premise of a mystery novel!\Let's say, for example, the landlady doesn't wake up in the morning.\So we go to her room to check on her, and...\And? response:	And we find her in the middle of changing, in a very immodest position!
context: Will the landlady be okay?\What if there's some kind of incident?\What if we wake up in the morning to find the landlady unconscious?!\That sounds like the premise of a mystery novel!\Let's say, for example, the landlady doesn't wake up in the morning.\So we go to her room to check on her, and...\And?\And we find her in the middle of changing, in a very immodest position! response:	Hitotose
context: What if there's some kind of incident?\What if we wake up in the morning to find the landlady unconscious?!\That sounds like the premise of a mystery novel!\Let's say, for example, the landlady doesn't wake up in the morning.\So we go to her room to check on her, and...\And?\And we find her in the middle of changing, in a very immodest position!\Hitotose response:	I was so worried about the landlady, I couldn't get any sleep.
context: What if we wake up in the morning to find the landlady unconscious?!\That sounds like the premise of a mystery novel!\Let's say, for example, the landlady doesn't wake up in the morning.\So we go to her room to check on her, and...\And?\And we find her in the middle of changing, in a very immodest position!\Hitotose\I was so worried about the landlady, I couldn't get any sleep. response:	Oh, Hina-chan. Good morning.
context: That sounds like the premise of a mystery novel!\Let's say, for example, the landlady doesn't wake up in the morning.\So we go to her room to check on her, and...\And?\And we find her in the middle of changing, in a very immodest position!\Hitotose\I was so worried about the landlady, I couldn't get any sleep.\Oh, Hina-chan. Good morning. response:	M-Miss Landlady!
context: Let's say, for example, the landlady doesn't wake up in the morning.\So we go to her room to check on her, and...\And?\And we find her in the middle of changing, in a very immodest position!\Hitotose\I was so worried about the landlady, I couldn't get any sleep.\Oh, Hina-chan. Good morning.\M-Miss Landlady! response:	You look a bit pale. Are you okay?
context: So we go to her room to check on her, and...\And?\And we find her in the middle of changing, in a very immodest position!\Hitotose\I was so worried about the landlady, I couldn't get any sleep.\Oh, Hina-chan. Good morning.\M-Miss Landlady!\You look a bit pale. Are you okay? response:	Um, I...
context: And?\And we find her in the middle of changing, in a very immodest position!\Hitotose\I was so worried about the landlady, I couldn't get any sleep.\Oh, Hina-chan. Good morning.\M-Miss Landlady!\You look a bit pale. Are you okay?\Um, I... response:	What now? Where should I even start?
context: And we find her in the middle of changing, in a very immodest position!\Hitotose\I was so worried about the landlady, I couldn't get any sleep.\Oh, Hina-chan. Good morning.\M-Miss Landlady!\You look a bit pale. Are you okay?\Um, I...\What now? Where should I even start? response:	P-Please take extra good care of yourself!
context: Hitotose\I was so worried about the landlady, I couldn't get any sleep.\Oh, Hina-chan. Good morning.\M-Miss Landlady!\You look a bit pale. Are you okay?\Um, I...\What now? Where should I even start?\P-Please take extra good care of yourself! response:	Huh? Th-Thanks.
context: I was so worried about the landlady, I couldn't get any sleep.\Oh, Hina-chan. Good morning.\M-Miss Landlady!\You look a bit pale. Are you okay?\Um, I...\What now? Where should I even start?\P-Please take extra good care of yourself!\Huh? Th-Thanks. response:	Same to you.
context: Oh, Hina-chan. Good morning.\M-Miss Landlady!\You look a bit pale. Are you okay?\Um, I...\What now? Where should I even start?\P-Please take extra good care of yourself!\Huh? Th-Thanks.\Same to you. response:	Aki-chan! Good morning!
context: M-Miss Landlady!\You look a bit pale. Are you okay?\Um, I...\What now? Where should I even start?\P-Please take extra good care of yourself!\Huh? Th-Thanks.\Same to you.\Aki-chan! Good morning! response:	Here, this is for you!
context: You look a bit pale. Are you okay?\Um, I...\What now? Where should I even start?\P-Please take extra good care of yourself!\Huh? Th-Thanks.\Same to you.\Aki-chan! Good morning!\Here, this is for you! response:	Thanks for doing this every year.
context: Um, I...\What now? Where should I even start?\P-Please take extra good care of yourself!\Huh? Th-Thanks.\Same to you.\Aki-chan! Good morning!\Here, this is for you!\Thanks for doing this every year. response:	Miss Landlady! I'll check it for poison first!
context: What now? Where should I even start?\P-Please take extra good care of yourself!\Huh? Th-Thanks.\Same to you.\Aki-chan! Good morning!\Here, this is for you!\Thanks for doing this every year.\Miss Landlady! I'll check it for poison first! response:	Poison?
context: P-Please take extra good care of yourself!\Huh? Th-Thanks.\Same to you.\Aki-chan! Good morning!\Here, this is for you!\Thanks for doing this every year.\Miss Landlady! I'll check it for poison first!\Poison? response:	I've got some for you, too, Hina-chan.
context: Huh? Th-Thanks.\Same to you.\Aki-chan! Good morning!\Here, this is for you!\Thanks for doing this every year.\Miss Landlady! I'll check it for poison first!\Poison?\I've got some for you, too, Hina-chan. response:	Did I do something to make you hate me?
context: Same to you.\Aki-chan! Good morning!\Here, this is for you!\Thanks for doing this every year.\Miss Landlady! I'll check it for poison first!\Poison?\I've got some for you, too, Hina-chan.\Did I do something to make you hate me? response:	Th-They're just Valentine's chocolates, Hina-chan!
context: Aki-chan! Good morning!\Here, this is for you!\Thanks for doing this every year.\Miss Landlady! I'll check it for poison first!\Poison?\I've got some for you, too, Hina-chan.\Did I do something to make you hate me?\Th-They're just Valentine's chocolates, Hina-chan! response:	What are you so afraid of?
context: Here, this is for you!\Thanks for doing this every year.\Miss Landlady! I'll check it for poison first!\Poison?\I've got some for you, too, Hina-chan.\Did I do something to make you hate me?\Th-They're just Valentine's chocolates, Hina-chan!\What are you so afraid of? response:	Aki-chan and I were making chocolates to serve at the coffee shop.
context: Thanks for doing this every year.\Miss Landlady! I'll check it for poison first!\Poison?\I've got some for you, too, Hina-chan.\Did I do something to make you hate me?\Th-They're just Valentine's chocolates, Hina-chan!\What are you so afraid of?\Aki-chan and I were making chocolates to serve at the coffee shop. response:	Huh? But why were you dressed like that?
context: Miss Landlady! I'll check it for poison first!\Poison?\I've got some for you, too, Hina-chan.\Did I do something to make you hate me?\Th-They're just Valentine's chocolates, Hina-chan!\What are you so afraid of?\Aki-chan and I were making chocolates to serve at the coffee shop.\Huh? But why were you dressed like that? response:	It was really cold last night.
context: Poison?\I've got some for you, too, Hina-chan.\Did I do something to make you hate me?\Th-They're just Valentine's chocolates, Hina-chan!\What are you so afraid of?\Aki-chan and I were making chocolates to serve at the coffee shop.\Huh? But why were you dressed like that?\It was really cold last night. response:	Dressed Warmly
context: I've got some for you, too, Hina-chan.\Did I do something to make you hate me?\Th-They're just Valentine's chocolates, Hina-chan!\What are you so afraid of?\Aki-chan and I were making chocolates to serve at the coffee shop.\Huh? But why were you dressed like that?\It was really cold last night.\Dressed Warmly response:	It made cooking so uncomfortable.
context: Did I do something to make you hate me?\Th-They're just Valentine's chocolates, Hina-chan!\What are you so afraid of?\Aki-chan and I were making chocolates to serve at the coffee shop.\Huh? But why were you dressed like that?\It was really cold last night.\Dressed Warmly\It made cooking so uncomfortable. response:	And why were you muttering the landlady's name?
context: Th-They're just Valentine's chocolates, Hina-chan!\What are you so afraid of?\Aki-chan and I were making chocolates to serve at the coffee shop.\Huh? But why were you dressed like that?\It was really cold last night.\Dressed Warmly\It made cooking so uncomfortable.\And why were you muttering the landlady's name? response:	Because...
context: What are you so afraid of?\Aki-chan and I were making chocolates to serve at the coffee shop.\Huh? But why were you dressed like that?\It was really cold last night.\Dressed Warmly\It made cooking so uncomfortable.\And why were you muttering the landlady's name?\Because... response:	I heard if you chant the name of the person you're making chocolate for,
context: Aki-chan and I were making chocolates to serve at the coffee shop.\Huh? But why were you dressed like that?\It was really cold last night.\Dressed Warmly\It made cooking so uncomfortable.\And why were you muttering the landlady's name?\Because...\I heard if you chant the name of the person you're making chocolate for, response:	it'll taste better.
context: Huh? But why were you dressed like that?\It was really cold last night.\Dressed Warmly\It made cooking so uncomfortable.\And why were you muttering the landlady's name?\Because...\I heard if you chant the name of the person you're making chocolate for,\it'll taste better. response:	I saw it written in a book of spells.
context: It was really cold last night.\Dressed Warmly\It made cooking so uncomfortable.\And why were you muttering the landlady's name?\Because...\I heard if you chant the name of the person you're making chocolate for,\it'll taste better.\I saw it written in a book of spells. response:	So that's it!
context: Dressed Warmly\It made cooking so uncomfortable.\And why were you muttering the landlady's name?\Because...\I heard if you chant the name of the person you're making chocolate for,\it'll taste better.\I saw it written in a book of spells.\So that's it! response:	I was sure you were making some kind of potion to paralyze the landlady!
context: It made cooking so uncomfortable.\And why were you muttering the landlady's name?\Because...\I heard if you chant the name of the person you're making chocolate for,\it'll taste better.\I saw it written in a book of spells.\So that's it!\I was sure you were making some kind of potion to paralyze the landlady! response:	Hina-chan, you come up with some of the most outlandish insults...
context: And why were you muttering the landlady's name?\Because...\I heard if you chant the name of the person you're making chocolate for,\it'll taste better.\I saw it written in a book of spells.\So that's it!\I was sure you were making some kind of potion to paralyze the landlady!\Hina-chan, you come up with some of the most outlandish insults... response:	I made this chocolate for Chiaki-senpai,
context: Because...\I heard if you chant the name of the person you're making chocolate for,\it'll taste better.\I saw it written in a book of spells.\So that's it!\I was sure you were making some kind of potion to paralyze the landlady!\Hina-chan, you come up with some of the most outlandish insults...\I made this chocolate for Chiaki-senpai, response:	but will I be able to give it to her?
context: I heard if you chant the name of the person you're making chocolate for,\it'll taste better.\I saw it written in a book of spells.\So that's it!\I was sure you were making some kind of potion to paralyze the landlady!\Hina-chan, you come up with some of the most outlandish insults...\I made this chocolate for Chiaki-senpai,\but will I be able to give it to her? response:	Chiaki-senpai...
context: it'll taste better.\I saw it written in a book of spells.\So that's it!\I was sure you were making some kind of potion to paralyze the landlady!\Hina-chan, you come up with some of the most outlandish insults...\I made this chocolate for Chiaki-senpai,\but will I be able to give it to her?\Chiaki-senpai... response:	I've always been watching you.
context: I saw it written in a book of spells.\So that's it!\I was sure you were making some kind of potion to paralyze the landlady!\Hina-chan, you come up with some of the most outlandish insults...\I made this chocolate for Chiaki-senpai,\but will I be able to give it to her?\Chiaki-senpai...\I've always been watching you. response:	I really admire you!
context: So that's it!\I was sure you were making some kind of potion to paralyze the landlady!\Hina-chan, you come up with some of the most outlandish insults...\I made this chocolate for Chiaki-senpai,\but will I be able to give it to her?\Chiaki-senpai...\I've always been watching you.\I really admire you! response:	Please accept this!
context: I was sure you were making some kind of potion to paralyze the landlady!\Hina-chan, you come up with some of the most outlandish insults...\I made this chocolate for Chiaki-senpai,\but will I be able to give it to her?\Chiaki-senpai...\I've always been watching you.\I really admire you!\Please accept this! response:	Okay!
context: Hina-chan, you come up with some of the most outlandish insults...\I made this chocolate for Chiaki-senpai,\but will I be able to give it to her?\Chiaki-senpai...\I've always been watching you.\I really admire you!\Please accept this!\Okay! response:	I've got it all planned out!
context: I made this chocolate for Chiaki-senpai,\but will I be able to give it to her?\Chiaki-senpai...\I've always been watching you.\I really admire you!\Please accept this!\Okay!\I've got it all planned out! response:	Chiaki-senpai!
context: but will I be able to give it to her?\Chiaki-senpai...\I've always been watching you.\I really admire you!\Please accept this!\Okay!\I've got it all planned out!\Chiaki-senpai! response:	Thank you.
context: Chiaki-senpai...\I've always been watching you.\I really admire you!\Please accept this!\Okay!\I've got it all planned out!\Chiaki-senpai!\Thank you. response:	R-Reality is harsh!
context: I've always been watching you.\I really admire you!\Please accept this!\Okay!\I've got it all planned out!\Chiaki-senpai!\Thank you.\R-Reality is harsh! response:	I appreciate it. Thank you.
context: I really admire you!\Please accept this!\Okay!\I've got it all planned out!\Chiaki-senpai!\Thank you.\R-Reality is harsh!\I appreciate it. Thank you. response:	If I hesitate too long, I'll miss my chance!
context: Please accept this!\Okay!\I've got it all planned out!\Chiaki-senpai!\Thank you.\R-Reality is harsh!\I appreciate it. Thank you.\If I hesitate too long, I'll miss my chance! response:	Thank you.
context: Okay!\I've got it all planned out!\Chiaki-senpai!\Thank you.\R-Reality is harsh!\I appreciate it. Thank you.\If I hesitate too long, I'll miss my chance!\Thank you. response:	Well, bye.
context: I've got it all planned out!\Chiaki-senpai!\Thank you.\R-Reality is harsh!\I appreciate it. Thank you.\If I hesitate too long, I'll miss my chance!\Thank you.\Well, bye. response:	Chiaki-senpai!
context: Chiaki-senpai!\Thank you.\R-Reality is harsh!\I appreciate it. Thank you.\If I hesitate too long, I'll miss my chance!\Thank you.\Well, bye.\Chiaki-senpai! response:	Oh, Yua-chan.
context: Thank you.\R-Reality is harsh!\I appreciate it. Thank you.\If I hesitate too long, I'll miss my chance!\Thank you.\Well, bye.\Chiaki-senpai!\Oh, Yua-chan. response:	Um...
context: R-Reality is harsh!\I appreciate it. Thank you.\If I hesitate too long, I'll miss my chance!\Thank you.\Well, bye.\Chiaki-senpai!\Oh, Yua-chan.\Um... response:	U-Um...
context: I appreciate it. Thank you.\If I hesitate too long, I'll miss my chance!\Thank you.\Well, bye.\Chiaki-senpai!\Oh, Yua-chan.\Um...\U-Um... response:	Well...
context: If I hesitate too long, I'll miss my chance!\Thank you.\Well, bye.\Chiaki-senpai!\Oh, Yua-chan.\Um...\U-Um...\Well... response:	What do I do?
context: Thank you.\Well, bye.\Chiaki-senpai!\Oh, Yua-chan.\Um...\U-Um...\Well...\What do I do? response:	Now that she's right in front of me, I'm so nervous...
context: Well, bye.\Chiaki-senpai!\Oh, Yua-chan.\Um...\U-Um...\Well...\What do I do?\Now that she's right in front of me, I'm so nervous... response:	But I have to give it to her!
context: Chiaki-senpai!\Oh, Yua-chan.\Um...\U-Um...\Well...\What do I do?\Now that she's right in front of me, I'm so nervous...\But I have to give it to her! response:	Miss Landlady! Happy Valentine's Day!
context: Oh, Yua-chan.\Um...\U-Um...\Well...\What do I do?\Now that she's right in front of me, I'm so nervous...\But I have to give it to her!\Miss Landlady! Happy Valentine's Day! response:	I bought this at the school store!
context: Um...\U-Um...\Well...\What do I do?\Now that she's right in front of me, I'm so nervous...\But I have to give it to her!\Miss Landlady! Happy Valentine's Day!\I bought this at the school store! response:	Thank you, Hina-chan.
context: U-Um...\Well...\What do I do?\Now that she's right in front of me, I'm so nervous...\But I have to give it to her!\Miss Landlady! Happy Valentine's Day!\I bought this at the school store!\Thank you, Hina-chan. response:	Wow, you've got lots of them!
context: Well...\What do I do?\Now that she's right in front of me, I'm so nervous...\But I have to give it to her!\Miss Landlady! Happy Valentine's Day!\I bought this at the school store!\Thank you, Hina-chan.\Wow, you've got lots of them! response:	Yeah.
context: What do I do?\Now that she's right in front of me, I'm so nervous...\But I have to give it to her!\Miss Landlady! Happy Valentine's Day!\I bought this at the school store!\Thank you, Hina-chan.\Wow, you've got lots of them!\Yeah. response:	Why are you so mentally strong only at times like this?
context: Now that she's right in front of me, I'm so nervous...\But I have to give it to her!\Miss Landlady! Happy Valentine's Day!\I bought this at the school store!\Thank you, Hina-chan.\Wow, you've got lots of them!\Yeah.\Why are you so mentally strong only at times like this? response:	Yua-chan? What's wrong?
context: But I have to give it to her!\Miss Landlady! Happy Valentine's Day!\I bought this at the school store!\Thank you, Hina-chan.\Wow, you've got lots of them!\Yeah.\Why are you so mentally strong only at times like this?\Yua-chan? What's wrong? response:	Hinako...
context: Miss Landlady! Happy Valentine's Day!\I bought this at the school store!\Thank you, Hina-chan.\Wow, you've got lots of them!\Yeah.\Why are you so mentally strong only at times like this?\Yua-chan? What's wrong?\Hinako... response:	Come with me. I want your help with something.
context: I bought this at the school store!\Thank you, Hina-chan.\Wow, you've got lots of them!\Yeah.\Why are you so mentally strong only at times like this?\Yua-chan? What's wrong?\Hinako...\Come with me. I want your help with something. response:	What is it?
context: Thank you, Hina-chan.\Wow, you've got lots of them!\Yeah.\Why are you so mentally strong only at times like this?\Yua-chan? What's wrong?\Hinako...\Come with me. I want your help with something.\What is it? response:	I want to give chocolate to Chiaki-senpai,
context: Wow, you've got lots of them!\Yeah.\Why are you so mentally strong only at times like this?\Yua-chan? What's wrong?\Hinako...\Come with me. I want your help with something.\What is it?\I want to give chocolate to Chiaki-senpai, response:	but when I try to be honest about how I feel, I get embarrassed.
context: Yeah.\Why are you so mentally strong only at times like this?\Yua-chan? What's wrong?\Hinako...\Come with me. I want your help with something.\What is it?\I want to give chocolate to Chiaki-senpai,\but when I try to be honest about how I feel, I get embarrassed. response:	I thought her behavior made it obvious enough...
context: Why are you so mentally strong only at times like this?\Yua-chan? What's wrong?\Hinako...\Come with me. I want your help with something.\What is it?\I want to give chocolate to Chiaki-senpai,\but when I try to be honest about how I feel, I get embarrassed.\I thought her behavior made it obvious enough... response:	Oh, Mayu-chan.
context: Yua-chan? What's wrong?\Hinako...\Come with me. I want your help with something.\What is it?\I want to give chocolate to Chiaki-senpai,\but when I try to be honest about how I feel, I get embarrassed.\I thought her behavior made it obvious enough...\Oh, Mayu-chan. response:	Mayu-senpai...
context: Hinako...\Come with me. I want your help with something.\What is it?\I want to give chocolate to Chiaki-senpai,\but when I try to be honest about how I feel, I get embarrassed.\I thought her behavior made it obvious enough...\Oh, Mayu-chan.\Mayu-senpai... response:	Oh? Yua-chan, have you not been able to give your chocolate to Aki-chan yet?
