context: The season is summer. response:	The long-awaited finals are coming up.
context: Your birthday?\No.\Asahina-san's birthday.\No.\Koizumi or Nagato's birthday.\You think I would know their birthdays?\By the way, my birthday is...\No one cares! response:	You have no idea how important today is do you?
context: No.\Asahina-san's birthday.\No.\Koizumi or Nagato's birthday.\You think I would know their birthdays?\By the way, my birthday is...\No one cares!\You have no idea how important today is do you? response:	All I see is another hot weekday.
context: Asahina-san's birthday.\No.\Koizumi or Nagato's birthday.\You think I would know their birthdays?\By the way, my birthday is...\No one cares!\You have no idea how important today is do you?\All I see is another hot weekday. response:	Tell me what day and what month it is.
context: No.\Koizumi or Nagato's birthday.\You think I would know their birthdays?\By the way, my birthday is...\No one cares!\You have no idea how important today is do you?\All I see is another hot weekday.\Tell me what day and what month it is. response:	July 7th.
context: Koizumi or Nagato's birthday.\You think I would know their birthdays?\By the way, my birthday is...\No one cares!\You have no idea how important today is do you?\All I see is another hot weekday.\Tell me what day and what month it is.\July 7th. response:	I was hoping for something else, but you're talking about Tanabata, aren't you?
context: You think I would know their birthdays?\By the way, my birthday is...\No one cares!\You have no idea how important today is do you?\All I see is another hot weekday.\Tell me what day and what month it is.\July 7th.\I was hoping for something else, but you're talking about Tanabata, aren't you? response:	Of course I am! It's Tanabata!
context: By the way, my birthday is...\No one cares!\You have no idea how important today is do you?\All I see is another hot weekday.\Tell me what day and what month it is.\July 7th.\I was hoping for something else, but you're talking about Tanabata, aren't you?\Of course I am! It's Tanabata! response:	As a Japanese person, you should never forget it!
context: No one cares!\You have no idea how important today is do you?\All I see is another hot weekday.\Tell me what day and what month it is.\July 7th.\I was hoping for something else, but you're talking about Tanabata, aren't you?\Of course I am! It's Tanabata!\As a Japanese person, you should never forget it! response:	Is that right?
context: You have no idea how important today is do you?\All I see is another hot weekday.\Tell me what day and what month it is.\July 7th.\I was hoping for something else, but you're talking about Tanabata, aren't you?\Of course I am! It's Tanabata!\As a Japanese person, you should never forget it!\Is that right? response:	I take festivals like this one very seriously.
context: All I see is another hot weekday.\Tell me what day and what month it is.\July 7th.\I was hoping for something else, but you're talking about Tanabata, aren't you?\Of course I am! It's Tanabata!\As a Japanese person, you should never forget it!\Is that right?\I take festivals like this one very seriously. response:	Starting this year, we're going to have a grand Tanabata with everyone each and every year!
context: Tell me what day and what month it is.\July 7th.\I was hoping for something else, but you're talking about Tanabata, aren't you?\Of course I am! It's Tanabata!\As a Japanese person, you should never forget it!\Is that right?\I take festivals like this one very seriously.\Starting this year, we're going to have a grand Tanabata with everyone each and every year! response:	And so it started.
context: July 7th.\I was hoping for something else, but you're talking about Tanabata, aren't you?\Of course I am! It's Tanabata!\As a Japanese person, you should never forget it!\Is that right?\I take festivals like this one very seriously.\Starting this year, we're going to have a grand Tanabata with everyone each and every year!\And so it started. response:	Grave: Lead a materialistically simple yet spiritually fulfilling life.
context: I was hoping for something else, but you're talking about Tanabata, aren't you?\Of course I am! It's Tanabata!\As a Japanese person, you should never forget it!\Is that right?\I take festivals like this one very seriously.\Starting this year, we're going to have a grand Tanabata with everyone each and every year!\And so it started.\Grave: Lead a materialistically simple yet spiritually fulfilling life. response:	Bamboo Leaf Rhapsody
context: Of course I am! It's Tanabata!\As a Japanese person, you should never forget it!\Is that right?\I take festivals like this one very seriously.\Starting this year, we're going to have a grand Tanabata with everyone each and every year!\And so it started.\Grave: Lead a materialistically simple yet spiritually fulfilling life.\Bamboo Leaf Rhapsody response:	There's a law that states that when Haruhi suggests something,
context: As a Japanese person, you should never forget it!\Is that right?\I take festivals like this one very seriously.\Starting this year, we're going to have a grand Tanabata with everyone each and every year!\And so it started.\Grave: Lead a materialistically simple yet spiritually fulfilling life.\Bamboo Leaf Rhapsody\There's a law that states that when Haruhi suggests something, response:	the rest of us will end up running here, there, front, back and sideways meaninglessly.
context: Is that right?\I take festivals like this one very seriously.\Starting this year, we're going to have a grand Tanabata with everyone each and every year!\And so it started.\Grave: Lead a materialistically simple yet spiritually fulfilling life.\Bamboo Leaf Rhapsody\There's a law that states that when Haruhi suggests something,\the rest of us will end up running here, there, front, back and sideways meaninglessly. response:	This law has governed my every day since this spring.
context: I take festivals like this one very seriously.\Starting this year, we're going to have a grand Tanabata with everyone each and every year!\And so it started.\Grave: Lead a materialistically simple yet spiritually fulfilling life.\Bamboo Leaf Rhapsody\There's a law that states that when Haruhi suggests something,\the rest of us will end up running here, there, front, back and sideways meaninglessly.\This law has governed my every day since this spring. response:	I'm starting to hate myself for getting used to this kind of lifestyle.
context: Starting this year, we're going to have a grand Tanabata with everyone each and every year!\And so it started.\Grave: Lead a materialistically simple yet spiritually fulfilling life.\Bamboo Leaf Rhapsody\There's a law that states that when Haruhi suggests something,\the rest of us will end up running here, there, front, back and sideways meaninglessly.\This law has governed my every day since this spring.\I'm starting to hate myself for getting used to this kind of lifestyle. response:	Yes!
context: And so it started.\Grave: Lead a materialistically simple yet spiritually fulfilling life.\Bamboo Leaf Rhapsody\There's a law that states that when Haruhi suggests something,\the rest of us will end up running here, there, front, back and sideways meaninglessly.\This law has governed my every day since this spring.\I'm starting to hate myself for getting used to this kind of lifestyle.\Yes! response:	Yo.
context: Grave: Lead a materialistically simple yet spiritually fulfilling life.\Bamboo Leaf Rhapsody\There's a law that states that when Haruhi suggests something,\the rest of us will end up running here, there, front, back and sideways meaninglessly.\This law has governed my every day since this spring.\I'm starting to hate myself for getting used to this kind of lifestyle.\Yes!\Yo. response:	Good afternoon.
context: Bamboo Leaf Rhapsody\There's a law that states that when Haruhi suggests something,\the rest of us will end up running here, there, front, back and sideways meaninglessly.\This law has governed my every day since this spring.\I'm starting to hate myself for getting used to this kind of lifestyle.\Yes!\Yo.\Good afternoon. response:	Hello. How's life?
context: There's a law that states that when Haruhi suggests something,\the rest of us will end up running here, there, front, back and sideways meaninglessly.\This law has governed my every day since this spring.\I'm starting to hate myself for getting used to this kind of lifestyle.\Yes!\Yo.\Good afternoon.\Hello. How's life? response:	I've felt like a crazy mess every day since entering high school.
context: the rest of us will end up running here, there, front, back and sideways meaninglessly.\This law has governed my every day since this spring.\I'm starting to hate myself for getting used to this kind of lifestyle.\Yes!\Yo.\Good afternoon.\Hello. How's life?\I've felt like a crazy mess every day since entering high school. response:	Here.
context: This law has governed my every day since this spring.\I'm starting to hate myself for getting used to this kind of lifestyle.\Yes!\Yo.\Good afternoon.\Hello. How's life?\I've felt like a crazy mess every day since entering high school.\Here. response:	Thank you very much.
context: I'm starting to hate myself for getting used to this kind of lifestyle.\Yes!\Yo.\Good afternoon.\Hello. How's life?\I've felt like a crazy mess every day since entering high school.\Here.\Thank you very much. response:	How about a game?
context: Yes!\Yo.\Good afternoon.\Hello. How's life?\I've felt like a crazy mess every day since entering high school.\Here.\Thank you very much.\How about a game? response:	I'm getting tired of Othello since we play it all the time.
context: Yo.\Good afternoon.\Hello. How's life?\I've felt like a crazy mess every day since entering high school.\Here.\Thank you very much.\How about a game?\I'm getting tired of Othello since we play it all the time. response:	Unfortunately, I don't know the rules.
context: Good afternoon.\Hello. How's life?\I've felt like a crazy mess every day since entering high school.\Here.\Thank you very much.\How about a game?\I'm getting tired of Othello since we play it all the time.\Unfortunately, I don't know the rules. response:	That's too bad.
context: Hello. How's life?\I've felt like a crazy mess every day since entering high school.\Here.\Thank you very much.\How about a game?\I'm getting tired of Othello since we play it all the time.\Unfortunately, I don't know the rules.\That's too bad. response:	Now's the only time you have to take it easy, you know.
context: I've felt like a crazy mess every day since entering high school.\Here.\Thank you very much.\How about a game?\I'm getting tired of Othello since we play it all the time.\Unfortunately, I don't know the rules.\That's too bad.\Now's the only time you have to take it easy, you know. response:	Once she comes up with something meaningless again-
context: Here.\Thank you very much.\How about a game?\I'm getting tired of Othello since we play it all the time.\Unfortunately, I don't know the rules.\That's too bad.\Now's the only time you have to take it easy, you know.\Once she comes up with something meaningless again- response:	Yahoooi!
context: Thank you very much.\How about a game?\I'm getting tired of Othello since we play it all the time.\Unfortunately, I don't know the rules.\That's too bad.\Now's the only time you have to take it easy, you know.\Once she comes up with something meaningless again-\Yahoooi! response:	'pologies'pologies! Sorry I'm late!
context: How about a game?\I'm getting tired of Othello since we play it all the time.\Unfortunately, I don't know the rules.\That's too bad.\Now's the only time you have to take it easy, you know.\Once she comes up with something meaningless again-\Yahoooi!\'pologies'pologies! Sorry I'm late! response:	Where did you get that and your greeting?
context: I'm getting tired of Othello since we play it all the time.\Unfortunately, I don't know the rules.\That's too bad.\Now's the only time you have to take it easy, you know.\Once she comes up with something meaningless again-\Yahoooi!\'pologies'pologies! Sorry I'm late!\Where did you get that and your greeting? response:	The forest behind the school.
context: Unfortunately, I don't know the rules.\That's too bad.\Now's the only time you have to take it easy, you know.\Once she comes up with something meaningless again-\Yahoooi!\'pologies'pologies! Sorry I'm late!\Where did you get that and your greeting?\The forest behind the school. response:	Isn't that private property?
context: That's too bad.\Now's the only time you have to take it easy, you know.\Once she comes up with something meaningless again-\Yahoooi!\'pologies'pologies! Sorry I'm late!\Where did you get that and your greeting?\The forest behind the school.\Isn't that private property? response:	You bamboo thief.
context: Now's the only time you have to take it easy, you know.\Once she comes up with something meaningless again-\Yahoooi!\'pologies'pologies! Sorry I'm late!\Where did you get that and your greeting?\The forest behind the school.\Isn't that private property?\You bamboo thief. response:	Look! I made some paper strips too!
context: Once she comes up with something meaningless again-\Yahoooi!\'pologies'pologies! Sorry I'm late!\Where did you get that and your greeting?\The forest behind the school.\Isn't that private property?\You bamboo thief.\Look! I made some paper strips too! response:	Everyone, write down your wishes!
context: Yahoooi!\'pologies'pologies! Sorry I'm late!\Where did you get that and your greeting?\The forest behind the school.\Isn't that private property?\You bamboo thief.\Look! I made some paper strips too!\Everyone, write down your wishes! response:	Paper strips?
context: 'pologies'pologies! Sorry I'm late!\Where did you get that and your greeting?\The forest behind the school.\Isn't that private property?\You bamboo thief.\Look! I made some paper strips too!\Everyone, write down your wishes!\Paper strips? response:	I see. It's Tanabata today.
context: Where did you get that and your greeting?\The forest behind the school.\Isn't that private property?\You bamboo thief.\Look! I made some paper strips too!\Everyone, write down your wishes!\Paper strips?\I see. It's Tanabata today. response:	But, there's a condition!
context: The forest behind the school.\Isn't that private property?\You bamboo thief.\Look! I made some paper strips too!\Everyone, write down your wishes!\Paper strips?\I see. It's Tanabata today.\But, there's a condition! response:	What condition? We haven't even agreed to it yet.
context: Isn't that private property?\You bamboo thief.\Look! I made some paper strips too!\Everyone, write down your wishes!\Paper strips?\I see. It's Tanabata today.\But, there's a condition!\What condition? We haven't even agreed to it yet. response:	Kyon, do you know who the two responsible for granting the wishes on Tanabata are?
context: You bamboo thief.\Look! I made some paper strips too!\Everyone, write down your wishes!\Paper strips?\I see. It's Tanabata today.\But, there's a condition!\What condition? We haven't even agreed to it yet.\Kyon, do you know who the two responsible for granting the wishes on Tanabata are? response:	Aren't they Orihime and Hikoboshi?
context: Look! I made some paper strips too!\Everyone, write down your wishes!\Paper strips?\I see. It's Tanabata today.\But, there's a condition!\What condition? We haven't even agreed to it yet.\Kyon, do you know who the two responsible for granting the wishes on Tanabata are?\Aren't they Orihime and Hikoboshi? response:	Okay, I'll give you that.
context: Everyone, write down your wishes!\Paper strips?\I see. It's Tanabata today.\But, there's a condition!\What condition? We haven't even agreed to it yet.\Kyon, do you know who the two responsible for granting the wishes on Tanabata are?\Aren't they Orihime and Hikoboshi?\Okay, I'll give you that. response:	10 points.
context: Paper strips?\I see. It's Tanabata today.\But, there's a condition!\What condition? We haven't even agreed to it yet.\Kyon, do you know who the two responsible for granting the wishes on Tanabata are?\Aren't they Orihime and Hikoboshi?\Okay, I'll give you that.\10 points. response:	But do you know which stars Orihime and Hikoboshi are?
context: I see. It's Tanabata today.\But, there's a condition!\What condition? We haven't even agreed to it yet.\Kyon, do you know who the two responsible for granting the wishes on Tanabata are?\Aren't they Orihime and Hikoboshi?\Okay, I'll give you that.\10 points.\But do you know which stars Orihime and Hikoboshi are? response:	Nope.
context: But, there's a condition!\What condition? We haven't even agreed to it yet.\Kyon, do you know who the two responsible for granting the wishes on Tanabata are?\Aren't they Orihime and Hikoboshi?\Okay, I'll give you that.\10 points.\But do you know which stars Orihime and Hikoboshi are?\Nope. response:	Vega and Altair, right?
context: What condition? We haven't even agreed to it yet.\Kyon, do you know who the two responsible for granting the wishes on Tanabata are?\Aren't they Orihime and Hikoboshi?\Okay, I'll give you that.\10 points.\But do you know which stars Orihime and Hikoboshi are?\Nope.\Vega and Altair, right? response:	85 points!
context: Kyon, do you know who the two responsible for granting the wishes on Tanabata are?\Aren't they Orihime and Hikoboshi?\Okay, I'll give you that.\10 points.\But do you know which stars Orihime and Hikoboshi are?\Nope.\Vega and Altair, right?\85 points! response:	Basically, that means your paper strips have to be facing towards those stars!
context: Aren't they Orihime and Hikoboshi?\Okay, I'll give you that.\10 points.\But do you know which stars Orihime and Hikoboshi are?\Nope.\Vega and Altair, right?\85 points!\Basically, that means your paper strips have to be facing towards those stars! response:	So what happened to the remaining 15 points?
context: Okay, I'll give you that.\10 points.\But do you know which stars Orihime and Hikoboshi are?\Nope.\Vega and Altair, right?\85 points!\Basically, that means your paper strips have to be facing towards those stars!\So what happened to the remaining 15 points? response:	Let me explain.
context: 10 points.\But do you know which stars Orihime and Hikoboshi are?\Nope.\Vega and Altair, right?\85 points!\Basically, that means your paper strips have to be facing towards those stars!\So what happened to the remaining 15 points?\Let me explain. response:	According to the Special Theory of Relativity,
context: But do you know which stars Orihime and Hikoboshi are?\Nope.\Vega and Altair, right?\85 points!\Basically, that means your paper strips have to be facing towards those stars!\So what happened to the remaining 15 points?\Let me explain.\According to the Special Theory of Relativity, response:	there's no way to go faster than the speed of light.
context: Nope.\Vega and Altair, right?\85 points!\Basically, that means your paper strips have to be facing towards those stars!\So what happened to the remaining 15 points?\Let me explain.\According to the Special Theory of Relativity,\there's no way to go faster than the speed of light. response:	By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively.
context: Vega and Altair, right?\85 points!\Basically, that means your paper strips have to be facing towards those stars!\So what happened to the remaining 15 points?\Let me explain.\According to the Special Theory of Relativity,\there's no way to go faster than the speed of light.\By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively. response:	Vega
context: 85 points!\Basically, that means your paper strips have to be facing towards those stars!\So what happened to the remaining 15 points?\Let me explain.\According to the Special Theory of Relativity,\there's no way to go faster than the speed of light.\By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively.\Vega response:	25 light years
context: Basically, that means your paper strips have to be facing towards those stars!\So what happened to the remaining 15 points?\Let me explain.\According to the Special Theory of Relativity,\there's no way to go faster than the speed of light.\By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively.\Vega\25 light years response:	Altair
context: So what happened to the remaining 15 points?\Let me explain.\According to the Special Theory of Relativity,\there's no way to go faster than the speed of light.\By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively.\Vega\25 light years\Altair response:	Altair
context: Let me explain.\According to the Special Theory of Relativity,\there's no way to go faster than the speed of light.\By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively.\Vega\25 light years\Altair\Altair response:	16 light years
context: According to the Special Theory of Relativity,\there's no way to go faster than the speed of light.\By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively.\Vega\25 light years\Altair\Altair\16 light years response:	16 light years
context: there's no way to go faster than the speed of light.\By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively.\Vega\25 light years\Altair\Altair\16 light years\16 light years response:	16 light years
context: By the way, Vega and Altair are 25 and 16 light years away from Earth, respectively.\Vega\25 light years\Altair\Altair\16 light years\16 light years\16 light years response:	Vega
context: Vega\25 light years\Altair\Altair\16 light years\16 light years\16 light years\Vega response:	25 light years
context: 25 light years\Altair\Altair\16 light years\16 light years\16 light years\Vega\25 light years response:	Altair
context: Altair\Altair\16 light years\16 light years\16 light years\Vega\25 light years\Altair response:	16 light years
context: Altair\16 light years\16 light years\16 light years\Vega\25 light years\Altair\16 light years response:	Earth
context: 16 light years\16 light years\16 light years\Vega\25 light years\Altair\16 light years\Earth response:	Basically, the time it takes for a message to reach one of those stars is approximately the same amount!
context: 16 light years\16 light years\Vega\25 light years\Altair\16 light years\Earth\Basically, the time it takes for a message to reach one of those stars is approximately the same amount! response:	You looked all that up just for this?
context: 16 light years\Vega\25 light years\Altair\16 light years\Earth\Basically, the time it takes for a message to reach one of those stars is approximately the same amount!\You looked all that up just for this? response:	So that means our wishes won't get granted by those stars until after the time it takes to reach them!
context: Vega\25 light years\Altair\16 light years\Earth\Basically, the time it takes for a message to reach one of those stars is approximately the same amount!\You looked all that up just for this?\So that means our wishes won't get granted by those stars until after the time it takes to reach them! response:	Wishes like I want a boyfriend before Christmas this year wouldn't make it in time.
context: 25 light years\Altair\16 light years\Earth\Basically, the time it takes for a message to reach one of those stars is approximately the same amount!\You looked all that up just for this?\So that means our wishes won't get granted by those stars until after the time it takes to reach them!\Wishes like I want a boyfriend before Christmas this year wouldn't make it in time. response:	If that's the case,
context: Altair\16 light years\Earth\Basically, the time it takes for a message to reach one of those stars is approximately the same amount!\You looked all that up just for this?\So that means our wishes won't get granted by those stars until after the time it takes to reach them!\Wishes like I want a boyfriend before Christmas this year wouldn't make it in time.\If that's the case, response:	doesn't that mean we're looking at around 50 or 32 years for our wishes to come true?
context: 16 light years\Earth\Basically, the time it takes for a message to reach one of those stars is approximately the same amount!\You looked all that up just for this?\So that means our wishes won't get granted by those stars until after the time it takes to reach them!\Wishes like I want a boyfriend before Christmas this year wouldn't make it in time.\If that's the case,\doesn't that mean we're looking at around 50 or 32 years for our wishes to come true? response:	They are gods, so they'll do something about that.
context: Earth\Basically, the time it takes for a message to reach one of those stars is approximately the same amount!\You looked all that up just for this?\So that means our wishes won't get granted by those stars until after the time it takes to reach them!\Wishes like I want a boyfriend before Christmas this year wouldn't make it in time.\If that's the case,\doesn't that mean we're looking at around 50 or 32 years for our wishes to come true?\They are gods, so they'll do something about that. response:	Like a 50 off summer bargain.
context: Basically, the time it takes for a message to reach one of those stars is approximately the same amount!\You looked all that up just for this?\So that means our wishes won't get granted by those stars until after the time it takes to reach them!\Wishes like I want a boyfriend before Christmas this year wouldn't make it in time.\If that's the case,\doesn't that mean we're looking at around 50 or 32 years for our wishes to come true?\They are gods, so they'll do something about that.\Like a 50 off summer bargain. response:	Hey, what happened to the Theory of Relativity?
context: You looked all that up just for this?\So that means our wishes won't get granted by those stars until after the time it takes to reach them!\Wishes like I want a boyfriend before Christmas this year wouldn't make it in time.\If that's the case,\doesn't that mean we're looking at around 50 or 32 years for our wishes to come true?\They are gods, so they'll do something about that.\Like a 50 off summer bargain.\Hey, what happened to the Theory of Relativity? response:	Take 2 paper strips: one for Altair and one for Vega.
context: So that means our wishes won't get granted by those stars until after the time it takes to reach them!\Wishes like I want a boyfriend before Christmas this year wouldn't make it in time.\If that's the case,\doesn't that mean we're looking at around 50 or 32 years for our wishes to come true?\They are gods, so they'll do something about that.\Like a 50 off summer bargain.\Hey, what happened to the Theory of Relativity?\Take 2 paper strips: one for Altair and one for Vega. response:	Then write down the wishes that you want to come true in 25 and 16 years' time!
context: Wishes like I want a boyfriend before Christmas this year wouldn't make it in time.\If that's the case,\doesn't that mean we're looking at around 50 or 32 years for our wishes to come true?\They are gods, so they'll do something about that.\Like a 50 off summer bargain.\Hey, what happened to the Theory of Relativity?\Take 2 paper strips: one for Altair and one for Vega.\Then write down the wishes that you want to come true in 25 and 16 years' time! response:	I don't even know what I'll be doing in 25 or 16 years' time.
context: If that's the case,\doesn't that mean we're looking at around 50 or 32 years for our wishes to come true?\They are gods, so they'll do something about that.\Like a 50 off summer bargain.\Hey, what happened to the Theory of Relativity?\Take 2 paper strips: one for Altair and one for Vega.\Then write down the wishes that you want to come true in 25 and 16 years' time!\I don't even know what I'll be doing in 25 or 16 years' time. response:	What the hell am I supposed to write?
context: doesn't that mean we're looking at around 50 or 32 years for our wishes to come true?\They are gods, so they'll do something about that.\Like a 50 off summer bargain.\Hey, what happened to the Theory of Relativity?\Take 2 paper strips: one for Altair and one for Vega.\Then write down the wishes that you want to come true in 25 and 16 years' time!\I don't even know what I'll be doing in 25 or 16 years' time.\What the hell am I supposed to write? response:	She always comes up with the stupidest things that normal people don't.
context: They are gods, so they'll do something about that.\Like a 50 off summer bargain.\Hey, what happened to the Theory of Relativity?\Take 2 paper strips: one for Altair and one for Vega.\Then write down the wishes that you want to come true in 25 and 16 years' time!\I don't even know what I'll be doing in 25 or 16 years' time.\What the hell am I supposed to write?\She always comes up with the stupidest things that normal people don't. response:	Which universe did her common sense come from anyway?
context: Like a 50 off summer bargain.\Hey, what happened to the Theory of Relativity?\Take 2 paper strips: one for Altair and one for Vega.\Then write down the wishes that you want to come true in 25 and 16 years' time!\I don't even know what I'll be doing in 25 or 16 years' time.\What the hell am I supposed to write?\She always comes up with the stupidest things that normal people don't.\Which universe did her common sense come from anyway? response:	You can't really say that.
context: Hey, what happened to the Theory of Relativity?\Take 2 paper strips: one for Altair and one for Vega.\Then write down the wishes that you want to come true in 25 and 16 years' time!\I don't even know what I'll be doing in 25 or 16 years' time.\What the hell am I supposed to write?\She always comes up with the stupidest things that normal people don't.\Which universe did her common sense come from anyway?\You can't really say that. response:	Even though she acts like that, she knows full well what common sense is.
context: Take 2 paper strips: one for Altair and one for Vega.\Then write down the wishes that you want to come true in 25 and 16 years' time!\I don't even know what I'll be doing in 25 or 16 years' time.\What the hell am I supposed to write?\She always comes up with the stupidest things that normal people don't.\Which universe did her common sense come from anyway?\You can't really say that.\Even though she acts like that, she knows full well what common sense is. response:	And how would you know that?
context: Then write down the wishes that you want to come true in 25 and 16 years' time!\I don't even know what I'll be doing in 25 or 16 years' time.\What the hell am I supposed to write?\She always comes up with the stupidest things that normal people don't.\Which universe did her common sense come from anyway?\You can't really say that.\Even though she acts like that, she knows full well what common sense is.\And how would you know that? response:	Suzumiya-san wishes that the world was considerably different than what it is now.
context: I don't even know what I'll be doing in 25 or 16 years' time.\What the hell am I supposed to write?\She always comes up with the stupidest things that normal people don't.\Which universe did her common sense come from anyway?\You can't really say that.\Even though she acts like that, she knows full well what common sense is.\And how would you know that?\Suzumiya-san wishes that the world was considerably different than what it is now. response:	And she even has the power to rebuild the world from scratch.
context: What the hell am I supposed to write?\She always comes up with the stupidest things that normal people don't.\Which universe did her common sense come from anyway?\You can't really say that.\Even though she acts like that, she knows full well what common sense is.\And how would you know that?\Suzumiya-san wishes that the world was considerably different than what it is now.\And she even has the power to rebuild the world from scratch. response:	But, looking at the world now, I don't think she's lost her sense of reason yet.
context: She always comes up with the stupidest things that normal people don't.\Which universe did her common sense come from anyway?\You can't really say that.\Even though she acts like that, she knows full well what common sense is.\And how would you know that?\Suzumiya-san wishes that the world was considerably different than what it is now.\And she even has the power to rebuild the world from scratch.\But, looking at the world now, I don't think she's lost her sense of reason yet. response:	You there! Quit whispering to each other!
context: Which universe did her common sense come from anyway?\You can't really say that.\Even though she acts like that, she knows full well what common sense is.\And how would you know that?\Suzumiya-san wishes that the world was considerably different than what it is now.\And she even has the power to rebuild the world from scratch.\But, looking at the world now, I don't think she's lost her sense of reason yet.\You there! Quit whispering to each other! response:	I hope I get better at cooking
context: You can't really say that.\Even though she acts like that, she knows full well what common sense is.\And how would you know that?\Suzumiya-san wishes that the world was considerably different than what it is now.\And she even has the power to rebuild the world from scratch.\But, looking at the world now, I don't think she's lost her sense of reason yet.\You there! Quit whispering to each other!\I hope I get better at cooking response:	I hope I get better at sewing
context: Even though she acts like that, she knows full well what common sense is.\And how would you know that?\Suzumiya-san wishes that the world was considerably different than what it is now.\And she even has the power to rebuild the world from scratch.\But, looking at the world now, I don't think she's lost her sense of reason yet.\You there! Quit whispering to each other!\I hope I get better at cooking\I hope I get better at sewing response:	I think she's misunderstanding something.
context: And how would you know that?\Suzumiya-san wishes that the world was considerably different than what it is now.\And she even has the power to rebuild the world from scratch.\But, looking at the world now, I don't think she's lost her sense of reason yet.\You there! Quit whispering to each other!\I hope I get better at cooking\I hope I get better at sewing\I think she's misunderstanding something. response:	Harmony
context: Suzumiya-san wishes that the world was considerably different than what it is now.\And she even has the power to rebuild the world from scratch.\But, looking at the world now, I don't think she's lost her sense of reason yet.\You there! Quit whispering to each other!\I hope I get better at cooking\I hope I get better at sewing\I think she's misunderstanding something.\Harmony response:	Reform
context: And she even has the power to rebuild the world from scratch.\But, looking at the world now, I don't think she's lost her sense of reason yet.\You there! Quit whispering to each other!\I hope I get better at cooking\I hope I get better at sewing\I think she's misunderstanding something.\Harmony\Reform response:	Home Safety
context: But, looking at the world now, I don't think she's lost her sense of reason yet.\You there! Quit whispering to each other!\I hope I get better at cooking\I hope I get better at sewing\I think she's misunderstanding something.\Harmony\Reform\Home Safety response:	World Peace
context: You there! Quit whispering to each other!\I hope I get better at cooking\I hope I get better at sewing\I think she's misunderstanding something.\Harmony\Reform\Home Safety\World Peace response:	Koizumi Itsuki
context: I hope I get better at cooking\I hope I get better at sewing\I think she's misunderstanding something.\Harmony\Reform\Home Safety\World Peace\Koizumi Itsuki response:	Koizumi Itsuki
context: I hope I get better at sewing\I think she's misunderstanding something.\Harmony\Reform\Home Safety\World Peace\Koizumi Itsuki\Koizumi Itsuki response:	Mine are just a bit typical.
context: I think she's misunderstanding something.\Harmony\Reform\Home Safety\World Peace\Koizumi Itsuki\Koizumi Itsuki\Mine are just a bit typical. response:	Give me money
context: Harmony\Reform\Home Safety\World Peace\Koizumi Itsuki\Koizumi Itsuki\Mine are just a bit typical.\Give me money response:	Give me a bungalow that has a yard where I can wash my dog.
context: Reform\Home Safety\World Peace\Koizumi Itsuki\Koizumi Itsuki\Mine are just a bit typical.\Give me money\Give me a bungalow that has a yard where I can wash my dog. response:	How plebian.
