context: Hmm... response:	Blanc et Noir.
context: Storm!\Snip, snip, snip.\Snippity snip!\Huh? This is how you respond?\This is kind of different.\Maybe it's not what I thought.\Wh-What the...\You idiot! response:	Tachikawa Station North Exit
context: Snip, snip, snip.\Snippity snip!\Huh? This is how you respond?\This is kind of different.\Maybe it's not what I thought.\Wh-What the...\You idiot!\Tachikawa Station North Exit response:	You've got to be kidding me!
context: Snippity snip!\Huh? This is how you respond?\This is kind of different.\Maybe it's not what I thought.\Wh-What the...\You idiot!\Tachikawa Station North Exit\You've got to be kidding me! response:	Human lives are at stake!
context: Huh? This is how you respond?\This is kind of different.\Maybe it's not what I thought.\Wh-What the...\You idiot!\Tachikawa Station North Exit\You've got to be kidding me!\Human lives are at stake! response:	Do you understand what your intervention means?
context: This is kind of different.\Maybe it's not what I thought.\Wh-What the...\You idiot!\Tachikawa Station North Exit\You've got to be kidding me!\Human lives are at stake!\Do you understand what your intervention means? response:	I guess we go back the normal way?
context: Maybe it's not what I thought.\Wh-What the...\You idiot!\Tachikawa Station North Exit\You've got to be kidding me!\Human lives are at stake!\Do you understand what your intervention means?\I guess we go back the normal way? response:	C'mon, give up your seat.
context: Wh-What the...\You idiot!\Tachikawa Station North Exit\You've got to be kidding me!\Human lives are at stake!\Do you understand what your intervention means?\I guess we go back the normal way?\C'mon, give up your seat. response:	Senpai, maybe everyone's tired.
context: You idiot!\Tachikawa Station North Exit\You've got to be kidding me!\Human lives are at stake!\Do you understand what your intervention means?\I guess we go back the normal way?\C'mon, give up your seat.\Senpai, maybe everyone's tired. response:	Huh?
context: Tachikawa Station North Exit\You've got to be kidding me!\Human lives are at stake!\Do you understand what your intervention means?\I guess we go back the normal way?\C'mon, give up your seat.\Senpai, maybe everyone's tired.\Huh? response:	Someone might feel awful, but can't skip work.
context: You've got to be kidding me!\Human lives are at stake!\Do you understand what your intervention means?\I guess we go back the normal way?\C'mon, give up your seat.\Senpai, maybe everyone's tired.\Huh?\Someone might feel awful, but can't skip work. response:	Someone might be sick, too.
context: Human lives are at stake!\Do you understand what your intervention means?\I guess we go back the normal way?\C'mon, give up your seat.\Senpai, maybe everyone's tired.\Huh?\Someone might feel awful, but can't skip work.\Someone might be sick, too. response:	We've leased this thirteenth floor.
context: Do you understand what your intervention means?\I guess we go back the normal way?\C'mon, give up your seat.\Senpai, maybe everyone's tired.\Huh?\Someone might feel awful, but can't skip work.\Someone might be sick, too.\We've leased this thirteenth floor. response:	Oh, okay.
context: I guess we go back the normal way?\C'mon, give up your seat.\Senpai, maybe everyone's tired.\Huh?\Someone might feel awful, but can't skip work.\Someone might be sick, too.\We've leased this thirteenth floor.\Oh, okay. response:	Then Jou-san and OD-san are here, too?
context: C'mon, give up your seat.\Senpai, maybe everyone's tired.\Huh?\Someone might feel awful, but can't skip work.\Someone might be sick, too.\We've leased this thirteenth floor.\Oh, okay.\Then Jou-san and OD-san are here, too? response:	OD-san and Utsutsu are in Apartment 2.
context: Senpai, maybe everyone's tired.\Huh?\Someone might feel awful, but can't skip work.\Someone might be sick, too.\We've leased this thirteenth floor.\Oh, okay.\Then Jou-san and OD-san are here, too?\OD-san and Utsutsu are in Apartment 2. response:	Jou-san rarely comes home.
context: Huh?\Someone might feel awful, but can't skip work.\Someone might be sick, too.\We've leased this thirteenth floor.\Oh, okay.\Then Jou-san and OD-san are here, too?\OD-san and Utsutsu are in Apartment 2.\Jou-san rarely comes home. response:	OD-san, Utsutsu-chan!
context: Someone might feel awful, but can't skip work.\Someone might be sick, too.\We've leased this thirteenth floor.\Oh, okay.\Then Jou-san and OD-san are here, too?\OD-san and Utsutsu are in Apartment 2.\Jou-san rarely comes home.\OD-san, Utsutsu-chan! response:	I safely completed my first combat mission!
context: Someone might be sick, too.\We've leased this thirteenth floor.\Oh, okay.\Then Jou-san and OD-san are here, too?\OD-san and Utsutsu are in Apartment 2.\Jou-san rarely comes home.\OD-san, Utsutsu-chan!\I safely completed my first combat mission! response:	What do you mean safely?
context: We've leased this thirteenth floor.\Oh, okay.\Then Jou-san and OD-san are here, too?\OD-san and Utsutsu are in Apartment 2.\Jou-san rarely comes home.\OD-san, Utsutsu-chan!\I safely completed my first combat mission!\What do you mean safely? response:	Man, I'm exhausted.
context: Oh, okay.\Then Jou-san and OD-san are here, too?\OD-san and Utsutsu are in Apartment 2.\Jou-san rarely comes home.\OD-san, Utsutsu-chan!\I safely completed my first combat mission!\What do you mean safely?\Man, I'm exhausted. response:	Does this place have a bathtub?
context: Then Jou-san and OD-san are here, too?\OD-san and Utsutsu are in Apartment 2.\Jou-san rarely comes home.\OD-san, Utsutsu-chan!\I safely completed my first combat mission!\What do you mean safely?\Man, I'm exhausted.\Does this place have a bathtub? response:	When are you going to stop following me around?
context: OD-san and Utsutsu are in Apartment 2.\Jou-san rarely comes home.\OD-san, Utsutsu-chan!\I safely completed my first combat mission!\What do you mean safely?\Man, I'm exhausted.\Does this place have a bathtub?\When are you going to stop following me around? response:	Oh, but this is my apartment!
context: Jou-san rarely comes home.\OD-san, Utsutsu-chan!\I safely completed my first combat mission!\What do you mean safely?\Man, I'm exhausted.\Does this place have a bathtub?\When are you going to stop following me around?\Oh, but this is my apartment! response:	Apartment 1!
context: OD-san, Utsutsu-chan!\I safely completed my first combat mission!\What do you mean safely?\Man, I'm exhausted.\Does this place have a bathtub?\When are you going to stop following me around?\Oh, but this is my apartment!\Apartment 1! response:	Hey, newbie!
context: I safely completed my first combat mission!\What do you mean safely?\Man, I'm exhausted.\Does this place have a bathtub?\When are you going to stop following me around?\Oh, but this is my apartment!\Apartment 1!\Hey, newbie! response:	Your luggage is here.
context: What do you mean safely?\Man, I'm exhausted.\Does this place have a bathtub?\When are you going to stop following me around?\Oh, but this is my apartment!\Apartment 1!\Hey, newbie!\Your luggage is here. response:	Thanks!
context: Man, I'm exhausted.\Does this place have a bathtub?\When are you going to stop following me around?\Oh, but this is my apartment!\Apartment 1!\Hey, newbie!\Your luggage is here.\Thanks! response:	Giraccho, you got here in one piece!
context: Does this place have a bathtub?\When are you going to stop following me around?\Oh, but this is my apartment!\Apartment 1!\Hey, newbie!\Your luggage is here.\Thanks!\Giraccho, you got here in one piece! response:	Honey Karintou
context: When are you going to stop following me around?\Oh, but this is my apartment!\Apartment 1!\Hey, newbie!\Your luggage is here.\Thanks!\Giraccho, you got here in one piece!\Honey Karintou response:	Oh, what's this place?
context: Oh, but this is my apartment!\Apartment 1!\Hey, newbie!\Your luggage is here.\Thanks!\Giraccho, you got here in one piece!\Honey Karintou\Oh, what's this place? response:	Hey, don't come in without permission.
context: Apartment 1!\Hey, newbie!\Your luggage is here.\Thanks!\Giraccho, you got here in one piece!\Honey Karintou\Oh, what's this place?\Hey, don't come in without permission. response:	Oh, I knew you actually liked them.
context: Hey, newbie!\Your luggage is here.\Thanks!\Giraccho, you got here in one piece!\Honey Karintou\Oh, what's this place?\Hey, don't come in without permission.\Oh, I knew you actually liked them. response:	No, this is just a strategy to throw people off!
context: Your luggage is here.\Thanks!\Giraccho, you got here in one piece!\Honey Karintou\Oh, what's this place?\Hey, don't come in without permission.\Oh, I knew you actually liked them.\No, this is just a strategy to throw people off! response:	The Kamoshida Cabinet continues to be rocked by bribery allegations.
context: Thanks!\Giraccho, you got here in one piece!\Honey Karintou\Oh, what's this place?\Hey, don't come in without permission.\Oh, I knew you actually liked them.\No, this is just a strategy to throw people off!\The Kamoshida Cabinet continues to be rocked by bribery allegations. response:	In response to recent allegations by certain news weeklies that
context: Giraccho, you got here in one piece!\Honey Karintou\Oh, what's this place?\Hey, don't come in without permission.\Oh, I knew you actually liked them.\No, this is just a strategy to throw people off!\The Kamoshida Cabinet continues to be rocked by bribery allegations.\In response to recent allegations by certain news weeklies that response:	I love guys who cook.
context: Honey Karintou\Oh, what's this place?\Hey, don't come in without permission.\Oh, I knew you actually liked them.\No, this is just a strategy to throw people off!\The Kamoshida Cabinet continues to be rocked by bribery allegations.\In response to recent allegations by certain news weeklies that\I love guys who cook. response:	Pai-san, you don't cook?
context: Oh, what's this place?\Hey, don't come in without permission.\Oh, I knew you actually liked them.\No, this is just a strategy to throw people off!\The Kamoshida Cabinet continues to be rocked by bribery allegations.\In response to recent allegations by certain news weeklies that\I love guys who cook.\Pai-san, you don't cook? response:	not only Finance Minister Asada,
context: Hey, don't come in without permission.\Oh, I knew you actually liked them.\No, this is just a strategy to throw people off!\The Kamoshida Cabinet continues to be rocked by bribery allegations.\In response to recent allegations by certain news weeklies that\I love guys who cook.\Pai-san, you don't cook?\not only Finance Minister Asada, response:	I'm your leader!
context: Oh, I knew you actually liked them.\No, this is just a strategy to throw people off!\The Kamoshida Cabinet continues to be rocked by bribery allegations.\In response to recent allegations by certain news weeklies that\I love guys who cook.\Pai-san, you don't cook?\not only Finance Minister Asada,\I'm your leader! response:	but also Justice Minister Niigaki may have accepted payoffs,
context: No, this is just a strategy to throw people off!\The Kamoshida Cabinet continues to be rocked by bribery allegations.\In response to recent allegations by certain news weeklies that\I love guys who cook.\Pai-san, you don't cook?\not only Finance Minister Asada,\I'm your leader!\but also Justice Minister Niigaki may have accepted payoffs, response:	So stop calling me Pai-san, too!
context: The Kamoshida Cabinet continues to be rocked by bribery allegations.\In response to recent allegations by certain news weeklies that\I love guys who cook.\Pai-san, you don't cook?\not only Finance Minister Asada,\I'm your leader!\but also Justice Minister Niigaki may have accepted payoffs,\So stop calling me Pai-san, too! response:	Prime Minister Kamoshida appeared to defend his staff,
context: In response to recent allegations by certain news weeklies that\I love guys who cook.\Pai-san, you don't cook?\not only Finance Minister Asada,\I'm your leader!\but also Justice Minister Niigaki may have accepted payoffs,\So stop calling me Pai-san, too!\Prime Minister Kamoshida appeared to defend his staff, response:	dismissing allegations as mere media accusations.
context: I love guys who cook.\Pai-san, you don't cook?\not only Finance Minister Asada,\I'm your leader!\but also Justice Minister Niigaki may have accepted payoffs,\So stop calling me Pai-san, too!\Prime Minister Kamoshida appeared to defend his staff,\dismissing allegations as mere media accusations. response:	Man, humans are so inferior.
context: Pai-san, you don't cook?\not only Finance Minister Asada,\I'm your leader!\but also Justice Minister Niigaki may have accepted payoffs,\So stop calling me Pai-san, too!\Prime Minister Kamoshida appeared to defend his staff,\dismissing allegations as mere media accusations.\Man, humans are so inferior. response:	Prime Minister Denies Bribery Allegations
context: not only Finance Minister Asada,\I'm your leader!\but also Justice Minister Niigaki may have accepted payoffs,\So stop calling me Pai-san, too!\Prime Minister Kamoshida appeared to defend his staff,\dismissing allegations as mere media accusations.\Man, humans are so inferior.\Prime Minister Denies Bribery Allegations response:	He has, thus far, rejected any calls for his resignation, as unnecessary.
context: I'm your leader!\but also Justice Minister Niigaki may have accepted payoffs,\So stop calling me Pai-san, too!\Prime Minister Kamoshida appeared to defend his staff,\dismissing allegations as mere media accusations.\Man, humans are so inferior.\Prime Minister Denies Bribery Allegations\He has, thus far, rejected any calls for his resignation, as unnecessary. response:	No wonder they're still under surveillance by the rest of the universe!
context: but also Justice Minister Niigaki may have accepted payoffs,\So stop calling me Pai-san, too!\Prime Minister Kamoshida appeared to defend his staff,\dismissing allegations as mere media accusations.\Man, humans are so inferior.\Prime Minister Denies Bribery Allegations\He has, thus far, rejected any calls for his resignation, as unnecessary.\No wonder they're still under surveillance by the rest of the universe! response:	Opposition to Boycott Diet Deliberations
context: So stop calling me Pai-san, too!\Prime Minister Kamoshida appeared to defend his staff,\dismissing allegations as mere media accusations.\Man, humans are so inferior.\Prime Minister Denies Bribery Allegations\He has, thus far, rejected any calls for his resignation, as unnecessary.\No wonder they're still under surveillance by the rest of the universe!\Opposition to Boycott Diet Deliberations response:	Thanks for the meal!
context: Prime Minister Kamoshida appeared to defend his staff,\dismissing allegations as mere media accusations.\Man, humans are so inferior.\Prime Minister Denies Bribery Allegations\He has, thus far, rejected any calls for his resignation, as unnecessary.\No wonder they're still under surveillance by the rest of the universe!\Opposition to Boycott Diet Deliberations\Thanks for the meal! response:	Thanks.
context: dismissing allegations as mere media accusations.\Man, humans are so inferior.\Prime Minister Denies Bribery Allegations\He has, thus far, rejected any calls for his resignation, as unnecessary.\No wonder they're still under surveillance by the rest of the universe!\Opposition to Boycott Diet Deliberations\Thanks for the meal!\Thanks. response:	How is it, Leader?
context: Man, humans are so inferior.\Prime Minister Denies Bribery Allegations\He has, thus far, rejected any calls for his resignation, as unnecessary.\No wonder they're still under surveillance by the rest of the universe!\Opposition to Boycott Diet Deliberations\Thanks for the meal!\Thanks.\How is it, Leader? response:	Oh, good.
context: Prime Minister Denies Bribery Allegations\He has, thus far, rejected any calls for his resignation, as unnecessary.\No wonder they're still under surveillance by the rest of the universe!\Opposition to Boycott Diet Deliberations\Thanks for the meal!\Thanks.\How is it, Leader?\Oh, good. response:	Thank you, as always.
context: He has, thus far, rejected any calls for his resignation, as unnecessary.\No wonder they're still under surveillance by the rest of the universe!\Opposition to Boycott Diet Deliberations\Thanks for the meal!\Thanks.\How is it, Leader?\Oh, good.\Thank you, as always. response:	Senpai, this is beautiful!
context: No wonder they're still under surveillance by the rest of the universe!\Opposition to Boycott Diet Deliberations\Thanks for the meal!\Thanks.\How is it, Leader?\Oh, good.\Thank you, as always.\Senpai, this is beautiful! response:	R-Really?
context: Opposition to Boycott Diet Deliberations\Thanks for the meal!\Thanks.\How is it, Leader?\Oh, good.\Thank you, as always.\Senpai, this is beautiful!\R-Really? response:	But...
context: Thanks for the meal!\Thanks.\How is it, Leader?\Oh, good.\Thank you, as always.\Senpai, this is beautiful!\R-Really?\But... response:	I might want to fiddle around a bit more.
context: Thanks.\How is it, Leader?\Oh, good.\Thank you, as always.\Senpai, this is beautiful!\R-Really?\But...\I might want to fiddle around a bit more. response:	Done!
context: How is it, Leader?\Oh, good.\Thank you, as always.\Senpai, this is beautiful!\R-Really?\But...\I might want to fiddle around a bit more.\Done! response:	Here you go!
context: Oh, good.\Thank you, as always.\Senpai, this is beautiful!\R-Really?\But...\I might want to fiddle around a bit more.\Done!\Here you go! response:	Come on...
context: Thank you, as always.\Senpai, this is beautiful!\R-Really?\But...\I might want to fiddle around a bit more.\Done!\Here you go!\Come on... response:	This is so messed up.
context: Senpai, this is beautiful!\R-Really?\But...\I might want to fiddle around a bit more.\Done!\Here you go!\Come on...\This is so messed up. response:	It can't possibly taste good.
context: R-Really?\But...\I might want to fiddle around a bit more.\Done!\Here you go!\Come on...\This is so messed up.\It can't possibly taste good. response:	Delicious!
context: But...\I might want to fiddle around a bit more.\Done!\Here you go!\Come on...\This is so messed up.\It can't possibly taste good.\Delicious! response:	Yay!
context: I might want to fiddle around a bit more.\Done!\Here you go!\Come on...\This is so messed up.\It can't possibly taste good.\Delicious!\Yay! response:	It's good...
context: Done!\Here you go!\Come on...\This is so messed up.\It can't possibly taste good.\Delicious!\Yay!\It's good... response:	Sudden Death of Popular Idol
context: Here you go!\Come on...\This is so messed up.\It can't possibly taste good.\Delicious!\Yay!\It's good...\Sudden Death of Popular Idol response:	Miss Kiritani Noa,
context: Come on...\This is so messed up.\It can't possibly taste good.\Delicious!\Yay!\It's good...\Sudden Death of Popular Idol\Miss Kiritani Noa, response:	a member of the popular idol group, Goo Goo Pamore,
context: This is so messed up.\It can't possibly taste good.\Delicious!\Yay!\It's good...\Sudden Death of Popular Idol\Miss Kiritani Noa,\a member of the popular idol group, Goo Goo Pamore, response:	has died after jumping from her agency's rooftop.
context: It can't possibly taste good.\Delicious!\Yay!\It's good...\Sudden Death of Popular Idol\Miss Kiritani Noa,\a member of the popular idol group, Goo Goo Pamore,\has died after jumping from her agency's rooftop. response:	Man... That's so sad.
context: Delicious!\Yay!\It's good...\Sudden Death of Popular Idol\Miss Kiritani Noa,\a member of the popular idol group, Goo Goo Pamore,\has died after jumping from her agency's rooftop.\Man... That's so sad. response:	Although no suicide note has been found,
context: Yay!\It's good...\Sudden Death of Popular Idol\Miss Kiritani Noa,\a member of the popular idol group, Goo Goo Pamore,\has died after jumping from her agency's rooftop.\Man... That's so sad.\Although no suicide note has been found, response:	I struggle to understand why anyone would take their own life.
context: It's good...\Sudden Death of Popular Idol\Miss Kiritani Noa,\a member of the popular idol group, Goo Goo Pamore,\has died after jumping from her agency's rooftop.\Man... That's so sad.\Although no suicide note has been found,\I struggle to understand why anyone would take their own life. response:	sources close to the idol believe it may have been triggered
context: Sudden Death of Popular Idol\Miss Kiritani Noa,\a member of the popular idol group, Goo Goo Pamore,\has died after jumping from her agency's rooftop.\Man... That's so sad.\Although no suicide note has been found,\I struggle to understand why anyone would take their own life.\sources close to the idol believe it may have been triggered response:	by rumors of an affair being circulated online...
context: Miss Kiritani Noa,\a member of the popular idol group, Goo Goo Pamore,\has died after jumping from her agency's rooftop.\Man... That's so sad.\Although no suicide note has been found,\I struggle to understand why anyone would take their own life.\sources close to the idol believe it may have been triggered\by rumors of an affair being circulated online... response:	But...
context: a member of the popular idol group, Goo Goo Pamore,\has died after jumping from her agency's rooftop.\Man... That's so sad.\Although no suicide note has been found,\I struggle to understand why anyone would take their own life.\sources close to the idol believe it may have been triggered\by rumors of an affair being circulated online...\But... response:	maybe she was having a really tough time.
context: has died after jumping from her agency's rooftop.\Man... That's so sad.\Although no suicide note has been found,\I struggle to understand why anyone would take their own life.\sources close to the idol believe it may have been triggered\by rumors of an affair being circulated online...\But...\maybe she was having a really tough time. response:	No, it's because she didn't value her life.
context: Man... That's so sad.\Although no suicide note has been found,\I struggle to understand why anyone would take their own life.\sources close to the idol believe it may have been triggered\by rumors of an affair being circulated online...\But...\maybe she was having a really tough time.\No, it's because she didn't value her life. response:	You, too.
context: Although no suicide note has been found,\I struggle to understand why anyone would take their own life.\sources close to the idol believe it may have been triggered\by rumors of an affair being circulated online...\But...\maybe she was having a really tough time.\No, it's because she didn't value her life.\You, too. response:	What? I'm not gonna die.
context: I struggle to understand why anyone would take their own life.\sources close to the idol believe it may have been triggered\by rumors of an affair being circulated online...\But...\maybe she was having a really tough time.\No, it's because she didn't value her life.\You, too.\What? I'm not gonna die. response:	You don't value people's lives, either.
context: sources close to the idol believe it may have been triggered\by rumors of an affair being circulated online...\But...\maybe she was having a really tough time.\No, it's because she didn't value her life.\You, too.\What? I'm not gonna die.\You don't value people's lives, either. response:	That's why you can't finish off the enemy!
context: by rumors of an affair being circulated online...\But...\maybe she was having a really tough time.\No, it's because she didn't value her life.\You, too.\What? I'm not gonna die.\You don't value people's lives, either.\That's why you can't finish off the enemy! response:	That's not true.
context: But...\maybe she was having a really tough time.\No, it's because she didn't value her life.\You, too.\What? I'm not gonna die.\You don't value people's lives, either.\That's why you can't finish off the enemy!\That's not true. response:	Hey, newbie.
context: maybe she was having a really tough time.\No, it's because she didn't value her life.\You, too.\What? I'm not gonna die.\You don't value people's lives, either.\That's why you can't finish off the enemy!\That's not true.\Hey, newbie. response:	Oh, I'm Hajime.
context: No, it's because she didn't value her life.\You, too.\What? I'm not gonna die.\You don't value people's lives, either.\That's why you can't finish off the enemy!\That's not true.\Hey, newbie.\Oh, I'm Hajime. response:	Why did you interfere?
context: You, too.\What? I'm not gonna die.\You don't value people's lives, either.\That's why you can't finish off the enemy!\That's not true.\Hey, newbie.\Oh, I'm Hajime.\Why did you interfere? response:	I didn't interfere.
context: What? I'm not gonna die.\You don't value people's lives, either.\That's why you can't finish off the enemy!\That's not true.\Hey, newbie.\Oh, I'm Hajime.\Why did you interfere?\I didn't interfere. response:	It was different!
context: You don't value people's lives, either.\That's why you can't finish off the enemy!\That's not true.\Hey, newbie.\Oh, I'm Hajime.\Why did you interfere?\I didn't interfere.\It was different! response:	What was different?
context: That's why you can't finish off the enemy!\That's not true.\Hey, newbie.\Oh, I'm Hajime.\Why did you interfere?\I didn't interfere.\It was different!\What was different? response:	We just shouldn't go Wham! like Senpai.
context: That's not true.\Hey, newbie.\Oh, I'm Hajime.\Why did you interfere?\I didn't interfere.\It was different!\What was different?\We just shouldn't go Wham! like Senpai. response:	That's not what we're about.
context: Hey, newbie.\Oh, I'm Hajime.\Why did you interfere?\I didn't interfere.\It was different!\What was different?\We just shouldn't go Wham! like Senpai.\That's not what we're about. response:	Why, you
context: Oh, I'm Hajime.\Why did you interfere?\I didn't interfere.\It was different!\What was different?\We just shouldn't go Wham! like Senpai.\That's not what we're about.\Why, you response:	Newbie, you should just follow Sugane's orders, for now!
context: Why did you interfere?\I didn't interfere.\It was different!\What was different?\We just shouldn't go Wham! like Senpai.\That's not what we're about.\Why, you\Newbie, you should just follow Sugane's orders, for now! response:	Boo!
context: I didn't interfere.\It was different!\What was different?\We just shouldn't go Wham! like Senpai.\That's not what we're about.\Why, you\Newbie, you should just follow Sugane's orders, for now!\Boo! response:	D-I-Y.
context: It was different!\What was different?\We just shouldn't go Wham! like Senpai.\That's not what we're about.\Why, you\Newbie, you should just follow Sugane's orders, for now!\Boo!\D-I-Y. response:	Do-It-Y...
context: What was different?\We just shouldn't go Wham! like Senpai.\That's not what we're about.\Why, you\Newbie, you should just follow Sugane's orders, for now!\Boo!\D-I-Y.\Do-It-Y... response:	What's Y stand for again?
context: We just shouldn't go Wham! like Senpai.\That's not what we're about.\Why, you\Newbie, you should just follow Sugane's orders, for now!\Boo!\D-I-Y.\Do-It-Y...\What's Y stand for again? response:	What are you doing?
context: That's not what we're about.\Why, you\Newbie, you should just follow Sugane's orders, for now!\Boo!\D-I-Y.\Do-It-Y...\What's Y stand for again?\What are you doing? response:	Huh? What?
context: Why, you\Newbie, you should just follow Sugane's orders, for now!\Boo!\D-I-Y.\Do-It-Y...\What's Y stand for again?\What are you doing?\Huh? What? response:	First, stop drilling!
context: Newbie, you should just follow Sugane's orders, for now!\Boo!\D-I-Y.\Do-It-Y...\What's Y stand for again?\What are you doing?\Huh? What?\First, stop drilling! response:	Oh, oops.
context: Boo!\D-I-Y.\Do-It-Y...\What's Y stand for again?\What are you doing?\Huh? What?\First, stop drilling!\Oh, oops. response:	Hey, are you listening to me?
context: D-I-Y.\Do-It-Y...\What's Y stand for again?\What are you doing?\Huh? What?\First, stop drilling!\Oh, oops.\Hey, are you listening to me? response:	Oh, that's not it.
context: Do-It-Y...\What's Y stand for again?\What are you doing?\Huh? What?\First, stop drilling!\Oh, oops.\Hey, are you listening to me?\Oh, that's not it. response:	I forgot to tell everyone what time to meet tomorrow.
context: What's Y stand for again?\What are you doing?\Huh? What?\First, stop drilling!\Oh, oops.\Hey, are you listening to me?\Oh, that's not it.\I forgot to tell everyone what time to meet tomorrow. response:	Tomorrow, at 5:00 PM...
context: What are you doing?\Huh? What?\First, stop drilling!\Oh, oops.\Hey, are you listening to me?\Oh, that's not it.\I forgot to tell everyone what time to meet tomorrow.\Tomorrow, at 5:00 PM... response:	What does she want to do?
context: Huh? What?\First, stop drilling!\Oh, oops.\Hey, are you listening to me?\Oh, that's not it.\I forgot to tell everyone what time to meet tomorrow.\Tomorrow, at 5:00 PM...\What does she want to do? response:	At the Tachikawa-Kita monorail station.
context: First, stop drilling!\Oh, oops.\Hey, are you listening to me?\Oh, that's not it.\I forgot to tell everyone what time to meet tomorrow.\Tomorrow, at 5:00 PM...\What does she want to do?\At the Tachikawa-Kita monorail station. response:	Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station.
context: Oh, oops.\Hey, are you listening to me?\Oh, that's not it.\I forgot to tell everyone what time to meet tomorrow.\Tomorrow, at 5:00 PM...\What does she want to do?\At the Tachikawa-Kita monorail station.\Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station. response:	What's that?
context: Hey, are you listening to me?\Oh, that's not it.\I forgot to tell everyone what time to meet tomorrow.\Tomorrow, at 5:00 PM...\What does she want to do?\At the Tachikawa-Kita monorail station.\Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station.\What's that? response:	Oh, it's GALAX.
context: Oh, that's not it.\I forgot to tell everyone what time to meet tomorrow.\Tomorrow, at 5:00 PM...\What does she want to do?\At the Tachikawa-Kita monorail station.\Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station.\What's that?\Oh, it's GALAX. response:	You don't know about it, Senpai?
context: I forgot to tell everyone what time to meet tomorrow.\Tomorrow, at 5:00 PM...\What does she want to do?\At the Tachikawa-Kita monorail station.\Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station.\What's that?\Oh, it's GALAX.\You don't know about it, Senpai? response:	No.
context: Tomorrow, at 5:00 PM...\What does she want to do?\At the Tachikawa-Kita monorail station.\Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station.\What's that?\Oh, it's GALAX.\You don't know about it, Senpai?\No. response:	I only use my cell phone for calls.
context: What does she want to do?\At the Tachikawa-Kita monorail station.\Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station.\What's that?\Oh, it's GALAX.\You don't know about it, Senpai?\No.\I only use my cell phone for calls. response:	Seriously?
context: At the Tachikawa-Kita monorail station.\Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station.\What's that?\Oh, it's GALAX.\You don't know about it, Senpai?\No.\I only use my cell phone for calls.\Seriously? response:	Are you a fossil, Senpai?
context: Guys, meetup's tomorrow 5:00 PM at the Tachikawa-Kita monorail station.\What's that?\Oh, it's GALAX.\You don't know about it, Senpai?\No.\I only use my cell phone for calls.\Seriously?\Are you a fossil, Senpai? response:	Who're you talking to?
context: What's that?\Oh, it's GALAX.\You don't know about it, Senpai?\No.\I only use my cell phone for calls.\Seriously?\Are you a fossil, Senpai?\Who're you talking to? response:	Besides, you can use the NOTE to make contact!
