context: /** paper motion here response:	Grad ceremony (distant shot)(necessary?)
context: G Good evening!\GGood evening!\So, where do you want to go?\Today, I'll treat you to anything you like.\We're celebrating the decision of you running in the magazine.\Eh?\For some reason,\when newcomers get their first run in a magazine, response:	it has become tradition for the editorial department to treat them to a meal.
context: GGood evening!\So, where do you want to go?\Today, I'll treat you to anything you like.\We're celebrating the decision of you running in the magazine.\Eh?\For some reason,\when newcomers get their first run in a magazine,\it has become tradition for the editorial department to treat them to a meal. response:	I was saving that meat!
context: So, where do you want to go?\Today, I'll treat you to anything you like.\We're celebrating the decision of you running in the magazine.\Eh?\For some reason,\when newcomers get their first run in a magazine,\it has become tradition for the editorial department to treat them to a meal.\I was saving that meat! response:	You've have five more than me!
context: Today, I'll treat you to anything you like.\We're celebrating the decision of you running in the magazine.\Eh?\For some reason,\when newcomers get their first run in a magazine,\it has become tradition for the editorial department to treat them to a meal.\I was saving that meat!\You've have five more than me! response:	Well I'm the one who suggested we go for yakiniku in the first place!
context: We're celebrating the decision of you running in the magazine.\Eh?\For some reason,\when newcomers get their first run in a magazine,\it has become tradition for the editorial department to treat them to a meal.\I was saving that meat!\You've have five more than me!\Well I'm the one who suggested we go for yakiniku in the first place! response:	It's okay, we can just order more.
context: Eh?\For some reason,\when newcomers get their first run in a magazine,\it has become tradition for the editorial department to treat them to a meal.\I was saving that meat!\You've have five more than me!\Well I'm the one who suggested we go for yakiniku in the first place!\It's okay, we can just order more. response:	Really?
context: For some reason,\when newcomers get their first run in a magazine,\it has become tradition for the editorial department to treat them to a meal.\I was saving that meat!\You've have five more than me!\Well I'm the one who suggested we go for yakiniku in the first place!\It's okay, we can just order more.\Really? response:	Yeah.
context: when newcomers get their first run in a magazine,\it has become tradition for the editorial department to treat them to a meal.\I was saving that meat!\You've have five more than me!\Well I'm the one who suggested we go for yakiniku in the first place!\It's okay, we can just order more.\Really?\Yeah. response:	Th Then...
context: it has become tradition for the editorial department to treat them to a meal.\I was saving that meat!\You've have five more than me!\Well I'm the one who suggested we go for yakiniku in the first place!\It's okay, we can just order more.\Really?\Yeah.\Th Then... response:	ThThen...
context: I was saving that meat!\You've have five more than me!\Well I'm the one who suggested we go for yakiniku in the first place!\It's okay, we can just order more.\Really?\Yeah.\Th Then...\ThThen... response:	Even the ones that say extra-special on them?
context: You've have five more than me!\Well I'm the one who suggested we go for yakiniku in the first place!\It's okay, we can just order more.\Really?\Yeah.\Th Then...\ThThen...\Even the ones that say extra-special on them? response:	Show some restraint.
context: Well I'm the one who suggested we go for yakiniku in the first place!\It's okay, we can just order more.\Really?\Yeah.\Th Then...\ThThen...\Even the ones that say extra-special on them?\Show some restraint. response:	For such a joyous occasion,
context: It's okay, we can just order more.\Really?\Yeah.\Th Then...\ThThen...\Even the ones that say extra-special on them?\Show some restraint.\For such a joyous occasion, response:	I would like you to have a feast.
context: Really?\Yeah.\Th Then...\ThThen...\Even the ones that say extra-special on them?\Show some restraint.\For such a joyous occasion,\I would like you to have a feast. response:	Thank you very much.
context: Yeah.\Th Then...\ThThen...\Even the ones that say extra-special on them?\Show some restraint.\For such a joyous occasion,\I would like you to have a feast.\Thank you very much. response:	But we can't just do nothing but celebrate.
context: Th Then...\ThThen...\Even the ones that say extra-special on them?\Show some restraint.\For such a joyous occasion,\I would like you to have a feast.\Thank you very much.\But we can't just do nothing but celebrate. response:	Because we're going to win against Niizuma-kun, right?
context: ThThen...\Even the ones that say extra-special on them?\Show some restraint.\For such a joyous occasion,\I would like you to have a feast.\Thank you very much.\But we can't just do nothing but celebrate.\Because we're going to win against Niizuma-kun, right? response:	As soon as you're done eating,
context: Even the ones that say extra-special on them?\Show some restraint.\For such a joyous occasion,\I would like you to have a feast.\Thank you very much.\But we can't just do nothing but celebrate.\Because we're going to win against Niizuma-kun, right?\As soon as you're done eating, response:	let's head back to the company and form our battle plan.
context: Show some restraint.\For such a joyous occasion,\I would like you to have a feast.\Thank you very much.\But we can't just do nothing but celebrate.\Because we're going to win against Niizuma-kun, right?\As soon as you're done eating,\let's head back to the company and form our battle plan. response:	Yes, sir!
context: For such a joyous occasion,\I would like you to have a feast.\Thank you very much.\But we can't just do nothing but celebrate.\Because we're going to win against Niizuma-kun, right?\As soon as you're done eating,\let's head back to the company and form our battle plan.\Yes, sir! response:	In the next issue of NEXT!, there are eleven works running.
context: I would like you to have a feast.\Thank you very much.\But we can't just do nothing but celebrate.\Because we're going to win against Niizuma-kun, right?\As soon as you're done eating,\let's head back to the company and form our battle plan.\Yes, sir!\In the next issue of NEXT!, there are eleven works running. response:	One gag manga,
context: Thank you very much.\But we can't just do nothing but celebrate.\Because we're going to win against Niizuma-kun, right?\As soon as you're done eating,\let's head back to the company and form our battle plan.\Yes, sir!\In the next issue of NEXT!, there are eleven works running.\One gag manga, response:	one soccer manga,
context: But we can't just do nothing but celebrate.\Because we're going to win against Niizuma-kun, right?\As soon as you're done eating,\let's head back to the company and form our battle plan.\Yes, sir!\In the next issue of NEXT!, there are eleven works running.\One gag manga,\one soccer manga, response:	and the rest are so-called Jack-like battle mangas.
context: Because we're going to win against Niizuma-kun, right?\As soon as you're done eating,\let's head back to the company and form our battle plan.\Yes, sir!\In the next issue of NEXT!, there are eleven works running.\One gag manga,\one soccer manga,\and the rest are so-called Jack-like battle mangas. response:	Besides our Kono Yo wa Kane to Chie, right?
context: As soon as you're done eating,\let's head back to the company and form our battle plan.\Yes, sir!\In the next issue of NEXT!, there are eleven works running.\One gag manga,\one soccer manga,\and the rest are so-called Jack-like battle mangas.\Besides our Kono Yo wa Kane to Chie, right? response:	In a way, this much is just as I had calculated.
context: let's head back to the company and form our battle plan.\Yes, sir!\In the next issue of NEXT!, there are eleven works running.\One gag manga,\one soccer manga,\and the rest are so-called Jack-like battle mangas.\Besides our Kono Yo wa Kane to Chie, right?\In a way, this much is just as I had calculated. response:	Most likely, Niizuma-kun will take the lead in regards to the battle mangas.
context: Yes, sir!\In the next issue of NEXT!, there are eleven works running.\One gag manga,\one soccer manga,\and the rest are so-called Jack-like battle mangas.\Besides our Kono Yo wa Kane to Chie, right?\In a way, this much is just as I had calculated.\Most likely, Niizuma-kun will take the lead in regards to the battle mangas. response:	Thinking optimistically,
context: In the next issue of NEXT!, there are eleven works running.\One gag manga,\one soccer manga,\and the rest are so-called Jack-like battle mangas.\Besides our Kono Yo wa Kane to Chie, right?\In a way, this much is just as I had calculated.\Most likely, Niizuma-kun will take the lead in regards to the battle mangas.\Thinking optimistically, response:	it will be a one-on-one fight with Niizuma-kun.
context: One gag manga,\one soccer manga,\and the rest are so-called Jack-like battle mangas.\Besides our Kono Yo wa Kane to Chie, right?\In a way, this much is just as I had calculated.\Most likely, Niizuma-kun will take the lead in regards to the battle mangas.\Thinking optimistically,\it will be a one-on-one fight with Niizuma-kun. response:	Right.
context: one soccer manga,\and the rest are so-called Jack-like battle mangas.\Besides our Kono Yo wa Kane to Chie, right?\In a way, this much is just as I had calculated.\Most likely, Niizuma-kun will take the lead in regards to the battle mangas.\Thinking optimistically,\it will be a one-on-one fight with Niizuma-kun.\Right. response:	Okay, now for the final check on the name.
context: and the rest are so-called Jack-like battle mangas.\Besides our Kono Yo wa Kane to Chie, right?\In a way, this much is just as I had calculated.\Most likely, Niizuma-kun will take the lead in regards to the battle mangas.\Thinking optimistically,\it will be a one-on-one fight with Niizuma-kun.\Right.\Okay, now for the final check on the name. response:	Let's start from the first panel.
context: Besides our Kono Yo wa Kane to Chie, right?\In a way, this much is just as I had calculated.\Most likely, Niizuma-kun will take the lead in regards to the battle mangas.\Thinking optimistically,\it will be a one-on-one fight with Niizuma-kun.\Right.\Okay, now for the final check on the name.\Let's start from the first panel. response:	It has to be a story from beginning to end in 45 pages,
context: In a way, this much is just as I had calculated.\Most likely, Niizuma-kun will take the lead in regards to the battle mangas.\Thinking optimistically,\it will be a one-on-one fight with Niizuma-kun.\Right.\Okay, now for the final check on the name.\Let's start from the first panel.\It has to be a story from beginning to end in 45 pages, response:	so there's no way around starting with narration.
context: Most likely, Niizuma-kun will take the lead in regards to the battle mangas.\Thinking optimistically,\it will be a one-on-one fight with Niizuma-kun.\Right.\Okay, now for the final check on the name.\Let's start from the first panel.\It has to be a story from beginning to end in 45 pages,\so there's no way around starting with narration. response:	But you've packed too much in.
context: Thinking optimistically,\it will be a one-on-one fight with Niizuma-kun.\Right.\Okay, now for the final check on the name.\Let's start from the first panel.\It has to be a story from beginning to end in 45 pages,\so there's no way around starting with narration.\But you've packed too much in. response:	Try to trim down the word count as much as possible.
context: it will be a one-on-one fight with Niizuma-kun.\Right.\Okay, now for the final check on the name.\Let's start from the first panel.\It has to be a story from beginning to end in 45 pages,\so there's no way around starting with narration.\But you've packed too much in.\Try to trim down the word count as much as possible. response:	Okay.
context: Right.\Okay, now for the final check on the name.\Let's start from the first panel.\It has to be a story from beginning to end in 45 pages,\so there's no way around starting with narration.\But you've packed too much in.\Try to trim down the word count as much as possible.\Okay. response:	For this computer drawing,
context: Okay, now for the final check on the name.\Let's start from the first panel.\It has to be a story from beginning to end in 45 pages,\so there's no way around starting with narration.\But you've packed too much in.\Try to trim down the word count as much as possible.\Okay.\For this computer drawing, response:	something with a more computerish feeling would be better, even if it seems old.
context: Let's start from the first panel.\It has to be a story from beginning to end in 45 pages,\so there's no way around starting with narration.\But you've packed too much in.\Try to trim down the word count as much as possible.\Okay.\For this computer drawing,\something with a more computerish feeling would be better, even if it seems old. response:	Something that will convey a clear image to the readers.
context: It has to be a story from beginning to end in 45 pages,\so there's no way around starting with narration.\But you've packed too much in.\Try to trim down the word count as much as possible.\Okay.\For this computer drawing,\something with a more computerish feeling would be better, even if it seems old.\Something that will convey a clear image to the readers. response:	Okay. I'll do something more mechanical-looking.
context: so there's no way around starting with narration.\But you've packed too much in.\Try to trim down the word count as much as possible.\Okay.\For this computer drawing,\something with a more computerish feeling would be better, even if it seems old.\Something that will convey a clear image to the readers.\Okay. I'll do something more mechanical-looking. response:	Okay, second panel.
context: But you've packed too much in.\Try to trim down the word count as much as possible.\Okay.\For this computer drawing,\something with a more computerish feeling would be better, even if it seems old.\Something that will convey a clear image to the readers.\Okay. I'll do something more mechanical-looking.\Okay, second panel. response:	On the explanation of the world's structure,
context: Try to trim down the word count as much as possible.\Okay.\For this computer drawing,\something with a more computerish feeling would be better, even if it seems old.\Something that will convey a clear image to the readers.\Okay. I'll do something more mechanical-looking.\Okay, second panel.\On the explanation of the world's structure, response:	make the sentences more concise and more god-like sounding.
context: Okay.\For this computer drawing,\something with a more computerish feeling would be better, even if it seems old.\Something that will convey a clear image to the readers.\Okay. I'll do something more mechanical-looking.\Okay, second panel.\On the explanation of the world's structure,\make the sentences more concise and more god-like sounding. response:	Um...
context: For this computer drawing,\something with a more computerish feeling would be better, even if it seems old.\Something that will convey a clear image to the readers.\Okay. I'll do something more mechanical-looking.\Okay, second panel.\On the explanation of the world's structure,\make the sentences more concise and more god-like sounding.\Um... response:	Are we going to go through each panel of all 45 pages, one at a time?
context: something with a more computerish feeling would be better, even if it seems old.\Something that will convey a clear image to the readers.\Okay. I'll do something more mechanical-looking.\Okay, second panel.\On the explanation of the world's structure,\make the sentences more concise and more god-like sounding.\Um...\Are we going to go through each panel of all 45 pages, one at a time? response:	Yes, but would that be a problem?
context: Something that will convey a clear image to the readers.\Okay. I'll do something more mechanical-looking.\Okay, second panel.\On the explanation of the world's structure,\make the sentences more concise and more god-like sounding.\Um...\Are we going to go through each panel of all 45 pages, one at a time?\Yes, but would that be a problem? response:	No, thank you very much!
context: Okay. I'll do something more mechanical-looking.\Okay, second panel.\On the explanation of the world's structure,\make the sentences more concise and more god-like sounding.\Um...\Are we going to go through each panel of all 45 pages, one at a time?\Yes, but would that be a problem?\No, thank you very much! response:	Doing every panel like this for us is incredible!
context: Okay, second panel.\On the explanation of the world's structure,\make the sentences more concise and more god-like sounding.\Um...\Are we going to go through each panel of all 45 pages, one at a time?\Yes, but would that be a problem?\No, thank you very much!\Doing every panel like this for us is incredible! response:	I told you, didn't I?
context: On the explanation of the world's structure,\make the sentences more concise and more god-like sounding.\Um...\Are we going to go through each panel of all 45 pages, one at a time?\Yes, but would that be a problem?\No, thank you very much!\Doing every panel like this for us is incredible!\I told you, didn't I? response:	Even I seriously want to win against Niizuma Eiji.
context: make the sentences more concise and more god-like sounding.\Um...\Are we going to go through each panel of all 45 pages, one at a time?\Yes, but would that be a problem?\No, thank you very much!\Doing every panel like this for us is incredible!\I told you, didn't I?\Even I seriously want to win against Niizuma Eiji. response:	Right.
context: Um...\Are we going to go through each panel of all 45 pages, one at a time?\Yes, but would that be a problem?\No, thank you very much!\Doing every panel like this for us is incredible!\I told you, didn't I?\Even I seriously want to win against Niizuma Eiji.\Right. response:	Niizuma-san is getting ready for serialization...
context: Are we going to go through each panel of all 45 pages, one at a time?\Yes, but would that be a problem?\No, thank you very much!\Doing every panel like this for us is incredible!\I told you, didn't I?\Even I seriously want to win against Niizuma Eiji.\Right.\Niizuma-san is getting ready for serialization... response:	so if we won against him,
context: Yes, but would that be a problem?\No, thank you very much!\Doing every panel like this for us is incredible!\I told you, didn't I?\Even I seriously want to win against Niizuma Eiji.\Right.\Niizuma-san is getting ready for serialization...\so if we won against him, response:	serialization wouldn't be just a dream anymore, right?
context: No, thank you very much!\Doing every panel like this for us is incredible!\I told you, didn't I?\Even I seriously want to win against Niizuma Eiji.\Right.\Niizuma-san is getting ready for serialization...\so if we won against him,\serialization wouldn't be just a dream anymore, right? response:	Even if you do win,
context: Doing every panel like this for us is incredible!\I told you, didn't I?\Even I seriously want to win against Niizuma Eiji.\Right.\Niizuma-san is getting ready for serialization...\so if we won against him,\serialization wouldn't be just a dream anymore, right?\Even if you do win, response:	I think you shouldn't be serialized for another three years.
context: I told you, didn't I?\Even I seriously want to win against Niizuma Eiji.\Right.\Niizuma-san is getting ready for serialization...\so if we won against him,\serialization wouldn't be just a dream anymore, right?\Even if you do win,\I think you shouldn't be serialized for another three years. response:	Not until you've graduated high school.
context: Even I seriously want to win against Niizuma Eiji.\Right.\Niizuma-san is getting ready for serialization...\so if we won against him,\serialization wouldn't be just a dream anymore, right?\Even if you do win,\I think you shouldn't be serialized for another three years.\Not until you've graduated high school. response:	Another three years...
context: Right.\Niizuma-san is getting ready for serialization...\so if we won against him,\serialization wouldn't be just a dream anymore, right?\Even if you do win,\I think you shouldn't be serialized for another three years.\Not until you've graduated high school.\Another three years... response:	There's no need to rush.
context: Niizuma-san is getting ready for serialization...\so if we won against him,\serialization wouldn't be just a dream anymore, right?\Even if you do win,\I think you shouldn't be serialized for another three years.\Not until you've graduated high school.\Another three years...\There's no need to rush. response:	You should hone your skills and do something you're sure about.
context: so if we won against him,\serialization wouldn't be just a dream anymore, right?\Even if you do win,\I think you shouldn't be serialized for another three years.\Not until you've graduated high school.\Another three years...\There's no need to rush.\You should hone your skills and do something you're sure about. response:	Okay then, third panel.
context: serialization wouldn't be just a dream anymore, right?\Even if you do win,\I think you shouldn't be serialized for another three years.\Not until you've graduated high school.\Another three years...\There's no need to rush.\You should hone your skills and do something you're sure about.\Okay then, third panel. response:	Hattori-san.
context: Even if you do win,\I think you shouldn't be serialized for another three years.\Not until you've graduated high school.\Another three years...\There's no need to rush.\You should hone your skills and do something you're sure about.\Okay then, third panel.\Hattori-san. response:	If we win against Niizuma-san...
context: I think you shouldn't be serialized for another three years.\Not until you've graduated high school.\Another three years...\There's no need to rush.\You should hone your skills and do something you're sure about.\Okay then, third panel.\Hattori-san.\If we win against Niizuma-san... response:	If we get first place in NEXT!...
context: Not until you've graduated high school.\Another three years...\There's no need to rush.\You should hone your skills and do something you're sure about.\Okay then, third panel.\Hattori-san.\If we win against Niizuma-san...\If we get first place in NEXT!... response:	Please think about us moving toward serialization.
context: Another three years...\There's no need to rush.\You should hone your skills and do something you're sure about.\Okay then, third panel.\Hattori-san.\If we win against Niizuma-san...\If we get first place in NEXT!...\Please think about us moving toward serialization. response:	That's what we're aiming for with this.
context: There's no need to rush.\You should hone your skills and do something you're sure about.\Okay then, third panel.\Hattori-san.\If we win against Niizuma-san...\If we get first place in NEXT!...\Please think about us moving toward serialization.\That's what we're aiming for with this. response:	I've been thinking about it a while now, but...
context: You should hone your skills and do something you're sure about.\Okay then, third panel.\Hattori-san.\If we win against Niizuma-san...\If we get first place in NEXT!...\Please think about us moving toward serialization.\That's what we're aiming for with this.\I've been thinking about it a while now, but... response:	why are you in such a hurry to be serialized?
context: Okay then, third panel.\Hattori-san.\If we win against Niizuma-san...\If we get first place in NEXT!...\Please think about us moving toward serialization.\That's what we're aiming for with this.\I've been thinking about it a while now, but...\why are you in such a hurry to be serialized? response:	I think that even Niizuma-kun is going too fast for his own good.
context: Hattori-san.\If we win against Niizuma-san...\If we get first place in NEXT!...\Please think about us moving toward serialization.\That's what we're aiming for with this.\I've been thinking about it a while now, but...\why are you in such a hurry to be serialized?\I think that even Niizuma-kun is going too fast for his own good. response:	The editorial department just wants to market him as a genius high schooler.
context: If we win against Niizuma-san...\If we get first place in NEXT!...\Please think about us moving toward serialization.\That's what we're aiming for with this.\I've been thinking about it a while now, but...\why are you in such a hurry to be serialized?\I think that even Niizuma-kun is going too fast for his own good.\The editorial department just wants to market him as a genius high schooler. response:	But...
context: If we get first place in NEXT!...\Please think about us moving toward serialization.\That's what we're aiming for with this.\I've been thinking about it a while now, but...\why are you in such a hurry to be serialized?\I think that even Niizuma-kun is going too fast for his own good.\The editorial department just wants to market him as a genius high schooler.\But... response:	I understand.
context: Please think about us moving toward serialization.\That's what we're aiming for with this.\I've been thinking about it a while now, but...\why are you in such a hurry to be serialized?\I think that even Niizuma-kun is going too fast for his own good.\The editorial department just wants to market him as a genius high schooler.\But...\I understand. response:	We'll talk about serialization when you've beaten Niizuma-kun
context: That's what we're aiming for with this.\I've been thinking about it a while now, but...\why are you in such a hurry to be serialized?\I think that even Niizuma-kun is going too fast for his own good.\The editorial department just wants to market him as a genius high schooler.\But...\I understand.\We'll talk about serialization when you've beaten Niizuma-kun response:	and get good results on the questionnaires.
context: I've been thinking about it a while now, but...\why are you in such a hurry to be serialized?\I think that even Niizuma-kun is going too fast for his own good.\The editorial department just wants to market him as a genius high schooler.\But...\I understand.\We'll talk about serialization when you've beaten Niizuma-kun\and get good results on the questionnaires. response:	All right.
context: why are you in such a hurry to be serialized?\I think that even Niizuma-kun is going too fast for his own good.\The editorial department just wants to market him as a genius high schooler.\But...\I understand.\We'll talk about serialization when you've beaten Niizuma-kun\and get good results on the questionnaires.\All right. response:	Okay, let's get back to the name.
context: I think that even Niizuma-kun is going too fast for his own good.\The editorial department just wants to market him as a genius high schooler.\But...\I understand.\We'll talk about serialization when you've beaten Niizuma-kun\and get good results on the questionnaires.\All right.\Okay, let's get back to the name. response:	Okay.
context: The editorial department just wants to market him as a genius high schooler.\But...\I understand.\We'll talk about serialization when you've beaten Niizuma-kun\and get good results on the questionnaires.\All right.\Okay, let's get back to the name.\Okay. response:	Mashiro-kun, the success of this manga
context: But...\I understand.\We'll talk about serialization when you've beaten Niizuma-kun\and get good results on the questionnaires.\All right.\Okay, let's get back to the name.\Okay.\Mashiro-kun, the success of this manga response:	will depend on well you bring out the character's expressions and mentality in your drawings.
context: I understand.\We'll talk about serialization when you've beaten Niizuma-kun\and get good results on the questionnaires.\All right.\Okay, let's get back to the name.\Okay.\Mashiro-kun, the success of this manga\will depend on well you bring out the character's expressions and mentality in your drawings. response:	Is this really all right with you?
context: We'll talk about serialization when you've beaten Niizuma-kun\and get good results on the questionnaires.\All right.\Okay, let's get back to the name.\Okay.\Mashiro-kun, the success of this manga\will depend on well you bring out the character's expressions and mentality in your drawings.\Is this really all right with you? response:	There are still trains running, and...
context: and get good results on the questionnaires.\All right.\Okay, let's get back to the name.\Okay.\Mashiro-kun, the success of this manga\will depend on well you bring out the character's expressions and mentality in your drawings.\Is this really all right with you?\There are still trains running, and... response:	And?
context: All right.\Okay, let's get back to the name.\Okay.\Mashiro-kun, the success of this manga\will depend on well you bring out the character's expressions and mentality in your drawings.\Is this really all right with you?\There are still trains running, and...\And? response:	The fare for going to Yakusa will be pretty steep.
context: Okay, let's get back to the name.\Okay.\Mashiro-kun, the success of this manga\will depend on well you bring out the character's expressions and mentality in your drawings.\Is this really all right with you?\There are still trains running, and...\And?\The fare for going to Yakusa will be pretty steep. response:	You don't need to worry about that.
context: Okay.\Mashiro-kun, the success of this manga\will depend on well you bring out the character's expressions and mentality in your drawings.\Is this really all right with you?\There are still trains running, and...\And?\The fare for going to Yakusa will be pretty steep.\You don't need to worry about that. response:	It's just because our meeting ran late.
context: Mashiro-kun, the success of this manga\will depend on well you bring out the character's expressions and mentality in your drawings.\Is this really all right with you?\There are still trains running, and...\And?\The fare for going to Yakusa will be pretty steep.\You don't need to worry about that.\It's just because our meeting ran late. response:	You two must be tired.
context: will depend on well you bring out the character's expressions and mentality in your drawings.\Is this really all right with you?\There are still trains running, and...\And?\The fare for going to Yakusa will be pretty steep.\You don't need to worry about that.\It's just because our meeting ran late.\You two must be tired. response:	No, not at all.
context: Is this really all right with you?\There are still trains running, and...\And?\The fare for going to Yakusa will be pretty steep.\You don't need to worry about that.\It's just because our meeting ran late.\You two must be tired.\No, not at all. response:	I learned plenty from all your intricate advice.
context: There are still trains running, and...\And?\The fare for going to Yakusa will be pretty steep.\You don't need to worry about that.\It's just because our meeting ran late.\You two must be tired.\No, not at all.\I learned plenty from all your intricate advice. response:	Honestly, thanks for everything.
context: And?\The fare for going to Yakusa will be pretty steep.\You don't need to worry about that.\It's just because our meeting ran late.\You two must be tired.\No, not at all.\I learned plenty from all your intricate advice.\Honestly, thanks for everything. response:	Man, I want to win.
context: The fare for going to Yakusa will be pretty steep.\You don't need to worry about that.\It's just because our meeting ran late.\You two must be tired.\No, not at all.\I learned plenty from all your intricate advice.\Honestly, thanks for everything.\Man, I want to win. response:	Especially for Hattori who did all that for us.
context: You don't need to worry about that.\It's just because our meeting ran late.\You two must be tired.\No, not at all.\I learned plenty from all your intricate advice.\Honestly, thanks for everything.\Man, I want to win.\Especially for Hattori who did all that for us. response:	A high-class meal and a serious meeting...
context: It's just because our meeting ran late.\You two must be tired.\No, not at all.\I learned plenty from all your intricate advice.\Honestly, thanks for everything.\Man, I want to win.\Especially for Hattori who did all that for us.\A high-class meal and a serious meeting... response:	Going home in a taxi...
context: You two must be tired.\No, not at all.\I learned plenty from all your intricate advice.\Honestly, thanks for everything.\Man, I want to win.\Especially for Hattori who did all that for us.\A high-class meal and a serious meeting...\Going home in a taxi... response:	It feels like... we're not middle schoolers anymore.
context: No, not at all.\I learned plenty from all your intricate advice.\Honestly, thanks for everything.\Man, I want to win.\Especially for Hattori who did all that for us.\A high-class meal and a serious meeting...\Going home in a taxi...\It feels like... we're not middle schoolers anymore. response:	You sure ran late.
context: I learned plenty from all your intricate advice.\Honestly, thanks for everything.\Man, I want to win.\Especially for Hattori who did all that for us.\A high-class meal and a serious meeting...\Going home in a taxi...\It feels like... we're not middle schoolers anymore.\You sure ran late. response:	Yeah.
context: Honestly, thanks for everything.\Man, I want to win.\Especially for Hattori who did all that for us.\A high-class meal and a serious meeting...\Going home in a taxi...\It feels like... we're not middle schoolers anymore.\You sure ran late.\Yeah. response:	For only being in middle school, they sure work hard, huh?
context: Man, I want to win.\Especially for Hattori who did all that for us.\A high-class meal and a serious meeting...\Going home in a taxi...\It feels like... we're not middle schoolers anymore.\You sure ran late.\Yeah.\For only being in middle school, they sure work hard, huh? response:	What's wrong?
context: Especially for Hattori who did all that for us.\A high-class meal and a serious meeting...\Going home in a taxi...\It feels like... we're not middle schoolers anymore.\You sure ran late.\Yeah.\For only being in middle school, they sure work hard, huh?\What's wrong? response:	That's true, but for some reason those two are in a hurry.
context: A high-class meal and a serious meeting...\Going home in a taxi...\It feels like... we're not middle schoolers anymore.\You sure ran late.\Yeah.\For only being in middle school, they sure work hard, huh?\What's wrong?\That's true, but for some reason those two are in a hurry. response:	Even about not getting serialized for three more years when they've graduated high school.
context: Going home in a taxi...\It feels like... we're not middle schoolers anymore.\You sure ran late.\Yeah.\For only being in middle school, they sure work hard, huh?\What's wrong?\That's true, but for some reason those two are in a hurry.\Even about not getting serialized for three more years when they've graduated high school. response:	Well, you know...
context: It feels like... we're not middle schoolers anymore.\You sure ran late.\Yeah.\For only being in middle school, they sure work hard, huh?\What's wrong?\That's true, but for some reason those two are in a hurry.\Even about not getting serialized for three more years when they've graduated high school.\Well, you know... response:	thee years for us is totally different from three years for them.
context: You sure ran late.\Yeah.\For only being in middle school, they sure work hard, huh?\What's wrong?\That's true, but for some reason those two are in a hurry.\Even about not getting serialized for three more years when they've graduated high school.\Well, you know...\thee years for us is totally different from three years for them. response:	You might be right.
