context: This Scissor Blade was left behind by the person who killed my father! response:	You're going to tell me!
context: I thought you wanted blood.\At this rate of blood loss,\you will lose consciousness in five minutes.\Don't sound so calm about it!\We'll have a leisurely chat another day, Satsuki Kiryuin!\Don't let her escape! After her! After her!\Don't bother.\B-But milady! response:	She'll be back. Leave her be until then.
context: At this rate of blood loss,\you will lose consciousness in five minutes.\Don't sound so calm about it!\We'll have a leisurely chat another day, Satsuki Kiryuin!\Don't let her escape! After her! After her!\Don't bother.\B-But milady!\She'll be back. Leave her be until then. response:	Lady Satsuki... You're as dazzling as always.
context: you will lose consciousness in five minutes.\Don't sound so calm about it!\We'll have a leisurely chat another day, Satsuki Kiryuin!\Don't let her escape! After her! After her!\Don't bother.\B-But milady!\She'll be back. Leave her be until then.\Lady Satsuki... You're as dazzling as always. response:	Your tea, Miss.
context: Don't sound so calm about it!\We'll have a leisurely chat another day, Satsuki Kiryuin!\Don't let her escape! After her! After her!\Don't bother.\B-But milady!\She'll be back. Leave her be until then.\Lady Satsuki... You're as dazzling as always.\Your tea, Miss. response:	A girl in a Kamui, eh?
context: We'll have a leisurely chat another day, Satsuki Kiryuin!\Don't let her escape! After her! After her!\Don't bother.\B-But milady!\She'll be back. Leave her be until then.\Lady Satsuki... You're as dazzling as always.\Your tea, Miss.\A girl in a Kamui, eh? response:	EPISODE 2 SO SEXY SHE MIGHT PASS OUT
context: Don't let her escape! After her! After her!\Don't bother.\B-But milady!\She'll be back. Leave her be until then.\Lady Satsuki... You're as dazzling as always.\Your tea, Miss.\A girl in a Kamui, eh?\EPISODE 2 SO SEXY SHE MIGHT PASS OUT response:	Oh, wow! It's a nearly naked chick!
context: Don't bother.\B-But milady!\She'll be back. Leave her be until then.\Lady Satsuki... You're as dazzling as always.\Your tea, Miss.\A girl in a Kamui, eh?\EPISODE 2 SO SEXY SHE MIGHT PASS OUT\Oh, wow! It's a nearly naked chick! response:	You pervert!
context: B-But milady!\She'll be back. Leave her be until then.\Lady Satsuki... You're as dazzling as always.\Your tea, Miss.\A girl in a Kamui, eh?\EPISODE 2 SO SEXY SHE MIGHT PASS OUT\Oh, wow! It's a nearly naked chick!\You pervert! response:	You dare make a move on me knowing that
context: She'll be back. Leave her be until then.\Lady Satsuki... You're as dazzling as always.\Your tea, Miss.\A girl in a Kamui, eh?\EPISODE 2 SO SEXY SHE MIGHT PASS OUT\Oh, wow! It's a nearly naked chick!\You pervert!\You dare make a move on me knowing that response:	I'm the Kanto Vagabond, the Guitar Case Drifter!?
context: Lady Satsuki... You're as dazzling as always.\Your tea, Miss.\A girl in a Kamui, eh?\EPISODE 2 SO SEXY SHE MIGHT PASS OUT\Oh, wow! It's a nearly naked chick!\You pervert!\You dare make a move on me knowing that\I'm the Kanto Vagabond, the Guitar Case Drifter!? response:	My scissor! My scissor's gone!
context: Your tea, Miss.\A girl in a Kamui, eh?\EPISODE 2 SO SEXY SHE MIGHT PASS OUT\Oh, wow! It's a nearly naked chick!\You pervert!\You dare make a move on me knowing that\I'm the Kanto Vagabond, the Guitar Case Drifter!?\My scissor! My scissor's gone! response:	Ryuko!
context: A girl in a Kamui, eh?\EPISODE 2 SO SEXY SHE MIGHT PASS OUT\Oh, wow! It's a nearly naked chick!\You pervert!\You dare make a move on me knowing that\I'm the Kanto Vagabond, the Guitar Case Drifter!?\My scissor! My scissor's gone!\Ryuko! response:	Thanks! Be careful, Mako! This perv tried to
context: EPISODE 2 SO SEXY SHE MIGHT PASS OUT\Oh, wow! It's a nearly naked chick!\You pervert!\You dare make a move on me knowing that\I'm the Kanto Vagabond, the Guitar Case Drifter!?\My scissor! My scissor's gone!\Ryuko!\Thanks! Be careful, Mako! This perv tried to response:	Dad, what do you think you're doing?
context: Oh, wow! It's a nearly naked chick!\You pervert!\You dare make a move on me knowing that\I'm the Kanto Vagabond, the Guitar Case Drifter!?\My scissor! My scissor's gone!\Ryuko!\Thanks! Be careful, Mako! This perv tried to\Dad, what do you think you're doing? response:	Dad?
context: You pervert!\You dare make a move on me knowing that\I'm the Kanto Vagabond, the Guitar Case Drifter!?\My scissor! My scissor's gone!\Ryuko!\Thanks! Be careful, Mako! This perv tried to\Dad, what do you think you're doing?\Dad? response:	Dad?!
context: You dare make a move on me knowing that\I'm the Kanto Vagabond, the Guitar Case Drifter!?\My scissor! My scissor's gone!\Ryuko!\Thanks! Be careful, Mako! This perv tried to\Dad, what do you think you're doing?\Dad?\Dad?! response:	I'm so sorry!
context: I'm the Kanto Vagabond, the Guitar Case Drifter!?\My scissor! My scissor's gone!\Ryuko!\Thanks! Be careful, Mako! This perv tried to\Dad, what do you think you're doing?\Dad?\Dad?!\I'm so sorry! response:	Wow, I really felt that one!
context: My scissor! My scissor's gone!\Ryuko!\Thanks! Be careful, Mako! This perv tried to\Dad, what do you think you're doing?\Dad?\Dad?!\I'm so sorry!\Wow, I really felt that one! response:	You've got a great punch, Miss!
context: Ryuko!\Thanks! Be careful, Mako! This perv tried to\Dad, what do you think you're doing?\Dad?\Dad?!\I'm so sorry!\Wow, I really felt that one!\You've got a great punch, Miss! response:	Of course she does! I owe her for saving my life!
context: Thanks! Be careful, Mako! This perv tried to\Dad, what do you think you're doing?\Dad?\Dad?!\I'm so sorry!\Wow, I really felt that one!\You've got a great punch, Miss!\Of course she does! I owe her for saving my life! response:	BARAZO MANKANSHOKU
context: Dad, what do you think you're doing?\Dad?\Dad?!\I'm so sorry!\Wow, I really felt that one!\You've got a great punch, Miss!\Of course she does! I owe her for saving my life!\BARAZO MANKANSHOKU response:	You were totally bad-ass,
context: Dad?\Dad?!\I'm so sorry!\Wow, I really felt that one!\You've got a great punch, Miss!\Of course she does! I owe her for saving my life!\BARAZO MANKANSHOKU\You were totally bad-ass, response:	swinging that scissor around half-naked!
context: Dad?!\I'm so sorry!\Wow, I really felt that one!\You've got a great punch, Miss!\Of course she does! I owe her for saving my life!\BARAZO MANKANSHOKU\You were totally bad-ass,\swinging that scissor around half-naked! response:	MATARO MANKANSHOKU
context: I'm so sorry!\Wow, I really felt that one!\You've got a great punch, Miss!\Of course she does! I owe her for saving my life!\BARAZO MANKANSHOKU\You were totally bad-ass,\swinging that scissor around half-naked!\MATARO MANKANSHOKU response:	Nobody in their right mind could fight dressed like that!
context: Wow, I really felt that one!\You've got a great punch, Miss!\Of course she does! I owe her for saving my life!\BARAZO MANKANSHOKU\You were totally bad-ass,\swinging that scissor around half-naked!\MATARO MANKANSHOKU\Nobody in their right mind could fight dressed like that! response:	Bite me! It's complicated, all right?
context: You've got a great punch, Miss!\Of course she does! I owe her for saving my life!\BARAZO MANKANSHOKU\You were totally bad-ass,\swinging that scissor around half-naked!\MATARO MANKANSHOKU\Nobody in their right mind could fight dressed like that!\Bite me! It's complicated, all right? response:	That hurt, damn it!
context: Of course she does! I owe her for saving my life!\BARAZO MANKANSHOKU\You were totally bad-ass,\swinging that scissor around half-naked!\MATARO MANKANSHOKU\Nobody in their right mind could fight dressed like that!\Bite me! It's complicated, all right?\That hurt, damn it! response:	I was the one who carried you here!
context: BARAZO MANKANSHOKU\You were totally bad-ass,\swinging that scissor around half-naked!\MATARO MANKANSHOKU\Nobody in their right mind could fight dressed like that!\Bite me! It's complicated, all right?\That hurt, damn it!\I was the one who carried you here! response:	If belting my husband or Mataro makes you feel better,
context: You were totally bad-ass,\swinging that scissor around half-naked!\MATARO MANKANSHOKU\Nobody in their right mind could fight dressed like that!\Bite me! It's complicated, all right?\That hurt, damn it!\I was the one who carried you here!\If belting my husband or Mataro makes you feel better, response:	feel free to belt away!
context: swinging that scissor around half-naked!\MATARO MANKANSHOKU\Nobody in their right mind could fight dressed like that!\Bite me! It's complicated, all right?\That hurt, damn it!\I was the one who carried you here!\If belting my husband or Mataro makes you feel better,\feel free to belt away! response:	SUKUYO MANKANSHOKU
context: MATARO MANKANSHOKU\Nobody in their right mind could fight dressed like that!\Bite me! It's complicated, all right?\That hurt, damn it!\I was the one who carried you here!\If belting my husband or Mataro makes you feel better,\feel free to belt away!\SUKUYO MANKANSHOKU response:	BACK-ALLEY DOCTOR MANKANSHOKU
context: Nobody in their right mind could fight dressed like that!\Bite me! It's complicated, all right?\That hurt, damn it!\I was the one who carried you here!\If belting my husband or Mataro makes you feel better,\feel free to belt away!\SUKUYO MANKANSHOKU\BACK-ALLEY DOCTOR MANKANSHOKU response:	How did I
context: Bite me! It's complicated, all right?\That hurt, damn it!\I was the one who carried you here!\If belting my husband or Mataro makes you feel better,\feel free to belt away!\SUKUYO MANKANSHOKU\BACK-ALLEY DOCTOR MANKANSHOKU\How did I response:	Daddy treated you!
context: That hurt, damn it!\I was the one who carried you here!\If belting my husband or Mataro makes you feel better,\feel free to belt away!\SUKUYO MANKANSHOKU\BACK-ALLEY DOCTOR MANKANSHOKU\How did I\Daddy treated you! response:	You'd never guess it, but he's a back-alley doctor.
context: I was the one who carried you here!\If belting my husband or Mataro makes you feel better,\feel free to belt away!\SUKUYO MANKANSHOKU\BACK-ALLEY DOCTOR MANKANSHOKU\How did I\Daddy treated you!\You'd never guess it, but he's a back-alley doctor. response:	If you compare the number of people he's killed
context: If belting my husband or Mataro makes you feel better,\feel free to belt away!\SUKUYO MANKANSHOKU\BACK-ALLEY DOCTOR MANKANSHOKU\How did I\Daddy treated you!\You'd never guess it, but he's a back-alley doctor.\If you compare the number of people he's killed response:	versus those he's saved, he's killed more!
context: feel free to belt away!\SUKUYO MANKANSHOKU\BACK-ALLEY DOCTOR MANKANSHOKU\How did I\Daddy treated you!\You'd never guess it, but he's a back-alley doctor.\If you compare the number of people he's killed\versus those he's saved, he's killed more! response:	That's a bad thing.
context: SUKUYO MANKANSHOKU\BACK-ALLEY DOCTOR MANKANSHOKU\How did I\Daddy treated you!\You'd never guess it, but he's a back-alley doctor.\If you compare the number of people he's killed\versus those he's saved, he's killed more!\That's a bad thing. response:	Don't worry about it.
context: BACK-ALLEY DOCTOR MANKANSHOKU\How did I\Daddy treated you!\You'd never guess it, but he's a back-alley doctor.\If you compare the number of people he's killed\versus those he's saved, he's killed more!\That's a bad thing.\Don't worry about it. response:	The dead ones don't sue you.
context: How did I\Daddy treated you!\You'd never guess it, but he's a back-alley doctor.\If you compare the number of people he's killed\versus those he's saved, he's killed more!\That's a bad thing.\Don't worry about it.\The dead ones don't sue you. response:	Oh, right!
context: Daddy treated you!\You'd never guess it, but he's a back-alley doctor.\If you compare the number of people he's killed\versus those he's saved, he's killed more!\That's a bad thing.\Don't worry about it.\The dead ones don't sue you.\Oh, right! response:	I know it's nothing fancy, but eat all you like!
context: You'd never guess it, but he's a back-alley doctor.\If you compare the number of people he's killed\versus those he's saved, he's killed more!\That's a bad thing.\Don't worry about it.\The dead ones don't sue you.\Oh, right!\I know it's nothing fancy, but eat all you like! response:	Go ahead, Ryuko! Don't be shy!
context: If you compare the number of people he's killed\versus those he's saved, he's killed more!\That's a bad thing.\Don't worry about it.\The dead ones don't sue you.\Oh, right!\I know it's nothing fancy, but eat all you like!\Go ahead, Ryuko! Don't be shy! response:	It's unidentifiable stuff made into croquettes
context: versus those he's saved, he's killed more!\That's a bad thing.\Don't worry about it.\The dead ones don't sue you.\Oh, right!\I know it's nothing fancy, but eat all you like!\Go ahead, Ryuko! Don't be shy!\It's unidentifiable stuff made into croquettes response:	and unidentifiable stuff in miso soup!
context: That's a bad thing.\Don't worry about it.\The dead ones don't sue you.\Oh, right!\I know it's nothing fancy, but eat all you like!\Go ahead, Ryuko! Don't be shy!\It's unidentifiable stuff made into croquettes\and unidentifiable stuff in miso soup! response:	Oh, you! I use only non-poisonous ingredients.
context: Don't worry about it.\The dead ones don't sue you.\Oh, right!\I know it's nothing fancy, but eat all you like!\Go ahead, Ryuko! Don't be shy!\It's unidentifiable stuff made into croquettes\and unidentifiable stuff in miso soup!\Oh, you! I use only non-poisonous ingredients. response:	Better dig in before I eat it all!
context: The dead ones don't sue you.\Oh, right!\I know it's nothing fancy, but eat all you like!\Go ahead, Ryuko! Don't be shy!\It's unidentifiable stuff made into croquettes\and unidentifiable stuff in miso soup!\Oh, you! I use only non-poisonous ingredients.\Better dig in before I eat it all! response:	Down, Guts! Your food is out there!
context: Oh, right!\I know it's nothing fancy, but eat all you like!\Go ahead, Ryuko! Don't be shy!\It's unidentifiable stuff made into croquettes\and unidentifiable stuff in miso soup!\Oh, you! I use only non-poisonous ingredients.\Better dig in before I eat it all!\Down, Guts! Your food is out there! response:	GUTS
context: I know it's nothing fancy, but eat all you like!\Go ahead, Ryuko! Don't be shy!\It's unidentifiable stuff made into croquettes\and unidentifiable stuff in miso soup!\Oh, you! I use only non-poisonous ingredients.\Better dig in before I eat it all!\Down, Guts! Your food is out there!\GUTS response:	We call him Guts'cause he eats with gusto.
context: Go ahead, Ryuko! Don't be shy!\It's unidentifiable stuff made into croquettes\and unidentifiable stuff in miso soup!\Oh, you! I use only non-poisonous ingredients.\Better dig in before I eat it all!\Down, Guts! Your food is out there!\GUTS\We call him Guts'cause he eats with gusto. response:	You were anemic, little lady, so eat up!
context: It's unidentifiable stuff made into croquettes\and unidentifiable stuff in miso soup!\Oh, you! I use only non-poisonous ingredients.\Better dig in before I eat it all!\Down, Guts! Your food is out there!\GUTS\We call him Guts'cause he eats with gusto.\You were anemic, little lady, so eat up! response:	Don't just sit there, eat!
context: and unidentifiable stuff in miso soup!\Oh, you! I use only non-poisonous ingredients.\Better dig in before I eat it all!\Down, Guts! Your food is out there!\GUTS\We call him Guts'cause he eats with gusto.\You were anemic, little lady, so eat up!\Don't just sit there, eat! response:	The masses... Fools, all.
context: Oh, you! I use only non-poisonous ingredients.\Better dig in before I eat it all!\Down, Guts! Your food is out there!\GUTS\We call him Guts'cause he eats with gusto.\You were anemic, little lady, so eat up!\Don't just sit there, eat!\The masses... Fools, all. response:	They're swine in human clothing, domesticated by the establishment.
context: Better dig in before I eat it all!\Down, Guts! Your food is out there!\GUTS\We call him Guts'cause he eats with gusto.\You were anemic, little lady, so eat up!\Don't just sit there, eat!\The masses... Fools, all.\They're swine in human clothing, domesticated by the establishment. response:	They must be governed. By Satsuki Kiryuin
context: Down, Guts! Your food is out there!\GUTS\We call him Guts'cause he eats with gusto.\You were anemic, little lady, so eat up!\Don't just sit there, eat!\The masses... Fools, all.\They're swine in human clothing, domesticated by the establishment.\They must be governed. By Satsuki Kiryuin response:	and Honnouji Academy.
context: GUTS\We call him Guts'cause he eats with gusto.\You were anemic, little lady, so eat up!\Don't just sit there, eat!\The masses... Fools, all.\They're swine in human clothing, domesticated by the establishment.\They must be governed. By Satsuki Kiryuin\and Honnouji Academy. response:	It is we who shall pave the way to humanity's future.
context: We call him Guts'cause he eats with gusto.\You were anemic, little lady, so eat up!\Don't just sit there, eat!\The masses... Fools, all.\They're swine in human clothing, domesticated by the establishment.\They must be governed. By Satsuki Kiryuin\and Honnouji Academy.\It is we who shall pave the way to humanity's future. response:	The Goku Uniforms are weapons meant for that end.
context: You were anemic, little lady, so eat up!\Don't just sit there, eat!\The masses... Fools, all.\They're swine in human clothing, domesticated by the establishment.\They must be governed. By Satsuki Kiryuin\and Honnouji Academy.\It is we who shall pave the way to humanity's future.\The Goku Uniforms are weapons meant for that end. response:	The uniforms that this country makes its students wear
context: Don't just sit there, eat!\The masses... Fools, all.\They're swine in human clothing, domesticated by the establishment.\They must be governed. By Satsuki Kiryuin\and Honnouji Academy.\It is we who shall pave the way to humanity's future.\The Goku Uniforms are weapons meant for that end.\The uniforms that this country makes its students wear response:	are based on military uniforms.
context: The masses... Fools, all.\They're swine in human clothing, domesticated by the establishment.\They must be governed. By Satsuki Kiryuin\and Honnouji Academy.\It is we who shall pave the way to humanity's future.\The Goku Uniforms are weapons meant for that end.\The uniforms that this country makes its students wear\are based on military uniforms. response:	The raised collars on boys' uniforms comes from the army.
context: They're swine in human clothing, domesticated by the establishment.\They must be governed. By Satsuki Kiryuin\and Honnouji Academy.\It is we who shall pave the way to humanity's future.\The Goku Uniforms are weapons meant for that end.\The uniforms that this country makes its students wear\are based on military uniforms.\The raised collars on boys' uniforms comes from the army. response:	Girls' sailor uniforms are just that naval uniforms.
context: They must be governed. By Satsuki Kiryuin\and Honnouji Academy.\It is we who shall pave the way to humanity's future.\The Goku Uniforms are weapons meant for that end.\The uniforms that this country makes its students wear\are based on military uniforms.\The raised collars on boys' uniforms comes from the army.\Girls' sailor uniforms are just that naval uniforms. response:	This country is a state that chose to make its youths wear
context: and Honnouji Academy.\It is we who shall pave the way to humanity's future.\The Goku Uniforms are weapons meant for that end.\The uniforms that this country makes its students wear\are based on military uniforms.\The raised collars on boys' uniforms comes from the army.\Girls' sailor uniforms are just that naval uniforms.\This country is a state that chose to make its youths wear response:	military uniforms during their education.
context: It is we who shall pave the way to humanity's future.\The Goku Uniforms are weapons meant for that end.\The uniforms that this country makes its students wear\are based on military uniforms.\The raised collars on boys' uniforms comes from the army.\Girls' sailor uniforms are just that naval uniforms.\This country is a state that chose to make its youths wear\military uniforms during their education. response:	In which case, we at Honnouji Academy
context: The Goku Uniforms are weapons meant for that end.\The uniforms that this country makes its students wear\are based on military uniforms.\The raised collars on boys' uniforms comes from the army.\Girls' sailor uniforms are just that naval uniforms.\This country is a state that chose to make its youths wear\military uniforms during their education.\In which case, we at Honnouji Academy response:	shall treat them as combat uniforms.
context: The uniforms that this country makes its students wear\are based on military uniforms.\The raised collars on boys' uniforms comes from the army.\Girls' sailor uniforms are just that naval uniforms.\This country is a state that chose to make its youths wear\military uniforms during their education.\In which case, we at Honnouji Academy\shall treat them as combat uniforms. response:	They shall be symbols of our control over the pigs in human clothing.
context: are based on military uniforms.\The raised collars on boys' uniforms comes from the army.\Girls' sailor uniforms are just that naval uniforms.\This country is a state that chose to make its youths wear\military uniforms during their education.\In which case, we at Honnouji Academy\shall treat them as combat uniforms.\They shall be symbols of our control over the pigs in human clothing. response:	You of the Sewing Club are the
context: The raised collars on boys' uniforms comes from the army.\Girls' sailor uniforms are just that naval uniforms.\This country is a state that chose to make its youths wear\military uniforms during their education.\In which case, we at Honnouji Academy\shall treat them as combat uniforms.\They shall be symbols of our control over the pigs in human clothing.\You of the Sewing Club are the response:	chosen elite of our Human Conquest and Liberation Project.
context: Girls' sailor uniforms are just that naval uniforms.\This country is a state that chose to make its youths wear\military uniforms during their education.\In which case, we at Honnouji Academy\shall treat them as combat uniforms.\They shall be symbols of our control over the pigs in human clothing.\You of the Sewing Club are the\chosen elite of our Human Conquest and Liberation Project. response:	Take care as you work.
context: This country is a state that chose to make its youths wear\military uniforms during their education.\In which case, we at Honnouji Academy\shall treat them as combat uniforms.\They shall be symbols of our control over the pigs in human clothing.\You of the Sewing Club are the\chosen elite of our Human Conquest and Liberation Project.\Take care as you work. response:	Thank you for your kind words.
context: military uniforms during their education.\In which case, we at Honnouji Academy\shall treat them as combat uniforms.\They shall be symbols of our control over the pigs in human clothing.\You of the Sewing Club are the\chosen elite of our Human Conquest and Liberation Project.\Take care as you work.\Thank you for your kind words. response:	Tennis Club Captain Omiko Hakodate,
context: In which case, we at Honnouji Academy\shall treat them as combat uniforms.\They shall be symbols of our control over the pigs in human clothing.\You of the Sewing Club are the\chosen elite of our Human Conquest and Liberation Project.\Take care as you work.\Thank you for your kind words.\Tennis Club Captain Omiko Hakodate, response:	Third Year Class T, reporting as ordered.
context: shall treat them as combat uniforms.\They shall be symbols of our control over the pigs in human clothing.\You of the Sewing Club are the\chosen elite of our Human Conquest and Liberation Project.\Take care as you work.\Thank you for your kind words.\Tennis Club Captain Omiko Hakodate,\Third Year Class T, reporting as ordered. response:	How are preparations for the Hokkaido interleague match coming?
context: They shall be symbols of our control over the pigs in human clothing.\You of the Sewing Club are the\chosen elite of our Human Conquest and Liberation Project.\Take care as you work.\Thank you for your kind words.\Tennis Club Captain Omiko Hakodate,\Third Year Class T, reporting as ordered.\How are preparations for the Hokkaido interleague match coming? response:	Milady. All club members are devoting themselves entirely to training.
context: You of the Sewing Club are the\chosen elite of our Human Conquest and Liberation Project.\Take care as you work.\Thank you for your kind words.\Tennis Club Captain Omiko Hakodate,\Third Year Class T, reporting as ordered.\How are preparations for the Hokkaido interleague match coming?\Milady. All club members are devoting themselves entirely to training. response:	Those northern bumpkin bears
context: chosen elite of our Human Conquest and Liberation Project.\Take care as you work.\Thank you for your kind words.\Tennis Club Captain Omiko Hakodate,\Third Year Class T, reporting as ordered.\How are preparations for the Hokkaido interleague match coming?\Milady. All club members are devoting themselves entirely to training.\Those northern bumpkin bears response:	will learn down to the marrow of their bones
context: Take care as you work.\Thank you for your kind words.\Tennis Club Captain Omiko Hakodate,\Third Year Class T, reporting as ordered.\How are preparations for the Hokkaido interleague match coming?\Milady. All club members are devoting themselves entirely to training.\Those northern bumpkin bears\will learn down to the marrow of their bones response:	the might of Honnouji Academy and Lady Satsuki Kiryuin.
context: Thank you for your kind words.\Tennis Club Captain Omiko Hakodate,\Third Year Class T, reporting as ordered.\How are preparations for the Hokkaido interleague match coming?\Milady. All club members are devoting themselves entirely to training.\Those northern bumpkin bears\will learn down to the marrow of their bones\the might of Honnouji Academy and Lady Satsuki Kiryuin. response:	This is armed suppression in the guise of an interleague match.
context: Tennis Club Captain Omiko Hakodate,\Third Year Class T, reporting as ordered.\How are preparations for the Hokkaido interleague match coming?\Milady. All club members are devoting themselves entirely to training.\Those northern bumpkin bears\will learn down to the marrow of their bones\the might of Honnouji Academy and Lady Satsuki Kiryuin.\This is armed suppression in the guise of an interleague match. response:	If the Tennis Club is successful,
context: Third Year Class T, reporting as ordered.\How are preparations for the Hokkaido interleague match coming?\Milady. All club members are devoting themselves entirely to training.\Those northern bumpkin bears\will learn down to the marrow of their bones\the might of Honnouji Academy and Lady Satsuki Kiryuin.\This is armed suppression in the guise of an interleague match.\If the Tennis Club is successful, response:	our control of northern Japan will be complete.
context: How are preparations for the Hokkaido interleague match coming?\Milady. All club members are devoting themselves entirely to training.\Those northern bumpkin bears\will learn down to the marrow of their bones\the might of Honnouji Academy and Lady Satsuki Kiryuin.\This is armed suppression in the guise of an interleague match.\If the Tennis Club is successful,\our control of northern Japan will be complete. response:	Don't fail us.
context: Milady. All club members are devoting themselves entirely to training.\Those northern bumpkin bears\will learn down to the marrow of their bones\the might of Honnouji Academy and Lady Satsuki Kiryuin.\This is armed suppression in the guise of an interleague match.\If the Tennis Club is successful,\our control of northern Japan will be complete.\Don't fail us. response:	I understand.
context: Those northern bumpkin bears\will learn down to the marrow of their bones\the might of Honnouji Academy and Lady Satsuki Kiryuin.\This is armed suppression in the guise of an interleague match.\If the Tennis Club is successful,\our control of northern Japan will be complete.\Don't fail us.\I understand. response:	This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform.
context: will learn down to the marrow of their bones\the might of Honnouji Academy and Lady Satsuki Kiryuin.\This is armed suppression in the guise of an interleague match.\If the Tennis Club is successful,\our control of northern Japan will be complete.\Don't fail us.\I understand.\This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform. response:	A gift from Lady Satsuki.
context: the might of Honnouji Academy and Lady Satsuki Kiryuin.\This is armed suppression in the guise of an interleague match.\If the Tennis Club is successful,\our control of northern Japan will be complete.\Don't fail us.\I understand.\This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform.\A gift from Lady Satsuki. response:	At last, a Two-Star Goku Uniform of my very own!
context: This is armed suppression in the guise of an interleague match.\If the Tennis Club is successful,\our control of northern Japan will be complete.\Don't fail us.\I understand.\This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform.\A gift from Lady Satsuki.\At last, a Two-Star Goku Uniform of my very own! response:	Thank you, Milady!
context: If the Tennis Club is successful,\our control of northern Japan will be complete.\Don't fail us.\I understand.\This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform.\A gift from Lady Satsuki.\At last, a Two-Star Goku Uniform of my very own!\Thank you, Milady! response:	Carry out your mission.
context: our control of northern Japan will be complete.\Don't fail us.\I understand.\This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform.\A gift from Lady Satsuki.\At last, a Two-Star Goku Uniform of my very own!\Thank you, Milady!\Carry out your mission. response:	Without fail, Milady!
context: Don't fail us.\I understand.\This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform.\A gift from Lady Satsuki.\At last, a Two-Star Goku Uniform of my very own!\Thank you, Milady!\Carry out your mission.\Without fail, Milady! response:	The entire Tennis Club shall pull together and redouble
context: I understand.\This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform.\A gift from Lady Satsuki.\At last, a Two-Star Goku Uniform of my very own!\Thank you, Milady!\Carry out your mission.\Without fail, Milady!\The entire Tennis Club shall pull together and redouble response:	its efforts and train even harder for the interleague match!
