context: Sometimes, a girl can't stop loving, even if she knows better. response:	She'll find a love she wants to believe in,
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Naru's Cry! Nephrite Dies For Love\Say, Naru, I think it would be better if you forget about him. response:	I can't.
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Naru's Cry! Nephrite Dies For Love\Say, Naru, I think it would be better if you forget about him.\I can't. response:	What?
context: And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Naru's Cry! Nephrite Dies For Love\Say, Naru, I think it would be better if you forget about him.\I can't.\What? response:	No matter how bad he is, I still love him.
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Naru's Cry! Nephrite Dies For Love\Say, Naru, I think it would be better if you forget about him.\I can't.\What?\No matter how bad he is, I still love him. response:	Oh, boy...
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Naru's Cry! Nephrite Dies For Love\Say, Naru, I think it would be better if you forget about him.\I can't.\What?\No matter how bad he is, I still love him.\Oh, boy... response:	Usagi, you have someone you love, don't you?
context: But anyway, I just have to do my best!\Naru's Cry! Nephrite Dies For Love\Say, Naru, I think it would be better if you forget about him.\I can't.\What?\No matter how bad he is, I still love him.\Oh, boy...\Usagi, you have someone you love, don't you? response:	What? Me? Well, yeah.
context: Naru's Cry! Nephrite Dies For Love\Say, Naru, I think it would be better if you forget about him.\I can't.\What?\No matter how bad he is, I still love him.\Oh, boy...\Usagi, you have someone you love, don't you?\What? Me? Well, yeah. response:	Then, you should understand how I feel.
context: Say, Naru, I think it would be better if you forget about him.\I can't.\What?\No matter how bad he is, I still love him.\Oh, boy...\Usagi, you have someone you love, don't you?\What? Me? Well, yeah.\Then, you should understand how I feel. response:	Naru Osaka. Why did the Black Crystal respond to that girl?
context: I can't.\What?\No matter how bad he is, I still love him.\Oh, boy...\Usagi, you have someone you love, don't you?\What? Me? Well, yeah.\Then, you should understand how I feel.\Naru Osaka. Why did the Black Crystal respond to that girl? response:	Was that the energy of love?
context: What?\No matter how bad he is, I still love him.\Oh, boy...\Usagi, you have someone you love, don't you?\What? Me? Well, yeah.\Then, you should understand how I feel.\Naru Osaka. Why did the Black Crystal respond to that girl?\Was that the energy of love? response:	I will protect Mr. Sanjoin!
context: No matter how bad he is, I still love him.\Oh, boy...\Usagi, you have someone you love, don't you?\What? Me? Well, yeah.\Then, you should understand how I feel.\Naru Osaka. Why did the Black Crystal respond to that girl?\Was that the energy of love?\I will protect Mr. Sanjoin! response:	Because I love him. I love him with all my heart, so...
context: Oh, boy...\Usagi, you have someone you love, don't you?\What? Me? Well, yeah.\Then, you should understand how I feel.\Naru Osaka. Why did the Black Crystal respond to that girl?\Was that the energy of love?\I will protect Mr. Sanjoin!\Because I love him. I love him with all my heart, so... response:	It's ridiculous!
context: Usagi, you have someone you love, don't you?\What? Me? Well, yeah.\Then, you should understand how I feel.\Naru Osaka. Why did the Black Crystal respond to that girl?\Was that the energy of love?\I will protect Mr. Sanjoin!\Because I love him. I love him with all my heart, so...\It's ridiculous! response:	Sailor Moon knew that girl's name.
context: What? Me? Well, yeah.\Then, you should understand how I feel.\Naru Osaka. Why did the Black Crystal respond to that girl?\Was that the energy of love?\I will protect Mr. Sanjoin!\Because I love him. I love him with all my heart, so...\It's ridiculous!\Sailor Moon knew that girl's name. response:	That girl must know Sailor Moon's true identity.
context: Then, you should understand how I feel.\Naru Osaka. Why did the Black Crystal respond to that girl?\Was that the energy of love?\I will protect Mr. Sanjoin!\Because I love him. I love him with all my heart, so...\It's ridiculous!\Sailor Moon knew that girl's name.\That girl must know Sailor Moon's true identity. response:	Just you watch, Sailor Moon!
context: Naru Osaka. Why did the Black Crystal respond to that girl?\Was that the energy of love?\I will protect Mr. Sanjoin!\Because I love him. I love him with all my heart, so...\It's ridiculous!\Sailor Moon knew that girl's name.\That girl must know Sailor Moon's true identity.\Just you watch, Sailor Moon! response:	I've found it.
context: Was that the energy of love?\I will protect Mr. Sanjoin!\Because I love him. I love him with all my heart, so...\It's ridiculous!\Sailor Moon knew that girl's name.\That girl must know Sailor Moon's true identity.\Just you watch, Sailor Moon!\I've found it. response:	So, that is the Black Crystal that's supposed to reveal
context: I will protect Mr. Sanjoin!\Because I love him. I love him with all my heart, so...\It's ridiculous!\Sailor Moon knew that girl's name.\That girl must know Sailor Moon's true identity.\Just you watch, Sailor Moon!\I've found it.\So, that is the Black Crystal that's supposed to reveal response:	the location of the Silver Crystal.
context: Because I love him. I love him with all my heart, so...\It's ridiculous!\Sailor Moon knew that girl's name.\That girl must know Sailor Moon's true identity.\Just you watch, Sailor Moon!\I've found it.\So, that is the Black Crystal that's supposed to reveal\the location of the Silver Crystal. response:	Jewelry
context: It's ridiculous!\Sailor Moon knew that girl's name.\That girl must know Sailor Moon's true identity.\Just you watch, Sailor Moon!\I've found it.\So, that is the Black Crystal that's supposed to reveal\the location of the Silver Crystal.\Jewelry response:	The Black Crystal is responding again.
context: Sailor Moon knew that girl's name.\That girl must know Sailor Moon's true identity.\Just you watch, Sailor Moon!\I've found it.\So, that is the Black Crystal that's supposed to reveal\the location of the Silver Crystal.\Jewelry\The Black Crystal is responding again. response:	This girl...
context: That girl must know Sailor Moon's true identity.\Just you watch, Sailor Moon!\I've found it.\So, that is the Black Crystal that's supposed to reveal\the location of the Silver Crystal.\Jewelry\The Black Crystal is responding again.\This girl... response:	Could the Silver Crystal be something inside a human body?
context: Just you watch, Sailor Moon!\I've found it.\So, that is the Black Crystal that's supposed to reveal\the location of the Silver Crystal.\Jewelry\The Black Crystal is responding again.\This girl...\Could the Silver Crystal be something inside a human body? response:	No.
context: I've found it.\So, that is the Black Crystal that's supposed to reveal\the location of the Silver Crystal.\Jewelry\The Black Crystal is responding again.\This girl...\Could the Silver Crystal be something inside a human body?\No. response:	The Silver Crystal is not inside this girl.
context: So, that is the Black Crystal that's supposed to reveal\the location of the Silver Crystal.\Jewelry\The Black Crystal is responding again.\This girl...\Could the Silver Crystal be something inside a human body?\No.\The Silver Crystal is not inside this girl. response:	Mr. Sanjoin?
context: the location of the Silver Crystal.\Jewelry\The Black Crystal is responding again.\This girl...\Could the Silver Crystal be something inside a human body?\No.\The Silver Crystal is not inside this girl.\Mr. Sanjoin? response:	Masato Sanjoin is only a disguise. My real name is Nephrite.
context: Jewelry\The Black Crystal is responding again.\This girl...\Could the Silver Crystal be something inside a human body?\No.\The Silver Crystal is not inside this girl.\Mr. Sanjoin?\Masato Sanjoin is only a disguise. My real name is Nephrite. response:	I do not want to lie to you anymore.
context: The Black Crystal is responding again.\This girl...\Could the Silver Crystal be something inside a human body?\No.\The Silver Crystal is not inside this girl.\Mr. Sanjoin?\Masato Sanjoin is only a disguise. My real name is Nephrite.\I do not want to lie to you anymore. response:	Please just stay there and listen.
context: This girl...\Could the Silver Crystal be something inside a human body?\No.\The Silver Crystal is not inside this girl.\Mr. Sanjoin?\Masato Sanjoin is only a disguise. My real name is Nephrite.\I do not want to lie to you anymore.\Please just stay there and listen. response:	Okay.
context: Could the Silver Crystal be something inside a human body?\No.\The Silver Crystal is not inside this girl.\Mr. Sanjoin?\Masato Sanjoin is only a disguise. My real name is Nephrite.\I do not want to lie to you anymore.\Please just stay there and listen.\Okay. response:	You are a wonderful girl.
context: No.\The Silver Crystal is not inside this girl.\Mr. Sanjoin?\Masato Sanjoin is only a disguise. My real name is Nephrite.\I do not want to lie to you anymore.\Please just stay there and listen.\Okay.\You are a wonderful girl. response:	Thanks to you, I have learned what love is for the first time.
context: The Silver Crystal is not inside this girl.\Mr. Sanjoin?\Masato Sanjoin is only a disguise. My real name is Nephrite.\I do not want to lie to you anymore.\Please just stay there and listen.\Okay.\You are a wonderful girl.\Thanks to you, I have learned what love is for the first time. response:	In the evil organization I have been a part of, there is no love.
context: Mr. Sanjoin?\Masato Sanjoin is only a disguise. My real name is Nephrite.\I do not want to lie to you anymore.\Please just stay there and listen.\Okay.\You are a wonderful girl.\Thanks to you, I have learned what love is for the first time.\In the evil organization I have been a part of, there is no love. response:	We betray each other and kill each other for our own gain.
context: Masato Sanjoin is only a disguise. My real name is Nephrite.\I do not want to lie to you anymore.\Please just stay there and listen.\Okay.\You are a wonderful girl.\Thanks to you, I have learned what love is for the first time.\In the evil organization I have been a part of, there is no love.\We betray each other and kill each other for our own gain. response:	I thought that was normal, but your love opened my eyes.
context: I do not want to lie to you anymore.\Please just stay there and listen.\Okay.\You are a wonderful girl.\Thanks to you, I have learned what love is for the first time.\In the evil organization I have been a part of, there is no love.\We betray each other and kill each other for our own gain.\I thought that was normal, but your love opened my eyes. response:	Now, I am thinking that I would like to join Sailor Moon
context: Please just stay there and listen.\Okay.\You are a wonderful girl.\Thanks to you, I have learned what love is for the first time.\In the evil organization I have been a part of, there is no love.\We betray each other and kill each other for our own gain.\I thought that was normal, but your love opened my eyes.\Now, I am thinking that I would like to join Sailor Moon response:	to fight against the evil organization.
context: Okay.\You are a wonderful girl.\Thanks to you, I have learned what love is for the first time.\In the evil organization I have been a part of, there is no love.\We betray each other and kill each other for our own gain.\I thought that was normal, but your love opened my eyes.\Now, I am thinking that I would like to join Sailor Moon\to fight against the evil organization. response:	If you know anything about Sailor Moon, please tell me.
context: You are a wonderful girl.\Thanks to you, I have learned what love is for the first time.\In the evil organization I have been a part of, there is no love.\We betray each other and kill each other for our own gain.\I thought that was normal, but your love opened my eyes.\Now, I am thinking that I would like to join Sailor Moon\to fight against the evil organization.\If you know anything about Sailor Moon, please tell me. response:	I'm sorry, but I don't know anything.
context: Thanks to you, I have learned what love is for the first time.\In the evil organization I have been a part of, there is no love.\We betray each other and kill each other for our own gain.\I thought that was normal, but your love opened my eyes.\Now, I am thinking that I would like to join Sailor Moon\to fight against the evil organization.\If you know anything about Sailor Moon, please tell me.\I'm sorry, but I don't know anything. response:	Can you not trust me?
context: In the evil organization I have been a part of, there is no love.\We betray each other and kill each other for our own gain.\I thought that was normal, but your love opened my eyes.\Now, I am thinking that I would like to join Sailor Moon\to fight against the evil organization.\If you know anything about Sailor Moon, please tell me.\I'm sorry, but I don't know anything.\Can you not trust me? response:	No! I trust you! But I really, really know nothing!
context: We betray each other and kill each other for our own gain.\I thought that was normal, but your love opened my eyes.\Now, I am thinking that I would like to join Sailor Moon\to fight against the evil organization.\If you know anything about Sailor Moon, please tell me.\I'm sorry, but I don't know anything.\Can you not trust me?\No! I trust you! But I really, really know nothing! response:	I see, I'm sorry to hear that.
context: I thought that was normal, but your love opened my eyes.\Now, I am thinking that I would like to join Sailor Moon\to fight against the evil organization.\If you know anything about Sailor Moon, please tell me.\I'm sorry, but I don't know anything.\Can you not trust me?\No! I trust you! But I really, really know nothing!\I see, I'm sorry to hear that. response:	Oh, please wait!
context: Now, I am thinking that I would like to join Sailor Moon\to fight against the evil organization.\If you know anything about Sailor Moon, please tell me.\I'm sorry, but I don't know anything.\Can you not trust me?\No! I trust you! But I really, really know nothing!\I see, I'm sorry to hear that.\Oh, please wait! response:	Mr. Nephrite...
context: to fight against the evil organization.\If you know anything about Sailor Moon, please tell me.\I'm sorry, but I don't know anything.\Can you not trust me?\No! I trust you! But I really, really know nothing!\I see, I'm sorry to hear that.\Oh, please wait!\Mr. Nephrite... response:	If this girl knows who Sailor Moon is,
context: If you know anything about Sailor Moon, please tell me.\I'm sorry, but I don't know anything.\Can you not trust me?\No! I trust you! But I really, really know nothing!\I see, I'm sorry to hear that.\Oh, please wait!\Mr. Nephrite...\If this girl knows who Sailor Moon is, response:	she is certain to contact her somehow.
context: I'm sorry, but I don't know anything.\Can you not trust me?\No! I trust you! But I really, really know nothing!\I see, I'm sorry to hear that.\Oh, please wait!\Mr. Nephrite...\If this girl knows who Sailor Moon is,\she is certain to contact her somehow. response:	Oh, my, what a foolish man.
context: Can you not trust me?\No! I trust you! But I really, really know nothing!\I see, I'm sorry to hear that.\Oh, please wait!\Mr. Nephrite...\If this girl knows who Sailor Moon is,\she is certain to contact her somehow.\Oh, my, what a foolish man. response:	Has he fallen in love with a human girl?
context: No! I trust you! But I really, really know nothing!\I see, I'm sorry to hear that.\Oh, please wait!\Mr. Nephrite...\If this girl knows who Sailor Moon is,\she is certain to contact her somehow.\Oh, my, what a foolish man.\Has he fallen in love with a human girl? response:	Master Zoisite!
context: I see, I'm sorry to hear that.\Oh, please wait!\Mr. Nephrite...\If this girl knows who Sailor Moon is,\she is certain to contact her somehow.\Oh, my, what a foolish man.\Has he fallen in love with a human girl?\Master Zoisite! response:	You three, I believe you've heard everything you need to know.
context: Oh, please wait!\Mr. Nephrite...\If this girl knows who Sailor Moon is,\she is certain to contact her somehow.\Oh, my, what a foolish man.\Has he fallen in love with a human girl?\Master Zoisite!\You three, I believe you've heard everything you need to know. response:	What a stupid man.
context: Mr. Nephrite...\If this girl knows who Sailor Moon is,\she is certain to contact her somehow.\Oh, my, what a foolish man.\Has he fallen in love with a human girl?\Master Zoisite!\You three, I believe you've heard everything you need to know.\What a stupid man. response:	Let's attack him now!
context: If this girl knows who Sailor Moon is,\she is certain to contact her somehow.\Oh, my, what a foolish man.\Has he fallen in love with a human girl?\Master Zoisite!\You three, I believe you've heard everything you need to know.\What a stupid man.\Let's attack him now! response:	Now, be patient. Nephrite is a superb warrior.
context: she is certain to contact her somehow.\Oh, my, what a foolish man.\Has he fallen in love with a human girl?\Master Zoisite!\You three, I believe you've heard everything you need to know.\What a stupid man.\Let's attack him now!\Now, be patient. Nephrite is a superb warrior. response:	We don't want to get hurt by making any ill-planned moves.
context: Oh, my, what a foolish man.\Has he fallen in love with a human girl?\Master Zoisite!\You three, I believe you've heard everything you need to know.\What a stupid man.\Let's attack him now!\Now, be patient. Nephrite is a superb warrior.\We don't want to get hurt by making any ill-planned moves. response:	We'll take that girl as a hostage and lure him out.
context: Has he fallen in love with a human girl?\Master Zoisite!\You three, I believe you've heard everything you need to know.\What a stupid man.\Let's attack him now!\Now, be patient. Nephrite is a superb warrior.\We don't want to get hurt by making any ill-planned moves.\We'll take that girl as a hostage and lure him out. response:	Yes, Sir.
context: Master Zoisite!\You three, I believe you've heard everything you need to know.\What a stupid man.\Let's attack him now!\Now, be patient. Nephrite is a superb warrior.\We don't want to get hurt by making any ill-planned moves.\We'll take that girl as a hostage and lure him out.\Yes, Sir. response:	How can I find out where Sailor Moon is?
context: You three, I believe you've heard everything you need to know.\What a stupid man.\Let's attack him now!\Now, be patient. Nephrite is a superb warrior.\We don't want to get hurt by making any ill-planned moves.\We'll take that girl as a hostage and lure him out.\Yes, Sir.\How can I find out where Sailor Moon is? response:	Usagi! Phone call!
context: What a stupid man.\Let's attack him now!\Now, be patient. Nephrite is a superb warrior.\We don't want to get hurt by making any ill-planned moves.\We'll take that girl as a hostage and lure him out.\Yes, Sir.\How can I find out where Sailor Moon is?\Usagi! Phone call! response:	Who in the world is calling me in the middle of night?
context: Let's attack him now!\Now, be patient. Nephrite is a superb warrior.\We don't want to get hurt by making any ill-planned moves.\We'll take that girl as a hostage and lure him out.\Yes, Sir.\How can I find out where Sailor Moon is?\Usagi! Phone call!\Who in the world is calling me in the middle of night? response:	Hello?
context: Now, be patient. Nephrite is a superb warrior.\We don't want to get hurt by making any ill-planned moves.\We'll take that girl as a hostage and lure him out.\Yes, Sir.\How can I find out where Sailor Moon is?\Usagi! Phone call!\Who in the world is calling me in the middle of night?\Hello? response:	Hello?!
context: We don't want to get hurt by making any ill-planned moves.\We'll take that girl as a hostage and lure him out.\Yes, Sir.\How can I find out where Sailor Moon is?\Usagi! Phone call!\Who in the world is calling me in the middle of night?\Hello?\Hello?! response:	Usagi, I'm sorry for calling you so late.
context: We'll take that girl as a hostage and lure him out.\Yes, Sir.\How can I find out where Sailor Moon is?\Usagi! Phone call!\Who in the world is calling me in the middle of night?\Hello?\Hello?!\Usagi, I'm sorry for calling you so late. response:	Naru!
context: Yes, Sir.\How can I find out where Sailor Moon is?\Usagi! Phone call!\Who in the world is calling me in the middle of night?\Hello?\Hello?!\Usagi, I'm sorry for calling you so late.\Naru! response:	What's wrong?
context: How can I find out where Sailor Moon is?\Usagi! Phone call!\Who in the world is calling me in the middle of night?\Hello?\Hello?!\Usagi, I'm sorry for calling you so late.\Naru!\What's wrong? response:	I just thought you're the only one I could talk to.
context: Usagi! Phone call!\Who in the world is calling me in the middle of night?\Hello?\Hello?!\Usagi, I'm sorry for calling you so late.\Naru!\What's wrong?\I just thought you're the only one I could talk to. response:	Did something happen?
context: Who in the world is calling me in the middle of night?\Hello?\Hello?!\Usagi, I'm sorry for calling you so late.\Naru!\What's wrong?\I just thought you're the only one I could talk to.\Did something happen? response:	Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon.
context: Hello?\Hello?!\Usagi, I'm sorry for calling you so late.\Naru!\What's wrong?\I just thought you're the only one I could talk to.\Did something happen?\Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon. response:	What?
context: Hello?!\Usagi, I'm sorry for calling you so late.\Naru!\What's wrong?\I just thought you're the only one I could talk to.\Did something happen?\Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon.\What? response:	Mr. Sanjoin is in trouble, but I can't do anything for him.
context: Usagi, I'm sorry for calling you so late.\Naru!\What's wrong?\I just thought you're the only one I could talk to.\Did something happen?\Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon.\What?\Mr. Sanjoin is in trouble, but I can't do anything for him. response:	What's wrong with Mr. Sanjoin?
context: Naru!\What's wrong?\I just thought you're the only one I could talk to.\Did something happen?\Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon.\What?\Mr. Sanjoin is in trouble, but I can't do anything for him.\What's wrong with Mr. Sanjoin? response:	Naru, are you crying?
context: What's wrong?\I just thought you're the only one I could talk to.\Did something happen?\Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon.\What?\Mr. Sanjoin is in trouble, but I can't do anything for him.\What's wrong with Mr. Sanjoin?\Naru, are you crying? response:	I'm sorry for making such a weird call to you in the middle of night.
context: I just thought you're the only one I could talk to.\Did something happen?\Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon.\What?\Mr. Sanjoin is in trouble, but I can't do anything for him.\What's wrong with Mr. Sanjoin?\Naru, are you crying?\I'm sorry for making such a weird call to you in the middle of night. response:	I'm okay now.
context: Did something happen?\Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon.\What?\Mr. Sanjoin is in trouble, but I can't do anything for him.\What's wrong with Mr. Sanjoin?\Naru, are you crying?\I'm sorry for making such a weird call to you in the middle of night.\I'm okay now. response:	But...
context: Mr. Sanjoin... Mr. Sanjoin is looking for Sailor Moon.\What?\Mr. Sanjoin is in trouble, but I can't do anything for him.\What's wrong with Mr. Sanjoin?\Naru, are you crying?\I'm sorry for making such a weird call to you in the middle of night.\I'm okay now.\But... response:	Really, I'm okay.
context: What?\Mr. Sanjoin is in trouble, but I can't do anything for him.\What's wrong with Mr. Sanjoin?\Naru, are you crying?\I'm sorry for making such a weird call to you in the middle of night.\I'm okay now.\But...\Really, I'm okay. response:	I feel calmer now after talking to you, Usagi. Thank you.
context: Mr. Sanjoin is in trouble, but I can't do anything for him.\What's wrong with Mr. Sanjoin?\Naru, are you crying?\I'm sorry for making such a weird call to you in the middle of night.\I'm okay now.\But...\Really, I'm okay.\I feel calmer now after talking to you, Usagi. Thank you. response:	Are you sure?
context: What's wrong with Mr. Sanjoin?\Naru, are you crying?\I'm sorry for making such a weird call to you in the middle of night.\I'm okay now.\But...\Really, I'm okay.\I feel calmer now after talking to you, Usagi. Thank you.\Are you sure? response:	Usagi?
context: Naru, are you crying?\I'm sorry for making such a weird call to you in the middle of night.\I'm okay now.\But...\Really, I'm okay.\I feel calmer now after talking to you, Usagi. Thank you.\Are you sure?\Usagi? response:	I'll bet Nephrite is closing in on Naru!
