context: We're unstoppable! response:	It's because we're Fairy Tail, see?!
context: This match-up...\The management is well-informed.\Shall we begin?\For the sake of our true purpose...\And now, I'll announce\the current standings of the third day of the Grand Magic Games!\As before, Raven Tail is in first place!\The time has come at last... response:	Move out, people.
context: The management is well-informed.\Shall we begin?\For the sake of our true purpose...\And now, I'll announce\the current standings of the third day of the Grand Magic Games!\As before, Raven Tail is in first place!\The time has come at last...\Move out, people. response:	Still in second place, Lamia Scale!
context: Shall we begin?\For the sake of our true purpose...\And now, I'll announce\the current standings of the third day of the Grand Magic Games!\As before, Raven Tail is in first place!\The time has come at last...\Move out, people.\Still in second place, Lamia Scale! response:	In third place, one rank down, Sabertooth!
context: For the sake of our true purpose...\And now, I'll announce\the current standings of the third day of the Grand Magic Games!\As before, Raven Tail is in first place!\The time has come at last...\Move out, people.\Still in second place, Lamia Scale!\In third place, one rank down, Sabertooth! response:	In fourth place, Mermaid Heel!
context: And now, I'll announce\the current standings of the third day of the Grand Magic Games!\As before, Raven Tail is in first place!\The time has come at last...\Move out, people.\Still in second place, Lamia Scale!\In third place, one rank down, Sabertooth!\In fourth place, Mermaid Heel! response:	And tied for fourth,
context: the current standings of the third day of the Grand Magic Games!\As before, Raven Tail is in first place!\The time has come at last...\Move out, people.\Still in second place, Lamia Scale!\In third place, one rank down, Sabertooth!\In fourth place, Mermaid Heel!\And tied for fourth, response:	moving up two ranks, the Fairy Tail A team!
context: As before, Raven Tail is in first place!\The time has come at last...\Move out, people.\Still in second place, Lamia Scale!\In third place, one rank down, Sabertooth!\In fourth place, Mermaid Heel!\And tied for fourth,\moving up two ranks, the Fairy Tail A team! response:	Alright!
context: The time has come at last...\Move out, people.\Still in second place, Lamia Scale!\In third place, one rank down, Sabertooth!\In fourth place, Mermaid Heel!\And tied for fourth,\moving up two ranks, the Fairy Tail A team!\Alright! response:	We're gonna move up even more ranks!
context: Move out, people.\Still in second place, Lamia Scale!\In third place, one rank down, Sabertooth!\In fourth place, Mermaid Heel!\And tied for fourth,\moving up two ranks, the Fairy Tail A team!\Alright!\We're gonna move up even more ranks! response:	Aye, sir!
context: Still in second place, Lamia Scale!\In third place, one rank down, Sabertooth!\In fourth place, Mermaid Heel!\And tied for fourth,\moving up two ranks, the Fairy Tail A team!\Alright!\We're gonna move up even more ranks!\Aye, sir! response:	In sixth place, the Fairy Tail B team!
context: In third place, one rank down, Sabertooth!\In fourth place, Mermaid Heel!\And tied for fourth,\moving up two ranks, the Fairy Tail A team!\Alright!\We're gonna move up even more ranks!\Aye, sir!\In sixth place, the Fairy Tail B team! response:	We ain't gonna lose either!
context: In fourth place, Mermaid Heel!\And tied for fourth,\moving up two ranks, the Fairy Tail A team!\Alright!\We're gonna move up even more ranks!\Aye, sir!\In sixth place, the Fairy Tail B team!\We ain't gonna lose either! response:	And you can see the last place teams for yourself.
context: And tied for fourth,\moving up two ranks, the Fairy Tail A team!\Alright!\We're gonna move up even more ranks!\Aye, sir!\In sixth place, the Fairy Tail B team!\We ain't gonna lose either!\And you can see the last place teams for yourself. response:	I guess when you're in seventh place, you don't even get a name check...
context: moving up two ranks, the Fairy Tail A team!\Alright!\We're gonna move up even more ranks!\Aye, sir!\In sixth place, the Fairy Tail B team!\We ain't gonna lose either!\And you can see the last place teams for yourself.\I guess when you're in seventh place, you don't even get a name check... response:	Humiliating parfum!
context: Alright!\We're gonna move up even more ranks!\Aye, sir!\In sixth place, the Fairy Tail B team!\We ain't gonna lose either!\And you can see the last place teams for yourself.\I guess when you're in seventh place, you don't even get a name check...\Humiliating parfum! response:	If Quatro Puppy's gonna be our name, I'm glad he didn't say it!
context: We're gonna move up even more ranks!\Aye, sir!\In sixth place, the Fairy Tail B team!\We ain't gonna lose either!\And you can see the last place teams for yourself.\I guess when you're in seventh place, you don't even get a name check...\Humiliating parfum!\If Quatro Puppy's gonna be our name, I'm glad he didn't say it! response:	Laxus vs. Alexei!
context: Aye, sir!\In sixth place, the Fairy Tail B team!\We ain't gonna lose either!\And you can see the last place teams for yourself.\I guess when you're in seventh place, you don't even get a name check...\Humiliating parfum!\If Quatro Puppy's gonna be our name, I'm glad he didn't say it!\Laxus vs. Alexei! response:	Alright, the battle part of the third day of the Grand Magic Games is about to begin!
context: In sixth place, the Fairy Tail B team!\We ain't gonna lose either!\And you can see the last place teams for yourself.\I guess when you're in seventh place, you don't even get a name check...\Humiliating parfum!\If Quatro Puppy's gonna be our name, I'm glad he didn't say it!\Laxus vs. Alexei!\Alright, the battle part of the third day of the Grand Magic Games is about to begin! response:	I'm looking forward to the battle part!
context: We ain't gonna lose either!\And you can see the last place teams for yourself.\I guess when you're in seventh place, you don't even get a name check...\Humiliating parfum!\If Quatro Puppy's gonna be our name, I'm glad he didn't say it!\Laxus vs. Alexei!\Alright, the battle part of the third day of the Grand Magic Games is about to begin!\I'm looking forward to the battle part! response:	Indeed.
context: And you can see the last place teams for yourself.\I guess when you're in seventh place, you don't even get a name check...\Humiliating parfum!\If Quatro Puppy's gonna be our name, I'm glad he didn't say it!\Laxus vs. Alexei!\Alright, the battle part of the third day of the Grand Magic Games is about to begin!\I'm looking forward to the battle part!\Indeed. response:	In the first match, it's Millianna of Mermaid Heel...
context: I guess when you're in seventh place, you don't even get a name check...\Humiliating parfum!\If Quatro Puppy's gonna be our name, I'm glad he didn't say it!\Laxus vs. Alexei!\Alright, the battle part of the third day of the Grand Magic Games is about to begin!\I'm looking forward to the battle part!\Indeed.\In the first match, it's Millianna of Mermaid Heel... response:	Our souls are always Wild...
context: Humiliating parfum!\If Quatro Puppy's gonna be our name, I'm glad he didn't say it!\Laxus vs. Alexei!\Alright, the battle part of the third day of the Grand Magic Games is about to begin!\I'm looking forward to the battle part!\Indeed.\In the first match, it's Millianna of Mermaid Heel...\Our souls are always Wild... response:	Let the match begin!
context: If Quatro Puppy's gonna be our name, I'm glad he didn't say it!\Laxus vs. Alexei!\Alright, the battle part of the third day of the Grand Magic Games is about to begin!\I'm looking forward to the battle part!\Indeed.\In the first match, it's Millianna of Mermaid Heel...\Our souls are always Wild...\Let the match begin! response:	Victory goes to the swiftest!
context: Laxus vs. Alexei!\Alright, the battle part of the third day of the Grand Magic Games is about to begin!\I'm looking forward to the battle part!\Indeed.\In the first match, it's Millianna of Mermaid Heel...\Our souls are always Wild...\Let the match begin!\Victory goes to the swiftest! response:	Wild Spin!
context: Alright, the battle part of the third day of the Grand Magic Games is about to begin!\I'm looking forward to the battle part!\Indeed.\In the first match, it's Millianna of Mermaid Heel...\Our souls are always Wild...\Let the match begin!\Victory goes to the swiftest!\Wild Spin! response:	Oh, my! It's a body attack, using his giant body to spin around!
context: I'm looking forward to the battle part!\Indeed.\In the first match, it's Millianna of Mermaid Heel...\Our souls are always Wild...\Let the match begin!\Victory goes to the swiftest!\Wild Spin!\Oh, my! It's a body attack, using his giant body to spin around! response:	I'll use magic to slow him down!
context: Indeed.\In the first match, it's Millianna of Mermaid Heel...\Our souls are always Wild...\Let the match begin!\Victory goes to the swiftest!\Wild Spin!\Oh, my! It's a body attack, using his giant body to spin around!\I'll use magic to slow him down! response:	Cat Binding Tube!
context: In the first match, it's Millianna of Mermaid Heel...\Our souls are always Wild...\Let the match begin!\Victory goes to the swiftest!\Wild Spin!\Oh, my! It's a body attack, using his giant body to spin around!\I'll use magic to slow him down!\Cat Binding Tube! response:	It bounced right off!
context: Our souls are always Wild...\Let the match begin!\Victory goes to the swiftest!\Wild Spin!\Oh, my! It's a body attack, using his giant body to spin around!\I'll use magic to slow him down!\Cat Binding Tube!\It bounced right off! response:	Millianna!
context: Let the match begin!\Victory goes to the swiftest!\Wild Spin!\Oh, my! It's a body attack, using his giant body to spin around!\I'll use magic to slow him down!\Cat Binding Tube!\It bounced right off!\Millianna! response:	Attaboy!
context: Victory goes to the swiftest!\Wild Spin!\Oh, my! It's a body attack, using his giant body to spin around!\I'll use magic to slow him down!\Cat Binding Tube!\It bounced right off!\Millianna!\Attaboy! response:	Our souls are always Wild...
context: Wild Spin!\Oh, my! It's a body attack, using his giant body to spin around!\I'll use magic to slow him down!\Cat Binding Tube!\It bounced right off!\Millianna!\Attaboy!\Our souls are always Wild... response:	Keep it up and you'll win!
context: Oh, my! It's a body attack, using his giant body to spin around!\I'll use magic to slow him down!\Cat Binding Tube!\It bounced right off!\Millianna!\Attaboy!\Our souls are always Wild...\Keep it up and you'll win! response:	I'm not done yet!
context: I'll use magic to slow him down!\Cat Binding Tube!\It bounced right off!\Millianna!\Attaboy!\Our souls are always Wild...\Keep it up and you'll win!\I'm not done yet! response:	Wild...
context: Cat Binding Tube!\It bounced right off!\Millianna!\Attaboy!\Our souls are always Wild...\Keep it up and you'll win!\I'm not done yet!\Wild... response:	Kitten Blast!
context: It bounced right off!\Millianna!\Attaboy!\Our souls are always Wild...\Keep it up and you'll win!\I'm not done yet!\Wild...\Kitten Blast! response:	That spurred my spinning on even more! Now take this!
context: Millianna!\Attaboy!\Our souls are always Wild...\Keep it up and you'll win!\I'm not done yet!\Wild...\Kitten Blast!\That spurred my spinning on even more! Now take this! response:	Beat her with one shot!
context: Attaboy!\Our souls are always Wild...\Keep it up and you'll win!\I'm not done yet!\Wild...\Kitten Blast!\That spurred my spinning on even more! Now take this!\Beat her with one shot! response:	Our souls are always Wild...
context: Our souls are always Wild...\Keep it up and you'll win!\I'm not done yet!\Wild...\Kitten Blast!\That spurred my spinning on even more! Now take this!\Beat her with one shot!\Our souls are always Wild... response:	I hope Millianna's okay...
context: Keep it up and you'll win!\I'm not done yet!\Wild...\Kitten Blast!\That spurred my spinning on even more! Now take this!\Beat her with one shot!\Our souls are always Wild...\I hope Millianna's okay... response:	She's taken a lot of damage.
context: I'm not done yet!\Wild...\Kitten Blast!\That spurred my spinning on even more! Now take this!\Beat her with one shot!\Our souls are always Wild...\I hope Millianna's okay...\She's taken a lot of damage. response:	Erza...
context: Wild...\Kitten Blast!\That spurred my spinning on even more! Now take this!\Beat her with one shot!\Our souls are always Wild...\I hope Millianna's okay...\She's taken a lot of damage.\Erza... response:	She's fine.
context: Kitten Blast!\That spurred my spinning on even more! Now take this!\Beat her with one shot!\Our souls are always Wild...\I hope Millianna's okay...\She's taken a lot of damage.\Erza...\She's fine. response:	Millianna would never lose over a few bruises like this.
context: That spurred my spinning on even more! Now take this!\Beat her with one shot!\Our souls are always Wild...\I hope Millianna's okay...\She's taken a lot of damage.\Erza...\She's fine.\Millianna would never lose over a few bruises like this. response:	Millianna!
context: Beat her with one shot!\Our souls are always Wild...\I hope Millianna's okay...\She's taken a lot of damage.\Erza...\She's fine.\Millianna would never lose over a few bruises like this.\Millianna! response:	Hang in there!
context: Our souls are always Wild...\I hope Millianna's okay...\She's taken a lot of damage.\Erza...\She's fine.\Millianna would never lose over a few bruises like this.\Millianna!\Hang in there! response:	There's someone Millianna needs to defeat.
context: I hope Millianna's okay...\She's taken a lot of damage.\Erza...\She's fine.\Millianna would never lose over a few bruises like this.\Millianna!\Hang in there!\There's someone Millianna needs to defeat. response:	Until she brings him down, she won't lose.
context: She's taken a lot of damage.\Erza...\She's fine.\Millianna would never lose over a few bruises like this.\Millianna!\Hang in there!\There's someone Millianna needs to defeat.\Until she brings him down, she won't lose. response:	If I can't beat a guy like this, I better pack it in...
context: Erza...\She's fine.\Millianna would never lose over a few bruises like this.\Millianna!\Hang in there!\There's someone Millianna needs to defeat.\Until she brings him down, she won't lose.\If I can't beat a guy like this, I better pack it in... response:	There'd be no point in joining Mermaid Heel!
context: She's fine.\Millianna would never lose over a few bruises like this.\Millianna!\Hang in there!\There's someone Millianna needs to defeat.\Until she brings him down, she won't lose.\If I can't beat a guy like this, I better pack it in...\There'd be no point in joining Mermaid Heel! response:	Time to end this!
context: Millianna would never lose over a few bruises like this.\Millianna!\Hang in there!\There's someone Millianna needs to defeat.\Until she brings him down, she won't lose.\If I can't beat a guy like this, I better pack it in...\There'd be no point in joining Mermaid Heel!\Time to end this! response:	Wild Spin, twice as fast!
context: Millianna!\Hang in there!\There's someone Millianna needs to defeat.\Until she brings him down, she won't lose.\If I can't beat a guy like this, I better pack it in...\There'd be no point in joining Mermaid Heel!\Time to end this!\Wild Spin, twice as fast! response:	Uh-oh! Is this gonna decide the match?!
context: Hang in there!\There's someone Millianna needs to defeat.\Until she brings him down, she won't lose.\If I can't beat a guy like this, I better pack it in...\There'd be no point in joining Mermaid Heel!\Time to end this!\Wild Spin, twice as fast!\Uh-oh! Is this gonna decide the match?! response:	Cat Binding Tube!
context: There's someone Millianna needs to defeat.\Until she brings him down, she won't lose.\If I can't beat a guy like this, I better pack it in...\There'd be no point in joining Mermaid Heel!\Time to end this!\Wild Spin, twice as fast!\Uh-oh! Is this gonna decide the match?!\Cat Binding Tube! response:	I'll tear this junk right off!
context: Until she brings him down, she won't lose.\If I can't beat a guy like this, I better pack it in...\There'd be no point in joining Mermaid Heel!\Time to end this!\Wild Spin, twice as fast!\Uh-oh! Is this gonna decide the match?!\Cat Binding Tube!\I'll tear this junk right off! response:	I'm not letting go, no matter what!
context: If I can't beat a guy like this, I better pack it in...\There'd be no point in joining Mermaid Heel!\Time to end this!\Wild Spin, twice as fast!\Uh-oh! Is this gonna decide the match?!\Cat Binding Tube!\I'll tear this junk right off!\I'm not letting go, no matter what! response:	W-W-Wild...
context: There'd be no point in joining Mermaid Heel!\Time to end this!\Wild Spin, twice as fast!\Uh-oh! Is this gonna decide the match?!\Cat Binding Tube!\I'll tear this junk right off!\I'm not letting go, no matter what!\W-W-Wild... response:	That ain't wild at all!
context: Time to end this!\Wild Spin, twice as fast!\Uh-oh! Is this gonna decide the match?!\Cat Binding Tube!\I'll tear this junk right off!\I'm not letting go, no matter what!\W-W-Wild...\That ain't wild at all! response:	Feelin' spiffy!
context: Wild Spin, twice as fast!\Uh-oh! Is this gonna decide the match?!\Cat Binding Tube!\I'll tear this junk right off!\I'm not letting go, no matter what!\W-W-Wild...\That ain't wild at all!\Feelin' spiffy! response:	Semas is down for the count!
context: Uh-oh! Is this gonna decide the match?!\Cat Binding Tube!\I'll tear this junk right off!\I'm not letting go, no matter what!\W-W-Wild...\That ain't wild at all!\Feelin' spiffy!\Semas is down for the count! response:	The winner is Millianna!
context: Cat Binding Tube!\I'll tear this junk right off!\I'm not letting go, no matter what!\W-W-Wild...\That ain't wild at all!\Feelin' spiffy!\Semas is down for the count!\The winner is Millianna! response:	Kagura-chan! Risley-chan! I won!
context: I'll tear this junk right off!\I'm not letting go, no matter what!\W-W-Wild...\That ain't wild at all!\Feelin' spiffy!\Semas is down for the count!\The winner is Millianna!\Kagura-chan! Risley-chan! I won! response:	Now that was an interesting battle!
context: I'm not letting go, no matter what!\W-W-Wild...\That ain't wild at all!\Feelin' spiffy!\Semas is down for the count!\The winner is Millianna!\Kagura-chan! Risley-chan! I won!\Now that was an interesting battle! response:	And she used various kinds of magic. I learned something.
context: W-W-Wild...\That ain't wild at all!\Feelin' spiffy!\Semas is down for the count!\The winner is Millianna!\Kagura-chan! Risley-chan! I won!\Now that was an interesting battle!\And she used various kinds of magic. I learned something. response:	You've improved, Millianna.
context: That ain't wild at all!\Feelin' spiffy!\Semas is down for the count!\The winner is Millianna!\Kagura-chan! Risley-chan! I won!\Now that was an interesting battle!\And she used various kinds of magic. I learned something.\You've improved, Millianna. response:	Even though getting bound by that tube
context: Feelin' spiffy!\Semas is down for the count!\The winner is Millianna!\Kagura-chan! Risley-chan! I won!\Now that was an interesting battle!\And she used various kinds of magic. I learned something.\You've improved, Millianna.\Even though getting bound by that tube response:	wouldn't draw a score on that magic-measuring device from before...
context: Semas is down for the count!\The winner is Millianna!\Kagura-chan! Risley-chan! I won!\Now that was an interesting battle!\And she used various kinds of magic. I learned something.\You've improved, Millianna.\Even though getting bound by that tube\wouldn't draw a score on that magic-measuring device from before... response:	Bound...?
context: The winner is Millianna!\Kagura-chan! Risley-chan! I won!\Now that was an interesting battle!\And she used various kinds of magic. I learned something.\You've improved, Millianna.\Even though getting bound by that tube\wouldn't draw a score on that magic-measuring device from before...\Bound...? response:	It was rough for me when I went up against her a long time ago, too.
context: Kagura-chan! Risley-chan! I won!\Now that was an interesting battle!\And she used various kinds of magic. I learned something.\You've improved, Millianna.\Even though getting bound by that tube\wouldn't draw a score on that magic-measuring device from before...\Bound...?\It was rough for me when I went up against her a long time ago, too. response:	I hate Jellal, too...
context: Now that was an interesting battle!\And she used various kinds of magic. I learned something.\You've improved, Millianna.\Even though getting bound by that tube\wouldn't draw a score on that magic-measuring device from before...\Bound...?\It was rough for me when I went up against her a long time ago, too.\I hate Jellal, too... response:	Next, the second match for the battle part!
context: And she used various kinds of magic. I learned something.\You've improved, Millianna.\Even though getting bound by that tube\wouldn't draw a score on that magic-measuring device from before...\Bound...?\It was rough for me when I went up against her a long time ago, too.\I hate Jellal, too...\Next, the second match for the battle part! response:	From Sabertooth, the minstrel who sings to the red moon...
context: You've improved, Millianna.\Even though getting bound by that tube\wouldn't draw a score on that magic-measuring device from before...\Bound...?\It was rough for me when I went up against her a long time ago, too.\I hate Jellal, too...\Next, the second match for the battle part!\From Sabertooth, the minstrel who sings to the red moon... response:	Rufus Lohr!
context: Even though getting bound by that tube\wouldn't draw a score on that magic-measuring device from before...\Bound...?\It was rough for me when I went up against her a long time ago, too.\I hate Jellal, too...\Next, the second match for the battle part!\From Sabertooth, the minstrel who sings to the red moon...\Rufus Lohr! response:	Versus Holy Night Eve of Blue Pegasus...
context: wouldn't draw a score on that magic-measuring device from before...\Bound...?\It was rough for me when I went up against her a long time ago, too.\I hate Jellal, too...\Next, the second match for the battle part!\From Sabertooth, the minstrel who sings to the red moon...\Rufus Lohr!\Versus Holy Night Eve of Blue Pegasus... response:	Eve Tilm!
context: Bound...?\It was rough for me when I went up against her a long time ago, too.\I hate Jellal, too...\Next, the second match for the battle part!\From Sabertooth, the minstrel who sings to the red moon...\Rufus Lohr!\Versus Holy Night Eve of Blue Pegasus...\Eve Tilm! response:	Eve-kun, the parfum of victory!
context: It was rough for me when I went up against her a long time ago, too.\I hate Jellal, too...\Next, the second match for the battle part!\From Sabertooth, the minstrel who sings to the red moon...\Rufus Lohr!\Versus Holy Night Eve of Blue Pegasus...\Eve Tilm!\Eve-kun, the parfum of victory! response:	Do your best!
context: I hate Jellal, too...\Next, the second match for the battle part!\From Sabertooth, the minstrel who sings to the red moon...\Rufus Lohr!\Versus Holy Night Eve of Blue Pegasus...\Eve Tilm!\Eve-kun, the parfum of victory!\Do your best! response:	Fight, Eve!
context: Next, the second match for the battle part!\From Sabertooth, the minstrel who sings to the red moon...\Rufus Lohr!\Versus Holy Night Eve of Blue Pegasus...\Eve Tilm!\Eve-kun, the parfum of victory!\Do your best!\Fight, Eve! response:	These two clashed during the competition of the first day,
context: From Sabertooth, the minstrel who sings to the red moon...\Rufus Lohr!\Versus Holy Night Eve of Blue Pegasus...\Eve Tilm!\Eve-kun, the parfum of victory!\Do your best!\Fight, Eve!\These two clashed during the competition of the first day, response:	and now they'll collide in battle on the third day!
context: Rufus Lohr!\Versus Holy Night Eve of Blue Pegasus...\Eve Tilm!\Eve-kun, the parfum of victory!\Do your best!\Fight, Eve!\These two clashed during the competition of the first day,\and now they'll collide in battle on the third day! response:	Snow Magic: White Fury!
context: Versus Holy Night Eve of Blue Pegasus...\Eve Tilm!\Eve-kun, the parfum of victory!\Do your best!\Fight, Eve!\These two clashed during the competition of the first day,\and now they'll collide in battle on the third day!\Snow Magic: White Fury! response:	That's your memory of where I was standing.
context: Eve Tilm!\Eve-kun, the parfum of victory!\Do your best!\Fight, Eve!\These two clashed during the competition of the first day,\and now they'll collide in battle on the third day!\Snow Magic: White Fury!\That's your memory of where I was standing. response:	I already experienced your skill during Hidden.
context: Eve-kun, the parfum of victory!\Do your best!\Fight, Eve!\These two clashed during the competition of the first day,\and now they'll collide in battle on the third day!\Snow Magic: White Fury!\That's your memory of where I was standing.\I already experienced your skill during Hidden. response:	And I remember it well!
context: Do your best!\Fight, Eve!\These two clashed during the competition of the first day,\and now they'll collide in battle on the third day!\Snow Magic: White Fury!\That's your memory of where I was standing.\I already experienced your skill during Hidden.\And I remember it well! response:	You remember it, eh?
context: Fight, Eve!\These two clashed during the competition of the first day,\and now they'll collide in battle on the third day!\Snow Magic: White Fury!\That's your memory of where I was standing.\I already experienced your skill during Hidden.\And I remember it well!\You remember it, eh? response:	Eh?
context: These two clashed during the competition of the first day,\and now they'll collide in battle on the third day!\Snow Magic: White Fury!\That's your memory of where I was standing.\I already experienced your skill during Hidden.\And I remember it well!\You remember it, eh?\Eh? response:	S-Sensei! What are you doing here?!
context: and now they'll collide in battle on the third day!\Snow Magic: White Fury!\That's your memory of where I was standing.\I already experienced your skill during Hidden.\And I remember it well!\You remember it, eh?\Eh?\S-Sensei! What are you doing here?! response:	That's your memory.
context: Snow Magic: White Fury!\That's your memory of where I was standing.\I already experienced your skill during Hidden.\And I remember it well!\You remember it, eh?\Eh?\S-Sensei! What are you doing here?!\That's your memory. response:	Eve's got a memory like that?!
context: That's your memory of where I was standing.\I already experienced your skill during Hidden.\And I remember it well!\You remember it, eh?\Eh?\S-Sensei! What are you doing here?!\That's your memory.\Eve's got a memory like that?! response:	What are you doing, Senpai?!
context: I already experienced your skill during Hidden.\And I remember it well!\You remember it, eh?\Eh?\S-Sensei! What are you doing here?!\That's your memory.\Eve's got a memory like that?!\What are you doing, Senpai?! response:	I don't remember that parfum! Men!
context: And I remember it well!\You remember it, eh?\Eh?\S-Sensei! What are you doing here?!\That's your memory.\Eve's got a memory like that?!\What are you doing, Senpai?!\I don't remember that parfum! Men! response:	A star falls on the night!
context: You remember it, eh?\Eh?\S-Sensei! What are you doing here?!\That's your memory.\Eve's got a memory like that?!\What are you doing, Senpai?!\I don't remember that parfum! Men!\A star falls on the night! response:	A direct hit on Eve!
context: Eh?\S-Sensei! What are you doing here?!\That's your memory.\Eve's got a memory like that?!\What are you doing, Senpai?!\I don't remember that parfum! Men!\A star falls on the night!\A direct hit on Eve! response:	Or so we thought, but it was just a copy made of snow!
context: S-Sensei! What are you doing here?!\That's your memory.\Eve's got a memory like that?!\What are you doing, Senpai?!\I don't remember that parfum! Men!\A star falls on the night!\A direct hit on Eve!\Or so we thought, but it was just a copy made of snow! response:	A brilliant parfum!
context: That's your memory.\Eve's got a memory like that?!\What are you doing, Senpai?!\I don't remember that parfum! Men!\A star falls on the night!\A direct hit on Eve!\Or so we thought, but it was just a copy made of snow!\A brilliant parfum! response:	That's the way, Eve!
context: Eve's got a memory like that?!\What are you doing, Senpai?!\I don't remember that parfum! Men!\A star falls on the night!\A direct hit on Eve!\Or so we thought, but it was just a copy made of snow!\A brilliant parfum!\That's the way, Eve! response:	Keep it up!
context: What are you doing, Senpai?!\I don't remember that parfum! Men!\A star falls on the night!\A direct hit on Eve!\Or so we thought, but it was just a copy made of snow!\A brilliant parfum!\That's the way, Eve!\Keep it up! response:	Eve-kun was originally a member of the Council, wasn't he?
context: I don't remember that parfum! Men!\A star falls on the night!\A direct hit on Eve!\Or so we thought, but it was just a copy made of snow!\A brilliant parfum!\That's the way, Eve!\Keep it up!\Eve-kun was originally a member of the Council, wasn't he? response:	That's right.
context: A star falls on the night!\A direct hit on Eve!\Or so we thought, but it was just a copy made of snow!\A brilliant parfum!\That's the way, Eve!\Keep it up!\Eve-kun was originally a member of the Council, wasn't he?\That's right. response:	He was a Rune Knight of the Enforcement and Detention Corps like the rest of us.
context: A direct hit on Eve!\Or so we thought, but it was just a copy made of snow!\A brilliant parfum!\That's the way, Eve!\Keep it up!\Eve-kun was originally a member of the Council, wasn't he?\That's right.\He was a Rune Knight of the Enforcement and Detention Corps like the rest of us. response:	Yes, even back then, he was a shining light,
context: Or so we thought, but it was just a copy made of snow!\A brilliant parfum!\That's the way, Eve!\Keep it up!\Eve-kun was originally a member of the Council, wasn't he?\That's right.\He was a Rune Knight of the Enforcement and Detention Corps like the rest of us.\Yes, even back then, he was a shining light, response:	but after entering a guild, his magic has become even more polished.
context: A brilliant parfum!\That's the way, Eve!\Keep it up!\Eve-kun was originally a member of the Council, wasn't he?\That's right.\He was a Rune Knight of the Enforcement and Detention Corps like the rest of us.\Yes, even back then, he was a shining light,\but after entering a guild, his magic has become even more polished. response:	White Blizzard!
context: That's the way, Eve!\Keep it up!\Eve-kun was originally a member of the Council, wasn't he?\That's right.\He was a Rune Knight of the Enforcement and Detention Corps like the rest of us.\Yes, even back then, he was a shining light,\but after entering a guild, his magic has become even more polished.\White Blizzard! response:	You waste your time.
context: Keep it up!\Eve-kun was originally a member of the Council, wasn't he?\That's right.\He was a Rune Knight of the Enforcement and Detention Corps like the rest of us.\Yes, even back then, he was a shining light,\but after entering a guild, his magic has become even more polished.\White Blizzard!\You waste your time. response:	I don't think so.
context: Eve-kun was originally a member of the Council, wasn't he?\That's right.\He was a Rune Knight of the Enforcement and Detention Corps like the rest of us.\Yes, even back then, he was a shining light,\but after entering a guild, his magic has become even more polished.\White Blizzard!\You waste your time.\I don't think so. response:	I'm using White Blizzard to search for the location of your real body!
context: That's right.\He was a Rune Knight of the Enforcement and Detention Corps like the rest of us.\Yes, even back then, he was a shining light,\but after entering a guild, his magic has become even more polished.\White Blizzard!\You waste your time.\I don't think so.\I'm using White Blizzard to search for the location of your real body! response:	Over there! White Fang!
context: He was a Rune Knight of the Enforcement and Detention Corps like the rest of us.\Yes, even back then, he was a shining light,\but after entering a guild, his magic has become even more polished.\White Blizzard!\You waste your time.\I don't think so.\I'm using White Blizzard to search for the location of your real body!\Over there! White Fang! response:	I remember that magic.
context: Yes, even back then, he was a shining light,\but after entering a guild, his magic has become even more polished.\White Blizzard!\You waste your time.\I don't think so.\I'm using White Blizzard to search for the location of your real body!\Over there! White Fang!\I remember that magic. response:	Memory Make.
