context: Japan... response:	So peaceful, I think I might yawn.
context: She forgot her homework, and they're making her do it over now.\In that case, I guess I'll hand off my guard duty to Mr. Claude.\Oh, one more thing, Tsugumi.\About today's pop quiz...\the parts you helped me out with came up. I really owe you one.\Thanks, man.\B-Being thanked for such a trivial matter as that b-b-brings me no joy!\That was just a matter of your feeblemindedness, no more. response:	If you ever get stuck again, I might be inclined to help you out.
context: In that case, I guess I'll hand off my guard duty to Mr. Claude.\Oh, one more thing, Tsugumi.\About today's pop quiz...\the parts you helped me out with came up. I really owe you one.\Thanks, man.\B-Being thanked for such a trivial matter as that b-b-brings me no joy!\That was just a matter of your feeblemindedness, no more.\If you ever get stuck again, I might be inclined to help you out. response:	Raku Ichijo!
context: Oh, one more thing, Tsugumi.\About today's pop quiz...\the parts you helped me out with came up. I really owe you one.\Thanks, man.\B-Being thanked for such a trivial matter as that b-b-brings me no joy!\That was just a matter of your feeblemindedness, no more.\If you ever get stuck again, I might be inclined to help you out.\Raku Ichijo! response:	What...
context: About today's pop quiz...\the parts you helped me out with came up. I really owe you one.\Thanks, man.\B-Being thanked for such a trivial matter as that b-b-brings me no joy!\That was just a matter of your feeblemindedness, no more.\If you ever get stuck again, I might be inclined to help you out.\Raku Ichijo!\What... response:	Hey, you're...
context: the parts you helped me out with came up. I really owe you one.\Thanks, man.\B-Being thanked for such a trivial matter as that b-b-brings me no joy!\That was just a matter of your feeblemindedness, no more.\If you ever get stuck again, I might be inclined to help you out.\Raku Ichijo!\What...\Hey, you're... response:	I've missed you...
context: Thanks, man.\B-Being thanked for such a trivial matter as that b-b-brings me no joy!\That was just a matter of your feeblemindedness, no more.\If you ever get stuck again, I might be inclined to help you out.\Raku Ichijo!\What...\Hey, you're...\I've missed you... response:	What's it been, a year?
context: B-Being thanked for such a trivial matter as that b-b-brings me no joy!\That was just a matter of your feeblemindedness, no more.\If you ever get stuck again, I might be inclined to help you out.\Raku Ichijo!\What...\Hey, you're...\I've missed you...\What's it been, a year? response:	What are you doing here?
context: That was just a matter of your feeblemindedness, no more.\If you ever get stuck again, I might be inclined to help you out.\Raku Ichijo!\What...\Hey, you're...\I've missed you...\What's it been, a year?\What are you doing here? response:	There are tons of things I want to discuss with you.
context: If you ever get stuck again, I might be inclined to help you out.\Raku Ichijo!\What...\Hey, you're...\I've missed you...\What's it been, a year?\What are you doing here?\There are tons of things I want to discuss with you. response:	Hey! What do you think you're doing, blasting those things on school grounds!
context: Raku Ichijo!\What...\Hey, you're...\I've missed you...\What's it been, a year?\What are you doing here?\There are tons of things I want to discuss with you.\Hey! What do you think you're doing, blasting those things on school grounds! response:	If you have to fight, do it somewhere else where it's safer!
context: What...\Hey, you're...\I've missed you...\What's it been, a year?\What are you doing here?\There are tons of things I want to discuss with you.\Hey! What do you think you're doing, blasting those things on school grounds!\If you have to fight, do it somewhere else where it's safer! response:	Anyway, stop that!
context: Hey, you're...\I've missed you...\What's it been, a year?\What are you doing here?\There are tons of things I want to discuss with you.\Hey! What do you think you're doing, blasting those things on school grounds!\If you have to fight, do it somewhere else where it's safer!\Anyway, stop that! response:	Stooop!
context: I've missed you...\What's it been, a year?\What are you doing here?\There are tons of things I want to discuss with you.\Hey! What do you think you're doing, blasting those things on school grounds!\If you have to fight, do it somewhere else where it's safer!\Anyway, stop that!\Stooop! response:	Are you an idiot?!
context: What's it been, a year?\What are you doing here?\There are tons of things I want to discuss with you.\Hey! What do you think you're doing, blasting those things on school grounds!\If you have to fight, do it somewhere else where it's safer!\Anyway, stop that!\Stooop!\Are you an idiot?! response:	Butting into a shootout with your bare hands...
context: What are you doing here?\There are tons of things I want to discuss with you.\Hey! What do you think you're doing, blasting those things on school grounds!\If you have to fight, do it somewhere else where it's safer!\Anyway, stop that!\Stooop!\Are you an idiot?!\Butting into a shootout with your bare hands... response:	You're lucky you got off with slight injuries, but...
context: There are tons of things I want to discuss with you.\Hey! What do you think you're doing, blasting those things on school grounds!\If you have to fight, do it somewhere else where it's safer!\Anyway, stop that!\Stooop!\Are you an idiot?!\Butting into a shootout with your bare hands...\You're lucky you got off with slight injuries, but... response:	Well, it couldn't be helped.
context: Hey! What do you think you're doing, blasting those things on school grounds!\If you have to fight, do it somewhere else where it's safer!\Anyway, stop that!\Stooop!\Are you an idiot?!\Butting into a shootout with your bare hands...\You're lucky you got off with slight injuries, but...\Well, it couldn't be helped. response:	There was nothing else I could do.
context: If you have to fight, do it somewhere else where it's safer!\Anyway, stop that!\Stooop!\Are you an idiot?!\Butting into a shootout with your bare hands...\You're lucky you got off with slight injuries, but...\Well, it couldn't be helped.\There was nothing else I could do. response:	No, thanks! It's not that much of a big deal.
context: Anyway, stop that!\Stooop!\Are you an idiot?!\Butting into a shootout with your bare hands...\You're lucky you got off with slight injuries, but...\Well, it couldn't be helped.\There was nothing else I could do.\No, thanks! It's not that much of a big deal. response:	Shut up!
context: Stooop!\Are you an idiot?!\Butting into a shootout with your bare hands...\You're lucky you got off with slight injuries, but...\Well, it couldn't be helped.\There was nothing else I could do.\No, thanks! It's not that much of a big deal.\Shut up! response:	I don't want to be indebted to you, that's all.
context: Are you an idiot?!\Butting into a shootout with your bare hands...\You're lucky you got off with slight injuries, but...\Well, it couldn't be helped.\There was nothing else I could do.\No, thanks! It's not that much of a big deal.\Shut up!\I don't want to be indebted to you, that's all. response:	What is this place?
context: Butting into a shootout with your bare hands...\You're lucky you got off with slight injuries, but...\Well, it couldn't be helped.\There was nothing else I could do.\No, thanks! It's not that much of a big deal.\Shut up!\I don't want to be indebted to you, that's all.\What is this place? response:	It's the apartment I'm renting for my personal use.
context: You're lucky you got off with slight injuries, but...\Well, it couldn't be helped.\There was nothing else I could do.\No, thanks! It's not that much of a big deal.\Shut up!\I don't want to be indebted to you, that's all.\What is this place?\It's the apartment I'm renting for my personal use. response:	Normally, I sleep at Young Mistress's house,
context: Well, it couldn't be helped.\There was nothing else I could do.\No, thanks! It's not that much of a big deal.\Shut up!\I don't want to be indebted to you, that's all.\What is this place?\It's the apartment I'm renting for my personal use.\Normally, I sleep at Young Mistress's house, response:	but for some missions, I need a place like this.
context: There was nothing else I could do.\No, thanks! It's not that much of a big deal.\Shut up!\I don't want to be indebted to you, that's all.\What is this place?\It's the apartment I'm renting for my personal use.\Normally, I sleep at Young Mistress's house,\but for some missions, I need a place like this. response:	Oh, yeah?
context: No, thanks! It's not that much of a big deal.\Shut up!\I don't want to be indebted to you, that's all.\What is this place?\It's the apartment I'm renting for my personal use.\Normally, I sleep at Young Mistress's house,\but for some missions, I need a place like this.\Oh, yeah? response:	Stop gawking and staring!
context: Shut up!\I don't want to be indebted to you, that's all.\What is this place?\It's the apartment I'm renting for my personal use.\Normally, I sleep at Young Mistress's house,\but for some missions, I need a place like this.\Oh, yeah?\Stop gawking and staring! response:	I'm not staring, I'm not staring!
context: I don't want to be indebted to you, that's all.\What is this place?\It's the apartment I'm renting for my personal use.\Normally, I sleep at Young Mistress's house,\but for some missions, I need a place like this.\Oh, yeah?\Stop gawking and staring!\I'm not staring, I'm not staring! response:	So?
context: What is this place?\It's the apartment I'm renting for my personal use.\Normally, I sleep at Young Mistress's house,\but for some missions, I need a place like this.\Oh, yeah?\Stop gawking and staring!\I'm not staring, I'm not staring!\So? response:	Would you mind telling what the deal is here?
context: It's the apartment I'm renting for my personal use.\Normally, I sleep at Young Mistress's house,\but for some missions, I need a place like this.\Oh, yeah?\Stop gawking and staring!\I'm not staring, I'm not staring!\So?\Would you mind telling what the deal is here? response:	Why was I, someone who just tried to kill you,
context: Normally, I sleep at Young Mistress's house,\but for some missions, I need a place like this.\Oh, yeah?\Stop gawking and staring!\I'm not staring, I'm not staring!\So?\Would you mind telling what the deal is here?\Why was I, someone who just tried to kill you, response:	not only invited inside your home,
context: but for some missions, I need a place like this.\Oh, yeah?\Stop gawking and staring!\I'm not staring, I'm not staring!\So?\Would you mind telling what the deal is here?\Why was I, someone who just tried to kill you,\not only invited inside your home, response:	but even served hot tea?
context: Oh, yeah?\Stop gawking and staring!\I'm not staring, I'm not staring!\So?\Would you mind telling what the deal is here?\Why was I, someone who just tried to kill you,\not only invited inside your home,\but even served hot tea? response:	Black Tiger?
context: Stop gawking and staring!\I'm not staring, I'm not staring!\So?\Would you mind telling what the deal is here?\Why was I, someone who just tried to kill you,\not only invited inside your home,\but even served hot tea?\Black Tiger? response:	What are you talking about?
context: I'm not staring, I'm not staring!\So?\Would you mind telling what the deal is here?\Why was I, someone who just tried to kill you,\not only invited inside your home,\but even served hot tea?\Black Tiger?\What are you talking about? response:	You're the one who wanted to talk to me, remember?
context: So?\Would you mind telling what the deal is here?\Why was I, someone who just tried to kill you,\not only invited inside your home,\but even served hot tea?\Black Tiger?\What are you talking about?\You're the one who wanted to talk to me, remember? response:	That's not what I'm talking about!
context: Would you mind telling what the deal is here?\Why was I, someone who just tried to kill you,\not only invited inside your home,\but even served hot tea?\Black Tiger?\What are you talking about?\You're the one who wanted to talk to me, remember?\That's not what I'm talking about! response:	Black Tiger?
context: Why was I, someone who just tried to kill you,\not only invited inside your home,\but even served hot tea?\Black Tiger?\What are you talking about?\You're the one who wanted to talk to me, remember?\That's not what I'm talking about!\Black Tiger? response:	I see that guy over there is totally clueless.
context: not only invited inside your home,\but even served hot tea?\Black Tiger?\What are you talking about?\You're the one who wanted to talk to me, remember?\That's not what I'm talking about!\Black Tiger?\I see that guy over there is totally clueless. response:	Black Tiger, you see, is that woman's alias in the American underworld.
context: but even served hot tea?\Black Tiger?\What are you talking about?\You're the one who wanted to talk to me, remember?\That's not what I'm talking about!\Black Tiger?\I see that guy over there is totally clueless.\Black Tiger, you see, is that woman's alias in the American underworld. response:	Several years ago...
context: Black Tiger?\What are you talking about?\You're the one who wanted to talk to me, remember?\That's not what I'm talking about!\Black Tiger?\I see that guy over there is totally clueless.\Black Tiger, you see, is that woman's alias in the American underworld.\Several years ago... response:	she burst onto the underworld scene like a comet,
context: What are you talking about?\You're the one who wanted to talk to me, remember?\That's not what I'm talking about!\Black Tiger?\I see that guy over there is totally clueless.\Black Tiger, you see, is that woman's alias in the American underworld.\Several years ago...\she burst onto the underworld scene like a comet, response:	and though I was, at the time, the undisputed queen of completed missions among my peers,
context: You're the one who wanted to talk to me, remember?\That's not what I'm talking about!\Black Tiger?\I see that guy over there is totally clueless.\Black Tiger, you see, is that woman's alias in the American underworld.\Several years ago...\she burst onto the underworld scene like a comet,\and though I was, at the time, the undisputed queen of completed missions among my peers, response:	she rocketed past me in the blink of an eye,
context: That's not what I'm talking about!\Black Tiger?\I see that guy over there is totally clueless.\Black Tiger, you see, is that woman's alias in the American underworld.\Several years ago...\she burst onto the underworld scene like a comet,\and though I was, at the time, the undisputed queen of completed missions among my peers,\she rocketed past me in the blink of an eye, response:	and because she worked in demonic beast mode,
context: Black Tiger?\I see that guy over there is totally clueless.\Black Tiger, you see, is that woman's alias in the American underworld.\Several years ago...\she burst onto the underworld scene like a comet,\and though I was, at the time, the undisputed queen of completed missions among my peers,\she rocketed past me in the blink of an eye,\and because she worked in demonic beast mode, response:	she came to be known by the nickname, Black Tiger.
context: I see that guy over there is totally clueless.\Black Tiger, you see, is that woman's alias in the American underworld.\Several years ago...\she burst onto the underworld scene like a comet,\and though I was, at the time, the undisputed queen of completed missions among my peers,\she rocketed past me in the blink of an eye,\and because she worked in demonic beast mode,\she came to be known by the nickname, Black Tiger. response:	So you're a hitman, too?
context: Black Tiger, you see, is that woman's alias in the American underworld.\Several years ago...\she burst onto the underworld scene like a comet,\and though I was, at the time, the undisputed queen of completed missions among my peers,\she rocketed past me in the blink of an eye,\and because she worked in demonic beast mode,\she came to be known by the nickname, Black Tiger.\So you're a hitman, too? response:	Yes, that's right.
context: Several years ago...\she burst onto the underworld scene like a comet,\and though I was, at the time, the undisputed queen of completed missions among my peers,\she rocketed past me in the blink of an eye,\and because she worked in demonic beast mode,\she came to be known by the nickname, Black Tiger.\So you're a hitman, too?\Yes, that's right. response:	I may not look it, but in the underworld, I'm a fairly well-known ace hitman.
context: she burst onto the underworld scene like a comet,\and though I was, at the time, the undisputed queen of completed missions among my peers,\she rocketed past me in the blink of an eye,\and because she worked in demonic beast mode,\she came to be known by the nickname, Black Tiger.\So you're a hitman, too?\Yes, that's right.\I may not look it, but in the underworld, I'm a fairly well-known ace hitman. response:	Known as the White Fang of the Beehive.
context: and though I was, at the time, the undisputed queen of completed missions among my peers,\she rocketed past me in the blink of an eye,\and because she worked in demonic beast mode,\she came to be known by the nickname, Black Tiger.\So you're a hitman, too?\Yes, that's right.\I may not look it, but in the underworld, I'm a fairly well-known ace hitman.\Known as the White Fang of the Beehive. response:	Her name is Paula McCoy.
context: she rocketed past me in the blink of an eye,\and because she worked in demonic beast mode,\she came to be known by the nickname, Black Tiger.\So you're a hitman, too?\Yes, that's right.\I may not look it, but in the underworld, I'm a fairly well-known ace hitman.\Known as the White Fang of the Beehive.\Her name is Paula McCoy. response:	She's a former colleague of mine.
context: and because she worked in demonic beast mode,\she came to be known by the nickname, Black Tiger.\So you're a hitman, too?\Yes, that's right.\I may not look it, but in the underworld, I'm a fairly well-known ace hitman.\Known as the White Fang of the Beehive.\Her name is Paula McCoy.\She's a former colleague of mine. response:	Don't call me Paula!
context: she came to be known by the nickname, Black Tiger.\So you're a hitman, too?\Yes, that's right.\I may not look it, but in the underworld, I'm a fairly well-known ace hitman.\Known as the White Fang of the Beehive.\Her name is Paula McCoy.\She's a former colleague of mine.\Don't call me Paula! response:	It's really been a long time, huh?
context: So you're a hitman, too?\Yes, that's right.\I may not look it, but in the underworld, I'm a fairly well-known ace hitman.\Known as the White Fang of the Beehive.\Her name is Paula McCoy.\She's a former colleague of mine.\Don't call me Paula!\It's really been a long time, huh? response:	It's so good to see you doing well!
context: Yes, that's right.\I may not look it, but in the underworld, I'm a fairly well-known ace hitman.\Known as the White Fang of the Beehive.\Her name is Paula McCoy.\She's a former colleague of mine.\Don't call me Paula!\It's really been a long time, huh?\It's so good to see you doing well! response:	Listen, I'm about to have dinner. Want to join...
context: I may not look it, but in the underworld, I'm a fairly well-known ace hitman.\Known as the White Fang of the Beehive.\Her name is Paula McCoy.\She's a former colleague of mine.\Don't call me Paula!\It's really been a long time, huh?\It's so good to see you doing well!\Listen, I'm about to have dinner. Want to join... response:	Stop it with the feels! What am I, a relative?
context: Known as the White Fang of the Beehive.\Her name is Paula McCoy.\She's a former colleague of mine.\Don't call me Paula!\It's really been a long time, huh?\It's so good to see you doing well!\Listen, I'm about to have dinner. Want to join...\Stop it with the feels! What am I, a relative? response:	I didn't come here to get cozy with you!
context: Her name is Paula McCoy.\She's a former colleague of mine.\Don't call me Paula!\It's really been a long time, huh?\It's so good to see you doing well!\Listen, I'm about to have dinner. Want to join...\Stop it with the feels! What am I, a relative?\I didn't come here to get cozy with you! response:	I've come to settle the score with you!
context: She's a former colleague of mine.\Don't call me Paula!\It's really been a long time, huh?\It's so good to see you doing well!\Listen, I'm about to have dinner. Want to join...\Stop it with the feels! What am I, a relative?\I didn't come here to get cozy with you!\I've come to settle the score with you! response:	Since that day...
context: Don't call me Paula!\It's really been a long time, huh?\It's so good to see you doing well!\Listen, I'm about to have dinner. Want to join...\Stop it with the feels! What am I, a relative?\I didn't come here to get cozy with you!\I've come to settle the score with you!\Since that day... response:	ever since you toppled me from my No. 1 status,
context: It's really been a long time, huh?\It's so good to see you doing well!\Listen, I'm about to have dinner. Want to join...\Stop it with the feels! What am I, a relative?\I didn't come here to get cozy with you!\I've come to settle the score with you!\Since that day...\ever since you toppled me from my No. 1 status, response:	I've held you up as an example.
context: It's so good to see you doing well!\Listen, I'm about to have dinner. Want to join...\Stop it with the feels! What am I, a relative?\I didn't come here to get cozy with you!\I've come to settle the score with you!\Since that day...\ever since you toppled me from my No. 1 status,\I've held you up as an example. response:	But to be honest, right now I'm sorely disappointed.
context: Listen, I'm about to have dinner. Want to join...\Stop it with the feels! What am I, a relative?\I didn't come here to get cozy with you!\I've come to settle the score with you!\Since that day...\ever since you toppled me from my No. 1 status,\I've held you up as an example.\But to be honest, right now I'm sorely disappointed. response:	For the last few days,
context: Stop it with the feels! What am I, a relative?\I didn't come here to get cozy with you!\I've come to settle the score with you!\Since that day...\ever since you toppled me from my No. 1 status,\I've held you up as an example.\But to be honest, right now I'm sorely disappointed.\For the last few days, response:	I've observed your comings and goings.
context: I didn't come here to get cozy with you!\I've come to settle the score with you!\Since that day...\ever since you toppled me from my No. 1 status,\I've held you up as an example.\But to be honest, right now I'm sorely disappointed.\For the last few days,\I've observed your comings and goings. response:	That slack expression... that slack vibe!
context: I've come to settle the score with you!\Since that day...\ever since you toppled me from my No. 1 status,\I've held you up as an example.\But to be honest, right now I'm sorely disappointed.\For the last few days,\I've observed your comings and goings.\That slack expression... that slack vibe! response:	Like any ordinary girl-next-door
context: Since that day...\ever since you toppled me from my No. 1 status,\I've held you up as an example.\But to be honest, right now I'm sorely disappointed.\For the last few days,\I've observed your comings and goings.\That slack expression... that slack vibe!\Like any ordinary girl-next-door response:	living a complacent, degenerate life!
context: ever since you toppled me from my No. 1 status,\I've held you up as an example.\But to be honest, right now I'm sorely disappointed.\For the last few days,\I've observed your comings and goings.\That slack expression... that slack vibe!\Like any ordinary girl-next-door\living a complacent, degenerate life! response:	So that gaze I've been sensing lately... that was you, Paula?
context: I've held you up as an example.\But to be honest, right now I'm sorely disappointed.\For the last few days,\I've observed your comings and goings.\That slack expression... that slack vibe!\Like any ordinary girl-next-door\living a complacent, degenerate life!\So that gaze I've been sensing lately... that was you, Paula? response:	That's because my current mission is to guard Young Mistress.
context: But to be honest, right now I'm sorely disappointed.\For the last few days,\I've observed your comings and goings.\That slack expression... that slack vibe!\Like any ordinary girl-next-door\living a complacent, degenerate life!\So that gaze I've been sensing lately... that was you, Paula?\That's because my current mission is to guard Young Mistress. response:	Is that really all there is to it?
context: For the last few days,\I've observed your comings and goings.\That slack expression... that slack vibe!\Like any ordinary girl-next-door\living a complacent, degenerate life!\So that gaze I've been sensing lately... that was you, Paula?\That's because my current mission is to guard Young Mistress.\Is that really all there is to it? response:	Whoever you are now, you don't have the bite you had before!
context: I've observed your comings and goings.\That slack expression... that slack vibe!\Like any ordinary girl-next-door\living a complacent, degenerate life!\So that gaze I've been sensing lately... that was you, Paula?\That's because my current mission is to guard Young Mistress.\Is that really all there is to it?\Whoever you are now, you don't have the bite you had before! response:	You're just like a tiger who's been defanged!
context: That slack expression... that slack vibe!\Like any ordinary girl-next-door\living a complacent, degenerate life!\So that gaze I've been sensing lately... that was you, Paula?\That's because my current mission is to guard Young Mistress.\Is that really all there is to it?\Whoever you are now, you don't have the bite you had before!\You're just like a tiger who's been defanged! response:	What happened to you?
context: Like any ordinary girl-next-door\living a complacent, degenerate life!\So that gaze I've been sensing lately... that was you, Paula?\That's because my current mission is to guard Young Mistress.\Is that really all there is to it?\Whoever you are now, you don't have the bite you had before!\You're just like a tiger who's been defanged!\What happened to you? response:	Did you break down somehow?
context: living a complacent, degenerate life!\So that gaze I've been sensing lately... that was you, Paula?\That's because my current mission is to guard Young Mistress.\Is that really all there is to it?\Whoever you are now, you don't have the bite you had before!\You're just like a tiger who's been defanged!\What happened to you?\Did you break down somehow? response:	Or do you fear the battlefield now, maybe?
context: So that gaze I've been sensing lately... that was you, Paula?\That's because my current mission is to guard Young Mistress.\Is that really all there is to it?\Whoever you are now, you don't have the bite you had before!\You're just like a tiger who's been defanged!\What happened to you?\Did you break down somehow?\Or do you fear the battlefield now, maybe? response:	Oh, or could it be that you've met someone and now you're in love?
context: That's because my current mission is to guard Young Mistress.\Is that really all there is to it?\Whoever you are now, you don't have the bite you had before!\You're just like a tiger who's been defanged!\What happened to you?\Did you break down somehow?\Or do you fear the battlefield now, maybe?\Oh, or could it be that you've met someone and now you're in love? response:	That guy right there, for instance?
context: Is that really all there is to it?\Whoever you are now, you don't have the bite you had before!\You're just like a tiger who's been defanged!\What happened to you?\Did you break down somehow?\Or do you fear the battlefield now, maybe?\Oh, or could it be that you've met someone and now you're in love?\That guy right there, for instance? response:	Not on your life!
context: Whoever you are now, you don't have the bite you had before!\You're just like a tiger who's been defanged!\What happened to you?\Did you break down somehow?\Or do you fear the battlefield now, maybe?\Oh, or could it be that you've met someone and now you're in love?\That guy right there, for instance?\Not on your life! response:	Oh, really? Then sorry.
context: You're just like a tiger who's been defanged!\What happened to you?\Did you break down somehow?\Or do you fear the battlefield now, maybe?\Oh, or could it be that you've met someone and now you're in love?\That guy right there, for instance?\Not on your life!\Oh, really? Then sorry. response:	Anyway, I can't let you go slack like this!
context: What happened to you?\Did you break down somehow?\Or do you fear the battlefield now, maybe?\Oh, or could it be that you've met someone and now you're in love?\That guy right there, for instance?\Not on your life!\Oh, really? Then sorry.\Anyway, I can't let you go slack like this! response:	It's pointless unless I surpassed who you were back then.
context: Did you break down somehow?\Or do you fear the battlefield now, maybe?\Oh, or could it be that you've met someone and now you're in love?\That guy right there, for instance?\Not on your life!\Oh, really? Then sorry.\Anyway, I can't let you go slack like this!\It's pointless unless I surpassed who you were back then. response:	Why are you so obsessed with me?
context: Or do you fear the battlefield now, maybe?\Oh, or could it be that you've met someone and now you're in love?\That guy right there, for instance?\Not on your life!\Oh, really? Then sorry.\Anyway, I can't let you go slack like this!\It's pointless unless I surpassed who you were back then.\Why are you so obsessed with me? response:	If it's a role model you're looking for, there's no shortage among the top brass.
context: Oh, or could it be that you've met someone and now you're in love?\That guy right there, for instance?\Not on your life!\Oh, really? Then sorry.\Anyway, I can't let you go slack like this!\It's pointless unless I surpassed who you were back then.\Why are you so obsessed with me?\If it's a role model you're looking for, there's no shortage among the top brass. response:	Don't go telling me you've forgotten.
context: That guy right there, for instance?\Not on your life!\Oh, really? Then sorry.\Anyway, I can't let you go slack like this!\It's pointless unless I surpassed who you were back then.\Why are you so obsessed with me?\If it's a role model you're looking for, there's no shortage among the top brass.\Don't go telling me you've forgotten. response:	That's something I'll never forget.
context: Not on your life!\Oh, really? Then sorry.\Anyway, I can't let you go slack like this!\It's pointless unless I surpassed who you were back then.\Why are you so obsessed with me?\If it's a role model you're looking for, there's no shortage among the top brass.\Don't go telling me you've forgotten.\That's something I'll never forget. response:	The day you and I first teamed up.
context: Oh, really? Then sorry.\Anyway, I can't let you go slack like this!\It's pointless unless I surpassed who you were back then.\Why are you so obsessed with me?\If it's a role model you're looking for, there's no shortage among the top brass.\Don't go telling me you've forgotten.\That's something I'll never forget.\The day you and I first teamed up. response:	So you're the Black Tiger?
context: Anyway, I can't let you go slack like this!\It's pointless unless I surpassed who you were back then.\Why are you so obsessed with me?\If it's a role model you're looking for, there's no shortage among the top brass.\Don't go telling me you've forgotten.\That's something I'll never forget.\The day you and I first teamed up.\So you're the Black Tiger? response:	I'm Paula! Nice to meet you!
context: It's pointless unless I surpassed who you were back then.\Why are you so obsessed with me?\If it's a role model you're looking for, there's no shortage among the top brass.\Don't go telling me you've forgotten.\That's something I'll never forget.\The day you and I first teamed up.\So you're the Black Tiger?\I'm Paula! Nice to meet you! response:	Ooohh, so hot!
context: Why are you so obsessed with me?\If it's a role model you're looking for, there's no shortage among the top brass.\Don't go telling me you've forgotten.\That's something I'll never forget.\The day you and I first teamed up.\So you're the Black Tiger?\I'm Paula! Nice to meet you!\Ooohh, so hot! response:	Are you a boy?
context: If it's a role model you're looking for, there's no shortage among the top brass.\Don't go telling me you've forgotten.\That's something I'll never forget.\The day you and I first teamed up.\So you're the Black Tiger?\I'm Paula! Nice to meet you!\Ooohh, so hot!\Are you a boy? response:	ALEADY HAS A LITTLE
context: Don't go telling me you've forgotten.\That's something I'll never forget.\The day you and I first teamed up.\So you're the Black Tiger?\I'm Paula! Nice to meet you!\Ooohh, so hot!\Are you a boy?\ALEADY HAS A LITTLE response:	You have absolutely no chest.
context: That's something I'll never forget.\The day you and I first teamed up.\So you're the Black Tiger?\I'm Paula! Nice to meet you!\Ooohh, so hot!\Are you a boy?\ALEADY HAS A LITTLE\You have absolutely no chest. response:	Who the hell are you to talk?
context: The day you and I first teamed up.\So you're the Black Tiger?\I'm Paula! Nice to meet you!\Ooohh, so hot!\Are you a boy?\ALEADY HAS A LITTLE\You have absolutely no chest.\Who the hell are you to talk? response:	Come on, what about you? Looking just like a boy yourself!
context: So you're the Black Tiger?\I'm Paula! Nice to meet you!\Ooohh, so hot!\Are you a boy?\ALEADY HAS A LITTLE\You have absolutely no chest.\Who the hell are you to talk?\Come on, what about you? Looking just like a boy yourself! response:	Who in their right mind says stuff like that to a stranger?
