context: Half-demon Inuyasha covets the power of the Sacred Jewel. response:	He was able to take possession of Tetsusaiga, his father's sword...
context: Inuyasha doesn't find all the fragments and disappear.\Not to worry!\Inuyasha may have Tetsusaiga...\but I also have a potent weapon.\Inuyasha, sit!\Oh, this feels so good!\Sparkling clear water and clean, fresh air!\There's something to be said about this age, after all! response:	It's been three days since we left the village.
context: Not to worry!\Inuyasha may have Tetsusaiga...\but I also have a potent weapon.\Inuyasha, sit!\Oh, this feels so good!\Sparkling clear water and clean, fresh air!\There's something to be said about this age, after all!\It's been three days since we left the village. response:	Maybe there aren't any fragments of the Sacred Jewel left...
context: Inuyasha may have Tetsusaiga...\but I also have a potent weapon.\Inuyasha, sit!\Oh, this feels so good!\Sparkling clear water and clean, fresh air!\There's something to be said about this age, after all!\It's been three days since we left the village.\Maybe there aren't any fragments of the Sacred Jewel left... response:	in Musashi country.
context: but I also have a potent weapon.\Inuyasha, sit!\Oh, this feels so good!\Sparkling clear water and clean, fresh air!\There's something to be said about this age, after all!\It's been three days since we left the village.\Maybe there aren't any fragments of the Sacred Jewel left...\in Musashi country. response:	Huh?
context: Inuyasha, sit!\Oh, this feels so good!\Sparkling clear water and clean, fresh air!\There's something to be said about this age, after all!\It's been three days since we left the village.\Maybe there aren't any fragments of the Sacred Jewel left...\in Musashi country.\Huh? response:	Say, are you listening?!
context: Oh, this feels so good!\Sparkling clear water and clean, fresh air!\There's something to be said about this age, after all!\It's been three days since we left the village.\Maybe there aren't any fragments of the Sacred Jewel left...\in Musashi country.\Huh?\Say, are you listening?! response:	Huh? Oh, you may be right.
context: Sparkling clear water and clean, fresh air!\There's something to be said about this age, after all!\It's been three days since we left the village.\Maybe there aren't any fragments of the Sacred Jewel left...\in Musashi country.\Huh?\Say, are you listening?!\Huh? Oh, you may be right. response:	But my, my...
context: There's something to be said about this age, after all!\It's been three days since we left the village.\Maybe there aren't any fragments of the Sacred Jewel left...\in Musashi country.\Huh?\Say, are you listening?!\Huh? Oh, you may be right.\But my, my... response:	the firm, luscious flesh of young women...
context: It's been three days since we left the village.\Maybe there aren't any fragments of the Sacred Jewel left...\in Musashi country.\Huh?\Say, are you listening?!\Huh? Oh, you may be right.\But my, my...\the firm, luscious flesh of young women... response:	Hey you!
context: Maybe there aren't any fragments of the Sacred Jewel left...\in Musashi country.\Huh?\Say, are you listening?!\Huh? Oh, you may be right.\But my, my...\the firm, luscious flesh of young women...\Hey you! response:	I'm just going to take a peek.
context: in Musashi country.\Huh?\Say, are you listening?!\Huh? Oh, you may be right.\But my, my...\the firm, luscious flesh of young women...\Hey you!\I'm just going to take a peek. response:	Stop! You'll only get whacked!
context: Huh?\Say, are you listening?!\Huh? Oh, you may be right.\But my, my...\the firm, luscious flesh of young women...\Hey you!\I'm just going to take a peek.\Stop! You'll only get whacked! response:	See? Master Inuyasha, you can't resist either...
context: Say, are you listening?!\Huh? Oh, you may be right.\But my, my...\the firm, luscious flesh of young women...\Hey you!\I'm just going to take a peek.\Stop! You'll only get whacked!\See? Master Inuyasha, you can't resist either... response:	Huh?!
context: Huh? Oh, you may be right.\But my, my...\the firm, luscious flesh of young women...\Hey you!\I'm just going to take a peek.\Stop! You'll only get whacked!\See? Master Inuyasha, you can't resist either...\Huh?! response:	What?! I'm not peeking!
context: But my, my...\the firm, luscious flesh of young women...\Hey you!\I'm just going to take a peek.\Stop! You'll only get whacked!\See? Master Inuyasha, you can't resist either...\Huh?!\What?! I'm not peeking! response:	Get my clothes back!
context: the firm, luscious flesh of young women...\Hey you!\I'm just going to take a peek.\Stop! You'll only get whacked!\See? Master Inuyasha, you can't resist either...\Huh?!\What?! I'm not peeking!\Get my clothes back! response:	A finger whistle?
context: Hey you!\I'm just going to take a peek.\Stop! You'll only get whacked!\See? Master Inuyasha, you can't resist either...\Huh?!\What?! I'm not peeking!\Get my clothes back!\A finger whistle? response:	Here, here... Hiyoshimaru.
context: I'm just going to take a peek.\Stop! You'll only get whacked!\See? Master Inuyasha, you can't resist either...\Huh?!\What?! I'm not peeking!\Get my clothes back!\A finger whistle?\Here, here... Hiyoshimaru. response:	Good job.
context: Stop! You'll only get whacked!\See? Master Inuyasha, you can't resist either...\Huh?!\What?! I'm not peeking!\Get my clothes back!\A finger whistle?\Here, here... Hiyoshimaru.\Good job. response:	Th-this... isn't something to eat!
context: See? Master Inuyasha, you can't resist either...\Huh?!\What?! I'm not peeking!\Get my clothes back!\A finger whistle?\Here, here... Hiyoshimaru.\Good job.\Th-this... isn't something to eat! response:	Hey!
context: Huh?!\What?! I'm not peeking!\Get my clothes back!\A finger whistle?\Here, here... Hiyoshimaru.\Good job.\Th-this... isn't something to eat!\Hey! response:	Please return my clothes!
context: What?! I'm not peeking!\Get my clothes back!\A finger whistle?\Here, here... Hiyoshimaru.\Good job.\Th-this... isn't something to eat!\Hey!\Please return my clothes! response:	Wh-who are you?! You look suspicious!
context: Get my clothes back!\A finger whistle?\Here, here... Hiyoshimaru.\Good job.\Th-this... isn't something to eat!\Hey!\Please return my clothes!\Wh-who are you?! You look suspicious! response:	That's our line!
context: A finger whistle?\Here, here... Hiyoshimaru.\Good job.\Th-this... isn't something to eat!\Hey!\Please return my clothes!\Wh-who are you?! You look suspicious!\That's our line! response:	Potato Chips
context: Here, here... Hiyoshimaru.\Good job.\Th-this... isn't something to eat!\Hey!\Please return my clothes!\Wh-who are you?! You look suspicious!\That's our line!\Potato Chips response:	You really must've been hungry.
context: Good job.\Th-this... isn't something to eat!\Hey!\Please return my clothes!\Wh-who are you?! You look suspicious!\That's our line!\Potato Chips\You really must've been hungry. response:	Want some tea?
context: Th-this... isn't something to eat!\Hey!\Please return my clothes!\Wh-who are you?! You look suspicious!\That's our line!\Potato Chips\You really must've been hungry.\Want some tea? response:	Uh-huh...
context: Hey!\Please return my clothes!\Wh-who are you?! You look suspicious!\That's our line!\Potato Chips\You really must've been hungry.\Want some tea?\Uh-huh... response:	Want something to eat too, Inuyasha?
context: Please return my clothes!\Wh-who are you?! You look suspicious!\That's our line!\Potato Chips\You really must've been hungry.\Want some tea?\Uh-huh...\Want something to eat too, Inuyasha? response:	No thanks.
context: Wh-who are you?! You look suspicious!\That's our line!\Potato Chips\You really must've been hungry.\Want some tea?\Uh-huh...\Want something to eat too, Inuyasha?\No thanks. response:	If you'd help me eat, I'd have less to carry.
context: That's our line!\Potato Chips\You really must've been hungry.\Want some tea?\Uh-huh...\Want something to eat too, Inuyasha?\No thanks.\If you'd help me eat, I'd have less to carry. response:	Well, why'd you bring so much stuff each time you go back to the well?
context: Potato Chips\You really must've been hungry.\Want some tea?\Uh-huh...\Want something to eat too, Inuyasha?\No thanks.\If you'd help me eat, I'd have less to carry.\Well, why'd you bring so much stuff each time you go back to the well? response:	Well, I have clothes to change into, homework...
context: You really must've been hungry.\Want some tea?\Uh-huh...\Want something to eat too, Inuyasha?\No thanks.\If you'd help me eat, I'd have less to carry.\Well, why'd you bring so much stuff each time you go back to the well?\Well, I have clothes to change into, homework... response:	Listen here...
context: Want some tea?\Uh-huh...\Want something to eat too, Inuyasha?\No thanks.\If you'd help me eat, I'd have less to carry.\Well, why'd you bring so much stuff each time you go back to the well?\Well, I have clothes to change into, homework...\Listen here... response:	MMM... The dried potatoes were delicious.
context: Uh-huh...\Want something to eat too, Inuyasha?\No thanks.\If you'd help me eat, I'd have less to carry.\Well, why'd you bring so much stuff each time you go back to the well?\Well, I have clothes to change into, homework...\Listen here...\MMM... The dried potatoes were delicious. response:	My thanks, woman.
context: Want something to eat too, Inuyasha?\No thanks.\If you'd help me eat, I'd have less to carry.\Well, why'd you bring so much stuff each time you go back to the well?\Well, I have clothes to change into, homework...\Listen here...\MMM... The dried potatoes were delicious.\My thanks, woman. response:	My name is Kagome.
context: No thanks.\If you'd help me eat, I'd have less to carry.\Well, why'd you bring so much stuff each time you go back to the well?\Well, I have clothes to change into, homework...\Listen here...\MMM... The dried potatoes were delicious.\My thanks, woman.\My name is Kagome. response:	He's Inuyasha.
context: If you'd help me eat, I'd have less to carry.\Well, why'd you bring so much stuff each time you go back to the well?\Well, I have clothes to change into, homework...\Listen here...\MMM... The dried potatoes were delicious.\My thanks, woman.\My name is Kagome.\He's Inuyasha. response:	And...
context: Well, why'd you bring so much stuff each time you go back to the well?\Well, I have clothes to change into, homework...\Listen here...\MMM... The dried potatoes were delicious.\My thanks, woman.\My name is Kagome.\He's Inuyasha.\And... response:	This is Myoga the Flea.
context: Well, I have clothes to change into, homework...\Listen here...\MMM... The dried potatoes were delicious.\My thanks, woman.\My name is Kagome.\He's Inuyasha.\And...\This is Myoga the Flea. response:	Who the heck are they...?
context: Listen here...\MMM... The dried potatoes were delicious.\My thanks, woman.\My name is Kagome.\He's Inuyasha.\And...\This is Myoga the Flea.\Who the heck are they...? response:	You said you had become separated from your comrades.
context: MMM... The dried potatoes were delicious.\My thanks, woman.\My name is Kagome.\He's Inuyasha.\And...\This is Myoga the Flea.\Who the heck are they...?\You said you had become separated from your comrades. response:	Are you from a high-ranking family?
context: My thanks, woman.\My name is Kagome.\He's Inuyasha.\And...\This is Myoga the Flea.\Who the heck are they...?\You said you had become separated from your comrades.\Are you from a high-ranking family? response:	For personal reasons, I cannot reveal my lineage.
context: My name is Kagome.\He's Inuyasha.\And...\This is Myoga the Flea.\Who the heck are they...?\You said you had become separated from your comrades.\Are you from a high-ranking family?\For personal reasons, I cannot reveal my lineage. response:	But call me Nobunaga.
context: He's Inuyasha.\And...\This is Myoga the Flea.\Who the heck are they...?\You said you had become separated from your comrades.\Are you from a high-ranking family?\For personal reasons, I cannot reveal my lineage.\But call me Nobunaga. response:	Nobunaga?!
context: And...\This is Myoga the Flea.\Who the heck are they...?\You said you had become separated from your comrades.\Are you from a high-ranking family?\For personal reasons, I cannot reveal my lineage.\But call me Nobunaga.\Nobunaga?! response:	Not!
context: This is Myoga the Flea.\Who the heck are they...?\You said you had become separated from your comrades.\Are you from a high-ranking family?\For personal reasons, I cannot reveal my lineage.\But call me Nobunaga.\Nobunaga?!\Not! response:	Please let me shake your hand!
context: Who the heck are they...?\You said you had become separated from your comrades.\Are you from a high-ranking family?\For personal reasons, I cannot reveal my lineage.\But call me Nobunaga.\Nobunaga?!\Not!\Please let me shake your hand! response:	And...
context: You said you had become separated from your comrades.\Are you from a high-ranking family?\For personal reasons, I cannot reveal my lineage.\But call me Nobunaga.\Nobunaga?!\Not!\Please let me shake your hand!\And... response:	Please give me your autograph!
context: Are you from a high-ranking family?\For personal reasons, I cannot reveal my lineage.\But call me Nobunaga.\Nobunaga?!\Not!\Please let me shake your hand!\And...\Please give me your autograph! response:	Autograph?
context: For personal reasons, I cannot reveal my lineage.\But call me Nobunaga.\Nobunaga?!\Not!\Please let me shake your hand!\And...\Please give me your autograph!\Autograph? response:	Oh, your name...
context: But call me Nobunaga.\Nobunaga?!\Not!\Please let me shake your hand!\And...\Please give me your autograph!\Autograph?\Oh, your name... response:	Please sign your full name.
context: Nobunaga?!\Not!\Please let me shake your hand!\And...\Please give me your autograph!\Autograph?\Oh, your name...\Please sign your full name. response:	Why're you so excited?
context: Not!\Please let me shake your hand!\And...\Please give me your autograph!\Autograph?\Oh, your name...\Please sign your full name.\Why're you so excited? response:	He's Nobunaga Oda!! Don't you know him?
context: Please let me shake your hand!\And...\Please give me your autograph!\Autograph?\Oh, your name...\Please sign your full name.\Why're you so excited?\He's Nobunaga Oda!! Don't you know him? response:	He's sooo famous!
context: And...\Please give me your autograph!\Autograph?\Oh, your name...\Please sign your full name.\Why're you so excited?\He's Nobunaga Oda!! Don't you know him?\He's sooo famous! response:	His full name is not Nobunaga Oda.
context: Please give me your autograph!\Autograph?\Oh, your name...\Please sign your full name.\Why're you so excited?\He's Nobunaga Oda!! Don't you know him?\He's sooo famous!\His full name is not Nobunaga Oda. response:	Nobunaga Amari?
context: Autograph?\Oh, your name...\Please sign your full name.\Why're you so excited?\He's Nobunaga Oda!! Don't you know him?\He's sooo famous!\His full name is not Nobunaga Oda.\Nobunaga Amari? response:	No! Aren't you Nobunaga Oda?!
context: Oh, your name...\Please sign your full name.\Why're you so excited?\He's Nobunaga Oda!! Don't you know him?\He's sooo famous!\His full name is not Nobunaga Oda.\Nobunaga Amari?\No! Aren't you Nobunaga Oda?! response:	I belong to the Takeda Clan in the land of Kai.
context: Please sign your full name.\Why're you so excited?\He's Nobunaga Oda!! Don't you know him?\He's sooo famous!\His full name is not Nobunaga Oda.\Nobunaga Amari?\No! Aren't you Nobunaga Oda?!\I belong to the Takeda Clan in the land of Kai. response:	Don't lump me with that cretin from Owari!
context: Why're you so excited?\He's Nobunaga Oda!! Don't you know him?\He's sooo famous!\His full name is not Nobunaga Oda.\Nobunaga Amari?\No! Aren't you Nobunaga Oda?!\I belong to the Takeda Clan in the land of Kai.\Don't lump me with that cretin from Owari! response:	Cretin?
context: He's Nobunaga Oda!! Don't you know him?\He's sooo famous!\His full name is not Nobunaga Oda.\Nobunaga Amari?\No! Aren't you Nobunaga Oda?!\I belong to the Takeda Clan in the land of Kai.\Don't lump me with that cretin from Owari!\Cretin? response:	I mean fool?
context: He's sooo famous!\His full name is not Nobunaga Oda.\Nobunaga Amari?\No! Aren't you Nobunaga Oda?!\I belong to the Takeda Clan in the land of Kai.\Don't lump me with that cretin from Owari!\Cretin?\I mean fool? response:	If you're not Nobunaga ODA, why didn't you say so earlier?!
context: His full name is not Nobunaga Oda.\Nobunaga Amari?\No! Aren't you Nobunaga Oda?!\I belong to the Takeda Clan in the land of Kai.\Don't lump me with that cretin from Owari!\Cretin?\I mean fool?\If you're not Nobunaga ODA, why didn't you say so earlier?! response:	I got excited for nothing.
context: Nobunaga Amari?\No! Aren't you Nobunaga Oda?!\I belong to the Takeda Clan in the land of Kai.\Don't lump me with that cretin from Owari!\Cretin?\I mean fool?\If you're not Nobunaga ODA, why didn't you say so earlier?!\I got excited for nothing. response:	Ahem...
context: No! Aren't you Nobunaga Oda?!\I belong to the Takeda Clan in the land of Kai.\Don't lump me with that cretin from Owari!\Cretin?\I mean fool?\If you're not Nobunaga ODA, why didn't you say so earlier?!\I got excited for nothing.\Ahem... response:	Thanks for the food.
context: I belong to the Takeda Clan in the land of Kai.\Don't lump me with that cretin from Owari!\Cretin?\I mean fool?\If you're not Nobunaga ODA, why didn't you say so earlier?!\I got excited for nothing.\Ahem...\Thanks for the food. response:	I have an important mission, so I'll take my leave.
context: Don't lump me with that cretin from Owari!\Cretin?\I mean fool?\If you're not Nobunaga ODA, why didn't you say so earlier?!\I got excited for nothing.\Ahem...\Thanks for the food.\I have an important mission, so I'll take my leave. response:	Fare thee well.
context: Cretin?\I mean fool?\If you're not Nobunaga ODA, why didn't you say so earlier?!\I got excited for nothing.\Ahem...\Thanks for the food.\I have an important mission, so I'll take my leave.\Fare thee well. response:	Hey, that's...
context: I mean fool?\If you're not Nobunaga ODA, why didn't you say so earlier?!\I got excited for nothing.\Ahem...\Thanks for the food.\I have an important mission, so I'll take my leave.\Fare thee well.\Hey, that's... response:	the ledge.
context: If you're not Nobunaga ODA, why didn't you say so earlier?!\I got excited for nothing.\Ahem...\Thanks for the food.\I have an important mission, so I'll take my leave.\Fare thee well.\Hey, that's...\the ledge. response:	Such a simpleton...
context: I got excited for nothing.\Ahem...\Thanks for the food.\I have an important mission, so I'll take my leave.\Fare thee well.\Hey, that's...\the ledge.\Such a simpleton... response:	but he's not Nobunaga Oda.
context: Ahem...\Thanks for the food.\I have an important mission, so I'll take my leave.\Fare thee well.\Hey, that's...\the ledge.\Such a simpleton...\but he's not Nobunaga Oda. response:	Why are all the girls in the domain being taken there?
context: Thanks for the food.\I have an important mission, so I'll take my leave.\Fare thee well.\Hey, that's...\the ledge.\Such a simpleton...\but he's not Nobunaga Oda.\Why are all the girls in the domain being taken there? response:	I heard that none of the girls summoned to the castle have ever returned.
context: I have an important mission, so I'll take my leave.\Fare thee well.\Hey, that's...\the ledge.\Such a simpleton...\but he's not Nobunaga Oda.\Why are all the girls in the domain being taken there?\I heard that none of the girls summoned to the castle have ever returned. response:	Wh-what?
context: Fare thee well.\Hey, that's...\the ledge.\Such a simpleton...\but he's not Nobunaga Oda.\Why are all the girls in the domain being taken there?\I heard that none of the girls summoned to the castle have ever returned.\Wh-what? response:	So the rumors are true!
context: Hey, that's...\the ledge.\Such a simpleton...\but he's not Nobunaga Oda.\Why are all the girls in the domain being taken there?\I heard that none of the girls summoned to the castle have ever returned.\Wh-what?\So the rumors are true! response:	Why do we have to keep this guy company?
context: the ledge.\Such a simpleton...\but he's not Nobunaga Oda.\Why are all the girls in the domain being taken there?\I heard that none of the girls summoned to the castle have ever returned.\Wh-what?\So the rumors are true!\Why do we have to keep this guy company? response:	Well... He doesn't seem like someone who can manage.
context: Such a simpleton...\but he's not Nobunaga Oda.\Why are all the girls in the domain being taken there?\I heard that none of the girls summoned to the castle have ever returned.\Wh-what?\So the rumors are true!\Why do we have to keep this guy company?\Well... He doesn't seem like someone who can manage. response:	Look, we have to look for the Sacred Jewel...
context: but he's not Nobunaga Oda.\Why are all the girls in the domain being taken there?\I heard that none of the girls summoned to the castle have ever returned.\Wh-what?\So the rumors are true!\Why do we have to keep this guy company?\Well... He doesn't seem like someone who can manage.\Look, we have to look for the Sacred Jewel... response:	Just between us, I heard that the lord of the castle...
context: Why are all the girls in the domain being taken there?\I heard that none of the girls summoned to the castle have ever returned.\Wh-what?\So the rumors are true!\Why do we have to keep this guy company?\Well... He doesn't seem like someone who can manage.\Look, we have to look for the Sacred Jewel...\Just between us, I heard that the lord of the castle... response:	has been possessed by a demon.
context: I heard that none of the girls summoned to the castle have ever returned.\Wh-what?\So the rumors are true!\Why do we have to keep this guy company?\Well... He doesn't seem like someone who can manage.\Look, we have to look for the Sacred Jewel...\Just between us, I heard that the lord of the castle...\has been possessed by a demon. response:	What?!
context: Wh-what?\So the rumors are true!\Why do we have to keep this guy company?\Well... He doesn't seem like someone who can manage.\Look, we have to look for the Sacred Jewel...\Just between us, I heard that the lord of the castle...\has been possessed by a demon.\What?! response:	Princess Tsuyu...
context: So the rumors are true!\Why do we have to keep this guy company?\Well... He doesn't seem like someone who can manage.\Look, we have to look for the Sacred Jewel...\Just between us, I heard that the lord of the castle...\has been possessed by a demon.\What?!\Princess Tsuyu... response:	Have you adjusted to castle life?
context: Why do we have to keep this guy company?\Well... He doesn't seem like someone who can manage.\Look, we have to look for the Sacred Jewel...\Just between us, I heard that the lord of the castle...\has been possessed by a demon.\What?!\Princess Tsuyu...\Have you adjusted to castle life? response:	Yes, I have naught for want.
context: Well... He doesn't seem like someone who can manage.\Look, we have to look for the Sacred Jewel...\Just between us, I heard that the lord of the castle...\has been possessed by a demon.\What?!\Princess Tsuyu...\Have you adjusted to castle life?\Yes, I have naught for want. response:	I am glad to hear that.
context: Look, we have to look for the Sacred Jewel...\Just between us, I heard that the lord of the castle...\has been possessed by a demon.\What?!\Princess Tsuyu...\Have you adjusted to castle life?\Yes, I have naught for want.\I am glad to hear that. response:	Err... My lord?
context: Just between us, I heard that the lord of the castle...\has been possessed by a demon.\What?!\Princess Tsuyu...\Have you adjusted to castle life?\Yes, I have naught for want.\I am glad to hear that.\Err... My lord? response:	Yes?
context: has been possessed by a demon.\What?!\Princess Tsuyu...\Have you adjusted to castle life?\Yes, I have naught for want.\I am glad to hear that.\Err... My lord?\Yes? response:	I understand that you have summoned...
context: What?!\Princess Tsuyu...\Have you adjusted to castle life?\Yes, I have naught for want.\I am glad to hear that.\Err... My lord?\Yes?\I understand that you have summoned... response:	many of the young village women to the castle...
context: Princess Tsuyu...\Have you adjusted to castle life?\Yes, I have naught for want.\I am glad to hear that.\Err... My lord?\Yes?\I understand that you have summoned...\many of the young village women to the castle... response:	Where are you keeping them?
context: Have you adjusted to castle life?\Yes, I have naught for want.\I am glad to hear that.\Err... My lord?\Yes?\I understand that you have summoned...\many of the young village women to the castle...\Where are you keeping them? response:	You do not need to know!
context: Yes, I have naught for want.\I am glad to hear that.\Err... My lord?\Yes?\I understand that you have summoned...\many of the young village women to the castle...\Where are you keeping them?\You do not need to know! response:	Please pardon me... for being so intrusive!
context: I am glad to hear that.\Err... My lord?\Yes?\I understand that you have summoned...\many of the young village women to the castle...\Where are you keeping them?\You do not need to know!\Please pardon me... for being so intrusive! response:	I'm so frightened.
context: Err... My lord?\Yes?\I understand that you have summoned...\many of the young village women to the castle...\Where are you keeping them?\You do not need to know!\Please pardon me... for being so intrusive!\I'm so frightened. response:	I wish I could go back to the land of Kai.
context: Yes?\I understand that you have summoned...\many of the young village women to the castle...\Where are you keeping them?\You do not need to know!\Please pardon me... for being so intrusive!\I'm so frightened.\I wish I could go back to the land of Kai. response:	No mistake about it...
context: I understand that you have summoned...\many of the young village women to the castle...\Where are you keeping them?\You do not need to know!\Please pardon me... for being so intrusive!\I'm so frightened.\I wish I could go back to the land of Kai.\No mistake about it... response:	This place reeks with the smell of evil.
context: many of the young village women to the castle...\Where are you keeping them?\You do not need to know!\Please pardon me... for being so intrusive!\I'm so frightened.\I wish I could go back to the land of Kai.\No mistake about it...\This place reeks with the smell of evil. response:	I'm sure we'll find a Sacred Jewel fragment.
context: Where are you keeping them?\You do not need to know!\Please pardon me... for being so intrusive!\I'm so frightened.\I wish I could go back to the land of Kai.\No mistake about it...\This place reeks with the smell of evil.\I'm sure we'll find a Sacred Jewel fragment. response:	Okay, let's take a leap up there!
context: You do not need to know!\Please pardon me... for being so intrusive!\I'm so frightened.\I wish I could go back to the land of Kai.\No mistake about it...\This place reeks with the smell of evil.\I'm sure we'll find a Sacred Jewel fragment.\Okay, let's take a leap up there! response:	Kagome, hop on my back.
context: Please pardon me... for being so intrusive!\I'm so frightened.\I wish I could go back to the land of Kai.\No mistake about it...\This place reeks with the smell of evil.\I'm sure we'll find a Sacred Jewel fragment.\Okay, let's take a leap up there!\Kagome, hop on my back. response:	'Kay.
context: I'm so frightened.\I wish I could go back to the land of Kai.\No mistake about it...\This place reeks with the smell of evil.\I'm sure we'll find a Sacred Jewel fragment.\Okay, let's take a leap up there!\Kagome, hop on my back.\'Kay. response:	Hey, why're you jumping on my back?!
context: I wish I could go back to the land of Kai.\No mistake about it...\This place reeks with the smell of evil.\I'm sure we'll find a Sacred Jewel fragment.\Okay, let's take a leap up there!\Kagome, hop on my back.\'Kay.\Hey, why're you jumping on my back?! response:	I have business at this castle, too.
context: No mistake about it...\This place reeks with the smell of evil.\I'm sure we'll find a Sacred Jewel fragment.\Okay, let's take a leap up there!\Kagome, hop on my back.\'Kay.\Hey, why're you jumping on my back?!\I have business at this castle, too. response:	Then climb up yourself.
context: This place reeks with the smell of evil.\I'm sure we'll find a Sacred Jewel fragment.\Okay, let's take a leap up there!\Kagome, hop on my back.\'Kay.\Hey, why're you jumping on my back?!\I have business at this castle, too.\Then climb up yourself. response:	Just take him, too.
context: I'm sure we'll find a Sacred Jewel fragment.\Okay, let's take a leap up there!\Kagome, hop on my back.\'Kay.\Hey, why're you jumping on my back?!\I have business at this castle, too.\Then climb up yourself.\Just take him, too. response:	Please!
context: Okay, let's take a leap up there!\Kagome, hop on my back.\'Kay.\Hey, why're you jumping on my back?!\I have business at this castle, too.\Then climb up yourself.\Just take him, too.\Please! response:	Oh well!
context: Kagome, hop on my back.\'Kay.\Hey, why're you jumping on my back?!\I have business at this castle, too.\Then climb up yourself.\Just take him, too.\Please!\Oh well! response:	Hang on tight!
context: 'Kay.\Hey, why're you jumping on my back?!\I have business at this castle, too.\Then climb up yourself.\Just take him, too.\Please!\Oh well!\Hang on tight! response:	Such lax security... Everyone's asleep.
context: Hey, why're you jumping on my back?!\I have business at this castle, too.\Then climb up yourself.\Just take him, too.\Please!\Oh well!\Hang on tight!\Such lax security... Everyone's asleep. response:	Master Inuyasha, please be careful.
context: I have business at this castle, too.\Then climb up yourself.\Just take him, too.\Please!\Oh well!\Hang on tight!\Such lax security... Everyone's asleep.\Master Inuyasha, please be careful. response:	They're under a hypnotic sleep.
context: Then climb up yourself.\Just take him, too.\Please!\Oh well!\Hang on tight!\Such lax security... Everyone's asleep.\Master Inuyasha, please be careful.\They're under a hypnotic sleep. response:	Probably everyone here in the castle.
context: Just take him, too.\Please!\Oh well!\Hang on tight!\Such lax security... Everyone's asleep.\Master Inuyasha, please be careful.\They're under a hypnotic sleep.\Probably everyone here in the castle. response:	Princess! Princess Tsuyu!
context: Please!\Oh well!\Hang on tight!\Such lax security... Everyone's asleep.\Master Inuyasha, please be careful.\They're under a hypnotic sleep.\Probably everyone here in the castle.\Princess! Princess Tsuyu! response:	Princess Tsuyu! Where are you?!
