context: Do you feel better now? response:	I do! Thank you!
context: Aren't you a little curious about the Rare Igura he follows so doggedly?\One that can leash the Machine Angel, at that.\She may be the true Eve for us of Altair.\Continue the reconnaissance of Vega.\If another irregularity occurs, take back the Mithra Gnis by force.\Yes, sir.\Alisia...\Hey, mind if I kill you? response:	Sure.
context: One that can leash the Machine Angel, at that.\She may be the true Eve for us of Altair.\Continue the reconnaissance of Vega.\If another irregularity occurs, take back the Mithra Gnis by force.\Yes, sir.\Alisia...\Hey, mind if I kill you?\Sure. response:	If you can play me.
context: She may be the true Eve for us of Altair.\Continue the reconnaissance of Vega.\If another irregularity occurs, take back the Mithra Gnis by force.\Yes, sir.\Alisia...\Hey, mind if I kill you?\Sure.\If you can play me. response:	You smell real faint.
context: Continue the reconnaissance of Vega.\If another irregularity occurs, take back the Mithra Gnis by force.\Yes, sir.\Alisia...\Hey, mind if I kill you?\Sure.\If you can play me.\You smell real faint. response:	And you kinda smell like her.
context: If another irregularity occurs, take back the Mithra Gnis by force.\Yes, sir.\Alisia...\Hey, mind if I kill you?\Sure.\If you can play me.\You smell real faint.\And you kinda smell like her. response:	Damn it!
context: Yes, sir.\Alisia...\Hey, mind if I kill you?\Sure.\If you can play me.\You smell real faint.\And you kinda smell like her.\Damn it! response:	You would play a lovely sound.
context: Alisia...\Hey, mind if I kill you?\Sure.\If you can play me.\You smell real faint.\And you kinda smell like her.\Damn it!\You would play a lovely sound. response:	Shrade stayed in Neo-Kowloon, didn't he?
context: Hey, mind if I kill you?\Sure.\If you can play me.\You smell real faint.\And you kinda smell like her.\Damn it!\You would play a lovely sound.\Shrade stayed in Neo-Kowloon, didn't he? response:	Fine.
context: Sure.\If you can play me.\You smell real faint.\And you kinda smell like her.\Damn it!\You would play a lovely sound.\Shrade stayed in Neo-Kowloon, didn't he?\Fine. response:	Deploy as soon as Cayenne, Zessica, and Andy return.
context: If you can play me.\You smell real faint.\And you kinda smell like her.\Damn it!\You would play a lovely sound.\Shrade stayed in Neo-Kowloon, didn't he?\Fine.\Deploy as soon as Cayenne, Zessica, and Andy return. response:	Roger.
context: You smell real faint.\And you kinda smell like her.\Damn it!\You would play a lovely sound.\Shrade stayed in Neo-Kowloon, didn't he?\Fine.\Deploy as soon as Cayenne, Zessica, and Andy return.\Roger. response:	Uhm... I've been wondering this for a while.
context: And you kinda smell like her.\Damn it!\You would play a lovely sound.\Shrade stayed in Neo-Kowloon, didn't he?\Fine.\Deploy as soon as Cayenne, Zessica, and Andy return.\Roger.\Uhm... I've been wondering this for a while. response:	How come Shrade's never been deployed?
context: Damn it!\You would play a lovely sound.\Shrade stayed in Neo-Kowloon, didn't he?\Fine.\Deploy as soon as Cayenne, Zessica, and Andy return.\Roger.\Uhm... I've been wondering this for a while.\How come Shrade's never been deployed? response:	He always has the best record for the mock battles.
context: You would play a lovely sound.\Shrade stayed in Neo-Kowloon, didn't he?\Fine.\Deploy as soon as Cayenne, Zessica, and Andy return.\Roger.\Uhm... I've been wondering this for a while.\How come Shrade's never been deployed?\He always has the best record for the mock battles. response:	So the girls have been curious as to why...
context: Shrade stayed in Neo-Kowloon, didn't he?\Fine.\Deploy as soon as Cayenne, Zessica, and Andy return.\Roger.\Uhm... I've been wondering this for a while.\How come Shrade's never been deployed?\He always has the best record for the mock battles.\So the girls have been curious as to why... response:	Boys and girls Union together now,
context: Fine.\Deploy as soon as Cayenne, Zessica, and Andy return.\Roger.\Uhm... I've been wondering this for a while.\How come Shrade's never been deployed?\He always has the best record for the mock battles.\So the girls have been curious as to why...\Boys and girls Union together now, response:	so we should know about Elements we might do it with sometime.
context: Deploy as soon as Cayenne, Zessica, and Andy return.\Roger.\Uhm... I've been wondering this for a while.\How come Shrade's never been deployed?\He always has the best record for the mock battles.\So the girls have been curious as to why...\Boys and girls Union together now,\so we should know about Elements we might do it with sometime. response:	Shrade Elan had a great gift with music from a young age.
context: Roger.\Uhm... I've been wondering this for a while.\How come Shrade's never been deployed?\He always has the best record for the mock battles.\So the girls have been curious as to why...\Boys and girls Union together now,\so we should know about Elements we might do it with sometime.\Shrade Elan had a great gift with music from a young age. response:	But a strong, dark Element power infused the music from his piano.
context: Uhm... I've been wondering this for a while.\How come Shrade's never been deployed?\He always has the best record for the mock battles.\So the girls have been curious as to why...\Boys and girls Union together now,\so we should know about Elements we might do it with sometime.\Shrade Elan had a great gift with music from a young age.\But a strong, dark Element power infused the music from his piano. response:	They said his music could reach into people's minds and play on their pain.
context: How come Shrade's never been deployed?\He always has the best record for the mock battles.\So the girls have been curious as to why...\Boys and girls Union together now,\so we should know about Elements we might do it with sometime.\Shrade Elan had a great gift with music from a young age.\But a strong, dark Element power infused the music from his piano.\They said his music could reach into people's minds and play on their pain. response:	So rumors spread, and eventually he became a terrible weapon.
context: He always has the best record for the mock battles.\So the girls have been curious as to why...\Boys and girls Union together now,\so we should know about Elements we might do it with sometime.\Shrade Elan had a great gift with music from a young age.\But a strong, dark Element power infused the music from his piano.\They said his music could reach into people's minds and play on their pain.\So rumors spread, and eventually he became a terrible weapon. response:	This sound!
context: So the girls have been curious as to why...\Boys and girls Union together now,\so we should know about Elements we might do it with sometime.\Shrade Elan had a great gift with music from a young age.\But a strong, dark Element power infused the music from his piano.\They said his music could reach into people's minds and play on their pain.\So rumors spread, and eventually he became a terrible weapon.\This sound! response:	Neo-Deava?
context: Boys and girls Union together now,\so we should know about Elements we might do it with sometime.\Shrade Elan had a great gift with music from a young age.\But a strong, dark Element power infused the music from his piano.\They said his music could reach into people's minds and play on their pain.\So rumors spread, and eventually he became a terrible weapon.\This sound!\Neo-Deava? response:	So Shrade got pulled in by the chairman kid?
context: so we should know about Elements we might do it with sometime.\Shrade Elan had a great gift with music from a young age.\But a strong, dark Element power infused the music from his piano.\They said his music could reach into people's minds and play on their pain.\So rumors spread, and eventually he became a terrible weapon.\This sound!\Neo-Deava?\So Shrade got pulled in by the chairman kid? response:	Wait, how old is the chairman anyway?
context: Shrade Elan had a great gift with music from a young age.\But a strong, dark Element power infused the music from his piano.\They said his music could reach into people's minds and play on their pain.\So rumors spread, and eventually he became a terrible weapon.\This sound!\Neo-Deava?\So Shrade got pulled in by the chairman kid?\Wait, how old is the chairman anyway? response:	But the Element aptitude test revealed something terrible.
context: But a strong, dark Element power infused the music from his piano.\They said his music could reach into people's minds and play on their pain.\So rumors spread, and eventually he became a terrible weapon.\This sound!\Neo-Deava?\So Shrade got pulled in by the chairman kid?\Wait, how old is the chairman anyway?\But the Element aptitude test revealed something terrible. response:	Piloting Aquarion would shorten Shrade's life.
context: They said his music could reach into people's minds and play on their pain.\So rumors spread, and eventually he became a terrible weapon.\This sound!\Neo-Deava?\So Shrade got pulled in by the chairman kid?\Wait, how old is the chairman anyway?\But the Element aptitude test revealed something terrible.\Piloting Aquarion would shorten Shrade's life. response:	Aquarion amplifies the power within its Elements.
context: So rumors spread, and eventually he became a terrible weapon.\This sound!\Neo-Deava?\So Shrade got pulled in by the chairman kid?\Wait, how old is the chairman anyway?\But the Element aptitude test revealed something terrible.\Piloting Aquarion would shorten Shrade's life.\Aquarion amplifies the power within its Elements. response:	That power feeds back into the Elements, each strengthening the other.
context: This sound!\Neo-Deava?\So Shrade got pulled in by the chairman kid?\Wait, how old is the chairman anyway?\But the Element aptitude test revealed something terrible.\Piloting Aquarion would shorten Shrade's life.\Aquarion amplifies the power within its Elements.\That power feeds back into the Elements, each strengthening the other. response:	Shrade's Element power is too strong.
context: Neo-Deava?\So Shrade got pulled in by the chairman kid?\Wait, how old is the chairman anyway?\But the Element aptitude test revealed something terrible.\Piloting Aquarion would shorten Shrade's life.\Aquarion amplifies the power within its Elements.\That power feeds back into the Elements, each strengthening the other.\Shrade's Element power is too strong. response:	His sick body can't handle channeling Aquarion's power.
context: So Shrade got pulled in by the chairman kid?\Wait, how old is the chairman anyway?\But the Element aptitude test revealed something terrible.\Piloting Aquarion would shorten Shrade's life.\Aquarion amplifies the power within its Elements.\That power feeds back into the Elements, each strengthening the other.\Shrade's Element power is too strong.\His sick body can't handle channeling Aquarion's power. response:	I'm so sorry.
context: Wait, how old is the chairman anyway?\But the Element aptitude test revealed something terrible.\Piloting Aquarion would shorten Shrade's life.\Aquarion amplifies the power within its Elements.\That power feeds back into the Elements, each strengthening the other.\Shrade's Element power is too strong.\His sick body can't handle channeling Aquarion's power.\I'm so sorry. response:	It took a little damage.
context: But the Element aptitude test revealed something terrible.\Piloting Aquarion would shorten Shrade's life.\Aquarion amplifies the power within its Elements.\That power feeds back into the Elements, each strengthening the other.\Shrade's Element power is too strong.\His sick body can't handle channeling Aquarion's power.\I'm so sorry.\It took a little damage. response:	But it has a lovely sound.
context: Piloting Aquarion would shorten Shrade's life.\Aquarion amplifies the power within its Elements.\That power feeds back into the Elements, each strengthening the other.\Shrade's Element power is too strong.\His sick body can't handle channeling Aquarion's power.\I'm so sorry.\It took a little damage.\But it has a lovely sound. response:	I would die happy hearing its voice.
context: Aquarion amplifies the power within its Elements.\That power feeds back into the Elements, each strengthening the other.\Shrade's Element power is too strong.\His sick body can't handle channeling Aquarion's power.\I'm so sorry.\It took a little damage.\But it has a lovely sound.\I would die happy hearing its voice. response:	Mikono!
context: That power feeds back into the Elements, each strengthening the other.\Shrade's Element power is too strong.\His sick body can't handle channeling Aquarion's power.\I'm so sorry.\It took a little damage.\But it has a lovely sound.\I would die happy hearing its voice.\Mikono! response:	I'm sorry...
context: Shrade's Element power is too strong.\His sick body can't handle channeling Aquarion's power.\I'm so sorry.\It took a little damage.\But it has a lovely sound.\I would die happy hearing its voice.\Mikono!\I'm sorry... response:	I have to tell him I'm sorry...
context: His sick body can't handle channeling Aquarion's power.\I'm so sorry.\It took a little damage.\But it has a lovely sound.\I would die happy hearing its voice.\Mikono!\I'm sorry...\I have to tell him I'm sorry... response:	You're sorry? Him?
context: I'm so sorry.\It took a little damage.\But it has a lovely sound.\I would die happy hearing its voice.\Mikono!\I'm sorry...\I have to tell him I'm sorry...\You're sorry? Him? response:	What are you talking about, Mikono?
context: It took a little damage.\But it has a lovely sound.\I would die happy hearing its voice.\Mikono!\I'm sorry...\I have to tell him I'm sorry...\You're sorry? Him?\What are you talking about, Mikono? response:	The Abductor alarm!
context: But it has a lovely sound.\I would die happy hearing its voice.\Mikono!\I'm sorry...\I have to tell him I'm sorry...\You're sorry? Him?\What are you talking about, Mikono?\The Abductor alarm! response:	Vectors!
context: I would die happy hearing its voice.\Mikono!\I'm sorry...\I have to tell him I'm sorry...\You're sorry? Him?\What are you talking about, Mikono?\The Abductor alarm!\Vectors! response:	Goddamn it! Why can't anyone leave us alone?
context: Mikono!\I'm sorry...\I have to tell him I'm sorry...\You're sorry? Him?\What are you talking about, Mikono?\The Abductor alarm!\Vectors!\Goddamn it! Why can't anyone leave us alone? response:	My wench...
context: I'm sorry...\I have to tell him I'm sorry...\You're sorry? Him?\What are you talking about, Mikono?\The Abductor alarm!\Vectors!\Goddamn it! Why can't anyone leave us alone?\My wench... response:	Where is she?!
context: I have to tell him I'm sorry...\You're sorry? Him?\What are you talking about, Mikono?\The Abductor alarm!\Vectors!\Goddamn it! Why can't anyone leave us alone?\My wench...\Where is she?! response:	It's him!
context: You're sorry? Him?\What are you talking about, Mikono?\The Abductor alarm!\Vectors!\Goddamn it! Why can't anyone leave us alone?\My wench...\Where is she?!\It's him! response:	It's that beastial Abductor again!
context: What are you talking about, Mikono?\The Abductor alarm!\Vectors!\Goddamn it! Why can't anyone leave us alone?\My wench...\Where is she?!\It's him!\It's that beastial Abductor again! response:	Mithra Gnis.
context: The Abductor alarm!\Vectors!\Goddamn it! Why can't anyone leave us alone?\My wench...\Where is she?!\It's him!\It's that beastial Abductor again!\Mithra Gnis. response:	Is that the name of the robot, High Commander?
context: Vectors!\Goddamn it! Why can't anyone leave us alone?\My wench...\Where is she?!\It's him!\It's that beastial Abductor again!\Mithra Gnis.\Is that the name of the robot, High Commander? response:	I can smell better from in here.
context: Goddamn it! Why can't anyone leave us alone?\My wench...\Where is she?!\It's him!\It's that beastial Abductor again!\Mithra Gnis.\Is that the name of the robot, High Commander?\I can smell better from in here. response:	Cayenne!
context: My wench...\Where is she?!\It's him!\It's that beastial Abductor again!\Mithra Gnis.\Is that the name of the robot, High Commander?\I can smell better from in here.\Cayenne! response:	Not this one.
context: Where is she?!\It's him!\It's that beastial Abductor again!\Mithra Gnis.\Is that the name of the robot, High Commander?\I can smell better from in here.\Cayenne!\Not this one. response:	Must be that one!
context: It's him!\It's that beastial Abductor again!\Mithra Gnis.\Is that the name of the robot, High Commander?\I can smell better from in here.\Cayenne!\Not this one.\Must be that one! response:	Look out, Zessica!
context: It's that beastial Abductor again!\Mithra Gnis.\Is that the name of the robot, High Commander?\I can smell better from in here.\Cayenne!\Not this one.\Must be that one!\Look out, Zessica! response:	I can tell...
context: Mithra Gnis.\Is that the name of the robot, High Commander?\I can smell better from in here.\Cayenne!\Not this one.\Must be that one!\Look out, Zessica!\I can tell... response:	He's looking for Mikono.
context: Is that the name of the robot, High Commander?\I can smell better from in here.\Cayenne!\Not this one.\Must be that one!\Look out, Zessica!\I can tell...\He's looking for Mikono. response:	Mikono! You're awake!
context: I can smell better from in here.\Cayenne!\Not this one.\Must be that one!\Look out, Zessica!\I can tell...\He's looking for Mikono.\Mikono! You're awake! response:	Amata...
context: Cayenne!\Not this one.\Must be that one!\Look out, Zessica!\I can tell...\He's looking for Mikono.\Mikono! You're awake!\Amata... response:	Where am I?
context: Not this one.\Must be that one!\Look out, Zessica!\I can tell...\He's looking for Mikono.\Mikono! You're awake!\Amata...\Where am I? response:	Mikono, you were saying that you have to apologize to him.
context: Must be that one!\Look out, Zessica!\I can tell...\He's looking for Mikono.\Mikono! You're awake!\Amata...\Where am I?\Mikono, you were saying that you have to apologize to him. response:	Apologize?
context: Look out, Zessica!\I can tell...\He's looking for Mikono.\Mikono! You're awake!\Amata...\Where am I?\Mikono, you were saying that you have to apologize to him.\Apologize? response:	I don't know.
context: I can tell...\He's looking for Mikono.\Mikono! You're awake!\Amata...\Where am I?\Mikono, you were saying that you have to apologize to him.\Apologize?\I don't know. response:	I was so scared when he grabbed me.
context: He's looking for Mikono.\Mikono! You're awake!\Amata...\Where am I?\Mikono, you were saying that you have to apologize to him.\Apologize?\I don't know.\I was so scared when he grabbed me. response:	But I felt like he really cared about me.
