context: This power... It's just like Father's! response:	Cuckoo Clock!
context: It's alright. It's alright now.\Rin!\It's blue, no matter how I look at it.\Just like that night.\Who's that?\So he's here...\Good morning, children.\I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters. response:	Arthur Auguste Angel?
context: Rin!\It's blue, no matter how I look at it.\Just like that night.\Who's that?\So he's here...\Good morning, children.\I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters.\Arthur Auguste Angel? response:	He's the recently appointed new Paladin.
context: It's blue, no matter how I look at it.\Just like that night.\Who's that?\So he's here...\Good morning, children.\I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters.\Arthur Auguste Angel?\He's the recently appointed new Paladin. response:	Paladin?
context: Just like that night.\Who's that?\So he's here...\Good morning, children.\I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters.\Arthur Auguste Angel?\He's the recently appointed new Paladin.\Paladin? response:	And your direct superior, Shura.
context: Who's that?\So he's here...\Good morning, children.\I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters.\Arthur Auguste Angel?\He's the recently appointed new Paladin.\Paladin?\And your direct superior, Shura. response:	What's the meaning of this, Shura?
context: So he's here...\Good morning, children.\I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters.\Arthur Auguste Angel?\He's the recently appointed new Paladin.\Paladin?\And your direct superior, Shura.\What's the meaning of this, Shura? response:	Wasn't your mission to investigate and report on
context: Good morning, children.\I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters.\Arthur Auguste Angel?\He's the recently appointed new Paladin.\Paladin?\And your direct superior, Shura.\What's the meaning of this, Shura?\Wasn't your mission to investigate and report on response:	what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together?
context: I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters.\Arthur Auguste Angel?\He's the recently appointed new Paladin.\Paladin?\And your direct superior, Shura.\What's the meaning of this, Shura?\Wasn't your mission to investigate and report on\what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together? response:	You had other spies anyway, didn't you?
context: Arthur Auguste Angel?\He's the recently appointed new Paladin.\Paladin?\And your direct superior, Shura.\What's the meaning of this, Shura?\Wasn't your mission to investigate and report on\what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together?\You had other spies anyway, didn't you? response:	Well... But you had another important mission.
context: He's the recently appointed new Paladin.\Paladin?\And your direct superior, Shura.\What's the meaning of this, Shura?\Wasn't your mission to investigate and report on\what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together?\You had other spies anyway, didn't you?\Well... But you had another important mission. response:	If you can determine that that thing is related to Satan, exterminate it.
context: Paladin?\And your direct superior, Shura.\What's the meaning of this, Shura?\Wasn't your mission to investigate and report on\what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together?\You had other spies anyway, didn't you?\Well... But you had another important mission.\If you can determine that that thing is related to Satan, exterminate it. response:	Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan?
context: And your direct superior, Shura.\What's the meaning of this, Shura?\Wasn't your mission to investigate and report on\what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together?\You had other spies anyway, didn't you?\Well... But you had another important mission.\If you can determine that that thing is related to Satan, exterminate it.\Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan? response:	Your deductions never cease to amaze me.
context: What's the meaning of this, Shura?\Wasn't your mission to investigate and report on\what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together?\You had other spies anyway, didn't you?\Well... But you had another important mission.\If you can determine that that thing is related to Satan, exterminate it.\Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan?\Your deductions never cease to amaze me. response:	Mephisto.
context: Wasn't your mission to investigate and report on\what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together?\You had other spies anyway, didn't you?\Well... But you had another important mission.\If you can determine that that thing is related to Satan, exterminate it.\Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan?\Your deductions never cease to amaze me.\Mephisto. response:	It has been a while, Angel.
context: what the Head of the Japanese Branch, Mephisto Pheles, and the deceased Shiro Fujimoto had been hiding together?\You had other spies anyway, didn't you?\Well... But you had another important mission.\If you can determine that that thing is related to Satan, exterminate it.\Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan?\Your deductions never cease to amaze me.\Mephisto.\It has been a while, Angel. response:	I hear you have collected the title of Paladin too.
context: You had other spies anyway, didn't you?\Well... But you had another important mission.\If you can determine that that thing is related to Satan, exterminate it.\Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan?\Your deductions never cease to amaze me.\Mephisto.\It has been a while, Angel.\I hear you have collected the title of Paladin too. response:	Let me voice my joy thereupon.
context: Well... But you had another important mission.\If you can determine that that thing is related to Satan, exterminate it.\Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan?\Your deductions never cease to amaze me.\Mephisto.\It has been a while, Angel.\I hear you have collected the title of Paladin too.\Let me voice my joy thereupon. response:	You finally decided to show your tail?
context: If you can determine that that thing is related to Satan, exterminate it.\Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan?\Your deductions never cease to amaze me.\Mephisto.\It has been a while, Angel.\I hear you have collected the title of Paladin too.\Let me voice my joy thereupon.\You finally decided to show your tail? response:	Even the Council of Grigori recognizes your betrayal.
context: Shura, don't you think that the creature clad in blue flames just a moment ago is related to Satan?\Your deductions never cease to amaze me.\Mephisto.\It has been a while, Angel.\I hear you have collected the title of Paladin too.\Let me voice my joy thereupon.\You finally decided to show your tail?\Even the Council of Grigori recognizes your betrayal. response:	This case is the absolute proof.
context: Your deductions never cease to amaze me.\Mephisto.\It has been a while, Angel.\I hear you have collected the title of Paladin too.\Let me voice my joy thereupon.\You finally decided to show your tail?\Even the Council of Grigori recognizes your betrayal.\This case is the absolute proof. response:	I can assure you that I am not flaunting my tail.
context: Mephisto.\It has been a while, Angel.\I hear you have collected the title of Paladin too.\Let me voice my joy thereupon.\You finally decided to show your tail?\Even the Council of Grigori recognizes your betrayal.\This case is the absolute proof.\I can assure you that I am not flaunting my tail. response:	You're insulting a gentleman.
context: It has been a while, Angel.\I hear you have collected the title of Paladin too.\Let me voice my joy thereupon.\You finally decided to show your tail?\Even the Council of Grigori recognizes your betrayal.\This case is the absolute proof.\I can assure you that I am not flaunting my tail.\You're insulting a gentleman. response:	Very well.
context: I hear you have collected the title of Paladin too.\Let me voice my joy thereupon.\You finally decided to show your tail?\Even the Council of Grigori recognizes your betrayal.\This case is the absolute proof.\I can assure you that I am not flaunting my tail.\You're insulting a gentleman.\Very well. response:	Caliburn, give me strength.
context: Let me voice my joy thereupon.\You finally decided to show your tail?\Even the Council of Grigori recognizes your betrayal.\This case is the absolute proof.\I can assure you that I am not flaunting my tail.\You're insulting a gentleman.\Very well.\Caliburn, give me strength. response:	Squee Arthur! It'll be my pleasure!
context: You finally decided to show your tail?\Even the Council of Grigori recognizes your betrayal.\This case is the absolute proof.\I can assure you that I am not flaunting my tail.\You're insulting a gentleman.\Very well.\Caliburn, give me strength.\Squee Arthur! It'll be my pleasure! response:	By the decree of the Grigori of the Highest Court of the Order of the True Cross,
context: Even the Council of Grigori recognizes your betrayal.\This case is the absolute proof.\I can assure you that I am not flaunting my tail.\You're insulting a gentleman.\Very well.\Caliburn, give me strength.\Squee Arthur! It'll be my pleasure!\By the decree of the Grigori of the Highest Court of the Order of the True Cross, response:	I shall exterminate Satan's spawn.
context: This case is the absolute proof.\I can assure you that I am not flaunting my tail.\You're insulting a gentleman.\Very well.\Caliburn, give me strength.\Squee Arthur! It'll be my pleasure!\By the decree of the Grigori of the Highest Court of the Order of the True Cross,\I shall exterminate Satan's spawn. response:	Rin!
context: I can assure you that I am not flaunting my tail.\You're insulting a gentleman.\Very well.\Caliburn, give me strength.\Squee Arthur! It'll be my pleasure!\By the decree of the Grigori of the Highest Court of the Order of the True Cross,\I shall exterminate Satan's spawn.\Rin! response:	Kirigakure Demon Sword Technique: Slither!
context: You're insulting a gentleman.\Very well.\Caliburn, give me strength.\Squee Arthur! It'll be my pleasure!\By the decree of the Grigori of the Highest Court of the Order of the True Cross,\I shall exterminate Satan's spawn.\Rin!\Kirigakure Demon Sword Technique: Slither! response:	Snakefang!
context: Very well.\Caliburn, give me strength.\Squee Arthur! It'll be my pleasure!\By the decree of the Grigori of the Highest Court of the Order of the True Cross,\I shall exterminate Satan's spawn.\Rin!\Kirigakure Demon Sword Technique: Slither!\Snakefang! response:	Why are you protecting Satan's son?
context: Caliburn, give me strength.\Squee Arthur! It'll be my pleasure!\By the decree of the Grigori of the Highest Court of the Order of the True Cross,\I shall exterminate Satan's spawn.\Rin!\Kirigakure Demon Sword Technique: Slither!\Snakefang!\Why are you protecting Satan's son? response:	Have you sided with Mephisto?
context: Squee Arthur! It'll be my pleasure!\By the decree of the Grigori of the Highest Court of the Order of the True Cross,\I shall exterminate Satan's spawn.\Rin!\Kirigakure Demon Sword Technique: Slither!\Snakefang!\Why are you protecting Satan's son?\Have you sided with Mephisto? response:	As if.
context: By the decree of the Grigori of the Highest Court of the Order of the True Cross,\I shall exterminate Satan's spawn.\Rin!\Kirigakure Demon Sword Technique: Slither!\Snakefang!\Why are you protecting Satan's son?\Have you sided with Mephisto?\As if. response:	You wanted to honor Fujimoto's will?
context: I shall exterminate Satan's spawn.\Rin!\Kirigakure Demon Sword Technique: Slither!\Snakefang!\Why are you protecting Satan's son?\Have you sided with Mephisto?\As if.\You wanted to honor Fujimoto's will? response:	You'd do this for the man who was the worst Paladin ever?
context: Rin!\Kirigakure Demon Sword Technique: Slither!\Snakefang!\Why are you protecting Satan's son?\Have you sided with Mephisto?\As if.\You wanted to honor Fujimoto's will?\You'd do this for the man who was the worst Paladin ever? response:	No way, idiot. You baldy!
context: Kirigakure Demon Sword Technique: Slither!\Snakefang!\Why are you protecting Satan's son?\Have you sided with Mephisto?\As if.\You wanted to honor Fujimoto's will?\You'd do this for the man who was the worst Paladin ever?\No way, idiot. You baldy! response:	I'm not bald. What a fascinating jest!
context: Snakefang!\Why are you protecting Satan's son?\Have you sided with Mephisto?\As if.\You wanted to honor Fujimoto's will?\You'd do this for the man who was the worst Paladin ever?\No way, idiot. You baldy!\I'm not bald. What a fascinating jest! response:	But the Grigori's orders are absolute.
context: Why are you protecting Satan's son?\Have you sided with Mephisto?\As if.\You wanted to honor Fujimoto's will?\You'd do this for the man who was the worst Paladin ever?\No way, idiot. You baldy!\I'm not bald. What a fascinating jest!\But the Grigori's orders are absolute. response:	Even you...
context: Have you sided with Mephisto?\As if.\You wanted to honor Fujimoto's will?\You'd do this for the man who was the worst Paladin ever?\No way, idiot. You baldy!\I'm not bald. What a fascinating jest!\But the Grigori's orders are absolute.\Even you... response:	Yes.
context: As if.\You wanted to honor Fujimoto's will?\You'd do this for the man who was the worst Paladin ever?\No way, idiot. You baldy!\I'm not bald. What a fascinating jest!\But the Grigori's orders are absolute.\Even you...\Yes. response:	As you command.
context: You wanted to honor Fujimoto's will?\You'd do this for the man who was the worst Paladin ever?\No way, idiot. You baldy!\I'm not bald. What a fascinating jest!\But the Grigori's orders are absolute.\Even you...\Yes.\As you command. response:	New orders from the Grigori.
context: You'd do this for the man who was the worst Paladin ever?\No way, idiot. You baldy!\I'm not bald. What a fascinating jest!\But the Grigori's orders are absolute.\Even you...\Yes.\As you command.\New orders from the Grigori. response:	They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court.
context: No way, idiot. You baldy!\I'm not bald. What a fascinating jest!\But the Grigori's orders are absolute.\Even you...\Yes.\As you command.\New orders from the Grigori.\They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court. response:	I'm looking forward to that.
context: I'm not bald. What a fascinating jest!\But the Grigori's orders are absolute.\Even you...\Yes.\As you command.\New orders from the Grigori.\They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court.\I'm looking forward to that. response:	Shura, you will come too as a witness.
context: But the Grigori's orders are absolute.\Even you...\Yes.\As you command.\New orders from the Grigori.\They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court.\I'm looking forward to that.\Shura, you will come too as a witness. response:	And of course the spawn of Satan as well.
context: Even you...\Yes.\As you command.\New orders from the Grigori.\They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court.\I'm looking forward to that.\Shura, you will come too as a witness.\And of course the spawn of Satan as well. response:	He's an important piece of evidence.
context: Yes.\As you command.\New orders from the Grigori.\They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court.\I'm looking forward to that.\Shura, you will come too as a witness.\And of course the spawn of Satan as well.\He's an important piece of evidence. response:	Wait a second, I'll come too!
context: As you command.\New orders from the Grigori.\They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court.\I'm looking forward to that.\Shura, you will come too as a witness.\And of course the spawn of Satan as well.\He's an important piece of evidence.\Wait a second, I'll come too! response:	You still have duties towards your students.
context: New orders from the Grigori.\They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court.\I'm looking forward to that.\Shura, you will come too as a witness.\And of course the spawn of Satan as well.\He's an important piece of evidence.\Wait a second, I'll come too!\You still have duties towards your students. response:	This can't be used to suppress his flames anymore.
context: They have decided to summon Mephisto Pheles, the Head of the Japanese Branch to court.\I'm looking forward to that.\Shura, you will come too as a witness.\And of course the spawn of Satan as well.\He's an important piece of evidence.\Wait a second, I'll come too!\You still have duties towards your students.\This can't be used to suppress his flames anymore. response:	Then shall we get going, Angel?
context: I'm looking forward to that.\Shura, you will come too as a witness.\And of course the spawn of Satan as well.\He's an important piece of evidence.\Wait a second, I'll come too!\You still have duties towards your students.\This can't be used to suppress his flames anymore.\Then shall we get going, Angel? response:	We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles.
context: Shura, you will come too as a witness.\And of course the spawn of Satan as well.\He's an important piece of evidence.\Wait a second, I'll come too!\You still have duties towards your students.\This can't be used to suppress his flames anymore.\Then shall we get going, Angel?\We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles. response:	The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order,
context: And of course the spawn of Satan as well.\He's an important piece of evidence.\Wait a second, I'll come too!\You still have duties towards your students.\This can't be used to suppress his flames anymore.\Then shall we get going, Angel?\We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles.\The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order, response:	Paladin Arthur Auguste Angel,
context: He's an important piece of evidence.\Wait a second, I'll come too!\You still have duties towards your students.\This can't be used to suppress his flames anymore.\Then shall we get going, Angel?\We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles.\The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order,\Paladin Arthur Auguste Angel, response:	and the Grigori, the High Council of the Order.
context: Wait a second, I'll come too!\You still have duties towards your students.\This can't be used to suppress his flames anymore.\Then shall we get going, Angel?\We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles.\The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order,\Paladin Arthur Auguste Angel,\and the Grigori, the High Council of the Order. response:	Sir Pheles, I will ask you up front.
context: You still have duties towards your students.\This can't be used to suppress his flames anymore.\Then shall we get going, Angel?\We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles.\The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order,\Paladin Arthur Auguste Angel,\and the Grigori, the High Council of the Order.\Sir Pheles, I will ask you up front. response:	Is that demon there the son of Satan?
context: This can't be used to suppress his flames anymore.\Then shall we get going, Angel?\We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles.\The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order,\Paladin Arthur Auguste Angel,\and the Grigori, the High Council of the Order.\Sir Pheles, I will ask you up front.\Is that demon there the son of Satan? response:	Precisely.
context: Then shall we get going, Angel?\We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles.\The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order,\Paladin Arthur Auguste Angel,\and the Grigori, the High Council of the Order.\Sir Pheles, I will ask you up front.\Is that demon there the son of Satan?\Precisely. response:	Now is not the time for excuses.
context: We hereby commence the trial of the Head of the Japanese Branch of the Order of the True Cross, Mephisto Pheles.\The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order,\Paladin Arthur Auguste Angel,\and the Grigori, the High Council of the Order.\Sir Pheles, I will ask you up front.\Is that demon there the son of Satan?\Precisely.\Now is not the time for excuses. response:	My brother...
context: The ones questioning will be I, Timothy Timowan, head of Law Enforcement in the Order,\Paladin Arthur Auguste Angel,\and the Grigori, the High Council of the Order.\Sir Pheles, I will ask you up front.\Is that demon there the son of Satan?\Precisely.\Now is not the time for excuses.\My brother... response:	Rin Okumura was born of Satan and a human woman 15 years ago.
context: Paladin Arthur Auguste Angel,\and the Grigori, the High Council of the Order.\Sir Pheles, I will ask you up front.\Is that demon there the son of Satan?\Precisely.\Now is not the time for excuses.\My brother...\Rin Okumura was born of Satan and a human woman 15 years ago. response:	He possesses the power of Satan's blue flames.
context: and the Grigori, the High Council of the Order.\Sir Pheles, I will ask you up front.\Is that demon there the son of Satan?\Precisely.\Now is not the time for excuses.\My brother...\Rin Okumura was born of Satan and a human woman 15 years ago.\He possesses the power of Satan's blue flames. response:	But you are his twin brother, aren't you?
context: Sir Pheles, I will ask you up front.\Is that demon there the son of Satan?\Precisely.\Now is not the time for excuses.\My brother...\Rin Okumura was born of Satan and a human woman 15 years ago.\He possesses the power of Satan's blue flames.\But you are his twin brother, aren't you? response:	I don't have the flames. I undergo daily checkups, but I'm just an ordinary human.
context: Is that demon there the son of Satan?\Precisely.\Now is not the time for excuses.\My brother...\Rin Okumura was born of Satan and a human woman 15 years ago.\He possesses the power of Satan's blue flames.\But you are his twin brother, aren't you?\I don't have the flames. I undergo daily checkups, but I'm just an ordinary human. response:	Are you saying that the report according to which
context: Precisely.\Now is not the time for excuses.\My brother...\Rin Okumura was born of Satan and a human woman 15 years ago.\He possesses the power of Satan's blue flames.\But you are his twin brother, aren't you?\I don't have the flames. I undergo daily checkups, but I'm just an ordinary human.\Are you saying that the report according to which response:	the son of Satan born to Lower Second Class Exorcist Yurie Gin
context: Now is not the time for excuses.\My brother...\Rin Okumura was born of Satan and a human woman 15 years ago.\He possesses the power of Satan's blue flames.\But you are his twin brother, aren't you?\I don't have the flames. I undergo daily checkups, but I'm just an ordinary human.\Are you saying that the report according to which\the son of Satan born to Lower Second Class Exorcist Yurie Gin response:	was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake?
context: My brother...\Rin Okumura was born of Satan and a human woman 15 years ago.\He possesses the power of Satan's blue flames.\But you are his twin brother, aren't you?\I don't have the flames. I undergo daily checkups, but I'm just an ordinary human.\Are you saying that the report according to which\the son of Satan born to Lower Second Class Exorcist Yurie Gin\was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake? response:	Yes. One of the boys did not have Satan's power.
context: Rin Okumura was born of Satan and a human woman 15 years ago.\He possesses the power of Satan's blue flames.\But you are his twin brother, aren't you?\I don't have the flames. I undergo daily checkups, but I'm just an ordinary human.\Are you saying that the report according to which\the son of Satan born to Lower Second Class Exorcist Yurie Gin\was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake?\Yes. One of the boys did not have Satan's power. response:	The one who has it is right here before you.
context: He possesses the power of Satan's blue flames.\But you are his twin brother, aren't you?\I don't have the flames. I undergo daily checkups, but I'm just an ordinary human.\Are you saying that the report according to which\the son of Satan born to Lower Second Class Exorcist Yurie Gin\was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake?\Yes. One of the boys did not have Satan's power.\The one who has it is right here before you. response:	I have sealed the demonic powers of this boy into the Demon-Slaying Blade.
context: But you are his twin brother, aren't you?\I don't have the flames. I undergo daily checkups, but I'm just an ordinary human.\Are you saying that the report according to which\the son of Satan born to Lower Second Class Exorcist Yurie Gin\was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake?\Yes. One of the boys did not have Satan's power.\The one who has it is right here before you.\I have sealed the demonic powers of this boy into the Demon-Slaying Blade. response:	About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore
context: I don't have the flames. I undergo daily checkups, but I'm just an ordinary human.\Are you saying that the report according to which\the son of Satan born to Lower Second Class Exorcist Yurie Gin\was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake?\Yes. One of the boys did not have Satan's power.\The one who has it is right here before you.\I have sealed the demonic powers of this boy into the Demon-Slaying Blade.\About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore response:	and his powers were awakened.
context: Are you saying that the report according to which\the son of Satan born to Lower Second Class Exorcist Yurie Gin\was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake?\Yes. One of the boys did not have Satan's power.\The one who has it is right here before you.\I have sealed the demonic powers of this boy into the Demon-Slaying Blade.\About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore\and his powers were awakened. response:	Three months ago...
context: the son of Satan born to Lower Second Class Exorcist Yurie Gin\was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake?\Yes. One of the boys did not have Satan's power.\The one who has it is right here before you.\I have sealed the demonic powers of this boy into the Demon-Slaying Blade.\About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore\and his powers were awakened.\Three months ago... response:	Until then he knew nothing about all of this.
context: was slain with the Demon-Slaying Blade by Shiro Fujimoto was fake?\Yes. One of the boys did not have Satan's power.\The one who has it is right here before you.\I have sealed the demonic powers of this boy into the Demon-Slaying Blade.\About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore\and his powers were awakened.\Three months ago...\Until then he knew nothing about all of this. response:	Back then...
context: Yes. One of the boys did not have Satan's power.\The one who has it is right here before you.\I have sealed the demonic powers of this boy into the Demon-Slaying Blade.\About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore\and his powers were awakened.\Three months ago...\Until then he knew nothing about all of this.\Back then... response:	I'm not a demon or anything!
context: The one who has it is right here before you.\I have sealed the demonic powers of this boy into the Demon-Slaying Blade.\About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore\and his powers were awakened.\Three months ago...\Until then he knew nothing about all of this.\Back then...\I'm not a demon or anything! response:	Don't make assumptions!
context: I have sealed the demonic powers of this boy into the Demon-Slaying Blade.\About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore\and his powers were awakened.\Three months ago...\Until then he knew nothing about all of this.\Back then...\I'm not a demon or anything!\Don't make assumptions! response:	I see...
context: About three months ago the Demon-Slaying Blade couldn't suppress his flames anymore\and his powers were awakened.\Three months ago...\Until then he knew nothing about all of this.\Back then...\I'm not a demon or anything!\Don't make assumptions!\I see... response:	What will happen to Rin?
context: and his powers were awakened.\Three months ago...\Until then he knew nothing about all of this.\Back then...\I'm not a demon or anything!\Don't make assumptions!\I see...\What will happen to Rin? response:	The court might sentence him to be executed.
context: Three months ago...\Until then he knew nothing about all of this.\Back then...\I'm not a demon or anything!\Don't make assumptions!\I see...\What will happen to Rin?\The court might sentence him to be executed. response:	Executed?
context: Until then he knew nothing about all of this.\Back then...\I'm not a demon or anything!\Don't make assumptions!\I see...\What will happen to Rin?\The court might sentence him to be executed.\Executed? response:	If he succumbs to his flames, he will turn into a demon completely.
context: Back then...\I'm not a demon or anything!\Don't make assumptions!\I see...\What will happen to Rin?\The court might sentence him to be executed.\Executed?\If he succumbs to his flames, he will turn into a demon completely. response:	If that happens, they won't allow him to...
context: I'm not a demon or anything!\Don't make assumptions!\I see...\What will happen to Rin?\The court might sentence him to be executed.\Executed?\If he succumbs to his flames, he will turn into a demon completely.\If that happens, they won't allow him to... response:	Are you... Are you saying he should just die?
