context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls response:	Boy, please chase after me
context: If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me response:	Because it won't be over after this
context: I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this response:	I can't say I'm sorry, sorry
context: I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry response:	Even though I believe you, my lips are pouting
context: I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting response:	I can't be cute, sorry
context: Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry response:	Catch me in the town where a drizzle is falling
context: I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling response:	Because I'll turn around and give you a make-up kiss
context: Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss response:	In your warm arms
context: Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms response:	The Captivating Girl's Bath
context: Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Captivating Girl's Bath response:	The Captivating Girl's Bath
context: I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Captivating Girl's Bath\The Captivating Girl's Bath response:	Next Time
context: Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Captivating Girl's Bath\The Captivating Girl's Bath\Next Time response:	The Taboo Magic Potion
context: I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Captivating Girl's Bath\The Captivating Girl's Bath\Next Time\The Taboo Magic Potion response:	It is true I touched Miss Tiffania's breasts in the infirmary.
context: Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Captivating Girl's Bath\The Captivating Girl's Bath\Next Time\The Taboo Magic Potion\It is true I touched Miss Tiffania's breasts in the infirmary. response:	I couldn't help but touch her indecent breasts,
context: Because I'll turn around and give you a make-up kiss\In your warm arms\The Captivating Girl's Bath\The Captivating Girl's Bath\Next Time\The Taboo Magic Potion\It is true I touched Miss Tiffania's breasts in the infirmary.\I couldn't help but touch her indecent breasts, response:	so I pinned Miss Tiffania down,
context: In your warm arms\The Captivating Girl's Bath\The Captivating Girl's Bath\Next Time\The Taboo Magic Potion\It is true I touched Miss Tiffania's breasts in the infirmary.\I couldn't help but touch her indecent breasts,\so I pinned Miss Tiffania down, response:	despite her resistance, to fulfil my desire.
context: The Captivating Girl's Bath\The Captivating Girl's Bath\Next Time\The Taboo Magic Potion\It is true I touched Miss Tiffania's breasts in the infirmary.\I couldn't help but touch her indecent breasts,\so I pinned Miss Tiffania down,\despite her resistance, to fulfil my desire. response:	The more Miss Tiffania resisted, the more it excited me...
context: The Captivating Girl's Bath\Next Time\The Taboo Magic Potion\It is true I touched Miss Tiffania's breasts in the infirmary.\I couldn't help but touch her indecent breasts,\so I pinned Miss Tiffania down,\despite her resistance, to fulfil my desire.\The more Miss Tiffania resisted, the more it excited me... response:	Who said you could stop? There's more to read, isn't there?
context: Next Time\The Taboo Magic Potion\It is true I touched Miss Tiffania's breasts in the infirmary.\I couldn't help but touch her indecent breasts,\so I pinned Miss Tiffania down,\despite her resistance, to fulfil my desire.\The more Miss Tiffania resisted, the more it excited me...\Who said you could stop? There's more to read, isn't there? response:	The more Miss Tiffania resisted, the more it excited me,
context: The Taboo Magic Potion\It is true I touched Miss Tiffania's breasts in the infirmary.\I couldn't help but touch her indecent breasts,\so I pinned Miss Tiffania down,\despite her resistance, to fulfil my desire.\The more Miss Tiffania resisted, the more it excited me...\Who said you could stop? There's more to read, isn't there?\The more Miss Tiffania resisted, the more it excited me, response:	and I kept f-fondling her b-breasts, right?!
context: It is true I touched Miss Tiffania's breasts in the infirmary.\I couldn't help but touch her indecent breasts,\so I pinned Miss Tiffania down,\despite her resistance, to fulfil my desire.\The more Miss Tiffania resisted, the more it excited me...\Who said you could stop? There's more to read, isn't there?\The more Miss Tiffania resisted, the more it excited me,\and I kept f-fondling her b-breasts, right?! response:	I can't read this junk!
context: I couldn't help but touch her indecent breasts,\so I pinned Miss Tiffania down,\despite her resistance, to fulfil my desire.\The more Miss Tiffania resisted, the more it excited me...\Who said you could stop? There's more to read, isn't there?\The more Miss Tiffania resisted, the more it excited me,\and I kept f-fondling her b-breasts, right?!\I can't read this junk! response:	Forget this pledge.
context: so I pinned Miss Tiffania down,\despite her resistance, to fulfil my desire.\The more Miss Tiffania resisted, the more it excited me...\Who said you could stop? There's more to read, isn't there?\The more Miss Tiffania resisted, the more it excited me,\and I kept f-fondling her b-breasts, right?!\I can't read this junk!\Forget this pledge. response:	It's not junk!
context: despite her resistance, to fulfil my desire.\The more Miss Tiffania resisted, the more it excited me...\Who said you could stop? There's more to read, isn't there?\The more Miss Tiffania resisted, the more it excited me,\and I kept f-fondling her b-breasts, right?!\I can't read this junk!\Forget this pledge.\It's not junk! response:	I saw it with my own eyes!
context: The more Miss Tiffania resisted, the more it excited me...\Who said you could stop? There's more to read, isn't there?\The more Miss Tiffania resisted, the more it excited me,\and I kept f-fondling her b-breasts, right?!\I can't read this junk!\Forget this pledge.\It's not junk!\I saw it with my own eyes! response:	R-Right when you were touching her breasts.
context: Who said you could stop? There's more to read, isn't there?\The more Miss Tiffania resisted, the more it excited me,\and I kept f-fondling her b-breasts, right?!\I can't read this junk!\Forget this pledge.\It's not junk!\I saw it with my own eyes!\R-Right when you were touching her breasts. response:	I told you that Tiffa asked me to touch them!
context: The more Miss Tiffania resisted, the more it excited me,\and I kept f-fondling her b-breasts, right?!\I can't read this junk!\Forget this pledge.\It's not junk!\I saw it with my own eyes!\R-Right when you were touching her breasts.\I told you that Tiffa asked me to touch them! response:	How am I supposed to believe such a lie?!
context: and I kept f-fondling her b-breasts, right?!\I can't read this junk!\Forget this pledge.\It's not junk!\I saw it with my own eyes!\R-Right when you were touching her breasts.\I told you that Tiffa asked me to touch them!\How am I supposed to believe such a lie?! response:	Continue reading now.
context: I can't read this junk!\Forget this pledge.\It's not junk!\I saw it with my own eyes!\R-Right when you were touching her breasts.\I told you that Tiffa asked me to touch them!\How am I supposed to believe such a lie?!\Continue reading now. response:	Fine.
context: Forget this pledge.\It's not junk!\I saw it with my own eyes!\R-Right when you were touching her breasts.\I told you that Tiffa asked me to touch them!\How am I supposed to believe such a lie?!\Continue reading now.\Fine. response:	Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act.
context: It's not junk!\I saw it with my own eyes!\R-Right when you were touching her breasts.\I told you that Tiffa asked me to touch them!\How am I supposed to believe such a lie?!\Continue reading now.\Fine.\Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act. response:	Additionally...
context: I saw it with my own eyes!\R-Right when you were touching her breasts.\I told you that Tiffa asked me to touch them!\How am I supposed to believe such a lie?!\Continue reading now.\Fine.\Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act.\Additionally... response:	Additionally...
context: R-Right when you were touching her breasts.\I told you that Tiffa asked me to touch them!\How am I supposed to believe such a lie?!\Continue reading now.\Fine.\Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act.\Additionally...\Additionally... response:	Say it.
context: I told you that Tiffa asked me to touch them!\How am I supposed to believe such a lie?!\Continue reading now.\Fine.\Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act.\Additionally...\Additionally...\Say it. response:	Or do you want to live the rest of your life dressed like that?
context: How am I supposed to believe such a lie?!\Continue reading now.\Fine.\Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act.\Additionally...\Additionally...\Say it.\Or do you want to live the rest of your life dressed like that? response:	I do not prefer large breasts!
context: Continue reading now.\Fine.\Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act.\Additionally...\Additionally...\Say it.\Or do you want to live the rest of your life dressed like that?\I do not prefer large breasts! response:	I swear I will never touch anyone else's breasts!
context: Fine.\Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act.\Additionally...\Additionally...\Say it.\Or do you want to live the rest of your life dressed like that?\I do not prefer large breasts!\I swear I will never touch anyone else's breasts! response:	Sign it.
context: Eh... I, Saito Chevalier de Hiraga, have deeply reflected upon my act.\Additionally...\Additionally...\Say it.\Or do you want to live the rest of your life dressed like that?\I do not prefer large breasts!\I swear I will never touch anyone else's breasts!\Sign it. response:	I feel bad for Saito-san.
context: Additionally...\Additionally...\Say it.\Or do you want to live the rest of your life dressed like that?\I do not prefer large breasts!\I swear I will never touch anyone else's breasts!\Sign it.\I feel bad for Saito-san. response:	This matter is between the familiar and his master!
context: Additionally...\Say it.\Or do you want to live the rest of your life dressed like that?\I do not prefer large breasts!\I swear I will never touch anyone else's breasts!\Sign it.\I feel bad for Saito-san.\This matter is between the familiar and his master! response:	You stay out of this!
context: Say it.\Or do you want to live the rest of your life dressed like that?\I do not prefer large breasts!\I swear I will never touch anyone else's breasts!\Sign it.\I feel bad for Saito-san.\This matter is between the familiar and his master!\You stay out of this! response:	But...
context: Or do you want to live the rest of your life dressed like that?\I do not prefer large breasts!\I swear I will never touch anyone else's breasts!\Sign it.\I feel bad for Saito-san.\This matter is between the familiar and his master!\You stay out of this!\But... response:	It's fine, Siesta.
context: I do not prefer large breasts!\I swear I will never touch anyone else's breasts!\Sign it.\I feel bad for Saito-san.\This matter is between the familiar and his master!\You stay out of this!\But...\It's fine, Siesta. response:	Saito-san...
context: I swear I will never touch anyone else's breasts!\Sign it.\I feel bad for Saito-san.\This matter is between the familiar and his master!\You stay out of this!\But...\It's fine, Siesta.\Saito-san... response:	What? Sign it already.
context: Sign it.\I feel bad for Saito-san.\This matter is between the familiar and his master!\You stay out of this!\But...\It's fine, Siesta.\Saito-san...\What? Sign it already. response:	I can't take this anymore.
context: I feel bad for Saito-san.\This matter is between the familiar and his master!\You stay out of this!\But...\It's fine, Siesta.\Saito-san...\What? Sign it already.\I can't take this anymore. response:	I can't sign that thing!
context: This matter is between the familiar and his master!\You stay out of this!\But...\It's fine, Siesta.\Saito-san...\What? Sign it already.\I can't take this anymore.\I can't sign that thing! response:	Hey, I won't allow you to go off like that!
context: You stay out of this!\But...\It's fine, Siesta.\Saito-san...\What? Sign it already.\I can't take this anymore.\I can't sign that thing!\Hey, I won't allow you to go off like that! response:	What's the point of being with a master who can't trust her familiar?
context: But...\It's fine, Siesta.\Saito-san...\What? Sign it already.\I can't take this anymore.\I can't sign that thing!\Hey, I won't allow you to go off like that!\What's the point of being with a master who can't trust her familiar? response:	See ya.
context: It's fine, Siesta.\Saito-san...\What? Sign it already.\I can't take this anymore.\I can't sign that thing!\Hey, I won't allow you to go off like that!\What's the point of being with a master who can't trust her familiar?\See ya. response:	After seeing that...
context: Saito-san...\What? Sign it already.\I can't take this anymore.\I can't sign that thing!\Hey, I won't allow you to go off like that!\What's the point of being with a master who can't trust her familiar?\See ya.\After seeing that... response:	Why can't she believe what I say?
context: What? Sign it already.\I can't take this anymore.\I can't sign that thing!\Hey, I won't allow you to go off like that!\What's the point of being with a master who can't trust her familiar?\See ya.\After seeing that...\Why can't she believe what I say? response:	Look at it from her point of view, too.
context: I can't take this anymore.\I can't sign that thing!\Hey, I won't allow you to go off like that!\What's the point of being with a master who can't trust her familiar?\See ya.\After seeing that...\Why can't she believe what I say?\Look at it from her point of view, too. response:	Before I do that, she should listen to my story.
context: I can't sign that thing!\Hey, I won't allow you to go off like that!\What's the point of being with a master who can't trust her familiar?\See ya.\After seeing that...\Why can't she believe what I say?\Look at it from her point of view, too.\Before I do that, she should listen to my story. response:	Colbert-sensei...
context: Hey, I won't allow you to go off like that!\What's the point of being with a master who can't trust her familiar?\See ya.\After seeing that...\Why can't she believe what I say?\Look at it from her point of view, too.\Before I do that, she should listen to my story.\Colbert-sensei... response:	Sensei, I became a chevalier.
context: What's the point of being with a master who can't trust her familiar?\See ya.\After seeing that...\Why can't she believe what I say?\Look at it from her point of view, too.\Before I do that, she should listen to my story.\Colbert-sensei...\Sensei, I became a chevalier. response:	I was really happy. It felt like I was accepted.
context: See ya.\After seeing that...\Why can't she believe what I say?\Look at it from her point of view, too.\Before I do that, she should listen to my story.\Colbert-sensei...\Sensei, I became a chevalier.\I was really happy. It felt like I was accepted. response:	I want to see that world.
context: After seeing that...\Why can't she believe what I say?\Look at it from her point of view, too.\Before I do that, she should listen to my story.\Colbert-sensei...\Sensei, I became a chevalier.\I was really happy. It felt like I was accepted.\I want to see that world. response:	Take me there one day.
context: Why can't she believe what I say?\Look at it from her point of view, too.\Before I do that, she should listen to my story.\Colbert-sensei...\Sensei, I became a chevalier.\I was really happy. It felt like I was accepted.\I want to see that world.\Take me there one day. response:	You were the only person who believed what I said.
context: Look at it from her point of view, too.\Before I do that, she should listen to my story.\Colbert-sensei...\Sensei, I became a chevalier.\I was really happy. It felt like I was accepted.\I want to see that world.\Take me there one day.\You were the only person who believed what I said. response:	I wanted to talk much more with you.
context: Before I do that, she should listen to my story.\Colbert-sensei...\Sensei, I became a chevalier.\I was really happy. It felt like I was accepted.\I want to see that world.\Take me there one day.\You were the only person who believed what I said.\I wanted to talk much more with you. response:	Tiffa asked you to? Yeah, right?!
context: Colbert-sensei...\Sensei, I became a chevalier.\I was really happy. It felt like I was accepted.\I want to see that world.\Take me there one day.\You were the only person who believed what I said.\I wanted to talk much more with you.\Tiffa asked you to? Yeah, right?! response:	You touched them yourself!
context: Sensei, I became a chevalier.\I was really happy. It felt like I was accepted.\I want to see that world.\Take me there one day.\You were the only person who believed what I said.\I wanted to talk much more with you.\Tiffa asked you to? Yeah, right?!\You touched them yourself! response:	There is a limit to how much he can make a fool out of me!
context: I was really happy. It felt like I was accepted.\I want to see that world.\Take me there one day.\You were the only person who believed what I said.\I wanted to talk much more with you.\Tiffa asked you to? Yeah, right?!\You touched them yourself!\There is a limit to how much he can make a fool out of me! response:	The only ones you're allowed to touch are mine...
context: I want to see that world.\Take me there one day.\You were the only person who believed what I said.\I wanted to talk much more with you.\Tiffa asked you to? Yeah, right?!\You touched them yourself!\There is a limit to how much he can make a fool out of me!\The only ones you're allowed to touch are mine... response:	Ow...
context: Take me there one day.\You were the only person who believed what I said.\I wanted to talk much more with you.\Tiffa asked you to? Yeah, right?!\You touched them yourself!\There is a limit to how much he can make a fool out of me!\The only ones you're allowed to touch are mine...\Ow... response:	What? When did I fall asleep?
context: You were the only person who believed what I said.\I wanted to talk much more with you.\Tiffa asked you to? Yeah, right?!\You touched them yourself!\There is a limit to how much he can make a fool out of me!\The only ones you're allowed to touch are mine...\Ow...\What? When did I fall asleep? response:	Um, would you give this to Guiche-sama?
context: I wanted to talk much more with you.\Tiffa asked you to? Yeah, right?!\You touched them yourself!\There is a limit to how much he can make a fool out of me!\The only ones you're allowed to touch are mine...\Ow...\What? When did I fall asleep?\Um, would you give this to Guiche-sama? response:	Would you give this to Reinard-sama?
context: Tiffa asked you to? Yeah, right?!\You touched them yourself!\There is a limit to how much he can make a fool out of me!\The only ones you're allowed to touch are mine...\Ow...\What? When did I fall asleep?\Um, would you give this to Guiche-sama?\Would you give this to Reinard-sama? response:	Form a queue, please. A queue, please.
context: You touched them yourself!\There is a limit to how much he can make a fool out of me!\The only ones you're allowed to touch are mine...\Ow...\What? When did I fall asleep?\Um, would you give this to Guiche-sama?\Would you give this to Reinard-sama?\Form a queue, please. A queue, please. response:	What's that?
context: There is a limit to how much he can make a fool out of me!\The only ones you're allowed to touch are mine...\Ow...\What? When did I fall asleep?\Um, would you give this to Guiche-sama?\Would you give this to Reinard-sama?\Form a queue, please. A queue, please.\What's that? response:	What is this about?
context: The only ones you're allowed to touch are mine...\Ow...\What? When did I fall asleep?\Um, would you give this to Guiche-sama?\Would you give this to Reinard-sama?\Form a queue, please. A queue, please.\What's that?\What is this about? response:	It increased after the Luft Panzer Ritter incident.
context: Ow...\What? When did I fall asleep?\Um, would you give this to Guiche-sama?\Would you give this to Reinard-sama?\Form a queue, please. A queue, please.\What's that?\What is this about?\It increased after the Luft Panzer Ritter incident. response:	Reinard-san. You have a first-year girl calling you.
context: What? When did I fall asleep?\Um, would you give this to Guiche-sama?\Would you give this to Reinard-sama?\Form a queue, please. A queue, please.\What's that?\What is this about?\It increased after the Luft Panzer Ritter incident.\Reinard-san. You have a first-year girl calling you. response:	Okay.
context: Um, would you give this to Guiche-sama?\Would you give this to Reinard-sama?\Form a queue, please. A queue, please.\What's that?\What is this about?\It increased after the Luft Panzer Ritter incident.\Reinard-san. You have a first-year girl calling you.\Okay. response:	Who's he?
context: Would you give this to Reinard-sama?\Form a queue, please. A queue, please.\What's that?\What is this about?\It increased after the Luft Panzer Ritter incident.\Reinard-san. You have a first-year girl calling you.\Okay.\Who's he? response:	A new member, Gimli.
context: Form a queue, please. A queue, please.\What's that?\What is this about?\It increased after the Luft Panzer Ritter incident.\Reinard-san. You have a first-year girl calling you.\Okay.\Who's he?\A new member, Gimli. response:	He joined because he wanted to become popular among the girls.
context: What's that?\What is this about?\It increased after the Luft Panzer Ritter incident.\Reinard-san. You have a first-year girl calling you.\Okay.\Who's he?\A new member, Gimli.\He joined because he wanted to become popular among the girls. response:	Geez, everyone's hooking up.
context: What is this about?\It increased after the Luft Panzer Ritter incident.\Reinard-san. You have a first-year girl calling you.\Okay.\Who's he?\A new member, Gimli.\He joined because he wanted to become popular among the girls.\Geez, everyone's hooking up. response:	I never knew I'd have trouble with being too popular.
context: It increased after the Luft Panzer Ritter incident.\Reinard-san. You have a first-year girl calling you.\Okay.\Who's he?\A new member, Gimli.\He joined because he wanted to become popular among the girls.\Geez, everyone's hooking up.\I never knew I'd have trouble with being too popular. response:	Guiche.
context: Reinard-san. You have a first-year girl calling you.\Okay.\Who's he?\A new member, Gimli.\He joined because he wanted to become popular among the girls.\Geez, everyone's hooking up.\I never knew I'd have trouble with being too popular.\Guiche. response:	M-Montmorency!
context: Okay.\Who's he?\A new member, Gimli.\He joined because he wanted to become popular among the girls.\Geez, everyone's hooking up.\I never knew I'd have trouble with being too popular.\Guiche.\M-Montmorency! response:	Who gave you those?
context: Who's he?\A new member, Gimli.\He joined because he wanted to become popular among the girls.\Geez, everyone's hooking up.\I never knew I'd have trouble with being too popular.\Guiche.\M-Montmorency!\Who gave you those? response:	Y-You've got it wrong, Montmorency.
context: A new member, Gimli.\He joined because he wanted to become popular among the girls.\Geez, everyone's hooking up.\I never knew I'd have trouble with being too popular.\Guiche.\M-Montmorency!\Who gave you those?\Y-You've got it wrong, Montmorency. response:	I prepared these for you. Believe me.
context: He joined because he wanted to become popular among the girls.\Geez, everyone's hooking up.\I never knew I'd have trouble with being too popular.\Guiche.\M-Montmorency!\Who gave you those?\Y-You've got it wrong, Montmorency.\I prepared these for you. Believe me. response:	I want to believe that.
context: Geez, everyone's hooking up.\I never knew I'd have trouble with being too popular.\Guiche.\M-Montmorency!\Who gave you those?\Y-You've got it wrong, Montmorency.\I prepared these for you. Believe me.\I want to believe that. response:	But I'm worried.
context: I never knew I'd have trouble with being too popular.\Guiche.\M-Montmorency!\Who gave you those?\Y-You've got it wrong, Montmorency.\I prepared these for you. Believe me.\I want to believe that.\But I'm worried. response:	The girls won't leave you alone nowadays.
context: Guiche.\M-Montmorency!\Who gave you those?\Y-You've got it wrong, Montmorency.\I prepared these for you. Believe me.\I want to believe that.\But I'm worried.\The girls won't leave you alone nowadays. response:	Montmorency...
context: M-Montmorency!\Who gave you those?\Y-You've got it wrong, Montmorency.\I prepared these for you. Believe me.\I want to believe that.\But I'm worried.\The girls won't leave you alone nowadays.\Montmorency... response:	Totally different from someone we know.
context: Who gave you those?\Y-You've got it wrong, Montmorency.\I prepared these for you. Believe me.\I want to believe that.\But I'm worried.\The girls won't leave you alone nowadays.\Montmorency...\Totally different from someone we know. response:	Yup, totally.
context: Y-You've got it wrong, Montmorency.\I prepared these for you. Believe me.\I want to believe that.\But I'm worried.\The girls won't leave you alone nowadays.\Montmorency...\Totally different from someone we know.\Yup, totally. response:	Hey there, Saito.
context: I prepared these for you. Believe me.\I want to believe that.\But I'm worried.\The girls won't leave you alone nowadays.\Montmorency...\Totally different from someone we know.\Yup, totally.\Hey there, Saito. response:	Hey, Maricor -
context: I want to believe that.\But I'm worried.\The girls won't leave you alone nowadays.\Montmorency...\Totally different from someone we know.\Yup, totally.\Hey there, Saito.\Hey, Maricor - response:	What do you think? Doesn't it look good?
context: But I'm worried.\The girls won't leave you alone nowadays.\Montmorency...\Totally different from someone we know.\Yup, totally.\Hey there, Saito.\Hey, Maricor -\What do you think? Doesn't it look good? response:	Brigitta insisted on me wearing it.
context: The girls won't leave you alone nowadays.\Montmorency...\Totally different from someone we know.\Yup, totally.\Hey there, Saito.\Hey, Maricor -\What do you think? Doesn't it look good?\Brigitta insisted on me wearing it. response:	Please, Maricorn-sama.
context: Montmorency...\Totally different from someone we know.\Yup, totally.\Hey there, Saito.\Hey, Maricor -\What do you think? Doesn't it look good?\Brigitta insisted on me wearing it.\Please, Maricorn-sama. response:	It's hard being so popular.
context: Totally different from someone we know.\Yup, totally.\Hey there, Saito.\Hey, Maricor -\What do you think? Doesn't it look good?\Brigitta insisted on me wearing it.\Please, Maricorn-sama.\It's hard being so popular. response:	Spring has come to him, too...
context: Yup, totally.\Hey there, Saito.\Hey, Maricor -\What do you think? Doesn't it look good?\Brigitta insisted on me wearing it.\Please, Maricorn-sama.\It's hard being so popular.\Spring has come to him, too... response:	Owowow... What are you doing, Guiche?
context: Hey there, Saito.\Hey, Maricor -\What do you think? Doesn't it look good?\Brigitta insisted on me wearing it.\Please, Maricorn-sama.\It's hard being so popular.\Spring has come to him, too...\Owowow... What are you doing, Guiche? response:	Just come with me.
context: Hey, Maricor -\What do you think? Doesn't it look good?\Brigitta insisted on me wearing it.\Please, Maricorn-sama.\It's hard being so popular.\Spring has come to him, too...\Owowow... What are you doing, Guiche?\Just come with me. response:	Looks like you're the only one who doesn't have things working out right.
context: What do you think? Doesn't it look good?\Brigitta insisted on me wearing it.\Please, Maricorn-sama.\It's hard being so popular.\Spring has come to him, too...\Owowow... What are you doing, Guiche?\Just come with me.\Looks like you're the only one who doesn't have things working out right. response:	What, Saito, you had another fight with Louise?
context: Brigitta insisted on me wearing it.\Please, Maricorn-sama.\It's hard being so popular.\Spring has come to him, too...\Owowow... What are you doing, Guiche?\Just come with me.\Looks like you're the only one who doesn't have things working out right.\What, Saito, you had another fight with Louise? response:	Want me to teach you how to treat girls?
context: Please, Maricorn-sama.\It's hard being so popular.\Spring has come to him, too...\Owowow... What are you doing, Guiche?\Just come with me.\Looks like you're the only one who doesn't have things working out right.\What, Saito, you had another fight with Louise?\Want me to teach you how to treat girls? response:	Are you not going to come back?
context: It's hard being so popular.\Spring has come to him, too...\Owowow... What are you doing, Guiche?\Just come with me.\Looks like you're the only one who doesn't have things working out right.\What, Saito, you had another fight with Louise?\Want me to teach you how to treat girls?\Are you not going to come back? response:	Are you that mad?
context: Spring has come to him, too...\Owowow... What are you doing, Guiche?\Just come with me.\Looks like you're the only one who doesn't have things working out right.\What, Saito, you had another fight with Louise?\Want me to teach you how to treat girls?\Are you not going to come back?\Are you that mad? response:	Where have you been, Sai -
context: Owowow... What are you doing, Guiche?\Just come with me.\Looks like you're the only one who doesn't have things working out right.\What, Saito, you had another fight with Louise?\Want me to teach you how to treat girls?\Are you not going to come back?\Are you that mad?\Where have you been, Sai - response:	I-I'm sorry to not be Saito-san.
