context: What was it? response:	I've had this feeling ever since last night that I'm supposed to do something...
context: He's already done with the beta!\It's only been about two minutes since the page was completely white!\It's all thanks to you, Koichi.\The urge to work keeps welling up in me!\I want to draw so bad, I can't help it!\I just want to keep drawing!\This is the first time I've been able\to draw nineteen pages in one night! response:	I'm drawing a masterpiece right now!
context: It's only been about two minutes since the page was completely white!\It's all thanks to you, Koichi.\The urge to work keeps welling up in me!\I want to draw so bad, I can't help it!\I just want to keep drawing!\This is the first time I've been able\to draw nineteen pages in one night!\I'm drawing a masterpiece right now! response:	Your experiences are amazing!
context: It's all thanks to you, Koichi.\The urge to work keeps welling up in me!\I want to draw so bad, I can't help it!\I just want to keep drawing!\This is the first time I've been able\to draw nineteen pages in one night!\I'm drawing a masterpiece right now!\Your experiences are amazing! response:	It's because I'm using your experience as the source of my story, Koichi!
context: The urge to work keeps welling up in me!\I want to draw so bad, I can't help it!\I just want to keep drawing!\This is the first time I've been able\to draw nineteen pages in one night!\I'm drawing a masterpiece right now!\Your experiences are amazing!\It's because I'm using your experience as the source of my story, Koichi! response:	Huh?
context: I want to draw so bad, I can't help it!\I just want to keep drawing!\This is the first time I've been able\to draw nineteen pages in one night!\I'm drawing a masterpiece right now!\Your experiences are amazing!\It's because I'm using your experience as the source of my story, Koichi!\Huh? response:	What...
context: I just want to keep drawing!\This is the first time I've been able\to draw nineteen pages in one night!\I'm drawing a masterpiece right now!\Your experiences are amazing!\It's because I'm using your experience as the source of my story, Koichi!\Huh?\What... response:	Hurry! I want your next reality!
context: This is the first time I've been able\to draw nineteen pages in one night!\I'm drawing a masterpiece right now!\Your experiences are amazing!\It's because I'm using your experience as the source of my story, Koichi!\Huh?\What...\Hurry! I want your next reality! response:	Let me see your next page!
context: to draw nineteen pages in one night!\I'm drawing a masterpiece right now!\Your experiences are amazing!\It's because I'm using your experience as the source of my story, Koichi!\Huh?\What...\Hurry! I want your next reality!\Let me see your next page! response:	The more pages I take, the more weight you'll lose,
context: I'm drawing a masterpiece right now!\Your experiences are amazing!\It's because I'm using your experience as the source of my story, Koichi!\Huh?\What...\Hurry! I want your next reality!\Let me see your next page!\The more pages I take, the more weight you'll lose, response:	but you don't care, right?
context: Your experiences are amazing!\It's because I'm using your experience as the source of my story, Koichi!\Huh?\What...\Hurry! I want your next reality!\Let me see your next page!\The more pages I take, the more weight you'll lose,\but you don't care, right? response:	Because you're going to become a masterpiece and live forever!
context: It's because I'm using your experience as the source of my story, Koichi!\Huh?\What...\Hurry! I want your next reality!\Let me see your next page!\The more pages I take, the more weight you'll lose,\but you don't care, right?\Because you're going to become a masterpiece and live forever! response:	Flip
context: Huh?\What...\Hurry! I want your next reality!\Let me see your next page!\The more pages I take, the more weight you'll lose,\but you don't care, right?\Because you're going to become a masterpiece and live forever!\Flip response:	I-I remember now!
context: What...\Hurry! I want your next reality!\Let me see your next page!\The more pages I take, the more weight you'll lose,\but you don't care, right?\Because you're going to become a masterpiece and live forever!\Flip\I-I remember now! response:	Heaven's Door!
context: Hurry! I want your next reality!\Let me see your next page!\The more pages I take, the more weight you'll lose,\but you don't care, right?\Because you're going to become a masterpiece and live forever!\Flip\I-I remember now!\Heaven's Door! response:	Y-You're a Stand user!
context: Let me see your next page!\The more pages I take, the more weight you'll lose,\but you don't care, right?\Because you're going to become a masterpiece and live forever!\Flip\I-I remember now!\Heaven's Door!\Y-You're a Stand user! response:	Jojo's Bizarre Adventure
context: The more pages I take, the more weight you'll lose,\but you don't care, right?\Because you're going to become a masterpiece and live forever!\Flip\I-I remember now!\Heaven's Door!\Y-You're a Stand user!\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: but you don't care, right?\Because you're going to become a masterpiece and live forever!\Flip\I-I remember now!\Heaven's Door!\Y-You're a Stand user!\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: Because you're going to become a masterpiece and live forever!\Flip\I-I remember now!\Heaven's Door!\Y-You're a Stand user!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Flip\I-I remember now!\Heaven's Door!\Y-You're a Stand user!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Hey, now...
context: I-I remember now!\Heaven's Door!\Y-You're a Stand user!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Hey, now... response:	Episode 15 Let's Go to the Manga Artist's House, Part 2
context: Heaven's Door!\Y-You're a Stand user!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Hey, now...\Episode 15 Let's Go to the Manga Artist's House, Part 2 response:	I've managed to make a book
context: Y-You're a Stand user!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Hey, now...\Episode 15 Let's Go to the Manga Artist's House, Part 2\I've managed to make a book response:	from a single panel rather than an entire work!
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Hey, now...\Episode 15 Let's Go to the Manga Artist's House, Part 2\I've managed to make a book\from a single panel rather than an entire work! response:	This is amazing!
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Hey, now...\Episode 15 Let's Go to the Manga Artist's House, Part 2\I've managed to make a book\from a single panel rather than an entire work!\This is amazing! response:	I'm growing as a manga artist and as a Stand user!
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Hey, now...\Episode 15 Let's Go to the Manga Artist's House, Part 2\I've managed to make a book\from a single panel rather than an entire work!\This is amazing!\I'm growing as a manga artist and as a Stand user! response:	I'm going read this now, Koichi.
context: Diamond is Unbreakable\Hey, now...\Episode 15 Let's Go to the Manga Artist's House, Part 2\I've managed to make a book\from a single panel rather than an entire work!\This is amazing!\I'm growing as a manga artist and as a Stand user!\I'm going read this now, Koichi. response:	Oh, my...
context: Hey, now...\Episode 15 Let's Go to the Manga Artist's House, Part 2\I've managed to make a book\from a single panel rather than an entire work!\This is amazing!\I'm growing as a manga artist and as a Stand user!\I'm going read this now, Koichi.\Oh, my... response:	Those faces belong to Shining Diamond's Josuke Higashikata
context: Episode 15 Let's Go to the Manga Artist's House, Part 2\I've managed to make a book\from a single panel rather than an entire work!\This is amazing!\I'm growing as a manga artist and as a Stand user!\I'm going read this now, Koichi.\Oh, my...\Those faces belong to Shining Diamond's Josuke Higashikata response:	and The Hand's Okuyasu Nijimura.
context: I've managed to make a book\from a single panel rather than an entire work!\This is amazing!\I'm growing as a manga artist and as a Stand user!\I'm going read this now, Koichi.\Oh, my...\Those faces belong to Shining Diamond's Josuke Higashikata\and The Hand's Okuyasu Nijimura. response:	How curious.
context: from a single panel rather than an entire work!\This is amazing!\I'm growing as a manga artist and as a Stand user!\I'm going read this now, Koichi.\Oh, my...\Those faces belong to Shining Diamond's Josuke Higashikata\and The Hand's Okuyasu Nijimura.\How curious. response:	Why would those two be at my house?
context: This is amazing!\I'm growing as a manga artist and as a Stand user!\I'm going read this now, Koichi.\Oh, my...\Those faces belong to Shining Diamond's Josuke Higashikata\and The Hand's Okuyasu Nijimura.\How curious.\Why would those two be at my house? response:	There's no way Koichi would tell those two about me.
context: I'm growing as a manga artist and as a Stand user!\I'm going read this now, Koichi.\Oh, my...\Those faces belong to Shining Diamond's Josuke Higashikata\and The Hand's Okuyasu Nijimura.\How curious.\Why would those two be at my house?\There's no way Koichi would tell those two about me. response:	How strange...
context: I'm going read this now, Koichi.\Oh, my...\Those faces belong to Shining Diamond's Josuke Higashikata\and The Hand's Okuyasu Nijimura.\How curious.\Why would those two be at my house?\There's no way Koichi would tell those two about me.\How strange... response:	Huh?
context: Oh, my...\Those faces belong to Shining Diamond's Josuke Higashikata\and The Hand's Okuyasu Nijimura.\How curious.\Why would those two be at my house?\There's no way Koichi would tell those two about me.\How strange...\Huh? response:	I-It's Josuke and Okuyasu!
context: Those faces belong to Shining Diamond's Josuke Higashikata\and The Hand's Okuyasu Nijimura.\How curious.\Why would those two be at my house?\There's no way Koichi would tell those two about me.\How strange...\Huh?\I-It's Josuke and Okuyasu! response:	I'm not sure how they found out I was here, but...
context: and The Hand's Okuyasu Nijimura.\How curious.\Why would those two be at my house?\There's no way Koichi would tell those two about me.\How strange...\Huh?\I-It's Josuke and Okuyasu!\I'm not sure how they found out I was here, but... response:	N-Now they can save me somehow!
context: How curious.\Why would those two be at my house?\There's no way Koichi would tell those two about me.\How strange...\Huh?\I-It's Josuke and Okuyasu!\I'm not sure how they found out I was here, but...\N-Now they can save me somehow! response:	Somehow...
context: Why would those two be at my house?\There's no way Koichi would tell those two about me.\How strange...\Huh?\I-It's Josuke and Okuyasu!\I'm not sure how they found out I was here, but...\N-Now they can save me somehow!\Somehow... response:	I have to get them to save me!
context: There's no way Koichi would tell those two about me.\How strange...\Huh?\I-It's Josuke and Okuyasu!\I'm not sure how they found out I was here, but...\N-Now they can save me somehow!\Somehow...\I have to get them to save me! response:	Huh? Okuyasu and Josuke?
context: How strange...\Huh?\I-It's Josuke and Okuyasu!\I'm not sure how they found out I was here, but...\N-Now they can save me somehow!\Somehow...\I have to get them to save me!\Huh? Okuyasu and Josuke? response:	How did you know I was here?
context: Huh?\I-It's Josuke and Okuyasu!\I'm not sure how they found out I was here, but...\N-Now they can save me somehow!\Somehow...\I have to get them to save me!\Huh? Okuyasu and Josuke?\How did you know I was here? response:	Now, then...
context: I-It's Josuke and Okuyasu!\I'm not sure how they found out I was here, but...\N-Now they can save me somehow!\Somehow...\I have to get them to save me!\Huh? Okuyasu and Josuke?\How did you know I was here?\Now, then... response:	Right now, I don't have any interest in Josuke and Okuyasu.
context: I'm not sure how they found out I was here, but...\N-Now they can save me somehow!\Somehow...\I have to get them to save me!\Huh? Okuyasu and Josuke?\How did you know I was here?\Now, then...\Right now, I don't have any interest in Josuke and Okuyasu. response:	I'm just going to finish up the last two pages for next week,
context: N-Now they can save me somehow!\Somehow...\I have to get them to save me!\Huh? Okuyasu and Josuke?\How did you know I was here?\Now, then...\Right now, I don't have any interest in Josuke and Okuyasu.\I'm just going to finish up the last two pages for next week, response:	and steal even more material from Koichi!
context: Somehow...\I have to get them to save me!\Huh? Okuyasu and Josuke?\How did you know I was here?\Now, then...\Right now, I don't have any interest in Josuke and Okuyasu.\I'm just going to finish up the last two pages for next week,\and steal even more material from Koichi! response:	I'm so excited!
context: I have to get them to save me!\Huh? Okuyasu and Josuke?\How did you know I was here?\Now, then...\Right now, I don't have any interest in Josuke and Okuyasu.\I'm just going to finish up the last two pages for next week,\and steal even more material from Koichi!\I'm so excited! response:	Huh? You were watching a manga artist do his work?
context: Huh? Okuyasu and Josuke?\How did you know I was here?\Now, then...\Right now, I don't have any interest in Josuke and Okuyasu.\I'm just going to finish up the last two pages for next week,\and steal even more material from Koichi!\I'm so excited!\Huh? You were watching a manga artist do his work? response:	This is where that manga artist works?
context: How did you know I was here?\Now, then...\Right now, I don't have any interest in Josuke and Okuyasu.\I'm just going to finish up the last two pages for next week,\and steal even more material from Koichi!\I'm so excited!\Huh? You were watching a manga artist do his work?\This is where that manga artist works? response:	Rohan Kishibe?
context: Now, then...\Right now, I don't have any interest in Josuke and Okuyasu.\I'm just going to finish up the last two pages for next week,\and steal even more material from Koichi!\I'm so excited!\Huh? You were watching a manga artist do his work?\This is where that manga artist works?\Rohan Kishibe? response:	Is he famous or something?
context: Right now, I don't have any interest in Josuke and Okuyasu.\I'm just going to finish up the last two pages for next week,\and steal even more material from Koichi!\I'm so excited!\Huh? You were watching a manga artist do his work?\This is where that manga artist works?\Rohan Kishibe?\Is he famous or something? response:	Have you heard of him, Josuke?
context: I'm just going to finish up the last two pages for next week,\and steal even more material from Koichi!\I'm so excited!\Huh? You were watching a manga artist do his work?\This is where that manga artist works?\Rohan Kishibe?\Is he famous or something?\Have you heard of him, Josuke? response:	Nah. Even that bastard Hazamada
context: and steal even more material from Koichi!\I'm so excited!\Huh? You were watching a manga artist do his work?\This is where that manga artist works?\Rohan Kishibe?\Is he famous or something?\Have you heard of him, Josuke?\Nah. Even that bastard Hazamada response:	made fun of me for not knowing what Perman was.
context: I'm so excited!\Huh? You were watching a manga artist do his work?\This is where that manga artist works?\Rohan Kishibe?\Is he famous or something?\Have you heard of him, Josuke?\Nah. Even that bastard Hazamada\made fun of me for not knowing what Perman was. response:	That wasn't it.
context: Huh? You were watching a manga artist do his work?\This is where that manga artist works?\Rohan Kishibe?\Is he famous or something?\Have you heard of him, Josuke?\Nah. Even that bastard Hazamada\made fun of me for not knowing what Perman was.\That wasn't it. response:	That wasn't what I wanted to say to them just now.
context: This is where that manga artist works?\Rohan Kishibe?\Is he famous or something?\Have you heard of him, Josuke?\Nah. Even that bastard Hazamada\made fun of me for not knowing what Perman was.\That wasn't it.\That wasn't what I wanted to say to them just now. response:	But what was it?
context: Rohan Kishibe?\Is he famous or something?\Have you heard of him, Josuke?\Nah. Even that bastard Hazamada\made fun of me for not knowing what Perman was.\That wasn't it.\That wasn't what I wanted to say to them just now.\But what was it? response:	Well, we were following you because we were worried
context: Is he famous or something?\Have you heard of him, Josuke?\Nah. Even that bastard Hazamada\made fun of me for not knowing what Perman was.\That wasn't it.\That wasn't what I wanted to say to them just now.\But what was it?\Well, we were following you because we were worried response:	since you were just wandering around,
context: Have you heard of him, Josuke?\Nah. Even that bastard Hazamada\made fun of me for not knowing what Perman was.\That wasn't it.\That wasn't what I wanted to say to them just now.\But what was it?\Well, we were following you because we were worried\since you were just wandering around, response:	but if nothing's wrong, then good. I'm relieved.
context: Nah. Even that bastard Hazamada\made fun of me for not knowing what Perman was.\That wasn't it.\That wasn't what I wanted to say to them just now.\But what was it?\Well, we were following you because we were worried\since you were just wandering around,\but if nothing's wrong, then good. I'm relieved. response:	Thanks.
context: made fun of me for not knowing what Perman was.\That wasn't it.\That wasn't what I wanted to say to them just now.\But what was it?\Well, we were following you because we were worried\since you were just wandering around,\but if nothing's wrong, then good. I'm relieved.\Thanks. response:	Do you want to come inside and watch with me?
context: That wasn't it.\That wasn't what I wanted to say to them just now.\But what was it?\Well, we were following you because we were worried\since you were just wandering around,\but if nothing's wrong, then good. I'm relieved.\Thanks.\Do you want to come inside and watch with me? response:	Nah, I'll pass.
context: That wasn't what I wanted to say to them just now.\But what was it?\Well, we were following you because we were worried\since you were just wandering around,\but if nothing's wrong, then good. I'm relieved.\Thanks.\Do you want to come inside and watch with me?\Nah, I'll pass. response:	I'd get nervous around somebody famous.
context: But what was it?\Well, we were following you because we were worried\since you were just wandering around,\but if nothing's wrong, then good. I'm relieved.\Thanks.\Do you want to come inside and watch with me?\Nah, I'll pass.\I'd get nervous around somebody famous. response:	Same here.
context: Well, we were following you because we were worried\since you were just wandering around,\but if nothing's wrong, then good. I'm relieved.\Thanks.\Do you want to come inside and watch with me?\Nah, I'll pass.\I'd get nervous around somebody famous.\Same here. response:	I'm just satisfied knowing that you
context: since you were just wandering around,\but if nothing's wrong, then good. I'm relieved.\Thanks.\Do you want to come inside and watch with me?\Nah, I'll pass.\I'd get nervous around somebody famous.\Same here.\I'm just satisfied knowing that you response:	didn't come here to meet some chick.
context: but if nothing's wrong, then good. I'm relieved.\Thanks.\Do you want to come inside and watch with me?\Nah, I'll pass.\I'd get nervous around somebody famous.\Same here.\I'm just satisfied knowing that you\didn't come here to meet some chick. response:	See ya, Koichi.
