context: Don't... response:	Please, don't!
context: Calm down, Mako!\Oh, no! Oh, no! Oh, no!\It's 4AM.\Help me!\Help me, I'm being murdered!\Mako, your lunch is ready and waiting in the kitchen!\Senketsu!\Good morning, Ryuko! response:	Good morning... Wait, that's my uniform!
context: Oh, no! Oh, no! Oh, no!\It's 4AM.\Help me!\Help me, I'm being murdered!\Mako, your lunch is ready and waiting in the kitchen!\Senketsu!\Good morning, Ryuko!\Good morning... Wait, that's my uniform! response:	I know!
context: It's 4AM.\Help me!\Help me, I'm being murdered!\Mako, your lunch is ready and waiting in the kitchen!\Senketsu!\Good morning, Ryuko!\Good morning... Wait, that's my uniform!\I know! response:	It was filthy, so I'm giving it an extra-thorough cleaning!
context: Help me!\Help me, I'm being murdered!\Mako, your lunch is ready and waiting in the kitchen!\Senketsu!\Good morning, Ryuko!\Good morning... Wait, that's my uniform!\I know!\It was filthy, so I'm giving it an extra-thorough cleaning! response:	M-Ma'am, I'll take it from here, so don't
context: Help me, I'm being murdered!\Mako, your lunch is ready and waiting in the kitchen!\Senketsu!\Good morning, Ryuko!\Good morning... Wait, that's my uniform!\I know!\It was filthy, so I'm giving it an extra-thorough cleaning!\M-Ma'am, I'll take it from here, so don't response:	Nothing doing!
context: Mako, your lunch is ready and waiting in the kitchen!\Senketsu!\Good morning, Ryuko!\Good morning... Wait, that's my uniform!\I know!\It was filthy, so I'm giving it an extra-thorough cleaning!\M-Ma'am, I'll take it from here, so don't\Nothing doing! response:	What is the duty of the student? To go to school!
context: Senketsu!\Good morning, Ryuko!\Good morning... Wait, that's my uniform!\I know!\It was filthy, so I'm giving it an extra-thorough cleaning!\M-Ma'am, I'll take it from here, so don't\Nothing doing!\What is the duty of the student? To go to school! response:	What is the duty of the housewife? To do laundry!
context: Good morning, Ryuko!\Good morning... Wait, that's my uniform!\I know!\It was filthy, so I'm giving it an extra-thorough cleaning!\M-Ma'am, I'll take it from here, so don't\Nothing doing!\What is the duty of the student? To go to school!\What is the duty of the housewife? To do laundry! response:	Is that clear?
context: Good morning... Wait, that's my uniform!\I know!\It was filthy, so I'm giving it an extra-thorough cleaning!\M-Ma'am, I'll take it from here, so don't\Nothing doing!\What is the duty of the student? To go to school!\What is the duty of the housewife? To do laundry!\Is that clear? response:	Now, hurry up and eat breakfast! You'll be late for school!
context: I know!\It was filthy, so I'm giving it an extra-thorough cleaning!\M-Ma'am, I'll take it from here, so don't\Nothing doing!\What is the duty of the student? To go to school!\What is the duty of the housewife? To do laundry!\Is that clear?\Now, hurry up and eat breakfast! You'll be late for school! response:	But I can't go to school without that uniform...
context: It was filthy, so I'm giving it an extra-thorough cleaning!\M-Ma'am, I'll take it from here, so don't\Nothing doing!\What is the duty of the student? To go to school!\What is the duty of the housewife? To do laundry!\Is that clear?\Now, hurry up and eat breakfast! You'll be late for school!\But I can't go to school without that uniform... response:	Oops, I forgot to panic! Today's the big day, Ryuko!
context: M-Ma'am, I'll take it from here, so don't\Nothing doing!\What is the duty of the student? To go to school!\What is the duty of the housewife? To do laundry!\Is that clear?\Now, hurry up and eat breakfast! You'll be late for school!\But I can't go to school without that uniform...\Oops, I forgot to panic! Today's the big day, Ryuko! response:	Big day?
context: Nothing doing!\What is the duty of the student? To go to school!\What is the duty of the housewife? To do laundry!\Is that clear?\Now, hurry up and eat breakfast! You'll be late for school!\But I can't go to school without that uniform...\Oops, I forgot to panic! Today's the big day, Ryuko!\Big day? response:	What?! Ryuko, you're on that day?!
context: What is the duty of the student? To go to school!\What is the duty of the housewife? To do laundry!\Is that clear?\Now, hurry up and eat breakfast! You'll be late for school!\But I can't go to school without that uniform...\Oops, I forgot to panic! Today's the big day, Ryuko!\Big day?\What?! Ryuko, you're on that day?! response:	You're fine in your PJs, just move!
context: What is the duty of the housewife? To do laundry!\Is that clear?\Now, hurry up and eat breakfast! You'll be late for school!\But I can't go to school without that uniform...\Oops, I forgot to panic! Today's the big day, Ryuko!\Big day?\What?! Ryuko, you're on that day?!\You're fine in your PJs, just move! response:	We'll drop off your uniform later!
context: Is that clear?\Now, hurry up and eat breakfast! You'll be late for school!\But I can't go to school without that uniform...\Oops, I forgot to panic! Today's the big day, Ryuko!\Big day?\What?! Ryuko, you're on that day?!\You're fine in your PJs, just move!\We'll drop off your uniform later! response:	Don't worry about a thing!
context: Now, hurry up and eat breakfast! You'll be late for school!\But I can't go to school without that uniform...\Oops, I forgot to panic! Today's the big day, Ryuko!\Big day?\What?! Ryuko, you're on that day?!\You're fine in your PJs, just move!\We'll drop off your uniform later!\Don't worry about a thing! response:	Ryuko, wait! You're the only one who can hear me!
context: But I can't go to school without that uniform...\Oops, I forgot to panic! Today's the big day, Ryuko!\Big day?\What?! Ryuko, you're on that day?!\You're fine in your PJs, just move!\We'll drop off your uniform later!\Don't worry about a thing!\Ryuko, wait! You're the only one who can hear me! response:	So please don't leave me! I'm begging you!
context: Oops, I forgot to panic! Today's the big day, Ryuko!\Big day?\What?! Ryuko, you're on that day?!\You're fine in your PJs, just move!\We'll drop off your uniform later!\Don't worry about a thing!\Ryuko, wait! You're the only one who can hear me!\So please don't leave me! I'm begging you! response:	Are you okay, Senketsu?
context: Big day?\What?! Ryuko, you're on that day?!\You're fine in your PJs, just move!\We'll drop off your uniform later!\Don't worry about a thing!\Ryuko, wait! You're the only one who can hear me!\So please don't leave me! I'm begging you!\Are you okay, Senketsu? response:	Senketsu? What's that?
context: What?! Ryuko, you're on that day?!\You're fine in your PJs, just move!\We'll drop off your uniform later!\Don't worry about a thing!\Ryuko, wait! You're the only one who can hear me!\So please don't leave me! I'm begging you!\Are you okay, Senketsu?\Senketsu? What's that? response:	You gave your uniform a name?
context: You're fine in your PJs, just move!\We'll drop off your uniform later!\Don't worry about a thing!\Ryuko, wait! You're the only one who can hear me!\So please don't leave me! I'm begging you!\Are you okay, Senketsu?\Senketsu? What's that?\You gave your uniform a name? response:	Boy, you must be lonely to do that!
context: We'll drop off your uniform later!\Don't worry about a thing!\Ryuko, wait! You're the only one who can hear me!\So please don't leave me! I'm begging you!\Are you okay, Senketsu?\Senketsu? What's that?\You gave your uniform a name?\Boy, you must be lonely to do that! response:	Wait!
context: Don't worry about a thing!\Ryuko, wait! You're the only one who can hear me!\So please don't leave me! I'm begging you!\Are you okay, Senketsu?\Senketsu? What's that?\You gave your uniform a name?\Boy, you must be lonely to do that!\Wait! response:	All the more reason to go to school! There's lots of friends there!
context: Ryuko, wait! You're the only one who can hear me!\So please don't leave me! I'm begging you!\Are you okay, Senketsu?\Senketsu? What's that?\You gave your uniform a name?\Boy, you must be lonely to do that!\Wait!\All the more reason to go to school! There's lots of friends there! response:	There's nothing but enemies, and you know it!
context: So please don't leave me! I'm begging you!\Are you okay, Senketsu?\Senketsu? What's that?\You gave your uniform a name?\Boy, you must be lonely to do that!\Wait!\All the more reason to go to school! There's lots of friends there!\There's nothing but enemies, and you know it! response:	In we go!
context: Are you okay, Senketsu?\Senketsu? What's that?\You gave your uniform a name?\Boy, you must be lonely to do that!\Wait!\All the more reason to go to school! There's lots of friends there!\There's nothing but enemies, and you know it!\In we go! response:	Sorry, Senketsu!
context: Senketsu? What's that?\You gave your uniform a name?\Boy, you must be lonely to do that!\Wait!\All the more reason to go to school! There's lots of friends there!\There's nothing but enemies, and you know it!\In we go!\Sorry, Senketsu! response:	Ryuko! Ryuko!
context: You gave your uniform a name?\Boy, you must be lonely to do that!\Wait!\All the more reason to go to school! There's lots of friends there!\There's nothing but enemies, and you know it!\In we go!\Sorry, Senketsu!\Ryuko! Ryuko! response:	That's surprisingly pleasant.
context: Boy, you must be lonely to do that!\Wait!\All the more reason to go to school! There's lots of friends there!\There's nothing but enemies, and you know it!\In we go!\Sorry, Senketsu!\Ryuko! Ryuko!\That's surprisingly pleasant. response:	The wrinkles... The wrinkles are melting away...
context: Wait!\All the more reason to go to school! There's lots of friends there!\There's nothing but enemies, and you know it!\In we go!\Sorry, Senketsu!\Ryuko! Ryuko!\That's surprisingly pleasant.\The wrinkles... The wrinkles are melting away... response:	Melting away...
context: All the more reason to go to school! There's lots of friends there!\There's nothing but enemies, and you know it!\In we go!\Sorry, Senketsu!\Ryuko! Ryuko!\That's surprisingly pleasant.\The wrinkles... The wrinkles are melting away...\Melting away... response:	What's with this mass migration?
context: There's nothing but enemies, and you know it!\In we go!\Sorry, Senketsu!\Ryuko! Ryuko!\That's surprisingly pleasant.\The wrinkles... The wrinkles are melting away...\Melting away...\What's with this mass migration? response:	There is a day when all of Honnouji Academy's No-Stars
context: In we go!\Sorry, Senketsu!\Ryuko! Ryuko!\That's surprisingly pleasant.\The wrinkles... The wrinkles are melting away...\Melting away...\What's with this mass migration?\There is a day when all of Honnouji Academy's No-Stars response:	put their entire youth on the line when they go to school.
context: Sorry, Senketsu!\Ryuko! Ryuko!\That's surprisingly pleasant.\The wrinkles... The wrinkles are melting away...\Melting away...\What's with this mass migration?\There is a day when all of Honnouji Academy's No-Stars\put their entire youth on the line when they go to school. response:	That day has dawned! Today is that day!
context: Ryuko! Ryuko!\That's surprisingly pleasant.\The wrinkles... The wrinkles are melting away...\Melting away...\What's with this mass migration?\There is a day when all of Honnouji Academy's No-Stars\put their entire youth on the line when they go to school.\That day has dawned! Today is that day! response:	This is No-Late Day!
context: That's surprisingly pleasant.\The wrinkles... The wrinkles are melting away...\Melting away...\What's with this mass migration?\There is a day when all of Honnouji Academy's No-Stars\put their entire youth on the line when they go to school.\That day has dawned! Today is that day!\This is No-Late Day! response:	EPISODE 4 DAWN OF A MISERABLE MORNING
context: The wrinkles... The wrinkles are melting away...\Melting away...\What's with this mass migration?\There is a day when all of Honnouji Academy's No-Stars\put their entire youth on the line when they go to school.\That day has dawned! Today is that day!\This is No-Late Day!\EPISODE 4 DAWN OF A MISERABLE MORNING response:	No-Late Day? What the heck is that?
context: Melting away...\What's with this mass migration?\There is a day when all of Honnouji Academy's No-Stars\put their entire youth on the line when they go to school.\That day has dawned! Today is that day!\This is No-Late Day!\EPISODE 4 DAWN OF A MISERABLE MORNING\No-Late Day? What the heck is that? response:	I can see that you are confused, Ryuko Matoi!
context: What's with this mass migration?\There is a day when all of Honnouji Academy's No-Stars\put their entire youth on the line when they go to school.\That day has dawned! Today is that day!\This is No-Late Day!\EPISODE 4 DAWN OF A MISERABLE MORNING\No-Late Day? What the heck is that?\I can see that you are confused, Ryuko Matoi! response:	You're that Elite Four jerk
context: There is a day when all of Honnouji Academy's No-Stars\put their entire youth on the line when they go to school.\That day has dawned! Today is that day!\This is No-Late Day!\EPISODE 4 DAWN OF A MISERABLE MORNING\No-Late Day? What the heck is that?\I can see that you are confused, Ryuko Matoi!\You're that Elite Four jerk response:	Disciplinary Committee Chair and one of Honnouji
context: put their entire youth on the line when they go to school.\That day has dawned! Today is that day!\This is No-Late Day!\EPISODE 4 DAWN OF A MISERABLE MORNING\No-Late Day? What the heck is that?\I can see that you are confused, Ryuko Matoi!\You're that Elite Four jerk\Disciplinary Committee Chair and one of Honnouji response:	DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI
context: That day has dawned! Today is that day!\This is No-Late Day!\EPISODE 4 DAWN OF A MISERABLE MORNING\No-Late Day? What the heck is that?\I can see that you are confused, Ryuko Matoi!\You're that Elite Four jerk\Disciplinary Committee Chair and one of Honnouji\DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI response:	Academy's Elite Four! Ira Gamagoori!
context: This is No-Late Day!\EPISODE 4 DAWN OF A MISERABLE MORNING\No-Late Day? What the heck is that?\I can see that you are confused, Ryuko Matoi!\You're that Elite Four jerk\Disciplinary Committee Chair and one of Honnouji\DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI\Academy's Elite Four! Ira Gamagoori! response:	Allow me to explain!
context: EPISODE 4 DAWN OF A MISERABLE MORNING\No-Late Day? What the heck is that?\I can see that you are confused, Ryuko Matoi!\You're that Elite Four jerk\Disciplinary Committee Chair and one of Honnouji\DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI\Academy's Elite Four! Ira Gamagoori!\Allow me to explain! response:	No-Late Day is a school event that comes once a semester,
context: No-Late Day? What the heck is that?\I can see that you are confused, Ryuko Matoi!\You're that Elite Four jerk\Disciplinary Committee Chair and one of Honnouji\DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI\Academy's Elite Four! Ira Gamagoori!\Allow me to explain!\No-Late Day is a school event that comes once a semester, response:	in which the Disciplinary Committee springs surprises on slacker No-Star
context: I can see that you are confused, Ryuko Matoi!\You're that Elite Four jerk\Disciplinary Committee Chair and one of Honnouji\DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI\Academy's Elite Four! Ira Gamagoori!\Allow me to explain!\No-Late Day is a school event that comes once a semester,\in which the Disciplinary Committee springs surprises on slacker No-Star response:	students to whip them into shape!
context: You're that Elite Four jerk\Disciplinary Committee Chair and one of Honnouji\DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI\Academy's Elite Four! Ira Gamagoori!\Allow me to explain!\No-Late Day is a school event that comes once a semester,\in which the Disciplinary Committee springs surprises on slacker No-Star\students to whip them into shape! response:	TRAP
context: Disciplinary Committee Chair and one of Honnouji\DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI\Academy's Elite Four! Ira Gamagoori!\Allow me to explain!\No-Late Day is a school event that comes once a semester,\in which the Disciplinary Committee springs surprises on slacker No-Star\students to whip them into shape!\TRAP response:	When the siren goes off in the slums at 4AM,
context: DISCIPLINARY COMMITTEE CHAIR IRA GAMAGOORI\Academy's Elite Four! Ira Gamagoori!\Allow me to explain!\No-Late Day is a school event that comes once a semester,\in which the Disciplinary Committee springs surprises on slacker No-Star\students to whip them into shape!\TRAP\When the siren goes off in the slums at 4AM, response:	No-Star students must evade the traps that the Disciplinary Committee
context: Academy's Elite Four! Ira Gamagoori!\Allow me to explain!\No-Late Day is a school event that comes once a semester,\in which the Disciplinary Committee springs surprises on slacker No-Star\students to whip them into shape!\TRAP\When the siren goes off in the slums at 4AM,\No-Star students must evade the traps that the Disciplinary Committee response:	LATE
context: Allow me to explain!\No-Late Day is a school event that comes once a semester,\in which the Disciplinary Committee springs surprises on slacker No-Star\students to whip them into shape!\TRAP\When the siren goes off in the slums at 4AM,\No-Star students must evade the traps that the Disciplinary Committee\LATE response:	built with all the technology at our disposal
context: No-Late Day is a school event that comes once a semester,\in which the Disciplinary Committee springs surprises on slacker No-Star\students to whip them into shape!\TRAP\When the siren goes off in the slums at 4AM,\No-Star students must evade the traps that the Disciplinary Committee\LATE\built with all the technology at our disposal response:	and make it to school by the time the first period bell rings at 8:30AM!
context: in which the Disciplinary Committee springs surprises on slacker No-Star\students to whip them into shape!\TRAP\When the siren goes off in the slums at 4AM,\No-Star students must evade the traps that the Disciplinary Committee\LATE\built with all the technology at our disposal\and make it to school by the time the first period bell rings at 8:30AM! response:	DISCIPLINE
context: students to whip them into shape!\TRAP\When the siren goes off in the slums at 4AM,\No-Star students must evade the traps that the Disciplinary Committee\LATE\built with all the technology at our disposal\and make it to school by the time the first period bell rings at 8:30AM!\DISCIPLINE response:	And in the event that they arrive late,
context: TRAP\When the siren goes off in the slums at 4AM,\No-Star students must evade the traps that the Disciplinary Committee\LATE\built with all the technology at our disposal\and make it to school by the time the first period bell rings at 8:30AM!\DISCIPLINE\And in the event that they arrive late, response:	they are expelled on the spot, so
context: When the siren goes off in the slums at 4AM,\No-Star students must evade the traps that the Disciplinary Committee\LATE\built with all the technology at our disposal\and make it to school by the time the first period bell rings at 8:30AM!\DISCIPLINE\And in the event that they arrive late,\they are expelled on the spot, so response:	WHAT THE HELL?!
context: No-Star students must evade the traps that the Disciplinary Committee\LATE\built with all the technology at our disposal\and make it to school by the time the first period bell rings at 8:30AM!\DISCIPLINE\And in the event that they arrive late,\they are expelled on the spot, so\WHAT THE HELL?! response:	What manner of slacker outfit is that?!
context: LATE\built with all the technology at our disposal\and make it to school by the time the first period bell rings at 8:30AM!\DISCIPLINE\And in the event that they arrive late,\they are expelled on the spot, so\WHAT THE HELL?!\What manner of slacker outfit is that?! response:	My Kamui's in the laundry! It'll be dropped off soon!
context: built with all the technology at our disposal\and make it to school by the time the first period bell rings at 8:30AM!\DISCIPLINE\And in the event that they arrive late,\they are expelled on the spot, so\WHAT THE HELL?!\What manner of slacker outfit is that?!\My Kamui's in the laundry! It'll be dropped off soon! response:	Spare me your excuses.
context: and make it to school by the time the first period bell rings at 8:30AM!\DISCIPLINE\And in the event that they arrive late,\they are expelled on the spot, so\WHAT THE HELL?!\What manner of slacker outfit is that?!\My Kamui's in the laundry! It'll be dropped off soon!\Spare me your excuses. response:	Leaving for school in a slovenly outfit like that
context: DISCIPLINE\And in the event that they arrive late,\they are expelled on the spot, so\WHAT THE HELL?!\What manner of slacker outfit is that?!\My Kamui's in the laundry! It'll be dropped off soon!\Spare me your excuses.\Leaving for school in a slovenly outfit like that response:	is a mortal insult to both the academy and Lady Satsuki!
context: And in the event that they arrive late,\they are expelled on the spot, so\WHAT THE HELL?!\What manner of slacker outfit is that?!\My Kamui's in the laundry! It'll be dropped off soon!\Spare me your excuses.\Leaving for school in a slovenly outfit like that\is a mortal insult to both the academy and Lady Satsuki! response:	MORTAL INSULT
context: they are expelled on the spot, so\WHAT THE HELL?!\What manner of slacker outfit is that?!\My Kamui's in the laundry! It'll be dropped off soon!\Spare me your excuses.\Leaving for school in a slovenly outfit like that\is a mortal insult to both the academy and Lady Satsuki!\MORTAL INSULT response:	Is it, though?!
context: WHAT THE HELL?!\What manner of slacker outfit is that?!\My Kamui's in the laundry! It'll be dropped off soon!\Spare me your excuses.\Leaving for school in a slovenly outfit like that\is a mortal insult to both the academy and Lady Satsuki!\MORTAL INSULT\Is it, though?! response:	Ryuko was asleep until just now!
context: What manner of slacker outfit is that?!\My Kamui's in the laundry! It'll be dropped off soon!\Spare me your excuses.\Leaving for school in a slovenly outfit like that\is a mortal insult to both the academy and Lady Satsuki!\MORTAL INSULT\Is it, though?!\Ryuko was asleep until just now! response:	It's perfectly normal for sleeping people to wear pajamas!
context: My Kamui's in the laundry! It'll be dropped off soon!\Spare me your excuses.\Leaving for school in a slovenly outfit like that\is a mortal insult to both the academy and Lady Satsuki!\MORTAL INSULT\Is it, though?!\Ryuko was asleep until just now!\It's perfectly normal for sleeping people to wear pajamas! response:	No one can laugh at that!
context: Spare me your excuses.\Leaving for school in a slovenly outfit like that\is a mortal insult to both the academy and Lady Satsuki!\MORTAL INSULT\Is it, though?!\Ryuko was asleep until just now!\It's perfectly normal for sleeping people to wear pajamas!\No one can laugh at that! response:	Or do you mean to say that you dress like that when YOU sleep, Gamagoori?
context: Leaving for school in a slovenly outfit like that\is a mortal insult to both the academy and Lady Satsuki!\MORTAL INSULT\Is it, though?!\Ryuko was asleep until just now!\It's perfectly normal for sleeping people to wear pajamas!\No one can laugh at that!\Or do you mean to say that you dress like that when YOU sleep, Gamagoori? response:	No, I sleep in the nude.
context: is a mortal insult to both the academy and Lady Satsuki!\MORTAL INSULT\Is it, though?!\Ryuko was asleep until just now!\It's perfectly normal for sleeping people to wear pajamas!\No one can laugh at that!\Or do you mean to say that you dress like that when YOU sleep, Gamagoori?\No, I sleep in the nude. response:	You'll catch cold if you sleep in the buff!
context: MORTAL INSULT\Is it, though?!\Ryuko was asleep until just now!\It's perfectly normal for sleeping people to wear pajamas!\No one can laugh at that!\Or do you mean to say that you dress like that when YOU sleep, Gamagoori?\No, I sleep in the nude.\You'll catch cold if you sleep in the buff! response:	If you were sick, could you work to your fullest potential in an emergency?
context: Is it, though?!\Ryuko was asleep until just now!\It's perfectly normal for sleeping people to wear pajamas!\No one can laugh at that!\Or do you mean to say that you dress like that when YOU sleep, Gamagoori?\No, I sleep in the nude.\You'll catch cold if you sleep in the buff!\If you were sick, could you work to your fullest potential in an emergency? response:	Oh.
context: Ryuko was asleep until just now!\It's perfectly normal for sleeping people to wear pajamas!\No one can laugh at that!\Or do you mean to say that you dress like that when YOU sleep, Gamagoori?\No, I sleep in the nude.\You'll catch cold if you sleep in the buff!\If you were sick, could you work to your fullest potential in an emergency?\Oh. response:	Please wear pajamas like everyone else when you sleep!
context: It's perfectly normal for sleeping people to wear pajamas!\No one can laugh at that!\Or do you mean to say that you dress like that when YOU sleep, Gamagoori?\No, I sleep in the nude.\You'll catch cold if you sleep in the buff!\If you were sick, could you work to your fullest potential in an emergency?\Oh.\Please wear pajamas like everyone else when you sleep! response:	What is your name?
context: No one can laugh at that!\Or do you mean to say that you dress like that when YOU sleep, Gamagoori?\No, I sleep in the nude.\You'll catch cold if you sleep in the buff!\If you were sick, could you work to your fullest potential in an emergency?\Oh.\Please wear pajamas like everyone else when you sleep!\What is your name? response:	Second Year Class K, Mako Mankanshoku!
context: Or do you mean to say that you dress like that when YOU sleep, Gamagoori?\No, I sleep in the nude.\You'll catch cold if you sleep in the buff!\If you were sick, could you work to your fullest potential in an emergency?\Oh.\Please wear pajamas like everyone else when you sleep!\What is your name?\Second Year Class K, Mako Mankanshoku! response:	The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants!
context: No, I sleep in the nude.\You'll catch cold if you sleep in the buff!\If you were sick, could you work to your fullest potential in an emergency?\Oh.\Please wear pajamas like everyone else when you sleep!\What is your name?\Second Year Class K, Mako Mankanshoku!\The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants! response:	Mankanshoku, you say? I'll remember that.
context: You'll catch cold if you sleep in the buff!\If you were sick, could you work to your fullest potential in an emergency?\Oh.\Please wear pajamas like everyone else when you sleep!\What is your name?\Second Year Class K, Mako Mankanshoku!\The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants!\Mankanshoku, you say? I'll remember that. response:	Matoi!
context: If you were sick, could you work to your fullest potential in an emergency?\Oh.\Please wear pajamas like everyone else when you sleep!\What is your name?\Second Year Class K, Mako Mankanshoku!\The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants!\Mankanshoku, you say? I'll remember that.\Matoi! response:	I couldn't care less what you happen to be wearing right now!
context: Oh.\Please wear pajamas like everyone else when you sleep!\What is your name?\Second Year Class K, Mako Mankanshoku!\The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants!\Mankanshoku, you say? I'll remember that.\Matoi!\I couldn't care less what you happen to be wearing right now! response:	But do you think you can reach the school without your Kamui?
context: Please wear pajamas like everyone else when you sleep!\What is your name?\Second Year Class K, Mako Mankanshoku!\The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants!\Mankanshoku, you say? I'll remember that.\Matoi!\I couldn't care less what you happen to be wearing right now!\But do you think you can reach the school without your Kamui? response:	Behold the Disciplinary Committee's mighty barrier!
context: What is your name?\Second Year Class K, Mako Mankanshoku!\The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants!\Mankanshoku, you say? I'll remember that.\Matoi!\I couldn't care less what you happen to be wearing right now!\But do you think you can reach the school without your Kamui?\Behold the Disciplinary Committee's mighty barrier! response:	Shocker!
context: Second Year Class K, Mako Mankanshoku!\The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants!\Mankanshoku, you say? I'll remember that.\Matoi!\I couldn't care less what you happen to be wearing right now!\But do you think you can reach the school without your Kamui?\Behold the Disciplinary Committee's mighty barrier!\Shocker! response:	Look, Ryuko!
context: The pattern on my favorite pajamas is one Mt. Fuji, two hawks, and three eggplants!\Mankanshoku, you say? I'll remember that.\Matoi!\I couldn't care less what you happen to be wearing right now!\But do you think you can reach the school without your Kamui?\Behold the Disciplinary Committee's mighty barrier!\Shocker!\Look, Ryuko! response:	It's like the whole city's been turned into an amusement park!
context: Mankanshoku, you say? I'll remember that.\Matoi!\I couldn't care less what you happen to be wearing right now!\But do you think you can reach the school without your Kamui?\Behold the Disciplinary Committee's mighty barrier!\Shocker!\Look, Ryuko!\It's like the whole city's been turned into an amusement park! response:	I've never seen anything like this!
context: Matoi!\I couldn't care less what you happen to be wearing right now!\But do you think you can reach the school without your Kamui?\Behold the Disciplinary Committee's mighty barrier!\Shocker!\Look, Ryuko!\It's like the whole city's been turned into an amusement park!\I've never seen anything like this! response:	And there's only 3 hours to go until our first class, Ryuko!
context: I couldn't care less what you happen to be wearing right now!\But do you think you can reach the school without your Kamui?\Behold the Disciplinary Committee's mighty barrier!\Shocker!\Look, Ryuko!\It's like the whole city's been turned into an amusement park!\I've never seen anything like this!\And there's only 3 hours to go until our first class, Ryuko! response:	The people at this school sure love to hear themselves talk.
context: But do you think you can reach the school without your Kamui?\Behold the Disciplinary Committee's mighty barrier!\Shocker!\Look, Ryuko!\It's like the whole city's been turned into an amusement park!\I've never seen anything like this!\And there's only 3 hours to go until our first class, Ryuko!\The people at this school sure love to hear themselves talk. response:	All right, fine. You're on.
context: Behold the Disciplinary Committee's mighty barrier!\Shocker!\Look, Ryuko!\It's like the whole city's been turned into an amusement park!\I've never seen anything like this!\And there's only 3 hours to go until our first class, Ryuko!\The people at this school sure love to hear themselves talk.\All right, fine. You're on. response:	I'm gonna bust through every last one of the traps you bozos made!
context: Shocker!\Look, Ryuko!\It's like the whole city's been turned into an amusement park!\I've never seen anything like this!\And there's only 3 hours to go until our first class, Ryuko!\The people at this school sure love to hear themselves talk.\All right, fine. You're on.\I'm gonna bust through every last one of the traps you bozos made! response:	As you wish! Students, commence commute!
