context: The appearance of defectors aboard the Macross response:	has raised the possibility of coexistence with the Zentradi.
context: The shuttle is ready for launch. It is scheduled to depart in fifteen minutes.\What about Zentradi movements?\No movement detected from point A-4 onward, sir.\No change, eh?\I just hope they don't launch another attack.\The Captain's pretty restless, huh?\There's someone here who's even more restless.\Look, look. response:	Valkyrie Violet Squadron! Prepare to begin your landing sequence!
context: What about Zentradi movements?\No movement detected from point A-4 onward, sir.\No change, eh?\I just hope they don't launch another attack.\The Captain's pretty restless, huh?\There's someone here who's even more restless.\Look, look.\Valkyrie Violet Squadron! Prepare to begin your landing sequence! response:	How's everything going, Shammy?
context: No movement detected from point A-4 onward, sir.\No change, eh?\I just hope they don't launch another attack.\The Captain's pretty restless, huh?\There's someone here who's even more restless.\Look, look.\Valkyrie Violet Squadron! Prepare to begin your landing sequence!\How's everything going, Shammy? response:	Captain! Excuse me, but please don't talk to me while I'm giving orders!
context: No change, eh?\I just hope they don't launch another attack.\The Captain's pretty restless, huh?\There's someone here who's even more restless.\Look, look.\Valkyrie Violet Squadron! Prepare to begin your landing sequence!\How's everything going, Shammy?\Captain! Excuse me, but please don't talk to me while I'm giving orders! response:	Oh. Sorry.
context: I just hope they don't launch another attack.\The Captain's pretty restless, huh?\There's someone here who's even more restless.\Look, look.\Valkyrie Violet Squadron! Prepare to begin your landing sequence!\How's everything going, Shammy?\Captain! Excuse me, but please don't talk to me while I'm giving orders!\Oh. Sorry. response:	No kidding. She even forgot to say, No smoking on the bridge!
context: The Captain's pretty restless, huh?\There's someone here who's even more restless.\Look, look.\Valkyrie Violet Squadron! Prepare to begin your landing sequence!\How's everything going, Shammy?\Captain! Excuse me, but please don't talk to me while I'm giving orders!\Oh. Sorry.\No kidding. She even forgot to say, No smoking on the bridge! response:	Escort squadron, prepare to launch in three minutes.
context: There's someone here who's even more restless.\Look, look.\Valkyrie Violet Squadron! Prepare to begin your landing sequence!\How's everything going, Shammy?\Captain! Excuse me, but please don't talk to me while I'm giving orders!\Oh. Sorry.\No kidding. She even forgot to say, No smoking on the bridge!\Escort squadron, prepare to launch in three minutes. response:	Hmm. Captain Hayase's stand-in is Shammy, huh?
context: Look, look.\Valkyrie Violet Squadron! Prepare to begin your landing sequence!\How's everything going, Shammy?\Captain! Excuse me, but please don't talk to me while I'm giving orders!\Oh. Sorry.\No kidding. She even forgot to say, No smoking on the bridge!\Escort squadron, prepare to launch in three minutes.\Hmm. Captain Hayase's stand-in is Shammy, huh? response:	Can that kid handle it? The rumor is she's kind of a screw-up.
context: Valkyrie Violet Squadron! Prepare to begin your landing sequence!\How's everything going, Shammy?\Captain! Excuse me, but please don't talk to me while I'm giving orders!\Oh. Sorry.\No kidding. She even forgot to say, No smoking on the bridge!\Escort squadron, prepare to launch in three minutes.\Hmm. Captain Hayase's stand-in is Shammy, huh?\Can that kid handle it? The rumor is she's kind of a screw-up. response:	They mounted FAST Packs?
context: How's everything going, Shammy?\Captain! Excuse me, but please don't talk to me while I'm giving orders!\Oh. Sorry.\No kidding. She even forgot to say, No smoking on the bridge!\Escort squadron, prepare to launch in three minutes.\Hmm. Captain Hayase's stand-in is Shammy, huh?\Can that kid handle it? The rumor is she's kind of a screw-up.\They mounted FAST Packs? response:	I guess I'm going now.
context: Captain! Excuse me, but please don't talk to me while I'm giving orders!\Oh. Sorry.\No kidding. She even forgot to say, No smoking on the bridge!\Escort squadron, prepare to launch in three minutes.\Hmm. Captain Hayase's stand-in is Shammy, huh?\Can that kid handle it? The rumor is she's kind of a screw-up.\They mounted FAST Packs?\I guess I'm going now. response:	Hang in there.
context: Oh. Sorry.\No kidding. She even forgot to say, No smoking on the bridge!\Escort squadron, prepare to launch in three minutes.\Hmm. Captain Hayase's stand-in is Shammy, huh?\Can that kid handle it? The rumor is she's kind of a screw-up.\They mounted FAST Packs?\I guess I'm going now.\Hang in there. response:	Right...
context: No kidding. She even forgot to say, No smoking on the bridge!\Escort squadron, prepare to launch in three minutes.\Hmm. Captain Hayase's stand-in is Shammy, huh?\Can that kid handle it? The rumor is she's kind of a screw-up.\They mounted FAST Packs?\I guess I'm going now.\Hang in there.\Right... response:	Is this the communicator?
context: Escort squadron, prepare to launch in three minutes.\Hmm. Captain Hayase's stand-in is Shammy, huh?\Can that kid handle it? The rumor is she's kind of a screw-up.\They mounted FAST Packs?\I guess I'm going now.\Hang in there.\Right...\Is this the communicator? response:	Yes, ma'am.
context: Hmm. Captain Hayase's stand-in is Shammy, huh?\Can that kid handle it? The rumor is she's kind of a screw-up.\They mounted FAST Packs?\I guess I'm going now.\Hang in there.\Right...\Is this the communicator?\Yes, ma'am. response:	Can it connect to the ship's internal phone line?
context: Can that kid handle it? The rumor is she's kind of a screw-up.\They mounted FAST Packs?\I guess I'm going now.\Hang in there.\Right...\Is this the communicator?\Yes, ma'am.\Can it connect to the ship's internal phone line? response:	Yes, if you don't mind voice-only.
context: They mounted FAST Packs?\I guess I'm going now.\Hang in there.\Right...\Is this the communicator?\Yes, ma'am.\Can it connect to the ship's internal phone line?\Yes, if you don't mind voice-only. response:	This is Ichijo.
context: I guess I'm going now.\Hang in there.\Right...\Is this the communicator?\Yes, ma'am.\Can it connect to the ship's internal phone line?\Yes, if you don't mind voice-only.\This is Ichijo. response:	Your call is being connected.
context: Hang in there.\Right...\Is this the communicator?\Yes, ma'am.\Can it connect to the ship's internal phone line?\Yes, if you don't mind voice-only.\This is Ichijo.\Your call is being connected. response:	Hello?
context: Right...\Is this the communicator?\Yes, ma'am.\Can it connect to the ship's internal phone line?\Yes, if you don't mind voice-only.\This is Ichijo.\Your call is being connected.\Hello? response:	It's Hayase.
context: Is this the communicator?\Yes, ma'am.\Can it connect to the ship's internal phone line?\Yes, if you don't mind voice-only.\This is Ichijo.\Your call is being connected.\Hello?\It's Hayase. response:	Captain? Um, I've got the day off, you know.
context: Yes, ma'am.\Can it connect to the ship's internal phone line?\Yes, if you don't mind voice-only.\This is Ichijo.\Your call is being connected.\Hello?\It's Hayase.\Captain? Um, I've got the day off, you know. response:	This isn't about work.
context: Can it connect to the ship's internal phone line?\Yes, if you don't mind voice-only.\This is Ichijo.\Your call is being connected.\Hello?\It's Hayase.\Captain? Um, I've got the day off, you know.\This isn't about work. response:	What's going on?
context: Yes, if you don't mind voice-only.\This is Ichijo.\Your call is being connected.\Hello?\It's Hayase.\Captain? Um, I've got the day off, you know.\This isn't about work.\What's going on? response:	I just wanted to say goodbye.
context: This is Ichijo.\Your call is being connected.\Hello?\It's Hayase.\Captain? Um, I've got the day off, you know.\This isn't about work.\What's going on?\I just wanted to say goodbye. response:	Goodbye?
context: Your call is being connected.\Hello?\It's Hayase.\Captain? Um, I've got the day off, you know.\This isn't about work.\What's going on?\I just wanted to say goodbye.\Goodbye? response:	I'm about to leave for Earth.
context: Hello?\It's Hayase.\Captain? Um, I've got the day off, you know.\This isn't about work.\What's going on?\I just wanted to say goodbye.\Goodbye?\I'm about to leave for Earth. response:	I'm taking all the data we've acquired to try to persuade High Command
context: It's Hayase.\Captain? Um, I've got the day off, you know.\This isn't about work.\What's going on?\I just wanted to say goodbye.\Goodbye?\I'm about to leave for Earth.\I'm taking all the data we've acquired to try to persuade High Command response:	to end the war with the Zentradi.
context: Captain? Um, I've got the day off, you know.\This isn't about work.\What's going on?\I just wanted to say goodbye.\Goodbye?\I'm about to leave for Earth.\I'm taking all the data we've acquired to try to persuade High Command\to end the war with the Zentradi. response:	What? No one told me about this!
context: This isn't about work.\What's going on?\I just wanted to say goodbye.\Goodbye?\I'm about to leave for Earth.\I'm taking all the data we've acquired to try to persuade High Command\to end the war with the Zentradi.\What? No one told me about this! response:	If it got out that I was heading back to Earth,
context: What's going on?\I just wanted to say goodbye.\Goodbye?\I'm about to leave for Earth.\I'm taking all the data we've acquired to try to persuade High Command\to end the war with the Zentradi.\What? No one told me about this!\If it got out that I was heading back to Earth, response:	it could cause unrest among the civilians on board.
context: I just wanted to say goodbye.\Goodbye?\I'm about to leave for Earth.\I'm taking all the data we've acquired to try to persuade High Command\to end the war with the Zentradi.\What? No one told me about this!\If it got out that I was heading back to Earth,\it could cause unrest among the civilians on board. response:	Soldiers using special authority to return to Earth.
context: Goodbye?\I'm about to leave for Earth.\I'm taking all the data we've acquired to try to persuade High Command\to end the war with the Zentradi.\What? No one told me about this!\If it got out that I was heading back to Earth,\it could cause unrest among the civilians on board.\Soldiers using special authority to return to Earth. response:	That's how they'd see it. So this had to be top-secret.
context: I'm about to leave for Earth.\I'm taking all the data we've acquired to try to persuade High Command\to end the war with the Zentradi.\What? No one told me about this!\If it got out that I was heading back to Earth,\it could cause unrest among the civilians on board.\Soldiers using special authority to return to Earth.\That's how they'd see it. So this had to be top-secret. response:	Captain, where are you right now?!
context: I'm taking all the data we've acquired to try to persuade High Command\to end the war with the Zentradi.\What? No one told me about this!\If it got out that I was heading back to Earth,\it could cause unrest among the civilians on board.\Soldiers using special authority to return to Earth.\That's how they'd see it. So this had to be top-secret.\Captain, where are you right now?! response:	Once I go back, I may not be able to return to the Macross.
context: to end the war with the Zentradi.\What? No one told me about this!\If it got out that I was heading back to Earth,\it could cause unrest among the civilians on board.\Soldiers using special authority to return to Earth.\That's how they'd see it. So this had to be top-secret.\Captain, where are you right now?!\Once I go back, I may not be able to return to the Macross. response:	That's why I wanted to at least say goodbye to you.
context: What? No one told me about this!\If it got out that I was heading back to Earth,\it could cause unrest among the civilians on board.\Soldiers using special authority to return to Earth.\That's how they'd see it. So this had to be top-secret.\Captain, where are you right now?!\Once I go back, I may not be able to return to the Macross.\That's why I wanted to at least say goodbye to you. response:	Captain, where are you calling from?!
context: If it got out that I was heading back to Earth,\it could cause unrest among the civilians on board.\Soldiers using special authority to return to Earth.\That's how they'd see it. So this had to be top-secret.\Captain, where are you right now?!\Once I go back, I may not be able to return to the Macross.\That's why I wanted to at least say goodbye to you.\Captain, where are you calling from?! response:	Lt. Ichijo, please look after our Zentradi defectors.
context: it could cause unrest among the civilians on board.\Soldiers using special authority to return to Earth.\That's how they'd see it. So this had to be top-secret.\Captain, where are you right now?!\Once I go back, I may not be able to return to the Macross.\That's why I wanted to at least say goodbye to you.\Captain, where are you calling from?!\Lt. Ichijo, please look after our Zentradi defectors. response:	There are still a lot of people who don't understand them.
context: Soldiers using special authority to return to Earth.\That's how they'd see it. So this had to be top-secret.\Captain, where are you right now?!\Once I go back, I may not be able to return to the Macross.\That's why I wanted to at least say goodbye to you.\Captain, where are you calling from?!\Lt. Ichijo, please look after our Zentradi defectors.\There are still a lot of people who don't understand them. response:	Please help them.
context: That's how they'd see it. So this had to be top-secret.\Captain, where are you right now?!\Once I go back, I may not be able to return to the Macross.\That's why I wanted to at least say goodbye to you.\Captain, where are you calling from?!\Lt. Ichijo, please look after our Zentradi defectors.\There are still a lot of people who don't understand them.\Please help them. response:	I have to go now.
context: Captain, where are you right now?!\Once I go back, I may not be able to return to the Macross.\That's why I wanted to at least say goodbye to you.\Captain, where are you calling from?!\Lt. Ichijo, please look after our Zentradi defectors.\There are still a lot of people who don't understand them.\Please help them.\I have to go now. response:	Captain?
context: Once I go back, I may not be able to return to the Macross.\That's why I wanted to at least say goodbye to you.\Captain, where are you calling from?!\Lt. Ichijo, please look after our Zentradi defectors.\There are still a lot of people who don't understand them.\Please help them.\I have to go now.\Captain? response:	Hello? Captain Hayase!
context: That's why I wanted to at least say goodbye to you.\Captain, where are you calling from?!\Lt. Ichijo, please look after our Zentradi defectors.\There are still a lot of people who don't understand them.\Please help them.\I have to go now.\Captain?\Hello? Captain Hayase! response:	Shuttle escort squadron is now launching.
context: Captain, where are you calling from?!\Lt. Ichijo, please look after our Zentradi defectors.\There are still a lot of people who don't understand them.\Please help them.\I have to go now.\Captain?\Hello? Captain Hayase!\Shuttle escort squadron is now launching. response:	That must be her.
context: Lt. Ichijo, please look after our Zentradi defectors.\There are still a lot of people who don't understand them.\Please help them.\I have to go now.\Captain?\Hello? Captain Hayase!\Shuttle escort squadron is now launching.\That must be her. response:	Captain! An enemy detachment has suddenly moved into action!
context: There are still a lot of people who don't understand them.\Please help them.\I have to go now.\Captain?\Hello? Captain Hayase!\Shuttle escort squadron is now launching.\That must be her.\Captain! An enemy detachment has suddenly moved into action! response:	It looks like they've detected the shuttle!
context: Please help them.\I have to go now.\Captain?\Hello? Captain Hayase!\Shuttle escort squadron is now launching.\That must be her.\Captain! An enemy detachment has suddenly moved into action!\It looks like they've detected the shuttle! response:	Have the shuttle change course! Evade the enemy forces!
context: I have to go now.\Captain?\Hello? Captain Hayase!\Shuttle escort squadron is now launching.\That must be her.\Captain! An enemy detachment has suddenly moved into action!\It looks like they've detected the shuttle!\Have the shuttle change course! Evade the enemy forces! response:	Yes, sir!
context: Captain?\Hello? Captain Hayase!\Shuttle escort squadron is now launching.\That must be her.\Captain! An enemy detachment has suddenly moved into action!\It looks like they've detected the shuttle!\Have the shuttle change course! Evade the enemy forces!\Yes, sir! response:	Enemy attack! We are changing course!
context: Hello? Captain Hayase!\Shuttle escort squadron is now launching.\That must be her.\Captain! An enemy detachment has suddenly moved into action!\It looks like they've detected the shuttle!\Have the shuttle change course! Evade the enemy forces!\Yes, sir!\Enemy attack! We are changing course! response:	Enemy fighters are approaching from 1 o'clock!
context: Shuttle escort squadron is now launching.\That must be her.\Captain! An enemy detachment has suddenly moved into action!\It looks like they've detected the shuttle!\Have the shuttle change course! Evade the enemy forces!\Yes, sir!\Enemy attack! We are changing course!\Enemy fighters are approaching from 1 o'clock! response:	Units 4, 5, and 6, break off and delay the enemy!
context: That must be her.\Captain! An enemy detachment has suddenly moved into action!\It looks like they've detected the shuttle!\Have the shuttle change course! Evade the enemy forces!\Yes, sir!\Enemy attack! We are changing course!\Enemy fighters are approaching from 1 o'clock!\Units 4, 5, and 6, break off and delay the enemy! response:	Roger!
context: Captain! An enemy detachment has suddenly moved into action!\It looks like they've detected the shuttle!\Have the shuttle change course! Evade the enemy forces!\Yes, sir!\Enemy attack! We are changing course!\Enemy fighters are approaching from 1 o'clock!\Units 4, 5, and 6, break off and delay the enemy!\Roger! response:	Roger!
context: It looks like they've detected the shuttle!\Have the shuttle change course! Evade the enemy forces!\Yes, sir!\Enemy attack! We are changing course!\Enemy fighters are approaching from 1 o'clock!\Units 4, 5, and 6, break off and delay the enemy!\Roger!\Roger! response:	Sir! An enemy formation has altered course!
context: Have the shuttle change course! Evade the enemy forces!\Yes, sir!\Enemy attack! We are changing course!\Enemy fighters are approaching from 1 o'clock!\Units 4, 5, and 6, break off and delay the enemy!\Roger!\Roger!\Sir! An enemy formation has altered course! response:	It worked. All right, men... Attack!
context: Yes, sir!\Enemy attack! We are changing course!\Enemy fighters are approaching from 1 o'clock!\Units 4, 5, and 6, break off and delay the enemy!\Roger!\Roger!\Sir! An enemy formation has altered course!\It worked. All right, men... Attack! response:	Enemy pods have appeared at 2 o'clock high.
context: Enemy attack! We are changing course!\Enemy fighters are approaching from 1 o'clock!\Units 4, 5, and 6, break off and delay the enemy!\Roger!\Roger!\Sir! An enemy formation has altered course!\It worked. All right, men... Attack!\Enemy pods have appeared at 2 o'clock high. response:	They're closing on the shuttle, fast!
context: Enemy fighters are approaching from 1 o'clock!\Units 4, 5, and 6, break off and delay the enemy!\Roger!\Roger!\Sir! An enemy formation has altered course!\It worked. All right, men... Attack!\Enemy pods have appeared at 2 o'clock high.\They're closing on the shuttle, fast! response:	Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group!
context: Units 4, 5, and 6, break off and delay the enemy!\Roger!\Roger!\Sir! An enemy formation has altered course!\It worked. All right, men... Attack!\Enemy pods have appeared at 2 o'clock high.\They're closing on the shuttle, fast!\Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group! response:	Those first ones were decoys!
context: Roger!\Roger!\Sir! An enemy formation has altered course!\It worked. All right, men... Attack!\Enemy pods have appeared at 2 o'clock high.\They're closing on the shuttle, fast!\Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group!\Those first ones were decoys! response:	Reinforcements for the escort squadron are en route!
context: Roger!\Sir! An enemy formation has altered course!\It worked. All right, men... Attack!\Enemy pods have appeared at 2 o'clock high.\They're closing on the shuttle, fast!\Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group!\Those first ones were decoys!\Reinforcements for the escort squadron are en route! response:	The shuttle is surrounded! Approximately sixty enemy pods!
context: Sir! An enemy formation has altered course!\It worked. All right, men... Attack!\Enemy pods have appeared at 2 o'clock high.\They're closing on the shuttle, fast!\Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group!\Those first ones were decoys!\Reinforcements for the escort squadron are en route!\The shuttle is surrounded! Approximately sixty enemy pods! response:	How long until those reinforcements get there?
context: It worked. All right, men... Attack!\Enemy pods have appeared at 2 o'clock high.\They're closing on the shuttle, fast!\Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group!\Those first ones were decoys!\Reinforcements for the escort squadron are en route!\The shuttle is surrounded! Approximately sixty enemy pods!\How long until those reinforcements get there? response:	At maximum thrust, twenty minutes, sir.
context: Enemy pods have appeared at 2 o'clock high.\They're closing on the shuttle, fast!\Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group!\Those first ones were decoys!\Reinforcements for the escort squadron are en route!\The shuttle is surrounded! Approximately sixty enemy pods!\How long until those reinforcements get there?\At maximum thrust, twenty minutes, sir. response:	Shammy! Deploy the Booby Duck!
context: They're closing on the shuttle, fast!\Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group!\Those first ones were decoys!\Reinforcements for the escort squadron are en route!\The shuttle is surrounded! Approximately sixty enemy pods!\How long until those reinforcements get there?\At maximum thrust, twenty minutes, sir.\Shammy! Deploy the Booby Duck! response:	Booby...?
context: Units 5 and 6, head to point Lambda 0-3-4 and rejoin the main shuttle group!\Those first ones were decoys!\Reinforcements for the escort squadron are en route!\The shuttle is surrounded! Approximately sixty enemy pods!\How long until those reinforcements get there?\At maximum thrust, twenty minutes, sir.\Shammy! Deploy the Booby Duck!\Booby...? response:	The mechanics will know what it means. Now hurry!
context: Those first ones were decoys!\Reinforcements for the escort squadron are en route!\The shuttle is surrounded! Approximately sixty enemy pods!\How long until those reinforcements get there?\At maximum thrust, twenty minutes, sir.\Shammy! Deploy the Booby Duck!\Booby...?\The mechanics will know what it means. Now hurry! response:	And have Lieutenant Ichijo pilot it!
context: Reinforcements for the escort squadron are en route!\The shuttle is surrounded! Approximately sixty enemy pods!\How long until those reinforcements get there?\At maximum thrust, twenty minutes, sir.\Shammy! Deploy the Booby Duck!\Booby...?\The mechanics will know what it means. Now hurry!\And have Lieutenant Ichijo pilot it! response:	Yes, sir!
context: The shuttle is surrounded! Approximately sixty enemy pods!\How long until those reinforcements get there?\At maximum thrust, twenty minutes, sir.\Shammy! Deploy the Booby Duck!\Booby...?\The mechanics will know what it means. Now hurry!\And have Lieutenant Ichijo pilot it!\Yes, sir! response:	Come on, step on it! At this rate, I'm not gonna make it!
context: How long until those reinforcements get there?\At maximum thrust, twenty minutes, sir.\Shammy! Deploy the Booby Duck!\Booby...?\The mechanics will know what it means. Now hurry!\And have Lieutenant Ichijo pilot it!\Yes, sir!\Come on, step on it! At this rate, I'm not gonna make it! response:	Yes, sir!
context: At maximum thrust, twenty minutes, sir.\Shammy! Deploy the Booby Duck!\Booby...?\The mechanics will know what it means. Now hurry!\And have Lieutenant Ichijo pilot it!\Yes, sir!\Come on, step on it! At this rate, I'm not gonna make it!\Yes, sir! response:	First Lieutenant Ichijo, your target is point Lambda 0-3-2!
context: Shammy! Deploy the Booby Duck!\Booby...?\The mechanics will know what it means. Now hurry!\And have Lieutenant Ichijo pilot it!\Yes, sir!\Come on, step on it! At this rate, I'm not gonna make it!\Yes, sir!\First Lieutenant Ichijo, your target is point Lambda 0-3-2! response:	I've never heard of that location!
context: Booby...?\The mechanics will know what it means. Now hurry!\And have Lieutenant Ichijo pilot it!\Yes, sir!\Come on, step on it! At this rate, I'm not gonna make it!\Yes, sir!\First Lieutenant Ichijo, your target is point Lambda 0-3-2!\I've never heard of that location! response:	Where the hell is it?!
context: The mechanics will know what it means. Now hurry!\And have Lieutenant Ichijo pilot it!\Yes, sir!\Come on, step on it! At this rate, I'm not gonna make it!\Yes, sir!\First Lieutenant Ichijo, your target is point Lambda 0-3-2!\I've never heard of that location!\Where the hell is it?! response:	Didn't you tell him the new codes?
context: And have Lieutenant Ichijo pilot it!\Yes, sir!\Come on, step on it! At this rate, I'm not gonna make it!\Yes, sir!\First Lieutenant Ichijo, your target is point Lambda 0-3-2!\I've never heard of that location!\Where the hell is it?!\Didn't you tell him the new codes? response:	Well, I never thought he'd have to sortie on his day off, so...
context: Yes, sir!\Come on, step on it! At this rate, I'm not gonna make it!\Yes, sir!\First Lieutenant Ichijo, your target is point Lambda 0-3-2!\I've never heard of that location!\Where the hell is it?!\Didn't you tell him the new codes?\Well, I never thought he'd have to sortie on his day off, so... response:	I'm sorry.
context: Come on, step on it! At this rate, I'm not gonna make it!\Yes, sir!\First Lieutenant Ichijo, your target is point Lambda 0-3-2!\I've never heard of that location!\Where the hell is it?!\Didn't you tell him the new codes?\Well, I never thought he'd have to sortie on his day off, so...\I'm sorry. response:	Lieutenant Ichijo, I'll use the old code system.
context: Yes, sir!\First Lieutenant Ichijo, your target is point Lambda 0-3-2!\I've never heard of that location!\Where the hell is it?!\Didn't you tell him the new codes?\Well, I never thought he'd have to sortie on his day off, so...\I'm sorry.\Lieutenant Ichijo, I'll use the old code system. response:	Please head to point A3-102 immediately!
context: First Lieutenant Ichijo, your target is point Lambda 0-3-2!\I've never heard of that location!\Where the hell is it?!\Didn't you tell him the new codes?\Well, I never thought he'd have to sortie on his day off, so...\I'm sorry.\Lieutenant Ichijo, I'll use the old code system.\Please head to point A3-102 immediately! response:	Roger!
context: I've never heard of that location!\Where the hell is it?!\Didn't you tell him the new codes?\Well, I never thought he'd have to sortie on his day off, so...\I'm sorry.\Lieutenant Ichijo, I'll use the old code system.\Please head to point A3-102 immediately!\Roger! response:	Finally, that's thirty down, huh?
context: Where the hell is it?!\Didn't you tell him the new codes?\Well, I never thought he'd have to sortie on his day off, so...\I'm sorry.\Lieutenant Ichijo, I'll use the old code system.\Please head to point A3-102 immediately!\Roger!\Finally, that's thirty down, huh? response:	There they are!
context: Didn't you tell him the new codes?\Well, I never thought he'd have to sortie on his day off, so...\I'm sorry.\Lieutenant Ichijo, I'll use the old code system.\Please head to point A3-102 immediately!\Roger!\Finally, that's thirty down, huh?\There they are! response:	Go!
context: Well, I never thought he'd have to sortie on his day off, so...\I'm sorry.\Lieutenant Ichijo, I'll use the old code system.\Please head to point A3-102 immediately!\Roger!\Finally, that's thirty down, huh?\There they are!\Go! response:	The enemy pods have been destroyed. We're returning to base.
context: I'm sorry.\Lieutenant Ichijo, I'll use the old code system.\Please head to point A3-102 immediately!\Roger!\Finally, that's thirty down, huh?\There they are!\Go!\The enemy pods have been destroyed. We're returning to base. response:	Lt. Ichijo is staying behind to escort the shuttle.
context: Lieutenant Ichijo, I'll use the old code system.\Please head to point A3-102 immediately!\Roger!\Finally, that's thirty down, huh?\There they are!\Go!\The enemy pods have been destroyed. We're returning to base.\Lt. Ichijo is staying behind to escort the shuttle. response:	I'm beat!
