context: Huntsman of Belparaso, I open thee! response:	Samagui!
context: Tell me what exactly happened, Capricorn.\Taboo.\Each and every magic has some rule which cannot be violated.\As for meh, I tried to break it.\What?\And the result is this form.\A goat! Go ahead and laugh!\Around that time, Natsu and Happy, having sensed the enemy's presence, response:	or rather, smelled their scent, were heading deeper into Tenroujima.
context: Taboo.\Each and every magic has some rule which cannot be violated.\As for meh, I tried to break it.\What?\And the result is this form.\A goat! Go ahead and laugh!\Around that time, Natsu and Happy, having sensed the enemy's presence,\or rather, smelled their scent, were heading deeper into Tenroujima. response:	His smell is this way!
context: Each and every magic has some rule which cannot be violated.\As for meh, I tried to break it.\What?\And the result is this form.\A goat! Go ahead and laugh!\Around that time, Natsu and Happy, having sensed the enemy's presence,\or rather, smelled their scent, were heading deeper into Tenroujima.\His smell is this way! response:	Wait, Natsu!
context: As for meh, I tried to break it.\What?\And the result is this form.\A goat! Go ahead and laugh!\Around that time, Natsu and Happy, having sensed the enemy's presence,\or rather, smelled their scent, were heading deeper into Tenroujima.\His smell is this way!\Wait, Natsu! response:	The path isn't very good, so you should watch your step!
context: What?\And the result is this form.\A goat! Go ahead and laugh!\Around that time, Natsu and Happy, having sensed the enemy's presence,\or rather, smelled their scent, were heading deeper into Tenroujima.\His smell is this way!\Wait, Natsu!\The path isn't very good, so you should watch your step! response:	See, Natsu?
context: And the result is this form.\A goat! Go ahead and laugh!\Around that time, Natsu and Happy, having sensed the enemy's presence,\or rather, smelled their scent, were heading deeper into Tenroujima.\His smell is this way!\Wait, Natsu!\The path isn't very good, so you should watch your step!\See, Natsu? response:	Stop! Stop...
context: A goat! Go ahead and laugh!\Around that time, Natsu and Happy, having sensed the enemy's presence,\or rather, smelled their scent, were heading deeper into Tenroujima.\His smell is this way!\Wait, Natsu!\The path isn't very good, so you should watch your step!\See, Natsu?\Stop! Stop... response:	Huh? He got quiet all of a sudden.
context: Around that time, Natsu and Happy, having sensed the enemy's presence,\or rather, smelled their scent, were heading deeper into Tenroujima.\His smell is this way!\Wait, Natsu!\The path isn't very good, so you should watch your step!\See, Natsu?\Stop! Stop...\Huh? He got quiet all of a sudden. response:	He gets nauseous sliding on leaves? Sheesh.
context: or rather, smelled their scent, were heading deeper into Tenroujima.\His smell is this way!\Wait, Natsu!\The path isn't very good, so you should watch your step!\See, Natsu?\Stop! Stop...\Huh? He got quiet all of a sudden.\He gets nauseous sliding on leaves? Sheesh. response:	That didn't hurt... at all!
context: His smell is this way!\Wait, Natsu!\The path isn't very good, so you should watch your step!\See, Natsu?\Stop! Stop...\Huh? He got quiet all of a sudden.\He gets nauseous sliding on leaves? Sheesh.\That didn't hurt... at all! response:	It's him...
context: Wait, Natsu!\The path isn't very good, so you should watch your step!\See, Natsu?\Stop! Stop...\Huh? He got quiet all of a sudden.\He gets nauseous sliding on leaves? Sheesh.\That didn't hurt... at all!\It's him... response:	Natsu!
context: The path isn't very good, so you should watch your step!\See, Natsu?\Stop! Stop...\Huh? He got quiet all of a sudden.\He gets nauseous sliding on leaves? Sheesh.\That didn't hurt... at all!\It's him...\Natsu! response:	Natsu!
context: See, Natsu?\Stop! Stop...\Huh? He got quiet all of a sudden.\He gets nauseous sliding on leaves? Sheesh.\That didn't hurt... at all!\It's him...\Natsu!\Natsu! response:	The ground!
context: Stop! Stop...\Huh? He got quiet all of a sudden.\He gets nauseous sliding on leaves? Sheesh.\That didn't hurt... at all!\It's him...\Natsu!\Natsu!\The ground! response:	What?
context: Huh? He got quiet all of a sudden.\He gets nauseous sliding on leaves? Sheesh.\That didn't hurt... at all!\It's him...\Natsu!\Natsu!\The ground!\What? response:	There was a small sapling there.
context: He gets nauseous sliding on leaves? Sheesh.\That didn't hurt... at all!\It's him...\Natsu!\Natsu!\The ground!\What?\There was a small sapling there. response:	My Time Ark has guided the sapling to its future.
context: That didn't hurt... at all!\It's him...\Natsu!\Natsu!\The ground!\What?\There was a small sapling there.\My Time Ark has guided the sapling to its future. response:	I wonder where your future leads, Natsu Dragneel?
context: It's him...\Natsu!\Natsu!\The ground!\What?\There was a small sapling there.\My Time Ark has guided the sapling to its future.\I wonder where your future leads, Natsu Dragneel? response:	You're the one from back then...
context: Natsu!\Natsu!\The ground!\What?\There was a small sapling there.\My Time Ark has guided the sapling to its future.\I wonder where your future leads, Natsu Dragneel?\You're the one from back then... response:	It's definitely the same smell.
context: Natsu!\The ground!\What?\There was a small sapling there.\My Time Ark has guided the sapling to its future.\I wonder where your future leads, Natsu Dragneel?\You're the one from back then...\It's definitely the same smell. response:	The guy who used Lyon and the others in Galuna Island?
context: The ground!\What?\There was a small sapling there.\My Time Ark has guided the sapling to its future.\I wonder where your future leads, Natsu Dragneel?\You're the one from back then...\It's definitely the same smell.\The guy who used Lyon and the others in Galuna Island? response:	Is dressin' in women's clothing your hobby or something?
context: What?\There was a small sapling there.\My Time Ark has guided the sapling to its future.\I wonder where your future leads, Natsu Dragneel?\You're the one from back then...\It's definitely the same smell.\The guy who used Lyon and the others in Galuna Island?\Is dressin' in women's clothing your hobby or something? response:	Oh... That would explain.
context: There was a small sapling there.\My Time Ark has guided the sapling to its future.\I wonder where your future leads, Natsu Dragneel?\You're the one from back then...\It's definitely the same smell.\The guy who used Lyon and the others in Galuna Island?\Is dressin' in women's clothing your hobby or something?\Oh... That would explain. response:	Um, this is what I really look like.
context: My Time Ark has guided the sapling to its future.\I wonder where your future leads, Natsu Dragneel?\You're the one from back then...\It's definitely the same smell.\The guy who used Lyon and the others in Galuna Island?\Is dressin' in women's clothing your hobby or something?\Oh... That would explain.\Um, this is what I really look like. response:	I'm one of the 7 Kin of Purgatory of Grimoire Heart.
context: I wonder where your future leads, Natsu Dragneel?\You're the one from back then...\It's definitely the same smell.\The guy who used Lyon and the others in Galuna Island?\Is dressin' in women's clothing your hobby or something?\Oh... That would explain.\Um, this is what I really look like.\I'm one of the 7 Kin of Purgatory of Grimoire Heart. response:	Ultear Milkovich.
context: You're the one from back then...\It's definitely the same smell.\The guy who used Lyon and the others in Galuna Island?\Is dressin' in women's clothing your hobby or something?\Oh... That would explain.\Um, this is what I really look like.\I'm one of the 7 Kin of Purgatory of Grimoire Heart.\Ultear Milkovich. response:	Ul-Tea Milk?
context: It's definitely the same smell.\The guy who used Lyon and the others in Galuna Island?\Is dressin' in women's clothing your hobby or something?\Oh... That would explain.\Um, this is what I really look like.\I'm one of the 7 Kin of Purgatory of Grimoire Heart.\Ultear Milkovich.\Ul-Tea Milk? response:	Don't trip over your tongue.
context: The guy who used Lyon and the others in Galuna Island?\Is dressin' in women's clothing your hobby or something?\Oh... That would explain.\Um, this is what I really look like.\I'm one of the 7 Kin of Purgatory of Grimoire Heart.\Ultear Milkovich.\Ul-Tea Milk?\Don't trip over your tongue. response:	Don't tell me you're after Zeref, too?
context: Is dressin' in women's clothing your hobby or something?\Oh... That would explain.\Um, this is what I really look like.\I'm one of the 7 Kin of Purgatory of Grimoire Heart.\Ultear Milkovich.\Ul-Tea Milk?\Don't trip over your tongue.\Don't tell me you're after Zeref, too? response:	That guy is... Zeref?
context: Oh... That would explain.\Um, this is what I really look like.\I'm one of the 7 Kin of Purgatory of Grimoire Heart.\Ultear Milkovich.\Ul-Tea Milk?\Don't trip over your tongue.\Don't tell me you're after Zeref, too?\That guy is... Zeref? response:	This guy made Lullaby and Deliora...
context: Um, this is what I really look like.\I'm one of the 7 Kin of Purgatory of Grimoire Heart.\Ultear Milkovich.\Ul-Tea Milk?\Don't trip over your tongue.\Don't tell me you're after Zeref, too?\That guy is... Zeref?\This guy made Lullaby and Deliora... response:	Him?
context: I'm one of the 7 Kin of Purgatory of Grimoire Heart.\Ultear Milkovich.\Ul-Tea Milk?\Don't trip over your tongue.\Don't tell me you're after Zeref, too?\That guy is... Zeref?\This guy made Lullaby and Deliora...\Him? response:	No way!
context: Ultear Milkovich.\Ul-Tea Milk?\Don't trip over your tongue.\Don't tell me you're after Zeref, too?\That guy is... Zeref?\This guy made Lullaby and Deliora...\Him?\No way! response:	Zeref is a person from a long, long time ago!
context: Ul-Tea Milk?\Don't trip over your tongue.\Don't tell me you're after Zeref, too?\That guy is... Zeref?\This guy made Lullaby and Deliora...\Him?\No way!\Zeref is a person from a long, long time ago! response:	You can't have him, got it?
context: Don't trip over your tongue.\Don't tell me you're after Zeref, too?\That guy is... Zeref?\This guy made Lullaby and Deliora...\Him?\No way!\Zeref is a person from a long, long time ago!\You can't have him, got it? response:	Zeref is mine.
context: Don't tell me you're after Zeref, too?\That guy is... Zeref?\This guy made Lullaby and Deliora...\Him?\No way!\Zeref is a person from a long, long time ago!\You can't have him, got it?\Zeref is mine. response:	Who'd want'im?!
context: That guy is... Zeref?\This guy made Lullaby and Deliora...\Him?\No way!\Zeref is a person from a long, long time ago!\You can't have him, got it?\Zeref is mine.\Who'd want'im?! response:	I ain't gonna forgive you guys when you don't even care about your friends!
context: This guy made Lullaby and Deliora...\Him?\No way!\Zeref is a person from a long, long time ago!\You can't have him, got it?\Zeref is mine.\Who'd want'im?!\I ain't gonna forgive you guys when you don't even care about your friends! response:	Oh?
context: Him?\No way!\Zeref is a person from a long, long time ago!\You can't have him, got it?\Zeref is mine.\Who'd want'im?!\I ain't gonna forgive you guys when you don't even care about your friends!\Oh? response:	Then I suppose I'd better pay you back for that last time...
context: No way!\Zeref is a person from a long, long time ago!\You can't have him, got it?\Zeref is mine.\Who'd want'im?!\I ain't gonna forgive you guys when you don't even care about your friends!\Oh?\Then I suppose I'd better pay you back for that last time... response:	And this time, for real!
context: Zeref is a person from a long, long time ago!\You can't have him, got it?\Zeref is mine.\Who'd want'im?!\I ain't gonna forgive you guys when you don't even care about your friends!\Oh?\Then I suppose I'd better pay you back for that last time...\And this time, for real! response:	On the other hand, Erza and Juvia had gone to gather their comrades
context: You can't have him, got it?\Zeref is mine.\Who'd want'im?!\I ain't gonna forgive you guys when you don't even care about your friends!\Oh?\Then I suppose I'd better pay you back for that last time...\And this time, for real!\On the other hand, Erza and Juvia had gone to gather their comrades response:	immediately after hearing of the attack, and before them appeared...
context: Zeref is mine.\Who'd want'im?!\I ain't gonna forgive you guys when you don't even care about your friends!\Oh?\Then I suppose I'd better pay you back for that last time...\And this time, for real!\On the other hand, Erza and Juvia had gone to gather their comrades\immediately after hearing of the attack, and before them appeared... response:	Juvia Lockser.
context: Who'd want'im?!\I ain't gonna forgive you guys when you don't even care about your friends!\Oh?\Then I suppose I'd better pay you back for that last time...\And this time, for real!\On the other hand, Erza and Juvia had gone to gather their comrades\immediately after hearing of the attack, and before them appeared...\Juvia Lockser. response:	A former member of Phantom Lord's Elemental Four.
context: I ain't gonna forgive you guys when you don't even care about your friends!\Oh?\Then I suppose I'd better pay you back for that last time...\And this time, for real!\On the other hand, Erza and Juvia had gone to gather their comrades\immediately after hearing of the attack, and before them appeared...\Juvia Lockser.\A former member of Phantom Lord's Elemental Four. response:	Plus Titania, Erza Scarlet.
context: Oh?\Then I suppose I'd better pay you back for that last time...\And this time, for real!\On the other hand, Erza and Juvia had gone to gather their comrades\immediately after hearing of the attack, and before them appeared...\Juvia Lockser.\A former member of Phantom Lord's Elemental Four.\Plus Titania, Erza Scarlet. response:	Then you have already researched about Juvia and Erza?
context: Then I suppose I'd better pay you back for that last time...\And this time, for real!\On the other hand, Erza and Juvia had gone to gather their comrades\immediately after hearing of the attack, and before them appeared...\Juvia Lockser.\A former member of Phantom Lord's Elemental Four.\Plus Titania, Erza Scarlet.\Then you have already researched about Juvia and Erza? response:	State your name, villain!
context: And this time, for real!\On the other hand, Erza and Juvia had gone to gather their comrades\immediately after hearing of the attack, and before them appeared...\Juvia Lockser.\A former member of Phantom Lord's Elemental Four.\Plus Titania, Erza Scarlet.\Then you have already researched about Juvia and Erza?\State your name, villain! response:	I do not deem answering that as necessary.
context: On the other hand, Erza and Juvia had gone to gather their comrades\immediately after hearing of the attack, and before them appeared...\Juvia Lockser.\A former member of Phantom Lord's Elemental Four.\Plus Titania, Erza Scarlet.\Then you have already researched about Juvia and Erza?\State your name, villain!\I do not deem answering that as necessary. response:	Starting battle.
context: immediately after hearing of the attack, and before them appeared...\Juvia Lockser.\A former member of Phantom Lord's Elemental Four.\Plus Titania, Erza Scarlet.\Then you have already researched about Juvia and Erza?\State your name, villain!\I do not deem answering that as necessary.\Starting battle. response:	Here we go, Juvia!
context: Juvia Lockser.\A former member of Phantom Lord's Elemental Four.\Plus Titania, Erza Scarlet.\Then you have already researched about Juvia and Erza?\State your name, villain!\I do not deem answering that as necessary.\Starting battle.\Here we go, Juvia! response:	Right!
context: A former member of Phantom Lord's Elemental Four.\Plus Titania, Erza Scarlet.\Then you have already researched about Juvia and Erza?\State your name, villain!\I do not deem answering that as necessary.\Starting battle.\Here we go, Juvia!\Right! response:	But Juvia is worried about Gray-sama...
context: Plus Titania, Erza Scarlet.\Then you have already researched about Juvia and Erza?\State your name, villain!\I do not deem answering that as necessary.\Starting battle.\Here we go, Juvia!\Right!\But Juvia is worried about Gray-sama... response:	She wants to be by his side soon!
context: Then you have already researched about Juvia and Erza?\State your name, villain!\I do not deem answering that as necessary.\Starting battle.\Here we go, Juvia!\Right!\But Juvia is worried about Gray-sama...\She wants to be by his side soon! response:	Ah! What if Gray-sama is in big trouble right now...
context: State your name, villain!\I do not deem answering that as necessary.\Starting battle.\Here we go, Juvia!\Right!\But Juvia is worried about Gray-sama...\She wants to be by his side soon!\Ah! What if Gray-sama is in big trouble right now... response:	Why... is it so hard to breathe?
context: I do not deem answering that as necessary.\Starting battle.\Here we go, Juvia!\Right!\But Juvia is worried about Gray-sama...\She wants to be by his side soon!\Ah! What if Gray-sama is in big trouble right now...\Why... is it so hard to breathe? response:	My heart, it aches.
context: Starting battle.\Here we go, Juvia!\Right!\But Juvia is worried about Gray-sama...\She wants to be by his side soon!\Ah! What if Gray-sama is in big trouble right now...\Why... is it so hard to breathe?\My heart, it aches. response:	Something has taken a hold of my heart!
context: Here we go, Juvia!\Right!\But Juvia is worried about Gray-sama...\She wants to be by his side soon!\Ah! What if Gray-sama is in big trouble right now...\Why... is it so hard to breathe?\My heart, it aches.\Something has taken a hold of my heart! response:	Gray!
context: Right!\But Juvia is worried about Gray-sama...\She wants to be by his side soon!\Ah! What if Gray-sama is in big trouble right now...\Why... is it so hard to breathe?\My heart, it aches.\Something has taken a hold of my heart!\Gray! response:	It seems I was too weak to be your partner after all!
context: But Juvia is worried about Gray-sama...\She wants to be by his side soon!\Ah! What if Gray-sama is in big trouble right now...\Why... is it so hard to breathe?\My heart, it aches.\Something has taken a hold of my heart!\Gray!\It seems I was too weak to be your partner after all! response:	Sorry to be such a spoiler!
context: She wants to be by his side soon!\Ah! What if Gray-sama is in big trouble right now...\Why... is it so hard to breathe?\My heart, it aches.\Something has taken a hold of my heart!\Gray!\It seems I was too weak to be your partner after all!\Sorry to be such a spoiler! response:	I've brought your best partner with me!
context: Ah! What if Gray-sama is in big trouble right now...\Why... is it so hard to breathe?\My heart, it aches.\Something has taken a hold of my heart!\Gray!\It seems I was too weak to be your partner after all!\Sorry to be such a spoiler!\I've brought your best partner with me! response:	But... Juvia...
context: Why... is it so hard to breathe?\My heart, it aches.\Something has taken a hold of my heart!\Gray!\It seems I was too weak to be your partner after all!\Sorry to be such a spoiler!\I've brought your best partner with me!\But... Juvia... response:	You came for me, Juvia...
context: My heart, it aches.\Something has taken a hold of my heart!\Gray!\It seems I was too weak to be your partner after all!\Sorry to be such a spoiler!\I've brought your best partner with me!\But... Juvia...\You came for me, Juvia... response:	The shortness of breath, the thing that's grabbed my heart...
context: Something has taken a hold of my heart!\Gray!\It seems I was too weak to be your partner after all!\Sorry to be such a spoiler!\I've brought your best partner with me!\But... Juvia...\You came for me, Juvia...\The shortness of breath, the thing that's grabbed my heart... response:	Gray-sama...
context: Gray!\It seems I was too weak to be your partner after all!\Sorry to be such a spoiler!\I've brought your best partner with me!\But... Juvia...\You came for me, Juvia...\The shortness of breath, the thing that's grabbed my heart...\Gray-sama... response:	The two of us are S Class partners recognized throughout the guild...
context: It seems I was too weak to be your partner after all!\Sorry to be such a spoiler!\I've brought your best partner with me!\But... Juvia...\You came for me, Juvia...\The shortness of breath, the thing that's grabbed my heart...\Gray-sama...\The two of us are S Class partners recognized throughout the guild... response:	No, throughout the world!
context: Sorry to be such a spoiler!\I've brought your best partner with me!\But... Juvia...\You came for me, Juvia...\The shortness of breath, the thing that's grabbed my heart...\Gray-sama...\The two of us are S Class partners recognized throughout the guild...\No, throughout the world! response:	Juvia...
context: I've brought your best partner with me!\But... Juvia...\You came for me, Juvia...\The shortness of breath, the thing that's grabbed my heart...\Gray-sama...\The two of us are S Class partners recognized throughout the guild...\No, throughout the world!\Juvia... response:	Gray-sama...
context: But... Juvia...\You came for me, Juvia...\The shortness of breath, the thing that's grabbed my heart...\Gray-sama...\The two of us are S Class partners recognized throughout the guild...\No, throughout the world!\Juvia...\Gray-sama... response:	Juvia is so moved!
context: You came for me, Juvia...\The shortness of breath, the thing that's grabbed my heart...\Gray-sama...\The two of us are S Class partners recognized throughout the guild...\No, throughout the world!\Juvia...\Gray-sama...\Juvia is so moved! response:	Will you try concentrating?!
context: The shortness of breath, the thing that's grabbed my heart...\Gray-sama...\The two of us are S Class partners recognized throughout the guild...\No, throughout the world!\Juvia...\Gray-sama...\Juvia is so moved!\Will you try concentrating?! response:	Right!
context: Gray-sama...\The two of us are S Class partners recognized throughout the guild...\No, throughout the world!\Juvia...\Gray-sama...\Juvia is so moved!\Will you try concentrating?!\Right! response:	Maguilty Sodom!
context: The two of us are S Class partners recognized throughout the guild...\No, throughout the world!\Juvia...\Gray-sama...\Juvia is so moved!\Will you try concentrating?!\Right!\Maguilty Sodom! response:	She's coming for us!
context: No, throughout the world!\Juvia...\Gray-sama...\Juvia is so moved!\Will you try concentrating?!\Right!\Maguilty Sodom!\She's coming for us! response:	Erza-san, this is...
context: Juvia...\Gray-sama...\Juvia is so moved!\Will you try concentrating?!\Right!\Maguilty Sodom!\She's coming for us!\Erza-san, this is... response:	Magic blades?
context: Gray-sama...\Juvia is so moved!\Will you try concentrating?!\Right!\Maguilty Sodom!\She's coming for us!\Erza-san, this is...\Magic blades? response:	She can summon weapons as well?
context: Juvia is so moved!\Will you try concentrating?!\Right!\Maguilty Sodom!\She's coming for us!\Erza-san, this is...\Magic blades?\She can summon weapons as well? response:	Go.
