context: Battle of Ceres response:	Initiate the tactical heavy laser system!
context: four mobile mines\and two midrange impact cannons.\Just what are the Wulga anyway?\You mean Wulgaru, not Wulga.\Aren't they mysterious extraterrestrials that came to invade Earth?\But what do they look like?\Do you think they're all slimy and have wobbly antennae?\If they're from space, they've gotta be monsters! response:	That's every man's dream.
context: and two midrange impact cannons.\Just what are the Wulga anyway?\You mean Wulgaru, not Wulga.\Aren't they mysterious extraterrestrials that came to invade Earth?\But what do they look like?\Do you think they're all slimy and have wobbly antennae?\If they're from space, they've gotta be monsters!\That's every man's dream. response:	They could be silicon-based entities.
context: Just what are the Wulga anyway?\You mean Wulgaru, not Wulga.\Aren't they mysterious extraterrestrials that came to invade Earth?\But what do they look like?\Do you think they're all slimy and have wobbly antennae?\If they're from space, they've gotta be monsters!\That's every man's dream.\They could be silicon-based entities. response:	Maybe the ships we're fighting are their true form.
context: You mean Wulgaru, not Wulga.\Aren't they mysterious extraterrestrials that came to invade Earth?\But what do they look like?\Do you think they're all slimy and have wobbly antennae?\If they're from space, they've gotta be monsters!\That's every man's dream.\They could be silicon-based entities.\Maybe the ships we're fighting are their true form. response:	This was left blank in our files on them...
context: Aren't they mysterious extraterrestrials that came to invade Earth?\But what do they look like?\Do you think they're all slimy and have wobbly antennae?\If they're from space, they've gotta be monsters!\That's every man's dream.\They could be silicon-based entities.\Maybe the ships we're fighting are their true form.\This was left blank in our files on them... response:	You actually read those?
context: But what do they look like?\Do you think they're all slimy and have wobbly antennae?\If they're from space, they've gotta be monsters!\That's every man's dream.\They could be silicon-based entities.\Maybe the ships we're fighting are their true form.\This was left blank in our files on them...\You actually read those? response:	You're so mean!
context: Do you think they're all slimy and have wobbly antennae?\If they're from space, they've gotta be monsters!\That's every man's dream.\They could be silicon-based entities.\Maybe the ships we're fighting are their true form.\This was left blank in our files on them...\You actually read those?\You're so mean! response:	Izuru, shut up!
context: If they're from space, they've gotta be monsters!\That's every man's dream.\They could be silicon-based entities.\Maybe the ships we're fighting are their true form.\This was left blank in our files on them...\You actually read those?\You're so mean!\Izuru, shut up! response:	Huh? He's angry at me?
context: That's every man's dream.\They could be silicon-based entities.\Maybe the ships we're fighting are their true form.\This was left blank in our files on them...\You actually read those?\You're so mean!\Izuru, shut up!\Huh? He's angry at me? response:	The operation isn't supposed to start yet!
context: They could be silicon-based entities.\Maybe the ships we're fighting are their true form.\This was left blank in our files on them...\You actually read those?\You're so mean!\Izuru, shut up!\Huh? He's angry at me?\The operation isn't supposed to start yet! response:	Fire!
context: Maybe the ships we're fighting are their true form.\This was left blank in our files on them...\You actually read those?\You're so mean!\Izuru, shut up!\Huh? He's angry at me?\The operation isn't supposed to start yet!\Fire! response:	Fire!
context: This was left blank in our files on them...\You actually read those?\You're so mean!\Izuru, shut up!\Huh? He's angry at me?\The operation isn't supposed to start yet!\Fire!\Fire! response:	Well? Did we get them?
context: You actually read those?\You're so mean!\Izuru, shut up!\Huh? He's angry at me?\The operation isn't supposed to start yet!\Fire!\Fire!\Well? Did we get them? response:	It hit our target. Currently determining its effect.
context: You're so mean!\Izuru, shut up!\Huh? He's angry at me?\The operation isn't supposed to start yet!\Fire!\Fire!\Well? Did we get them?\It hit our target. Currently determining its effect. response:	Change in mass: 0.04.
context: Izuru, shut up!\Huh? He's angry at me?\The operation isn't supposed to start yet!\Fire!\Fire!\Well? Did we get them?\It hit our target. Currently determining its effect.\Change in mass: 0.04. response:	Change in orbit: 0.
context: Huh? He's angry at me?\The operation isn't supposed to start yet!\Fire!\Fire!\Well? Did we get them?\It hit our target. Currently determining its effect.\Change in mass: 0.04.\Change in orbit: 0. response:	That's absurd!
context: The operation isn't supposed to start yet!\Fire!\Fire!\Well? Did we get them?\It hit our target. Currently determining its effect.\Change in mass: 0.04.\Change in orbit: 0.\That's absurd! response:	Check those results!
context: Fire!\Fire!\Well? Did we get them?\It hit our target. Currently determining its effect.\Change in mass: 0.04.\Change in orbit: 0.\That's absurd!\Check those results! response:	I've confirmed an enormous change in the mass around the target!
context: Fire!\Well? Did we get them?\It hit our target. Currently determining its effect.\Change in mass: 0.04.\Change in orbit: 0.\That's absurd!\Check those results!\I've confirmed an enormous change in the mass around the target! response:	See? I told you!
context: Well? Did we get them?\It hit our target. Currently determining its effect.\Change in mass: 0.04.\Change in orbit: 0.\That's absurd!\Check those results!\I've confirmed an enormous change in the mass around the target!\See? I told you! response:	The mass is speeding toward the first line of defense.
context: It hit our target. Currently determining its effect.\Change in mass: 0.04.\Change in orbit: 0.\That's absurd!\Check those results!\I've confirmed an enormous change in the mass around the target!\See? I told you!\The mass is speeding toward the first line of defense. response:	It's the enemy!
context: Change in mass: 0.04.\Change in orbit: 0.\That's absurd!\Check those results!\I've confirmed an enormous change in the mass around the target!\See? I told you!\The mass is speeding toward the first line of defense.\It's the enemy! response:	Incoming report from the first line of defense!
context: Change in orbit: 0.\That's absurd!\Check those results!\I've confirmed an enormous change in the mass around the target!\See? I told you!\The mass is speeding toward the first line of defense.\It's the enemy!\Incoming report from the first line of defense! response:	Numerous enemy vessels are headed toward them.
context: That's absurd!\Check those results!\I've confirmed an enormous change in the mass around the target!\See? I told you!\The mass is speeding toward the first line of defense.\It's the enemy!\Incoming report from the first line of defense!\Numerous enemy vessels are headed toward them. response:	We are currently under attack!
context: Check those results!\I've confirmed an enormous change in the mass around the target!\See? I told you!\The mass is speeding toward the first line of defense.\It's the enemy!\Incoming report from the first line of defense!\Numerous enemy vessels are headed toward them.\We are currently under attack! response:	What?! That can't be!
context: I've confirmed an enormous change in the mass around the target!\See? I told you!\The mass is speeding toward the first line of defense.\It's the enemy!\Incoming report from the first line of defense!\Numerous enemy vessels are headed toward them.\We are currently under attack!\What?! That can't be! response:	Recharge the laser! Be quick about it!
context: See? I told you!\The mass is speeding toward the first line of defense.\It's the enemy!\Incoming report from the first line of defense!\Numerous enemy vessels are headed toward them.\We are currently under attack!\What?! That can't be!\Recharge the laser! Be quick about it! response:	Begin bombarding the enemy!
context: The mass is speeding toward the first line of defense.\It's the enemy!\Incoming report from the first line of defense!\Numerous enemy vessels are headed toward them.\We are currently under attack!\What?! That can't be!\Recharge the laser! Be quick about it!\Begin bombarding the enemy! response:	Didn't we have 25 minutes before Zero Hour?
context: It's the enemy!\Incoming report from the first line of defense!\Numerous enemy vessels are headed toward them.\We are currently under attack!\What?! That can't be!\Recharge the laser! Be quick about it!\Begin bombarding the enemy!\Didn't we have 25 minutes before Zero Hour? response:	We began preparing for battle five minutes ago!
context: Incoming report from the first line of defense!\Numerous enemy vessels are headed toward them.\We are currently under attack!\What?! That can't be!\Recharge the laser! Be quick about it!\Begin bombarding the enemy!\Didn't we have 25 minutes before Zero Hour?\We began preparing for battle five minutes ago! response:	The enemy is right in front of you!
context: Numerous enemy vessels are headed toward them.\We are currently under attack!\What?! That can't be!\Recharge the laser! Be quick about it!\Begin bombarding the enemy!\Didn't we have 25 minutes before Zero Hour?\We began preparing for battle five minutes ago!\The enemy is right in front of you! response:	Just attack the monsters!
context: We are currently under attack!\What?! That can't be!\Recharge the laser! Be quick about it!\Begin bombarding the enemy!\Didn't we have 25 minutes before Zero Hour?\We began preparing for battle five minutes ago!\The enemy is right in front of you!\Just attack the monsters! response:	We have no other choice. All vessels, begin the assault!
context: What?! That can't be!\Recharge the laser! Be quick about it!\Begin bombarding the enemy!\Didn't we have 25 minutes before Zero Hour?\We began preparing for battle five minutes ago!\The enemy is right in front of you!\Just attack the monsters!\We have no other choice. All vessels, begin the assault! response:	All vessels, begin firing at Target A.
context: Recharge the laser! Be quick about it!\Begin bombarding the enemy!\Didn't we have 25 minutes before Zero Hour?\We began preparing for battle five minutes ago!\The enemy is right in front of you!\Just attack the monsters!\We have no other choice. All vessels, begin the assault!\All vessels, begin firing at Target A. response:	Guided sublight speed missiles will accelerate in ten seconds.
context: Begin bombarding the enemy!\Didn't we have 25 minutes before Zero Hour?\We began preparing for battle five minutes ago!\The enemy is right in front of you!\Just attack the monsters!\We have no other choice. All vessels, begin the assault!\All vessels, begin firing at Target A.\Guided sublight speed missiles will accelerate in ten seconds. response:	All missiles have been destroyed!
context: Didn't we have 25 minutes before Zero Hour?\We began preparing for battle five minutes ago!\The enemy is right in front of you!\Just attack the monsters!\We have no other choice. All vessels, begin the assault!\All vessels, begin firing at Target A.\Guided sublight speed missiles will accelerate in ten seconds.\All missiles have been destroyed! response:	What?!
context: We began preparing for battle five minutes ago!\The enemy is right in front of you!\Just attack the monsters!\We have no other choice. All vessels, begin the assault!\All vessels, begin firing at Target A.\Guided sublight speed missiles will accelerate in ten seconds.\All missiles have been destroyed!\What?! response:	Normal ammo has no effect!
context: The enemy is right in front of you!\Just attack the monsters!\We have no other choice. All vessels, begin the assault!\All vessels, begin firing at Target A.\Guided sublight speed missiles will accelerate in ten seconds.\All missiles have been destroyed!\What?!\Normal ammo has no effect! response:	What about the free electron cannons?
context: Just attack the monsters!\We have no other choice. All vessels, begin the assault!\All vessels, begin firing at Target A.\Guided sublight speed missiles will accelerate in ten seconds.\All missiles have been destroyed!\What?!\Normal ammo has no effect!\What about the free electron cannons? response:	The alarm?
context: We have no other choice. All vessels, begin the assault!\All vessels, begin firing at Target A.\Guided sublight speed missiles will accelerate in ten seconds.\All missiles have been destroyed!\What?!\Normal ammo has no effect!\What about the free electron cannons?\The alarm? response:	We're starting the operation? But it's too soon!
context: All vessels, begin firing at Target A.\Guided sublight speed missiles will accelerate in ten seconds.\All missiles have been destroyed!\What?!\Normal ammo has no effect!\What about the free electron cannons?\The alarm?\We're starting the operation? But it's too soon! response:	Stupid! The enemy took us by surprise.
context: Guided sublight speed missiles will accelerate in ten seconds.\All missiles have been destroyed!\What?!\Normal ammo has no effect!\What about the free electron cannons?\The alarm?\We're starting the operation? But it's too soon!\Stupid! The enemy took us by surprise. response:	Orders to sortie?
context: All missiles have been destroyed!\What?!\Normal ammo has no effect!\What about the free electron cannons?\The alarm?\We're starting the operation? But it's too soon!\Stupid! The enemy took us by surprise.\Orders to sortie? response:	Not yet.
context: What?!\Normal ammo has no effect!\What about the free electron cannons?\The alarm?\We're starting the operation? But it's too soon!\Stupid! The enemy took us by surprise.\Orders to sortie?\Not yet. response:	We need to be ready to leave as soon as they come in.
context: Normal ammo has no effect!\What about the free electron cannons?\The alarm?\We're starting the operation? But it's too soon!\Stupid! The enemy took us by surprise.\Orders to sortie?\Not yet.\We need to be ready to leave as soon as they come in. response:	We're starting the operation early!
context: What about the free electron cannons?\The alarm?\We're starting the operation? But it's too soon!\Stupid! The enemy took us by surprise.\Orders to sortie?\Not yet.\We need to be ready to leave as soon as they come in.\We're starting the operation early! response:	All units, prepare to blast off!
context: The alarm?\We're starting the operation? But it's too soon!\Stupid! The enemy took us by surprise.\Orders to sortie?\Not yet.\We need to be ready to leave as soon as they come in.\We're starting the operation early!\All units, prepare to blast off! response:	The situation doesn't look good.
context: We're starting the operation? But it's too soon!\Stupid! The enemy took us by surprise.\Orders to sortie?\Not yet.\We need to be ready to leave as soon as they come in.\We're starting the operation early!\All units, prepare to blast off!\The situation doesn't look good. response:	The enemy has broken past the first line of defense
context: Stupid! The enemy took us by surprise.\Orders to sortie?\Not yet.\We need to be ready to leave as soon as they come in.\We're starting the operation early!\All units, prepare to blast off!\The situation doesn't look good.\The enemy has broken past the first line of defense response:	and is currently headed straight for our second line.
context: Orders to sortie?\Not yet.\We need to be ready to leave as soon as they come in.\We're starting the operation early!\All units, prepare to blast off!\The situation doesn't look good.\The enemy has broken past the first line of defense\and is currently headed straight for our second line. response:	The free electron cannons are worthless!
context: Not yet.\We need to be ready to leave as soon as they come in.\We're starting the operation early!\All units, prepare to blast off!\The situation doesn't look good.\The enemy has broken past the first line of defense\and is currently headed straight for our second line.\The free electron cannons are worthless! response:	What's that mean?
context: We need to be ready to leave as soon as they come in.\We're starting the operation early!\All units, prepare to blast off!\The situation doesn't look good.\The enemy has broken past the first line of defense\and is currently headed straight for our second line.\The free electron cannons are worthless!\What's that mean? response:	The free electron beams are curving around the enemies' magnetic fields.
context: We're starting the operation early!\All units, prepare to blast off!\The situation doesn't look good.\The enemy has broken past the first line of defense\and is currently headed straight for our second line.\The free electron cannons are worthless!\What's that mean?\The free electron beams are curving around the enemies' magnetic fields. response:	The enemy carriers are equipped with defensive magnetic fields.
context: All units, prepare to blast off!\The situation doesn't look good.\The enemy has broken past the first line of defense\and is currently headed straight for our second line.\The free electron cannons are worthless!\What's that mean?\The free electron beams are curving around the enemies' magnetic fields.\The enemy carriers are equipped with defensive magnetic fields. response:	That should make them easy to track.
context: The situation doesn't look good.\The enemy has broken past the first line of defense\and is currently headed straight for our second line.\The free electron cannons are worthless!\What's that mean?\The free electron beams are curving around the enemies' magnetic fields.\The enemy carriers are equipped with defensive magnetic fields.\That should make them easy to track. response:	The Wulgaru probably don't care if we know where they are.
context: The enemy has broken past the first line of defense\and is currently headed straight for our second line.\The free electron cannons are worthless!\What's that mean?\The free electron beams are curving around the enemies' magnetic fields.\The enemy carriers are equipped with defensive magnetic fields.\That should make them easy to track.\The Wulgaru probably don't care if we know where they are. response:	Aren't they bursting with confidence? And here we vastly outnumber them.
context: and is currently headed straight for our second line.\The free electron cannons are worthless!\What's that mean?\The free electron beams are curving around the enemies' magnetic fields.\The enemy carriers are equipped with defensive magnetic fields.\That should make them easy to track.\The Wulgaru probably don't care if we know where they are.\Aren't they bursting with confidence? And here we vastly outnumber them. response:	Considering the situation, numbers don't matter...
context: The free electron cannons are worthless!\What's that mean?\The free electron beams are curving around the enemies' magnetic fields.\The enemy carriers are equipped with defensive magnetic fields.\That should make them easy to track.\The Wulgaru probably don't care if we know where they are.\Aren't they bursting with confidence? And here we vastly outnumber them.\Considering the situation, numbers don't matter... response:	What situation?
context: What's that mean?\The free electron beams are curving around the enemies' magnetic fields.\The enemy carriers are equipped with defensive magnetic fields.\That should make them easy to track.\The Wulgaru probably don't care if we know where they are.\Aren't they bursting with confidence? And here we vastly outnumber them.\Considering the situation, numbers don't matter...\What situation? response:	How is it going?!
context: The free electron beams are curving around the enemies' magnetic fields.\The enemy carriers are equipped with defensive magnetic fields.\That should make them easy to track.\The Wulgaru probably don't care if we know where they are.\Aren't they bursting with confidence? And here we vastly outnumber them.\Considering the situation, numbers don't matter...\What situation?\How is it going?! response:	Not good!
context: The enemy carriers are equipped with defensive magnetic fields.\That should make them easy to track.\The Wulgaru probably don't care if we know where they are.\Aren't they bursting with confidence? And here we vastly outnumber them.\Considering the situation, numbers don't matter...\What situation?\How is it going?!\Not good! response:	The second line of defense's attacks have no effect!
context: That should make them easy to track.\The Wulgaru probably don't care if we know where they are.\Aren't they bursting with confidence? And here we vastly outnumber them.\Considering the situation, numbers don't matter...\What situation?\How is it going?!\Not good!\The second line of defense's attacks have no effect! response:	We have lost over 40 of the first line of defense!
context: The Wulgaru probably don't care if we know where they are.\Aren't they bursting with confidence? And here we vastly outnumber them.\Considering the situation, numbers don't matter...\What situation?\How is it going?!\Not good!\The second line of defense's attacks have no effect!\We have lost over 40 of the first line of defense! response:	Send out anyone you can!
context: Aren't they bursting with confidence? And here we vastly outnumber them.\Considering the situation, numbers don't matter...\What situation?\How is it going?!\Not good!\The second line of defense's attacks have no effect!\We have lost over 40 of the first line of defense!\Send out anyone you can! response:	Oh, yeah! Don't we have some reserves?
context: Considering the situation, numbers don't matter...\What situation?\How is it going?!\Not good!\The second line of defense's attacks have no effect!\We have lost over 40 of the first line of defense!\Send out anyone you can!\Oh, yeah! Don't we have some reserves? response:	So it's finally our turn, huh?
context: What situation?\How is it going?!\Not good!\The second line of defense's attacks have no effect!\We have lost over 40 of the first line of defense!\Send out anyone you can!\Oh, yeah! Don't we have some reserves?\So it's finally our turn, huh? response:	I was getting tired of holding your reins back.
context: How is it going?!\Not good!\The second line of defense's attacks have no effect!\We have lost over 40 of the first line of defense!\Send out anyone you can!\Oh, yeah! Don't we have some reserves?\So it's finally our turn, huh?\I was getting tired of holding your reins back. response:	No one asked ya to!
context: Not good!\The second line of defense's attacks have no effect!\We have lost over 40 of the first line of defense!\Send out anyone you can!\Oh, yeah! Don't we have some reserves?\So it's finally our turn, huh?\I was getting tired of holding your reins back.\No one asked ya to! response:	Now then, everyone, let's head out.
context: The second line of defense's attacks have no effect!\We have lost over 40 of the first line of defense!\Send out anyone you can!\Oh, yeah! Don't we have some reserves?\So it's finally our turn, huh?\I was getting tired of holding your reins back.\No one asked ya to!\Now then, everyone, let's head out. response:	Team Doberman is taking off!
context: We have lost over 40 of the first line of defense!\Send out anyone you can!\Oh, yeah! Don't we have some reserves?\So it's finally our turn, huh?\I was getting tired of holding your reins back.\No one asked ya to!\Now then, everyone, let's head out.\Team Doberman is taking off! response:	I was gonna say that!
context: Send out anyone you can!\Oh, yeah! Don't we have some reserves?\So it's finally our turn, huh?\I was getting tired of holding your reins back.\No one asked ya to!\Now then, everyone, let's head out.\Team Doberman is taking off!\I was gonna say that! response:	All units, take off!
context: Oh, yeah! Don't we have some reserves?\So it's finally our turn, huh?\I was getting tired of holding your reins back.\No one asked ya to!\Now then, everyone, let's head out.\Team Doberman is taking off!\I was gonna say that!\All units, take off! response:	Don't let the enemy near Ceres until the laser has finished recharging.
context: So it's finally our turn, huh?\I was getting tired of holding your reins back.\No one asked ya to!\Now then, everyone, let's head out.\Team Doberman is taking off!\I was gonna say that!\All units, take off!\Don't let the enemy near Ceres until the laser has finished recharging. response:	Roger!
context: I was getting tired of holding your reins back.\No one asked ya to!\Now then, everyone, let's head out.\Team Doberman is taking off!\I was gonna say that!\All units, take off!\Don't let the enemy near Ceres until the laser has finished recharging.\Roger! response:	Let's go!
context: No one asked ya to!\Now then, everyone, let's head out.\Team Doberman is taking off!\I was gonna say that!\All units, take off!\Don't let the enemy near Ceres until the laser has finished recharging.\Roger!\Let's go! response:	Asagi, slow down!
context: Now then, everyone, let's head out.\Team Doberman is taking off!\I was gonna say that!\All units, take off!\Don't let the enemy near Ceres until the laser has finished recharging.\Roger!\Let's go!\Asagi, slow down! response:	Stay in formation.
context: Team Doberman is taking off!\I was gonna say that!\All units, take off!\Don't let the enemy near Ceres until the laser has finished recharging.\Roger!\Let's go!\Asagi, slow down!\Stay in formation. response:	What's wrong with you?
context: I was gonna say that!\All units, take off!\Don't let the enemy near Ceres until the laser has finished recharging.\Roger!\Let's go!\Asagi, slow down!\Stay in formation.\What's wrong with you? response:	Wait! Wait up!
context: All units, take off!\Don't let the enemy near Ceres until the laser has finished recharging.\Roger!\Let's go!\Asagi, slow down!\Stay in formation.\What's wrong with you?\Wait! Wait up! response:	I'm counting on you.
context: Don't let the enemy near Ceres until the laser has finished recharging.\Roger!\Let's go!\Asagi, slow down!\Stay in formation.\What's wrong with you?\Wait! Wait up!\I'm counting on you. response:	<All vessels, take the Shahaa Formation.>
context: Roger!\Let's go!\Asagi, slow down!\Stay in formation.\What's wrong with you?\Wait! Wait up!\I'm counting on you.\<All vessels, take the Shahaa Formation.> response:	<Lay them to waste!>
context: Let's go!\Asagi, slow down!\Stay in formation.\What's wrong with you?\Wait! Wait up!\I'm counting on you.\<All vessels, take the Shahaa Formation.>\<Lay them to waste!> response:	The 1st and 3rd Mobile Strike Forces are down by 45.
context: Asagi, slow down!\Stay in formation.\What's wrong with you?\Wait! Wait up!\I'm counting on you.\<All vessels, take the Shahaa Formation.>\<Lay them to waste!>\The 1st and 3rd Mobile Strike Forces are down by 45. response:	The 27th and 102nd FA Squadrons have been obliterated!
context: Stay in formation.\What's wrong with you?\Wait! Wait up!\I'm counting on you.\<All vessels, take the Shahaa Formation.>\<Lay them to waste!>\The 1st and 3rd Mobile Strike Forces are down by 45.\The 27th and 102nd FA Squadrons have been obliterated! response:	The 28th and 43rd FA Squadrons are no longer fit to fight.
context: What's wrong with you?\Wait! Wait up!\I'm counting on you.\<All vessels, take the Shahaa Formation.>\<Lay them to waste!>\The 1st and 3rd Mobile Strike Forces are down by 45.\The 27th and 102nd FA Squadrons have been obliterated!\The 28th and 43rd FA Squadrons are no longer fit to fight. response:	The enemy has broken through the first line of defense!
context: Wait! Wait up!\I'm counting on you.\<All vessels, take the Shahaa Formation.>\<Lay them to waste!>\The 1st and 3rd Mobile Strike Forces are down by 45.\The 27th and 102nd FA Squadrons have been obliterated!\The 28th and 43rd FA Squadrons are no longer fit to fight.\The enemy has broken through the first line of defense! response:	The enemy will reach us in-
context: I'm counting on you.\<All vessels, take the Shahaa Formation.>\<Lay them to waste!>\The 1st and 3rd Mobile Strike Forces are down by 45.\The 27th and 102nd FA Squadrons have been obliterated!\The 28th and 43rd FA Squadrons are no longer fit to fight.\The enemy has broken through the first line of defense!\The enemy will reach us in- response:	Where'd they come from?!
context: <All vessels, take the Shahaa Formation.>\<Lay them to waste!>\The 1st and 3rd Mobile Strike Forces are down by 45.\The 27th and 102nd FA Squadrons have been obliterated!\The 28th and 43rd FA Squadrons are no longer fit to fight.\The enemy has broken through the first line of defense!\The enemy will reach us in-\Where'd they come from?! response:	They've destroyed the Wilber and Lassen!
context: <Lay them to waste!>\The 1st and 3rd Mobile Strike Forces are down by 45.\The 27th and 102nd FA Squadrons have been obliterated!\The 28th and 43rd FA Squadrons are no longer fit to fight.\The enemy has broken through the first line of defense!\The enemy will reach us in-\Where'd they come from?!\They've destroyed the Wilber and Lassen! response:	Anzio has been hit!
context: The 1st and 3rd Mobile Strike Forces are down by 45.\The 27th and 102nd FA Squadrons have been obliterated!\The 28th and 43rd FA Squadrons are no longer fit to fight.\The enemy has broken through the first line of defense!\The enemy will reach us in-\Where'd they come from?!\They've destroyed the Wilber and Lassen!\Anzio has been hit! response:	We're no longer receiving its distress signal!
context: The 27th and 102nd FA Squadrons have been obliterated!\The 28th and 43rd FA Squadrons are no longer fit to fight.\The enemy has broken through the first line of defense!\The enemy will reach us in-\Where'd they come from?!\They've destroyed the Wilber and Lassen!\Anzio has been hit!\We're no longer receiving its distress signal! response:	Hurry and attack the enemy!
context: The 28th and 43rd FA Squadrons are no longer fit to fight.\The enemy has broken through the first line of defense!\The enemy will reach us in-\Where'd they come from?!\They've destroyed the Wilber and Lassen!\Anzio has been hit!\We're no longer receiving its distress signal!\Hurry and attack the enemy! response:	When engaging the enemy, set your guns on full auto and attack anything!
context: The enemy has broken through the first line of defense!\The enemy will reach us in-\Where'd they come from?!\They've destroyed the Wilber and Lassen!\Anzio has been hit!\We're no longer receiving its distress signal!\Hurry and attack the enemy!\When engaging the enemy, set your guns on full auto and attack anything! response:	I repeat: Set your guns to full auto and attack anything!
context: The enemy will reach us in-\Where'd they come from?!\They've destroyed the Wilber and Lassen!\Anzio has been hit!\We're no longer receiving its distress signal!\Hurry and attack the enemy!\When engaging the enemy, set your guns on full auto and attack anything!\I repeat: Set your guns to full auto and attack anything! response:	Annihilate all of our foes!
context: Where'd they come from?!\They've destroyed the Wilber and Lassen!\Anzio has been hit!\We're no longer receiving its distress signal!\Hurry and attack the enemy!\When engaging the enemy, set your guns on full auto and attack anything!\I repeat: Set your guns to full auto and attack anything!\Annihilate all of our foes! response:	Damn it!
context: They've destroyed the Wilber and Lassen!\Anzio has been hit!\We're no longer receiving its distress signal!\Hurry and attack the enemy!\When engaging the enemy, set your guns on full auto and attack anything!\I repeat: Set your guns to full auto and attack anything!\Annihilate all of our foes!\Damn it! response:	What in the-?!
context: Anzio has been hit!\We're no longer receiving its distress signal!\Hurry and attack the enemy!\When engaging the enemy, set your guns on full auto and attack anything!\I repeat: Set your guns to full auto and attack anything!\Annihilate all of our foes!\Damn it!\What in the-?! response:	Tally ho!
context: We're no longer receiving its distress signal!\Hurry and attack the enemy!\When engaging the enemy, set your guns on full auto and attack anything!\I repeat: Set your guns to full auto and attack anything!\Annihilate all of our foes!\Damn it!\What in the-?!\Tally ho! response:	The cavalry has arrived!
context: Hurry and attack the enemy!\When engaging the enemy, set your guns on full auto and attack anything!\I repeat: Set your guns to full auto and attack anything!\Annihilate all of our foes!\Damn it!\What in the-?!\Tally ho!\The cavalry has arrived! response:	If it weren't for you, we would have gotten here quicker!
context: When engaging the enemy, set your guns on full auto and attack anything!\I repeat: Set your guns to full auto and attack anything!\Annihilate all of our foes!\Damn it!\What in the-?!\Tally ho!\The cavalry has arrived!\If it weren't for you, we would have gotten here quicker! response:	You're blaming me?!
context: I repeat: Set your guns to full auto and attack anything!\Annihilate all of our foes!\Damn it!\What in the-?!\Tally ho!\The cavalry has arrived!\If it weren't for you, we would have gotten here quicker!\You're blaming me?! response:	This is Team Doberman. We are here to offer our support.
