context: Please... response:	Please become... our Goddess of Wisdom.
context: Oh, I'm so sorry!\In that case, as the one who saved your life,\all I ask is that you remember me for life.\Isn't that going a bit overboard?\Actually... I guess it is possible to die that way.\Okay, I'll remember you.\He reminds me of a goat.\Goats are skinny, spacey, and spend their whole lives response:	obliviously munching on grass, day in and day out.
context: In that case, as the one who saved your life,\all I ask is that you remember me for life.\Isn't that going a bit overboard?\Actually... I guess it is possible to die that way.\Okay, I'll remember you.\He reminds me of a goat.\Goats are skinny, spacey, and spend their whole lives\obliviously munching on grass, day in and day out. response:	But you can feel a bizarre sort of vitality in them.
context: all I ask is that you remember me for life.\Isn't that going a bit overboard?\Actually... I guess it is possible to die that way.\Okay, I'll remember you.\He reminds me of a goat.\Goats are skinny, spacey, and spend their whole lives\obliviously munching on grass, day in and day out.\But you can feel a bizarre sort of vitality in them. response:	Yes, one must never underestimate a goat.
context: Isn't that going a bit overboard?\Actually... I guess it is possible to die that way.\Okay, I'll remember you.\He reminds me of a goat.\Goats are skinny, spacey, and spend their whole lives\obliviously munching on grass, day in and day out.\But you can feel a bizarre sort of vitality in them.\Yes, one must never underestimate a goat. response:	It is an extremely agile creature
context: Actually... I guess it is possible to die that way.\Okay, I'll remember you.\He reminds me of a goat.\Goats are skinny, spacey, and spend their whole lives\obliviously munching on grass, day in and day out.\But you can feel a bizarre sort of vitality in them.\Yes, one must never underestimate a goat.\It is an extremely agile creature response:	that has no problems living in highlands or even wastelands.
context: Okay, I'll remember you.\He reminds me of a goat.\Goats are skinny, spacey, and spend their whole lives\obliviously munching on grass, day in and day out.\But you can feel a bizarre sort of vitality in them.\Yes, one must never underestimate a goat.\It is an extremely agile creature\that has no problems living in highlands or even wastelands. response:	And depending on the breed, it may also have two powerful horns.
context: He reminds me of a goat.\Goats are skinny, spacey, and spend their whole lives\obliviously munching on grass, day in and day out.\But you can feel a bizarre sort of vitality in them.\Yes, one must never underestimate a goat.\It is an extremely agile creature\that has no problems living in highlands or even wastelands.\And depending on the breed, it may also have two powerful horns. response:	They're almost like demon horns.
context: Goats are skinny, spacey, and spend their whole lives\obliviously munching on grass, day in and day out.\But you can feel a bizarre sort of vitality in them.\Yes, one must never underestimate a goat.\It is an extremely agile creature\that has no problems living in highlands or even wastelands.\And depending on the breed, it may also have two powerful horns.\They're almost like demon horns. response:	Horns of undeniable sharpness...
context: obliviously munching on grass, day in and day out.\But you can feel a bizarre sort of vitality in them.\Yes, one must never underestimate a goat.\It is an extremely agile creature\that has no problems living in highlands or even wastelands.\And depending on the breed, it may also have two powerful horns.\They're almost like demon horns.\Horns of undeniable sharpness... response:	Is this...
context: But you can feel a bizarre sort of vitality in them.\Yes, one must never underestimate a goat.\It is an extremely agile creature\that has no problems living in highlands or even wastelands.\And depending on the breed, it may also have two powerful horns.\They're almost like demon horns.\Horns of undeniable sharpness...\Is this... response:	Is this what they mean by love at first sight?!
context: Yes, one must never underestimate a goat.\It is an extremely agile creature\that has no problems living in highlands or even wastelands.\And depending on the breed, it may also have two powerful horns.\They're almost like demon horns.\Horns of undeniable sharpness...\Is this...\Is this what they mean by love at first sight?! response:	Oh, you're the girl from back then.
context: It is an extremely agile creature\that has no problems living in highlands or even wastelands.\And depending on the breed, it may also have two powerful horns.\They're almost like demon horns.\Horns of undeniable sharpness...\Is this...\Is this what they mean by love at first sight?!\Oh, you're the girl from back then. response:	That girl wasn't wearing a beret, though...
context: that has no problems living in highlands or even wastelands.\And depending on the breed, it may also have two powerful horns.\They're almost like demon horns.\Horns of undeniable sharpness...\Is this...\Is this what they mean by love at first sight?!\Oh, you're the girl from back then.\That girl wasn't wearing a beret, though... response:	Can you only tell girls apart by their hats?
context: And depending on the breed, it may also have two powerful horns.\They're almost like demon horns.\Horns of undeniable sharpness...\Is this...\Is this what they mean by love at first sight?!\Oh, you're the girl from back then.\That girl wasn't wearing a beret, though...\Can you only tell girls apart by their hats? response:	Sorry. I'm not very good at remembering girls' faces.
context: They're almost like demon horns.\Horns of undeniable sharpness...\Is this...\Is this what they mean by love at first sight?!\Oh, you're the girl from back then.\That girl wasn't wearing a beret, though...\Can you only tell girls apart by their hats?\Sorry. I'm not very good at remembering girls' faces. response:	And if I remember them too well, it makes Saki-san grumpy.
context: Horns of undeniable sharpness...\Is this...\Is this what they mean by love at first sight?!\Oh, you're the girl from back then.\That girl wasn't wearing a beret, though...\Can you only tell girls apart by their hats?\Sorry. I'm not very good at remembering girls' faces.\And if I remember them too well, it makes Saki-san grumpy. response:	In that case, please try to remember it again.
context: Is this...\Is this what they mean by love at first sight?!\Oh, you're the girl from back then.\That girl wasn't wearing a beret, though...\Can you only tell girls apart by their hats?\Sorry. I'm not very good at remembering girls' faces.\And if I remember them too well, it makes Saki-san grumpy.\In that case, please try to remember it again. response:	My name is Iwanaga Kotoko.
context: Is this what they mean by love at first sight?!\Oh, you're the girl from back then.\That girl wasn't wearing a beret, though...\Can you only tell girls apart by their hats?\Sorry. I'm not very good at remembering girls' faces.\And if I remember them too well, it makes Saki-san grumpy.\In that case, please try to remember it again.\My name is Iwanaga Kotoko. response:	That's written with the characters for rock and eternity,
context: Oh, you're the girl from back then.\That girl wasn't wearing a beret, though...\Can you only tell girls apart by their hats?\Sorry. I'm not very good at remembering girls' faces.\And if I remember them too well, it makes Saki-san grumpy.\In that case, please try to remember it again.\My name is Iwanaga Kotoko.\That's written with the characters for rock and eternity, response:	then koto, as in the musical instrument, and child.
context: That girl wasn't wearing a beret, though...\Can you only tell girls apart by their hats?\Sorry. I'm not very good at remembering girls' faces.\And if I remember them too well, it makes Saki-san grumpy.\In that case, please try to remember it again.\My name is Iwanaga Kotoko.\That's written with the characters for rock and eternity,\then koto, as in the musical instrument, and child. response:	I'm now seventeen, and I'm quite lively.
context: Can you only tell girls apart by their hats?\Sorry. I'm not very good at remembering girls' faces.\And if I remember them too well, it makes Saki-san grumpy.\In that case, please try to remember it again.\My name is Iwanaga Kotoko.\That's written with the characters for rock and eternity,\then koto, as in the musical instrument, and child.\I'm now seventeen, and I'm quite lively. response:	Got it. I won't forget this time.
context: Sorry. I'm not very good at remembering girls' faces.\And if I remember them too well, it makes Saki-san grumpy.\In that case, please try to remember it again.\My name is Iwanaga Kotoko.\That's written with the characters for rock and eternity,\then koto, as in the musical instrument, and child.\I'm now seventeen, and I'm quite lively.\Got it. I won't forget this time. response:	I'm sure... considering I heard that you and Saki-san broke up.
context: And if I remember them too well, it makes Saki-san grumpy.\In that case, please try to remember it again.\My name is Iwanaga Kotoko.\That's written with the characters for rock and eternity,\then koto, as in the musical instrument, and child.\I'm now seventeen, and I'm quite lively.\Got it. I won't forget this time.\I'm sure... considering I heard that you and Saki-san broke up. response:	How did you know that?
context: In that case, please try to remember it again.\My name is Iwanaga Kotoko.\That's written with the characters for rock and eternity,\then koto, as in the musical instrument, and child.\I'm now seventeen, and I'm quite lively.\Got it. I won't forget this time.\I'm sure... considering I heard that you and Saki-san broke up.\How did you know that? response:	What are you doing, Kuro-kun?
context: My name is Iwanaga Kotoko.\That's written with the characters for rock and eternity,\then koto, as in the musical instrument, and child.\I'm now seventeen, and I'm quite lively.\Got it. I won't forget this time.\I'm sure... considering I heard that you and Saki-san broke up.\How did you know that?\What are you doing, Kuro-kun? response:	Saki-san.
context: That's written with the characters for rock and eternity,\then koto, as in the musical instrument, and child.\I'm now seventeen, and I'm quite lively.\Got it. I won't forget this time.\I'm sure... considering I heard that you and Saki-san broke up.\How did you know that?\What are you doing, Kuro-kun?\Saki-san. response:	Uh, she sort of saved my life.
context: then koto, as in the musical instrument, and child.\I'm now seventeen, and I'm quite lively.\Got it. I won't forget this time.\I'm sure... considering I heard that you and Saki-san broke up.\How did you know that?\What are you doing, Kuro-kun?\Saki-san.\Uh, she sort of saved my life. response:	So I saw.
context: I'm now seventeen, and I'm quite lively.\Got it. I won't forget this time.\I'm sure... considering I heard that you and Saki-san broke up.\How did you know that?\What are you doing, Kuro-kun?\Saki-san.\Uh, she sort of saved my life.\So I saw. response:	I'm sorry for the trouble he caused.
context: Got it. I won't forget this time.\I'm sure... considering I heard that you and Saki-san broke up.\How did you know that?\What are you doing, Kuro-kun?\Saki-san.\Uh, she sort of saved my life.\So I saw.\I'm sorry for the trouble he caused. response:	And thank you.
context: I'm sure... considering I heard that you and Saki-san broke up.\How did you know that?\What are you doing, Kuro-kun?\Saki-san.\Uh, she sort of saved my life.\So I saw.\I'm sorry for the trouble he caused.\And thank you. response:	Why are you the one apologizing?
context: How did you know that?\What are you doing, Kuro-kun?\Saki-san.\Uh, she sort of saved my life.\So I saw.\I'm sorry for the trouble he caused.\And thank you.\Why are you the one apologizing? response:	Is she his older sister? Or another relative?
context: What are you doing, Kuro-kun?\Saki-san.\Uh, she sort of saved my life.\So I saw.\I'm sorry for the trouble he caused.\And thank you.\Why are you the one apologizing?\Is she his older sister? Or another relative? response:	Actually, she could be his younger sister...
context: Saki-san.\Uh, she sort of saved my life.\So I saw.\I'm sorry for the trouble he caused.\And thank you.\Why are you the one apologizing?\Is she his older sister? Or another relative?\Actually, she could be his younger sister... response:	His name is Sakuragawa Kuro-kun.
context: Uh, she sort of saved my life.\So I saw.\I'm sorry for the trouble he caused.\And thank you.\Why are you the one apologizing?\Is she his older sister? Or another relative?\Actually, she could be his younger sister...\His name is Sakuragawa Kuro-kun. response:	He's a second-year at Homei University, and he's studying law.
context: So I saw.\I'm sorry for the trouble he caused.\And thank you.\Why are you the one apologizing?\Is she his older sister? Or another relative?\Actually, she could be his younger sister...\His name is Sakuragawa Kuro-kun.\He's a second-year at Homei University, and he's studying law. response:	He comes here often to visit his cousin, who's a long-term patient.
context: I'm sorry for the trouble he caused.\And thank you.\Why are you the one apologizing?\Is she his older sister? Or another relative?\Actually, she could be his younger sister...\His name is Sakuragawa Kuro-kun.\He's a second-year at Homei University, and he's studying law.\He comes here often to visit his cousin, who's a long-term patient. response:	Is this cousin of his a somewhat tall woman?
context: And thank you.\Why are you the one apologizing?\Is she his older sister? Or another relative?\Actually, she could be his younger sister...\His name is Sakuragawa Kuro-kun.\He's a second-year at Homei University, and he's studying law.\He comes here often to visit his cousin, who's a long-term patient.\Is this cousin of his a somewhat tall woman? response:	Oh, that's not his cousin.
context: Why are you the one apologizing?\Is she his older sister? Or another relative?\Actually, she could be his younger sister...\His name is Sakuragawa Kuro-kun.\He's a second-year at Homei University, and he's studying law.\He comes here often to visit his cousin, who's a long-term patient.\Is this cousin of his a somewhat tall woman?\Oh, that's not his cousin. response:	Her name is Saki-san. She's a year older than him and his girlfriend.
context: Is she his older sister? Or another relative?\Actually, she could be his younger sister...\His name is Sakuragawa Kuro-kun.\He's a second-year at Homei University, and he's studying law.\He comes here often to visit his cousin, who's a long-term patient.\Is this cousin of his a somewhat tall woman?\Oh, that's not his cousin.\Her name is Saki-san. She's a year older than him and his girlfriend. response:	They've been dating since they were in high school.
context: Actually, she could be his younger sister...\His name is Sakuragawa Kuro-kun.\He's a second-year at Homei University, and he's studying law.\He comes here often to visit his cousin, who's a long-term patient.\Is this cousin of his a somewhat tall woman?\Oh, that's not his cousin.\Her name is Saki-san. She's a year older than him and his girlfriend.\They've been dating since they were in high school. response:	Kuro-kun even decided to go to the same university she was attending.
context: His name is Sakuragawa Kuro-kun.\He's a second-year at Homei University, and he's studying law.\He comes here often to visit his cousin, who's a long-term patient.\Is this cousin of his a somewhat tall woman?\Oh, that's not his cousin.\Her name is Saki-san. She's a year older than him and his girlfriend.\They've been dating since they were in high school.\Kuro-kun even decided to go to the same university she was attending. response:	And then, two years after our first encounter...
context: He's a second-year at Homei University, and he's studying law.\He comes here often to visit his cousin, who's a long-term patient.\Is this cousin of his a somewhat tall woman?\Oh, that's not his cousin.\Her name is Saki-san. She's a year older than him and his girlfriend.\They've been dating since they were in high school.\Kuro-kun even decided to go to the same university she was attending.\And then, two years after our first encounter... response:	Apparently Kuro-kun and Saki-san are getting married after they graduate.
context: He comes here often to visit his cousin, who's a long-term patient.\Is this cousin of his a somewhat tall woman?\Oh, that's not his cousin.\Her name is Saki-san. She's a year older than him and his girlfriend.\They've been dating since they were in high school.\Kuro-kun even decided to go to the same university she was attending.\And then, two years after our first encounter...\Apparently Kuro-kun and Saki-san are getting married after they graduate. response:	I heard they just met each other's parents recently.
context: Is this cousin of his a somewhat tall woman?\Oh, that's not his cousin.\Her name is Saki-san. She's a year older than him and his girlfriend.\They've been dating since they were in high school.\Kuro-kun even decided to go to the same university she was attending.\And then, two years after our first encounter...\Apparently Kuro-kun and Saki-san are getting married after they graduate.\I heard they just met each other's parents recently. response:	They're going to get married any day now.
context: Oh, that's not his cousin.\Her name is Saki-san. She's a year older than him and his girlfriend.\They've been dating since they were in high school.\Kuro-kun even decided to go to the same university she was attending.\And then, two years after our first encounter...\Apparently Kuro-kun and Saki-san are getting married after they graduate.\I heard they just met each other's parents recently.\They're going to get married any day now. response:	He's alone today?
context: Her name is Saki-san. She's a year older than him and his girlfriend.\They've been dating since they were in high school.\Kuro-kun even decided to go to the same university she was attending.\And then, two years after our first encounter...\Apparently Kuro-kun and Saki-san are getting married after they graduate.\I heard they just met each other's parents recently.\They're going to get married any day now.\He's alone today? response:	Did Kuro-san and his girlfriend break up?
context: They've been dating since they were in high school.\Kuro-kun even decided to go to the same university she was attending.\And then, two years after our first encounter...\Apparently Kuro-kun and Saki-san are getting married after they graduate.\I heard they just met each other's parents recently.\They're going to get married any day now.\He's alone today?\Did Kuro-san and his girlfriend break up? response:	What? No way.
context: Kuro-kun even decided to go to the same university she was attending.\And then, two years after our first encounter...\Apparently Kuro-kun and Saki-san are getting married after they graduate.\I heard they just met each other's parents recently.\They're going to get married any day now.\He's alone today?\Did Kuro-san and his girlfriend break up?\What? No way. response:	Come to think of it, he stopped talking about his girlfriend around February.
context: And then, two years after our first encounter...\Apparently Kuro-kun and Saki-san are getting married after they graduate.\I heard they just met each other's parents recently.\They're going to get married any day now.\He's alone today?\Did Kuro-san and his girlfriend break up?\What? No way.\Come to think of it, he stopped talking about his girlfriend around February. response:	Actually... He hasn't really talked to anyone.
context: Apparently Kuro-kun and Saki-san are getting married after they graduate.\I heard they just met each other's parents recently.\They're going to get married any day now.\He's alone today?\Did Kuro-san and his girlfriend break up?\What? No way.\Come to think of it, he stopped talking about his girlfriend around February.\Actually... He hasn't really talked to anyone. response:	What is this hospital's policy on handling personal information, anyway?
context: I heard they just met each other's parents recently.\They're going to get married any day now.\He's alone today?\Did Kuro-san and his girlfriend break up?\What? No way.\Come to think of it, he stopped talking about his girlfriend around February.\Actually... He hasn't really talked to anyone.\What is this hospital's policy on handling personal information, anyway? response:	They said they had no obligation to protect
context: They're going to get married any day now.\He's alone today?\Did Kuro-san and his girlfriend break up?\What? No way.\Come to think of it, he stopped talking about his girlfriend around February.\Actually... He hasn't really talked to anyone.\What is this hospital's policy on handling personal information, anyway?\They said they had no obligation to protect response:	a visitor's personal information.
context: He's alone today?\Did Kuro-san and his girlfriend break up?\What? No way.\Come to think of it, he stopped talking about his girlfriend around February.\Actually... He hasn't really talked to anyone.\What is this hospital's policy on handling personal information, anyway?\They said they had no obligation to protect\a visitor's personal information. response:	Is that how it works?
context: Did Kuro-san and his girlfriend break up?\What? No way.\Come to think of it, he stopped talking about his girlfriend around February.\Actually... He hasn't really talked to anyone.\What is this hospital's policy on handling personal information, anyway?\They said they had no obligation to protect\a visitor's personal information.\Is that how it works? response:	It is rather shady.
context: What? No way.\Come to think of it, he stopped talking about his girlfriend around February.\Actually... He hasn't really talked to anyone.\What is this hospital's policy on handling personal information, anyway?\They said they had no obligation to protect\a visitor's personal information.\Is that how it works?\It is rather shady. response:	They never did tell me
context: Come to think of it, he stopped talking about his girlfriend around February.\Actually... He hasn't really talked to anyone.\What is this hospital's policy on handling personal information, anyway?\They said they had no obligation to protect\a visitor's personal information.\Is that how it works?\It is rather shady.\They never did tell me response:	who your cousin is or why they're in the hospital, though.
context: Actually... He hasn't really talked to anyone.\What is this hospital's policy on handling personal information, anyway?\They said they had no obligation to protect\a visitor's personal information.\Is that how it works?\It is rather shady.\They never did tell me\who your cousin is or why they're in the hospital, though. response:	You're better off not knowing.
context: What is this hospital's policy on handling personal information, anyway?\They said they had no obligation to protect\a visitor's personal information.\Is that how it works?\It is rather shady.\They never did tell me\who your cousin is or why they're in the hospital, though.\You're better off not knowing. response:	The reasons people are hospitalized long-term aren't usually that amusing.
context: They said they had no obligation to protect\a visitor's personal information.\Is that how it works?\It is rather shady.\They never did tell me\who your cousin is or why they're in the hospital, though.\You're better off not knowing.\The reasons people are hospitalized long-term aren't usually that amusing. response:	So...
context: a visitor's personal information.\Is that how it works?\It is rather shady.\They never did tell me\who your cousin is or why they're in the hospital, though.\You're better off not knowing.\The reasons people are hospitalized long-term aren't usually that amusing.\So... response:	In regard to you and Saki-san breaking up right before spring...
context: Is that how it works?\It is rather shady.\They never did tell me\who your cousin is or why they're in the hospital, though.\You're better off not knowing.\The reasons people are hospitalized long-term aren't usually that amusing.\So...\In regard to you and Saki-san breaking up right before spring... response:	They really don't care about my privacy, do they?
context: It is rather shady.\They never did tell me\who your cousin is or why they're in the hospital, though.\You're better off not knowing.\The reasons people are hospitalized long-term aren't usually that amusing.\So...\In regard to you and Saki-san breaking up right before spring...\They really don't care about my privacy, do they? response:	Regardless, you're single now.
context: They never did tell me\who your cousin is or why they're in the hospital, though.\You're better off not knowing.\The reasons people are hospitalized long-term aren't usually that amusing.\So...\In regard to you and Saki-san breaking up right before spring...\They really don't care about my privacy, do they?\Regardless, you're single now. response:	Have you given any thought to starting fresh by meeting someone new?
context: who your cousin is or why they're in the hospital, though.\You're better off not knowing.\The reasons people are hospitalized long-term aren't usually that amusing.\So...\In regard to you and Saki-san breaking up right before spring...\They really don't care about my privacy, do they?\Regardless, you're single now.\Have you given any thought to starting fresh by meeting someone new? response:	Could you get to the point?
context: You're better off not knowing.\The reasons people are hospitalized long-term aren't usually that amusing.\So...\In regard to you and Saki-san breaking up right before spring...\They really don't care about my privacy, do they?\Regardless, you're single now.\Have you given any thought to starting fresh by meeting someone new?\Could you get to the point? response:	Would you consider dating me with marriage in mind?
context: The reasons people are hospitalized long-term aren't usually that amusing.\So...\In regard to you and Saki-san breaking up right before spring...\They really don't care about my privacy, do they?\Regardless, you're single now.\Have you given any thought to starting fresh by meeting someone new?\Could you get to the point?\Would you consider dating me with marriage in mind? response:	I've held this one-sided love for two years,
context: So...\In regard to you and Saki-san breaking up right before spring...\They really don't care about my privacy, do they?\Regardless, you're single now.\Have you given any thought to starting fresh by meeting someone new?\Could you get to the point?\Would you consider dating me with marriage in mind?\I've held this one-sided love for two years, response:	just waiting for this moment!
context: In regard to you and Saki-san breaking up right before spring...\They really don't care about my privacy, do they?\Regardless, you're single now.\Have you given any thought to starting fresh by meeting someone new?\Could you get to the point?\Would you consider dating me with marriage in mind?\I've held this one-sided love for two years,\just waiting for this moment! response:	You're surprisingly direct, despite how you look.
context: They really don't care about my privacy, do they?\Regardless, you're single now.\Have you given any thought to starting fresh by meeting someone new?\Could you get to the point?\Would you consider dating me with marriage in mind?\I've held this one-sided love for two years,\just waiting for this moment!\You're surprisingly direct, despite how you look. response:	And pretty persistent, too, if you waited two years...
context: Regardless, you're single now.\Have you given any thought to starting fresh by meeting someone new?\Could you get to the point?\Would you consider dating me with marriage in mind?\I've held this one-sided love for two years,\just waiting for this moment!\You're surprisingly direct, despite how you look.\And pretty persistent, too, if you waited two years... response:	You can always wait for fate.
context: Have you given any thought to starting fresh by meeting someone new?\Could you get to the point?\Would you consider dating me with marriage in mind?\I've held this one-sided love for two years,\just waiting for this moment!\You're surprisingly direct, despite how you look.\And pretty persistent, too, if you waited two years...\You can always wait for fate. response:	I don't think I can legally go out with a middle schooler, though...
context: Could you get to the point?\Would you consider dating me with marriage in mind?\I've held this one-sided love for two years,\just waiting for this moment!\You're surprisingly direct, despite how you look.\And pretty persistent, too, if you waited two years...\You can always wait for fate.\I don't think I can legally go out with a middle schooler, though... response:	I told you! I'm seventeen and in high school!
context: Would you consider dating me with marriage in mind?\I've held this one-sided love for two years,\just waiting for this moment!\You're surprisingly direct, despite how you look.\And pretty persistent, too, if you waited two years...\You can always wait for fate.\I don't think I can legally go out with a middle schooler, though...\I told you! I'm seventeen and in high school! response:	I plan on applying to your university next year!
context: I've held this one-sided love for two years,\just waiting for this moment!\You're surprisingly direct, despite how you look.\And pretty persistent, too, if you waited two years...\You can always wait for fate.\I don't think I can legally go out with a middle schooler, though...\I told you! I'm seventeen and in high school!\I plan on applying to your university next year! response:	Do you have the memory of a chicken?!
context: just waiting for this moment!\You're surprisingly direct, despite how you look.\And pretty persistent, too, if you waited two years...\You can always wait for fate.\I don't think I can legally go out with a middle schooler, though...\I told you! I'm seventeen and in high school!\I plan on applying to your university next year!\Do you have the memory of a chicken?! response:	Was it that funny?
context: You're surprisingly direct, despite how you look.\And pretty persistent, too, if you waited two years...\You can always wait for fate.\I don't think I can legally go out with a middle schooler, though...\I told you! I'm seventeen and in high school!\I plan on applying to your university next year!\Do you have the memory of a chicken?!\Was it that funny? response:	Nah, it just made me feel weirdly happy.
context: And pretty persistent, too, if you waited two years...\You can always wait for fate.\I don't think I can legally go out with a middle schooler, though...\I told you! I'm seventeen and in high school!\I plan on applying to your university next year!\Do you have the memory of a chicken?!\Was it that funny?\Nah, it just made me feel weirdly happy. response:	A high school girl just asked me out. I guess I'm not a total lost cause.
context: You can always wait for fate.\I don't think I can legally go out with a middle schooler, though...\I told you! I'm seventeen and in high school!\I plan on applying to your university next year!\Do you have the memory of a chicken?!\Was it that funny?\Nah, it just made me feel weirdly happy.\A high school girl just asked me out. I guess I'm not a total lost cause. response:	I haven't felt this great in a while.
context: I don't think I can legally go out with a middle schooler, though...\I told you! I'm seventeen and in high school!\I plan on applying to your university next year!\Do you have the memory of a chicken?!\Was it that funny?\Nah, it just made me feel weirdly happy.\A high school girl just asked me out. I guess I'm not a total lost cause.\I haven't felt this great in a while. response:	So, did Saki-san dump you?
context: I told you! I'm seventeen and in high school!\I plan on applying to your university next year!\Do you have the memory of a chicken?!\Was it that funny?\Nah, it just made me feel weirdly happy.\A high school girl just asked me out. I guess I'm not a total lost cause.\I haven't felt this great in a while.\So, did Saki-san dump you? response:	It wasn't Saki-san's fault.
context: I plan on applying to your university next year!\Do you have the memory of a chicken?!\Was it that funny?\Nah, it just made me feel weirdly happy.\A high school girl just asked me out. I guess I'm not a total lost cause.\I haven't felt this great in a while.\So, did Saki-san dump you?\It wasn't Saki-san's fault. response:	There was no way around it.
context: Do you have the memory of a chicken?!\Was it that funny?\Nah, it just made me feel weirdly happy.\A high school girl just asked me out. I guess I'm not a total lost cause.\I haven't felt this great in a while.\So, did Saki-san dump you?\It wasn't Saki-san's fault.\There was no way around it. response:	So... I don't think I can go out with anyone new for a while.
context: Was it that funny?\Nah, it just made me feel weirdly happy.\A high school girl just asked me out. I guess I'm not a total lost cause.\I haven't felt this great in a while.\So, did Saki-san dump you?\It wasn't Saki-san's fault.\There was no way around it.\So... I don't think I can go out with anyone new for a while. response:	So what was it, exactly, that caused
context: Nah, it just made me feel weirdly happy.\A high school girl just asked me out. I guess I'm not a total lost cause.\I haven't felt this great in a while.\So, did Saki-san dump you?\It wasn't Saki-san's fault.\There was no way around it.\So... I don't think I can go out with anyone new for a while.\So what was it, exactly, that caused response:	such a pathetic fall that ended in a break-up?
context: A high school girl just asked me out. I guess I'm not a total lost cause.\I haven't felt this great in a while.\So, did Saki-san dump you?\It wasn't Saki-san's fault.\There was no way around it.\So... I don't think I can go out with anyone new for a while.\So what was it, exactly, that caused\such a pathetic fall that ended in a break-up? response:	At the end of last year, Saki-san and I went on a trip to Kyoto.
