context: Oh? response:	This is a really beautiful array of code.
context: Why are you staring at the code I wrote?\Is there something wrong with it?\No, the opposite.\I was impressed by Hmm?\What did you just say?\I wrote it.\I can grow, too.\I just assumed you'd be stuck serving tea forever. response:	You're the one who gave me all those books and told me to study!
context: Is there something wrong with it?\No, the opposite.\I was impressed by Hmm?\What did you just say?\I wrote it.\I can grow, too.\I just assumed you'd be stuck serving tea forever.\You're the one who gave me all those books and told me to study! response:	I guess you do have high specs, since you're a dragon.
context: No, the opposite.\I was impressed by Hmm?\What did you just say?\I wrote it.\I can grow, too.\I just assumed you'd be stuck serving tea forever.\You're the one who gave me all those books and told me to study!\I guess you do have high specs, since you're a dragon. response:	This is amazing, Elma!
context: I was impressed by Hmm?\What did you just say?\I wrote it.\I can grow, too.\I just assumed you'd be stuck serving tea forever.\You're the one who gave me all those books and told me to study!\I guess you do have high specs, since you're a dragon.\This is amazing, Elma! response:	Hmm? What?
context: What did you just say?\I wrote it.\I can grow, too.\I just assumed you'd be stuck serving tea forever.\You're the one who gave me all those books and told me to study!\I guess you do have high specs, since you're a dragon.\This is amazing, Elma!\Hmm? What? response:	Are you praising me?
context: I wrote it.\I can grow, too.\I just assumed you'd be stuck serving tea forever.\You're the one who gave me all those books and told me to study!\I guess you do have high specs, since you're a dragon.\This is amazing, Elma!\Hmm? What?\Are you praising me? response:	I am!
context: I can grow, too.\I just assumed you'd be stuck serving tea forever.\You're the one who gave me all those books and told me to study!\I guess you do have high specs, since you're a dragon.\This is amazing, Elma!\Hmm? What?\Are you praising me?\I am! response:	This means we have another fighting member on our team!
context: I just assumed you'd be stuck serving tea forever.\You're the one who gave me all those books and told me to study!\I guess you do have high specs, since you're a dragon.\This is amazing, Elma!\Hmm? What?\Are you praising me?\I am!\This means we have another fighting member on our team! response:	You did well, Elma!
context: You're the one who gave me all those books and told me to study!\I guess you do have high specs, since you're a dragon.\This is amazing, Elma!\Hmm? What?\Are you praising me?\I am!\This means we have another fighting member on our team!\You did well, Elma! response:	Well, just leave it to me!
context: I guess you do have high specs, since you're a dragon.\This is amazing, Elma!\Hmm? What?\Are you praising me?\I am!\This means we have another fighting member on our team!\You did well, Elma!\Well, just leave it to me! response:	Could you start by handling this, then?
context: This is amazing, Elma!\Hmm? What?\Are you praising me?\I am!\This means we have another fighting member on our team!\You did well, Elma!\Well, just leave it to me!\Could you start by handling this, then? response:	Fwd: Please Review
context: Hmm? What?\Are you praising me?\I am!\This means we have another fighting member on our team!\You did well, Elma!\Well, just leave it to me!\Could you start by handling this, then?\Fwd: Please Review response:	Fwd: Please Provide Test Code
context: Are you praising me?\I am!\This means we have another fighting member on our team!\You did well, Elma!\Well, just leave it to me!\Could you start by handling this, then?\Fwd: Please Review\Fwd: Please Provide Test Code response:	Fwd: Urgent
context: I am!\This means we have another fighting member on our team!\You did well, Elma!\Well, just leave it to me!\Could you start by handling this, then?\Fwd: Please Review\Fwd: Please Provide Test Code\Fwd: Urgent response:	Fwd: Changes to the UI System
context: This means we have another fighting member on our team!\You did well, Elma!\Well, just leave it to me!\Could you start by handling this, then?\Fwd: Please Review\Fwd: Please Provide Test Code\Fwd: Urgent\Fwd: Changes to the UI System response:	Sure.
context: You did well, Elma!\Well, just leave it to me!\Could you start by handling this, then?\Fwd: Please Review\Fwd: Please Provide Test Code\Fwd: Urgent\Fwd: Changes to the UI System\Sure. response:	And this!
context: Well, just leave it to me!\Could you start by handling this, then?\Fwd: Please Review\Fwd: Please Provide Test Code\Fwd: Urgent\Fwd: Changes to the UI System\Sure.\And this! response:	Sure.
context: Could you start by handling this, then?\Fwd: Please Review\Fwd: Please Provide Test Code\Fwd: Urgent\Fwd: Changes to the UI System\Sure.\And this!\Sure. response:	Oh, this, too.
context: Fwd: Please Review\Fwd: Please Provide Test Code\Fwd: Urgent\Fwd: Changes to the UI System\Sure.\And this!\Sure.\Oh, this, too. response:	Sure?
context: Fwd: Please Provide Test Code\Fwd: Urgent\Fwd: Changes to the UI System\Sure.\And this!\Sure.\Oh, this, too.\Sure? response:	And this.
context: Fwd: Urgent\Fwd: Changes to the UI System\Sure.\And this!\Sure.\Oh, this, too.\Sure?\And this. response:	Fwd: Changes to the UI System Kobayashi 10:00
context: Fwd: Changes to the UI System\Sure.\And this!\Sure.\Oh, this, too.\Sure?\And this.\Fwd: Changes to the UI System Kobayashi 10:00 response:	Fwd: Urgent Kobayashi 10:00
context: Sure.\And this!\Sure.\Oh, this, too.\Sure?\And this.\Fwd: Changes to the UI System Kobayashi 10:00\Fwd: Urgent Kobayashi 10:00 response:	Fwd: Please Review Kobayashi 10:00
context: And this!\Sure.\Oh, this, too.\Sure?\And this.\Fwd: Changes to the UI System Kobayashi 10:00\Fwd: Urgent Kobayashi 10:00\Fwd: Please Review Kobayashi 10:00 response:	Fwd: About the Launch Kobayashi 10:00
context: Sure.\Oh, this, too.\Sure?\And this.\Fwd: Changes to the UI System Kobayashi 10:00\Fwd: Urgent Kobayashi 10:00\Fwd: Please Review Kobayashi 10:00\Fwd: About the Launch Kobayashi 10:00 response:	Fwd: Please Test First Kobayashi 10:00
context: Oh, this, too.\Sure?\And this.\Fwd: Changes to the UI System Kobayashi 10:00\Fwd: Urgent Kobayashi 10:00\Fwd: Please Review Kobayashi 10:00\Fwd: About the Launch Kobayashi 10:00\Fwd: Please Test First Kobayashi 10:00 response:	Fwd: The Review Deadline Has Passed Kobayashi 10:00
context: Sure?\And this.\Fwd: Changes to the UI System Kobayashi 10:00\Fwd: Urgent Kobayashi 10:00\Fwd: Please Review Kobayashi 10:00\Fwd: About the Launch Kobayashi 10:00\Fwd: Please Test First Kobayashi 10:00\Fwd: The Review Deadline Has Passed Kobayashi 10:00 response:	And this one, this one, this one, and this one too.
context: And this.\Fwd: Changes to the UI System Kobayashi 10:00\Fwd: Urgent Kobayashi 10:00\Fwd: Please Review Kobayashi 10:00\Fwd: About the Launch Kobayashi 10:00\Fwd: Please Test First Kobayashi 10:00\Fwd: The Review Deadline Has Passed Kobayashi 10:00\And this one, this one, this one, and this one too. response:	We're counting on you.
context: Fwd: Changes to the UI System Kobayashi 10:00\Fwd: Urgent Kobayashi 10:00\Fwd: Please Review Kobayashi 10:00\Fwd: About the Launch Kobayashi 10:00\Fwd: Please Test First Kobayashi 10:00\Fwd: The Review Deadline Has Passed Kobayashi 10:00\And this one, this one, this one, and this one too.\We're counting on you. response:	You're asking too much of me, Miss Kobayashi!
context: Fwd: Urgent Kobayashi 10:00\Fwd: Please Review Kobayashi 10:00\Fwd: About the Launch Kobayashi 10:00\Fwd: Please Test First Kobayashi 10:00\Fwd: The Review Deadline Has Passed Kobayashi 10:00\And this one, this one, this one, and this one too.\We're counting on you.\You're asking too much of me, Miss Kobayashi! response:	No, no.
context: Fwd: Please Review Kobayashi 10:00\Fwd: About the Launch Kobayashi 10:00\Fwd: Please Test First Kobayashi 10:00\Fwd: The Review Deadline Has Passed Kobayashi 10:00\And this one, this one, this one, and this one too.\We're counting on you.\You're asking too much of me, Miss Kobayashi!\No, no. response:	That's the amount of work you should be handling normally.
context: Fwd: About the Launch Kobayashi 10:00\Fwd: Please Test First Kobayashi 10:00\Fwd: The Review Deadline Has Passed Kobayashi 10:00\And this one, this one, this one, and this one too.\We're counting on you.\You're asking too much of me, Miss Kobayashi!\No, no.\That's the amount of work you should be handling normally. response:	Huh?
context: Fwd: Please Test First Kobayashi 10:00\Fwd: The Review Deadline Has Passed Kobayashi 10:00\And this one, this one, this one, and this one too.\We're counting on you.\You're asking too much of me, Miss Kobayashi!\No, no.\That's the amount of work you should be handling normally.\Huh? response:	Kobayashi-san's the one who's been
context: Fwd: The Review Deadline Has Passed Kobayashi 10:00\And this one, this one, this one, and this one too.\We're counting on you.\You're asking too much of me, Miss Kobayashi!\No, no.\That's the amount of work you should be handling normally.\Huh?\Kobayashi-san's the one who's been response:	handling your share of the work while you were serving tea.
context: And this one, this one, this one, and this one too.\We're counting on you.\You're asking too much of me, Miss Kobayashi!\No, no.\That's the amount of work you should be handling normally.\Huh?\Kobayashi-san's the one who's been\handling your share of the work while you were serving tea. response:	Kobayashi-san already has twice that much work on her plate, too.
context: We're counting on you.\You're asking too much of me, Miss Kobayashi!\No, no.\That's the amount of work you should be handling normally.\Huh?\Kobayashi-san's the one who's been\handling your share of the work while you were serving tea.\Kobayashi-san already has twice that much work on her plate, too. response:	Isn't that kind of incredible, Mister Takiya?
context: You're asking too much of me, Miss Kobayashi!\No, no.\That's the amount of work you should be handling normally.\Huh?\Kobayashi-san's the one who's been\handling your share of the work while you were serving tea.\Kobayashi-san already has twice that much work on her plate, too.\Isn't that kind of incredible, Mister Takiya? response:	Yeah.
context: No, no.\That's the amount of work you should be handling normally.\Huh?\Kobayashi-san's the one who's been\handling your share of the work while you were serving tea.\Kobayashi-san already has twice that much work on her plate, too.\Isn't that kind of incredible, Mister Takiya?\Yeah. response:	She's our pillar.
context: That's the amount of work you should be handling normally.\Huh?\Kobayashi-san's the one who's been\handling your share of the work while you were serving tea.\Kobayashi-san already has twice that much work on her plate, too.\Isn't that kind of incredible, Mister Takiya?\Yeah.\She's our pillar. response:	Pillar?
context: Huh?\Kobayashi-san's the one who's been\handling your share of the work while you were serving tea.\Kobayashi-san already has twice that much work on her plate, too.\Isn't that kind of incredible, Mister Takiya?\Yeah.\She's our pillar.\Pillar? response:	Miss Kobayashi's a pillar?
context: Kobayashi-san's the one who's been\handling your share of the work while you were serving tea.\Kobayashi-san already has twice that much work on her plate, too.\Isn't that kind of incredible, Mister Takiya?\Yeah.\She's our pillar.\Pillar?\Miss Kobayashi's a pillar? response:	Miss Kobayashi!
context: handling your share of the work while you were serving tea.\Kobayashi-san already has twice that much work on her plate, too.\Isn't that kind of incredible, Mister Takiya?\Yeah.\She's our pillar.\Pillar?\Miss Kobayashi's a pillar?\Miss Kobayashi! response:	Hmm?
context: Kobayashi-san already has twice that much work on her plate, too.\Isn't that kind of incredible, Mister Takiya?\Yeah.\She's our pillar.\Pillar?\Miss Kobayashi's a pillar?\Miss Kobayashi!\Hmm? response:	I challenge you to a duel!
context: Isn't that kind of incredible, Mister Takiya?\Yeah.\She's our pillar.\Pillar?\Miss Kobayashi's a pillar?\Miss Kobayashi!\Hmm?\I challenge you to a duel! response:	Huh?
context: Yeah.\She's our pillar.\Pillar?\Miss Kobayashi's a pillar?\Miss Kobayashi!\Hmm?\I challenge you to a duel!\Huh? response:	Let's fight fair and square!
context: She's our pillar.\Pillar?\Miss Kobayashi's a pillar?\Miss Kobayashi!\Hmm?\I challenge you to a duel!\Huh?\Let's fight fair and square! response:	Huh?
context: Pillar?\Miss Kobayashi's a pillar?\Miss Kobayashi!\Hmm?\I challenge you to a duel!\Huh?\Let's fight fair and square!\Huh? response:	Why so suddenly?
context: Miss Kobayashi's a pillar?\Miss Kobayashi!\Hmm?\I challenge you to a duel!\Huh?\Let's fight fair and square!\Huh?\Why so suddenly? response:	Maybe she's mad that I gave her too much work?
context: Miss Kobayashi!\Hmm?\I challenge you to a duel!\Huh?\Let's fight fair and square!\Huh?\Why so suddenly?\Maybe she's mad that I gave her too much work? response:	That's just how Elma is!
context: Hmm?\I challenge you to a duel!\Huh?\Let's fight fair and square!\Huh?\Why so suddenly?\Maybe she's mad that I gave her too much work?\That's just how Elma is! response:	Hmm, I kind of understand how you feel when she comes after you.
context: I challenge you to a duel!\Huh?\Let's fight fair and square!\Huh?\Why so suddenly?\Maybe she's mad that I gave her too much work?\That's just how Elma is!\Hmm, I kind of understand how you feel when she comes after you. response:	She always challenges me to strange matches, too.
context: Huh?\Let's fight fair and square!\Huh?\Why so suddenly?\Maybe she's mad that I gave her too much work?\That's just how Elma is!\Hmm, I kind of understand how you feel when she comes after you.\She always challenges me to strange matches, too. response:	There were tests of strength,
context: Let's fight fair and square!\Huh?\Why so suddenly?\Maybe she's mad that I gave her too much work?\That's just how Elma is!\Hmm, I kind of understand how you feel when she comes after you.\She always challenges me to strange matches, too.\There were tests of strength, response:	seeing whose tail was longer,
context: Huh?\Why so suddenly?\Maybe she's mad that I gave her too much work?\That's just how Elma is!\Hmm, I kind of understand how you feel when she comes after you.\She always challenges me to strange matches, too.\There were tests of strength,\seeing whose tail was longer, response:	and speed eating competitions, as well.
context: Why so suddenly?\Maybe she's mad that I gave her too much work?\That's just how Elma is!\Hmm, I kind of understand how you feel when she comes after you.\She always challenges me to strange matches, too.\There were tests of strength,\seeing whose tail was longer,\and speed eating competitions, as well. response:	She even challenged me to so see who could strip travelers of their clothes first, once.
context: Maybe she's mad that I gave her too much work?\That's just how Elma is!\Hmm, I kind of understand how you feel when she comes after you.\She always challenges me to strange matches, too.\There were tests of strength,\seeing whose tail was longer,\and speed eating competitions, as well.\She even challenged me to so see who could strip travelers of their clothes first, once. response:	Are you two the North Wind and the Sun?
context: That's just how Elma is!\Hmm, I kind of understand how you feel when she comes after you.\She always challenges me to strange matches, too.\There were tests of strength,\seeing whose tail was longer,\and speed eating competitions, as well.\She even challenged me to so see who could strip travelers of their clothes first, once.\Are you two the North Wind and the Sun? response:	So, that's how you two played together all the time.
context: Hmm, I kind of understand how you feel when she comes after you.\She always challenges me to strange matches, too.\There were tests of strength,\seeing whose tail was longer,\and speed eating competitions, as well.\She even challenged me to so see who could strip travelers of their clothes first, once.\Are you two the North Wind and the Sun?\So, that's how you two played together all the time. response:	You're great friends.
context: She always challenges me to strange matches, too.\There were tests of strength,\seeing whose tail was longer,\and speed eating competitions, as well.\She even challenged me to so see who could strip travelers of their clothes first, once.\Are you two the North Wind and the Sun?\So, that's how you two played together all the time.\You're great friends. response:	No, we're not!
context: There were tests of strength,\seeing whose tail was longer,\and speed eating competitions, as well.\She even challenged me to so see who could strip travelers of their clothes first, once.\Are you two the North Wind and the Sun?\So, that's how you two played together all the time.\You're great friends.\No, we're not! response:	Normally we should be trying to kill each other.
context: seeing whose tail was longer,\and speed eating competitions, as well.\She even challenged me to so see who could strip travelers of their clothes first, once.\Are you two the North Wind and the Sun?\So, that's how you two played together all the time.\You're great friends.\No, we're not!\Normally we should be trying to kill each other. response:	Miss Kobayashi, please be careful around Elma.
context: and speed eating competitions, as well.\She even challenged me to so see who could strip travelers of their clothes first, once.\Are you two the North Wind and the Sun?\So, that's how you two played together all the time.\You're great friends.\No, we're not!\Normally we should be trying to kill each other.\Miss Kobayashi, please be careful around Elma. response:	Your gaze is a sharp as those in the chaos faction.
context: She even challenged me to so see who could strip travelers of their clothes first, once.\Are you two the North Wind and the Sun?\So, that's how you two played together all the time.\You're great friends.\No, we're not!\Normally we should be trying to kill each other.\Miss Kobayashi, please be careful around Elma.\Your gaze is a sharp as those in the chaos faction. response:	Is my resting face really that bad?
context: Are you two the North Wind and the Sun?\So, that's how you two played together all the time.\You're great friends.\No, we're not!\Normally we should be trying to kill each other.\Miss Kobayashi, please be careful around Elma.\Your gaze is a sharp as those in the chaos faction.\Is my resting face really that bad? response:	Good!
context: So, that's how you two played together all the time.\You're great friends.\No, we're not!\Normally we should be trying to kill each other.\Miss Kobayashi, please be careful around Elma.\Your gaze is a sharp as those in the chaos faction.\Is my resting face really that bad?\Good! response:	I'm glad you showed and didn't run away, Miss Kobayashi!
context: You're great friends.\No, we're not!\Normally we should be trying to kill each other.\Miss Kobayashi, please be careful around Elma.\Your gaze is a sharp as those in the chaos faction.\Is my resting face really that bad?\Good!\I'm glad you showed and didn't run away, Miss Kobayashi! response:	Well, I did consider taking PTO...
context: No, we're not!\Normally we should be trying to kill each other.\Miss Kobayashi, please be careful around Elma.\Your gaze is a sharp as those in the chaos faction.\Is my resting face really that bad?\Good!\I'm glad you showed and didn't run away, Miss Kobayashi!\Well, I did consider taking PTO... response:	Can we settle things with this before we compete?
context: Normally we should be trying to kill each other.\Miss Kobayashi, please be careful around Elma.\Your gaze is a sharp as those in the chaos faction.\Is my resting face really that bad?\Good!\I'm glad you showed and didn't run away, Miss Kobayashi!\Well, I did consider taking PTO...\Can we settle things with this before we compete? response:	Limited Soft, Sweet Pudding
context: Miss Kobayashi, please be careful around Elma.\Your gaze is a sharp as those in the chaos faction.\Is my resting face really that bad?\Good!\I'm glad you showed and didn't run away, Miss Kobayashi!\Well, I did consider taking PTO...\Can we settle things with this before we compete?\Limited Soft, Sweet Pudding response:	It's one of the limited-time sweets from the station. A soft, sweet pudding.
context: Your gaze is a sharp as those in the chaos faction.\Is my resting face really that bad?\Good!\I'm glad you showed and didn't run away, Miss Kobayashi!\Well, I did consider taking PTO...\Can we settle things with this before we compete?\Limited Soft, Sweet Pudding\It's one of the limited-time sweets from the station. A soft, sweet pudding. response:	Oh!
context: Is my resting face really that bad?\Good!\I'm glad you showed and didn't run away, Miss Kobayashi!\Well, I did consider taking PTO...\Can we settle things with this before we compete?\Limited Soft, Sweet Pudding\It's one of the limited-time sweets from the station. A soft, sweet pudding.\Oh! response:	Normally, this would satisfy Elma.
context: Good!\I'm glad you showed and didn't run away, Miss Kobayashi!\Well, I did consider taking PTO...\Can we settle things with this before we compete?\Limited Soft, Sweet Pudding\It's one of the limited-time sweets from the station. A soft, sweet pudding.\Oh!\Normally, this would satisfy Elma. response:	No! I'll take that when I win the match!
context: I'm glad you showed and didn't run away, Miss Kobayashi!\Well, I did consider taking PTO...\Can we settle things with this before we compete?\Limited Soft, Sweet Pudding\It's one of the limited-time sweets from the station. A soft, sweet pudding.\Oh!\Normally, this would satisfy Elma.\No! I'll take that when I win the match! response:	That's how she's taking it?
context: Well, I did consider taking PTO...\Can we settle things with this before we compete?\Limited Soft, Sweet Pudding\It's one of the limited-time sweets from the station. A soft, sweet pudding.\Oh!\Normally, this would satisfy Elma.\No! I'll take that when I win the match!\That's how she's taking it? response:	Fwd: About the System Changes
context: Can we settle things with this before we compete?\Limited Soft, Sweet Pudding\It's one of the limited-time sweets from the station. A soft, sweet pudding.\Oh!\Normally, this would satisfy Elma.\No! I'll take that when I win the match!\That's how she's taking it?\Fwd: About the System Changes response:	Fwd: The Review Deadline Has Passed, What's Going On?
context: Limited Soft, Sweet Pudding\It's one of the limited-time sweets from the station. A soft, sweet pudding.\Oh!\Normally, this would satisfy Elma.\No! I'll take that when I win the match!\That's how she's taking it?\Fwd: About the System Changes\Fwd: The Review Deadline Has Passed, What's Going On? response:	Fwd: Please Test It
context: It's one of the limited-time sweets from the station. A soft, sweet pudding.\Oh!\Normally, this would satisfy Elma.\No! I'll take that when I win the match!\That's how she's taking it?\Fwd: About the System Changes\Fwd: The Review Deadline Has Passed, What's Going On?\Fwd: Please Test It response:	Fwd: Changes to Manual Page 12
context: Oh!\Normally, this would satisfy Elma.\No! I'll take that when I win the match!\That's how she's taking it?\Fwd: About the System Changes\Fwd: The Review Deadline Has Passed, What's Going On?\Fwd: Please Test It\Fwd: Changes to Manual Page 12 response:	Fwd: Please Test First
context: Normally, this would satisfy Elma.\No! I'll take that when I win the match!\That's how she's taking it?\Fwd: About the System Changes\Fwd: The Review Deadline Has Passed, What's Going On?\Fwd: Please Test It\Fwd: Changes to Manual Page 12\Fwd: Please Test First response:	Fwd: Changes to the UI System
context: No! I'll take that when I win the match!\That's how she's taking it?\Fwd: About the System Changes\Fwd: The Review Deadline Has Passed, What's Going On?\Fwd: Please Test It\Fwd: Changes to Manual Page 12\Fwd: Please Test First\Fwd: Changes to the UI System response:	Fwd: Urgent
context: That's how she's taking it?\Fwd: About the System Changes\Fwd: The Review Deadline Has Passed, What's Going On?\Fwd: Please Test It\Fwd: Changes to Manual Page 12\Fwd: Please Test First\Fwd: Changes to the UI System\Fwd: Urgent response:	Fwd: About the Review
context: Fwd: About the System Changes\Fwd: The Review Deadline Has Passed, What's Going On?\Fwd: Please Test It\Fwd: Changes to Manual Page 12\Fwd: Please Test First\Fwd: Changes to the UI System\Fwd: Urgent\Fwd: About the Review response:	Fwd: Please Provide Test Code
context: Fwd: The Review Deadline Has Passed, What's Going On?\Fwd: Please Test It\Fwd: Changes to Manual Page 12\Fwd: Please Test First\Fwd: Changes to the UI System\Fwd: Urgent\Fwd: About the Review\Fwd: Please Provide Test Code response:	Fwd: The Review Deadline's Almost Here, How Is It Going?
context: Fwd: Please Test It\Fwd: Changes to Manual Page 12\Fwd: Please Test First\Fwd: Changes to the UI System\Fwd: Urgent\Fwd: About the Review\Fwd: Please Provide Test Code\Fwd: The Review Deadline's Almost Here, How Is It Going? response:	Fwd: System Changes
context: Fwd: Changes to Manual Page 12\Fwd: Please Test First\Fwd: Changes to the UI System\Fwd: Urgent\Fwd: About the Review\Fwd: Please Provide Test Code\Fwd: The Review Deadline's Almost Here, How Is It Going?\Fwd: System Changes response:	Fwd: System Change Request
context: Fwd: Please Test First\Fwd: Changes to the UI System\Fwd: Urgent\Fwd: About the Review\Fwd: Please Provide Test Code\Fwd: The Review Deadline's Almost Here, How Is It Going?\Fwd: System Changes\Fwd: System Change Request response:	Fwd: Urgent
context: Fwd: Changes to the UI System\Fwd: Urgent\Fwd: About the Review\Fwd: Please Provide Test Code\Fwd: The Review Deadline's Almost Here, How Is It Going?\Fwd: System Changes\Fwd: System Change Request\Fwd: Urgent response:	The winner will be whoever completes the most of this work that hasn't been touched yet.
context: Fwd: Urgent\Fwd: About the Review\Fwd: Please Provide Test Code\Fwd: The Review Deadline's Almost Here, How Is It Going?\Fwd: System Changes\Fwd: System Change Request\Fwd: Urgent\The winner will be whoever completes the most of this work that hasn't been touched yet. response:	All right!
context: Fwd: About the Review\Fwd: Please Provide Test Code\Fwd: The Review Deadline's Almost Here, How Is It Going?\Fwd: System Changes\Fwd: System Change Request\Fwd: Urgent\The winner will be whoever completes the most of this work that hasn't been touched yet.\All right! response:	You say it hasn't been touched yet, but someone's responsible for it, right?
context: Fwd: Please Provide Test Code\Fwd: The Review Deadline's Almost Here, How Is It Going?\Fwd: System Changes\Fwd: System Change Request\Fwd: Urgent\The winner will be whoever completes the most of this work that hasn't been touched yet.\All right!\You say it hasn't been touched yet, but someone's responsible for it, right? response:	Who's that?
context: Fwd: The Review Deadline's Almost Here, How Is It Going?\Fwd: System Changes\Fwd: System Change Request\Fwd: Urgent\The winner will be whoever completes the most of this work that hasn't been touched yet.\All right!\You say it hasn't been touched yet, but someone's responsible for it, right?\Who's that? response:	That's me.
context: Fwd: System Changes\Fwd: System Change Request\Fwd: Urgent\The winner will be whoever completes the most of this work that hasn't been touched yet.\All right!\You say it hasn't been touched yet, but someone's responsible for it, right?\Who's that?\That's me. response:	I'm taking PTO to go around Akiba with Faf-kun!
context: Fwd: System Change Request\Fwd: Urgent\The winner will be whoever completes the most of this work that hasn't been touched yet.\All right!\You say it hasn't been touched yet, but someone's responsible for it, right?\Who's that?\That's me.\I'm taking PTO to go around Akiba with Faf-kun! response:	See you later!
context: Fwd: Urgent\The winner will be whoever completes the most of this work that hasn't been touched yet.\All right!\You say it hasn't been touched yet, but someone's responsible for it, right?\Who's that?\That's me.\I'm taking PTO to go around Akiba with Faf-kun!\See you later! response:	That bastard. Thank you for all your hard work.
context: The winner will be whoever completes the most of this work that hasn't been touched yet.\All right!\You say it hasn't been touched yet, but someone's responsible for it, right?\Who's that?\That's me.\I'm taking PTO to go around Akiba with Faf-kun!\See you later!\That bastard. Thank you for all your hard work. response:	I can't tell if you're mad or thankful from that response.
context: All right!\You say it hasn't been touched yet, but someone's responsible for it, right?\Who's that?\That's me.\I'm taking PTO to go around Akiba with Faf-kun!\See you later!\That bastard. Thank you for all your hard work.\I can't tell if you're mad or thankful from that response. response:	Well, shall we get started?
context: You say it hasn't been touched yet, but someone's responsible for it, right?\Who's that?\That's me.\I'm taking PTO to go around Akiba with Faf-kun!\See you later!\That bastard. Thank you for all your hard work.\I can't tell if you're mad or thankful from that response.\Well, shall we get started? response:	Y-Yeah.
context: Who's that?\That's me.\I'm taking PTO to go around Akiba with Faf-kun!\See you later!\That bastard. Thank you for all your hard work.\I can't tell if you're mad or thankful from that response.\Well, shall we get started?\Y-Yeah. response:	Though...
context: That's me.\I'm taking PTO to go around Akiba with Faf-kun!\See you later!\That bastard. Thank you for all your hard work.\I can't tell if you're mad or thankful from that response.\Well, shall we get started?\Y-Yeah.\Though... response:	Of course this would be a dull competition.
context: I'm taking PTO to go around Akiba with Faf-kun!\See you later!\That bastard. Thank you for all your hard work.\I can't tell if you're mad or thankful from that response.\Well, shall we get started?\Y-Yeah.\Though...\Of course this would be a dull competition. response:	It doesn't matter if I win or lose,
context: See you later!\That bastard. Thank you for all your hard work.\I can't tell if you're mad or thankful from that response.\Well, shall we get started?\Y-Yeah.\Though...\Of course this would be a dull competition.\It doesn't matter if I win or lose, response:	the work gets done either way.
context: That bastard. Thank you for all your hard work.\I can't tell if you're mad or thankful from that response.\Well, shall we get started?\Y-Yeah.\Though...\Of course this would be a dull competition.\It doesn't matter if I win or lose,\the work gets done either way. response:	Lunch time.
context: I can't tell if you're mad or thankful from that response.\Well, shall we get started?\Y-Yeah.\Though...\Of course this would be a dull competition.\It doesn't matter if I win or lose,\the work gets done either way.\Lunch time. response:	Want to go to the usual ramen shop?
context: Well, shall we get started?\Y-Yeah.\Though...\Of course this would be a dull competition.\It doesn't matter if I win or lose,\the work gets done either way.\Lunch time.\Want to go to the usual ramen shop? response:	Hey, come with us, Elma.
context: Y-Yeah.\Though...\Of course this would be a dull competition.\It doesn't matter if I win or lose,\the work gets done either way.\Lunch time.\Want to go to the usual ramen shop?\Hey, come with us, Elma. response:	I'm not going. I'll finish this in the meantime.
context: Though...\Of course this would be a dull competition.\It doesn't matter if I win or lose,\the work gets done either way.\Lunch time.\Want to go to the usual ramen shop?\Hey, come with us, Elma.\I'm not going. I'll finish this in the meantime. response:	Beating a mere human like me won't make you very happy, right?
