context: Upsy-daisy. response:	Weather Report
context: Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?) response:	I have fallen
context: If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen response:	(Where is my heart?)
context: The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?) response:	Taking a hideous form
context: Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form response:	If my human tears have dried
context: Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried response:	What will you think of me?
context: (Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me? response:	Give me an answer
context: Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer response:	Our crimson blood
context: (Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood response:	(Bloody bonds) Our crimson blood
context: I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood response:	Wets our bond
context: (Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond response:	We share our weakness
context: Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness response:	(Bloody bonds) We share our weakness
context: If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness response:	Will we two live on?
context: What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on? response:	Licking each other's wounds
context: Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds response:	Defining each other's life
context: Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life response:	Thirsting for love
context: (Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love response:	Plan B
context: Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Plan B response:	Anzai?
context: We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Plan B\Anzai? response:	Yanagi, sedative.
context: (Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Plan B\Anzai?\Yanagi, sedative. response:	Uh, right.
context: Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Plan B\Anzai?\Yanagi, sedative.\Uh, right. response:	What are you wearing?
context: Licking each other's wounds\Defining each other's life\Thirsting for love\Plan B\Anzai?\Yanagi, sedative.\Uh, right.\What are you wearing? response:	I gave it to him.
context: Defining each other's life\Thirsting for love\Plan B\Anzai?\Yanagi, sedative.\Uh, right.\What are you wearing?\I gave it to him. response:	It's a high-performance gas mask. It blocks out odors and colors.
context: Thirsting for love\Plan B\Anzai?\Yanagi, sedative.\Uh, right.\What are you wearing?\I gave it to him.\It's a high-performance gas mask. It blocks out odors and colors. response:	Calling all Public Security Division 5 personnel!
context: Plan B\Anzai?\Yanagi, sedative.\Uh, right.\What are you wearing?\I gave it to him.\It's a high-performance gas mask. It blocks out odors and colors.\Calling all Public Security Division 5 personnel! response:	Level 5 Vampire Incident in progress!
context: Anzai?\Yanagi, sedative.\Uh, right.\What are you wearing?\I gave it to him.\It's a high-performance gas mask. It blocks out odors and colors.\Calling all Public Security Division 5 personnel!\Level 5 Vampire Incident in progress! response:	Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately.
context: Yanagi, sedative.\Uh, right.\What are you wearing?\I gave it to him.\It's a high-performance gas mask. It blocks out odors and colors.\Calling all Public Security Division 5 personnel!\Level 5 Vampire Incident in progress!\Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately. response:	The victim is bleeding profusely.
context: Uh, right.\What are you wearing?\I gave it to him.\It's a high-performance gas mask. It blocks out odors and colors.\Calling all Public Security Division 5 personnel!\Level 5 Vampire Incident in progress!\Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately.\The victim is bleeding profusely. response:	It took place during the live weather broadcast, there were several onlookers!
context: What are you wearing?\I gave it to him.\It's a high-performance gas mask. It blocks out odors and colors.\Calling all Public Security Division 5 personnel!\Level 5 Vampire Incident in progress!\Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately.\The victim is bleeding profusely.\It took place during the live weather broadcast, there were several onlookers! response:	It's possible that devils have witnessed the event and have transformed.
context: I gave it to him.\It's a high-performance gas mask. It blocks out odors and colors.\Calling all Public Security Division 5 personnel!\Level 5 Vampire Incident in progress!\Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately.\The victim is bleeding profusely.\It took place during the live weather broadcast, there were several onlookers!\It's possible that devils have witnessed the event and have transformed. response:	Don't push, stupid!
context: It's a high-performance gas mask. It blocks out odors and colors.\Calling all Public Security Division 5 personnel!\Level 5 Vampire Incident in progress!\Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately.\The victim is bleeding profusely.\It took place during the live weather broadcast, there were several onlookers!\It's possible that devils have witnessed the event and have transformed.\Don't push, stupid! response:	Wait!
context: Calling all Public Security Division 5 personnel!\Level 5 Vampire Incident in progress!\Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately.\The victim is bleeding profusely.\It took place during the live weather broadcast, there were several onlookers!\It's possible that devils have witnessed the event and have transformed.\Don't push, stupid!\Wait! response:	Why?
context: Level 5 Vampire Incident in progress!\Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately.\The victim is bleeding profusely.\It took place during the live weather broadcast, there were several onlookers!\It's possible that devils have witnessed the event and have transformed.\Don't push, stupid!\Wait!\Why? response:	What is she doing there?
context: Dispatch human officers to the fountain plaza in Ikebukuro West Gate Park immediately.\The victim is bleeding profusely.\It took place during the live weather broadcast, there were several onlookers!\It's possible that devils have witnessed the event and have transformed.\Don't push, stupid!\Wait!\Why?\What is she doing there? response:	Don't push, stupid!
context: The victim is bleeding profusely.\It took place during the live weather broadcast, there were several onlookers!\It's possible that devils have witnessed the event and have transformed.\Don't push, stupid!\Wait!\Why?\What is she doing there?\Don't push, stupid! response:	Wait, I'm taking a picture!
context: It took place during the live weather broadcast, there were several onlookers!\It's possible that devils have witnessed the event and have transformed.\Don't push, stupid!\Wait!\Why?\What is she doing there?\Don't push, stupid!\Wait, I'm taking a picture! response:	You need to sit down.
context: It's possible that devils have witnessed the event and have transformed.\Don't push, stupid!\Wait!\Why?\What is she doing there?\Don't push, stupid!\Wait, I'm taking a picture!\You need to sit down. response:	I'm gonna go stop that devil in the knit cap.
context: Don't push, stupid!\Wait!\Why?\What is she doing there?\Don't push, stupid!\Wait, I'm taking a picture!\You need to sit down.\I'm gonna go stop that devil in the knit cap. response:	If he keeps drinking her blood, she'll die.
context: Wait!\Why?\What is she doing there?\Don't push, stupid!\Wait, I'm taking a picture!\You need to sit down.\I'm gonna go stop that devil in the knit cap.\If he keeps drinking her blood, she'll die. response:	They've probably stopped the cameras, so I'll be back in about three...
context: Why?\What is she doing there?\Don't push, stupid!\Wait, I'm taking a picture!\You need to sit down.\I'm gonna go stop that devil in the knit cap.\If he keeps drinking her blood, she'll die.\They've probably stopped the cameras, so I'll be back in about three... response:	Make that one minute.
context: What is she doing there?\Don't push, stupid!\Wait, I'm taking a picture!\You need to sit down.\I'm gonna go stop that devil in the knit cap.\If he keeps drinking her blood, she'll die.\They've probably stopped the cameras, so I'll be back in about three...\Make that one minute. response:	I feel like I'm going to throw up.
context: Don't push, stupid!\Wait, I'm taking a picture!\You need to sit down.\I'm gonna go stop that devil in the knit cap.\If he keeps drinking her blood, she'll die.\They've probably stopped the cameras, so I'll be back in about three...\Make that one minute.\I feel like I'm going to throw up. response:	I can't believe a slasher would attack during a live TV broadcast.
context: Wait, I'm taking a picture!\You need to sit down.\I'm gonna go stop that devil in the knit cap.\If he keeps drinking her blood, she'll die.\They've probably stopped the cameras, so I'll be back in about three...\Make that one minute.\I feel like I'm going to throw up.\I can't believe a slasher would attack during a live TV broadcast. response:	And there happened to be a devil right there watching.
context: You need to sit down.\I'm gonna go stop that devil in the knit cap.\If he keeps drinking her blood, she'll die.\They've probably stopped the cameras, so I'll be back in about three...\Make that one minute.\I feel like I'm going to throw up.\I can't believe a slasher would attack during a live TV broadcast.\And there happened to be a devil right there watching. response:	Happened to be?
context: I'm gonna go stop that devil in the knit cap.\If he keeps drinking her blood, she'll die.\They've probably stopped the cameras, so I'll be back in about three...\Make that one minute.\I feel like I'm going to throw up.\I can't believe a slasher would attack during a live TV broadcast.\And there happened to be a devil right there watching.\Happened to be? response:	They did that broadcast every day.
context: If he keeps drinking her blood, she'll die.\They've probably stopped the cameras, so I'll be back in about three...\Make that one minute.\I feel like I'm going to throw up.\I can't believe a slasher would attack during a live TV broadcast.\And there happened to be a devil right there watching.\Happened to be?\They did that broadcast every day. response:	Is it possible that the attacker knew there was a devil on the crew?
context: They've probably stopped the cameras, so I'll be back in about three...\Make that one minute.\I feel like I'm going to throw up.\I can't believe a slasher would attack during a live TV broadcast.\And there happened to be a devil right there watching.\Happened to be?\They did that broadcast every day.\Is it possible that the attacker knew there was a devil on the crew? response:	Maybe the slasher wasn't trying to kill the woman.
context: Make that one minute.\I feel like I'm going to throw up.\I can't believe a slasher would attack during a live TV broadcast.\And there happened to be a devil right there watching.\Happened to be?\They did that broadcast every day.\Is it possible that the attacker knew there was a devil on the crew?\Maybe the slasher wasn't trying to kill the woman. response:	Maybe he wanted the devil to see human blood.
context: I feel like I'm going to throw up.\I can't believe a slasher would attack during a live TV broadcast.\And there happened to be a devil right there watching.\Happened to be?\They did that broadcast every day.\Is it possible that the attacker knew there was a devil on the crew?\Maybe the slasher wasn't trying to kill the woman.\Maybe he wanted the devil to see human blood. response:	Monster...
context: I can't believe a slasher would attack during a live TV broadcast.\And there happened to be a devil right there watching.\Happened to be?\They did that broadcast every day.\Is it possible that the attacker knew there was a devil on the crew?\Maybe the slasher wasn't trying to kill the woman.\Maybe he wanted the devil to see human blood.\Monster... response:	Devils throughout the Kanto Region are transforming after witnessing the attack on TV.
context: And there happened to be a devil right there watching.\Happened to be?\They did that broadcast every day.\Is it possible that the attacker knew there was a devil on the crew?\Maybe the slasher wasn't trying to kill the woman.\Maybe he wanted the devil to see human blood.\Monster...\Devils throughout the Kanto Region are transforming after witnessing the attack on TV. response:	The situation is getting out of hand.
context: Happened to be?\They did that broadcast every day.\Is it possible that the attacker knew there was a devil on the crew?\Maybe the slasher wasn't trying to kill the woman.\Maybe he wanted the devil to see human blood.\Monster...\Devils throughout the Kanto Region are transforming after witnessing the attack on TV.\The situation is getting out of hand. response:	Did anybody call the police?
context: They did that broadcast every day.\Is it possible that the attacker knew there was a devil on the crew?\Maybe the slasher wasn't trying to kill the woman.\Maybe he wanted the devil to see human blood.\Monster...\Devils throughout the Kanto Region are transforming after witnessing the attack on TV.\The situation is getting out of hand.\Did anybody call the police? response:	Or an ambulance?
context: Is it possible that the attacker knew there was a devil on the crew?\Maybe the slasher wasn't trying to kill the woman.\Maybe he wanted the devil to see human blood.\Monster...\Devils throughout the Kanto Region are transforming after witnessing the attack on TV.\The situation is getting out of hand.\Did anybody call the police?\Or an ambulance? response:	I'm gonna tie him up, so somebody-
context: Maybe the slasher wasn't trying to kill the woman.\Maybe he wanted the devil to see human blood.\Monster...\Devils throughout the Kanto Region are transforming after witnessing the attack on TV.\The situation is getting out of hand.\Did anybody call the police?\Or an ambulance?\I'm gonna tie him up, so somebody- response:	You're really something.
context: Maybe he wanted the devil to see human blood.\Monster...\Devils throughout the Kanto Region are transforming after witnessing the attack on TV.\The situation is getting out of hand.\Did anybody call the police?\Or an ambulance?\I'm gonna tie him up, so somebody-\You're really something. response:	Taking down a monster like that.
context: Monster...\Devils throughout the Kanto Region are transforming after witnessing the attack on TV.\The situation is getting out of hand.\Did anybody call the police?\Or an ambulance?\I'm gonna tie him up, so somebody-\You're really something.\Taking down a monster like that. response:	You don't have to help him.
context: Devils throughout the Kanto Region are transforming after witnessing the attack on TV.\The situation is getting out of hand.\Did anybody call the police?\Or an ambulance?\I'm gonna tie him up, so somebody-\You're really something.\Taking down a monster like that.\You don't have to help him. response:	You better kill him, just in case. I mean, look at that monster.
context: The situation is getting out of hand.\Did anybody call the police?\Or an ambulance?\I'm gonna tie him up, so somebody-\You're really something.\Taking down a monster like that.\You don't have to help him.\You better kill him, just in case. I mean, look at that monster. response:	Stop filming. This isn't a show, and I'm not killing him.
context: Did anybody call the police?\Or an ambulance?\I'm gonna tie him up, so somebody-\You're really something.\Taking down a monster like that.\You don't have to help him.\You better kill him, just in case. I mean, look at that monster.\Stop filming. This isn't a show, and I'm not killing him. response:	Why not?
context: Or an ambulance?\I'm gonna tie him up, so somebody-\You're really something.\Taking down a monster like that.\You don't have to help him.\You better kill him, just in case. I mean, look at that monster.\Stop filming. This isn't a show, and I'm not killing him.\Why not? response:	Whatever, just kill him already.
context: I'm gonna tie him up, so somebody-\You're really something.\Taking down a monster like that.\You don't have to help him.\You better kill him, just in case. I mean, look at that monster.\Stop filming. This isn't a show, and I'm not killing him.\Why not?\Whatever, just kill him already. response:	Do it!
context: You're really something.\Taking down a monster like that.\You don't have to help him.\You better kill him, just in case. I mean, look at that monster.\Stop filming. This isn't a show, and I'm not killing him.\Why not?\Whatever, just kill him already.\Do it! response:	What is wrong with him?
context: Taking down a monster like that.\You don't have to help him.\You better kill him, just in case. I mean, look at that monster.\Stop filming. This isn't a show, and I'm not killing him.\Why not?\Whatever, just kill him already.\Do it!\What is wrong with him? response:	Can you run?
context: You don't have to help him.\You better kill him, just in case. I mean, look at that monster.\Stop filming. This isn't a show, and I'm not killing him.\Why not?\Whatever, just kill him already.\Do it!\What is wrong with him?\Can you run? response:	Run. Get away from here.
context: You better kill him, just in case. I mean, look at that monster.\Stop filming. This isn't a show, and I'm not killing him.\Why not?\Whatever, just kill him already.\Do it!\What is wrong with him?\Can you run?\Run. Get away from here. response:	Hurry!
context: Stop filming. This isn't a show, and I'm not killing him.\Why not?\Whatever, just kill him already.\Do it!\What is wrong with him?\Can you run?\Run. Get away from here.\Hurry! response:	What's that?
context: Why not?\Whatever, just kill him already.\Do it!\What is wrong with him?\Can you run?\Run. Get away from here.\Hurry!\What's that? response:	Where... can I run?
context: Whatever, just kill him already.\Do it!\What is wrong with him?\Can you run?\Run. Get away from here.\Hurry!\What's that?\Where... can I run? response:	Hey, I think the monster's going after her!
context: Do it!\What is wrong with him?\Can you run?\Run. Get away from here.\Hurry!\What's that?\Where... can I run?\Hey, I think the monster's going after her! response:	Maybe we'll be safe if we just get away from her!
context: What is wrong with him?\Can you run?\Run. Get away from here.\Hurry!\What's that?\Where... can I run?\Hey, I think the monster's going after her!\Maybe we'll be safe if we just get away from her! response:	Who's that?
context: Can you run?\Run. Get away from here.\Hurry!\What's that?\Where... can I run?\Hey, I think the monster's going after her!\Maybe we'll be safe if we just get away from her!\Who's that? response:	Another monster?
context: Run. Get away from here.\Hurry!\What's that?\Where... can I run?\Hey, I think the monster's going after her!\Maybe we'll be safe if we just get away from her!\Who's that?\Another monster? response:	Anzai.
context: Hurry!\What's that?\Where... can I run?\Hey, I think the monster's going after her!\Maybe we'll be safe if we just get away from her!\Who's that?\Another monster?\Anzai. response:	Thank you.
context: What's that?\Where... can I run?\Hey, I think the monster's going after her!\Maybe we'll be safe if we just get away from her!\Who's that?\Another monster?\Anzai.\Thank you. response:	Sawazaki, this is Anzai.
context: Where... can I run?\Hey, I think the monster's going after her!\Maybe we'll be safe if we just get away from her!\Who's that?\Another monster?\Anzai.\Thank you.\Sawazaki, this is Anzai. response:	I have Tsukasa Taira.
context: Hey, I think the monster's going after her!\Maybe we'll be safe if we just get away from her!\Who's that?\Another monster?\Anzai.\Thank you.\Sawazaki, this is Anzai.\I have Tsukasa Taira. response:	Can you come pick her up?
context: Maybe we'll be safe if we just get away from her!\Who's that?\Another monster?\Anzai.\Thank you.\Sawazaki, this is Anzai.\I have Tsukasa Taira.\Can you come pick her up? response:	Sorry, not right now.
context: Who's that?\Another monster?\Anzai.\Thank you.\Sawazaki, this is Anzai.\I have Tsukasa Taira.\Can you come pick her up?\Sorry, not right now. response:	Give me a status-
context: Another monster?\Anzai.\Thank you.\Sawazaki, this is Anzai.\I have Tsukasa Taira.\Can you come pick her up?\Sorry, not right now.\Give me a status- response:	Take these. They're sedatives.
context: Anzai.\Thank you.\Sawazaki, this is Anzai.\I have Tsukasa Taira.\Can you come pick her up?\Sorry, not right now.\Give me a status-\Take these. They're sedatives. response:	If you ever get attacked when you're alone again, you can inject the guy.
context: Thank you.\Sawazaki, this is Anzai.\I have Tsukasa Taira.\Can you come pick her up?\Sorry, not right now.\Give me a status-\Take these. They're sedatives.\If you ever get attacked when you're alone again, you can inject the guy. response:	I-I can't do that!
context: Sawazaki, this is Anzai.\I have Tsukasa Taira.\Can you come pick her up?\Sorry, not right now.\Give me a status-\Take these. They're sedatives.\If you ever get attacked when you're alone again, you can inject the guy.\I-I can't do that! response:	I don't know how to give someone an injection!
context: I have Tsukasa Taira.\Can you come pick her up?\Sorry, not right now.\Give me a status-\Take these. They're sedatives.\If you ever get attacked when you're alone again, you can inject the guy.\I-I can't do that!\I don't know how to give someone an injection! response:	It doesn't matter how!
context: Can you come pick her up?\Sorry, not right now.\Give me a status-\Take these. They're sedatives.\If you ever get attacked when you're alone again, you can inject the guy.\I-I can't do that!\I don't know how to give someone an injection!\It doesn't matter how! response:	Just take the needle and stab-
context: Sorry, not right now.\Give me a status-\Take these. They're sedatives.\If you ever get attacked when you're alone again, you can inject the guy.\I-I can't do that!\I don't know how to give someone an injection!\It doesn't matter how!\Just take the needle and stab- response:	I-I'm sorry!
context: Give me a status-\Take these. They're sedatives.\If you ever get attacked when you're alone again, you can inject the guy.\I-I can't do that!\I don't know how to give someone an injection!\It doesn't matter how!\Just take the needle and stab-\I-I'm sorry! response:	That devil back there scratched me...
context: Take these. They're sedatives.\If you ever get attacked when you're alone again, you can inject the guy.\I-I can't do that!\I don't know how to give someone an injection!\It doesn't matter how!\Just take the needle and stab-\I-I'm sorry!\That devil back there scratched me... response:	It's okay.
context: If you ever get attacked when you're alone again, you can inject the guy.\I-I can't do that!\I don't know how to give someone an injection!\It doesn't matter how!\Just take the needle and stab-\I-I'm sorry!\That devil back there scratched me...\It's okay. response:	I'm wearing a gas mask.
context: I-I can't do that!\I don't know how to give someone an injection!\It doesn't matter how!\Just take the needle and stab-\I-I'm sorry!\That devil back there scratched me...\It's okay.\I'm wearing a gas mask. response:	I can't make out the color or the smell.
context: I don't know how to give someone an injection!\It doesn't matter how!\Just take the needle and stab-\I-I'm sorry!\That devil back there scratched me...\It's okay.\I'm wearing a gas mask.\I can't make out the color or the smell. response:	Don't think of it as blood!
context: It doesn't matter how!\Just take the needle and stab-\I-I'm sorry!\That devil back there scratched me...\It's okay.\I'm wearing a gas mask.\I can't make out the color or the smell.\Don't think of it as blood! response:	No. Don't go.
context: Just take the needle and stab-\I-I'm sorry!\That devil back there scratched me...\It's okay.\I'm wearing a gas mask.\I can't make out the color or the smell.\Don't think of it as blood!\No. Don't go. response:	I'll hide the scratch!
context: I-I'm sorry!\That devil back there scratched me...\It's okay.\I'm wearing a gas mask.\I can't make out the color or the smell.\Don't think of it as blood!\No. Don't go.\I'll hide the scratch! response:	If you need me to, I'll find somewhere to wash the blood off right now!
context: That devil back there scratched me...\It's okay.\I'm wearing a gas mask.\I can't make out the color or the smell.\Don't think of it as blood!\No. Don't go.\I'll hide the scratch!\If you need me to, I'll find somewhere to wash the blood off right now! response:	So please!
context: It's okay.\I'm wearing a gas mask.\I can't make out the color or the smell.\Don't think of it as blood!\No. Don't go.\I'll hide the scratch!\If you need me to, I'll find somewhere to wash the blood off right now!\So please! response:	Please.
context: I'm wearing a gas mask.\I can't make out the color or the smell.\Don't think of it as blood!\No. Don't go.\I'll hide the scratch!\If you need me to, I'll find somewhere to wash the blood off right now!\So please!\Please. response:	Don't disappear again.
context: I can't make out the color or the smell.\Don't think of it as blood!\No. Don't go.\I'll hide the scratch!\If you need me to, I'll find somewhere to wash the blood off right now!\So please!\Please.\Don't disappear again. response:	I need one of those sedatives.
context: Don't think of it as blood!\No. Don't go.\I'll hide the scratch!\If you need me to, I'll find somewhere to wash the blood off right now!\So please!\Please.\Don't disappear again.\I need one of those sedatives. response:	If you inject me in ten seconds...
context: No. Don't go.\I'll hide the scratch!\If you need me to, I'll find somewhere to wash the blood off right now!\So please!\Please.\Don't disappear again.\I need one of those sedatives.\If you inject me in ten seconds... response:	I'll stay.
