context: Inside of me... you've always been crying. response:	I want to wipe your tears away is what I think.
context: with your eyes focusing right at the girls' white legs.\Hiromi, you alright?\That's your fault. She's tripped over your eyesight, which was focused on her legs.\What the hell is wrong with you?\Yuasa-san sure is nice! was sure is having fun\She really seems like a top-student, you know.That really has the feeling of being a top-student, you know.\Well even so, she's not all that proud of herself. Just perfect, isn't she?\Now ain't you an idiot? You're living with her. response:	If I were you,
context: Hiromi, you alright?\That's your fault. She's tripped over your eyesight, which was focused on her legs.\What the hell is wrong with you?\Yuasa-san sure is nice! was sure is having fun\She really seems like a top-student, you know.That really has the feeling of being a top-student, you know.\Well even so, she's not all that proud of herself. Just perfect, isn't she?\Now ain't you an idiot? You're living with her.\If I were you, response:	I would take advantage of living with her, and peek at her changing.
context: That's your fault. She's tripped over your eyesight, which was focused on her legs.\What the hell is wrong with you?\Yuasa-san sure is nice! was sure is having fun\She really seems like a top-student, you know.That really has the feeling of being a top-student, you know.\Well even so, she's not all that proud of herself. Just perfect, isn't she?\Now ain't you an idiot? You're living with her.\If I were you,\I would take advantage of living with her, and peek at her changing. response:	And have her say kya! pervert!
context: What the hell is wrong with you?\Yuasa-san sure is nice! was sure is having fun\She really seems like a top-student, you know.That really has the feeling of being a top-student, you know.\Well even so, she's not all that proud of herself. Just perfect, isn't she?\Now ain't you an idiot? You're living with her.\If I were you,\I would take advantage of living with her, and peek at her changing.\And have her say kya! pervert! response:	I'll pass that to Ai-chan.
context: Yuasa-san sure is nice! was sure is having fun\She really seems like a top-student, you know.That really has the feeling of being a top-student, you know.\Well even so, she's not all that proud of herself. Just perfect, isn't she?\Now ain't you an idiot? You're living with her.\If I were you,\I would take advantage of living with her, and peek at her changing.\And have her say kya! pervert!\I'll pass that to Ai-chan. response:	Well then, later.
context: She really seems like a top-student, you know.That really has the feeling of being a top-student, you know.\Well even so, she's not all that proud of herself. Just perfect, isn't she?\Now ain't you an idiot? You're living with her.\If I were you,\I would take advantage of living with her, and peek at her changing.\And have her say kya! pervert!\I'll pass that to Ai-chan.\Well then, later. response:	What's with that? You're so cold...
context: Well even so, she's not all that proud of herself. Just perfect, isn't she?\Now ain't you an idiot? You're living with her.\If I were you,\I would take advantage of living with her, and peek at her changing.\And have her say kya! pervert!\I'll pass that to Ai-chan.\Well then, later.\What's with that? You're so cold... response:	Wait a minute...At least wait for me...
context: Now ain't you an idiot? You're living with her.\If I were you,\I would take advantage of living with her, and peek at her changing.\And have her say kya! pervert!\I'll pass that to Ai-chan.\Well then, later.\What's with that? You're so cold...\Wait a minute...At least wait for me... response:	Jeez...
context: If I were you,\I would take advantage of living with her, and peek at her changing.\And have her say kya! pervert!\I'll pass that to Ai-chan.\Well then, later.\What's with that? You're so cold...\Wait a minute...At least wait for me...\Jeez... response:	Hey you, over there!The one down there!
context: I would take advantage of living with her, and peek at her changing.\And have her say kya! pervert!\I'll pass that to Ai-chan.\Well then, later.\What's with that? You're so cold...\Wait a minute...At least wait for me...\Jeez...\Hey you, over there!The one down there! response:	Don't look at me without permission.
context: And have her say kya! pervert!\I'll pass that to Ai-chan.\Well then, later.\What's with that? You're so cold...\Wait a minute...At least wait for me...\Jeez...\Hey you, over there!The one down there!\Don't look at me without permission. response:	I- I wasn't really...
context: I'll pass that to Ai-chan.\Well then, later.\What's with that? You're so cold...\Wait a minute...At least wait for me...\Jeez...\Hey you, over there!The one down there!\Don't look at me without permission.\I- I wasn't really... response:	Hey, you!
context: Well then, later.\What's with that? You're so cold...\Wait a minute...At least wait for me...\Jeez...\Hey you, over there!The one down there!\Don't look at me without permission.\I- I wasn't really...\Hey, you! response:	Is there something else you want?!
context: What's with that? You're so cold...\Wait a minute...At least wait for me...\Jeez...\Hey you, over there!The one down there!\Don't look at me without permission.\I- I wasn't really...\Hey, you!\Is there something else you want?! response:	I can't get down.
context: Wait a minute...At least wait for me...\Jeez...\Hey you, over there!The one down there!\Don't look at me without permission.\I- I wasn't really...\Hey, you!\Is there something else you want?!\I can't get down. response:	So you were picking food for the chickens?
context: Jeez...\Hey you, over there!The one down there!\Don't look at me without permission.\I- I wasn't really...\Hey, you!\Is there something else you want?!\I can't get down.\So you were picking food for the chickens? response:	This food came from the sky.
context: Hey you, over there!The one down there!\Don't look at me without permission.\I- I wasn't really...\Hey, you!\Is there something else you want?!\I can't get down.\So you were picking food for the chickens?\This food came from the sky. response:	From the... sky...
context: Don't look at me without permission.\I- I wasn't really...\Hey, you!\Is there something else you want?!\I can't get down.\So you were picking food for the chickens?\This food came from the sky.\From the... sky... response:	This child wants to fly into the sky.
context: I- I wasn't really...\Hey, you!\Is there something else you want?!\I can't get down.\So you were picking food for the chickens?\This food came from the sky.\From the... sky...\This child wants to fly into the sky. response:	But he's locked in such a place.
context: Hey, you!\Is there something else you want?!\I can't get down.\So you were picking food for the chickens?\This food came from the sky.\From the... sky...\This child wants to fly into the sky.\But he's locked in such a place. response:	I pitied him.
context: Is there something else you want?!\I can't get down.\So you were picking food for the chickens?\This food came from the sky.\From the... sky...\This child wants to fly into the sky.\But he's locked in such a place.\I pitied him. response:	So I got food for him from the highest places.
context: I can't get down.\So you were picking food for the chickens?\This food came from the sky.\From the... sky...\This child wants to fly into the sky.\But he's locked in such a place.\I pitied him.\So I got food for him from the highest places. response:	Huh?
context: So you were picking food for the chickens?\This food came from the sky.\From the... sky...\This child wants to fly into the sky.\But he's locked in such a place.\I pitied him.\So I got food for him from the highest places.\Huh? response:	A chicken that wants to fly into the sky?
context: This food came from the sky.\From the... sky...\This child wants to fly into the sky.\But he's locked in such a place.\I pitied him.\So I got food for him from the highest places.\Huh?\A chicken that wants to fly into the sky? response:	Are you not letting that one eat?
context: From the... sky...\This child wants to fly into the sky.\But he's locked in such a place.\I pitied him.\So I got food for him from the highest places.\Huh?\A chicken that wants to fly into the sky?\Are you not letting that one eat? response:	That's because that one doesn't want to fly.
context: This child wants to fly into the sky.\But he's locked in such a place.\I pitied him.\So I got food for him from the highest places.\Huh?\A chicken that wants to fly into the sky?\Are you not letting that one eat?\That's because that one doesn't want to fly. response:	How do you know these things?
context: But he's locked in such a place.\I pitied him.\So I got food for him from the highest places.\Huh?\A chicken that wants to fly into the sky?\Are you not letting that one eat?\That's because that one doesn't want to fly.\How do you know these things? response:	I just know.
context: I pitied him.\So I got food for him from the highest places.\Huh?\A chicken that wants to fly into the sky?\Are you not letting that one eat?\That's because that one doesn't want to fly.\How do you know these things?\I just know. response:	And you are the one on that side.
context: So I got food for him from the highest places.\Huh?\A chicken that wants to fly into the sky?\Are you not letting that one eat?\That's because that one doesn't want to fly.\How do you know these things?\I just know.\And you are the one on that side. response:	Eh? Huh?
context: Huh?\A chicken that wants to fly into the sky?\Are you not letting that one eat?\That's because that one doesn't want to fly.\How do you know these things?\I just know.\And you are the one on that side.\Eh? Huh? response:	You don't want to fly.
context: A chicken that wants to fly into the sky?\Are you not letting that one eat?\That's because that one doesn't want to fly.\How do you know these things?\I just know.\And you are the one on that side.\Eh? Huh?\You don't want to fly. response:	Wait a minute! What do you know about someone like me, who has only talked to you once?
context: Are you not letting that one eat?\That's because that one doesn't want to fly.\How do you know these things?\I just know.\And you are the one on that side.\Eh? Huh?\You don't want to fly.\Wait a minute! What do you know about someone like me, who has only talked to you once? response:	You spit, right?
context: That's because that one doesn't want to fly.\How do you know these things?\I just know.\And you are the one on that side.\Eh? Huh?\You don't want to fly.\Wait a minute! What do you know about someone like me, who has only talked to you once?\You spit, right? response:	Well, I think I know what's going on.
context: How do you know these things?\I just know.\And you are the one on that side.\Eh? Huh?\You don't want to fly.\Wait a minute! What do you know about someone like me, who has only talked to you once?\You spit, right?\Well, I think I know what's going on. response:	It seems like you might be able to fly. want to fly.
context: I just know.\And you are the one on that side.\Eh? Huh?\You don't want to fly.\Wait a minute! What do you know about someone like me, who has only talked to you once?\You spit, right?\Well, I think I know what's going on.\It seems like you might be able to fly. want to fly. response:	Yes.
context: And you are the one on that side.\Eh? Huh?\You don't want to fly.\Wait a minute! What do you know about someone like me, who has only talked to you once?\You spit, right?\Well, I think I know what's going on.\It seems like you might be able to fly. want to fly.\Yes. response:	Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something.
context: Eh? Huh?\You don't want to fly.\Wait a minute! What do you know about someone like me, who has only talked to you once?\You spit, right?\Well, I think I know what's going on.\It seems like you might be able to fly. want to fly.\Yes.\Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something. response:	May bad fortune befall you!
context: You don't want to fly.\Wait a minute! What do you know about someone like me, who has only talked to you once?\You spit, right?\Well, I think I know what's going on.\It seems like you might be able to fly. want to fly.\Yes.\Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something.\May bad fortune befall you! response:	Oh, that Isurugi Noe from Class A, huh?
context: Wait a minute! What do you know about someone like me, who has only talked to you once?\You spit, right?\Well, I think I know what's going on.\It seems like you might be able to fly. want to fly.\Yes.\Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something.\May bad fortune befall you!\Oh, that Isurugi Noe from Class A, huh? response:	Never seen her before.
context: You spit, right?\Well, I think I know what's going on.\It seems like you might be able to fly. want to fly.\Yes.\Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something.\May bad fortune befall you!\Oh, that Isurugi Noe from Class A, huh?\Never seen her before. response:	She transferred in last year.
context: Well, I think I know what's going on.\It seems like you might be able to fly. want to fly.\Yes.\Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something.\May bad fortune befall you!\Oh, that Isurugi Noe from Class A, huh?\Never seen her before.\She transferred in last year. response:	She's quite cute, but...
context: It seems like you might be able to fly. want to fly.\Yes.\Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something.\May bad fortune befall you!\Oh, that Isurugi Noe from Class A, huh?\Never seen her before.\She transferred in last year.\She's quite cute, but... response:	There are some scary rumors about her.
context: Yes.\Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something.\May bad fortune befall you!\Oh, that Isurugi Noe from Class A, huh?\Never seen her before.\She transferred in last year.\She's quite cute, but...\There are some scary rumors about her. response:	Scary...?
context: Since your head seems quite empty.should be light, but empty sounds better I thinkSeems to me you're just stupid or something.\May bad fortune befall you!\Oh, that Isurugi Noe from Class A, huh?\Never seen her before.\She transferred in last year.\She's quite cute, but...\There are some scary rumors about her.\Scary...? response:	For example, it's said that she exchanges e-mails with a person who lives underground
context: May bad fortune befall you!\Oh, that Isurugi Noe from Class A, huh?\Never seen her before.\She transferred in last year.\She's quite cute, but...\There are some scary rumors about her.\Scary...?\For example, it's said that she exchanges e-mails with a person who lives underground response:	Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant)
context: Oh, that Isurugi Noe from Class A, huh?\Never seen her before.\She transferred in last year.\She's quite cute, but...\There are some scary rumors about her.\Scary...?\For example, it's said that she exchanges e-mails with a person who lives underground\Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant) response:	That's nonsense.
context: Never seen her before.\She transferred in last year.\She's quite cute, but...\There are some scary rumors about her.\Scary...?\For example, it's said that she exchanges e-mails with a person who lives underground\Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant)\That's nonsense. response:	No, wait. Since it's her...
context: She transferred in last year.\She's quite cute, but...\There are some scary rumors about her.\Scary...?\For example, it's said that she exchanges e-mails with a person who lives underground\Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant)\That's nonsense.\No, wait. Since it's her... response:	Did something happen?
context: She's quite cute, but...\There are some scary rumors about her.\Scary...?\For example, it's said that she exchanges e-mails with a person who lives underground\Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant)\That's nonsense.\No, wait. Since it's her...\Did something happen? response:	She cursed me.
context: There are some scary rumors about her.\Scary...?\For example, it's said that she exchanges e-mails with a person who lives underground\Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant)\That's nonsense.\No, wait. Since it's her...\Did something happen?\She cursed me. response:	Well, that's bad.
context: Scary...?\For example, it's said that she exchanges e-mails with a person who lives underground\Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant)\That's nonsense.\No, wait. Since it's her...\Did something happen?\She cursed me.\Well, that's bad. response:	What?
context: For example, it's said that she exchanges e-mails with a person who lives underground\Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant)\That's nonsense.\No, wait. Since it's her...\Did something happen?\She cursed me.\Well, that's bad.\What? response:	If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai
context: Or that she can summon a pink elephant when she whistles. wtf @ this line, tiger = tora, he says zou (elephant)\That's nonsense.\No, wait. Since it's her...\Did something happen?\She cursed me.\Well, that's bad.\What?\If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai response:	After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone...
context: That's nonsense.\No, wait. Since it's her...\Did something happen?\She cursed me.\Well, that's bad.\What?\If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai\After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone... response:	Oh, Bo-chan.
context: No, wait. Since it's her...\Did something happen?\She cursed me.\Well, that's bad.\What?\If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai\After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone...\Oh, Bo-chan. response:	Do you need the Chief for something?
context: Did something happen?\She cursed me.\Well, that's bad.\What?\If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai\After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone...\Oh, Bo-chan.\Do you need the Chief for something? response:	Err, well, not really.
context: She cursed me.\Well, that's bad.\What?\If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai\After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone...\Oh, Bo-chan.\Do you need the Chief for something?\Err, well, not really. response:	After someone dad knew died last year,
context: Well, that's bad.\What?\If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai\After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone...\Oh, Bo-chan.\Do you need the Chief for something?\Err, well, not really.\After someone dad knew died last year, response:	Their daughter, Hiromi, was adopted by my family.
context: What?\If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai\After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone...\Oh, Bo-chan.\Do you need the Chief for something?\Err, well, not really.\After someone dad knew died last year,\Their daughter, Hiromi, was adopted by my family. response:	We've been in the same class since elementary school.
context: If Isurugi Noe calls out her Secret special disaster move, you're no match for her! Isurugi Noe's Cursing Technique is real divination. Hisatsu ougi higeki wo yobu wo machi nai\After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone...\Oh, Bo-chan.\Do you need the Chief for something?\Err, well, not really.\After someone dad knew died last year,\Their daughter, Hiromi, was adopted by my family.\We've been in the same class since elementary school. response:	I was surprised.
context: After she said I hope it shrinks to someone, it turns out it really did! Curse that of yours to shrink to someone...\Oh, Bo-chan.\Do you need the Chief for something?\Err, well, not really.\After someone dad knew died last year,\Their daughter, Hiromi, was adopted by my family.\We've been in the same class since elementary school.\I was surprised. response:	Hiromi has always been cheerful...
