context: Do you need a receipt? response:	Yes, please.
context: February, huh? Who would have thought she'd appear right in front of us after she went missing for five years?\Who was accompanying her?\The details, including the cause of the explosion, are unknown.\There's a saying in this country that goes there's no use crying over spilt milk.\There's nothing we can do about the fact that she was a double agent who stole gate-related information from us\and gave it to that syndicate.\We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her.\There's nothing we can do about what was spilt, but we can punish the maid who's responsible. response:	Why now, of all times?
context: Who was accompanying her?\The details, including the cause of the explosion, are unknown.\There's a saying in this country that goes there's no use crying over spilt milk.\There's nothing we can do about the fact that she was a double agent who stole gate-related information from us\and gave it to that syndicate.\We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her.\There's nothing we can do about what was spilt, but we can punish the maid who's responsible.\Why now, of all times? response:	Do you think her appearance and the upcoming solar maximum are related in any way?
context: The details, including the cause of the explosion, are unknown.\There's a saying in this country that goes there's no use crying over spilt milk.\There's nothing we can do about the fact that she was a double agent who stole gate-related information from us\and gave it to that syndicate.\We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her.\There's nothing we can do about what was spilt, but we can punish the maid who's responsible.\Why now, of all times?\Do you think her appearance and the upcoming solar maximum are related in any way? response:	I wouldn't know.
context: There's a saying in this country that goes there's no use crying over spilt milk.\There's nothing we can do about the fact that she was a double agent who stole gate-related information from us\and gave it to that syndicate.\We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her.\There's nothing we can do about what was spilt, but we can punish the maid who's responsible.\Why now, of all times?\Do you think her appearance and the upcoming solar maximum are related in any way?\I wouldn't know. response:	Suspend all other duties and prioritize the apprehension of February.
context: There's nothing we can do about the fact that she was a double agent who stole gate-related information from us\and gave it to that syndicate.\We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her.\There's nothing we can do about what was spilt, but we can punish the maid who's responsible.\Why now, of all times?\Do you think her appearance and the upcoming solar maximum are related in any way?\I wouldn't know.\Suspend all other duties and prioritize the apprehension of February. response:	Solar maximum?
context: and gave it to that syndicate.\We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her.\There's nothing we can do about what was spilt, but we can punish the maid who's responsible.\Why now, of all times?\Do you think her appearance and the upcoming solar maximum are related in any way?\I wouldn't know.\Suspend all other duties and prioritize the apprehension of February.\Solar maximum? response:	Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun.
context: We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her.\There's nothing we can do about what was spilt, but we can punish the maid who's responsible.\Why now, of all times?\Do you think her appearance and the upcoming solar maximum are related in any way?\I wouldn't know.\Suspend all other duties and prioritize the apprehension of February.\Solar maximum?\Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun. response:	It looks like a gigantic eyeball.
context: There's nothing we can do about what was spilt, but we can punish the maid who's responsible.\Why now, of all times?\Do you think her appearance and the upcoming solar maximum are related in any way?\I wouldn't know.\Suspend all other duties and prioritize the apprehension of February.\Solar maximum?\Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun.\It looks like a gigantic eyeball. response:	Eyeball? That sounds creepy.
context: Why now, of all times?\Do you think her appearance and the upcoming solar maximum are related in any way?\I wouldn't know.\Suspend all other duties and prioritize the apprehension of February.\Solar maximum?\Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun.\It looks like a gigantic eyeball.\Eyeball? That sounds creepy. response:	This phenomenon wasn't observed before the emergence of the gate,
context: Do you think her appearance and the upcoming solar maximum are related in any way?\I wouldn't know.\Suspend all other duties and prioritize the apprehension of February.\Solar maximum?\Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun.\It looks like a gigantic eyeball.\Eyeball? That sounds creepy.\This phenomenon wasn't observed before the emergence of the gate, response:	so there's been a tense atmosphere around the observatory for the past few days.
context: I wouldn't know.\Suspend all other duties and prioritize the apprehension of February.\Solar maximum?\Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun.\It looks like a gigantic eyeball.\Eyeball? That sounds creepy.\This phenomenon wasn't observed before the emergence of the gate,\so there's been a tense atmosphere around the observatory for the past few days. response:	Is something going to happen?
context: Suspend all other duties and prioritize the apprehension of February.\Solar maximum?\Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun.\It looks like a gigantic eyeball.\Eyeball? That sounds creepy.\This phenomenon wasn't observed before the emergence of the gate,\so there's been a tense atmosphere around the observatory for the past few days.\Is something going to happen? response:	Something might happen, but something might not.
context: Solar maximum?\Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun.\It looks like a gigantic eyeball.\Eyeball? That sounds creepy.\This phenomenon wasn't observed before the emergence of the gate,\so there's been a tense atmosphere around the observatory for the past few days.\Is something going to happen?\Something might happen, but something might not. response:	There hasn't been any recent activity considered to be related. To be honest, I don't know.
context: Once every few years, the largest sunspots, classified by their Zurich number, appear in clusters on the surface of the sun.\It looks like a gigantic eyeball.\Eyeball? That sounds creepy.\This phenomenon wasn't observed before the emergence of the gate,\so there's been a tense atmosphere around the observatory for the past few days.\Is something going to happen?\Something might happen, but something might not.\There hasn't been any recent activity considered to be related. To be honest, I don't know. response:	There's something that's been bothering me, though.
context: It looks like a gigantic eyeball.\Eyeball? That sounds creepy.\This phenomenon wasn't observed before the emergence of the gate,\so there's been a tense atmosphere around the observatory for the past few days.\Is something going to happen?\Something might happen, but something might not.\There hasn't been any recent activity considered to be related. To be honest, I don't know.\There's something that's been bothering me, though. response:	Five years ago, during the last solar maximum, the gate in South America disappeared.
context: Eyeball? That sounds creepy.\This phenomenon wasn't observed before the emergence of the gate,\so there's been a tense atmosphere around the observatory for the past few days.\Is something going to happen?\Something might happen, but something might not.\There hasn't been any recent activity considered to be related. To be honest, I don't know.\There's something that's been bothering me, though.\Five years ago, during the last solar maximum, the gate in South America disappeared. response:	Please protect your smile.
context: This phenomenon wasn't observed before the emergence of the gate,\so there's been a tense atmosphere around the observatory for the past few days.\Is something going to happen?\Something might happen, but something might not.\There hasn't been any recent activity considered to be related. To be honest, I don't know.\There's something that's been bothering me, though.\Five years ago, during the last solar maximum, the gate in South America disappeared.\Please protect your smile. response:	Why?
context: so there's been a tense atmosphere around the observatory for the past few days.\Is something going to happen?\Something might happen, but something might not.\There hasn't been any recent activity considered to be related. To be honest, I don't know.\There's something that's been bothering me, though.\Five years ago, during the last solar maximum, the gate in South America disappeared.\Please protect your smile.\Why? response:	No, I must express gratitude in these kinds of situations.
context: Is something going to happen?\Something might happen, but something might not.\There hasn't been any recent activity considered to be related. To be honest, I don't know.\There's something that's been bothering me, though.\Five years ago, during the last solar maximum, the gate in South America disappeared.\Please protect your smile.\Why?\No, I must express gratitude in these kinds of situations. response:	Thank you,
context: Something might happen, but something might not.\There hasn't been any recent activity considered to be related. To be honest, I don't know.\There's something that's been bothering me, though.\Five years ago, during the last solar maximum, the gate in South America disappeared.\Please protect your smile.\Why?\No, I must express gratitude in these kinds of situations.\Thank you, response:	and nice to meet you.
context: There hasn't been any recent activity considered to be related. To be honest, I don't know.\There's something that's been bothering me, though.\Five years ago, during the last solar maximum, the gate in South America disappeared.\Please protect your smile.\Why?\No, I must express gratitude in these kinds of situations.\Thank you,\and nice to meet you. response:	Nice to meet you. I'm Li Shun Sheng.
context: There's something that's been bothering me, though.\Five years ago, during the last solar maximum, the gate in South America disappeared.\Please protect your smile.\Why?\No, I must express gratitude in these kinds of situations.\Thank you,\and nice to meet you.\Nice to meet you. I'm Li Shun Sheng. response:	I'm Maki.
context: Five years ago, during the last solar maximum, the gate in South America disappeared.\Please protect your smile.\Why?\No, I must express gratitude in these kinds of situations.\Thank you,\and nice to meet you.\Nice to meet you. I'm Li Shun Sheng.\I'm Maki. response:	Was that a gift from someone?
context: Please protect your smile.\Why?\No, I must express gratitude in these kinds of situations.\Thank you,\and nice to meet you.\Nice to meet you. I'm Li Shun Sheng.\I'm Maki.\Was that a gift from someone? response:	I received it from somebody important to me.
context: Why?\No, I must express gratitude in these kinds of situations.\Thank you,\and nice to meet you.\Nice to meet you. I'm Li Shun Sheng.\I'm Maki.\Was that a gift from someone?\I received it from somebody important to me. response:	I see. You should take good care of it.
context: No, I must express gratitude in these kinds of situations.\Thank you,\and nice to meet you.\Nice to meet you. I'm Li Shun Sheng.\I'm Maki.\Was that a gift from someone?\I received it from somebody important to me.\I see. You should take good care of it. response:	What was it doing in a place like that?
context: Thank you,\and nice to meet you.\Nice to meet you. I'm Li Shun Sheng.\I'm Maki.\Was that a gift from someone?\I received it from somebody important to me.\I see. You should take good care of it.\What was it doing in a place like that? response:	Thank you.
context: and nice to meet you.\Nice to meet you. I'm Li Shun Sheng.\I'm Maki.\Was that a gift from someone?\I received it from somebody important to me.\I see. You should take good care of it.\What was it doing in a place like that?\Thank you. response:	Who would have thought District 45 would be targeted?
context: Nice to meet you. I'm Li Shun Sheng.\I'm Maki.\Was that a gift from someone?\I received it from somebody important to me.\I see. You should take good care of it.\What was it doing in a place like that?\Thank you.\Who would have thought District 45 would be targeted? response:	Targeted?
context: I'm Maki.\Was that a gift from someone?\I received it from somebody important to me.\I see. You should take good care of it.\What was it doing in a place like that?\Thank you.\Who would have thought District 45 would be targeted?\Targeted? response:	According to information from an informant in forensics, not even a sliver of the meteor fragment could be found.
context: Was that a gift from someone?\I received it from somebody important to me.\I see. You should take good care of it.\What was it doing in a place like that?\Thank you.\Who would have thought District 45 would be targeted?\Targeted?\According to information from an informant in forensics, not even a sliver of the meteor fragment could be found. response:	Who did it?
context: I received it from somebody important to me.\I see. You should take good care of it.\What was it doing in a place like that?\Thank you.\Who would have thought District 45 would be targeted?\Targeted?\According to information from an informant in forensics, not even a sliver of the meteor fragment could be found.\Who did it? response:	Footprints of a MI6 agent were left on the scene.
context: I see. You should take good care of it.\What was it doing in a place like that?\Thank you.\Who would have thought District 45 would be targeted?\Targeted?\According to information from an informant in forensics, not even a sliver of the meteor fragment could be found.\Who did it?\Footprints of a MI6 agent were left on the scene. response:	The same agent we came into contact with during the Havoc mission.
context: What was it doing in a place like that?\Thank you.\Who would have thought District 45 would be targeted?\Targeted?\According to information from an informant in forensics, not even a sliver of the meteor fragment could be found.\Who did it?\Footprints of a MI6 agent were left on the scene.\The same agent we came into contact with during the Havoc mission. response:	Retrieve it.
context: Thank you.\Who would have thought District 45 would be targeted?\Targeted?\According to information from an informant in forensics, not even a sliver of the meteor fragment could be found.\Who did it?\Footprints of a MI6 agent were left on the scene.\The same agent we came into contact with during the Havoc mission.\Retrieve it. response:	Why would MI6 do that?
context: Who would have thought District 45 would be targeted?\Targeted?\According to information from an informant in forensics, not even a sliver of the meteor fragment could be found.\Who did it?\Footprints of a MI6 agent were left on the scene.\The same agent we came into contact with during the Havoc mission.\Retrieve it.\Why would MI6 do that? response:	There aren't any limits of restraint as far as PANDORA is concerned.
context: Targeted?\According to information from an informant in forensics, not even a sliver of the meteor fragment could be found.\Who did it?\Footprints of a MI6 agent were left on the scene.\The same agent we came into contact with during the Havoc mission.\Retrieve it.\Why would MI6 do that?\There aren't any limits of restraint as far as PANDORA is concerned. response:	In other words, it's a melting pot of countries with their own priorities.
context: According to information from an informant in forensics, not even a sliver of the meteor fragment could be found.\Who did it?\Footprints of a MI6 agent were left on the scene.\The same agent we came into contact with during the Havoc mission.\Retrieve it.\Why would MI6 do that?\There aren't any limits of restraint as far as PANDORA is concerned.\In other words, it's a melting pot of countries with their own priorities. response:	I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K.
context: Who did it?\Footprints of a MI6 agent were left on the scene.\The same agent we came into contact with during the Havoc mission.\Retrieve it.\Why would MI6 do that?\There aren't any limits of restraint as far as PANDORA is concerned.\In other words, it's a melting pot of countries with their own priorities.\I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K. response:	What were you thinking, returning to the scene of the crime?
context: Footprints of a MI6 agent were left on the scene.\The same agent we came into contact with during the Havoc mission.\Retrieve it.\Why would MI6 do that?\There aren't any limits of restraint as far as PANDORA is concerned.\In other words, it's a melting pot of countries with their own priorities.\I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K.\What were you thinking, returning to the scene of the crime? response:	I lost something important.
context: The same agent we came into contact with during the Havoc mission.\Retrieve it.\Why would MI6 do that?\There aren't any limits of restraint as far as PANDORA is concerned.\In other words, it's a melting pot of countries with their own priorities.\I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K.\What were you thinking, returning to the scene of the crime?\I lost something important. response:	It landed in a tree during the explosion.
context: Retrieve it.\Why would MI6 do that?\There aren't any limits of restraint as far as PANDORA is concerned.\In other words, it's a melting pot of countries with their own priorities.\I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K.\What were you thinking, returning to the scene of the crime?\I lost something important.\It landed in a tree during the explosion. response:	Amagiri, I met an interesting person.
context: Why would MI6 do that?\There aren't any limits of restraint as far as PANDORA is concerned.\In other words, it's a melting pot of countries with their own priorities.\I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K.\What were you thinking, returning to the scene of the crime?\I lost something important.\It landed in a tree during the explosion.\Amagiri, I met an interesting person. response:	He was nice to me.
context: There aren't any limits of restraint as far as PANDORA is concerned.\In other words, it's a melting pot of countries with their own priorities.\I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K.\What were you thinking, returning to the scene of the crime?\I lost something important.\It landed in a tree during the explosion.\Amagiri, I met an interesting person.\He was nice to me. response:	For some reason, it felt strange.
context: In other words, it's a melting pot of countries with their own priorities.\I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K.\What were you thinking, returning to the scene of the crime?\I lost something important.\It landed in a tree during the explosion.\Amagiri, I met an interesting person.\He was nice to me.\For some reason, it felt strange. response:	Who was it?
context: I wouldn't be surprised if news about the stolen meteor fragment already reached the U.K.\What were you thinking, returning to the scene of the crime?\I lost something important.\It landed in a tree during the explosion.\Amagiri, I met an interesting person.\He was nice to me.\For some reason, it felt strange.\Who was it? response:	I don't know.
context: What were you thinking, returning to the scene of the crime?\I lost something important.\It landed in a tree during the explosion.\Amagiri, I met an interesting person.\He was nice to me.\For some reason, it felt strange.\Who was it?\I don't know. response:	Were you being followed?
context: I lost something important.\It landed in a tree during the explosion.\Amagiri, I met an interesting person.\He was nice to me.\For some reason, it felt strange.\Who was it?\I don't know.\Were you being followed? response:	Everything's fine.
context: It landed in a tree during the explosion.\Amagiri, I met an interesting person.\He was nice to me.\For some reason, it felt strange.\Who was it?\I don't know.\Were you being followed?\Everything's fine. response:	We've obtained the meteor fragment.
context: Amagiri, I met an interesting person.\He was nice to me.\For some reason, it felt strange.\Who was it?\I don't know.\Were you being followed?\Everything's fine.\We've obtained the meteor fragment. response:	We'll leave this town in a state of chaos and animosity.
context: He was nice to me.\For some reason, it felt strange.\Who was it?\I don't know.\Were you being followed?\Everything's fine.\We've obtained the meteor fragment.\We'll leave this town in a state of chaos and animosity. response:	Let's begin.
context: For some reason, it felt strange.\Who was it?\I don't know.\Were you being followed?\Everything's fine.\We've obtained the meteor fragment.\We'll leave this town in a state of chaos and animosity.\Let's begin. response:	Where's Amber?
context: Who was it?\I don't know.\Were you being followed?\Everything's fine.\We've obtained the meteor fragment.\We'll leave this town in a state of chaos and animosity.\Let's begin.\Where's Amber? response:	Where did she go?
context: I don't know.\Were you being followed?\Everything's fine.\We've obtained the meteor fragment.\We'll leave this town in a state of chaos and animosity.\Let's begin.\Where's Amber?\Where did she go? response:	She left to look for the final key.
context: Were you being followed?\Everything's fine.\We've obtained the meteor fragment.\We'll leave this town in a state of chaos and animosity.\Let's begin.\Where's Amber?\Where did she go?\She left to look for the final key. response:	Final key?
context: Everything's fine.\We've obtained the meteor fragment.\We'll leave this town in a state of chaos and animosity.\Let's begin.\Where's Amber?\Where did she go?\She left to look for the final key.\Final key? response:	In that case, I'll also...
context: We've obtained the meteor fragment.\We'll leave this town in a state of chaos and animosity.\Let's begin.\Where's Amber?\Where did she go?\She left to look for the final key.\Final key?\In that case, I'll also... response:	You don't have to go.
context: We'll leave this town in a state of chaos and animosity.\Let's begin.\Where's Amber?\Where did she go?\She left to look for the final key.\Final key?\In that case, I'll also...\You don't have to go. response:	Why not?
context: Let's begin.\Where's Amber?\Where did she go?\She left to look for the final key.\Final key?\In that case, I'll also...\You don't have to go.\Why not? response:	Is she meeting with someone, by chance?
context: Where's Amber?\Where did she go?\She left to look for the final key.\Final key?\In that case, I'll also...\You don't have to go.\Why not?\Is she meeting with someone, by chance? response:	That'll be 480 yen.
context: Where did she go?\She left to look for the final key.\Final key?\In that case, I'll also...\You don't have to go.\Why not?\Is she meeting with someone, by chance?\That'll be 480 yen. response:	Episode Fifteen
context: She left to look for the final key.\Final key?\In that case, I'll also...\You don't have to go.\Why not?\Is she meeting with someone, by chance?\That'll be 480 yen.\Episode Fifteen response:	Memories of Betrayal
context: Final key?\In that case, I'll also...\You don't have to go.\Why not?\Is she meeting with someone, by chance?\That'll be 480 yen.\Episode Fifteen\Memories of Betrayal response:	in an Amber Smile...
context: In that case, I'll also...\You don't have to go.\Why not?\Is she meeting with someone, by chance?\That'll be 480 yen.\Episode Fifteen\Memories of Betrayal\in an Amber Smile... response:	(Part One)
context: You don't have to go.\Why not?\Is she meeting with someone, by chance?\That'll be 480 yen.\Episode Fifteen\Memories of Betrayal\in an Amber Smile...\(Part One) response:	Of course,
context: Why not?\Is she meeting with someone, by chance?\That'll be 480 yen.\Episode Fifteen\Memories of Betrayal\in an Amber Smile...\(Part One)\Of course, response:	just because the solar maximum is occurring doesn't mean the phenomenon that took place in South America will occur here.
context: Is she meeting with someone, by chance?\That'll be 480 yen.\Episode Fifteen\Memories of Betrayal\in an Amber Smile...\(Part One)\Of course,\just because the solar maximum is occurring doesn't mean the phenomenon that took place in South America will occur here. response:	That's true,
context: That'll be 480 yen.\Episode Fifteen\Memories of Betrayal\in an Amber Smile...\(Part One)\Of course,\just because the solar maximum is occurring doesn't mean the phenomenon that took place in South America will occur here.\That's true, response:	or Tokyo would have disappeared several times.
context: Episode Fifteen\Memories of Betrayal\in an Amber Smile...\(Part One)\Of course,\just because the solar maximum is occurring doesn't mean the phenomenon that took place in South America will occur here.\That's true,\or Tokyo would have disappeared several times. response:	However, I do consider it to be one of the indicators for preliminary activity.
