context: Why do you dig? response:	Because a new world awaits on the other side.
context: The Book of Twin Stars?\I've heard of it.\According to the legend, whoever holds that book can take full control of the forbidden Aquarion.\The green cat is right.\Neo-Deava has been looking for this thing since it was founded.\How did you find it, then?\Yeah, where was it?\You see, I was digging a hole to response:	Look, that's not important right now.
context: I've heard of it.\According to the legend, whoever holds that book can take full control of the forbidden Aquarion.\The green cat is right.\Neo-Deava has been looking for this thing since it was founded.\How did you find it, then?\Yeah, where was it?\You see, I was digging a hole to\Look, that's not important right now. response:	Chairman Crea!
context: According to the legend, whoever holds that book can take full control of the forbidden Aquarion.\The green cat is right.\Neo-Deava has been looking for this thing since it was founded.\How did you find it, then?\Yeah, where was it?\You see, I was digging a hole to\Look, that's not important right now.\Chairman Crea! response:	Isn't it time you told us the truth?
context: The green cat is right.\Neo-Deava has been looking for this thing since it was founded.\How did you find it, then?\Yeah, where was it?\You see, I was digging a hole to\Look, that's not important right now.\Chairman Crea!\Isn't it time you told us the truth? response:	What do you mean?
context: Neo-Deava has been looking for this thing since it was founded.\How did you find it, then?\Yeah, where was it?\You see, I was digging a hole to\Look, that's not important right now.\Chairman Crea!\Isn't it time you told us the truth?\What do you mean? response:	You must have found something important if you've returned from your journey.
context: How did you find it, then?\Yeah, where was it?\You see, I was digging a hole to\Look, that's not important right now.\Chairman Crea!\Isn't it time you told us the truth?\What do you mean?\You must have found something important if you've returned from your journey. response:	Important?
context: Yeah, where was it?\You see, I was digging a hole to\Look, that's not important right now.\Chairman Crea!\Isn't it time you told us the truth?\What do you mean?\You must have found something important if you've returned from your journey.\Important? response:	Oh, I forgot!
context: You see, I was digging a hole to\Look, that's not important right now.\Chairman Crea!\Isn't it time you told us the truth?\What do you mean?\You must have found something important if you've returned from your journey.\Important?\Oh, I forgot! response:	This is for everyone to share.
context: Look, that's not important right now.\Chairman Crea!\Isn't it time you told us the truth?\What do you mean?\You must have found something important if you've returned from your journey.\Important?\Oh, I forgot!\This is for everyone to share. response:	That's not what we mean!
context: Chairman Crea!\Isn't it time you told us the truth?\What do you mean?\You must have found something important if you've returned from your journey.\Important?\Oh, I forgot!\This is for everyone to share.\That's not what we mean! response:	Don't you like it?
context: Isn't it time you told us the truth?\What do you mean?\You must have found something important if you've returned from your journey.\Important?\Oh, I forgot!\This is for everyone to share.\That's not what we mean!\Don't you like it? response:	That's not the issue here!
context: What do you mean?\You must have found something important if you've returned from your journey.\Important?\Oh, I forgot!\This is for everyone to share.\That's not what we mean!\Don't you like it?\That's not the issue here! response:	They cannot see it with their eyes.
context: You must have found something important if you've returned from your journey.\Important?\Oh, I forgot!\This is for everyone to share.\That's not what we mean!\Don't you like it?\That's not the issue here!\They cannot see it with their eyes. response:	The book will only open for eyes that cannot see.
context: Important?\Oh, I forgot!\This is for everyone to share.\That's not what we mean!\Don't you like it?\That's not the issue here!\They cannot see it with their eyes.\The book will only open for eyes that cannot see. response:	So if the verb is conjugated like so...
context: Oh, I forgot!\This is for everyone to share.\That's not what we mean!\Don't you like it?\That's not the issue here!\They cannot see it with their eyes.\The book will only open for eyes that cannot see.\So if the verb is conjugated like so... response:	R, ry... ribbit ribbit? What does that mean?
context: This is for everyone to share.\That's not what we mean!\Don't you like it?\That's not the issue here!\They cannot see it with their eyes.\The book will only open for eyes that cannot see.\So if the verb is conjugated like so...\R, ry... ribbit ribbit? What does that mean? response:	Damn it, why didn't I pay attention in lit class?
context: That's not what we mean!\Don't you like it?\That's not the issue here!\They cannot see it with their eyes.\The book will only open for eyes that cannot see.\So if the verb is conjugated like so...\R, ry... ribbit ribbit? What does that mean?\Damn it, why didn't I pay attention in lit class? response:	Dude, Amata, help me out here.
context: Don't you like it?\That's not the issue here!\They cannot see it with their eyes.\The book will only open for eyes that cannot see.\So if the verb is conjugated like so...\R, ry... ribbit ribbit? What does that mean?\Damn it, why didn't I pay attention in lit class?\Dude, Amata, help me out here. response:	Kay.
context: That's not the issue here!\They cannot see it with their eyes.\The book will only open for eyes that cannot see.\So if the verb is conjugated like so...\R, ry... ribbit ribbit? What does that mean?\Damn it, why didn't I pay attention in lit class?\Dude, Amata, help me out here.\Kay. response:	Um, d... dig... digging?
context: They cannot see it with their eyes.\The book will only open for eyes that cannot see.\So if the verb is conjugated like so...\R, ry... ribbit ribbit? What does that mean?\Damn it, why didn't I pay attention in lit class?\Dude, Amata, help me out here.\Kay.\Um, d... dig... digging? response:	I have to tell him I'm sorry.
context: The book will only open for eyes that cannot see.\So if the verb is conjugated like so...\R, ry... ribbit ribbit? What does that mean?\Damn it, why didn't I pay attention in lit class?\Dude, Amata, help me out here.\Kay.\Um, d... dig... digging?\I have to tell him I'm sorry. response:	Mikono's sorry for what?
context: So if the verb is conjugated like so...\R, ry... ribbit ribbit? What does that mean?\Damn it, why didn't I pay attention in lit class?\Dude, Amata, help me out here.\Kay.\Um, d... dig... digging?\I have to tell him I'm sorry.\Mikono's sorry for what? response:	This is how it's done!
context: R, ry... ribbit ribbit? What does that mean?\Damn it, why didn't I pay attention in lit class?\Dude, Amata, help me out here.\Kay.\Um, d... dig... digging?\I have to tell him I'm sorry.\Mikono's sorry for what?\This is how it's done! response:	What are you doing?
context: Damn it, why didn't I pay attention in lit class?\Dude, Amata, help me out here.\Kay.\Um, d... dig... digging?\I have to tell him I'm sorry.\Mikono's sorry for what?\This is how it's done!\What are you doing? response:	Socks must be white!
context: Dude, Amata, help me out here.\Kay.\Um, d... dig... digging?\I have to tell him I'm sorry.\Mikono's sorry for what?\This is how it's done!\What are you doing?\Socks must be white! response:	What?
context: Kay.\Um, d... dig... digging?\I have to tell him I'm sorry.\Mikono's sorry for what?\This is how it's done!\What are you doing?\Socks must be white!\What? response:	It's the first line. He spent all night on it.
context: Um, d... dig... digging?\I have to tell him I'm sorry.\Mikono's sorry for what?\This is how it's done!\What are you doing?\Socks must be white!\What?\It's the first line. He spent all night on it. response:	This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential.
context: I have to tell him I'm sorry.\Mikono's sorry for what?\This is how it's done!\What are you doing?\Socks must be white!\What?\It's the first line. He spent all night on it.\This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential. response:	What do socks have to do with Aquarion?
context: Mikono's sorry for what?\This is how it's done!\What are you doing?\Socks must be white!\What?\It's the first line. He spent all night on it.\This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential.\What do socks have to do with Aquarion? response:	Well, this is just my hypothesis, but...
context: This is how it's done!\What are you doing?\Socks must be white!\What?\It's the first line. He spent all night on it.\This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential.\What do socks have to do with Aquarion?\Well, this is just my hypothesis, but... response:	The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage.
context: What are you doing?\Socks must be white!\What?\It's the first line. He spent all night on it.\This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential.\What do socks have to do with Aquarion?\Well, this is just my hypothesis, but...\The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage. response:	This shows us that feet are one of the most important things that regulate our bodies.
context: Socks must be white!\What?\It's the first line. He spent all night on it.\This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential.\What do socks have to do with Aquarion?\Well, this is just my hypothesis, but...\The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage.\This shows us that feet are one of the most important things that regulate our bodies. response:	The color of the cloth that wraps such an vital center of the body is a deep matter.
context: What?\It's the first line. He spent all night on it.\This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential.\What do socks have to do with Aquarion?\Well, this is just my hypothesis, but...\The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage.\This shows us that feet are one of the most important things that regulate our bodies.\The color of the cloth that wraps such an vital center of the body is a deep matter. response:	Cloth wrapping vital parts, you say?
context: It's the first line. He spent all night on it.\This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential.\What do socks have to do with Aquarion?\Well, this is just my hypothesis, but...\The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage.\This shows us that feet are one of the most important things that regulate our bodies.\The color of the cloth that wraps such an vital center of the body is a deep matter.\Cloth wrapping vital parts, you say? response:	It's got a teal border.
context: This is Chapter 23, verse 1 of the way to unlocking Aquarion's full potential.\What do socks have to do with Aquarion?\Well, this is just my hypothesis, but...\The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage.\This shows us that feet are one of the most important things that regulate our bodies.\The color of the cloth that wraps such an vital center of the body is a deep matter.\Cloth wrapping vital parts, you say?\It's got a teal border. response:	What color do you think I'm wearing?
context: What do socks have to do with Aquarion?\Well, this is just my hypothesis, but...\The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage.\This shows us that feet are one of the most important things that regulate our bodies.\The color of the cloth that wraps such an vital center of the body is a deep matter.\Cloth wrapping vital parts, you say?\It's got a teal border.\What color do you think I'm wearing? response:	Come on, you guys, this is serious!
context: Well, this is just my hypothesis, but...\The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage.\This shows us that feet are one of the most important things that regulate our bodies.\The color of the cloth that wraps such an vital center of the body is a deep matter.\Cloth wrapping vital parts, you say?\It's got a teal border.\What color do you think I'm wearing?\Come on, you guys, this is serious! response:	We're talking about ancient documents here!
context: The wisdom of ancient wrestlers states that fighters who lost their shoes were at a disadvantage.\This shows us that feet are one of the most important things that regulate our bodies.\The color of the cloth that wraps such an vital center of the body is a deep matter.\Cloth wrapping vital parts, you say?\It's got a teal border.\What color do you think I'm wearing?\Come on, you guys, this is serious!\We're talking about ancient documents here! response:	Huh?
context: This shows us that feet are one of the most important things that regulate our bodies.\The color of the cloth that wraps such an vital center of the body is a deep matter.\Cloth wrapping vital parts, you say?\It's got a teal border.\What color do you think I'm wearing?\Come on, you guys, this is serious!\We're talking about ancient documents here!\Huh? response:	What do people see in her?
context: The color of the cloth that wraps such an vital center of the body is a deep matter.\Cloth wrapping vital parts, you say?\It's got a teal border.\What color do you think I'm wearing?\Come on, you guys, this is serious!\We're talking about ancient documents here!\Huh?\What do people see in her? response:	What's this about ancient documents?
context: Cloth wrapping vital parts, you say?\It's got a teal border.\What color do you think I'm wearing?\Come on, you guys, this is serious!\We're talking about ancient documents here!\Huh?\What do people see in her?\What's this about ancient documents? response:	Andy says he found one.
context: It's got a teal border.\What color do you think I'm wearing?\Come on, you guys, this is serious!\We're talking about ancient documents here!\Huh?\What do people see in her?\What's this about ancient documents?\Andy says he found one. response:	Let me see it.
context: What color do you think I'm wearing?\Come on, you guys, this is serious!\We're talking about ancient documents here!\Huh?\What do people see in her?\What's this about ancient documents?\Andy says he found one.\Let me see it. response:	Here...
context: Come on, you guys, this is serious!\We're talking about ancient documents here!\Huh?\What do people see in her?\What's this about ancient documents?\Andy says he found one.\Let me see it.\Here... response:	Mix, can you read that?
context: We're talking about ancient documents here!\Huh?\What do people see in her?\What's this about ancient documents?\Andy says he found one.\Let me see it.\Here...\Mix, can you read that? response:	Ancient literature is my thing.
context: Huh?\What do people see in her?\What's this about ancient documents?\Andy says he found one.\Let me see it.\Here...\Mix, can you read that?\Ancient literature is my thing. response:	Um... Top buttons must be buttoned.
context: What do people see in her?\What's this about ancient documents?\Andy says he found one.\Let me see it.\Here...\Mix, can you read that?\Ancient literature is my thing.\Um... Top buttons must be buttoned. response:	What?
context: What's this about ancient documents?\Andy says he found one.\Let me see it.\Here...\Mix, can you read that?\Ancient literature is my thing.\Um... Top buttons must be buttoned.\What? response:	Top buttons?
context: Andy says he found one.\Let me see it.\Here...\Mix, can you read that?\Ancient literature is my thing.\Um... Top buttons must be buttoned.\What?\Top buttons? response:	No hair that grows past the eyebrows.
context: Let me see it.\Here...\Mix, can you read that?\Ancient literature is my thing.\Um... Top buttons must be buttoned.\What?\Top buttons?\No hair that grows past the eyebrows. response:	Hair?
context: Here...\Mix, can you read that?\Ancient literature is my thing.\Um... Top buttons must be buttoned.\What?\Top buttons?\No hair that grows past the eyebrows.\Hair? response:	No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls.
context: Mix, can you read that?\Ancient literature is my thing.\Um... Top buttons must be buttoned.\What?\Top buttons?\No hair that grows past the eyebrows.\Hair?\No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls. response:	Wait, aren't these...
context: Ancient literature is my thing.\Um... Top buttons must be buttoned.\What?\Top buttons?\No hair that grows past the eyebrows.\Hair?\No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls.\Wait, aren't these... response:	Ancient school rules. This could be some student's handbook.
context: Um... Top buttons must be buttoned.\What?\Top buttons?\No hair that grows past the eyebrows.\Hair?\No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls.\Wait, aren't these...\Ancient school rules. This could be some student's handbook. response:	What's the matter with him?
context: What?\Top buttons?\No hair that grows past the eyebrows.\Hair?\No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls.\Wait, aren't these...\Ancient school rules. This could be some student's handbook.\What's the matter with him? response:	To find the most powerful Rare Igura.
context: Top buttons?\No hair that grows past the eyebrows.\Hair?\No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls.\Wait, aren't these...\Ancient school rules. This could be some student's handbook.\What's the matter with him?\To find the most powerful Rare Igura. response:	We must go to Vega once more.
context: No hair that grows past the eyebrows.\Hair?\No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls.\Wait, aren't these...\Ancient school rules. This could be some student's handbook.\What's the matter with him?\To find the most powerful Rare Igura.\We must go to Vega once more. response:	We have found many Rare Iguras thus far, but the dimensional transference
context: Hair?\No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls.\Wait, aren't these...\Ancient school rules. This could be some student's handbook.\What's the matter with him?\To find the most powerful Rare Igura.\We must go to Vega once more.\We have found many Rare Iguras thus far, but the dimensional transference response:	has either killed them or made them useless to us.
context: No dyed hair. Skirts must reach at least 5cm below the knee. No running in the halls.\Wait, aren't these...\Ancient school rules. This could be some student's handbook.\What's the matter with him?\To find the most powerful Rare Igura.\We must go to Vega once more.\We have found many Rare Iguras thus far, but the dimensional transference\has either killed them or made them useless to us. response:	I'd be happy with just Alisia.
context: Wait, aren't these...\Ancient school rules. This could be some student's handbook.\What's the matter with him?\To find the most powerful Rare Igura.\We must go to Vega once more.\We have found many Rare Iguras thus far, but the dimensional transference\has either killed them or made them useless to us.\I'd be happy with just Alisia. response:	Jin, this is about the fate of all Altair.
context: Ancient school rules. This could be some student's handbook.\What's the matter with him?\To find the most powerful Rare Igura.\We must go to Vega once more.\We have found many Rare Iguras thus far, but the dimensional transference\has either killed them or made them useless to us.\I'd be happy with just Alisia.\Jin, this is about the fate of all Altair. response:	At first, baby girls quit being born on our planet.
context: What's the matter with him?\To find the most powerful Rare Igura.\We must go to Vega once more.\We have found many Rare Iguras thus far, but the dimensional transference\has either killed them or made them useless to us.\I'd be happy with just Alisia.\Jin, this is about the fate of all Altair.\At first, baby girls quit being born on our planet. response:	Then our women began dying due to an unknown disease.
context: To find the most powerful Rare Igura.\We must go to Vega once more.\We have found many Rare Iguras thus far, but the dimensional transference\has either killed them or made them useless to us.\I'd be happy with just Alisia.\Jin, this is about the fate of all Altair.\At first, baby girls quit being born on our planet.\Then our women began dying due to an unknown disease. response:	Eventually, only men remained on Altair.
context: We must go to Vega once more.\We have found many Rare Iguras thus far, but the dimensional transference\has either killed them or made them useless to us.\I'd be happy with just Alisia.\Jin, this is about the fate of all Altair.\At first, baby girls quit being born on our planet.\Then our women began dying due to an unknown disease.\Eventually, only men remained on Altair. response:	This is not an invasion of Vega.
context: We have found many Rare Iguras thus far, but the dimensional transference\has either killed them or made them useless to us.\I'd be happy with just Alisia.\Jin, this is about the fate of all Altair.\At first, baby girls quit being born on our planet.\Then our women began dying due to an unknown disease.\Eventually, only men remained on Altair.\This is not an invasion of Vega. response:	We mean only to ensure the survival of our species.
context: has either killed them or made them useless to us.\I'd be happy with just Alisia.\Jin, this is about the fate of all Altair.\At first, baby girls quit being born on our planet.\Then our women began dying due to an unknown disease.\Eventually, only men remained on Altair.\This is not an invasion of Vega.\We mean only to ensure the survival of our species. response:	We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact,
context: I'd be happy with just Alisia.\Jin, this is about the fate of all Altair.\At first, baby girls quit being born on our planet.\Then our women began dying due to an unknown disease.\Eventually, only men remained on Altair.\This is not an invasion of Vega.\We mean only to ensure the survival of our species.\We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact, response:	and make her into our true Eve,
context: Jin, this is about the fate of all Altair.\At first, baby girls quit being born on our planet.\Then our women began dying due to an unknown disease.\Eventually, only men remained on Altair.\This is not an invasion of Vega.\We mean only to ensure the survival of our species.\We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact,\and make her into our true Eve, response:	the bride who will bear the next generation of Altair.
context: At first, baby girls quit being born on our planet.\Then our women began dying due to an unknown disease.\Eventually, only men remained on Altair.\This is not an invasion of Vega.\We mean only to ensure the survival of our species.\We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact,\and make her into our true Eve,\the bride who will bear the next generation of Altair. response:	There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel.
context: Then our women began dying due to an unknown disease.\Eventually, only men remained on Altair.\This is not an invasion of Vega.\We mean only to ensure the survival of our species.\We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact,\and make her into our true Eve,\the bride who will bear the next generation of Altair.\There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel. response:	I understand, High Commander Izumo.
context: Eventually, only men remained on Altair.\This is not an invasion of Vega.\We mean only to ensure the survival of our species.\We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact,\and make her into our true Eve,\the bride who will bear the next generation of Altair.\There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel.\I understand, High Commander Izumo. response:	I'll go down there myself this time instead of piloting by remote.
context: This is not an invasion of Vega.\We mean only to ensure the survival of our species.\We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact,\and make her into our true Eve,\the bride who will bear the next generation of Altair.\There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel.\I understand, High Commander Izumo.\I'll go down there myself this time instead of piloting by remote. response:	Go, Jin.
context: We mean only to ensure the survival of our species.\We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact,\and make her into our true Eve,\the bride who will bear the next generation of Altair.\There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel.\I understand, High Commander Izumo.\I'll go down there myself this time instead of piloting by remote.\Go, Jin. response:	Last son of Altair.
context: We must find the most powerful Rare Igura, strong enough to survive interdimensional travel intact,\and make her into our true Eve,\the bride who will bear the next generation of Altair.\There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel.\I understand, High Commander Izumo.\I'll go down there myself this time instead of piloting by remote.\Go, Jin.\Last son of Altair. response:	I'll dial up the optical sensors...
context: and make her into our true Eve,\the bride who will bear the next generation of Altair.\There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel.\I understand, High Commander Izumo.\I'll go down there myself this time instead of piloting by remote.\Go, Jin.\Last son of Altair.\I'll dial up the optical sensors... response:	and I'll focus on solid ammo so I don't end up like last time.
