context: In the end, the majority decided that Steel Lady Nanase was fiction. response:	Sakuragawa Rikka's schemes have been rejected.
context: is Kuro-kun, who has the same ability.\And she's the only one who'd do something like this.\Honestly, Rikka-san. I've asked you so many times not to call me by my first name.\Do you not like Kotoko?\It's hard for me to say myself, and I think others have a hard time, as well.\And because of that, it doesn't feel right when people say it.\That's why I have Kuro-senpai call me by my surname.\Oh, so that's why he calls you by your surname even though you're going out. response:	Did you doubt that we were actually dating?
context: And she's the only one who'd do something like this.\Honestly, Rikka-san. I've asked you so many times not to call me by my first name.\Do you not like Kotoko?\It's hard for me to say myself, and I think others have a hard time, as well.\And because of that, it doesn't feel right when people say it.\That's why I have Kuro-senpai call me by my surname.\Oh, so that's why he calls you by your surname even though you're going out.\Did you doubt that we were actually dating? response:	I told you that from the start.
context: Honestly, Rikka-san. I've asked you so many times not to call me by my first name.\Do you not like Kotoko?\It's hard for me to say myself, and I think others have a hard time, as well.\And because of that, it doesn't feel right when people say it.\That's why I have Kuro-senpai call me by my surname.\Oh, so that's why he calls you by your surname even though you're going out.\Did you doubt that we were actually dating?\I told you that from the start. response:	More importantly, Rikka-san said this time.
context: Do you not like Kotoko?\It's hard for me to say myself, and I think others have a hard time, as well.\And because of that, it doesn't feel right when people say it.\That's why I have Kuro-senpai call me by my surname.\Oh, so that's why he calls you by your surname even though you're going out.\Did you doubt that we were actually dating?\I told you that from the start.\More importantly, Rikka-san said this time. response:	I'm sure she intends to make another monster of the imagination.
context: It's hard for me to say myself, and I think others have a hard time, as well.\And because of that, it doesn't feel right when people say it.\That's why I have Kuro-senpai call me by my surname.\Oh, so that's why he calls you by your surname even though you're going out.\Did you doubt that we were actually dating?\I told you that from the start.\More importantly, Rikka-san said this time.\I'm sure she intends to make another monster of the imagination. response:	This isn't enough to dissuade her, either.
context: And because of that, it doesn't feel right when people say it.\That's why I have Kuro-senpai call me by my surname.\Oh, so that's why he calls you by your surname even though you're going out.\Did you doubt that we were actually dating?\I told you that from the start.\More importantly, Rikka-san said this time.\I'm sure she intends to make another monster of the imagination.\This isn't enough to dissuade her, either. response:	Why is Rikka-san doing this?
context: That's why I have Kuro-senpai call me by my surname.\Oh, so that's why he calls you by your surname even though you're going out.\Did you doubt that we were actually dating?\I told you that from the start.\More importantly, Rikka-san said this time.\I'm sure she intends to make another monster of the imagination.\This isn't enough to dissuade her, either.\Why is Rikka-san doing this? response:	People's imaginations hold an endless amount of potential.
context: Oh, so that's why he calls you by your surname even though you're going out.\Did you doubt that we were actually dating?\I told you that from the start.\More importantly, Rikka-san said this time.\I'm sure she intends to make another monster of the imagination.\This isn't enough to dissuade her, either.\Why is Rikka-san doing this?\People's imaginations hold an endless amount of potential. response:	They can create yokai, ghosts, and demons.
context: Did you doubt that we were actually dating?\I told you that from the start.\More importantly, Rikka-san said this time.\I'm sure she intends to make another monster of the imagination.\This isn't enough to dissuade her, either.\Why is Rikka-san doing this?\People's imaginations hold an endless amount of potential.\They can create yokai, ghosts, and demons. response:	We give life to monsters without even realizing it.
context: I told you that from the start.\More importantly, Rikka-san said this time.\I'm sure she intends to make another monster of the imagination.\This isn't enough to dissuade her, either.\Why is Rikka-san doing this?\People's imaginations hold an endless amount of potential.\They can create yokai, ghosts, and demons.\We give life to monsters without even realizing it. response:	And if that's true, then anything is possible.
context: More importantly, Rikka-san said this time.\I'm sure she intends to make another monster of the imagination.\This isn't enough to dissuade her, either.\Why is Rikka-san doing this?\People's imaginations hold an endless amount of potential.\They can create yokai, ghosts, and demons.\We give life to monsters without even realizing it.\And if that's true, then anything is possible. response:	You might even be able to create a god.
context: I'm sure she intends to make another monster of the imagination.\This isn't enough to dissuade her, either.\Why is Rikka-san doing this?\People's imaginations hold an endless amount of potential.\They can create yokai, ghosts, and demons.\We give life to monsters without even realizing it.\And if that's true, then anything is possible.\You might even be able to create a god. response:	B-But that's...
context: This isn't enough to dissuade her, either.\Why is Rikka-san doing this?\People's imaginations hold an endless amount of potential.\They can create yokai, ghosts, and demons.\We give life to monsters without even realizing it.\And if that's true, then anything is possible.\You might even be able to create a god.\B-But that's... response:	That's not an answer at all.
context: Why is Rikka-san doing this?\People's imaginations hold an endless amount of potential.\They can create yokai, ghosts, and demons.\We give life to monsters without even realizing it.\And if that's true, then anything is possible.\You might even be able to create a god.\B-But that's...\That's not an answer at all. response:	What's the point in creating a god?
context: People's imaginations hold an endless amount of potential.\They can create yokai, ghosts, and demons.\We give life to monsters without even realizing it.\And if that's true, then anything is possible.\You might even be able to create a god.\B-But that's...\That's not an answer at all.\What's the point in creating a god? response:	Good work out there!
context: They can create yokai, ghosts, and demons.\We give life to monsters without even realizing it.\And if that's true, then anything is possible.\You might even be able to create a god.\B-But that's...\That's not an answer at all.\What's the point in creating a god?\Good work out there! response:	After dying and coming back to life so many times, I'm sure you're out of energy.
context: We give life to monsters without even realizing it.\And if that's true, then anything is possible.\You might even be able to create a god.\B-But that's...\That's not an answer at all.\What's the point in creating a god?\Good work out there!\After dying and coming back to life so many times, I'm sure you're out of energy. response:	You must replenish your nutrients at once. Eat this.
context: And if that's true, then anything is possible.\You might even be able to create a god.\B-But that's...\That's not an answer at all.\What's the point in creating a god?\Good work out there!\After dying and coming back to life so many times, I'm sure you're out of energy.\You must replenish your nutrients at once. Eat this. response:	You're the one who needs nourishment.
context: You might even be able to create a god.\B-But that's...\That's not an answer at all.\What's the point in creating a god?\Good work out there!\After dying and coming back to life so many times, I'm sure you're out of energy.\You must replenish your nutrients at once. Eat this.\You're the one who needs nourishment. response:	You created so many possibilities and futures,
context: B-But that's...\That's not an answer at all.\What's the point in creating a god?\Good work out there!\After dying and coming back to life so many times, I'm sure you're out of energy.\You must replenish your nutrients at once. Eat this.\You're the one who needs nourishment.\You created so many possibilities and futures, response:	and had me grasp them. I know how much energy that takes.
context: That's not an answer at all.\What's the point in creating a god?\Good work out there!\After dying and coming back to life so many times, I'm sure you're out of energy.\You must replenish your nutrients at once. Eat this.\You're the one who needs nourishment.\You created so many possibilities and futures,\and had me grasp them. I know how much energy that takes. response:	Now, don't be like that. Just eat.
context: What's the point in creating a god?\Good work out there!\After dying and coming back to life so many times, I'm sure you're out of energy.\You must replenish your nutrients at once. Eat this.\You're the one who needs nourishment.\You created so many possibilities and futures,\and had me grasp them. I know how much energy that takes.\Now, don't be like that. Just eat. response:	I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human.
context: Good work out there!\After dying and coming back to life so many times, I'm sure you're out of energy.\You must replenish your nutrients at once. Eat this.\You're the one who needs nourishment.\You created so many possibilities and futures,\and had me grasp them. I know how much energy that takes.\Now, don't be like that. Just eat.\I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human. response:	I only ask that I get to partake of your banana later, Kuro-senpai.
context: After dying and coming back to life so many times, I'm sure you're out of energy.\You must replenish your nutrients at once. Eat this.\You're the one who needs nourishment.\You created so many possibilities and futures,\and had me grasp them. I know how much energy that takes.\Now, don't be like that. Just eat.\I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human.\I only ask that I get to partake of your banana later, Kuro-senpai. response:	Please... I'm begging you...
context: You must replenish your nutrients at once. Eat this.\You're the one who needs nourishment.\You created so many possibilities and futures,\and had me grasp them. I know how much energy that takes.\Now, don't be like that. Just eat.\I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human.\I only ask that I get to partake of your banana later, Kuro-senpai.\Please... I'm begging you... response:	Don't make vulgar jokes like that at a time like this.
context: You're the one who needs nourishment.\You created so many possibilities and futures,\and had me grasp them. I know how much energy that takes.\Now, don't be like that. Just eat.\I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human.\I only ask that I get to partake of your banana later, Kuro-senpai.\Please... I'm begging you...\Don't make vulgar jokes like that at a time like this. response:	Oh, blessed day! That accursed Steel Lady is gone!
context: You created so many possibilities and futures,\and had me grasp them. I know how much energy that takes.\Now, don't be like that. Just eat.\I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human.\I only ask that I get to partake of your banana later, Kuro-senpai.\Please... I'm begging you...\Don't make vulgar jokes like that at a time like this.\Oh, blessed day! That accursed Steel Lady is gone! response:	Hooray! Hooray! Hooray! Hooray!
context: and had me grasp them. I know how much energy that takes.\Now, don't be like that. Just eat.\I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human.\I only ask that I get to partake of your banana later, Kuro-senpai.\Please... I'm begging you...\Don't make vulgar jokes like that at a time like this.\Oh, blessed day! That accursed Steel Lady is gone!\Hooray! Hooray! Hooray! Hooray! response:	Hooray for our lady!
context: Now, don't be like that. Just eat.\I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human.\I only ask that I get to partake of your banana later, Kuro-senpai.\Please... I'm begging you...\Don't make vulgar jokes like that at a time like this.\Oh, blessed day! That accursed Steel Lady is gone!\Hooray! Hooray! Hooray! Hooray!\Hooray for our lady! response:	Let's hurry back home.
context: I'm sure it'll put Saki-san at ease, too, if she sees you eating like a human.\I only ask that I get to partake of your banana later, Kuro-senpai.\Please... I'm begging you...\Don't make vulgar jokes like that at a time like this.\Oh, blessed day! That accursed Steel Lady is gone!\Hooray! Hooray! Hooray! Hooray!\Hooray for our lady!\Let's hurry back home. response:	Aw...
context: I only ask that I get to partake of your banana later, Kuro-senpai.\Please... I'm begging you...\Don't make vulgar jokes like that at a time like this.\Oh, blessed day! That accursed Steel Lady is gone!\Hooray! Hooray! Hooray! Hooray!\Hooray for our lady!\Let's hurry back home.\Aw... response:	Why not let me enjoy the praise a little longer?
context: Please... I'm begging you...\Don't make vulgar jokes like that at a time like this.\Oh, blessed day! That accursed Steel Lady is gone!\Hooray! Hooray! Hooray! Hooray!\Hooray for our lady!\Let's hurry back home.\Aw...\Why not let me enjoy the praise a little longer? response:	It looks like Saki-san's about to pass out.
context: Don't make vulgar jokes like that at a time like this.\Oh, blessed day! That accursed Steel Lady is gone!\Hooray! Hooray! Hooray! Hooray!\Hooray for our lady!\Let's hurry back home.\Aw...\Why not let me enjoy the praise a little longer?\It looks like Saki-san's about to pass out. response:	I'm sorry, Saki-san.
context: Oh, blessed day! That accursed Steel Lady is gone!\Hooray! Hooray! Hooray! Hooray!\Hooray for our lady!\Let's hurry back home.\Aw...\Why not let me enjoy the praise a little longer?\It looks like Saki-san's about to pass out.\I'm sorry, Saki-san. response:	If I'd tried to stop Rikka-san earlier,
context: Hooray! Hooray! Hooray! Hooray!\Hooray for our lady!\Let's hurry back home.\Aw...\Why not let me enjoy the praise a little longer?\It looks like Saki-san's about to pass out.\I'm sorry, Saki-san.\If I'd tried to stop Rikka-san earlier, response:	we might've been able to deal with this before Terada-san was killed.
context: Hooray for our lady!\Let's hurry back home.\Aw...\Why not let me enjoy the praise a little longer?\It looks like Saki-san's about to pass out.\I'm sorry, Saki-san.\If I'd tried to stop Rikka-san earlier,\we might've been able to deal with this before Terada-san was killed. response:	I'm sure neither of you could have
context: Let's hurry back home.\Aw...\Why not let me enjoy the praise a little longer?\It looks like Saki-san's about to pass out.\I'm sorry, Saki-san.\If I'd tried to stop Rikka-san earlier,\we might've been able to deal with this before Terada-san was killed.\I'm sure neither of you could have response:	predicted that something like this would happen.
context: Aw...\Why not let me enjoy the praise a little longer?\It looks like Saki-san's about to pass out.\I'm sorry, Saki-san.\If I'd tried to stop Rikka-san earlier,\we might've been able to deal with this before Terada-san was killed.\I'm sure neither of you could have\predicted that something like this would happen. response:	So it was out of all of our hands.
context: Why not let me enjoy the praise a little longer?\It looks like Saki-san's about to pass out.\I'm sorry, Saki-san.\If I'd tried to stop Rikka-san earlier,\we might've been able to deal with this before Terada-san was killed.\I'm sure neither of you could have\predicted that something like this would happen.\So it was out of all of our hands. response:	Your ability to determine the future
context: It looks like Saki-san's about to pass out.\I'm sorry, Saki-san.\If I'd tried to stop Rikka-san earlier,\we might've been able to deal with this before Terada-san was killed.\I'm sure neither of you could have\predicted that something like this would happen.\So it was out of all of our hands.\Your ability to determine the future response:	isn't exactly powerful enough to save everyone.
context: I'm sorry, Saki-san.\If I'd tried to stop Rikka-san earlier,\we might've been able to deal with this before Terada-san was killed.\I'm sure neither of you could have\predicted that something like this would happen.\So it was out of all of our hands.\Your ability to determine the future\isn't exactly powerful enough to save everyone. response:	There are very few people who believe in
context: If I'd tried to stop Rikka-san earlier,\we might've been able to deal with this before Terada-san was killed.\I'm sure neither of you could have\predicted that something like this would happen.\So it was out of all of our hands.\Your ability to determine the future\isn't exactly powerful enough to save everyone.\There are very few people who believe in response:	and speak of the spectre Steel Lady Nanase anymore.
context: we might've been able to deal with this before Terada-san was killed.\I'm sure neither of you could have\predicted that something like this would happen.\So it was out of all of our hands.\Your ability to determine the future\isn't exactly powerful enough to save everyone.\There are very few people who believe in\and speak of the spectre Steel Lady Nanase anymore. response:	Steel Lady Nanase Wiki Site
context: I'm sure neither of you could have\predicted that something like this would happen.\So it was out of all of our hands.\Your ability to determine the future\isn't exactly powerful enough to save everyone.\There are very few people who believe in\and speak of the spectre Steel Lady Nanase anymore.\Steel Lady Nanase Wiki Site response:	People's interest transferred over to
context: predicted that something like this would happen.\So it was out of all of our hands.\Your ability to determine the future\isn't exactly powerful enough to save everyone.\There are very few people who believe in\and speak of the spectre Steel Lady Nanase anymore.\Steel Lady Nanase Wiki Site\People's interest transferred over to response:	solving the mystery and finding out if Nanase Karin was actually alive.
context: So it was out of all of our hands.\Your ability to determine the future\isn't exactly powerful enough to save everyone.\There are very few people who believe in\and speak of the spectre Steel Lady Nanase anymore.\Steel Lady Nanase Wiki Site\People's interest transferred over to\solving the mystery and finding out if Nanase Karin was actually alive. response:	Steel Lady Nanase Wiki Site
context: Your ability to determine the future\isn't exactly powerful enough to save everyone.\There are very few people who believe in\and speak of the spectre Steel Lady Nanase anymore.\Steel Lady Nanase Wiki Site\People's interest transferred over to\solving the mystery and finding out if Nanase Karin was actually alive.\Steel Lady Nanase Wiki Site response:	Who Is Steel Lady Nanase? kikipedia
context: isn't exactly powerful enough to save everyone.\There are very few people who believe in\and speak of the spectre Steel Lady Nanase anymore.\Steel Lady Nanase Wiki Site\People's interest transferred over to\solving the mystery and finding out if Nanase Karin was actually alive.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia response:	Steel Lady Nanase Urban Legends
context: There are very few people who believe in\and speak of the spectre Steel Lady Nanase anymore.\Steel Lady Nanase Wiki Site\People's interest transferred over to\solving the mystery and finding out if Nanase Karin was actually alive.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends response:	Page not found
context: and speak of the spectre Steel Lady Nanase anymore.\Steel Lady Nanase Wiki Site\People's interest transferred over to\solving the mystery and finding out if Nanase Karin was actually alive.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Page not found response:	Since Rikka-san lost, she deleted the website.
context: Steel Lady Nanase Wiki Site\People's interest transferred over to\solving the mystery and finding out if Nanase Karin was actually alive.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Page not found\Since Rikka-san lost, she deleted the website. response:	Steel Lady Nanase Wiki Site
context: People's interest transferred over to\solving the mystery and finding out if Nanase Karin was actually alive.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Page not found\Since Rikka-san lost, she deleted the website.\Steel Lady Nanase Wiki Site response:	Who Is Steel Lady Nanase? kikipedia
context: solving the mystery and finding out if Nanase Karin was actually alive.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Page not found\Since Rikka-san lost, she deleted the website.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia response:	Steel Lady Nanase Urban Legends
context: Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Page not found\Since Rikka-san lost, she deleted the website.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends response:	Steel Lady Nanase Archive
context: Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Page not found\Since Rikka-san lost, she deleted the website.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Steel Lady Nanase Archive response:	Steel Lady Nanase Wiki Site Wiki
context: Steel Lady Nanase Urban Legends\Page not found\Since Rikka-san lost, she deleted the website.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki response:	The people who witnessed the wave of posts that day
context: Page not found\Since Rikka-san lost, she deleted the website.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\The people who witnessed the wave of posts that day response:	are now talking about a different urban legend now.
context: Since Rikka-san lost, she deleted the website.\Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\The people who witnessed the wave of posts that day\are now talking about a different urban legend now. response:	Steel Lady Nanase Archive
context: Steel Lady Nanase Wiki Site\Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\The people who witnessed the wave of posts that day\are now talking about a different urban legend now.\Steel Lady Nanase Archive response:	Steel Lady Nanase Wiki Site Wiki
context: Who Is Steel Lady Nanase? kikipedia\Steel Lady Nanase Urban Legends\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\The people who witnessed the wave of posts that day\are now talking about a different urban legend now.\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki response:	Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2
context: Steel Lady Nanase Urban Legends\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\The people who witnessed the wave of posts that day\are now talking about a different urban legend now.\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2 response:	The fictional tale about
context: Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\The people who witnessed the wave of posts that day\are now talking about a different urban legend now.\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2\The fictional tale about response:	Nanase Karin being alive and someone else dying in her place.
context: Steel Lady Nanase Wiki Site Wiki\The people who witnessed the wave of posts that day\are now talking about a different urban legend now.\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2\The fictional tale about\Nanase Karin being alive and someone else dying in her place. response:	Was the one who created the Steel Lady Nanase Wiki Site Nanase Karin?
context: The people who witnessed the wave of posts that day\are now talking about a different urban legend now.\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2\The fictional tale about\Nanase Karin being alive and someone else dying in her place.\Was the one who created the Steel Lady Nanase Wiki Site Nanase Karin? response:	List of details regarding the Steel Lady Nanase case
context: are now talking about a different urban legend now.\Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2\The fictional tale about\Nanase Karin being alive and someone else dying in her place.\Was the one who created the Steel Lady Nanase Wiki Site Nanase Karin?\List of details regarding the Steel Lady Nanase case response:	The rumors are so dramatic
context: Steel Lady Nanase Archive\Steel Lady Nanase Wiki Site Wiki\Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2\The fictional tale about\Nanase Karin being alive and someone else dying in her place.\Was the one who created the Steel Lady Nanase Wiki Site Nanase Karin?\List of details regarding the Steel Lady Nanase case\The rumors are so dramatic response:	News about Nanase Karin
context: Steel Lady Nanase Wiki Site Wiki\Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2\The fictional tale about\Nanase Karin being alive and someone else dying in her place.\Was the one who created the Steel Lady Nanase Wiki Site Nanase Karin?\List of details regarding the Steel Lady Nanase case\The rumors are so dramatic\News about Nanase Karin response:	Nanase Karin sightings
context: Steel Lady Nanase Wiki Site Wiki This is a site that has gathered up all of the deductions from the posts made on Steel Lady Nanase's Wiki on 9/4 to analyze them. Was Nanase Karin the killer? What's the Steel Lady Nanase Wiki site? Posted images Screenshot 1 Screenshot 2\The fictional tale about\Nanase Karin being alive and someone else dying in her place.\Was the one who created the Steel Lady Nanase Wiki Site Nanase Karin?\List of details regarding the Steel Lady Nanase case\The rumors are so dramatic\News about Nanase Karin\Nanase Karin sightings response:	that it's hard to speak about them publicly in the real world.
context: The fictional tale about\Nanase Karin being alive and someone else dying in her place.\Was the one who created the Steel Lady Nanase Wiki Site Nanase Karin?\List of details regarding the Steel Lady Nanase case\The rumors are so dramatic\News about Nanase Karin\Nanase Karin sightings\that it's hard to speak about them publicly in the real world. response:	Someone said they saw a girl with big boobs in West Makurazaka on 9/3. Apparently, She was wearing a mask, despite it being summer and seemed worried being noticed.
