context: Sakura-chan isn't with you, is she? response:	We can't find her anywhere!
context: Sakura-chan!\Sakura-chan!\Sakura, where are you?\She's been spirited away.\Grandpa, there's no such thing.\Erika, what's illustrated here isn't fantasy.\It's even said his first victim will be a young child.\I heard she was heading towards the ocean. response:	This is the work of the dragon.
context: Sakura-chan!\Sakura, where are you?\She's been spirited away.\Grandpa, there's no such thing.\Erika, what's illustrated here isn't fantasy.\It's even said his first victim will be a young child.\I heard she was heading towards the ocean.\This is the work of the dragon. response:	Ten-year-old Usami Sakura.
context: Sakura, where are you?\She's been spirited away.\Grandpa, there's no such thing.\Erika, what's illustrated here isn't fantasy.\It's even said his first victim will be a young child.\I heard she was heading towards the ocean.\This is the work of the dragon.\Ten-year-old Usami Sakura. response:	Approximately 144 centimeters tall.
context: She's been spirited away.\Grandpa, there's no such thing.\Erika, what's illustrated here isn't fantasy.\It's even said his first victim will be a young child.\I heard she was heading towards the ocean.\This is the work of the dragon.\Ten-year-old Usami Sakura.\Approximately 144 centimeters tall. response:	What is her connection to JF1?
context: Grandpa, there's no such thing.\Erika, what's illustrated here isn't fantasy.\It's even said his first victim will be a young child.\I heard she was heading towards the ocean.\This is the work of the dragon.\Ten-year-old Usami Sakura.\Approximately 144 centimeters tall.\What is her connection to JF1? response:	I do not know yet.
context: Erika, what's illustrated here isn't fantasy.\It's even said his first victim will be a young child.\I heard she was heading towards the ocean.\This is the work of the dragon.\Ten-year-old Usami Sakura.\Approximately 144 centimeters tall.\What is her connection to JF1?\I do not know yet. response:	We do not know JF1's current location either.
context: It's even said his first victim will be a young child.\I heard she was heading towards the ocean.\This is the work of the dragon.\Ten-year-old Usami Sakura.\Approximately 144 centimeters tall.\What is her connection to JF1?\I do not know yet.\We do not know JF1's current location either. response:	It will be too late if we wait for something to happen.
context: I heard she was heading towards the ocean.\This is the work of the dragon.\Ten-year-old Usami Sakura.\Approximately 144 centimeters tall.\What is her connection to JF1?\I do not know yet.\We do not know JF1's current location either.\It will be too late if we wait for something to happen. response:	We should secure JF1.
context: This is the work of the dragon.\Ten-year-old Usami Sakura.\Approximately 144 centimeters tall.\What is her connection to JF1?\I do not know yet.\We do not know JF1's current location either.\It will be too late if we wait for something to happen.\We should secure JF1. response:	Find the girl first. Hurry.
context: Ten-year-old Usami Sakura.\Approximately 144 centimeters tall.\What is her connection to JF1?\I do not know yet.\We do not know JF1's current location either.\It will be too late if we wait for something to happen.\We should secure JF1.\Find the girl first. Hurry. response:	Tapioca, what should I do?
context: Approximately 144 centimeters tall.\What is her connection to JF1?\I do not know yet.\We do not know JF1's current location either.\It will be too late if we wait for something to happen.\We should secure JF1.\Find the girl first. Hurry.\Tapioca, what should I do? response:	Sorry, everyone.
context: What is her connection to JF1?\I do not know yet.\We do not know JF1's current location either.\It will be too late if we wait for something to happen.\We should secure JF1.\Find the girl first. Hurry.\Tapioca, what should I do?\Sorry, everyone. response:	I won't do it again.
context: I do not know yet.\We do not know JF1's current location either.\It will be too late if we wait for something to happen.\We should secure JF1.\Find the girl first. Hurry.\Tapioca, what should I do?\Sorry, everyone.\I won't do it again. response:	Good.
context: We do not know JF1's current location either.\It will be too late if we wait for something to happen.\We should secure JF1.\Find the girl first. Hurry.\Tapioca, what should I do?\Sorry, everyone.\I won't do it again.\Good. response:	Sakura!
context: It will be too late if we wait for something to happen.\We should secure JF1.\Find the girl first. Hurry.\Tapioca, what should I do?\Sorry, everyone.\I won't do it again.\Good.\Sakura! response:	Where did you go? Sakura!
context: We should secure JF1.\Find the girl first. Hurry.\Tapioca, what should I do?\Sorry, everyone.\I won't do it again.\Good.\Sakura!\Where did you go? Sakura! response:	Nii-chan, watch out!
context: Find the girl first. Hurry.\Tapioca, what should I do?\Sorry, everyone.\I won't do it again.\Good.\Sakura!\Where did you go? Sakura!\Nii-chan, watch out! response:	Come on, Nii-chan. Let's go.
context: Tapioca, what should I do?\Sorry, everyone.\I won't do it again.\Good.\Sakura!\Where did you go? Sakura!\Nii-chan, watch out!\Come on, Nii-chan. Let's go. response:	Sakura!
context: Sorry, everyone.\I won't do it again.\Good.\Sakura!\Where did you go? Sakura!\Nii-chan, watch out!\Come on, Nii-chan. Let's go.\Sakura! response:	Where'd you go?
context: I won't do it again.\Good.\Sakura!\Where did you go? Sakura!\Nii-chan, watch out!\Come on, Nii-chan. Let's go.\Sakura!\Where'd you go? response:	Damn it.
context: Good.\Sakura!\Where did you go? Sakura!\Nii-chan, watch out!\Come on, Nii-chan. Let's go.\Sakura!\Where'd you go?\Damn it. response:	Natsuki, calm down.
context: Sakura!\Where did you go? Sakura!\Nii-chan, watch out!\Come on, Nii-chan. Let's go.\Sakura!\Where'd you go?\Damn it.\Natsuki, calm down. response:	I know!
context: Where did you go? Sakura!\Nii-chan, watch out!\Come on, Nii-chan. Let's go.\Sakura!\Where'd you go?\Damn it.\Natsuki, calm down.\I know! response:	I'm sure we'll find her.
context: Nii-chan, watch out!\Come on, Nii-chan. Let's go.\Sakura!\Where'd you go?\Damn it.\Natsuki, calm down.\I know!\I'm sure we'll find her. response:	I'm sorry for what I said earlier.
context: Come on, Nii-chan. Let's go.\Sakura!\Where'd you go?\Damn it.\Natsuki, calm down.\I know!\I'm sure we'll find her.\I'm sorry for what I said earlier. response:	But, I really do think Sakura-chan was sad.
context: Sakura!\Where'd you go?\Damn it.\Natsuki, calm down.\I know!\I'm sure we'll find her.\I'm sorry for what I said earlier.\But, I really do think Sakura-chan was sad. response:	I think she might have been
context: Where'd you go?\Damn it.\Natsuki, calm down.\I know!\I'm sure we'll find her.\I'm sorry for what I said earlier.\But, I really do think Sakura-chan was sad.\I think she might have been response:	overwhelmed by all her pent-up feelings and sadness.
context: Damn it.\Natsuki, calm down.\I know!\I'm sure we'll find her.\I'm sorry for what I said earlier.\But, I really do think Sakura-chan was sad.\I think she might have been\overwhelmed by all her pent-up feelings and sadness. response:	Are you saying Sakura chose to disappear?
context: Natsuki, calm down.\I know!\I'm sure we'll find her.\I'm sorry for what I said earlier.\But, I really do think Sakura-chan was sad.\I think she might have been\overwhelmed by all her pent-up feelings and sadness.\Are you saying Sakura chose to disappear? response:	That's impossible.
context: I know!\I'm sure we'll find her.\I'm sorry for what I said earlier.\But, I really do think Sakura-chan was sad.\I think she might have been\overwhelmed by all her pent-up feelings and sadness.\Are you saying Sakura chose to disappear?\That's impossible. response:	Sakura would never do that!
context: I'm sure we'll find her.\I'm sorry for what I said earlier.\But, I really do think Sakura-chan was sad.\I think she might have been\overwhelmed by all her pent-up feelings and sadness.\Are you saying Sakura chose to disappear?\That's impossible.\Sakura would never do that! response:	Stop.
context: I'm sorry for what I said earlier.\But, I really do think Sakura-chan was sad.\I think she might have been\overwhelmed by all her pent-up feelings and sadness.\Are you saying Sakura chose to disappear?\That's impossible.\Sakura would never do that!\Stop. response:	I don't know.
context: But, I really do think Sakura-chan was sad.\I think she might have been\overwhelmed by all her pent-up feelings and sadness.\Are you saying Sakura chose to disappear?\That's impossible.\Sakura would never do that!\Stop.\I don't know. response:	I don't know anything about parents or siblings.
context: I think she might have been\overwhelmed by all her pent-up feelings and sadness.\Are you saying Sakura chose to disappear?\That's impossible.\Sakura would never do that!\Stop.\I don't know.\I don't know anything about parents or siblings. response:	My parents are gone.
context: overwhelmed by all her pent-up feelings and sadness.\Are you saying Sakura chose to disappear?\That's impossible.\Sakura would never do that!\Stop.\I don't know.\I don't know anything about parents or siblings.\My parents are gone. response:	I don't think they'll ever come back.
context: Are you saying Sakura chose to disappear?\That's impossible.\Sakura would never do that!\Stop.\I don't know.\I don't know anything about parents or siblings.\My parents are gone.\I don't think they'll ever come back. response:	I'm sure families have a lot to deal with,
context: That's impossible.\Sakura would never do that!\Stop.\I don't know.\I don't know anything about parents or siblings.\My parents are gone.\I don't think they'll ever come back.\I'm sure families have a lot to deal with, response:	but I'm jealous of you.
context: Sakura would never do that!\Stop.\I don't know.\I don't know anything about parents or siblings.\My parents are gone.\I don't think they'll ever come back.\I'm sure families have a lot to deal with,\but I'm jealous of you. response:	I've never laughed or fought with anyone.
context: Stop.\I don't know.\I don't know anything about parents or siblings.\My parents are gone.\I don't think they'll ever come back.\I'm sure families have a lot to deal with,\but I'm jealous of you.\I've never laughed or fought with anyone. response:	I'm sorry I don't understand, but I'm worried, too.
context: I don't know.\I don't know anything about parents or siblings.\My parents are gone.\I don't think they'll ever come back.\I'm sure families have a lot to deal with,\but I'm jealous of you.\I've never laughed or fought with anyone.\I'm sorry I don't understand, but I'm worried, too. response:	Don't act like you're alone.
context: I don't know anything about parents or siblings.\My parents are gone.\I don't think they'll ever come back.\I'm sure families have a lot to deal with,\but I'm jealous of you.\I've never laughed or fought with anyone.\I'm sorry I don't understand, but I'm worried, too.\Don't act like you're alone. response:	Sakura!
context: My parents are gone.\I don't think they'll ever come back.\I'm sure families have a lot to deal with,\but I'm jealous of you.\I've never laughed or fought with anyone.\I'm sorry I don't understand, but I'm worried, too.\Don't act like you're alone.\Sakura! response:	Where'd you go?
context: I don't think they'll ever come back.\I'm sure families have a lot to deal with,\but I'm jealous of you.\I've never laughed or fought with anyone.\I'm sorry I don't understand, but I'm worried, too.\Don't act like you're alone.\Sakura!\Where'd you go? response:	Sakura...
context: I'm sure families have a lot to deal with,\but I'm jealous of you.\I've never laughed or fought with anyone.\I'm sorry I don't understand, but I'm worried, too.\Don't act like you're alone.\Sakura!\Where'd you go?\Sakura... response:	Natsuki.
context: but I'm jealous of you.\I've never laughed or fought with anyone.\I'm sorry I don't understand, but I'm worried, too.\Don't act like you're alone.\Sakura!\Where'd you go?\Sakura...\Natsuki. response:	When searching for someone, you must put yourself in their shoes.
context: I've never laughed or fought with anyone.\I'm sorry I don't understand, but I'm worried, too.\Don't act like you're alone.\Sakura!\Where'd you go?\Sakura...\Natsuki.\When searching for someone, you must put yourself in their shoes. response:	This is nothing more than my personal opinion.
context: I'm sorry I don't understand, but I'm worried, too.\Don't act like you're alone.\Sakura!\Where'd you go?\Sakura...\Natsuki.\When searching for someone, you must put yourself in their shoes.\This is nothing more than my personal opinion. response:	I believe she went to see her mother.
context: Don't act like you're alone.\Sakura!\Where'd you go?\Sakura...\Natsuki.\When searching for someone, you must put yourself in their shoes.\This is nothing more than my personal opinion.\I believe she went to see her mother. response:	What does that mean?
context: Sakura!\Where'd you go?\Sakura...\Natsuki.\When searching for someone, you must put yourself in their shoes.\This is nothing more than my personal opinion.\I believe she went to see her mother.\What does that mean? response:	Think. Only you know the answer.
context: Where'd you go?\Sakura...\Natsuki.\When searching for someone, you must put yourself in their shoes.\This is nothing more than my personal opinion.\I believe she went to see her mother.\What does that mean?\Think. Only you know the answer. response:	I don't care about Onii-chan any more. It's his fault.
context: Sakura...\Natsuki.\When searching for someone, you must put yourself in their shoes.\This is nothing more than my personal opinion.\I believe she went to see her mother.\What does that mean?\Think. Only you know the answer.\I don't care about Onii-chan any more. It's his fault. response:	I won't apologize to him.
context: Natsuki.\When searching for someone, you must put yourself in their shoes.\This is nothing more than my personal opinion.\I believe she went to see her mother.\What does that mean?\Think. Only you know the answer.\I don't care about Onii-chan any more. It's his fault.\I won't apologize to him. response:	Sakura.
context: When searching for someone, you must put yourself in their shoes.\This is nothing more than my personal opinion.\I believe she went to see her mother.\What does that mean?\Think. Only you know the answer.\I don't care about Onii-chan any more. It's his fault.\I won't apologize to him.\Sakura. response:	Onii-chan!
context: This is nothing more than my personal opinion.\I believe she went to see her mother.\What does that mean?\Think. Only you know the answer.\I don't care about Onii-chan any more. It's his fault.\I won't apologize to him.\Sakura.\Onii-chan! response:	I'm... I'm sorry.
context: I believe she went to see her mother.\What does that mean?\Think. Only you know the answer.\I don't care about Onii-chan any more. It's his fault.\I won't apologize to him.\Sakura.\Onii-chan!\I'm... I'm sorry. response:	I'm sorry.
context: What does that mean?\Think. Only you know the answer.\I don't care about Onii-chan any more. It's his fault.\I won't apologize to him.\Sakura.\Onii-chan!\I'm... I'm sorry.\I'm sorry. response:	So this is where you've been.
context: Think. Only you know the answer.\I don't care about Onii-chan any more. It's his fault.\I won't apologize to him.\Sakura.\Onii-chan!\I'm... I'm sorry.\I'm sorry.\So this is where you've been. response:	We came here with Mom.
context: I don't care about Onii-chan any more. It's his fault.\I won't apologize to him.\Sakura.\Onii-chan!\I'm... I'm sorry.\I'm sorry.\So this is where you've been.\We came here with Mom. response:	Whitebait ice cream. We had that here.
context: I won't apologize to him.\Sakura.\Onii-chan!\I'm... I'm sorry.\I'm sorry.\So this is where you've been.\We came here with Mom.\Whitebait ice cream. We had that here. response:	You must have been lonely.
context: Sakura.\Onii-chan!\I'm... I'm sorry.\I'm sorry.\So this is where you've been.\We came here with Mom.\Whitebait ice cream. We had that here.\You must have been lonely. response:	I'm sorry I didn't notice.
context: Onii-chan!\I'm... I'm sorry.\I'm sorry.\So this is where you've been.\We came here with Mom.\Whitebait ice cream. We had that here.\You must have been lonely.\I'm sorry I didn't notice. response:	Mari-chan.
context: I'm... I'm sorry.\I'm sorry.\So this is where you've been.\We came here with Mom.\Whitebait ice cream. We had that here.\You must have been lonely.\I'm sorry I didn't notice.\Mari-chan. response:	Sakura-chan.
context: I'm sorry.\So this is where you've been.\We came here with Mom.\Whitebait ice cream. We had that here.\You must have been lonely.\I'm sorry I didn't notice.\Mari-chan.\Sakura-chan. response:	Yuki, I'm sorry.
context: So this is where you've been.\We came here with Mom.\Whitebait ice cream. We had that here.\You must have been lonely.\I'm sorry I didn't notice.\Mari-chan.\Sakura-chan.\Yuki, I'm sorry. response:	Akira.
context: We came here with Mom.\Whitebait ice cream. We had that here.\You must have been lonely.\I'm sorry I didn't notice.\Mari-chan.\Sakura-chan.\Yuki, I'm sorry.\Akira. response:	Thanks.
context: Whitebait ice cream. We had that here.\You must have been lonely.\I'm sorry I didn't notice.\Mari-chan.\Sakura-chan.\Yuki, I'm sorry.\Akira.\Thanks. response:	Mari-chan, I'm sorry.
context: You must have been lonely.\I'm sorry I didn't notice.\Mari-chan.\Sakura-chan.\Yuki, I'm sorry.\Akira.\Thanks.\Mari-chan, I'm sorry. response:	It's fine.
context: I'm sorry I didn't notice.\Mari-chan.\Sakura-chan.\Yuki, I'm sorry.\Akira.\Thanks.\Mari-chan, I'm sorry.\It's fine. response:	It's all right, Sakura. I'm sorry, too.
context: Mari-chan.\Sakura-chan.\Yuki, I'm sorry.\Akira.\Thanks.\Mari-chan, I'm sorry.\It's fine.\It's all right, Sakura. I'm sorry, too. response:	I'm glad. I'm so glad you're all right.
context: Sakura-chan.\Yuki, I'm sorry.\Akira.\Thanks.\Mari-chan, I'm sorry.\It's fine.\It's all right, Sakura. I'm sorry, too.\I'm glad. I'm so glad you're all right. response:	La la la, dum ta-dum.
context: Yuki, I'm sorry.\Akira.\Thanks.\Mari-chan, I'm sorry.\It's fine.\It's all right, Sakura. I'm sorry, too.\I'm glad. I'm so glad you're all right.\La la la, dum ta-dum. response:	Good, good, good, good.
context: Akira.\Thanks.\Mari-chan, I'm sorry.\It's fine.\It's all right, Sakura. I'm sorry, too.\I'm glad. I'm so glad you're all right.\La la la, dum ta-dum.\Good, good, good, good. response:	La la la, dum ta-dum.
context: Thanks.\Mari-chan, I'm sorry.\It's fine.\It's all right, Sakura. I'm sorry, too.\I'm glad. I'm so glad you're all right.\La la la, dum ta-dum.\Good, good, good, good.\La la la, dum ta-dum. response:	Haru.
context: Mari-chan, I'm sorry.\It's fine.\It's all right, Sakura. I'm sorry, too.\I'm glad. I'm so glad you're all right.\La la la, dum ta-dum.\Good, good, good, good.\La la la, dum ta-dum.\Haru. response:	Why don't you tell me the truth?
context: It's fine.\It's all right, Sakura. I'm sorry, too.\I'm glad. I'm so glad you're all right.\La la la, dum ta-dum.\Good, good, good, good.\La la la, dum ta-dum.\Haru.\Why don't you tell me the truth? response:	I'm sure you already know,
context: It's all right, Sakura. I'm sorry, too.\I'm glad. I'm so glad you're all right.\La la la, dum ta-dum.\Good, good, good, good.\La la la, dum ta-dum.\Haru.\Why don't you tell me the truth?\I'm sure you already know, response:	but I am a member of the alien investigation and
context: I'm glad. I'm so glad you're all right.\La la la, dum ta-dum.\Good, good, good, good.\La la la, dum ta-dum.\Haru.\Why don't you tell me the truth?\I'm sure you already know,\but I am a member of the alien investigation and response:	apprehension organization, Duck.
context: La la la, dum ta-dum.\Good, good, good, good.\La la la, dum ta-dum.\Haru.\Why don't you tell me the truth?\I'm sure you already know,\but I am a member of the alien investigation and\apprehension organization, Duck. response:	Why did you come to Earth?
context: Good, good, good, good.\La la la, dum ta-dum.\Haru.\Why don't you tell me the truth?\I'm sure you already know,\but I am a member of the alien investigation and\apprehension organization, Duck.\Why did you come to Earth? response:	We came to catch him.
context: La la la, dum ta-dum.\Haru.\Why don't you tell me the truth?\I'm sure you already know,\but I am a member of the alien investigation and\apprehension organization, Duck.\Why did you come to Earth?\We came to catch him. response:	Him?
context: Haru.\Why don't you tell me the truth?\I'm sure you already know,\but I am a member of the alien investigation and\apprehension organization, Duck.\Why did you come to Earth?\We came to catch him.\Him? response:	Do you mean the beast under that bait ball?
context: Why don't you tell me the truth?\I'm sure you already know,\but I am a member of the alien investigation and\apprehension organization, Duck.\Why did you come to Earth?\We came to catch him.\Him?\Do you mean the beast under that bait ball? response:	Yeah, he's one of our kind who came
context: I'm sure you already know,\but I am a member of the alien investigation and\apprehension organization, Duck.\Why did you come to Earth?\We came to catch him.\Him?\Do you mean the beast under that bait ball?\Yeah, he's one of our kind who came response:	to Earth a long time ago.
context: but I am a member of the alien investigation and\apprehension organization, Duck.\Why did you come to Earth?\We came to catch him.\Him?\Do you mean the beast under that bait ball?\Yeah, he's one of our kind who came\to Earth a long time ago. response:	He's been traveling Earth's oceans doing naughty
context: apprehension organization, Duck.\Why did you come to Earth?\We came to catch him.\Him?\Do you mean the beast under that bait ball?\Yeah, he's one of our kind who came\to Earth a long time ago.\He's been traveling Earth's oceans doing naughty response:	things like moving ships around.
context: Why did you come to Earth?\We came to catch him.\Him?\Do you mean the beast under that bait ball?\Yeah, he's one of our kind who came\to Earth a long time ago.\He's been traveling Earth's oceans doing naughty\things like moving ships around. response:	Alien life forms really are responsible for Bermuda Syndrome.
context: We came to catch him.\Him?\Do you mean the beast under that bait ball?\Yeah, he's one of our kind who came\to Earth a long time ago.\He's been traveling Earth's oceans doing naughty\things like moving ships around.\Alien life forms really are responsible for Bermuda Syndrome. response:	We don't know what he'll do if we leave him be,
context: Him?\Do you mean the beast under that bait ball?\Yeah, he's one of our kind who came\to Earth a long time ago.\He's been traveling Earth's oceans doing naughty\things like moving ships around.\Alien life forms really are responsible for Bermuda Syndrome.\We don't know what he'll do if we leave him be, response:	so we came here.
context: Do you mean the beast under that bait ball?\Yeah, he's one of our kind who came\to Earth a long time ago.\He's been traveling Earth's oceans doing naughty\things like moving ships around.\Alien life forms really are responsible for Bermuda Syndrome.\We don't know what he'll do if we leave him be,\so we came here. response:	We came here to catch him and take him back home.
context: Yeah, he's one of our kind who came\to Earth a long time ago.\He's been traveling Earth's oceans doing naughty\things like moving ships around.\Alien life forms really are responsible for Bermuda Syndrome.\We don't know what he'll do if we leave him be,\so we came here.\We came here to catch him and take him back home. response:	How did you plan to catch him?
context: to Earth a long time ago.\He's been traveling Earth's oceans doing naughty\things like moving ships around.\Alien life forms really are responsible for Bermuda Syndrome.\We don't know what he'll do if we leave him be,\so we came here.\We came here to catch him and take him back home.\How did you plan to catch him? response:	The only way to subdue him is to get him out of the ocean.
context: He's been traveling Earth's oceans doing naughty\things like moving ships around.\Alien life forms really are responsible for Bermuda Syndrome.\We don't know what he'll do if we leave him be,\so we came here.\We came here to catch him and take him back home.\How did you plan to catch him?\The only way to subdue him is to get him out of the ocean. response:	Communicating using water's normal for our kind,
context: things like moving ships around.\Alien life forms really are responsible for Bermuda Syndrome.\We don't know what he'll do if we leave him be,\so we came here.\We came here to catch him and take him back home.\How did you plan to catch him?\The only way to subdue him is to get him out of the ocean.\Communicating using water's normal for our kind, response:	but for some reason,
context: Alien life forms really are responsible for Bermuda Syndrome.\We don't know what he'll do if we leave him be,\so we came here.\We came here to catch him and take him back home.\How did you plan to catch him?\The only way to subdue him is to get him out of the ocean.\Communicating using water's normal for our kind,\but for some reason, response:	when we try to use water to talk to people,
context: We don't know what he'll do if we leave him be,\so we came here.\We came here to catch him and take him back home.\How did you plan to catch him?\The only way to subdue him is to get him out of the ocean.\Communicating using water's normal for our kind,\but for some reason,\when we try to use water to talk to people, response:	we end up controlling them.
context: so we came here.\We came here to catch him and take him back home.\How did you plan to catch him?\The only way to subdue him is to get him out of the ocean.\Communicating using water's normal for our kind,\but for some reason,\when we try to use water to talk to people,\we end up controlling them. response:	We don't get along well with humans at all.
context: We came here to catch him and take him back home.\How did you plan to catch him?\The only way to subdue him is to get him out of the ocean.\Communicating using water's normal for our kind,\but for some reason,\when we try to use water to talk to people,\we end up controlling them.\We don't get along well with humans at all. response:	And he forgets his own strength a lot,
context: How did you plan to catch him?\The only way to subdue him is to get him out of the ocean.\Communicating using water's normal for our kind,\but for some reason,\when we try to use water to talk to people,\we end up controlling them.\We don't get along well with humans at all.\And he forgets his own strength a lot, response:	so he's really dangerous.
context: The only way to subdue him is to get him out of the ocean.\Communicating using water's normal for our kind,\but for some reason,\when we try to use water to talk to people,\we end up controlling them.\We don't get along well with humans at all.\And he forgets his own strength a lot,\so he's really dangerous. response:	Is that why you intended to fish him out of the water?
context: Communicating using water's normal for our kind,\but for some reason,\when we try to use water to talk to people,\we end up controlling them.\We don't get along well with humans at all.\And he forgets his own strength a lot,\so he's really dangerous.\Is that why you intended to fish him out of the water? response:	Yeah. I was going to catch him with Yuki.
context: but for some reason,\when we try to use water to talk to people,\we end up controlling them.\We don't get along well with humans at all.\And he forgets his own strength a lot,\so he's really dangerous.\Is that why you intended to fish him out of the water?\Yeah. I was going to catch him with Yuki. response:	Why didn't you try to catch him yourselves?
context: when we try to use water to talk to people,\we end up controlling them.\We don't get along well with humans at all.\And he forgets his own strength a lot,\so he's really dangerous.\Is that why you intended to fish him out of the water?\Yeah. I was going to catch him with Yuki.\Why didn't you try to catch him yourselves? response:	We've never fished before.
context: we end up controlling them.\We don't get along well with humans at all.\And he forgets his own strength a lot,\so he's really dangerous.\Is that why you intended to fish him out of the water?\Yeah. I was going to catch him with Yuki.\Why didn't you try to catch him yourselves?\We've never fished before. response:	Besides, if we're not careful, we'll be affected by him
context: We don't get along well with humans at all.\And he forgets his own strength a lot,\so he's really dangerous.\Is that why you intended to fish him out of the water?\Yeah. I was going to catch him with Yuki.\Why didn't you try to catch him yourselves?\We've never fished before.\Besides, if we're not careful, we'll be affected by him response:	and go crazy, too.
context: And he forgets his own strength a lot,\so he's really dangerous.\Is that why you intended to fish him out of the water?\Yeah. I was going to catch him with Yuki.\Why didn't you try to catch him yourselves?\We've never fished before.\Besides, if we're not careful, we'll be affected by him\and go crazy, too. response:	We were going to have Yuki catch him
context: so he's really dangerous.\Is that why you intended to fish him out of the water?\Yeah. I was going to catch him with Yuki.\Why didn't you try to catch him yourselves?\We've never fished before.\Besides, if we're not careful, we'll be affected by him\and go crazy, too.\We were going to have Yuki catch him response:	while we suppressed his powers.
context: Is that why you intended to fish him out of the water?\Yeah. I was going to catch him with Yuki.\Why didn't you try to catch him yourselves?\We've never fished before.\Besides, if we're not careful, we'll be affected by him\and go crazy, too.\We were going to have Yuki catch him\while we suppressed his powers. response:	He was strong.
context: Yeah. I was going to catch him with Yuki.\Why didn't you try to catch him yourselves?\We've never fished before.\Besides, if we're not careful, we'll be affected by him\and go crazy, too.\We were going to have Yuki catch him\while we suppressed his powers.\He was strong. response:	He took total control over me.
context: Why didn't you try to catch him yourselves?\We've never fished before.\Besides, if we're not careful, we'll be affected by him\and go crazy, too.\We were going to have Yuki catch him\while we suppressed his powers.\He was strong.\He took total control over me. response:	He really is strong.
context: We've never fished before.\Besides, if we're not careful, we'll be affected by him\and go crazy, too.\We were going to have Yuki catch him\while we suppressed his powers.\He was strong.\He took total control over me.\He really is strong. response:	I'm not even sure if the two of us together can stop him.
context: Besides, if we're not careful, we'll be affected by him\and go crazy, too.\We were going to have Yuki catch him\while we suppressed his powers.\He was strong.\He took total control over me.\He really is strong.\I'm not even sure if the two of us together can stop him. response:	It's not too bad now, but if he gets even stronger...
context: and go crazy, too.\We were going to have Yuki catch him\while we suppressed his powers.\He was strong.\He took total control over me.\He really is strong.\I'm not even sure if the two of us together can stop him.\It's not too bad now, but if he gets even stronger... response:	What will happen?
context: We were going to have Yuki catch him\while we suppressed his powers.\He was strong.\He took total control over me.\He really is strong.\I'm not even sure if the two of us together can stop him.\It's not too bad now, but if he gets even stronger...\What will happen? response:	His voice might even reach
context: while we suppressed his powers.\He was strong.\He took total control over me.\He really is strong.\I'm not even sure if the two of us together can stop him.\It's not too bad now, but if he gets even stronger...\What will happen?\His voice might even reach response:	people through the moisture in the air.
context: He was strong.\He took total control over me.\He really is strong.\I'm not even sure if the two of us together can stop him.\It's not too bad now, but if he gets even stronger...\What will happen?\His voice might even reach\people through the moisture in the air. response:	What if the humidity were to suddenly increase,
context: He took total control over me.\He really is strong.\I'm not even sure if the two of us together can stop him.\It's not too bad now, but if he gets even stronger...\What will happen?\His voice might even reach\people through the moisture in the air.\What if the humidity were to suddenly increase, response:	such as when it rains or storms?
