context: You better hope the beast that comes out of the cave isn't a monster. response:	Hey, are you hungry?
context: Come on out!\Dang it.\It got away.\Hey look, there's a village.\I guess I'll have to regain my energy there.\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: Dang it.\It got away.\Hey look, there's a village.\I guess I'll have to regain my energy there.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: It got away.\Hey look, there's a village.\I guess I'll have to regain my energy there.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: Hey look, there's a village.\I guess I'll have to regain my energy there.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: I guess I'll have to regain my energy there.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	7 The story of the Jorogumo silk spider
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\7 The story of the Jorogumo silk spider response:	How wretched I am, I can't even pull myself up.
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\7 The story of the Jorogumo silk spider\How wretched I am, I can't even pull myself up. response:	What a bothersome village.
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\7 The story of the Jorogumo silk spider\How wretched I am, I can't even pull myself up.\What a bothersome village. response:	TRAVELER'S PASS
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\7 The story of the Jorogumo silk spider\How wretched I am, I can't even pull myself up.\What a bothersome village.\TRAVELER'S PASS response:	We have guards out to protect the village now.
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\7 The story of the Jorogumo silk spider\How wretched I am, I can't even pull myself up.\What a bothersome village.\TRAVELER'S PASS\We have guards out to protect the village now. response:	Protect from what?
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\7 The story of the Jorogumo silk spider\How wretched I am, I can't even pull myself up.\What a bothersome village.\TRAVELER'S PASS\We have guards out to protect the village now.\Protect from what? response:	-There's been a kidnapper around here. -A kidnapper?
context: Light it up, baby. I'm gonna burn it up, yeah\7 The story of the Jorogumo silk spider\How wretched I am, I can't even pull myself up.\What a bothersome village.\TRAVELER'S PASS\We have guards out to protect the village now.\Protect from what?\-There's been a kidnapper around here. -A kidnapper? response:	Yeah, our villagers keep disappearing almost nightly.
context: 7 The story of the Jorogumo silk spider\How wretched I am, I can't even pull myself up.\What a bothersome village.\TRAVELER'S PASS\We have guards out to protect the village now.\Protect from what?\-There's been a kidnapper around here. -A kidnapper?\Yeah, our villagers keep disappearing almost nightly. response:	That's what those watchtowers are for.
context: How wretched I am, I can't even pull myself up.\What a bothersome village.\TRAVELER'S PASS\We have guards out to protect the village now.\Protect from what?\-There's been a kidnapper around here. -A kidnapper?\Yeah, our villagers keep disappearing almost nightly.\That's what those watchtowers are for. response:	You let us know if you see anything suspicious.
context: What a bothersome village.\TRAVELER'S PASS\We have guards out to protect the village now.\Protect from what?\-There's been a kidnapper around here. -A kidnapper?\Yeah, our villagers keep disappearing almost nightly.\That's what those watchtowers are for.\You let us know if you see anything suspicious. response:	Hey.
context: TRAVELER'S PASS\We have guards out to protect the village now.\Protect from what?\-There's been a kidnapper around here. -A kidnapper?\Yeah, our villagers keep disappearing almost nightly.\That's what those watchtowers are for.\You let us know if you see anything suspicious.\Hey. response:	I bet it's that spider monster kidnapping the villagers.
context: We have guards out to protect the village now.\Protect from what?\-There's been a kidnapper around here. -A kidnapper?\Yeah, our villagers keep disappearing almost nightly.\That's what those watchtowers are for.\You let us know if you see anything suspicious.\Hey.\I bet it's that spider monster kidnapping the villagers. response:	Seems like a big problem for them.
context: Protect from what?\-There's been a kidnapper around here. -A kidnapper?\Yeah, our villagers keep disappearing almost nightly.\That's what those watchtowers are for.\You let us know if you see anything suspicious.\Hey.\I bet it's that spider monster kidnapping the villagers.\Seems like a big problem for them. response:	We could help this village out.
context: -There's been a kidnapper around here. -A kidnapper?\Yeah, our villagers keep disappearing almost nightly.\That's what those watchtowers are for.\You let us know if you see anything suspicious.\Hey.\I bet it's that spider monster kidnapping the villagers.\Seems like a big problem for them.\We could help this village out. response:	I bet there'd be a good reward, too.
context: Yeah, our villagers keep disappearing almost nightly.\That's what those watchtowers are for.\You let us know if you see anything suspicious.\Hey.\I bet it's that spider monster kidnapping the villagers.\Seems like a big problem for them.\We could help this village out.\I bet there'd be a good reward, too. response:	This, I must complete.
context: That's what those watchtowers are for.\You let us know if you see anything suspicious.\Hey.\I bet it's that spider monster kidnapping the villagers.\Seems like a big problem for them.\We could help this village out.\I bet there'd be a good reward, too.\This, I must complete. response:	Hey, you! Are you okay?
context: You let us know if you see anything suspicious.\Hey.\I bet it's that spider monster kidnapping the villagers.\Seems like a big problem for them.\We could help this village out.\I bet there'd be a good reward, too.\This, I must complete.\Hey, you! Are you okay? response:	Sorry, I didn't mean to scare you.
context: Hey.\I bet it's that spider monster kidnapping the villagers.\Seems like a big problem for them.\We could help this village out.\I bet there'd be a good reward, too.\This, I must complete.\Hey, you! Are you okay?\Sorry, I didn't mean to scare you. response:	Are you sick?
context: I bet it's that spider monster kidnapping the villagers.\Seems like a big problem for them.\We could help this village out.\I bet there'd be a good reward, too.\This, I must complete.\Hey, you! Are you okay?\Sorry, I didn't mean to scare you.\Are you sick? response:	You're as pale as death. Come to my house.
context: Seems like a big problem for them.\We could help this village out.\I bet there'd be a good reward, too.\This, I must complete.\Hey, you! Are you okay?\Sorry, I didn't mean to scare you.\Are you sick?\You're as pale as death. Come to my house. response:	I can give you something to eat. Can you walk?
context: We could help this village out.\I bet there'd be a good reward, too.\This, I must complete.\Hey, you! Are you okay?\Sorry, I didn't mean to scare you.\Are you sick?\You're as pale as death. Come to my house.\I can give you something to eat. Can you walk? response:	Yes, I can...
context: I bet there'd be a good reward, too.\This, I must complete.\Hey, you! Are you okay?\Sorry, I didn't mean to scare you.\Are you sick?\You're as pale as death. Come to my house.\I can give you something to eat. Can you walk?\Yes, I can... response:	Okay, come with me.
context: This, I must complete.\Hey, you! Are you okay?\Sorry, I didn't mean to scare you.\Are you sick?\You're as pale as death. Come to my house.\I can give you something to eat. Can you walk?\Yes, I can...\Okay, come with me. response:	I'll suck out his life force first.
context: Hey, you! Are you okay?\Sorry, I didn't mean to scare you.\Are you sick?\You're as pale as death. Come to my house.\I can give you something to eat. Can you walk?\Yes, I can...\Okay, come with me.\I'll suck out his life force first. response:	Say, what's your name? I'm Yajiro.
context: Sorry, I didn't mean to scare you.\Are you sick?\You're as pale as death. Come to my house.\I can give you something to eat. Can you walk?\Yes, I can...\Okay, come with me.\I'll suck out his life force first.\Say, what's your name? I'm Yajiro. response:	I have none.
context: Are you sick?\You're as pale as death. Come to my house.\I can give you something to eat. Can you walk?\Yes, I can...\Okay, come with me.\I'll suck out his life force first.\Say, what's your name? I'm Yajiro.\I have none. response:	You don't? Well then.
context: You're as pale as death. Come to my house.\I can give you something to eat. Can you walk?\Yes, I can...\Okay, come with me.\I'll suck out his life force first.\Say, what's your name? I'm Yajiro.\I have none.\You don't? Well then. response:	There.
context: I can give you something to eat. Can you walk?\Yes, I can...\Okay, come with me.\I'll suck out his life force first.\Say, what's your name? I'm Yajiro.\I have none.\You don't? Well then.\There. response:	Then how about Ohagi?
context: Yes, I can...\Okay, come with me.\I'll suck out his life force first.\Say, what's your name? I'm Yajiro.\I have none.\You don't? Well then.\There.\Then how about Ohagi? response:	-Ohagi? -You were lying in a bed of hagi flowers.
context: Okay, come with me.\I'll suck out his life force first.\Say, what's your name? I'm Yajiro.\I have none.\You don't? Well then.\There.\Then how about Ohagi?\-Ohagi? -You were lying in a bed of hagi flowers. response:	Have it your way.
context: I'll suck out his life force first.\Say, what's your name? I'm Yajiro.\I have none.\You don't? Well then.\There.\Then how about Ohagi?\-Ohagi? -You were lying in a bed of hagi flowers.\Have it your way. response:	Okay then, Ohagi. You must be hungry.
context: Say, what's your name? I'm Yajiro.\I have none.\You don't? Well then.\There.\Then how about Ohagi?\-Ohagi? -You were lying in a bed of hagi flowers.\Have it your way.\Okay then, Ohagi. You must be hungry. response:	Eat up.
context: I have none.\You don't? Well then.\There.\Then how about Ohagi?\-Ohagi? -You were lying in a bed of hagi flowers.\Have it your way.\Okay then, Ohagi. You must be hungry.\Eat up. response:	What's this? Looks nasty.
context: You don't? Well then.\There.\Then how about Ohagi?\-Ohagi? -You were lying in a bed of hagi flowers.\Have it your way.\Okay then, Ohagi. You must be hungry.\Eat up.\What's this? Looks nasty. response:	Go ahead, eat up.
context: There.\Then how about Ohagi?\-Ohagi? -You were lying in a bed of hagi flowers.\Have it your way.\Okay then, Ohagi. You must be hungry.\Eat up.\What's this? Looks nasty.\Go ahead, eat up. response:	It's good.
context: Then how about Ohagi?\-Ohagi? -You were lying in a bed of hagi flowers.\Have it your way.\Okay then, Ohagi. You must be hungry.\Eat up.\What's this? Looks nasty.\Go ahead, eat up.\It's good. response:	Ohagi, if it's okay, tell me where you came from.
context: -Ohagi? -You were lying in a bed of hagi flowers.\Have it your way.\Okay then, Ohagi. You must be hungry.\Eat up.\What's this? Looks nasty.\Go ahead, eat up.\It's good.\Ohagi, if it's okay, tell me where you came from. response:	It's not, so I won't.
context: Have it your way.\Okay then, Ohagi. You must be hungry.\Eat up.\What's this? Looks nasty.\Go ahead, eat up.\It's good.\Ohagi, if it's okay, tell me where you came from.\It's not, so I won't. response:	Then why were you lying there?
context: Okay then, Ohagi. You must be hungry.\Eat up.\What's this? Looks nasty.\Go ahead, eat up.\It's good.\Ohagi, if it's okay, tell me where you came from.\It's not, so I won't.\Then why were you lying there? response:	As if I had a choice.
context: Eat up.\What's this? Looks nasty.\Go ahead, eat up.\It's good.\Ohagi, if it's okay, tell me where you came from.\It's not, so I won't.\Then why were you lying there?\As if I had a choice. response:	If I had the strength, I'd leave this place this very second.
context: What's this? Looks nasty.\Go ahead, eat up.\It's good.\Ohagi, if it's okay, tell me where you came from.\It's not, so I won't.\Then why were you lying there?\As if I had a choice.\If I had the strength, I'd leave this place this very second. response:	Aren't you going to eat?
context: Go ahead, eat up.\It's good.\Ohagi, if it's okay, tell me where you came from.\It's not, so I won't.\Then why were you lying there?\As if I had a choice.\If I had the strength, I'd leave this place this very second.\Aren't you going to eat? response:	Huh? Oh...
context: It's good.\Ohagi, if it's okay, tell me where you came from.\It's not, so I won't.\Then why were you lying there?\As if I had a choice.\If I had the strength, I'd leave this place this very second.\Aren't you going to eat?\Huh? Oh... response:	I just ate before you came.
context: Ohagi, if it's okay, tell me where you came from.\It's not, so I won't.\Then why were you lying there?\As if I had a choice.\If I had the strength, I'd leave this place this very second.\Aren't you going to eat?\Huh? Oh...\I just ate before you came. response:	What's that noise?
context: It's not, so I won't.\Then why were you lying there?\As if I had a choice.\If I had the strength, I'd leave this place this very second.\Aren't you going to eat?\Huh? Oh...\I just ate before you came.\What's that noise? response:	Don't mind it, eat up.
context: Then why were you lying there?\As if I had a choice.\If I had the strength, I'd leave this place this very second.\Aren't you going to eat?\Huh? Oh...\I just ate before you came.\What's that noise?\Don't mind it, eat up. response:	I have to go to work. I'll be back by dusk. Eat up and go to sleep.
context: As if I had a choice.\If I had the strength, I'd leave this place this very second.\Aren't you going to eat?\Huh? Oh...\I just ate before you came.\What's that noise?\Don't mind it, eat up.\I have to go to work. I'll be back by dusk. Eat up and go to sleep. response:	What a strange human.
context: If I had the strength, I'd leave this place this very second.\Aren't you going to eat?\Huh? Oh...\I just ate before you came.\What's that noise?\Don't mind it, eat up.\I have to go to work. I'll be back by dusk. Eat up and go to sleep.\What a strange human. response:	It's mine. Don't touch it.
context: Aren't you going to eat?\Huh? Oh...\I just ate before you came.\What's that noise?\Don't mind it, eat up.\I have to go to work. I'll be back by dusk. Eat up and go to sleep.\What a strange human.\It's mine. Don't touch it. response:	No rice paddies, no fields.
context: Huh? Oh...\I just ate before you came.\What's that noise?\Don't mind it, eat up.\I have to go to work. I'll be back by dusk. Eat up and go to sleep.\What a strange human.\It's mine. Don't touch it.\No rice paddies, no fields. response:	We might not find any food in this village.
context: I just ate before you came.\What's that noise?\Don't mind it, eat up.\I have to go to work. I'll be back by dusk. Eat up and go to sleep.\What a strange human.\It's mine. Don't touch it.\No rice paddies, no fields.\We might not find any food in this village. response:	What's going on?
context: What's that noise?\Don't mind it, eat up.\I have to go to work. I'll be back by dusk. Eat up and go to sleep.\What a strange human.\It's mine. Don't touch it.\No rice paddies, no fields.\We might not find any food in this village.\What's going on? response:	Hey, what's that sign say?
context: Don't mind it, eat up.\I have to go to work. I'll be back by dusk. Eat up and go to sleep.\What a strange human.\It's mine. Don't touch it.\No rice paddies, no fields.\We might not find any food in this village.\What's going on?\Hey, what's that sign say? response:	It says there's a reward for finding the kidnapper.
context: I have to go to work. I'll be back by dusk. Eat up and go to sleep.\What a strange human.\It's mine. Don't touch it.\No rice paddies, no fields.\We might not find any food in this village.\What's going on?\Hey, what's that sign say?\It says there's a reward for finding the kidnapper. response:	Not that it's helping any in finding the kidnapper.
context: What a strange human.\It's mine. Don't touch it.\No rice paddies, no fields.\We might not find any food in this village.\What's going on?\Hey, what's that sign say?\It says there's a reward for finding the kidnapper.\Not that it's helping any in finding the kidnapper. response:	See, told you so.
context: It's mine. Don't touch it.\No rice paddies, no fields.\We might not find any food in this village.\What's going on?\Hey, what's that sign say?\It says there's a reward for finding the kidnapper.\Not that it's helping any in finding the kidnapper.\See, told you so. response:	That reward is ours then!
context: No rice paddies, no fields.\We might not find any food in this village.\What's going on?\Hey, what's that sign say?\It says there's a reward for finding the kidnapper.\Not that it's helping any in finding the kidnapper.\See, told you so.\That reward is ours then! response:	What, you know who it might be?
context: We might not find any food in this village.\What's going on?\Hey, what's that sign say?\It says there's a reward for finding the kidnapper.\Not that it's helping any in finding the kidnapper.\See, told you so.\That reward is ours then!\What, you know who it might be? response:	After the reward too? I'd stay out of it if I were you.
context: What's going on?\Hey, what's that sign say?\It says there's a reward for finding the kidnapper.\Not that it's helping any in finding the kidnapper.\See, told you so.\That reward is ours then!\What, you know who it might be?\After the reward too? I'd stay out of it if I were you. response:	We're dealing with a monster here.
context: Hey, what's that sign say?\It says there's a reward for finding the kidnapper.\Not that it's helping any in finding the kidnapper.\See, told you so.\That reward is ours then!\What, you know who it might be?\After the reward too? I'd stay out of it if I were you.\We're dealing with a monster here. response:	A monster?
context: It says there's a reward for finding the kidnapper.\Not that it's helping any in finding the kidnapper.\See, told you so.\That reward is ours then!\What, you know who it might be?\After the reward too? I'd stay out of it if I were you.\We're dealing with a monster here.\A monster? response:	Quiet, quiet! Don't stop, keep working!
context: Not that it's helping any in finding the kidnapper.\See, told you so.\That reward is ours then!\What, you know who it might be?\After the reward too? I'd stay out of it if I were you.\We're dealing with a monster here.\A monster?\Quiet, quiet! Don't stop, keep working! response:	I bet the monster only comes out once it gets really dark.
context: See, told you so.\That reward is ours then!\What, you know who it might be?\After the reward too? I'd stay out of it if I were you.\We're dealing with a monster here.\A monster?\Quiet, quiet! Don't stop, keep working!\I bet the monster only comes out once it gets really dark. response:	We don't have the energy to search during the day.
context: That reward is ours then!\What, you know who it might be?\After the reward too? I'd stay out of it if I were you.\We're dealing with a monster here.\A monster?\Quiet, quiet! Don't stop, keep working!\I bet the monster only comes out once it gets really dark.\We don't have the energy to search during the day. response:	Gotta be smart.
context: What, you know who it might be?\After the reward too? I'd stay out of it if I were you.\We're dealing with a monster here.\A monster?\Quiet, quiet! Don't stop, keep working!\I bet the monster only comes out once it gets really dark.\We don't have the energy to search during the day.\Gotta be smart. response:	Right, let's go.
context: After the reward too? I'd stay out of it if I were you.\We're dealing with a monster here.\A monster?\Quiet, quiet! Don't stop, keep working!\I bet the monster only comes out once it gets really dark.\We don't have the energy to search during the day.\Gotta be smart.\Right, let's go. response:	I guess this is the most I can do on human food.
context: We're dealing with a monster here.\A monster?\Quiet, quiet! Don't stop, keep working!\I bet the monster only comes out once it gets really dark.\We don't have the energy to search during the day.\Gotta be smart.\Right, let's go.\I guess this is the most I can do on human food. response:	Sorry, I got off work late.
context: A monster?\Quiet, quiet! Don't stop, keep working!\I bet the monster only comes out once it gets really dark.\We don't have the energy to search during the day.\Gotta be smart.\Right, let's go.\I guess this is the most I can do on human food.\Sorry, I got off work late. response:	You stayed up?
context: Quiet, quiet! Don't stop, keep working!\I bet the monster only comes out once it gets really dark.\We don't have the energy to search during the day.\Gotta be smart.\Right, let's go.\I guess this is the most I can do on human food.\Sorry, I got off work late.\You stayed up? response:	I slept. But I woke up because of all the noise outside.
context: I bet the monster only comes out once it gets really dark.\We don't have the energy to search during the day.\Gotta be smart.\Right, let's go.\I guess this is the most I can do on human food.\Sorry, I got off work late.\You stayed up?\I slept. But I woke up because of all the noise outside. response:	Yeah, another man died out at work in the mountains.
context: We don't have the energy to search during the day.\Gotta be smart.\Right, let's go.\I guess this is the most I can do on human food.\Sorry, I got off work late.\You stayed up?\I slept. But I woke up because of all the noise outside.\Yeah, another man died out at work in the mountains. response:	It's hard work out in the hot sun. It's harsh.
context: Gotta be smart.\Right, let's go.\I guess this is the most I can do on human food.\Sorry, I got off work late.\You stayed up?\I slept. But I woke up because of all the noise outside.\Yeah, another man died out at work in the mountains.\It's hard work out in the hot sun. It's harsh. response:	Why do you work so hard? Is it worth dying for?
context: Right, let's go.\I guess this is the most I can do on human food.\Sorry, I got off work late.\You stayed up?\I slept. But I woke up because of all the noise outside.\Yeah, another man died out at work in the mountains.\It's hard work out in the hot sun. It's harsh.\Why do you work so hard? Is it worth dying for? response:	This is a quarry village.
context: I guess this is the most I can do on human food.\Sorry, I got off work late.\You stayed up?\I slept. But I woke up because of all the noise outside.\Yeah, another man died out at work in the mountains.\It's hard work out in the hot sun. It's harsh.\Why do you work so hard? Is it worth dying for?\This is a quarry village. response:	Our lord won't allow us to slow down.
context: Sorry, I got off work late.\You stayed up?\I slept. But I woke up because of all the noise outside.\Yeah, another man died out at work in the mountains.\It's hard work out in the hot sun. It's harsh.\Why do you work so hard? Is it worth dying for?\This is a quarry village.\Our lord won't allow us to slow down. response:	Humans have no freedom.
context: You stayed up?\I slept. But I woke up because of all the noise outside.\Yeah, another man died out at work in the mountains.\It's hard work out in the hot sun. It's harsh.\Why do you work so hard? Is it worth dying for?\This is a quarry village.\Our lord won't allow us to slow down.\Humans have no freedom. response:	You look dreadful.
context: I slept. But I woke up because of all the noise outside.\Yeah, another man died out at work in the mountains.\It's hard work out in the hot sun. It's harsh.\Why do you work so hard? Is it worth dying for?\This is a quarry village.\Our lord won't allow us to slow down.\Humans have no freedom.\You look dreadful. response:	I see you've eaten, but...
context: Yeah, another man died out at work in the mountains.\It's hard work out in the hot sun. It's harsh.\Why do you work so hard? Is it worth dying for?\This is a quarry village.\Our lord won't allow us to slow down.\Humans have no freedom.\You look dreadful.\I see you've eaten, but... response:	A cockroach.
context: It's hard work out in the hot sun. It's harsh.\Why do you work so hard? Is it worth dying for?\This is a quarry village.\Our lord won't allow us to slow down.\Humans have no freedom.\You look dreadful.\I see you've eaten, but...\A cockroach. response:	Why did you let it go?
context: Why do you work so hard? Is it worth dying for?\This is a quarry village.\Our lord won't allow us to slow down.\Humans have no freedom.\You look dreadful.\I see you've eaten, but...\A cockroach.\Why did you let it go? response:	It's okay for humans to die, but not bugs?
context: This is a quarry village.\Our lord won't allow us to slow down.\Humans have no freedom.\You look dreadful.\I see you've eaten, but...\A cockroach.\Why did you let it go?\It's okay for humans to die, but not bugs? response:	Humans and bugs, they're all the same. Life is life.
context: Our lord won't allow us to slow down.\Humans have no freedom.\You look dreadful.\I see you've eaten, but...\A cockroach.\Why did you let it go?\It's okay for humans to die, but not bugs?\Humans and bugs, they're all the same. Life is life. response:	I've never met a human who speaks like that before.
context: Humans have no freedom.\You look dreadful.\I see you've eaten, but...\A cockroach.\Why did you let it go?\It's okay for humans to die, but not bugs?\Humans and bugs, they're all the same. Life is life.\I've never met a human who speaks like that before. response:	You're strange.
context: You look dreadful.\I see you've eaten, but...\A cockroach.\Why did you let it go?\It's okay for humans to die, but not bugs?\Humans and bugs, they're all the same. Life is life.\I've never met a human who speaks like that before.\You're strange. response:	Am I? Anyways, eat up.
context: I see you've eaten, but...\A cockroach.\Why did you let it go?\It's okay for humans to die, but not bugs?\Humans and bugs, they're all the same. Life is life.\I've never met a human who speaks like that before.\You're strange.\Am I? Anyways, eat up. response:	And sleep. That solves everything.
