context: I'm Kagome Higurashi, a ninth grader. response:	My family are caretakers of a very old, historic shrine...
context: I was dragged into the civil war period...\by a demon who suddenly appeared from the old shrine well.\Here, countless demons wishing to increase their power...\search for the Sacred Jewel.\This is where I met a half-demon named Inuyasha.\Inuyasha wants the Sacred Jewel to become a full-fledged demon...\Ever since, we've traveled together from place to place...\in search of Sacred Jewel Shards which are scattered throughout the country. response:	We've fought many demons in our search for the Sacred Jewel Shards,
context: by a demon who suddenly appeared from the old shrine well.\Here, countless demons wishing to increase their power...\search for the Sacred Jewel.\This is where I met a half-demon named Inuyasha.\Inuyasha wants the Sacred Jewel to become a full-fledged demon...\Ever since, we've traveled together from place to place...\in search of Sacred Jewel Shards which are scattered throughout the country.\We've fought many demons in our search for the Sacred Jewel Shards, response:	but we've also made friends along the way.
context: Here, countless demons wishing to increase their power...\search for the Sacred Jewel.\This is where I met a half-demon named Inuyasha.\Inuyasha wants the Sacred Jewel to become a full-fledged demon...\Ever since, we've traveled together from place to place...\in search of Sacred Jewel Shards which are scattered throughout the country.\We've fought many demons in our search for the Sacred Jewel Shards,\but we've also made friends along the way. response:	Shippo is a very cute fox demon child.
context: search for the Sacred Jewel.\This is where I met a half-demon named Inuyasha.\Inuyasha wants the Sacred Jewel to become a full-fledged demon...\Ever since, we've traveled together from place to place...\in search of Sacred Jewel Shards which are scattered throughout the country.\We've fought many demons in our search for the Sacred Jewel Shards,\but we've also made friends along the way.\Shippo is a very cute fox demon child. response:	He always tries so hard and helps us with his fox magic.
context: This is where I met a half-demon named Inuyasha.\Inuyasha wants the Sacred Jewel to become a full-fledged demon...\Ever since, we've traveled together from place to place...\in search of Sacred Jewel Shards which are scattered throughout the country.\We've fought many demons in our search for the Sacred Jewel Shards,\but we've also made friends along the way.\Shippo is a very cute fox demon child.\He always tries so hard and helps us with his fox magic. response:	Miroku is a monk.
context: Inuyasha wants the Sacred Jewel to become a full-fledged demon...\Ever since, we've traveled together from place to place...\in search of Sacred Jewel Shards which are scattered throughout the country.\We've fought many demons in our search for the Sacred Jewel Shards,\but we've also made friends along the way.\Shippo is a very cute fox demon child.\He always tries so hard and helps us with his fox magic.\Miroku is a monk. response:	His Wind Tunnel, inflicted on his palm by Naraku's curse,
context: Ever since, we've traveled together from place to place...\in search of Sacred Jewel Shards which are scattered throughout the country.\We've fought many demons in our search for the Sacred Jewel Shards,\but we've also made friends along the way.\Shippo is a very cute fox demon child.\He always tries so hard and helps us with his fox magic.\Miroku is a monk.\His Wind Tunnel, inflicted on his palm by Naraku's curse, response:	has the power to suck anything into it.
context: in search of Sacred Jewel Shards which are scattered throughout the country.\We've fought many demons in our search for the Sacred Jewel Shards,\but we've also made friends along the way.\Shippo is a very cute fox demon child.\He always tries so hard and helps us with his fox magic.\Miroku is a monk.\His Wind Tunnel, inflicted on his palm by Naraku's curse,\has the power to suck anything into it. response:	He's a dependable person, but...
context: We've fought many demons in our search for the Sacred Jewel Shards,\but we've also made friends along the way.\Shippo is a very cute fox demon child.\He always tries so hard and helps us with his fox magic.\Miroku is a monk.\His Wind Tunnel, inflicted on his palm by Naraku's curse,\has the power to suck anything into it.\He's a dependable person, but... response:	Sango is the last survivor of a tribe of demon slayers.
context: but we've also made friends along the way.\Shippo is a very cute fox demon child.\He always tries so hard and helps us with his fox magic.\Miroku is a monk.\His Wind Tunnel, inflicted on his palm by Naraku's curse,\has the power to suck anything into it.\He's a dependable person, but...\Sango is the last survivor of a tribe of demon slayers. response:	Her mission is to destroy Naraku to avenge her tribe...
context: Shippo is a very cute fox demon child.\He always tries so hard and helps us with his fox magic.\Miroku is a monk.\His Wind Tunnel, inflicted on his palm by Naraku's curse,\has the power to suck anything into it.\He's a dependable person, but...\Sango is the last survivor of a tribe of demon slayers.\Her mission is to destroy Naraku to avenge her tribe... response:	and so, she has been traveling with us.
context: He always tries so hard and helps us with his fox magic.\Miroku is a monk.\His Wind Tunnel, inflicted on his palm by Naraku's curse,\has the power to suck anything into it.\He's a dependable person, but...\Sango is the last survivor of a tribe of demon slayers.\Her mission is to destroy Naraku to avenge her tribe...\and so, she has been traveling with us. response:	The worst one is that Naraku!
context: Miroku is a monk.\His Wind Tunnel, inflicted on his palm by Naraku's curse,\has the power to suck anything into it.\He's a dependable person, but...\Sango is the last survivor of a tribe of demon slayers.\Her mission is to destroy Naraku to avenge her tribe...\and so, she has been traveling with us.\The worst one is that Naraku! response:	Without sullying his hands, he resorts to dirty tricks and sets sneaky traps...
context: His Wind Tunnel, inflicted on his palm by Naraku's curse,\has the power to suck anything into it.\He's a dependable person, but...\Sango is the last survivor of a tribe of demon slayers.\Her mission is to destroy Naraku to avenge her tribe...\and so, she has been traveling with us.\The worst one is that Naraku!\Without sullying his hands, he resorts to dirty tricks and sets sneaky traps... response:	A despicable beast!
context: has the power to suck anything into it.\He's a dependable person, but...\Sango is the last survivor of a tribe of demon slayers.\Her mission is to destroy Naraku to avenge her tribe...\and so, she has been traveling with us.\The worst one is that Naraku!\Without sullying his hands, he resorts to dirty tricks and sets sneaky traps...\A despicable beast! response:	He's been steadily collecting the Shikon Jewel Shards,
context: He's a dependable person, but...\Sango is the last survivor of a tribe of demon slayers.\Her mission is to destroy Naraku to avenge her tribe...\and so, she has been traveling with us.\The worst one is that Naraku!\Without sullying his hands, he resorts to dirty tricks and sets sneaky traps...\A despicable beast!\He's been steadily collecting the Shikon Jewel Shards, response:	growing more and more powerful.
context: Sango is the last survivor of a tribe of demon slayers.\Her mission is to destroy Naraku to avenge her tribe...\and so, she has been traveling with us.\The worst one is that Naraku!\Without sullying his hands, he resorts to dirty tricks and sets sneaky traps...\A despicable beast!\He's been steadily collecting the Shikon Jewel Shards,\growing more and more powerful. response:	But we'll pool our strength together, and someday, we'll get rid of him!
context: Her mission is to destroy Naraku to avenge her tribe...\and so, she has been traveling with us.\The worst one is that Naraku!\Without sullying his hands, he resorts to dirty tricks and sets sneaky traps...\A despicable beast!\He's been steadily collecting the Shikon Jewel Shards,\growing more and more powerful.\But we'll pool our strength together, and someday, we'll get rid of him! response:	We'll seek out Naraku's castle and destroy him!
context: and so, she has been traveling with us.\The worst one is that Naraku!\Without sullying his hands, he resorts to dirty tricks and sets sneaky traps...\A despicable beast!\He's been steadily collecting the Shikon Jewel Shards,\growing more and more powerful.\But we'll pool our strength together, and someday, we'll get rid of him!\We'll seek out Naraku's castle and destroy him! response:	Our journey continues!
context: The worst one is that Naraku!\Without sullying his hands, he resorts to dirty tricks and sets sneaky traps...\A despicable beast!\He's been steadily collecting the Shikon Jewel Shards,\growing more and more powerful.\But we'll pool our strength together, and someday, we'll get rid of him!\We'll seek out Naraku's castle and destroy him!\Our journey continues! response:	I'm so sorry to trouble you.
context: Without sullying his hands, he resorts to dirty tricks and sets sneaky traps...\A despicable beast!\He's been steadily collecting the Shikon Jewel Shards,\growing more and more powerful.\But we'll pool our strength together, and someday, we'll get rid of him!\We'll seek out Naraku's castle and destroy him!\Our journey continues!\I'm so sorry to trouble you. response:	But I felt this sudden pain.
context: A despicable beast!\He's been steadily collecting the Shikon Jewel Shards,\growing more and more powerful.\But we'll pool our strength together, and someday, we'll get rid of him!\We'll seek out Naraku's castle and destroy him!\Our journey continues!\I'm so sorry to trouble you.\But I felt this sudden pain. response:	Don't mention it. It's all part of a monk's duty.
context: He's been steadily collecting the Shikon Jewel Shards,\growing more and more powerful.\But we'll pool our strength together, and someday, we'll get rid of him!\We'll seek out Naraku's castle and destroy him!\Our journey continues!\I'm so sorry to trouble you.\But I felt this sudden pain.\Don't mention it. It's all part of a monk's duty. response:	Not again.
context: growing more and more powerful.\But we'll pool our strength together, and someday, we'll get rid of him!\We'll seek out Naraku's castle and destroy him!\Our journey continues!\I'm so sorry to trouble you.\But I felt this sudden pain.\Don't mention it. It's all part of a monk's duty.\Not again. response:	Again.
context: But we'll pool our strength together, and someday, we'll get rid of him!\We'll seek out Naraku's castle and destroy him!\Our journey continues!\I'm so sorry to trouble you.\But I felt this sudden pain.\Don't mention it. It's all part of a monk's duty.\Not again.\Again. response:	Yup, again.
context: We'll seek out Naraku's castle and destroy him!\Our journey continues!\I'm so sorry to trouble you.\But I felt this sudden pain.\Don't mention it. It's all part of a monk's duty.\Not again.\Again.\Yup, again. response:	How do you feel now?
context: Our journey continues!\I'm so sorry to trouble you.\But I felt this sudden pain.\Don't mention it. It's all part of a monk's duty.\Not again.\Again.\Yup, again.\How do you feel now? response:	Thank you very much. I feel much better.
context: I'm so sorry to trouble you.\But I felt this sudden pain.\Don't mention it. It's all part of a monk's duty.\Not again.\Again.\Yup, again.\How do you feel now?\Thank you very much. I feel much better. response:	But you shouldn't overexert yourself.
context: But I felt this sudden pain.\Don't mention it. It's all part of a monk's duty.\Not again.\Again.\Yup, again.\How do you feel now?\Thank you very much. I feel much better.\But you shouldn't overexert yourself. response:	No, I'm fine now.
context: Don't mention it. It's all part of a monk's duty.\Not again.\Again.\Yup, again.\How do you feel now?\Thank you very much. I feel much better.\But you shouldn't overexert yourself.\No, I'm fine now. response:	Really? Well, I'm glad then.
context: Not again.\Again.\Yup, again.\How do you feel now?\Thank you very much. I feel much better.\But you shouldn't overexert yourself.\No, I'm fine now.\Really? Well, I'm glad then. response:	By the way...
context: Again.\Yup, again.\How do you feel now?\Thank you very much. I feel much better.\But you shouldn't overexert yourself.\No, I'm fine now.\Really? Well, I'm glad then.\By the way... response:	Yes?
context: Yup, again.\How do you feel now?\Thank you very much. I feel much better.\But you shouldn't overexert yourself.\No, I'm fine now.\Really? Well, I'm glad then.\By the way...\Yes? response:	Will you bear my child?
context: How do you feel now?\Thank you very much. I feel much better.\But you shouldn't overexert yourself.\No, I'm fine now.\Really? Well, I'm glad then.\By the way...\Yes?\Will you bear my child? response:	Not again.
context: Thank you very much. I feel much better.\But you shouldn't overexert yourself.\No, I'm fine now.\Really? Well, I'm glad then.\By the way...\Yes?\Will you bear my child?\Not again. response:	Again.
context: But you shouldn't overexert yourself.\No, I'm fine now.\Really? Well, I'm glad then.\By the way...\Yes?\Will you bear my child?\Not again.\Again. response:	Yup, again.
context: No, I'm fine now.\Really? Well, I'm glad then.\By the way...\Yes?\Will you bear my child?\Not again.\Again.\Yup, again. response:	I'll be off.
context: Really? Well, I'm glad then.\By the way...\Yes?\Will you bear my child?\Not again.\Again.\Yup, again.\I'll be off. response:	Take care.
context: By the way...\Yes?\Will you bear my child?\Not again.\Again.\Yup, again.\I'll be off.\Take care. response:	Miroku...
context: Yes?\Will you bear my child?\Not again.\Again.\Yup, again.\I'll be off.\Take care.\Miroku... response:	Why do you always come on to pretty girls?
context: Will you bear my child?\Not again.\Again.\Yup, again.\I'll be off.\Take care.\Miroku...\Why do you always come on to pretty girls? response:	It's just that I cannot ignore a girl in distress.
context: Not again.\Again.\Yup, again.\I'll be off.\Take care.\Miroku...\Why do you always come on to pretty girls?\It's just that I cannot ignore a girl in distress. response:	Anyway, we must hurry.
context: Again.\Yup, again.\I'll be off.\Take care.\Miroku...\Why do you always come on to pretty girls?\It's just that I cannot ignore a girl in distress.\Anyway, we must hurry. response:	You're the one who kept us waiting!
context: Yup, again.\I'll be off.\Take care.\Miroku...\Why do you always come on to pretty girls?\It's just that I cannot ignore a girl in distress.\Anyway, we must hurry.\You're the one who kept us waiting! response:	Thank you!
context: I'll be off.\Take care.\Miroku...\Why do you always come on to pretty girls?\It's just that I cannot ignore a girl in distress.\Anyway, we must hurry.\You're the one who kept us waiting!\Thank you! response:	Oh! Say, how about taking a short break?
context: Take care.\Miroku...\Why do you always come on to pretty girls?\It's just that I cannot ignore a girl in distress.\Anyway, we must hurry.\You're the one who kept us waiting!\Thank you!\Oh! Say, how about taking a short break? response:	That sounds nice.
context: Miroku...\Why do you always come on to pretty girls?\It's just that I cannot ignore a girl in distress.\Anyway, we must hurry.\You're the one who kept us waiting!\Thank you!\Oh! Say, how about taking a short break?\That sounds nice. response:	- Huh? - What?
context: Why do you always come on to pretty girls?\It's just that I cannot ignore a girl in distress.\Anyway, we must hurry.\You're the one who kept us waiting!\Thank you!\Oh! Say, how about taking a short break?\That sounds nice.\- Huh? - What? response:	What's the matter, Miroku?
context: It's just that I cannot ignore a girl in distress.\Anyway, we must hurry.\You're the one who kept us waiting!\Thank you!\Oh! Say, how about taking a short break?\That sounds nice.\- Huh? - What?\What's the matter, Miroku? response:	My travel funds... my money... is gone.
context: Anyway, we must hurry.\You're the one who kept us waiting!\Thank you!\Oh! Say, how about taking a short break?\That sounds nice.\- Huh? - What?\What's the matter, Miroku?\My travel funds... my money... is gone. response:	What?!
context: You're the one who kept us waiting!\Thank you!\Oh! Say, how about taking a short break?\That sounds nice.\- Huh? - What?\What's the matter, Miroku?\My travel funds... my money... is gone.\What?! response:	I'm sure I had it this morning.
context: Thank you!\Oh! Say, how about taking a short break?\That sounds nice.\- Huh? - What?\What's the matter, Miroku?\My travel funds... my money... is gone.\What?!\I'm sure I had it this morning. response:	It must've been that woman at the roadside!
context: Oh! Say, how about taking a short break?\That sounds nice.\- Huh? - What?\What's the matter, Miroku?\My travel funds... my money... is gone.\What?!\I'm sure I had it this morning.\It must've been that woman at the roadside! response:	She was a pickpocket!
context: That sounds nice.\- Huh? - What?\What's the matter, Miroku?\My travel funds... my money... is gone.\What?!\I'm sure I had it this morning.\It must've been that woman at the roadside!\She was a pickpocket! response:	What?
context: - Huh? - What?\What's the matter, Miroku?\My travel funds... my money... is gone.\What?!\I'm sure I had it this morning.\It must've been that woman at the roadside!\She was a pickpocket!\What? response:	No wonder she didn't go bonkers when you stroked her butt!
context: What's the matter, Miroku?\My travel funds... my money... is gone.\What?!\I'm sure I had it this morning.\It must've been that woman at the roadside!\She was a pickpocket!\What?\No wonder she didn't go bonkers when you stroked her butt! response:	What have I done?!
context: My travel funds... my money... is gone.\What?!\I'm sure I had it this morning.\It must've been that woman at the roadside!\She was a pickpocket!\What?\No wonder she didn't go bonkers when you stroked her butt!\What have I done?! response:	C'mon! Let's go!
context: What?!\I'm sure I had it this morning.\It must've been that woman at the roadside!\She was a pickpocket!\What?\No wonder she didn't go bonkers when you stroked her butt!\What have I done?!\C'mon! Let's go! response:	Say! Where's Miroku?
context: I'm sure I had it this morning.\It must've been that woman at the roadside!\She was a pickpocket!\What?\No wonder she didn't go bonkers when you stroked her butt!\What have I done?!\C'mon! Let's go!\Say! Where's Miroku? response:	What happened to him?
context: It must've been that woman at the roadside!\She was a pickpocket!\What?\No wonder she didn't go bonkers when you stroked her butt!\What have I done?!\C'mon! Let's go!\Say! Where's Miroku?\What happened to him? response:	He was lagging behind a while ago.
context: She was a pickpocket!\What?\No wonder she didn't go bonkers when you stroked her butt!\What have I done?!\C'mon! Let's go!\Say! Where's Miroku?\What happened to him?\He was lagging behind a while ago. response:	Maybe he's depressed after getting robbed.
context: What?\No wonder she didn't go bonkers when you stroked her butt!\What have I done?!\C'mon! Let's go!\Say! Where's Miroku?\What happened to him?\He was lagging behind a while ago.\Maybe he's depressed after getting robbed. response:	I'll go check.
context: No wonder she didn't go bonkers when you stroked her butt!\What have I done?!\C'mon! Let's go!\Say! Where's Miroku?\What happened to him?\He was lagging behind a while ago.\Maybe he's depressed after getting robbed.\I'll go check. response:	Hmm...
context: What have I done?!\C'mon! Let's go!\Say! Where's Miroku?\What happened to him?\He was lagging behind a while ago.\Maybe he's depressed after getting robbed.\I'll go check.\Hmm... response:	What is it?
context: C'mon! Let's go!\Say! Where's Miroku?\What happened to him?\He was lagging behind a while ago.\Maybe he's depressed after getting robbed.\I'll go check.\Hmm...\What is it? response:	No. Nothing.
context: Say! Where's Miroku?\What happened to him?\He was lagging behind a while ago.\Maybe he's depressed after getting robbed.\I'll go check.\Hmm...\What is it?\No. Nothing. response:	Ho... I see.
context: What happened to him?\He was lagging behind a while ago.\Maybe he's depressed after getting robbed.\I'll go check.\Hmm...\What is it?\No. Nothing.\Ho... I see. response:	We're all worried sick and we don't know what to do.
context: He was lagging behind a while ago.\Maybe he's depressed after getting robbed.\I'll go check.\Hmm...\What is it?\No. Nothing.\Ho... I see.\We're all worried sick and we don't know what to do. response:	Well, there's no need to worry any longer.
context: Maybe he's depressed after getting robbed.\I'll go check.\Hmm...\What is it?\No. Nothing.\Ho... I see.\We're all worried sick and we don't know what to do.\Well, there's no need to worry any longer. response:	What are you doing, Monk?
context: I'll go check.\Hmm...\What is it?\No. Nothing.\Ho... I see.\We're all worried sick and we don't know what to do.\Well, there's no need to worry any longer.\What are you doing, Monk? response:	Huh? Well... nothing... yet.
context: Hmm...\What is it?\No. Nothing.\Ho... I see.\We're all worried sick and we don't know what to do.\Well, there's no need to worry any longer.\What are you doing, Monk?\Huh? Well... nothing... yet. response:	The men who went into the mountain haven't returned?
context: What is it?\No. Nothing.\Ho... I see.\We're all worried sick and we don't know what to do.\Well, there's no need to worry any longer.\What are you doing, Monk?\Huh? Well... nothing... yet.\The men who went into the mountain haven't returned? response:	We're sure they've been captured by demons.
context: No. Nothing.\Ho... I see.\We're all worried sick and we don't know what to do.\Well, there's no need to worry any longer.\What are you doing, Monk?\Huh? Well... nothing... yet.\The men who went into the mountain haven't returned?\We're sure they've been captured by demons. response:	Please help us!
context: Ho... I see.\We're all worried sick and we don't know what to do.\Well, there's no need to worry any longer.\What are you doing, Monk?\Huh? Well... nothing... yet.\The men who went into the mountain haven't returned?\We're sure they've been captured by demons.\Please help us! response:	Saving people for free again?
context: We're all worried sick and we don't know what to do.\Well, there's no need to worry any longer.\What are you doing, Monk?\Huh? Well... nothing... yet.\The men who went into the mountain haven't returned?\We're sure they've been captured by demons.\Please help us!\Saving people for free again? response:	Come on, Inuyasha!
context: Well, there's no need to worry any longer.\What are you doing, Monk?\Huh? Well... nothing... yet.\The men who went into the mountain haven't returned?\We're sure they've been captured by demons.\Please help us!\Saving people for free again?\Come on, Inuyasha! response:	Please!
context: What are you doing, Monk?\Huh? Well... nothing... yet.\The men who went into the mountain haven't returned?\We're sure they've been captured by demons.\Please help us!\Saving people for free again?\Come on, Inuyasha!\Please! response:	Please help us!
context: Huh? Well... nothing... yet.\The men who went into the mountain haven't returned?\We're sure they've been captured by demons.\Please help us!\Saving people for free again?\Come on, Inuyasha!\Please!\Please help us! response:	Please... save my husband!
context: The men who went into the mountain haven't returned?\We're sure they've been captured by demons.\Please help us!\Saving people for free again?\Come on, Inuyasha!\Please!\Please help us!\Please... save my husband! response:	You have a husband, too?
context: We're sure they've been captured by demons.\Please help us!\Saving people for free again?\Come on, Inuyasha!\Please!\Please help us!\Please... save my husband!\You have a husband, too? response:	Yes.
context: Please help us!\Saving people for free again?\Come on, Inuyasha!\Please!\Please help us!\Please... save my husband!\You have a husband, too?\Yes. response:	I guess it's very lonely without your husband.
context: Saving people for free again?\Come on, Inuyasha!\Please!\Please help us!\Please... save my husband!\You have a husband, too?\Yes.\I guess it's very lonely without your husband. response:	Oh please, Monk, lend us your power.
context: Come on, Inuyasha!\Please!\Please help us!\Please... save my husband!\You have a husband, too?\Yes.\I guess it's very lonely without your husband.\Oh please, Monk, lend us your power. response:	All right. We shall go and free your men.
context: Please!\Please help us!\Please... save my husband!\You have a husband, too?\Yes.\I guess it's very lonely without your husband.\Oh please, Monk, lend us your power.\All right. We shall go and free your men. response:	Thank you so much!
context: Please help us!\Please... save my husband!\You have a husband, too?\Yes.\I guess it's very lonely without your husband.\Oh please, Monk, lend us your power.\All right. We shall go and free your men.\Thank you so much! response:	Got that, Inuyasha?
context: Please... save my husband!\You have a husband, too?\Yes.\I guess it's very lonely without your husband.\Oh please, Monk, lend us your power.\All right. We shall go and free your men.\Thank you so much!\Got that, Inuyasha? response:	Well, I'm the one that has to deliver the finishing blow.
context: You have a husband, too?\Yes.\I guess it's very lonely without your husband.\Oh please, Monk, lend us your power.\All right. We shall go and free your men.\Thank you so much!\Got that, Inuyasha?\Well, I'm the one that has to deliver the finishing blow. response:	Exactly.
context: Yes.\I guess it's very lonely without your husband.\Oh please, Monk, lend us your power.\All right. We shall go and free your men.\Thank you so much!\Got that, Inuyasha?\Well, I'm the one that has to deliver the finishing blow.\Exactly. response:	Now then, let us go.
context: I guess it's very lonely without your husband.\Oh please, Monk, lend us your power.\All right. We shall go and free your men.\Thank you so much!\Got that, Inuyasha?\Well, I'm the one that has to deliver the finishing blow.\Exactly.\Now then, let us go. response:	Please be very careful.
context: Oh please, Monk, lend us your power.\All right. We shall go and free your men.\Thank you so much!\Got that, Inuyasha?\Well, I'm the one that has to deliver the finishing blow.\Exactly.\Now then, let us go.\Please be very careful. response:	According to rumors, the demon is a beautiful woman.
context: All right. We shall go and free your men.\Thank you so much!\Got that, Inuyasha?\Well, I'm the one that has to deliver the finishing blow.\Exactly.\Now then, let us go.\Please be very careful.\According to rumors, the demon is a beautiful woman. response:	I shall go alone.
context: Thank you so much!\Got that, Inuyasha?\Well, I'm the one that has to deliver the finishing blow.\Exactly.\Now then, let us go.\Please be very careful.\According to rumors, the demon is a beautiful woman.\I shall go alone. response:	But why did Miroku go off by himself?
context: Got that, Inuyasha?\Well, I'm the one that has to deliver the finishing blow.\Exactly.\Now then, let us go.\Please be very careful.\According to rumors, the demon is a beautiful woman.\I shall go alone.\But why did Miroku go off by himself? response:	He probably wants to be alone with the beautiful demon.
context: Well, I'm the one that has to deliver the finishing blow.\Exactly.\Now then, let us go.\Please be very careful.\According to rumors, the demon is a beautiful woman.\I shall go alone.\But why did Miroku go off by himself?\He probably wants to be alone with the beautiful demon. response:	He never learns, does he?
context: Exactly.\Now then, let us go.\Please be very careful.\According to rumors, the demon is a beautiful woman.\I shall go alone.\But why did Miroku go off by himself?\He probably wants to be alone with the beautiful demon.\He never learns, does he? response:	Sango, are you following him?
context: Now then, let us go.\Please be very careful.\According to rumors, the demon is a beautiful woman.\I shall go alone.\But why did Miroku go off by himself?\He probably wants to be alone with the beautiful demon.\He never learns, does he?\Sango, are you following him? response:	Of course!
context: Please be very careful.\According to rumors, the demon is a beautiful woman.\I shall go alone.\But why did Miroku go off by himself?\He probably wants to be alone with the beautiful demon.\He never learns, does he?\Sango, are you following him?\Of course! response:	Leave that womanizing monk and he'll be the one who gets bewitched.
context: According to rumors, the demon is a beautiful woman.\I shall go alone.\But why did Miroku go off by himself?\He probably wants to be alone with the beautiful demon.\He never learns, does he?\Sango, are you following him?\Of course!\Leave that womanizing monk and he'll be the one who gets bewitched. response:	Come on, Kirara!
context: I shall go alone.\But why did Miroku go off by himself?\He probably wants to be alone with the beautiful demon.\He never learns, does he?\Sango, are you following him?\Of course!\Leave that womanizing monk and he'll be the one who gets bewitched.\Come on, Kirara! response:	Say, Inuyasha.
context: But why did Miroku go off by himself?\He probably wants to be alone with the beautiful demon.\He never learns, does he?\Sango, are you following him?\Of course!\Leave that womanizing monk and he'll be the one who gets bewitched.\Come on, Kirara!\Say, Inuyasha. response:	Huh?
context: He probably wants to be alone with the beautiful demon.\He never learns, does he?\Sango, are you following him?\Of course!\Leave that womanizing monk and he'll be the one who gets bewitched.\Come on, Kirara!\Say, Inuyasha.\Huh? response:	I've been thinking...
context: He never learns, does he?\Sango, are you following him?\Of course!\Leave that womanizing monk and he'll be the one who gets bewitched.\Come on, Kirara!\Say, Inuyasha.\Huh?\I've been thinking... response:	I'm willing to bet that Sango has feelings for Miroku.
context: Sango, are you following him?\Of course!\Leave that womanizing monk and he'll be the one who gets bewitched.\Come on, Kirara!\Say, Inuyasha.\Huh?\I've been thinking...\I'm willing to bet that Sango has feelings for Miroku. response:	Huh? What're you saying?
context: Of course!\Leave that womanizing monk and he'll be the one who gets bewitched.\Come on, Kirara!\Say, Inuyasha.\Huh?\I've been thinking...\I'm willing to bet that Sango has feelings for Miroku.\Huh? What're you saying? response:	Haven't you noticed?!
context: Leave that womanizing monk and he'll be the one who gets bewitched.\Come on, Kirara!\Say, Inuyasha.\Huh?\I've been thinking...\I'm willing to bet that Sango has feelings for Miroku.\Huh? What're you saying?\Haven't you noticed?! response:	Huh?
context: Come on, Kirara!\Say, Inuyasha.\Huh?\I've been thinking...\I'm willing to bet that Sango has feelings for Miroku.\Huh? What're you saying?\Haven't you noticed?!\Huh? response:	I sorta had an inkling.
context: Say, Inuyasha.\Huh?\I've been thinking...\I'm willing to bet that Sango has feelings for Miroku.\Huh? What're you saying?\Haven't you noticed?!\Huh?\I sorta had an inkling. response:	Huh?
context: Huh?\I've been thinking...\I'm willing to bet that Sango has feelings for Miroku.\Huh? What're you saying?\Haven't you noticed?!\Huh?\I sorta had an inkling.\Huh? response:	You're so dense!
context: I've been thinking...\I'm willing to bet that Sango has feelings for Miroku.\Huh? What're you saying?\Haven't you noticed?!\Huh?\I sorta had an inkling.\Huh?\You're so dense! response:	Well...
context: I'm willing to bet that Sango has feelings for Miroku.\Huh? What're you saying?\Haven't you noticed?!\Huh?\I sorta had an inkling.\Huh?\You're so dense!\Well... response:	You've seen how Sango gets upset when Miroku strokes her buns.
context: Huh? What're you saying?\Haven't you noticed?!\Huh?\I sorta had an inkling.\Huh?\You're so dense!\Well...\You've seen how Sango gets upset when Miroku strokes her buns. response:	Listen... Women are creatures that cherish mood.
context: Haven't you noticed?!\Huh?\I sorta had an inkling.\Huh?\You're so dense!\Well...\You've seen how Sango gets upset when Miroku strokes her buns.\Listen... Women are creatures that cherish mood. response:	What's mood?
