context: I've come to get you, Princess. response:	Who might you be?
context: The Round Table's warehouses, anyway.\However...\The Marine Agency's warehouses can hold five thousand tons as easily as five hundred.\If you like, I can also lend you carts.\Then, let's get everything moved.\What's wrong?\You aren't going to tell me there isn't any cargo,\and this was all a plot against the princess, are you? response:	I'm sorry... That was a bad joke.
context: However...\The Marine Agency's warehouses can hold five thousand tons as easily as five hundred.\If you like, I can also lend you carts.\Then, let's get everything moved.\What's wrong?\You aren't going to tell me there isn't any cargo,\and this was all a plot against the princess, are you?\I'm sorry... That was a bad joke. response:	A nobleman of the proud Holy Empire Westelande would never
context: The Marine Agency's warehouses can hold five thousand tons as easily as five hundred.\If you like, I can also lend you carts.\Then, let's get everything moved.\What's wrong?\You aren't going to tell me there isn't any cargo,\and this was all a plot against the princess, are you?\I'm sorry... That was a bad joke.\A nobleman of the proud Holy Empire Westelande would never response:	do a thing like that.
context: If you like, I can also lend you carts.\Then, let's get everything moved.\What's wrong?\You aren't going to tell me there isn't any cargo,\and this was all a plot against the princess, are you?\I'm sorry... That was a bad joke.\A nobleman of the proud Holy Empire Westelande would never\do a thing like that. response:	I feel unwell!
context: Then, let's get everything moved.\What's wrong?\You aren't going to tell me there isn't any cargo,\and this was all a plot against the princess, are you?\I'm sorry... That was a bad joke.\A nobleman of the proud Holy Empire Westelande would never\do a thing like that.\I feel unwell! response:	Um, I really am...
context: What's wrong?\You aren't going to tell me there isn't any cargo,\and this was all a plot against the princess, are you?\I'm sorry... That was a bad joke.\A nobleman of the proud Holy Empire Westelande would never\do a thing like that.\I feel unwell!\Um, I really am... response:	If you're thanking someone, thank Shiroe.
context: You aren't going to tell me there isn't any cargo,\and this was all a plot against the princess, are you?\I'm sorry... That was a bad joke.\A nobleman of the proud Holy Empire Westelande would never\do a thing like that.\I feel unwell!\Um, I really am...\If you're thanking someone, thank Shiroe. response:	This was just something I dealt with on the side.
context: and this was all a plot against the princess, are you?\I'm sorry... That was a bad joke.\A nobleman of the proud Holy Empire Westelande would never\do a thing like that.\I feel unwell!\Um, I really am...\If you're thanking someone, thank Shiroe.\This was just something I dealt with on the side. response:	Then, shall we go?
context: I'm sorry... That was a bad joke.\A nobleman of the proud Holy Empire Westelande would never\do a thing like that.\I feel unwell!\Um, I really am...\If you're thanking someone, thank Shiroe.\This was just something I dealt with on the side.\Then, shall we go? response:	On the side?
context: A nobleman of the proud Holy Empire Westelande would never\do a thing like that.\I feel unwell!\Um, I really am...\If you're thanking someone, thank Shiroe.\This was just something I dealt with on the side.\Then, shall we go?\On the side? response:	I told you, right?
context: do a thing like that.\I feel unwell!\Um, I really am...\If you're thanking someone, thank Shiroe.\This was just something I dealt with on the side.\Then, shall we go?\On the side?\I told you, right? response:	That I've come to get you.
context: I feel unwell!\Um, I really am...\If you're thanking someone, thank Shiroe.\This was just something I dealt with on the side.\Then, shall we go?\On the side?\I told you, right?\That I've come to get you. response:	The Scale Festival
context: Um, I really am...\If you're thanking someone, thank Shiroe.\This was just something I dealt with on the side.\Then, shall we go?\On the side?\I told you, right?\That I've come to get you.\The Scale Festival response:	The Scale Festival.
context: If you're thanking someone, thank Shiroe.\This was just something I dealt with on the side.\Then, shall we go?\On the side?\I told you, right?\That I've come to get you.\The Scale Festival\The Scale Festival. response:	Okay, here we go!
context: This was just something I dealt with on the side.\Then, shall we go?\On the side?\I told you, right?\That I've come to get you.\The Scale Festival\The Scale Festival.\Okay, here we go! response:	We will now begin the Akihabara Autumn Collection Fashion Show!
context: Then, shall we go?\On the side?\I told you, right?\That I've come to get you.\The Scale Festival\The Scale Festival.\Okay, here we go!\We will now begin the Akihabara Autumn Collection Fashion Show! response:	This is much nicer than the stage inside the building.
context: On the side?\I told you, right?\That I've come to get you.\The Scale Festival\The Scale Festival.\Okay, here we go!\We will now begin the Akihabara Autumn Collection Fashion Show!\This is much nicer than the stage inside the building. response:	This was a great idea, Shiro...
context: I told you, right?\That I've come to get you.\The Scale Festival\The Scale Festival.\Okay, here we go!\We will now begin the Akihabara Autumn Collection Fashion Show!\This is much nicer than the stage inside the building.\This was a great idea, Shiro... response:	Very clever!
context: That I've come to get you.\The Scale Festival\The Scale Festival.\Okay, here we go!\We will now begin the Akihabara Autumn Collection Fashion Show!\This is much nicer than the stage inside the building.\This was a great idea, Shiro...\Very clever! response:	Now, come on, Akatsuki.
context: The Scale Festival\The Scale Festival.\Okay, here we go!\We will now begin the Akihabara Autumn Collection Fashion Show!\This is much nicer than the stage inside the building.\This was a great idea, Shiro...\Very clever!\Now, come on, Akatsuki. response:	Smile. Smile!
context: The Scale Festival.\Okay, here we go!\We will now begin the Akihabara Autumn Collection Fashion Show!\This is much nicer than the stage inside the building.\This was a great idea, Shiro...\Very clever!\Now, come on, Akatsuki.\Smile. Smile! response:	My lord...
context: Okay, here we go!\We will now begin the Akihabara Autumn Collection Fashion Show!\This is much nicer than the stage inside the building.\This was a great idea, Shiro...\Very clever!\Now, come on, Akatsuki.\Smile. Smile!\My lord... response:	Hey, is that...
context: We will now begin the Akihabara Autumn Collection Fashion Show!\This is much nicer than the stage inside the building.\This was a great idea, Shiro...\Very clever!\Now, come on, Akatsuki.\Smile. Smile!\My lord...\Hey, is that... response:	It's the princess!
context: This is much nicer than the stage inside the building.\This was a great idea, Shiro...\Very clever!\Now, come on, Akatsuki.\Smile. Smile!\My lord...\Hey, is that...\It's the princess! response:	The princess...
context: This was a great idea, Shiro...\Very clever!\Now, come on, Akatsuki.\Smile. Smile!\My lord...\Hey, is that...\It's the princess!\The princess... response:	There's no need to kneel.
context: Very clever!\Now, come on, Akatsuki.\Smile. Smile!\My lord...\Hey, is that...\It's the princess!\The princess...\There's no need to kneel. response:	Tonight, Princess Lenessia is here
context: Now, come on, Akatsuki.\Smile. Smile!\My lord...\Hey, is that...\It's the princess!\The princess...\There's no need to kneel.\Tonight, Princess Lenessia is here response:	to enjoy the festival with all of you.
context: Smile. Smile!\My lord...\Hey, is that...\It's the princess!\The princess...\There's no need to kneel.\Tonight, Princess Lenessia is here\to enjoy the festival with all of you. response:	For security reasons, she can't leave this couch.
context: My lord...\Hey, is that...\It's the princess!\The princess...\There's no need to kneel.\Tonight, Princess Lenessia is here\to enjoy the festival with all of you.\For security reasons, she can't leave this couch. response:	But she's said she'll greet anyone who wants to say hello.
context: Hey, is that...\It's the princess!\The princess...\There's no need to kneel.\Tonight, Princess Lenessia is here\to enjoy the festival with all of you.\For security reasons, she can't leave this couch.\But she's said she'll greet anyone who wants to say hello. response:	It's a once-in-a-lifetime opportunity, so take advantage of it!
context: It's the princess!\The princess...\There's no need to kneel.\Tonight, Princess Lenessia is here\to enjoy the festival with all of you.\For security reasons, she can't leave this couch.\But she's said she'll greet anyone who wants to say hello.\It's a once-in-a-lifetime opportunity, so take advantage of it! response:	Seriously? I don't know if I feel worthy...
context: The princess...\There's no need to kneel.\Tonight, Princess Lenessia is here\to enjoy the festival with all of you.\For security reasons, she can't leave this couch.\But she's said she'll greet anyone who wants to say hello.\It's a once-in-a-lifetime opportunity, so take advantage of it!\Seriously? I don't know if I feel worthy... response:	Oh, fine...
context: There's no need to kneel.\Tonight, Princess Lenessia is here\to enjoy the festival with all of you.\For security reasons, she can't leave this couch.\But she's said she'll greet anyone who wants to say hello.\It's a once-in-a-lifetime opportunity, so take advantage of it!\Seriously? I don't know if I feel worthy...\Oh, fine... response:	We'll be the first ones up!
context: Tonight, Princess Lenessia is here\to enjoy the festival with all of you.\For security reasons, she can't leave this couch.\But she's said she'll greet anyone who wants to say hello.\It's a once-in-a-lifetime opportunity, so take advantage of it!\Seriously? I don't know if I feel worthy...\Oh, fine...\We'll be the first ones up! response:	Yeah!
context: to enjoy the festival with all of you.\For security reasons, she can't leave this couch.\But she's said she'll greet anyone who wants to say hello.\It's a once-in-a-lifetime opportunity, so take advantage of it!\Seriously? I don't know if I feel worthy...\Oh, fine...\We'll be the first ones up!\Yeah! response:	Crusty was so cool back there.
context: For security reasons, she can't leave this couch.\But she's said she'll greet anyone who wants to say hello.\It's a once-in-a-lifetime opportunity, so take advantage of it!\Seriously? I don't know if I feel worthy...\Oh, fine...\We'll be the first ones up!\Yeah!\Crusty was so cool back there. response:	But that Shiroe guy was so creepy...
context: But she's said she'll greet anyone who wants to say hello.\It's a once-in-a-lifetime opportunity, so take advantage of it!\Seriously? I don't know if I feel worthy...\Oh, fine...\We'll be the first ones up!\Yeah!\Crusty was so cool back there.\But that Shiroe guy was so creepy... response:	He was mean to the princess.
context: It's a once-in-a-lifetime opportunity, so take advantage of it!\Seriously? I don't know if I feel worthy...\Oh, fine...\We'll be the first ones up!\Yeah!\Crusty was so cool back there.\But that Shiroe guy was so creepy...\He was mean to the princess. response:	Yeah.
context: Seriously? I don't know if I feel worthy...\Oh, fine...\We'll be the first ones up!\Yeah!\Crusty was so cool back there.\But that Shiroe guy was so creepy...\He was mean to the princess.\Yeah. response:	Looks like the enemy's attempts to confuse us have ceased...
context: Oh, fine...\We'll be the first ones up!\Yeah!\Crusty was so cool back there.\But that Shiroe guy was so creepy...\He was mean to the princess.\Yeah.\Looks like the enemy's attempts to confuse us have ceased... response:	Does that mean Malves was the mastermind behind it, after all?
context: We'll be the first ones up!\Yeah!\Crusty was so cool back there.\But that Shiroe guy was so creepy...\He was mean to the princess.\Yeah.\Looks like the enemy's attempts to confuse us have ceased...\Does that mean Malves was the mastermind behind it, after all? response:	Though, given how he acted, I don't know if I can call him a mastermind.
context: Yeah!\Crusty was so cool back there.\But that Shiroe guy was so creepy...\He was mean to the princess.\Yeah.\Looks like the enemy's attempts to confuse us have ceased...\Does that mean Malves was the mastermind behind it, after all?\Though, given how he acted, I don't know if I can call him a mastermind. response:	Shiroe...
context: Crusty was so cool back there.\But that Shiroe guy was so creepy...\He was mean to the princess.\Yeah.\Looks like the enemy's attempts to confuse us have ceased...\Does that mean Malves was the mastermind behind it, after all?\Though, given how he acted, I don't know if I can call him a mastermind.\Shiroe... response:	Minori?
context: But that Shiroe guy was so creepy...\He was mean to the princess.\Yeah.\Looks like the enemy's attempts to confuse us have ceased...\Does that mean Malves was the mastermind behind it, after all?\Though, given how he acted, I don't know if I can call him a mastermind.\Shiroe...\Minori? response:	You did well today.
context: He was mean to the princess.\Yeah.\Looks like the enemy's attempts to confuse us have ceased...\Does that mean Malves was the mastermind behind it, after all?\Though, given how he acted, I don't know if I can call him a mastermind.\Shiroe...\Minori?\You did well today. response:	Thanks.
context: Yeah.\Looks like the enemy's attempts to confuse us have ceased...\Does that mean Malves was the mastermind behind it, after all?\Though, given how he acted, I don't know if I can call him a mastermind.\Shiroe...\Minori?\You did well today.\Thanks. response:	S-Sure!
context: Looks like the enemy's attempts to confuse us have ceased...\Does that mean Malves was the mastermind behind it, after all?\Though, given how he acted, I don't know if I can call him a mastermind.\Shiroe...\Minori?\You did well today.\Thanks.\S-Sure! response:	U-Um...
context: Does that mean Malves was the mastermind behind it, after all?\Though, given how he acted, I don't know if I can call him a mastermind.\Shiroe...\Minori?\You did well today.\Thanks.\S-Sure!\U-Um... response:	Aren't you going to say hello to Princess Lenessia?
context: Though, given how he acted, I don't know if I can call him a mastermind.\Shiroe...\Minori?\You did well today.\Thanks.\S-Sure!\U-Um...\Aren't you going to say hello to Princess Lenessia? response:	The Round Table's other guild masters are already there.
context: Shiroe...\Minori?\You did well today.\Thanks.\S-Sure!\U-Um...\Aren't you going to say hello to Princess Lenessia?\The Round Table's other guild masters are already there. response:	I just saw her, anyway.
context: Minori?\You did well today.\Thanks.\S-Sure!\U-Um...\Aren't you going to say hello to Princess Lenessia?\The Round Table's other guild masters are already there.\I just saw her, anyway. response:	I've already done my job here, too.
context: You did well today.\Thanks.\S-Sure!\U-Um...\Aren't you going to say hello to Princess Lenessia?\The Round Table's other guild masters are already there.\I just saw her, anyway.\I've already done my job here, too. response:	Your job?
context: Thanks.\S-Sure!\U-Um...\Aren't you going to say hello to Princess Lenessia?\The Round Table's other guild masters are already there.\I just saw her, anyway.\I've already done my job here, too.\Your job? response:	You're so cute!
context: S-Sure!\U-Um...\Aren't you going to say hello to Princess Lenessia?\The Round Table's other guild masters are already there.\I just saw her, anyway.\I've already done my job here, too.\Your job?\You're so cute! response:	There, there, there, there...
context: U-Um...\Aren't you going to say hello to Princess Lenessia?\The Round Table's other guild masters are already there.\I just saw her, anyway.\I've already done my job here, too.\Your job?\You're so cute!\There, there, there, there... response:	What's going on?
context: Aren't you going to say hello to Princess Lenessia?\The Round Table's other guild masters are already there.\I just saw her, anyway.\I've already done my job here, too.\Your job?\You're so cute!\There, there, there, there...\What's going on? response:	Did Marie do something?
context: The Round Table's other guild masters are already there.\I just saw her, anyway.\I've already done my job here, too.\Your job?\You're so cute!\There, there, there, there...\What's going on?\Did Marie do something? response:	Did you do that deliberately?
context: I just saw her, anyway.\I've already done my job here, too.\Your job?\You're so cute!\There, there, there, there...\What's going on?\Did Marie do something?\Did you do that deliberately? response:	Did you deliberately make Princess Lenessia dislike you?
context: I've already done my job here, too.\Your job?\You're so cute!\There, there, there, there...\What's going on?\Did Marie do something?\Did you do that deliberately?\Did you deliberately make Princess Lenessia dislike you? response:	Yeah... I did.
context: Your job?\You're so cute!\There, there, there, there...\What's going on?\Did Marie do something?\Did you do that deliberately?\Did you deliberately make Princess Lenessia dislike you?\Yeah... I did. response:	Sometimes, having both good cop and bad cop is for the best.
context: You're so cute!\There, there, there, there...\What's going on?\Did Marie do something?\Did you do that deliberately?\Did you deliberately make Princess Lenessia dislike you?\Yeah... I did.\Sometimes, having both good cop and bad cop is for the best. response:	In the princess's case, Crusty is the good cop.
context: There, there, there, there...\What's going on?\Did Marie do something?\Did you do that deliberately?\Did you deliberately make Princess Lenessia dislike you?\Yeah... I did.\Sometimes, having both good cop and bad cop is for the best.\In the princess's case, Crusty is the good cop. response:	Then he really is doing it all deliberately.
context: What's going on?\Did Marie do something?\Did you do that deliberately?\Did you deliberately make Princess Lenessia dislike you?\Yeah... I did.\Sometimes, having both good cop and bad cop is for the best.\In the princess's case, Crusty is the good cop.\Then he really is doing it all deliberately. response:	Especially when you have an aggressive plan to carry out.
context: Did Marie do something?\Did you do that deliberately?\Did you deliberately make Princess Lenessia dislike you?\Yeah... I did.\Sometimes, having both good cop and bad cop is for the best.\In the princess's case, Crusty is the good cop.\Then he really is doing it all deliberately.\Especially when you have an aggressive plan to carry out. response:	Are you okay with that?
context: Did you do that deliberately?\Did you deliberately make Princess Lenessia dislike you?\Yeah... I did.\Sometimes, having both good cop and bad cop is for the best.\In the princess's case, Crusty is the good cop.\Then he really is doing it all deliberately.\Especially when you have an aggressive plan to carry out.\Are you okay with that? response:	Oh, you're worried that people might dislike Log Horizon, not just me?
context: Did you deliberately make Princess Lenessia dislike you?\Yeah... I did.\Sometimes, having both good cop and bad cop is for the best.\In the princess's case, Crusty is the good cop.\Then he really is doing it all deliberately.\Especially when you have an aggressive plan to carry out.\Are you okay with that?\Oh, you're worried that people might dislike Log Horizon, not just me? response:	I can talk to the chief about...
