context: The Kingdom of Fiore... response:	A neutral country of 17 million people.
context: The wizards belong to various guilds and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice? response:	Oh, yeah! It's hoarse from yelling.
context: There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling. response:	Oh, yeah! Until your heart can hear it...
context: And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it... response:	Oh, yeah! Oh, yeah!
context: A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah! response:	The moon and sun high-five.
context: Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five. response:	Are you sure you're not forgetting something?
context: Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something? response:	When you're not here to make me laugh,
context: I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh, response:	even what I'm looking for can't be found.
context: Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found. response:	Snowing, be honest with yourself and smile,
context: Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile, response:	because when two people lay close, time overlaps.
context: Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps. response:	Fairy, where are you going?
context: Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going? response:	I'll gather all the light, and shine down on your tomorrow!
context: The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow! response:	Don't say goodbye!
context: Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye! response:	Last time on Fairy Tail!
context: When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail! response:	Eisenwald is plotting something.
context: even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Eisenwald is plotting something. response:	Shinigami Erigor, the Death God.
context: Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Eisenwald is plotting something.\Shinigami Erigor, the Death God. response:	Some fly from a legal guild!
context: because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Eisenwald is plotting something.\Shinigami Erigor, the Death God.\Some fly from a legal guild! response:	I know that flute! It's the flute of curse, Lullaby!
context: Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Eisenwald is plotting something.\Shinigami Erigor, the Death God.\Some fly from a legal guild!\I know that flute! It's the flute of curse, Lullaby! response:	We're going to stop them!
context: I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Eisenwald is plotting something.\Shinigami Erigor, the Death God.\Some fly from a legal guild!\I know that flute! It's the flute of curse, Lullaby!\We're going to stop them! response:	The town of Clover, where the Guildmaster League is holding their regular meeting.
context: Don't say goodbye!\Last time on Fairy Tail!\Eisenwald is plotting something.\Shinigami Erigor, the Death God.\Some fly from a legal guild!\I know that flute! It's the flute of curse, Lullaby!\We're going to stop them!\The town of Clover, where the Guildmaster League is holding their regular meeting. response:	Makarov, deary, it sure must be nice to have all your little wizardies so pepped up!
context: Last time on Fairy Tail!\Eisenwald is plotting something.\Shinigami Erigor, the Death God.\Some fly from a legal guild!\I know that flute! It's the flute of curse, Lullaby!\We're going to stop them!\The town of Clover, where the Guildmaster League is holding their regular meeting.\Makarov, deary, it sure must be nice to have all your little wizardies so pepped up! response:	The master of the Blue Pegasus guild, Bob.
context: Eisenwald is plotting something.\Shinigami Erigor, the Death God.\Some fly from a legal guild!\I know that flute! It's the flute of curse, Lullaby!\We're going to stop them!\The town of Clover, where the Guildmaster League is holding their regular meeting.\Makarov, deary, it sure must be nice to have all your little wizardies so pepped up!\The master of the Blue Pegasus guild, Bob. response:	FYI, a man.
context: Shinigami Erigor, the Death God.\Some fly from a legal guild!\I know that flute! It's the flute of curse, Lullaby!\We're going to stop them!\The town of Clover, where the Guildmaster League is holding their regular meeting.\Makarov, deary, it sure must be nice to have all your little wizardies so pepped up!\The master of the Blue Pegasus guild, Bob.\FYI, a man. response:	Ooh, I heard that you gave some aristocrat a thrashing.
context: Some fly from a legal guild!\I know that flute! It's the flute of curse, Lullaby!\We're going to stop them!\The town of Clover, where the Guildmaster League is holding their regular meeting.\Makarov, deary, it sure must be nice to have all your little wizardies so pepped up!\The master of the Blue Pegasus guild, Bob.\FYI, a man.\Ooh, I heard that you gave some aristocrat a thrashing. response:	Oh, that was my new recruit, Lucy.
context: I know that flute! It's the flute of curse, Lullaby!\We're going to stop them!\The town of Clover, where the Guildmaster League is holding their regular meeting.\Makarov, deary, it sure must be nice to have all your little wizardies so pepped up!\The master of the Blue Pegasus guild, Bob.\FYI, a man.\Ooh, I heard that you gave some aristocrat a thrashing.\Oh, that was my new recruit, Lucy. response:	She's great!
context: We're going to stop them!\The town of Clover, where the Guildmaster League is holding their regular meeting.\Makarov, deary, it sure must be nice to have all your little wizardies so pepped up!\The master of the Blue Pegasus guild, Bob.\FYI, a man.\Ooh, I heard that you gave some aristocrat a thrashing.\Oh, that was my new recruit, Lucy.\She's great! response:	What a boyoyoing figure she's got!
context: The town of Clover, where the Guildmaster League is holding their regular meeting.\Makarov, deary, it sure must be nice to have all your little wizardies so pepped up!\The master of the Blue Pegasus guild, Bob.\FYI, a man.\Ooh, I heard that you gave some aristocrat a thrashing.\Oh, that was my new recruit, Lucy.\She's great!\What a boyoyoing figure she's got! response:	Stop it, you flirt!
context: Makarov, deary, it sure must be nice to have all your little wizardies so pepped up!\The master of the Blue Pegasus guild, Bob.\FYI, a man.\Ooh, I heard that you gave some aristocrat a thrashing.\Oh, that was my new recruit, Lucy.\She's great!\What a boyoyoing figure she's got!\Stop it, you flirt! response:	Is this something to be laughing about, Makarov?
context: The master of the Blue Pegasus guild, Bob.\FYI, a man.\Ooh, I heard that you gave some aristocrat a thrashing.\Oh, that was my new recruit, Lucy.\She's great!\What a boyoyoing figure she's got!\Stop it, you flirt!\Is this something to be laughing about, Makarov? response:	The master of the Quatro Cerberus guild, Goldmine.
context: FYI, a man.\Ooh, I heard that you gave some aristocrat a thrashing.\Oh, that was my new recruit, Lucy.\She's great!\What a boyoyoing figure she's got!\Stop it, you flirt!\Is this something to be laughing about, Makarov?\The master of the Quatro Cerberus guild, Goldmine. response:	Yeah, it's great they're energetic, but they go way overboard.
context: Ooh, I heard that you gave some aristocrat a thrashing.\Oh, that was my new recruit, Lucy.\She's great!\What a boyoyoing figure she's got!\Stop it, you flirt!\Is this something to be laughing about, Makarov?\The master of the Quatro Cerberus guild, Goldmine.\Yeah, it's great they're energetic, but they go way overboard. response:	There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know.
context: Oh, that was my new recruit, Lucy.\She's great!\What a boyoyoing figure she's got!\Stop it, you flirt!\Is this something to be laughing about, Makarov?\The master of the Quatro Cerberus guild, Goldmine.\Yeah, it's great they're energetic, but they go way overboard.\There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know. response:	I'd like to be crushed...
context: She's great!\What a boyoyoing figure she's got!\Stop it, you flirt!\Is this something to be laughing about, Makarov?\The master of the Quatro Cerberus guild, Goldmine.\Yeah, it's great they're energetic, but they go way overboard.\There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know.\I'd like to be crushed... response:	Now that's not proper!
context: What a boyoyoing figure she's got!\Stop it, you flirt!\Is this something to be laughing about, Makarov?\The master of the Quatro Cerberus guild, Goldmine.\Yeah, it's great they're energetic, but they go way overboard.\There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know.\I'd like to be crushed...\Now that's not proper! response:	Don't go laying hands on your own little wizardies!
context: Stop it, you flirt!\Is this something to be laughing about, Makarov?\The master of the Quatro Cerberus guild, Goldmine.\Yeah, it's great they're energetic, but they go way overboard.\There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know.\I'd like to be crushed...\Now that's not proper!\Don't go laying hands on your own little wizardies! response:	Master Makarov!
context: Is this something to be laughing about, Makarov?\The master of the Quatro Cerberus guild, Goldmine.\Yeah, it's great they're energetic, but they go way overboard.\There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know.\I'd like to be crushed...\Now that's not proper!\Don't go laying hands on your own little wizardies!\Master Makarov! response:	Master Makarov!
context: The master of the Quatro Cerberus guild, Goldmine.\Yeah, it's great they're energetic, but they go way overboard.\There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know.\I'd like to be crushed...\Now that's not proper!\Don't go laying hands on your own little wizardies!\Master Makarov!\Master Makarov! response:	A letter from Ms. Mirajane.
context: Yeah, it's great they're energetic, but they go way overboard.\There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know.\I'd like to be crushed...\Now that's not proper!\Don't go laying hands on your own little wizardies!\Master Makarov!\Master Makarov!\A letter from Ms. Mirajane. response:	Thanks.
context: There are people on the council who're worried Fairy Tail's gonna crush an entire city one day, you know.\I'd like to be crushed...\Now that's not proper!\Don't go laying hands on your own little wizardies!\Master Makarov!\Master Makarov!\A letter from Ms. Mirajane.\Thanks. response:	Master, hard at work at your regular meeting, yes?
context: I'd like to be crushed...\Now that's not proper!\Don't go laying hands on your own little wizardies!\Master Makarov!\Master Makarov!\A letter from Ms. Mirajane.\Thanks.\Master, hard at work at your regular meeting, yes? response:	What do you think?
context: Now that's not proper!\Don't go laying hands on your own little wizardies!\Master Makarov!\Master Makarov!\A letter from Ms. Mirajane.\Thanks.\Master, hard at work at your regular meeting, yes?\What do you think? response:	This here's our poster-girl!
context: Don't go laying hands on your own little wizardies!\Master Makarov!\Master Makarov!\A letter from Ms. Mirajane.\Thanks.\Master, hard at work at your regular meeting, yes?\What do you think?\This here's our poster-girl! response:	Quite a looker, eh?
context: Master Makarov!\Master Makarov!\A letter from Ms. Mirajane.\Thanks.\Master, hard at work at your regular meeting, yes?\What do you think?\This here's our poster-girl!\Quite a looker, eh? response:	Oh, my...
context: Master Makarov!\A letter from Ms. Mirajane.\Thanks.\Master, hard at work at your regular meeting, yes?\What do you think?\This here's our poster-girl!\Quite a looker, eh?\Oh, my... response:	Little Mirajane, huh?
context: A letter from Ms. Mirajane.\Thanks.\Master, hard at work at your regular meeting, yes?\What do you think?\This here's our poster-girl!\Quite a looker, eh?\Oh, my...\Little Mirajane, huh? response:	She sure looks like she's grown up...
context: Thanks.\Master, hard at work at your regular meeting, yes?\What do you think?\This here's our poster-girl!\Quite a looker, eh?\Oh, my...\Little Mirajane, huh?\She sure looks like she's grown up... response:	Actually, something wonderful happened while you were gone.
context: Master, hard at work at your regular meeting, yes?\What do you think?\This here's our poster-girl!\Quite a looker, eh?\Oh, my...\Little Mirajane, huh?\She sure looks like she's grown up...\Actually, something wonderful happened while you were gone. response:	Amazingly, Natsu, Gray, and Erza formed a team!
context: What do you think?\This here's our poster-girl!\Quite a looker, eh?\Oh, my...\Little Mirajane, huh?\She sure looks like she's grown up...\Actually, something wonderful happened while you were gone.\Amazingly, Natsu, Gray, and Erza formed a team! response:	I think this is the most powerful team in all of Fairy Tail.
context: This here's our poster-girl!\Quite a looker, eh?\Oh, my...\Little Mirajane, huh?\She sure looks like she's grown up...\Actually, something wonderful happened while you were gone.\Amazingly, Natsu, Gray, and Erza formed a team!\I think this is the most powerful team in all of Fairy Tail. response:	I figured I should report this, so I wrote you a letter.
context: Quite a looker, eh?\Oh, my...\Little Mirajane, huh?\She sure looks like she's grown up...\Actually, something wonderful happened while you were gone.\Amazingly, Natsu, Gray, and Erza formed a team!\I think this is the most powerful team in all of Fairy Tail.\I figured I should report this, so I wrote you a letter. response:	Talk to you later!
context: Oh, my...\Little Mirajane, huh?\She sure looks like she's grown up...\Actually, something wonderful happened while you were gone.\Amazingly, Natsu, Gray, and Erza formed a team!\I think this is the most powerful team in all of Fairy Tail.\I figured I should report this, so I wrote you a letter.\Talk to you later! response:	Oh, my...
context: Little Mirajane, huh?\She sure looks like she's grown up...\Actually, something wonderful happened while you were gone.\Amazingly, Natsu, Gray, and Erza formed a team!\I think this is the most powerful team in all of Fairy Tail.\I figured I should report this, so I wrote you a letter.\Talk to you later!\Oh, my... response:	It seems those worries might actually come to pass, oy...
context: She sure looks like she's grown up...\Actually, something wonderful happened while you were gone.\Amazingly, Natsu, Gray, and Erza formed a team!\I think this is the most powerful team in all of Fairy Tail.\I figured I should report this, so I wrote you a letter.\Talk to you later!\Oh, my...\It seems those worries might actually come to pass, oy... response:	What the heck?
context: Actually, something wonderful happened while you were gone.\Amazingly, Natsu, Gray, and Erza formed a team!\I think this is the most powerful team in all of Fairy Tail.\I figured I should report this, so I wrote you a letter.\Talk to you later!\Oh, my...\It seems those worries might actually come to pass, oy...\What the heck? response:	Those guys might actually be able to destroy an entire city!
context: Amazingly, Natsu, Gray, and Erza formed a team!\I think this is the most powerful team in all of Fairy Tail.\I figured I should report this, so I wrote you a letter.\Talk to you later!\Oh, my...\It seems those worries might actually come to pass, oy...\What the heck?\Those guys might actually be able to destroy an entire city! response:	The regular meeting's over today, and I'm returning tomorrow, but...
context: I think this is the most powerful team in all of Fairy Tail.\I figured I should report this, so I wrote you a letter.\Talk to you later!\Oh, my...\It seems those worries might actually come to pass, oy...\What the heck?\Those guys might actually be able to destroy an entire city!\The regular meeting's over today, and I'm returning tomorrow, but... response:	Please let nothing happen until then, I'm begging you!
context: I figured I should report this, so I wrote you a letter.\Talk to you later!\Oh, my...\It seems those worries might actually come to pass, oy...\What the heck?\Those guys might actually be able to destroy an entire city!\The regular meeting's over today, and I'm returning tomorrow, but...\Please let nothing happen until then, I'm begging you! response:	Fairies in the Wind!
context: Talk to you later!\Oh, my...\It seems those worries might actually come to pass, oy...\What the heck?\Those guys might actually be able to destroy an entire city!\The regular meeting's over today, and I'm returning tomorrow, but...\Please let nothing happen until then, I'm begging you!\Fairies in the Wind! response:	Kunugi station.
context: Oh, my...\It seems those worries might actually come to pass, oy...\What the heck?\Those guys might actually be able to destroy an entire city!\The regular meeting's over today, and I'm returning tomorrow, but...\Please let nothing happen until then, I'm begging you!\Fairies in the Wind!\Kunugi station. response:	This guy with a giant sickle barged on board all of a sudden!
context: It seems those worries might actually come to pass, oy...\What the heck?\Those guys might actually be able to destroy an entire city!\The regular meeting's over today, and I'm returning tomorrow, but...\Please let nothing happen until then, I'm begging you!\Fairies in the Wind!\Kunugi station.\This guy with a giant sickle barged on board all of a sudden! response:	I know them!
context: What the heck?\Those guys might actually be able to destroy an entire city!\The regular meeting's over today, and I'm returning tomorrow, but...\Please let nothing happen until then, I'm begging you!\Fairies in the Wind!\Kunugi station.\This guy with a giant sickle barged on board all of a sudden!\I know them! response:	They're those bastards from the dark guild that hangs around this area!
context: Those guys might actually be able to destroy an entire city!\The regular meeting's over today, and I'm returning tomorrow, but...\Please let nothing happen until then, I'm begging you!\Fairies in the Wind!\Kunugi station.\This guy with a giant sickle barged on board all of a sudden!\I know them!\They're those bastards from the dark guild that hangs around this area! response:	I could understand getting on a cart or a boat, but a train?
context: The regular meeting's over today, and I'm returning tomorrow, but...\Please let nothing happen until then, I'm begging you!\Fairies in the Wind!\Kunugi station.\This guy with a giant sickle barged on board all of a sudden!\I know them!\They're those bastards from the dark guild that hangs around this area!\I could understand getting on a cart or a boat, but a train? response:	Yup! What's the benefit of escaping on a train that can only run on rails?
context: Please let nothing happen until then, I'm begging you!\Fairies in the Wind!\Kunugi station.\This guy with a giant sickle barged on board all of a sudden!\I know them!\They're those bastards from the dark guild that hangs around this area!\I could understand getting on a cart or a boat, but a train?\Yup! What's the benefit of escaping on a train that can only run on rails? response:	It's fast, however.
context: Fairies in the Wind!\Kunugi station.\This guy with a giant sickle barged on board all of a sudden!\I know them!\They're those bastards from the dark guild that hangs around this area!\I could understand getting on a cart or a boat, but a train?\Yup! What's the benefit of escaping on a train that can only run on rails?\It's fast, however. response:	Those guys from Eisenwald must be in a big hurry for some reason then, you think?
context: Kunugi station.\This guy with a giant sickle barged on board all of a sudden!\I know them!\They're those bastards from the dark guild that hangs around this area!\I could understand getting on a cart or a boat, but a train?\Yup! What's the benefit of escaping on a train that can only run on rails?\It's fast, however.\Those guys from Eisenwald must be in a big hurry for some reason then, you think? response:	Why'd you strip?
context: This guy with a giant sickle barged on board all of a sudden!\I know them!\They're those bastards from the dark guild that hangs around this area!\I could understand getting on a cart or a boat, but a train?\Yup! What's the benefit of escaping on a train that can only run on rails?\It's fast, however.\Those guys from Eisenwald must be in a big hurry for some reason then, you think?\Why'd you strip? response:	Well, look at that...
context: I know them!\They're those bastards from the dark guild that hangs around this area!\I could understand getting on a cart or a boat, but a train?\Yup! What's the benefit of escaping on a train that can only run on rails?\It's fast, however.\Those guys from Eisenwald must be in a big hurry for some reason then, you think?\Why'd you strip?\Well, look at that... response:	But the army's already on the move...
context: They're those bastards from the dark guild that hangs around this area!\I could understand getting on a cart or a boat, but a train?\Yup! What's the benefit of escaping on a train that can only run on rails?\It's fast, however.\Those guys from Eisenwald must be in a big hurry for some reason then, you think?\Why'd you strip?\Well, look at that...\But the army's already on the move... response:	Isn't it only a matter of time until they're caught?
context: I could understand getting on a cart or a boat, but a train?\Yup! What's the benefit of escaping on a train that can only run on rails?\It's fast, however.\Those guys from Eisenwald must be in a big hurry for some reason then, you think?\Why'd you strip?\Well, look at that...\But the army's already on the move...\Isn't it only a matter of time until they're caught? response:	That would be nice, if it happens.
context: Yup! What's the benefit of escaping on a train that can only run on rails?\It's fast, however.\Those guys from Eisenwald must be in a big hurry for some reason then, you think?\Why'd you strip?\Well, look at that...\But the army's already on the move...\Isn't it only a matter of time until they're caught?\That would be nice, if it happens. response:	A fly from Fairy Tail?
context: It's fast, however.\Those guys from Eisenwald must be in a big hurry for some reason then, you think?\Why'd you strip?\Well, look at that...\But the army's already on the move...\Isn't it only a matter of time until they're caught?\That would be nice, if it happens.\A fly from Fairy Tail? response:	So you let him see the Lullaby flute and get away without saying a thing?
context: Those guys from Eisenwald must be in a big hurry for some reason then, you think?\Why'd you strip?\Well, look at that...\But the army's already on the move...\Isn't it only a matter of time until they're caught?\That would be nice, if it happens.\A fly from Fairy Tail?\So you let him see the Lullaby flute and get away without saying a thing? response:	Yeah, Kageyama?
context: Why'd you strip?\Well, look at that...\But the army's already on the move...\Isn't it only a matter of time until they're caught?\That would be nice, if it happens.\A fly from Fairy Tail?\So you let him see the Lullaby flute and get away without saying a thing?\Yeah, Kageyama? response:	It's not like our plan is blown!
context: Well, look at that...\But the army's already on the move...\Isn't it only a matter of time until they're caught?\That would be nice, if it happens.\A fly from Fairy Tail?\So you let him see the Lullaby flute and get away without saying a thing?\Yeah, Kageyama?\It's not like our plan is blown! response:	And even if he did notice, it's not like anyone could stop us now, right?
context: But the army's already on the move...\Isn't it only a matter of time until they're caught?\That would be nice, if it happens.\A fly from Fairy Tail?\So you let him see the Lullaby flute and get away without saying a thing?\Yeah, Kageyama?\It's not like our plan is blown!\And even if he did notice, it's not like anyone could stop us now, right? response:	It is important that we take extra precautions.
context: Isn't it only a matter of time until they're caught?\That would be nice, if it happens.\A fly from Fairy Tail?\So you let him see the Lullaby flute and get away without saying a thing?\Yeah, Kageyama?\It's not like our plan is blown!\And even if he did notice, it's not like anyone could stop us now, right?\It is important that we take extra precautions. response:	We're going to put that plan into action.
context: That would be nice, if it happens.\A fly from Fairy Tail?\So you let him see the Lullaby flute and get away without saying a thing?\Yeah, Kageyama?\It's not like our plan is blown!\And even if he did notice, it's not like anyone could stop us now, right?\It is important that we take extra precautions.\We're going to put that plan into action. response:	So, at Oshibana station...
context: A fly from Fairy Tail?\So you let him see the Lullaby flute and get away without saying a thing?\Yeah, Kageyama?\It's not like our plan is blown!\And even if he did notice, it's not like anyone could stop us now, right?\It is important that we take extra precautions.\We're going to put that plan into action.\So, at Oshibana station... response:	There's a forest the flies cannot be allowed to buzz around.
context: So you let him see the Lullaby flute and get away without saying a thing?\Yeah, Kageyama?\It's not like our plan is blown!\And even if he did notice, it's not like anyone could stop us now, right?\It is important that we take extra precautions.\We're going to put that plan into action.\So, at Oshibana station...\There's a forest the flies cannot be allowed to buzz around. response:	Teach them all a lesson!
context: Yeah, Kageyama?\It's not like our plan is blown!\And even if he did notice, it's not like anyone could stop us now, right?\It is important that we take extra precautions.\We're going to put that plan into action.\So, at Oshibana station...\There's a forest the flies cannot be allowed to buzz around.\Teach them all a lesson! response:	Yeah!
context: It's not like our plan is blown!\And even if he did notice, it's not like anyone could stop us now, right?\It is important that we take extra precautions.\We're going to put that plan into action.\So, at Oshibana station...\There's a forest the flies cannot be allowed to buzz around.\Teach them all a lesson!\Yeah! response:	Erza, you're going too fast!
context: And even if he did notice, it's not like anyone could stop us now, right?\It is important that we take extra precautions.\We're going to put that plan into action.\So, at Oshibana station...\There's a forest the flies cannot be allowed to buzz around.\Teach them all a lesson!\Yeah!\Erza, you're going too fast! response:	Look, the SE plug is inflating!
context: It is important that we take extra precautions.\We're going to put that plan into action.\So, at Oshibana station...\There's a forest the flies cannot be allowed to buzz around.\Teach them all a lesson!\Yeah!\Erza, you're going too fast!\Look, the SE plug is inflating! response:	If we let that flute be played, a great number of innocent people will be victims!
context: We're going to put that plan into action.\So, at Oshibana station...\There's a forest the flies cannot be allowed to buzz around.\Teach them all a lesson!\Yeah!\Erza, you're going too fast!\Look, the SE plug is inflating!\If we let that flute be played, a great number of innocent people will be victims! response:	Just by hearing the sound, a person's life is stolen from them!
context: So, at Oshibana station...\There's a forest the flies cannot be allowed to buzz around.\Teach them all a lesson!\Yeah!\Erza, you're going too fast!\Look, the SE plug is inflating!\If we let that flute be played, a great number of innocent people will be victims!\Just by hearing the sound, a person's life is stolen from them! response:	What are we supposed to do when we get there, and you don't have any magical power left?
context: There's a forest the flies cannot be allowed to buzz around.\Teach them all a lesson!\Yeah!\Erza, you're going too fast!\Look, the SE plug is inflating!\If we let that flute be played, a great number of innocent people will be victims!\Just by hearing the sound, a person's life is stolen from them!\What are we supposed to do when we get there, and you don't have any magical power left? response:	If that happens then I'll fight with a stick if I have too!
