context: I had no idea that obnoxious guy was Tuxedo Mask. response:	And finally, Zoisite and Tuxedo Mask face off!
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\In order to trick Tuxedo Mask,\Zoisite disguised himself as a fake Sailor Moon. response:	We fell right into their trap and into big trouble!
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\In order to trick Tuxedo Mask,\Zoisite disguised himself as a fake Sailor Moon.\We fell right into their trap and into big trouble! response:	And Tuxedo Mask was injured, too! It's just terrible!
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\In order to trick Tuxedo Mask,\Zoisite disguised himself as a fake Sailor Moon.\We fell right into their trap and into big trouble!\And Tuxedo Mask was injured, too! It's just terrible! response:	Sailor Venus appeared, so we managed to escape danger.
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\In order to trick Tuxedo Mask,\Zoisite disguised himself as a fake Sailor Moon.\We fell right into their trap and into big trouble!\And Tuxedo Mask was injured, too! It's just terrible!\Sailor Venus appeared, so we managed to escape danger. response:	But is Sailor Venus really the Moon Princess?
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\In order to trick Tuxedo Mask,\Zoisite disguised himself as a fake Sailor Moon.\We fell right into their trap and into big trouble!\And Tuxedo Mask was injured, too! It's just terrible!\Sailor Venus appeared, so we managed to escape danger.\But is Sailor Venus really the Moon Princess? response:	What will happen to us now?!
context: Shinjite iru no miracle romance\In order to trick Tuxedo Mask,\Zoisite disguised himself as a fake Sailor Moon.\We fell right into their trap and into big trouble!\And Tuxedo Mask was injured, too! It's just terrible!\Sailor Venus appeared, so we managed to escape danger.\But is Sailor Venus really the Moon Princess?\What will happen to us now?! response:	The Sparkling Silver Crystal! The Moon Princess Appears
context: In order to trick Tuxedo Mask,\Zoisite disguised himself as a fake Sailor Moon.\We fell right into their trap and into big trouble!\And Tuxedo Mask was injured, too! It's just terrible!\Sailor Venus appeared, so we managed to escape danger.\But is Sailor Venus really the Moon Princess?\What will happen to us now?!\The Sparkling Silver Crystal! The Moon Princess Appears response:	Sailor V, no, Sailor Venus...
context: Zoisite disguised himself as a fake Sailor Moon.\We fell right into their trap and into big trouble!\And Tuxedo Mask was injured, too! It's just terrible!\Sailor Venus appeared, so we managed to escape danger.\But is Sailor Venus really the Moon Princess?\What will happen to us now?!\The Sparkling Silver Crystal! The Moon Princess Appears\Sailor V, no, Sailor Venus... response:	By any chance, are you the princess?
context: We fell right into their trap and into big trouble!\And Tuxedo Mask was injured, too! It's just terrible!\Sailor Venus appeared, so we managed to escape danger.\But is Sailor Venus really the Moon Princess?\What will happen to us now?!\The Sparkling Silver Crystal! The Moon Princess Appears\Sailor V, no, Sailor Venus...\By any chance, are you the princess? response:	No, I'm not.
context: And Tuxedo Mask was injured, too! It's just terrible!\Sailor Venus appeared, so we managed to escape danger.\But is Sailor Venus really the Moon Princess?\What will happen to us now?!\The Sparkling Silver Crystal! The Moon Princess Appears\Sailor V, no, Sailor Venus...\By any chance, are you the princess?\No, I'm not. response:	Like you, I'm another warrior, here to protect the princess.
context: Sailor Venus appeared, so we managed to escape danger.\But is Sailor Venus really the Moon Princess?\What will happen to us now?!\The Sparkling Silver Crystal! The Moon Princess Appears\Sailor V, no, Sailor Venus...\By any chance, are you the princess?\No, I'm not.\Like you, I'm another warrior, here to protect the princess. response:	I can't believe it.
context: But is Sailor Venus really the Moon Princess?\What will happen to us now?!\The Sparkling Silver Crystal! The Moon Princess Appears\Sailor V, no, Sailor Venus...\By any chance, are you the princess?\No, I'm not.\Like you, I'm another warrior, here to protect the princess.\I can't believe it. response:	My idol, Sailor V, is standing right in front of me.
context: What will happen to us now?!\The Sparkling Silver Crystal! The Moon Princess Appears\Sailor V, no, Sailor Venus...\By any chance, are you the princess?\No, I'm not.\Like you, I'm another warrior, here to protect the princess.\I can't believe it.\My idol, Sailor V, is standing right in front of me. response:	Nice to meet you, everyone.
context: The Sparkling Silver Crystal! The Moon Princess Appears\Sailor V, no, Sailor Venus...\By any chance, are you the princess?\No, I'm not.\Like you, I'm another warrior, here to protect the princess.\I can't believe it.\My idol, Sailor V, is standing right in front of me.\Nice to meet you, everyone. response:	Nice to meet you, too.
context: Sailor V, no, Sailor Venus...\By any chance, are you the princess?\No, I'm not.\Like you, I'm another warrior, here to protect the princess.\I can't believe it.\My idol, Sailor V, is standing right in front of me.\Nice to meet you, everyone.\Nice to meet you, too. response:	Nice to meet you.
context: By any chance, are you the princess?\No, I'm not.\Like you, I'm another warrior, here to protect the princess.\I can't believe it.\My idol, Sailor V, is standing right in front of me.\Nice to meet you, everyone.\Nice to meet you, too.\Nice to meet you. response:	By the way,
context: No, I'm not.\Like you, I'm another warrior, here to protect the princess.\I can't believe it.\My idol, Sailor V, is standing right in front of me.\Nice to meet you, everyone.\Nice to meet you, too.\Nice to meet you.\By the way, response:	I'm sorry to interrupt when we've all finally come together,
context: Like you, I'm another warrior, here to protect the princess.\I can't believe it.\My idol, Sailor V, is standing right in front of me.\Nice to meet you, everyone.\Nice to meet you, too.\Nice to meet you.\By the way,\I'm sorry to interrupt when we've all finally come together, response:	but we're currently investigating a certain area.
context: I can't believe it.\My idol, Sailor V, is standing right in front of me.\Nice to meet you, everyone.\Nice to meet you, too.\Nice to meet you.\By the way,\I'm sorry to interrupt when we've all finally come together,\but we're currently investigating a certain area. response:	Let's get together tomorrow evening at the Hikawa Shrine,
context: My idol, Sailor V, is standing right in front of me.\Nice to meet you, everyone.\Nice to meet you, too.\Nice to meet you.\By the way,\I'm sorry to interrupt when we've all finally come together,\but we're currently investigating a certain area.\Let's get together tomorrow evening at the Hikawa Shrine, response:	and I'll tell you the details then.
context: Nice to meet you, everyone.\Nice to meet you, too.\Nice to meet you.\By the way,\I'm sorry to interrupt when we've all finally come together,\but we're currently investigating a certain area.\Let's get together tomorrow evening at the Hikawa Shrine,\and I'll tell you the details then. response:	Then, see you later, Luna.
context: Nice to meet you, too.\Nice to meet you.\By the way,\I'm sorry to interrupt when we've all finally come together,\but we're currently investigating a certain area.\Let's get together tomorrow evening at the Hikawa Shrine,\and I'll tell you the details then.\Then, see you later, Luna. response:	Okay. See you tomorrow.
context: Nice to meet you.\By the way,\I'm sorry to interrupt when we've all finally come together,\but we're currently investigating a certain area.\Let's get together tomorrow evening at the Hikawa Shrine,\and I'll tell you the details then.\Then, see you later, Luna.\Okay. See you tomorrow. response:	Well, everyone, see you later!
context: By the way,\I'm sorry to interrupt when we've all finally come together,\but we're currently investigating a certain area.\Let's get together tomorrow evening at the Hikawa Shrine,\and I'll tell you the details then.\Then, see you later, Luna.\Okay. See you tomorrow.\Well, everyone, see you later! response:	She's gone.
context: I'm sorry to interrupt when we've all finally come together,\but we're currently investigating a certain area.\Let's get together tomorrow evening at the Hikawa Shrine,\and I'll tell you the details then.\Then, see you later, Luna.\Okay. See you tomorrow.\Well, everyone, see you later!\She's gone. response:	She's rather impatient, isn't she?
context: but we're currently investigating a certain area.\Let's get together tomorrow evening at the Hikawa Shrine,\and I'll tell you the details then.\Then, see you later, Luna.\Okay. See you tomorrow.\Well, everyone, see you later!\She's gone.\She's rather impatient, isn't she? response:	But she's so cool!
context: Let's get together tomorrow evening at the Hikawa Shrine,\and I'll tell you the details then.\Then, see you later, Luna.\Okay. See you tomorrow.\Well, everyone, see you later!\She's gone.\She's rather impatient, isn't she?\But she's so cool! response:	Queen Beryl, why did you order us to pull back?
context: and I'll tell you the details then.\Then, see you later, Luna.\Okay. See you tomorrow.\Well, everyone, see you later!\She's gone.\She's rather impatient, isn't she?\But she's so cool!\Queen Beryl, why did you order us to pull back? response:	We were so close to taking the rainbow crystals
context: Then, see you later, Luna.\Okay. See you tomorrow.\Well, everyone, see you later!\She's gone.\She's rather impatient, isn't she?\But she's so cool!\Queen Beryl, why did you order us to pull back?\We were so close to taking the rainbow crystals response:	and finishing off Tuxedo Mask.
context: Okay. See you tomorrow.\Well, everyone, see you later!\She's gone.\She's rather impatient, isn't she?\But she's so cool!\Queen Beryl, why did you order us to pull back?\We were so close to taking the rainbow crystals\and finishing off Tuxedo Mask. response:	It was our great ruler's order!
context: Well, everyone, see you later!\She's gone.\She's rather impatient, isn't she?\But she's so cool!\Queen Beryl, why did you order us to pull back?\We were so close to taking the rainbow crystals\and finishing off Tuxedo Mask.\It was our great ruler's order! response:	Our great ruler's?
context: She's gone.\She's rather impatient, isn't she?\But she's so cool!\Queen Beryl, why did you order us to pull back?\We were so close to taking the rainbow crystals\and finishing off Tuxedo Mask.\It was our great ruler's order!\Our great ruler's? response:	Our great ruler told me not to kill Tuxedo Mask.
context: She's rather impatient, isn't she?\But she's so cool!\Queen Beryl, why did you order us to pull back?\We were so close to taking the rainbow crystals\and finishing off Tuxedo Mask.\It was our great ruler's order!\Our great ruler's?\Our great ruler told me not to kill Tuxedo Mask. response:	Instead, she demanded that he be brought here alive.
context: But she's so cool!\Queen Beryl, why did you order us to pull back?\We were so close to taking the rainbow crystals\and finishing off Tuxedo Mask.\It was our great ruler's order!\Our great ruler's?\Our great ruler told me not to kill Tuxedo Mask.\Instead, she demanded that he be brought here alive. response:	What do you mean by that?!
context: Queen Beryl, why did you order us to pull back?\We were so close to taking the rainbow crystals\and finishing off Tuxedo Mask.\It was our great ruler's order!\Our great ruler's?\Our great ruler told me not to kill Tuxedo Mask.\Instead, she demanded that he be brought here alive.\What do you mean by that?! response:	Silence! Orders need not be explained!
context: We were so close to taking the rainbow crystals\and finishing off Tuxedo Mask.\It was our great ruler's order!\Our great ruler's?\Our great ruler told me not to kill Tuxedo Mask.\Instead, she demanded that he be brought here alive.\What do you mean by that?!\Silence! Orders need not be explained! response:	Understood.
context: and finishing off Tuxedo Mask.\It was our great ruler's order!\Our great ruler's?\Our great ruler told me not to kill Tuxedo Mask.\Instead, she demanded that he be brought here alive.\What do you mean by that?!\Silence! Orders need not be explained!\Understood. response:	Damn!
context: It was our great ruler's order!\Our great ruler's?\Our great ruler told me not to kill Tuxedo Mask.\Instead, she demanded that he be brought here alive.\What do you mean by that?!\Silence! Orders need not be explained!\Understood.\Damn! response:	I could not protect her!
context: Our great ruler's?\Our great ruler told me not to kill Tuxedo Mask.\Instead, she demanded that he be brought here alive.\What do you mean by that?!\Silence! Orders need not be explained!\Understood.\Damn!\I could not protect her! response:	Sailor Moon.
context: Our great ruler told me not to kill Tuxedo Mask.\Instead, she demanded that he be brought here alive.\What do you mean by that?!\Silence! Orders need not be explained!\Understood.\Damn!\I could not protect her!\Sailor Moon. response:	What a wonderful room.
context: Instead, she demanded that he be brought here alive.\What do you mean by that?!\Silence! Orders need not be explained!\Understood.\Damn!\I could not protect her!\Sailor Moon.\What a wonderful room. response:	How did you find me?!
context: What do you mean by that?!\Silence! Orders need not be explained!\Understood.\Damn!\I could not protect her!\Sailor Moon.\What a wonderful room.\How did you find me?! response:	Once I found out who you were, it was easy to find you.
context: Silence! Orders need not be explained!\Understood.\Damn!\I could not protect her!\Sailor Moon.\What a wonderful room.\How did you find me?!\Once I found out who you were, it was easy to find you. response:	My dear Mamoru.
context: Understood.\Damn!\I could not protect her!\Sailor Moon.\What a wonderful room.\How did you find me?!\Once I found out who you were, it was easy to find you.\My dear Mamoru. response:	What do you want?
context: Damn!\I could not protect her!\Sailor Moon.\What a wonderful room.\How did you find me?!\Once I found out who you were, it was easy to find you.\My dear Mamoru.\What do you want? response:	Say, since we know who you are now,
context: I could not protect her!\Sailor Moon.\What a wonderful room.\How did you find me?!\Once I found out who you were, it was easy to find you.\My dear Mamoru.\What do you want?\Say, since we know who you are now, response:	why don't we just go ahead and settle this?
context: Sailor Moon.\What a wonderful room.\How did you find me?!\Once I found out who you were, it was easy to find you.\My dear Mamoru.\What do you want?\Say, since we know who you are now,\why don't we just go ahead and settle this? response:	Settle this?
context: What a wonderful room.\How did you find me?!\Once I found out who you were, it was easy to find you.\My dear Mamoru.\What do you want?\Say, since we know who you are now,\why don't we just go ahead and settle this?\Settle this? response:	That's right. We will fight for each other's rainbow crystals.
context: How did you find me?!\Once I found out who you were, it was easy to find you.\My dear Mamoru.\What do you want?\Say, since we know who you are now,\why don't we just go ahead and settle this?\Settle this?\That's right. We will fight for each other's rainbow crystals. response:	Fair and square.
context: Once I found out who you were, it was easy to find you.\My dear Mamoru.\What do you want?\Say, since we know who you are now,\why don't we just go ahead and settle this?\Settle this?\That's right. We will fight for each other's rainbow crystals.\Fair and square. response:	Sounds good. Okay, I'm in.
context: My dear Mamoru.\What do you want?\Say, since we know who you are now,\why don't we just go ahead and settle this?\Settle this?\That's right. We will fight for each other's rainbow crystals.\Fair and square.\Sounds good. Okay, I'm in. response:	Good boy.
context: What do you want?\Say, since we know who you are now,\why don't we just go ahead and settle this?\Settle this?\That's right. We will fight for each other's rainbow crystals.\Fair and square.\Sounds good. Okay, I'm in.\Good boy. response:	How about we meet at the skyscraper,
context: Say, since we know who you are now,\why don't we just go ahead and settle this?\Settle this?\That's right. We will fight for each other's rainbow crystals.\Fair and square.\Sounds good. Okay, I'm in.\Good boy.\How about we meet at the skyscraper, response:	Star Light Tower in the Bay Area?
context: why don't we just go ahead and settle this?\Settle this?\That's right. We will fight for each other's rainbow crystals.\Fair and square.\Sounds good. Okay, I'm in.\Good boy.\How about we meet at the skyscraper,\Star Light Tower in the Bay Area? response:	All right.
context: Settle this?\That's right. We will fight for each other's rainbow crystals.\Fair and square.\Sounds good. Okay, I'm in.\Good boy.\How about we meet at the skyscraper,\Star Light Tower in the Bay Area?\All right. response:	Then I will be waiting for you at five this evening.
context: That's right. We will fight for each other's rainbow crystals.\Fair and square.\Sounds good. Okay, I'm in.\Good boy.\How about we meet at the skyscraper,\Star Light Tower in the Bay Area?\All right.\Then I will be waiting for you at five this evening. response:	Good night, my dear Mamoru.
context: Fair and square.\Sounds good. Okay, I'm in.\Good boy.\How about we meet at the skyscraper,\Star Light Tower in the Bay Area?\All right.\Then I will be waiting for you at five this evening.\Good night, my dear Mamoru. response:	Juban Municipal Junior High School
context: Sounds good. Okay, I'm in.\Good boy.\How about we meet at the skyscraper,\Star Light Tower in the Bay Area?\All right.\Then I will be waiting for you at five this evening.\Good night, my dear Mamoru.\Juban Municipal Junior High School response:	Juban Municipal Junior High School Okay, then I will see you tomorrow!
context: Good boy.\How about we meet at the skyscraper,\Star Light Tower in the Bay Area?\All right.\Then I will be waiting for you at five this evening.\Good night, my dear Mamoru.\Juban Municipal Junior High School\Juban Municipal Junior High School Okay, then I will see you tomorrow! response:	Juban Municipal Junior High School
context: How about we meet at the skyscraper,\Star Light Tower in the Bay Area?\All right.\Then I will be waiting for you at five this evening.\Good night, my dear Mamoru.\Juban Municipal Junior High School\Juban Municipal Junior High School Okay, then I will see you tomorrow!\Juban Municipal Junior High School response:	It's already spring!
context: Star Light Tower in the Bay Area?\All right.\Then I will be waiting for you at five this evening.\Good night, my dear Mamoru.\Juban Municipal Junior High School\Juban Municipal Junior High School Okay, then I will see you tomorrow!\Juban Municipal Junior High School\It's already spring! response:	Everyone's waiting for me,
context: All right.\Then I will be waiting for you at five this evening.\Good night, my dear Mamoru.\Juban Municipal Junior High School\Juban Municipal Junior High School Okay, then I will see you tomorrow!\Juban Municipal Junior High School\It's already spring!\Everyone's waiting for me, response:	and she just had to pick today to keep me behind!
context: Then I will be waiting for you at five this evening.\Good night, my dear Mamoru.\Juban Municipal Junior High School\Juban Municipal Junior High School Okay, then I will see you tomorrow!\Juban Municipal Junior High School\It's already spring!\Everyone's waiting for me,\and she just had to pick today to keep me behind! response:	Oh, Rei's gonna pick on me again!
context: Good night, my dear Mamoru.\Juban Municipal Junior High School\Juban Municipal Junior High School Okay, then I will see you tomorrow!\Juban Municipal Junior High School\It's already spring!\Everyone's waiting for me,\and she just had to pick today to keep me behind!\Oh, Rei's gonna pick on me again! response:	You clumsy slowpoke! Moron! Retard!
context: Juban Municipal Junior High School\Juban Municipal Junior High School Okay, then I will see you tomorrow!\Juban Municipal Junior High School\It's already spring!\Everyone's waiting for me,\and she just had to pick today to keep me behind!\Oh, Rei's gonna pick on me again!\You clumsy slowpoke! Moron! Retard! response:	That's...
context: Juban Municipal Junior High School Okay, then I will see you tomorrow!\Juban Municipal Junior High School\It's already spring!\Everyone's waiting for me,\and she just had to pick today to keep me behind!\Oh, Rei's gonna pick on me again!\You clumsy slowpoke! Moron! Retard!\That's... response:	What are you so depressed about?!
context: Juban Municipal Junior High School\It's already spring!\Everyone's waiting for me,\and she just had to pick today to keep me behind!\Oh, Rei's gonna pick on me again!\You clumsy slowpoke! Moron! Retard!\That's...\What are you so depressed about?! response:	What's wrong?
context: It's already spring!\Everyone's waiting for me,\and she just had to pick today to keep me behind!\Oh, Rei's gonna pick on me again!\You clumsy slowpoke! Moron! Retard!\That's...\What are you so depressed about?!\What's wrong? response:	Oh, dumpling head. Perky as usual, I see.
context: Everyone's waiting for me,\and she just had to pick today to keep me behind!\Oh, Rei's gonna pick on me again!\You clumsy slowpoke! Moron! Retard!\That's...\What are you so depressed about?!\What's wrong?\Oh, dumpling head. Perky as usual, I see. response:	Well, sorry! I can't help it if I'm perky 24/7, 365 days a year!
context: and she just had to pick today to keep me behind!\Oh, Rei's gonna pick on me again!\You clumsy slowpoke! Moron! Retard!\That's...\What are you so depressed about?!\What's wrong?\Oh, dumpling head. Perky as usual, I see.\Well, sorry! I can't help it if I'm perky 24/7, 365 days a year! response:	Keep it up and never change, okay?
context: Oh, Rei's gonna pick on me again!\You clumsy slowpoke! Moron! Retard!\That's...\What are you so depressed about?!\What's wrong?\Oh, dumpling head. Perky as usual, I see.\Well, sorry! I can't help it if I'm perky 24/7, 365 days a year!\Keep it up and never change, okay? response:	Huh? What the heck? I don't know how to react now.
context: You clumsy slowpoke! Moron! Retard!\That's...\What are you so depressed about?!\What's wrong?\Oh, dumpling head. Perky as usual, I see.\Well, sorry! I can't help it if I'm perky 24/7, 365 days a year!\Keep it up and never change, okay?\Huh? What the heck? I don't know how to react now. response:	What? It's blood. When did it...
context: That's...\What are you so depressed about?!\What's wrong?\Oh, dumpling head. Perky as usual, I see.\Well, sorry! I can't help it if I'm perky 24/7, 365 days a year!\Keep it up and never change, okay?\Huh? What the heck? I don't know how to react now.\What? It's blood. When did it... response:	Could he be... injured or something?
context: What are you so depressed about?!\What's wrong?\Oh, dumpling head. Perky as usual, I see.\Well, sorry! I can't help it if I'm perky 24/7, 365 days a year!\Keep it up and never change, okay?\Huh? What the heck? I don't know how to react now.\What? It's blood. When did it...\Could he be... injured or something? response:	Dumpling head!
context: What's wrong?\Oh, dumpling head. Perky as usual, I see.\Well, sorry! I can't help it if I'm perky 24/7, 365 days a year!\Keep it up and never change, okay?\Huh? What the heck? I don't know how to react now.\What? It's blood. When did it...\Could he be... injured or something?\Dumpling head! response:	What are you doing?!
context: Oh, dumpling head. Perky as usual, I see.\Well, sorry! I can't help it if I'm perky 24/7, 365 days a year!\Keep it up and never change, okay?\Huh? What the heck? I don't know how to react now.\What? It's blood. When did it...\Could he be... injured or something?\Dumpling head!\What are you doing?! response:	What about you?! What are you doing here?!
context: Well, sorry! I can't help it if I'm perky 24/7, 365 days a year!\Keep it up and never change, okay?\Huh? What the heck? I don't know how to react now.\What? It's blood. When did it...\Could he be... injured or something?\Dumpling head!\What are you doing?!\What about you?! What are you doing here?! response:	I just came here because I was worried about you.
context: Keep it up and never change, okay?\Huh? What the heck? I don't know how to react now.\What? It's blood. When did it...\Could he be... injured or something?\Dumpling head!\What are you doing?!\What about you?! What are you doing here?!\I just came here because I was worried about you. response:	Worried about me?
context: Huh? What the heck? I don't know how to react now.\What? It's blood. When did it...\Could he be... injured or something?\Dumpling head!\What are you doing?!\What about you?! What are you doing here?!\I just came here because I was worried about you.\Worried about me? response:	That injury of yours...
context: What? It's blood. When did it...\Could he be... injured or something?\Dumpling head!\What are you doing?!\What about you?! What are you doing here?!\I just came here because I was worried about you.\Worried about me?\That injury of yours... response:	If you keep wandering around like that, it'll never heal!
context: Could he be... injured or something?\Dumpling head!\What are you doing?!\What about you?! What are you doing here?!\I just came here because I was worried about you.\Worried about me?\That injury of yours...\If you keep wandering around like that, it'll never heal! response:	That's none of your business.
context: Dumpling head!\What are you doing?!\What about you?! What are you doing here?!\I just came here because I was worried about you.\Worried about me?\That injury of yours...\If you keep wandering around like that, it'll never heal!\That's none of your business. response:	That's true, but...
context: What are you doing?!\What about you?! What are you doing here?!\I just came here because I was worried about you.\Worried about me?\That injury of yours...\If you keep wandering around like that, it'll never heal!\That's none of your business.\That's true, but... response:	Go on home!
context: What about you?! What are you doing here?!\I just came here because I was worried about you.\Worried about me?\That injury of yours...\If you keep wandering around like that, it'll never heal!\That's none of your business.\That's true, but...\Go on home! response:	You didn't have to say it like that!
context: I just came here because I was worried about you.\Worried about me?\That injury of yours...\If you keep wandering around like that, it'll never heal!\That's none of your business.\That's true, but...\Go on home!\You didn't have to say it like that! response:	Hey, wait! Hold on!
context: Worried about me?\That injury of yours...\If you keep wandering around like that, it'll never heal!\That's none of your business.\That's true, but...\Go on home!\You didn't have to say it like that!\Hey, wait! Hold on! response:	He's here!
context: That injury of yours...\If you keep wandering around like that, it'll never heal!\That's none of your business.\That's true, but...\Go on home!\You didn't have to say it like that!\Hey, wait! Hold on!\He's here! response:	Zoisite?!
context: If you keep wandering around like that, it'll never heal!\That's none of your business.\That's true, but...\Go on home!\You didn't have to say it like that!\Hey, wait! Hold on!\He's here!\Zoisite?! response:	No! What is this?! Zoisite?!
context: That's none of your business.\That's true, but...\Go on home!\You didn't have to say it like that!\Hey, wait! Hold on!\He's here!\Zoisite?!\No! What is this?! Zoisite?! response:	No! What is this?!
context: That's true, but...\Go on home!\You didn't have to say it like that!\Hey, wait! Hold on!\He's here!\Zoisite?!\No! What is this?! Zoisite?!\No! What is this?! response:	I can't believe this!
context: Go on home!\You didn't have to say it like that!\Hey, wait! Hold on!\He's here!\Zoisite?!\No! What is this?! Zoisite?!\No! What is this?!\I can't believe this! response:	You idiot! Why did you follow me?!
context: You didn't have to say it like that!\Hey, wait! Hold on!\He's here!\Zoisite?!\No! What is this?! Zoisite?!\No! What is this?!\I can't believe this!\You idiot! Why did you follow me?! response:	Because!
context: Hey, wait! Hold on!\He's here!\Zoisite?!\No! What is this?! Zoisite?!\No! What is this?!\I can't believe this!\You idiot! Why did you follow me?!\Because! response:	Hikawa Shrine
context: He's here!\Zoisite?!\No! What is this?! Zoisite?!\No! What is this?!\I can't believe this!\You idiot! Why did you follow me?!\Because!\Hikawa Shrine response:	This is too late, even for slowpoke Usagi.
context: Zoisite?!\No! What is this?! Zoisite?!\No! What is this?!\I can't believe this!\You idiot! Why did you follow me?!\Because!\Hikawa Shrine\This is too late, even for slowpoke Usagi. response:	They said she hasn't been home either.
context: No! What is this?! Zoisite?!\No! What is this?!\I can't believe this!\You idiot! Why did you follow me?!\Because!\Hikawa Shrine\This is too late, even for slowpoke Usagi.\They said she hasn't been home either. response:	And she wasn't at school, too.
