context: It happened! response:	It actually happened!
context: What's this bad feeling I'm getting?\Besides, Sawako isn't even there yet.\She might go on about Kazehaya's reputation” and stuff again.\Morning.\M-Morning.\They responded!\Kazehaya...\You're here early. response:	I'm always early.
context: Besides, Sawako isn't even there yet.\She might go on about Kazehaya's reputation” and stuff again.\Morning.\M-Morning.\They responded!\Kazehaya...\You're here early.\I'm always early. response:	Yeah right.
context: She might go on about Kazehaya's reputation” and stuff again.\Morning.\M-Morning.\They responded!\Kazehaya...\You're here early.\I'm always early.\Yeah right. response:	It's a belly warmer.
context: Morning.\M-Morning.\They responded!\Kazehaya...\You're here early.\I'm always early.\Yeah right.\It's a belly warmer. response:	I made it stitch by stitch, thinking of my dad.
context: M-Morning.\They responded!\Kazehaya...\You're here early.\I'm always early.\Yeah right.\It's a belly warmer.\I made it stitch by stitch, thinking of my dad. response:	Oh, it's not for me.
context: They responded!\Kazehaya...\You're here early.\I'm always early.\Yeah right.\It's a belly warmer.\I made it stitch by stitch, thinking of my dad.\Oh, it's not for me. response:	I accidentally swapped it with what I was going to give you.
context: Kazehaya...\You're here early.\I'm always early.\Yeah right.\It's a belly warmer.\I made it stitch by stitch, thinking of my dad.\Oh, it's not for me.\I accidentally swapped it with what I was going to give you. response:	If you don't mind, could you give it to your dad or mom or grandpa
context: You're here early.\I'm always early.\Yeah right.\It's a belly warmer.\I made it stitch by stitch, thinking of my dad.\Oh, it's not for me.\I accidentally swapped it with what I was going to give you.\If you don't mind, could you give it to your dad or mom or grandpa response:	But I can have it too, right?
context: I'm always early.\Yeah right.\It's a belly warmer.\I made it stitch by stitch, thinking of my dad.\Oh, it's not for me.\I accidentally swapped it with what I was going to give you.\If you don't mind, could you give it to your dad or mom or grandpa\But I can have it too, right? response:	Thanks.
context: Yeah right.\It's a belly warmer.\I made it stitch by stitch, thinking of my dad.\Oh, it's not for me.\I accidentally swapped it with what I was going to give you.\If you don't mind, could you give it to your dad or mom or grandpa\But I can have it too, right?\Thanks. response:	He's so nice.
context: It's a belly warmer.\I made it stitch by stitch, thinking of my dad.\Oh, it's not for me.\I accidentally swapped it with what I was going to give you.\If you don't mind, could you give it to your dad or mom or grandpa\But I can have it too, right?\Thanks.\He's so nice. response:	He probably won't even wear it.
context: I made it stitch by stitch, thinking of my dad.\Oh, it's not for me.\I accidentally swapped it with what I was going to give you.\If you don't mind, could you give it to your dad or mom or grandpa\But I can have it too, right?\Thanks.\He's so nice.\He probably won't even wear it. response:	But he took it anyway.
context: Oh, it's not for me.\I accidentally swapped it with what I was going to give you.\If you don't mind, could you give it to your dad or mom or grandpa\But I can have it too, right?\Thanks.\He's so nice.\He probably won't even wear it.\But he took it anyway. response:	I guess he won't wear the cap either, though.
context: I accidentally swapped it with what I was going to give you.\If you don't mind, could you give it to your dad or mom or grandpa\But I can have it too, right?\Thanks.\He's so nice.\He probably won't even wear it.\But he took it anyway.\I guess he won't wear the cap either, though. response:	Morning.
context: If you don't mind, could you give it to your dad or mom or grandpa\But I can have it too, right?\Thanks.\He's so nice.\He probably won't even wear it.\But he took it anyway.\I guess he won't wear the cap either, though.\Morning. response:	M-Morning.
context: But I can have it too, right?\Thanks.\He's so nice.\He probably won't even wear it.\But he took it anyway.\I guess he won't wear the cap either, though.\Morning.\M-Morning. response:	It wasn't the same to me.
context: Thanks.\He's so nice.\He probably won't even wear it.\But he took it anyway.\I guess he won't wear the cap either, though.\Morning.\M-Morning.\It wasn't the same to me. response:	I made it with different feelings, but...
context: He's so nice.\He probably won't even wear it.\But he took it anyway.\I guess he won't wear the cap either, though.\Morning.\M-Morning.\It wasn't the same to me.\I made it with different feelings, but... response:	It's snowing pretty hard today.
context: He probably won't even wear it.\But he took it anyway.\I guess he won't wear the cap either, though.\Morning.\M-Morning.\It wasn't the same to me.\I made it with different feelings, but...\It's snowing pretty hard today. response:	A necktie?
context: But he took it anyway.\I guess he won't wear the cap either, though.\Morning.\M-Morning.\It wasn't the same to me.\I made it with different feelings, but...\It's snowing pretty hard today.\A necktie? response:	It's the closing ceremony today.
context: I guess he won't wear the cap either, though.\Morning.\M-Morning.\It wasn't the same to me.\I made it with different feelings, but...\It's snowing pretty hard today.\A necktie?\It's the closing ceremony today. response:	Even snappier than usual.
context: Morning.\M-Morning.\It wasn't the same to me.\I made it with different feelings, but...\It's snowing pretty hard today.\A necktie?\It's the closing ceremony today.\Even snappier than usual. response:	Morning!
context: M-Morning.\It wasn't the same to me.\I made it with different feelings, but...\It's snowing pretty hard today.\A necktie?\It's the closing ceremony today.\Even snappier than usual.\Morning! response:	Morning, Chizu-chan.
context: It wasn't the same to me.\I made it with different feelings, but...\It's snowing pretty hard today.\A necktie?\It's the closing ceremony today.\Even snappier than usual.\Morning!\Morning, Chizu-chan. response:	Morning, Sawa.
context: I made it with different feelings, but...\It's snowing pretty hard today.\A necktie?\It's the closing ceremony today.\Even snappier than usual.\Morning!\Morning, Chizu-chan.\Morning, Sawa. response:	Morning.
context: It's snowing pretty hard today.\A necktie?\It's the closing ceremony today.\Even snappier than usual.\Morning!\Morning, Chizu-chan.\Morning, Sawa.\Morning. response:	Morning, Yano-chin, Kazehaya.
context: A necktie?\It's the closing ceremony today.\Even snappier than usual.\Morning!\Morning, Chizu-chan.\Morning, Sawa.\Morning.\Morning, Yano-chin, Kazehaya. response:	The cold hasn't gotten to you at all, has it?
context: It's the closing ceremony today.\Even snappier than usual.\Morning!\Morning, Chizu-chan.\Morning, Sawa.\Morning.\Morning, Yano-chin, Kazehaya.\The cold hasn't gotten to you at all, has it? response:	Oh yeah, the closing ceremony.
context: Even snappier than usual.\Morning!\Morning, Chizu-chan.\Morning, Sawa.\Morning.\Morning, Yano-chin, Kazehaya.\The cold hasn't gotten to you at all, has it?\Oh yeah, the closing ceremony. response:	I guess winter break starts tomorrow.
context: Morning!\Morning, Chizu-chan.\Morning, Sawa.\Morning.\Morning, Yano-chin, Kazehaya.\The cold hasn't gotten to you at all, has it?\Oh yeah, the closing ceremony.\I guess winter break starts tomorrow. response:	It'll get a bit lonely.
context: Morning, Chizu-chan.\Morning, Sawa.\Morning.\Morning, Yano-chin, Kazehaya.\The cold hasn't gotten to you at all, has it?\Oh yeah, the closing ceremony.\I guess winter break starts tomorrow.\It'll get a bit lonely. response:	Long time no see, everyone.
context: Morning, Sawa.\Morning.\Morning, Yano-chin, Kazehaya.\The cold hasn't gotten to you at all, has it?\Oh yeah, the closing ceremony.\I guess winter break starts tomorrow.\It'll get a bit lonely.\Long time no see, everyone. response:	Who are you?
context: Morning.\Morning, Yano-chin, Kazehaya.\The cold hasn't gotten to you at all, has it?\Oh yeah, the closing ceremony.\I guess winter break starts tomorrow.\It'll get a bit lonely.\Long time no see, everyone.\Who are you? response:	What are you waiting for? Hurry up.
context: Morning, Yano-chin, Kazehaya.\The cold hasn't gotten to you at all, has it?\Oh yeah, the closing ceremony.\I guess winter break starts tomorrow.\It'll get a bit lonely.\Long time no see, everyone.\Who are you?\What are you waiting for? Hurry up. response:	Zen! It's Zen!
context: The cold hasn't gotten to you at all, has it?\Oh yeah, the closing ceremony.\I guess winter break starts tomorrow.\It'll get a bit lonely.\Long time no see, everyone.\Who are you?\What are you waiting for? Hurry up.\Zen! It's Zen! response:	Our homeroom teacher.
context: Oh yeah, the closing ceremony.\I guess winter break starts tomorrow.\It'll get a bit lonely.\Long time no see, everyone.\Who are you?\What are you waiting for? Hurry up.\Zen! It's Zen!\Our homeroom teacher. response:	Long time no see!
context: I guess winter break starts tomorrow.\It'll get a bit lonely.\Long time no see, everyone.\Who are you?\What are you waiting for? Hurry up.\Zen! It's Zen!\Our homeroom teacher.\Long time no see! response:	So here's the news.
context: It'll get a bit lonely.\Long time no see, everyone.\Who are you?\What are you waiting for? Hurry up.\Zen! It's Zen!\Our homeroom teacher.\Long time no see!\So here's the news. response:	I'm going to be running my wife's family's brewery.
context: Long time no see, everyone.\Who are you?\What are you waiting for? Hurry up.\Zen! It's Zen!\Our homeroom teacher.\Long time no see!\So here's the news.\I'm going to be running my wife's family's brewery. response:	So today's my last day teaching here.
context: Who are you?\What are you waiting for? Hurry up.\Zen! It's Zen!\Our homeroom teacher.\Long time no see!\So here's the news.\I'm going to be running my wife's family's brewery.\So today's my last day teaching here. response:	What the hell?
context: What are you waiting for? Hurry up.\Zen! It's Zen!\Our homeroom teacher.\Long time no see!\So here's the news.\I'm going to be running my wife's family's brewery.\So today's my last day teaching here.\What the hell? response:	Weren't you sick?
context: Zen! It's Zen!\Our homeroom teacher.\Long time no see!\So here's the news.\I'm going to be running my wife's family's brewery.\So today's my last day teaching here.\What the hell?\Weren't you sick? response:	Sick?
context: Our homeroom teacher.\Long time no see!\So here's the news.\I'm going to be running my wife's family's brewery.\So today's my last day teaching here.\What the hell?\Weren't you sick?\Sick? response:	I thought something bad happened.
context: Long time no see!\So here's the news.\I'm going to be running my wife's family's brewery.\So today's my last day teaching here.\What the hell?\Weren't you sick?\Sick?\I thought something bad happened. response:	No no, the brewery's doing great, and things are going well with my in-laws.
context: So here's the news.\I'm going to be running my wife's family's brewery.\So today's my last day teaching here.\What the hell?\Weren't you sick?\Sick?\I thought something bad happened.\No no, the brewery's doing great, and things are going well with my in-laws. response:	He's a gold-digger?
context: I'm going to be running my wife's family's brewery.\So today's my last day teaching here.\What the hell?\Weren't you sick?\Sick?\I thought something bad happened.\No no, the brewery's doing great, and things are going well with my in-laws.\He's a gold-digger? response:	Arai-sensei...
context: So today's my last day teaching here.\What the hell?\Weren't you sick?\Sick?\I thought something bad happened.\No no, the brewery's doing great, and things are going well with my in-laws.\He's a gold-digger?\Arai-sensei... response:	What about your farewell party? Let's have one.
context: What the hell?\Weren't you sick?\Sick?\I thought something bad happened.\No no, the brewery's doing great, and things are going well with my in-laws.\He's a gold-digger?\Arai-sensei...\What about your farewell party? Let's have one. response:	Thanks, but I have to go home right away.
context: Weren't you sick?\Sick?\I thought something bad happened.\No no, the brewery's doing great, and things are going well with my in-laws.\He's a gold-digger?\Arai-sensei...\What about your farewell party? Let's have one.\Thanks, but I have to go home right away. response:	I won't forget the time we had together.
context: Sick?\I thought something bad happened.\No no, the brewery's doing great, and things are going well with my in-laws.\He's a gold-digger?\Arai-sensei...\What about your farewell party? Let's have one.\Thanks, but I have to go home right away.\I won't forget the time we had together. response:	Zen!
context: I thought something bad happened.\No no, the brewery's doing great, and things are going well with my in-laws.\He's a gold-digger?\Arai-sensei...\What about your farewell party? Let's have one.\Thanks, but I have to go home right away.\I won't forget the time we had together.\Zen! response:	Why don't we have a worship your new teacher, Pin” party then?
context: No no, the brewery's doing great, and things are going well with my in-laws.\He's a gold-digger?\Arai-sensei...\What about your farewell party? Let's have one.\Thanks, but I have to go home right away.\I won't forget the time we had together.\Zen!\Why don't we have a worship your new teacher, Pin” party then? response:	Anyway, let's line up in the hallway for the closing ceremony.
context: He's a gold-digger?\Arai-sensei...\What about your farewell party? Let's have one.\Thanks, but I have to go home right away.\I won't forget the time we had together.\Zen!\Why don't we have a worship your new teacher, Pin” party then?\Anyway, let's line up in the hallway for the closing ceremony. response:	Single file!
context: Arai-sensei...\What about your farewell party? Let's have one.\Thanks, but I have to go home right away.\I won't forget the time we had together.\Zen!\Why don't we have a worship your new teacher, Pin” party then?\Anyway, let's line up in the hallway for the closing ceremony.\Single file! response:	So much has happened
context: What about your farewell party? Let's have one.\Thanks, but I have to go home right away.\I won't forget the time we had together.\Zen!\Why don't we have a worship your new teacher, Pin” party then?\Anyway, let's line up in the hallway for the closing ceremony.\Single file!\So much has happened response:	She's so cute even when she's making faces.
context: Thanks, but I have to go home right away.\I won't forget the time we had together.\Zen!\Why don't we have a worship your new teacher, Pin” party then?\Anyway, let's line up in the hallway for the closing ceremony.\Single file!\So much has happened\She's so cute even when she's making faces. response:	this second semester.
context: I won't forget the time we had together.\Zen!\Why don't we have a worship your new teacher, Pin” party then?\Anyway, let's line up in the hallway for the closing ceremony.\Single file!\So much has happened\She's so cute even when she's making faces.\this second semester. response:	Winter break is starting.
context: Zen!\Why don't we have a worship your new teacher, Pin” party then?\Anyway, let's line up in the hallway for the closing ceremony.\Single file!\So much has happened\She's so cute even when she's making faces.\this second semester.\Winter break is starting. response:	Don't get too excited.
context: Why don't we have a worship your new teacher, Pin” party then?\Anyway, let's line up in the hallway for the closing ceremony.\Single file!\So much has happened\She's so cute even when she's making faces.\this second semester.\Winter break is starting.\Don't get too excited. response:	Be safe,
context: Anyway, let's line up in the hallway for the closing ceremony.\Single file!\So much has happened\She's so cute even when she's making faces.\this second semester.\Winter break is starting.\Don't get too excited.\Be safe, response:	and we'll see you in good health next year.
context: Single file!\So much has happened\She's so cute even when she's making faces.\this second semester.\Winter break is starting.\Don't get too excited.\Be safe,\and we'll see you in good health next year. response:	There was really so much that happened.
context: So much has happened\She's so cute even when she's making faces.\this second semester.\Winter break is starting.\Don't get too excited.\Be safe,\and we'll see you in good health next year.\There was really so much that happened. response:	Some painful things,
context: She's so cute even when she's making faces.\this second semester.\Winter break is starting.\Don't get too excited.\Be safe,\and we'll see you in good health next year.\There was really so much that happened.\Some painful things, response:	but so many more happy things.
context: this second semester.\Winter break is starting.\Don't get too excited.\Be safe,\and we'll see you in good health next year.\There was really so much that happened.\Some painful things,\but so many more happy things. response:	This is from all of us.
context: Winter break is starting.\Don't get too excited.\Be safe,\and we'll see you in good health next year.\There was really so much that happened.\Some painful things,\but so many more happy things.\This is from all of us. response:	K-Kuronuma, huh?
context: Don't get too excited.\Be safe,\and we'll see you in good health next year.\There was really so much that happened.\Some painful things,\but so many more happy things.\This is from all of us.\K-Kuronuma, huh? response:	It's alright, she's an exorcist.
context: Be safe,\and we'll see you in good health next year.\There was really so much that happened.\Some painful things,\but so many more happy things.\This is from all of us.\K-Kuronuma, huh?\It's alright, she's an exorcist. response:	All rise.
context: and we'll see you in good health next year.\There was really so much that happened.\Some painful things,\but so many more happy things.\This is from all of us.\K-Kuronuma, huh?\It's alright, she's an exorcist.\All rise. response:	Bow.
context: There was really so much that happened.\Some painful things,\but so many more happy things.\This is from all of us.\K-Kuronuma, huh?\It's alright, she's an exorcist.\All rise.\Bow. response:	I don't look any different,
context: Some painful things,\but so many more happy things.\This is from all of us.\K-Kuronuma, huh?\It's alright, she's an exorcist.\All rise.\Bow.\I don't look any different, response:	but so much of what I thought about and experienced was new to me.
context: but so many more happy things.\This is from all of us.\K-Kuronuma, huh?\It's alright, she's an exorcist.\All rise.\Bow.\I don't look any different,\but so much of what I thought about and experienced was new to me. response:	Yay, winter break tomorrow!
context: This is from all of us.\K-Kuronuma, huh?\It's alright, she's an exorcist.\All rise.\Bow.\I don't look any different,\but so much of what I thought about and experienced was new to me.\Yay, winter break tomorrow! response:	Hey, let's go eat somewhere.
context: K-Kuronuma, huh?\It's alright, she's an exorcist.\All rise.\Bow.\I don't look any different,\but so much of what I thought about and experienced was new to me.\Yay, winter break tomorrow!\Hey, let's go eat somewhere. response:	Sure.
context: It's alright, she's an exorcist.\All rise.\Bow.\I don't look any different,\but so much of what I thought about and experienced was new to me.\Yay, winter break tomorrow!\Hey, let's go eat somewhere.\Sure. response:	Where should we go?
context: All rise.\Bow.\I don't look any different,\but so much of what I thought about and experienced was new to me.\Yay, winter break tomorrow!\Hey, let's go eat somewhere.\Sure.\Where should we go? response:	Kazehaya, let's go karaoke.
context: Bow.\I don't look any different,\but so much of what I thought about and experienced was new to me.\Yay, winter break tomorrow!\Hey, let's go eat somewhere.\Sure.\Where should we go?\Kazehaya, let's go karaoke. response:	We just went yesterday.
context: I don't look any different,\but so much of what I thought about and experienced was new to me.\Yay, winter break tomorrow!\Hey, let's go eat somewhere.\Sure.\Where should we go?\Kazehaya, let's go karaoke.\We just went yesterday. response:	I won't see him after this, until the third semester.
context: but so much of what I thought about and experienced was new to me.\Yay, winter break tomorrow!\Hey, let's go eat somewhere.\Sure.\Where should we go?\Kazehaya, let's go karaoke.\We just went yesterday.\I won't see him after this, until the third semester. response:	Thanks for everything this year.
context: Yay, winter break tomorrow!\Hey, let's go eat somewhere.\Sure.\Where should we go?\Kazehaya, let's go karaoke.\We just went yesterday.\I won't see him after this, until the third semester.\Thanks for everything this year. response:	Kazehaya, come on.
context: Hey, let's go eat somewhere.\Sure.\Where should we go?\Kazehaya, let's go karaoke.\We just went yesterday.\I won't see him after this, until the third semester.\Thanks for everything this year.\Kazehaya, come on. response:	He's going.
context: Sure.\Where should we go?\Kazehaya, let's go karaoke.\We just went yesterday.\I won't see him after this, until the third semester.\Thanks for everything this year.\Kazehaya, come on.\He's going. response:	Something short, umm...
context: Where should we go?\Kazehaya, let's go karaoke.\We just went yesterday.\I won't see him after this, until the third semester.\Thanks for everything this year.\Kazehaya, come on.\He's going.\Something short, umm... response:	Bye bye.
context: Kazehaya, let's go karaoke.\We just went yesterday.\I won't see him after this, until the third semester.\Thanks for everything this year.\Kazehaya, come on.\He's going.\Something short, umm...\Bye bye. response:	H-Happy new year.
context: We just went yesterday.\I won't see him after this, until the third semester.\Thanks for everything this year.\Kazehaya, come on.\He's going.\Something short, umm...\Bye bye.\H-Happy new year. response:	See you next year.
context: I won't see him after this, until the third semester.\Thanks for everything this year.\Kazehaya, come on.\He's going.\Something short, umm...\Bye bye.\H-Happy new year.\See you next year. response:	Nice, your dad's awesome.
context: Thanks for everything this year.\Kazehaya, come on.\He's going.\Something short, umm...\Bye bye.\H-Happy new year.\See you next year.\Nice, your dad's awesome. response:	Did you set up e-mail?
context: Kazehaya, come on.\He's going.\Something short, umm...\Bye bye.\H-Happy new year.\See you next year.\Nice, your dad's awesome.\Did you set up e-mail? response:	I haven't read the whole manual yet.
context: He's going.\Something short, umm...\Bye bye.\H-Happy new year.\See you next year.\Nice, your dad's awesome.\Did you set up e-mail?\I haven't read the whole manual yet. response:	You're going to read the whole thing?
context: Something short, umm...\Bye bye.\H-Happy new year.\See you next year.\Nice, your dad's awesome.\Did you set up e-mail?\I haven't read the whole manual yet.\You're going to read the whole thing? response:	Don't bother.
context: Bye bye.\H-Happy new year.\See you next year.\Nice, your dad's awesome.\Did you set up e-mail?\I haven't read the whole manual yet.\You're going to read the whole thing?\Don't bother. response:	I'll do it, here.
context: H-Happy new year.\See you next year.\Nice, your dad's awesome.\Did you set up e-mail?\I haven't read the whole manual yet.\You're going to read the whole thing?\Don't bother.\I'll do it, here. response:	Thank you.
context: See you next year.\Nice, your dad's awesome.\Did you set up e-mail?\I haven't read the whole manual yet.\You're going to read the whole thing?\Don't bother.\I'll do it, here.\Thank you. response:	What address do you want?
context: Nice, your dad's awesome.\Did you set up e-mail?\I haven't read the whole manual yet.\You're going to read the whole thing?\Don't bother.\I'll do it, here.\Thank you.\What address do you want? response:	Make it long so that you don't get spammed.
context: Did you set up e-mail?\I haven't read the whole manual yet.\You're going to read the whole thing?\Don't bother.\I'll do it, here.\Thank you.\What address do you want?\Make it long so that you don't get spammed. response:	Name, birthday, stuff like that.
context: I haven't read the whole manual yet.\You're going to read the whole thing?\Don't bother.\I'll do it, here.\Thank you.\What address do you want?\Make it long so that you don't get spammed.\Name, birthday, stuff like that. response:	Wow, that'll help fix the misunderstandings too.
context: You're going to read the whole thing?\Don't bother.\I'll do it, here.\Thank you.\What address do you want?\Make it long so that you don't get spammed.\Name, birthday, stuff like that.\Wow, that'll help fix the misunderstandings too. response:	Wait, your birthday's on New Year's Eve?
context: Don't bother.\I'll do it, here.\Thank you.\What address do you want?\Make it long so that you don't get spammed.\Name, birthday, stuff like that.\Wow, that'll help fix the misunderstandings too.\Wait, your birthday's on New Year's Eve? response:	Chizu-chan, Ayane-chan, um...
context: I'll do it, here.\Thank you.\What address do you want?\Make it long so that you don't get spammed.\Name, birthday, stuff like that.\Wow, that'll help fix the misunderstandings too.\Wait, your birthday's on New Year's Eve?\Chizu-chan, Ayane-chan, um... response:	Do you think we could meet over the winter holiday too?
context: Thank you.\What address do you want?\Make it long so that you don't get spammed.\Name, birthday, stuff like that.\Wow, that'll help fix the misunderstandings too.\Wait, your birthday's on New Year's Eve?\Chizu-chan, Ayane-chan, um...\Do you think we could meet over the winter holiday too? response:	When you're bored.
context: What address do you want?\Make it long so that you don't get spammed.\Name, birthday, stuff like that.\Wow, that'll help fix the misunderstandings too.\Wait, your birthday's on New Year's Eve?\Chizu-chan, Ayane-chan, um...\Do you think we could meet over the winter holiday too?\When you're bored. response:	When you're really bored.
context: Make it long so that you don't get spammed.\Name, birthday, stuff like that.\Wow, that'll help fix the misunderstandings too.\Wait, your birthday's on New Year's Eve?\Chizu-chan, Ayane-chan, um...\Do you think we could meet over the winter holiday too?\When you're bored.\When you're really bored. response:	Only if you don't mind.
context: Name, birthday, stuff like that.\Wow, that'll help fix the misunderstandings too.\Wait, your birthday's on New Year's Eve?\Chizu-chan, Ayane-chan, um...\Do you think we could meet over the winter holiday too?\When you're bored.\When you're really bored.\Only if you don't mind. response:	You idiot, of course we can.
context: Wow, that'll help fix the misunderstandings too.\Wait, your birthday's on New Year's Eve?\Chizu-chan, Ayane-chan, um...\Do you think we could meet over the winter holiday too?\When you're bored.\When you're really bored.\Only if you don't mind.\You idiot, of course we can. response:	You scared me, why would you bring that up now?
