context: Karasuno Aoba Johsai response:	Oikawa, you're back.
context: Listen.\In volleyball,\In volleyball,\everyone on this side of the net is your ally.\What a beautiful adage.\All right. All of you scoot to the back.\Tsukishima, you go closer to the sideline.\Yes. response:	All right. Bring it.
context: In volleyball,\In volleyball,\everyone on this side of the net is your ally.\What a beautiful adage.\All right. All of you scoot to the back.\Tsukishima, you go closer to the sideline.\Yes.\All right. Bring it. response:	Hmm.
context: In volleyball,\everyone on this side of the net is your ally.\What a beautiful adage.\All right. All of you scoot to the back.\Tsukishima, you go closer to the sideline.\Yes.\All right. Bring it.\Hmm. response:	Net
context: everyone on this side of the net is your ally.\What a beautiful adage.\All right. All of you scoot to the back.\Tsukishima, you go closer to the sideline.\Yes.\All right. Bring it.\Hmm.\Net response:	So Captain-kun, expert at receiving,
context: What a beautiful adage.\All right. All of you scoot to the back.\Tsukishima, you go closer to the sideline.\Yes.\All right. Bring it.\Hmm.\Net\So Captain-kun, expert at receiving, response:	is expanding the defense...
context: All right. All of you scoot to the back.\Tsukishima, you go closer to the sideline.\Yes.\All right. Bring it.\Hmm.\Net\So Captain-kun, expert at receiving,\is expanding the defense... response:	However...
context: Tsukishima, you go closer to the sideline.\Yes.\All right. Bring it.\Hmm.\Net\So Captain-kun, expert at receiving,\is expanding the defense...\However... response:	you can't defend it all by yourself.
context: Yes.\All right. Bring it.\Hmm.\Net\So Captain-kun, expert at receiving,\is expanding the defense...\However...\you can't defend it all by yourself. response:	Tsukki!
context: All right. Bring it.\Hmm.\Net\So Captain-kun, expert at receiving,\is expanding the defense...\However...\you can't defend it all by yourself.\Tsukki! response:	He's aimed it directly at the edge.
context: Hmm.\Net\So Captain-kun, expert at receiving,\is expanding the defense...\However...\you can't defend it all by yourself.\Tsukki!\He's aimed it directly at the edge. response:	But he sacrficed some of his power to get that accuracy.
context: Net\So Captain-kun, expert at receiving,\is expanding the defense...\However...\you can't defend it all by yourself.\Tsukki!\He's aimed it directly at the edge.\But he sacrficed some of his power to get that accuracy. response:	It went up.
context: So Captain-kun, expert at receiving,\is expanding the defense...\However...\you can't defend it all by yourself.\Tsukki!\He's aimed it directly at the edge.\But he sacrficed some of his power to get that accuracy.\It went up. response:	Tsukki, nice.
context: is expanding the defense...\However...\you can't defend it all by yourself.\Tsukki!\He's aimed it directly at the edge.\But he sacrficed some of his power to get that accuracy.\It went up.\Tsukki, nice. response:	He got it. Good for him.
context: However...\you can't defend it all by yourself.\Tsukki!\He's aimed it directly at the edge.\But he sacrficed some of his power to get that accuracy.\It went up.\Tsukki, nice.\He got it. Good for him. response:	Maybe I made it too easy for him.
context: you can't defend it all by yourself.\Tsukki!\He's aimed it directly at the edge.\But he sacrficed some of his power to get that accuracy.\It went up.\Tsukki, nice.\He got it. Good for him.\Maybe I made it too easy for him. response:	However...
context: Tsukki!\He's aimed it directly at the edge.\But he sacrficed some of his power to get that accuracy.\It went up.\Tsukki, nice.\He got it. Good for him.\Maybe I made it too easy for him.\However... response:	This is our chance ball.
context: He's aimed it directly at the edge.\But he sacrficed some of his power to get that accuracy.\It went up.\Tsukki, nice.\He got it. Good for him.\Maybe I made it too easy for him.\However...\This is our chance ball. response:	Damn.
context: But he sacrficed some of his power to get that accuracy.\It went up.\Tsukki, nice.\He got it. Good for him.\Maybe I made it too easy for him.\However...\This is our chance ball.\Damn. response:	There. A sweet, sweet chance ball.
context: It went up.\Tsukki, nice.\He got it. Good for him.\Maybe I made it too easy for him.\However...\This is our chance ball.\Damn.\There. A sweet, sweet chance ball. response:	Score it good, guys.
context: Tsukki, nice.\He got it. Good for him.\Maybe I made it too easy for him.\However...\This is our chance ball.\Damn.\There. A sweet, sweet chance ball.\Score it good, guys. response:	All right.
context: He got it. Good for him.\Maybe I made it too easy for him.\However...\This is our chance ball.\Damn.\There. A sweet, sweet chance ball.\Score it good, guys.\All right. response:	This is bad.
context: Maybe I made it too easy for him.\However...\This is our chance ball.\Damn.\There. A sweet, sweet chance ball.\Score it good, guys.\All right.\This is bad. response:	Our rotation has no height for blocking.
context: However...\This is our chance ball.\Damn.\There. A sweet, sweet chance ball.\Score it good, guys.\All right.\This is bad.\Our rotation has no height for blocking. response:	Kindaichi.
context: This is our chance ball.\Damn.\There. A sweet, sweet chance ball.\Score it good, guys.\All right.\This is bad.\Our rotation has no height for blocking.\Kindaichi. response:	All right, I'll completely thwart the block...
context: Damn.\There. A sweet, sweet chance ball.\Score it good, guys.\All right.\This is bad.\Our rotation has no height for blocking.\Kindaichi.\All right, I'll completely thwart the block... response:	The shrimp... how is he here?
context: There. A sweet, sweet chance ball.\Score it good, guys.\All right.\This is bad.\Our rotation has no height for blocking.\Kindaichi.\All right, I'll completely thwart the block...\The shrimp... how is he here? response:	It's up.
context: Score it good, guys.\All right.\This is bad.\Our rotation has no height for blocking.\Kindaichi.\All right, I'll completely thwart the block...\The shrimp... how is he here?\It's up. response:	Nice one-touch.
context: All right.\This is bad.\Our rotation has no height for blocking.\Kindaichi.\All right, I'll completely thwart the block...\The shrimp... how is he here?\It's up.\Nice one-touch. response:	Chance ball.
context: This is bad.\Our rotation has no height for blocking.\Kindaichi.\All right, I'll completely thwart the block...\The shrimp... how is he here?\It's up.\Nice one-touch.\Chance ball. response:	Damn! I'll slam it down the next time.
context: Our rotation has no height for blocking.\Kindaichi.\All right, I'll completely thwart the block...\The shrimp... how is he here?\It's up.\Nice one-touch.\Chance ball.\Damn! I'll slam it down the next time. response:	I can't catch up to him if I'm one step, one second behind.
context: Kindaichi.\All right, I'll completely thwart the block...\The shrimp... how is he here?\It's up.\Nice one-touch.\Chance ball.\Damn! I'll slam it down the next time.\I can't catch up to him if I'm one step, one second behind. response:	The only thing that can catch up to him...
context: All right, I'll completely thwart the block...\The shrimp... how is he here?\It's up.\Nice one-touch.\Chance ball.\Damn! I'll slam it down the next time.\I can't catch up to him if I'm one step, one second behind.\The only thing that can catch up to him... response:	is the ball.
context: The shrimp... how is he here?\It's up.\Nice one-touch.\Chance ball.\Damn! I'll slam it down the next time.\I can't catch up to him if I'm one step, one second behind.\The only thing that can catch up to him...\is the ball. response:	Aoba Johsai Karasuno
