context: W- what is this!? response:	I- it's Son Goku's boy...
context: I'm going to kill him now,\while he's still incapable of adeptly using his power.\Don't worry. You'll see him again soon enough!\In the Other World, that is.\Wait!\You're the first one who has inflicted this much damage on me.\But this is the end of the line for you.\W- why, you! response:	You still have this much power left!?
context: while he's still incapable of adeptly using his power.\Don't worry. You'll see him again soon enough!\In the Other World, that is.\Wait!\You're the first one who has inflicted this much damage on me.\But this is the end of the line for you.\W- why, you!\You still have this much power left!? response:	Piccolo!
context: Don't worry. You'll see him again soon enough!\In the Other World, that is.\Wait!\You're the first one who has inflicted this much damage on me.\But this is the end of the line for you.\W- why, you!\You still have this much power left!?\Piccolo! response:	Hurry! Do that technique from earlier!
context: In the Other World, that is.\Wait!\You're the first one who has inflicted this much damage on me.\But this is the end of the line for you.\W- why, you!\You still have this much power left!?\Piccolo!\Hurry! Do that technique from earlier! response:	I've been getting it ready, just in case!
context: Wait!\You're the first one who has inflicted this much damage on me.\But this is the end of the line for you.\W- why, you!\You still have this much power left!?\Piccolo!\Hurry! Do that technique from earlier!\I've been getting it ready, just in case! response:	But it's still going to take... a little bit more time!
context: You're the first one who has inflicted this much damage on me.\But this is the end of the line for you.\W- why, you!\You still have this much power left!?\Piccolo!\Hurry! Do that technique from earlier!\I've been getting it ready, just in case!\But it's still going to take... a little bit more time! response:	Why didn't you grab his tail!?
context: But this is the end of the line for you.\W- why, you!\You still have this much power left!?\Piccolo!\Hurry! Do that technique from earlier!\I've been getting it ready, just in case!\But it's still going to take... a little bit more time!\Why didn't you grab his tail!? response:	If he decided to, he could cut off his tail on his own!
context: W- why, you!\You still have this much power left!?\Piccolo!\Hurry! Do that technique from earlier!\I've been getting it ready, just in case!\But it's still going to take... a little bit more time!\Why didn't you grab his tail!?\If he decided to, he could cut off his tail on his own! response:	Y- you knew about that?
context: You still have this much power left!?\Piccolo!\Hurry! Do that technique from earlier!\I've been getting it ready, just in case!\But it's still going to take... a little bit more time!\Why didn't you grab his tail!?\If he decided to, he could cut off his tail on his own!\Y- you knew about that? response:	Piccolo! Hurry!
context: Piccolo!\Hurry! Do that technique from earlier!\I've been getting it ready, just in case!\But it's still going to take... a little bit more time!\Why didn't you grab his tail!?\If he decided to, he could cut off his tail on his own!\Y- you knew about that?\Piccolo! Hurry! response:	Hurry it up, please!
context: Hurry! Do that technique from earlier!\I've been getting it ready, just in case!\But it's still going to take... a little bit more time!\Why didn't you grab his tail!?\If he decided to, he could cut off his tail on his own!\Y- you knew about that?\Piccolo! Hurry!\Hurry it up, please! response:	Damn! Thanks to the blow that kid landed on me... my power has dropped!
context: I've been getting it ready, just in case!\But it's still going to take... a little bit more time!\Why didn't you grab his tail!?\If he decided to, he could cut off his tail on his own!\Y- you knew about that?\Piccolo! Hurry!\Hurry it up, please!\Damn! Thanks to the blow that kid landed on me... my power has dropped! response:	L- let me go, Kakarrot! You idiot!
context: But it's still going to take... a little bit more time!\Why didn't you grab his tail!?\If he decided to, he could cut off his tail on his own!\Y- you knew about that?\Piccolo! Hurry!\Hurry it up, please!\Damn! Thanks to the blow that kid landed on me... my power has dropped!\L- let me go, Kakarrot! You idiot! response:	You're going to get it too, clinging to me like this!
context: Why didn't you grab his tail!?\If he decided to, he could cut off his tail on his own!\Y- you knew about that?\Piccolo! Hurry!\Hurry it up, please!\Damn! Thanks to the blow that kid landed on me... my power has dropped!\L- let me go, Kakarrot! You idiot!\You're going to get it too, clinging to me like this! response:	I'm going to die together with you!
context: If he decided to, he could cut off his tail on his own!\Y- you knew about that?\Piccolo! Hurry!\Hurry it up, please!\Damn! Thanks to the blow that kid landed on me... my power has dropped!\L- let me go, Kakarrot! You idiot!\You're going to get it too, clinging to me like this!\I'm going to die together with you! response:	Y- you're what!?
context: Y- you knew about that?\Piccolo! Hurry!\Hurry it up, please!\Damn! Thanks to the blow that kid landed on me... my power has dropped!\L- let me go, Kakarrot! You idiot!\You're going to get it too, clinging to me like this!\I'm going to die together with you!\Y- you're what!? response:	Are you out of your mind!?
context: Piccolo! Hurry!\Hurry it up, please!\Damn! Thanks to the blow that kid landed on me... my power has dropped!\L- let me go, Kakarrot! You idiot!\You're going to get it too, clinging to me like this!\I'm going to die together with you!\Y- you're what!?\Are you out of your mind!? response:	This is the only way there is to defeat you!
context: Hurry it up, please!\Damn! Thanks to the blow that kid landed on me... my power has dropped!\L- let me go, Kakarrot! You idiot!\You're going to get it too, clinging to me like this!\I'm going to die together with you!\Y- you're what!?\Are you out of your mind!?\This is the only way there is to defeat you! response:	Son Goku!
context: Damn! Thanks to the blow that kid landed on me... my power has dropped!\L- let me go, Kakarrot! You idiot!\You're going to get it too, clinging to me like this!\I'm going to die together with you!\Y- you're what!?\Are you out of your mind!?\This is the only way there is to defeat you!\Son Goku! response:	I'm not going to hesitate here.
context: L- let me go, Kakarrot! You idiot!\You're going to get it too, clinging to me like this!\I'm going to die together with you!\Y- you're what!?\Are you out of your mind!?\This is the only way there is to defeat you!\Son Goku!\I'm not going to hesitate here. response:	If I can wipe you out as well, nothing could be better for me!
context: You're going to get it too, clinging to me like this!\I'm going to die together with you!\Y- you're what!?\Are you out of your mind!?\This is the only way there is to defeat you!\Son Goku!\I'm not going to hesitate here.\If I can wipe you out as well, nothing could be better for me! response:	But then again,
context: I'm going to die together with you!\Y- you're what!?\Are you out of your mind!?\This is the only way there is to defeat you!\Son Goku!\I'm not going to hesitate here.\If I can wipe you out as well, nothing could be better for me!\But then again, response:	your friends will probably just bring you back to life with the Dragon Balls.
context: Y- you're what!?\Are you out of your mind!?\This is the only way there is to defeat you!\Son Goku!\I'm not going to hesitate here.\If I can wipe you out as well, nothing could be better for me!\But then again,\your friends will probably just bring you back to life with the Dragon Balls. response:	Piccolo... still not yet? My ribs are broken!
context: Are you out of your mind!?\This is the only way there is to defeat you!\Son Goku!\I'm not going to hesitate here.\If I can wipe you out as well, nothing could be better for me!\But then again,\your friends will probably just bring you back to life with the Dragon Balls.\Piccolo... still not yet? My ribs are broken! response:	H- hurry!
context: This is the only way there is to defeat you!\Son Goku!\I'm not going to hesitate here.\If I can wipe you out as well, nothing could be better for me!\But then again,\your friends will probably just bring you back to life with the Dragon Balls.\Piccolo... still not yet? My ribs are broken!\H- hurry! response:	O- one thousand four hundred eighty-five!?
context: Son Goku!\I'm not going to hesitate here.\If I can wipe you out as well, nothing could be better for me!\But then again,\your friends will probably just bring you back to life with the Dragon Balls.\Piccolo... still not yet? My ribs are broken!\H- hurry!\O- one thousand four hundred eighty-five!? response:	L- let me go! I was in the wrong! I- I'll never come to this planet again!
context: I'm not going to hesitate here.\If I can wipe you out as well, nothing could be better for me!\But then again,\your friends will probably just bring you back to life with the Dragon Balls.\Piccolo... still not yet? My ribs are broken!\H- hurry!\O- one thousand four hundred eighty-five!?\L- let me go! I was in the wrong! I- I'll never come to this planet again! response:	Y- you think you can fool me again?
context: If I can wipe you out as well, nothing could be better for me!\But then again,\your friends will probably just bring you back to life with the Dragon Balls.\Piccolo... still not yet? My ribs are broken!\H- hurry!\O- one thousand four hundred eighty-five!?\L- let me go! I was in the wrong! I- I'll never come to this planet again!\Y- you think you can fool me again? response:	It's no lie! Don't you believe the word of your own older brother!?
context: But then again,\your friends will probably just bring you back to life with the Dragon Balls.\Piccolo... still not yet? My ribs are broken!\H- hurry!\O- one thousand four hundred eighty-five!?\L- let me go! I was in the wrong! I- I'll never come to this planet again!\Y- you think you can fool me again?\It's no lie! Don't you believe the word of your own older brother!? response:	Piccolo! Hurry and do it!
context: your friends will probably just bring you back to life with the Dragon Balls.\Piccolo... still not yet? My ribs are broken!\H- hurry!\O- one thousand four hundred eighty-five!?\L- let me go! I was in the wrong! I- I'll never come to this planet again!\Y- you think you can fool me again?\It's no lie! Don't you believe the word of your own older brother!?\Piccolo! Hurry and do it! response:	Sorry to keep you waiting. Are you ready for this!?
context: Piccolo... still not yet? My ribs are broken!\H- hurry!\O- one thousand four hundred eighty-five!?\L- let me go! I was in the wrong! I- I'll never come to this planet again!\Y- you think you can fool me again?\It's no lie! Don't you believe the word of your own older brother!?\Piccolo! Hurry and do it!\Sorry to keep you waiting. Are you ready for this!? response:	Do it!!
context: H- hurry!\O- one thousand four hundred eighty-five!?\L- let me go! I was in the wrong! I- I'll never come to this planet again!\Y- you think you can fool me again?\It's no lie! Don't you believe the word of your own older brother!?\Piccolo! Hurry and do it!\Sorry to keep you waiting. Are you ready for this!?\Do it!! response:	W- wait!
context: O- one thousand four hundred eighty-five!?\L- let me go! I was in the wrong! I- I'll never come to this planet again!\Y- you think you can fool me again?\It's no lie! Don't you believe the word of your own older brother!?\Piccolo! Hurry and do it!\Sorry to keep you waiting. Are you ready for this!?\Do it!!\W- wait! response:	Makankosappo!!
context: L- let me go! I was in the wrong! I- I'll never come to this planet again!\Y- you think you can fool me again?\It's no lie! Don't you believe the word of your own older brother!?\Piccolo! Hurry and do it!\Sorry to keep you waiting. Are you ready for this!?\Do it!!\W- wait!\Makankosappo!! response:	Stop!!
context: Y- you think you can fool me again?\It's no lie! Don't you believe the word of your own older brother!?\Piccolo! Hurry and do it!\Sorry to keep you waiting. Are you ready for this!?\Do it!!\W- wait!\Makankosappo!!\Stop!! response:	D- damn it to hell!
context: It's no lie! Don't you believe the word of your own older brother!?\Piccolo! Hurry and do it!\Sorry to keep you waiting. Are you ready for this!?\Do it!!\W- wait!\Makankosappo!!\Stop!!\D- damn it to hell! response:	Damn... To think that I... would be done in... by these guys!
context: Piccolo! Hurry and do it!\Sorry to keep you waiting. Are you ready for this!?\Do it!!\W- wait!\Makankosappo!!\Stop!!\D- damn it to hell!\Damn... To think that I... would be done in... by these guys! response:	T- take that!
context: Sorry to keep you waiting. Are you ready for this!?\Do it!!\W- wait!\Makankosappo!!\Stop!!\D- damn it to hell!\Damn... To think that I... would be done in... by these guys!\T- take that! response:	W- who would have thought... that Kakarrot...
context: Do it!!\W- wait!\Makankosappo!!\Stop!!\D- damn it to hell!\Damn... To think that I... would be done in... by these guys!\T- take that!\W- who would have thought... that Kakarrot... response:	You idiot...
context: W- wait!\Makankosappo!!\Stop!!\D- damn it to hell!\Damn... To think that I... would be done in... by these guys!\T- take that!\W- who would have thought... that Kakarrot...\You idiot... response:	Son Goku can come back to life right away.
context: Makankosappo!!\Stop!!\D- damn it to hell!\Damn... To think that I... would be done in... by these guys!\T- take that!\W- who would have thought... that Kakarrot...\You idiot...\Son Goku can come back to life right away. response:	W- what!?
context: Stop!!\D- damn it to hell!\Damn... To think that I... would be done in... by these guys!\T- take that!\W- who would have thought... that Kakarrot...\You idiot...\Son Goku can come back to life right away.\W- what!? response:	We have these nice things called Dragon Balls here on this planet.
context: D- damn it to hell!\Damn... To think that I... would be done in... by these guys!\T- take that!\W- who would have thought... that Kakarrot...\You idiot...\Son Goku can come back to life right away.\W- what!?\We have these nice things called Dragon Balls here on this planet. response:	By asking of them, any desire one may have can become possible.
context: Damn... To think that I... would be done in... by these guys!\T- take that!\W- who would have thought... that Kakarrot...\You idiot...\Son Goku can come back to life right away.\W- what!?\We have these nice things called Dragon Balls here on this planet.\By asking of them, any desire one may have can become possible. response:	Bringing the dead back to life, for example.
context: T- take that!\W- who would have thought... that Kakarrot...\You idiot...\Son Goku can come back to life right away.\W- what!?\We have these nice things called Dragon Balls here on this planet.\By asking of them, any desire one may have can become possible.\Bringing the dead back to life, for example. response:	Damn it all...
context: W- who would have thought... that Kakarrot...\You idiot...\Son Goku can come back to life right away.\W- what!?\We have these nice things called Dragon Balls here on this planet.\By asking of them, any desire one may have can become possible.\Bringing the dead back to life, for example.\Damn it all... response:	Still, you've told me something good...
context: You idiot...\Son Goku can come back to life right away.\W- what!?\We have these nice things called Dragon Balls here on this planet.\By asking of them, any desire one may have can become possible.\Bringing the dead back to life, for example.\Damn it all...\Still, you've told me something good... response:	The entire situation up until now...
context: Son Goku can come back to life right away.\W- what!?\We have these nice things called Dragon Balls here on this planet.\By asking of them, any desire one may have can become possible.\Bringing the dead back to life, for example.\Damn it all...\Still, you've told me something good...\The entire situation up until now... response:	has been communicated to m- my two pals, deep in space.
context: W- what!?\We have these nice things called Dragon Balls here on this planet.\By asking of them, any desire one may have can become possible.\Bringing the dead back to life, for example.\Damn it all...\Still, you've told me something good...\The entire situation up until now...\has been communicated to m- my two pals, deep in space. response:	What?
context: We have these nice things called Dragon Balls here on this planet.\By asking of them, any desire one may have can become possible.\Bringing the dead back to life, for example.\Damn it all...\Still, you've told me something good...\The entire situation up until now...\has been communicated to m- my two pals, deep in space.\What? response:	They know that I've been done in...
context: By asking of them, any desire one may have can become possible.\Bringing the dead back to life, for example.\Damn it all...\Still, you've told me something good...\The entire situation up until now...\has been communicated to m- my two pals, deep in space.\What?\They know that I've been done in... response:	And while they're at it...
context: Bringing the dead back to life, for example.\Damn it all...\Still, you've told me something good...\The entire situation up until now...\has been communicated to m- my two pals, deep in space.\What?\They know that I've been done in...\And while they're at it... response:	maybe they'll use those whatever-you-called-them things...
context: Damn it all...\Still, you've told me something good...\The entire situation up until now...\has been communicated to m- my two pals, deep in space.\What?\They know that I've been done in...\And while they're at it...\maybe they'll use those whatever-you-called-them things... response:	and have me brought back to life.
context: Still, you've told me something good...\The entire situation up until now...\has been communicated to m- my two pals, deep in space.\What?\They know that I've been done in...\And while they're at it...\maybe they'll use those whatever-you-called-them things...\and have me brought back to life. response:	T- those...
context: The entire situation up until now...\has been communicated to m- my two pals, deep in space.\What?\They know that I've been done in...\And while they're at it...\maybe they'll use those whatever-you-called-them things...\and have me brought back to life.\T- those... response:	One year... just one year from now...
context: has been communicated to m- my two pals, deep in space.\What?\They know that I've been done in...\And while they're at it...\maybe they'll use those whatever-you-called-them things...\and have me brought back to life.\T- those...\One year... just one year from now... response:	One year? Two more of you... who are even stronger?
context: What?\They know that I've been done in...\And while they're at it...\maybe they'll use those whatever-you-called-them things...\and have me brought back to life.\T- those...\One year... just one year from now...\One year? Two more of you... who are even stronger? response:	Your chances of winning will be absolutely zero that time for sure...
context: They know that I've been done in...\And while they're at it...\maybe they'll use those whatever-you-called-them things...\and have me brought back to life.\T- those...\One year... just one year from now...\One year? Two more of you... who are even stronger?\Your chances of winning will be absolutely zero that time for sure... response:	Enjoy yourselves as much as you can for the next year...
context: And while they're at it...\maybe they'll use those whatever-you-called-them things...\and have me brought back to life.\T- those...\One year... just one year from now...\One year? Two more of you... who are even stronger?\Your chances of winning will be absolutely zero that time for sure...\Enjoy yourselves as much as you can for the next year... response:	It was a short-lived joy, wasn't it?
context: maybe they'll use those whatever-you-called-them things...\and have me brought back to life.\T- those...\One year... just one year from now...\One year? Two more of you... who are even stronger?\Your chances of winning will be absolutely zero that time for sure...\Enjoy yourselves as much as you can for the next year...\It was a short-lived joy, wasn't it? response:	You guys are no more than worms, after all...
context: and have me brought back to life.\T- those...\One year... just one year from now...\One year? Two more of you... who are even stronger?\Your chances of winning will be absolutely zero that time for sure...\Enjoy yourselves as much as you can for the next year...\It was a short-lived joy, wasn't it?\You guys are no more than worms, after all... response:	Right now, Goku-sa and the others must be havin' a good time at the Kame House.
context: T- those...\One year... just one year from now...\One year? Two more of you... who are even stronger?\Your chances of winning will be absolutely zero that time for sure...\Enjoy yourselves as much as you can for the next year...\It was a short-lived joy, wasn't it?\You guys are no more than worms, after all...\Right now, Goku-sa and the others must be havin' a good time at the Kame House. response:	l wonder if Gohan is adjustin' okay to them...
context: One year... just one year from now...\One year? Two more of you... who are even stronger?\Your chances of winning will be absolutely zero that time for sure...\Enjoy yourselves as much as you can for the next year...\It was a short-lived joy, wasn't it?\You guys are no more than worms, after all...\Right now, Goku-sa and the others must be havin' a good time at the Kame House.\l wonder if Gohan is adjustin' okay to them... response:	Still, he'll be okay.
context: One year? Two more of you... who are even stronger?\Your chances of winning will be absolutely zero that time for sure...\Enjoy yourselves as much as you can for the next year...\It was a short-lived joy, wasn't it?\You guys are no more than worms, after all...\Right now, Goku-sa and the others must be havin' a good time at the Kame House.\l wonder if Gohan is adjustin' okay to them...\Still, he'll be okay. response:	That boy's got good manners.
context: Your chances of winning will be absolutely zero that time for sure...\Enjoy yourselves as much as you can for the next year...\It was a short-lived joy, wasn't it?\You guys are no more than worms, after all...\Right now, Goku-sa and the others must be havin' a good time at the Kame House.\l wonder if Gohan is adjustin' okay to them...\Still, he'll be okay.\That boy's got good manners. response:	I wish I had gone, too...
context: Enjoy yourselves as much as you can for the next year...\It was a short-lived joy, wasn't it?\You guys are no more than worms, after all...\Right now, Goku-sa and the others must be havin' a good time at the Kame House.\l wonder if Gohan is adjustin' okay to them...\Still, he'll be okay.\That boy's got good manners.\I wish I had gone, too... response:	Gohan- chan!
context: It was a short-lived joy, wasn't it?\You guys are no more than worms, after all...\Right now, Goku-sa and the others must be havin' a good time at the Kame House.\l wonder if Gohan is adjustin' okay to them...\Still, he'll be okay.\That boy's got good manners.\I wish I had gone, too...\Gohan- chan! response:	Chichi, where's Gohan- chan?
context: You guys are no more than worms, after all...\Right now, Goku-sa and the others must be havin' a good time at the Kame House.\l wonder if Gohan is adjustin' okay to them...\Still, he'll be okay.\That boy's got good manners.\I wish I had gone, too...\Gohan- chan!\Chichi, where's Gohan- chan? response:	Hey, Gohan- chan!
context: Right now, Goku-sa and the others must be havin' a good time at the Kame House.\l wonder if Gohan is adjustin' okay to them...\Still, he'll be okay.\That boy's got good manners.\I wish I had gone, too...\Gohan- chan!\Chichi, where's Gohan- chan?\Hey, Gohan- chan! response:	I brung you a whole mess of presents-!
context: l wonder if Gohan is adjustin' okay to them...\Still, he'll be okay.\That boy's got good manners.\I wish I had gone, too...\Gohan- chan!\Chichi, where's Gohan- chan?\Hey, Gohan- chan!\I brung you a whole mess of presents-! response:	I think it was around here somewhere.
context: Still, he'll be okay.\That boy's got good manners.\I wish I had gone, too...\Gohan- chan!\Chichi, where's Gohan- chan?\Hey, Gohan- chan!\I brung you a whole mess of presents-!\I think it was around here somewhere. response:	You're out of your misery now.
context: That boy's got good manners.\I wish I had gone, too...\Gohan- chan!\Chichi, where's Gohan- chan?\Hey, Gohan- chan!\I brung you a whole mess of presents-!\I think it was around here somewhere.\You're out of your misery now. response:	You just had to go and spit out all of that uncalled-for blather.
context: I wish I had gone, too...\Gohan- chan!\Chichi, where's Gohan- chan?\Hey, Gohan- chan!\I brung you a whole mess of presents-!\I think it was around here somewhere.\You're out of your misery now.\You just had to go and spit out all of that uncalled-for blather. response:	Son Goku, he's dead.
context: Gohan- chan!\Chichi, where's Gohan- chan?\Hey, Gohan- chan!\I brung you a whole mess of presents-!\I think it was around here somewhere.\You're out of your misery now.\You just had to go and spit out all of that uncalled-for blather.\Son Goku, he's dead. response:	There's somebody there!
context: Chichi, where's Gohan- chan?\Hey, Gohan- chan!\I brung you a whole mess of presents-!\I think it was around here somewhere.\You're out of your misery now.\You just had to go and spit out all of that uncalled-for blather.\Son Goku, he's dead.\There's somebody there! response:	Some of them are down!
context: Hey, Gohan- chan!\I brung you a whole mess of presents-!\I think it was around here somewhere.\You're out of your misery now.\You just had to go and spit out all of that uncalled-for blather.\Son Goku, he's dead.\There's somebody there!\Some of them are down! response:	T- the only one standing is...
context: I brung you a whole mess of presents-!\I think it was around here somewhere.\You're out of your misery now.\You just had to go and spit out all of that uncalled-for blather.\Son Goku, he's dead.\There's somebody there!\Some of them are down!\T- the only one standing is... response:	W- what the hell?
context: I think it was around here somewhere.\You're out of your misery now.\You just had to go and spit out all of that uncalled-for blather.\Son Goku, he's dead.\There's somebody there!\Some of them are down!\T- the only one standing is...\W- what the hell? response:	At that same time, a great distance away in space...
context: You're out of your misery now.\You just had to go and spit out all of that uncalled-for blather.\Son Goku, he's dead.\There's somebody there!\Some of them are down!\T- the only one standing is...\W- what the hell?\At that same time, a great distance away in space... response:	That miserable Raditz...
context: You just had to go and spit out all of that uncalled-for blather.\Son Goku, he's dead.\There's somebody there!\Some of them are down!\T- the only one standing is...\W- what the hell?\At that same time, a great distance away in space...\That miserable Raditz... response:	He's dead.
context: Son Goku, he's dead.\There's somebody there!\Some of them are down!\T- the only one standing is...\W- what the hell?\At that same time, a great distance away in space...\That miserable Raditz...\He's dead. response:	He's pathetic! I mean, really...
context: There's somebody there!\Some of them are down!\T- the only one standing is...\W- what the hell?\At that same time, a great distance away in space...\That miserable Raditz...\He's dead.\He's pathetic! I mean, really... response:	with a battle power of just a bit more than a thousand!
context: Some of them are down!\T- the only one standing is...\W- what the hell?\At that same time, a great distance away in space...\That miserable Raditz...\He's dead.\He's pathetic! I mean, really...\with a battle power of just a bit more than a thousand! response:	What should we do? Put this planet on hold and go there?
context: T- the only one standing is...\W- what the hell?\At that same time, a great distance away in space...\That miserable Raditz...\He's dead.\He's pathetic! I mean, really...\with a battle power of just a bit more than a thousand!\What should we do? Put this planet on hold and go there? response:	They mentioned something... interesting, didn't they?
context: W- what the hell?\At that same time, a great distance away in space...\That miserable Raditz...\He's dead.\He's pathetic! I mean, really...\with a battle power of just a bit more than a thousand!\What should we do? Put this planet on hold and go there?\They mentioned something... interesting, didn't they? response:	Dragon... balls, or something.
context: At that same time, a great distance away in space...\That miserable Raditz...\He's dead.\He's pathetic! I mean, really...\with a battle power of just a bit more than a thousand!\What should we do? Put this planet on hold and go there?\They mentioned something... interesting, didn't they?\Dragon... balls, or something. response:	Yeah. It sounds like they can grant any wish.
context: That miserable Raditz...\He's dead.\He's pathetic! I mean, really...\with a battle power of just a bit more than a thousand!\What should we do? Put this planet on hold and go there?\They mentioned something... interesting, didn't they?\Dragon... balls, or something.\Yeah. It sounds like they can grant any wish. response:	All right then, let's go.
context: He's dead.\He's pathetic! I mean, really...\with a battle power of just a bit more than a thousand!\What should we do? Put this planet on hold and go there?\They mentioned something... interesting, didn't they?\Dragon... balls, or something.\Yeah. It sounds like they can grant any wish.\All right then, let's go. response:	We're going to bring Raditz back to life, right?
context: He's pathetic! I mean, really...\with a battle power of just a bit more than a thousand!\What should we do? Put this planet on hold and go there?\They mentioned something... interesting, didn't they?\Dragon... balls, or something.\Yeah. It sounds like they can grant any wish.\All right then, let's go.\We're going to bring Raditz back to life, right? response:	Don't make jokes! We don't need that good-for-nothing any more.
