context: < Ministry of Internal Affairs and Communications, Statistics Bureau response:	< Second Investigation Division
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Yin!
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Yin! response:	Hei.
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Yin!\Hei. response:	Don't! Yin!
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Yin!\Hei.\Don't! Yin! response:	Farewell, Hei.
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Yin!\Hei.\Don't! Yin!\Farewell, Hei. response:	Yin.
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Yin!\Hei.\Don't! Yin!\Farewell, Hei.\Yin. response:	Let go! Let go of me!
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Yin!\Hei.\Don't! Yin!\Farewell, Hei.\Yin.\Let go! Let go of me! response:	Did you save me?
context: No matter how broken today looks\Yin!\Hei.\Don't! Yin!\Farewell, Hei.\Yin.\Let go! Let go of me!\Did you save me? response:	How should I know?
context: Yin!\Hei.\Don't! Yin!\Farewell, Hei.\Yin.\Let go! Let go of me!\Did you save me?\How should I know? response:	Youko-chan! That's enough!
context: Hei.\Don't! Yin!\Farewell, Hei.\Yin.\Let go! Let go of me!\Did you save me?\How should I know?\Youko-chan! That's enough! response:	It too hot when it's that close!
context: Don't! Yin!\Farewell, Hei.\Yin.\Let go! Let go of me!\Did you save me?\How should I know?\Youko-chan! That's enough!\It too hot when it's that close! response:	Sorry, but this is my first time doing moxibustion.
context: Farewell, Hei.\Yin.\Let go! Let go of me!\Did you save me?\How should I know?\Youko-chan! That's enough!\It too hot when it's that close!\Sorry, but this is my first time doing moxibustion. response:	First time, eh?
context: Yin.\Let go! Let go of me!\Did you save me?\How should I know?\Youko-chan! That's enough!\It too hot when it's that close!\Sorry, but this is my first time doing moxibustion.\First time, eh? response:	That's quite interesting.
context: Let go! Let go of me!\Did you save me?\How should I know?\Youko-chan! That's enough!\It too hot when it's that close!\Sorry, but this is my first time doing moxibustion.\First time, eh?\That's quite interesting. response:	Maybe along with this boring remuneration we can pass the time by...
context: Did you save me?\How should I know?\Youko-chan! That's enough!\It too hot when it's that close!\Sorry, but this is my first time doing moxibustion.\First time, eh?\That's quite interesting.\Maybe along with this boring remuneration we can pass the time by... response:	Oww!
context: How should I know?\Youko-chan! That's enough!\It too hot when it's that close!\Sorry, but this is my first time doing moxibustion.\First time, eh?\That's quite interesting.\Maybe along with this boring remuneration we can pass the time by...\Oww! response:	Sorry, my hand slipped.
context: Youko-chan! That's enough!\It too hot when it's that close!\Sorry, but this is my first time doing moxibustion.\First time, eh?\That's quite interesting.\Maybe along with this boring remuneration we can pass the time by...\Oww!\Sorry, my hand slipped. response:	Liar!
context: It too hot when it's that close!\Sorry, but this is my first time doing moxibustion.\First time, eh?\That's quite interesting.\Maybe along with this boring remuneration we can pass the time by...\Oww!\Sorry, my hand slipped.\Liar! response:	Don't come in without even knocking!
context: Sorry, but this is my first time doing moxibustion.\First time, eh?\That's quite interesting.\Maybe along with this boring remuneration we can pass the time by...\Oww!\Sorry, my hand slipped.\Liar!\Don't come in without even knocking! response:	Same goes for you.
context: First time, eh?\That's quite interesting.\Maybe along with this boring remuneration we can pass the time by...\Oww!\Sorry, my hand slipped.\Liar!\Don't come in without even knocking!\Same goes for you. response:	So, what did the chief say?
context: That's quite interesting.\Maybe along with this boring remuneration we can pass the time by...\Oww!\Sorry, my hand slipped.\Liar!\Don't come in without even knocking!\Same goes for you.\So, what did the chief say? response:	He told us to continue with the mission and obtain Izanagi by any means necessary.
context: Maybe along with this boring remuneration we can pass the time by...\Oww!\Sorry, my hand slipped.\Liar!\Don't come in without even knocking!\Same goes for you.\So, what did the chief say?\He told us to continue with the mission and obtain Izanagi by any means necessary. response:	If we can't accomplish the mission, we will be eliminated.
context: Oww!\Sorry, my hand slipped.\Liar!\Don't come in without even knocking!\Same goes for you.\So, what did the chief say?\He told us to continue with the mission and obtain Izanagi by any means necessary.\If we can't accomplish the mission, we will be eliminated. response:	Oh geez, just when I've found a misbehaving cutie...
context: Sorry, my hand slipped.\Liar!\Don't come in without even knocking!\Same goes for you.\So, what did the chief say?\He told us to continue with the mission and obtain Izanagi by any means necessary.\If we can't accomplish the mission, we will be eliminated.\Oh geez, just when I've found a misbehaving cutie... response:	Wait, would having a tragic past score me more cuteness points?
context: Liar!\Don't come in without even knocking!\Same goes for you.\So, what did the chief say?\He told us to continue with the mission and obtain Izanagi by any means necessary.\If we can't accomplish the mission, we will be eliminated.\Oh geez, just when I've found a misbehaving cutie...\Wait, would having a tragic past score me more cuteness points? response:	Pervert.
context: Don't come in without even knocking!\Same goes for you.\So, what did the chief say?\He told us to continue with the mission and obtain Izanagi by any means necessary.\If we can't accomplish the mission, we will be eliminated.\Oh geez, just when I've found a misbehaving cutie...\Wait, would having a tragic past score me more cuteness points?\Pervert. response:	Why did you kill my dad?
context: Same goes for you.\So, what did the chief say?\He told us to continue with the mission and obtain Izanagi by any means necessary.\If we can't accomplish the mission, we will be eliminated.\Oh geez, just when I've found a misbehaving cutie...\Wait, would having a tragic past score me more cuteness points?\Pervert.\Why did you kill my dad? response:	Say something!
context: So, what did the chief say?\He told us to continue with the mission and obtain Izanagi by any means necessary.\If we can't accomplish the mission, we will be eliminated.\Oh geez, just when I've found a misbehaving cutie...\Wait, would having a tragic past score me more cuteness points?\Pervert.\Why did you kill my dad?\Say something! response:	You know something, don't you?!
context: He told us to continue with the mission and obtain Izanagi by any means necessary.\If we can't accomplish the mission, we will be eliminated.\Oh geez, just when I've found a misbehaving cutie...\Wait, would having a tragic past score me more cuteness points?\Pervert.\Why did you kill my dad?\Say something!\You know something, don't you?! response:	Who were they?
context: If we can't accomplish the mission, we will be eliminated.\Oh geez, just when I've found a misbehaving cutie...\Wait, would having a tragic past score me more cuteness points?\Pervert.\Why did you kill my dad?\Say something!\You know something, don't you?!\Who were they? response:	Why were they looking for Shion?
context: Oh geez, just when I've found a misbehaving cutie...\Wait, would having a tragic past score me more cuteness points?\Pervert.\Why did you kill my dad?\Say something!\You know something, don't you?!\Who were they?\Why were they looking for Shion? response:	Why did you have to kill my father?!
context: Wait, would having a tragic past score me more cuteness points?\Pervert.\Why did you kill my dad?\Say something!\You know something, don't you?!\Who were they?\Why were they looking for Shion?\Why did you have to kill my father?! response:	If you hate me that much, go ahead and kill me.
context: Pervert.\Why did you kill my dad?\Say something!\You know something, don't you?!\Who were they?\Why were they looking for Shion?\Why did you have to kill my father?!\If you hate me that much, go ahead and kill me. response:	You're right about that.
context: Why did you kill my dad?\Say something!\You know something, don't you?!\Who were they?\Why were they looking for Shion?\Why did you have to kill my father?!\If you hate me that much, go ahead and kill me.\You're right about that. response:	But I'd rather die than be a murderer!
context: Say something!\You know something, don't you?!\Who were they?\Why were they looking for Shion?\Why did you have to kill my father?!\If you hate me that much, go ahead and kill me.\You're right about that.\But I'd rather die than be a murderer! response:	What a pacifist...
context: You know something, don't you?!\Who were they?\Why were they looking for Shion?\Why did you have to kill my father?!\If you hate me that much, go ahead and kill me.\You're right about that.\But I'd rather die than be a murderer!\What a pacifist... response:	There are no replacements for anyone!
context: Who were they?\Why were they looking for Shion?\Why did you have to kill my father?!\If you hate me that much, go ahead and kill me.\You're right about that.\But I'd rather die than be a murderer!\What a pacifist...\There are no replacements for anyone! response:	Since everyone is unique!
context: Why were they looking for Shion?\Why did you have to kill my father?!\If you hate me that much, go ahead and kill me.\You're right about that.\But I'd rather die than be a murderer!\What a pacifist...\There are no replacements for anyone!\Since everyone is unique! response:	Yet you...
context: Why did you have to kill my father?!\If you hate me that much, go ahead and kill me.\You're right about that.\But I'd rather die than be a murderer!\What a pacifist...\There are no replacements for anyone!\Since everyone is unique!\Yet you... response:	I bet you're the kind of person who can kill friends and lovers without batting an eye!
context: If you hate me that much, go ahead and kill me.\You're right about that.\But I'd rather die than be a murderer!\What a pacifist...\There are no replacements for anyone!\Since everyone is unique!\Yet you...\I bet you're the kind of person who can kill friends and lovers without batting an eye! response:	Shut up!
context: You're right about that.\But I'd rather die than be a murderer!\What a pacifist...\There are no replacements for anyone!\Since everyone is unique!\Yet you...\I bet you're the kind of person who can kill friends and lovers without batting an eye!\Shut up! response:	What...
context: But I'd rather die than be a murderer!\What a pacifist...\There are no replacements for anyone!\Since everyone is unique!\Yet you...\I bet you're the kind of person who can kill friends and lovers without batting an eye!\Shut up!\What... response:	What the hell is going on?
context: What a pacifist...\There are no replacements for anyone!\Since everyone is unique!\Yet you...\I bet you're the kind of person who can kill friends and lovers without batting an eye!\Shut up!\What...\What the hell is going on? response:	Everything was normal up until yesterday.
context: There are no replacements for anyone!\Since everyone is unique!\Yet you...\I bet you're the kind of person who can kill friends and lovers without batting an eye!\Shut up!\What...\What the hell is going on?\Everything was normal up until yesterday. response:	Suddenly everything is all messed up!
context: Since everyone is unique!\Yet you...\I bet you're the kind of person who can kill friends and lovers without batting an eye!\Shut up!\What...\What the hell is going on?\Everything was normal up until yesterday.\Suddenly everything is all messed up! response:	Why?!
context: Yet you...\I bet you're the kind of person who can kill friends and lovers without batting an eye!\Shut up!\What...\What the hell is going on?\Everything was normal up until yesterday.\Suddenly everything is all messed up!\Why?! response:	I don't want to die!
context: I bet you're the kind of person who can kill friends and lovers without batting an eye!\Shut up!\What...\What the hell is going on?\Everything was normal up until yesterday.\Suddenly everything is all messed up!\Why?!\I don't want to die! response:	Nor do I want to see other people killing or getting killed!
context: Shut up!\What...\What the hell is going on?\Everything was normal up until yesterday.\Suddenly everything is all messed up!\Why?!\I don't want to die!\Nor do I want to see other people killing or getting killed! response:	I've... I've had enough!
context: What...\What the hell is going on?\Everything was normal up until yesterday.\Suddenly everything is all messed up!\Why?!\I don't want to die!\Nor do I want to see other people killing or getting killed!\I've... I've had enough! response:	So they called me in this early in the morning just to clean up the mess the colonel made?
context: What the hell is going on?\Everything was normal up until yesterday.\Suddenly everything is all messed up!\Why?!\I don't want to die!\Nor do I want to see other people killing or getting killed!\I've... I've had enough!\So they called me in this early in the morning just to clean up the mess the colonel made? response:	What exactly do they expect me to do with so few people?
context: Everything was normal up until yesterday.\Suddenly everything is all messed up!\Why?!\I don't want to die!\Nor do I want to see other people killing or getting killed!\I've... I've had enough!\So they called me in this early in the morning just to clean up the mess the colonel made?\What exactly do they expect me to do with so few people? response:	Have you requested for more personnel?
context: Suddenly everything is all messed up!\Why?!\I don't want to die!\Nor do I want to see other people killing or getting killed!\I've... I've had enough!\So they called me in this early in the morning just to clean up the mess the colonel made?\What exactly do they expect me to do with so few people?\Have you requested for more personnel? response:	The brass just doesn't understand how important this is.
context: Why?!\I don't want to die!\Nor do I want to see other people killing or getting killed!\I've... I've had enough!\So they called me in this early in the morning just to clean up the mess the colonel made?\What exactly do they expect me to do with so few people?\Have you requested for more personnel?\The brass just doesn't understand how important this is. response:	Right now, there is only one novice available
context: I don't want to die!\Nor do I want to see other people killing or getting killed!\I've... I've had enough!\So they called me in this early in the morning just to clean up the mess the colonel made?\What exactly do they expect me to do with so few people?\Have you requested for more personnel?\The brass just doesn't understand how important this is.\Right now, there is only one novice available response:	Seems like there's no choice but to mobilize a large conventional force...
context: Nor do I want to see other people killing or getting killed!\I've... I've had enough!\So they called me in this early in the morning just to clean up the mess the colonel made?\What exactly do they expect me to do with so few people?\Have you requested for more personnel?\The brass just doesn't understand how important this is.\Right now, there is only one novice available\Seems like there's no choice but to mobilize a large conventional force... response:	That doesn't make us much different from the colonel then...
context: I've... I've had enough!\So they called me in this early in the morning just to clean up the mess the colonel made?\What exactly do they expect me to do with so few people?\Have you requested for more personnel?\The brass just doesn't understand how important this is.\Right now, there is only one novice available\Seems like there's no choice but to mobilize a large conventional force...\That doesn't make us much different from the colonel then... response:	Major.
context: So they called me in this early in the morning just to clean up the mess the colonel made?\What exactly do they expect me to do with so few people?\Have you requested for more personnel?\The brass just doesn't understand how important this is.\Right now, there is only one novice available\Seems like there's no choice but to mobilize a large conventional force...\That doesn't make us much different from the colonel then...\Major. response:	Should we capture him?
context: What exactly do they expect me to do with so few people?\Have you requested for more personnel?\The brass just doesn't understand how important this is.\Right now, there is only one novice available\Seems like there's no choice but to mobilize a large conventional force...\That doesn't make us much different from the colonel then...\Major.\Should we capture him? response:	Do you know Shogi?
context: Have you requested for more personnel?\The brass just doesn't understand how important this is.\Right now, there is only one novice available\Seems like there's no choice but to mobilize a large conventional force...\That doesn't make us much different from the colonel then...\Major.\Should we capture him?\Do you know Shogi? response:	It's a Japanese game.
context: The brass just doesn't understand how important this is.\Right now, there is only one novice available\Seems like there's no choice but to mobilize a large conventional force...\That doesn't make us much different from the colonel then...\Major.\Should we capture him?\Do you know Shogi?\It's a Japanese game. response:	Unlike chess, you can use the captured pieces as your own.
context: Right now, there is only one novice available\Seems like there's no choice but to mobilize a large conventional force...\That doesn't make us much different from the colonel then...\Major.\Should we capture him?\Do you know Shogi?\It's a Japanese game.\Unlike chess, you can use the captured pieces as your own. response:	So she cried herself to sleep.
context: Seems like there's no choice but to mobilize a large conventional force...\That doesn't make us much different from the colonel then...\Major.\Should we capture him?\Do you know Shogi?\It's a Japanese game.\Unlike chess, you can use the captured pieces as your own.\So she cried herself to sleep. response:	Well, that's to be expected. Up until two days ago, she was just a normal middle school student.
context: That doesn't make us much different from the colonel then...\Major.\Should we capture him?\Do you know Shogi?\It's a Japanese game.\Unlike chess, you can use the captured pieces as your own.\So she cried herself to sleep.\Well, that's to be expected. Up until two days ago, she was just a normal middle school student. response:	Aren't you surprised?
context: Major.\Should we capture him?\Do you know Shogi?\It's a Japanese game.\Unlike chess, you can use the captured pieces as your own.\So she cried herself to sleep.\Well, that's to be expected. Up until two days ago, she was just a normal middle school student.\Aren't you surprised? response:	I am.
context: Should we capture him?\Do you know Shogi?\It's a Japanese game.\Unlike chess, you can use the captured pieces as your own.\So she cried herself to sleep.\Well, that's to be expected. Up until two days ago, she was just a normal middle school student.\Aren't you surprised?\I am. response:	So it's true that your memories reside outside of your body.
context: Do you know Shogi?\It's a Japanese game.\Unlike chess, you can use the captured pieces as your own.\So she cried herself to sleep.\Well, that's to be expected. Up until two days ago, she was just a normal middle school student.\Aren't you surprised?\I am.\So it's true that your memories reside outside of your body. response:	Yeah.
context: It's a Japanese game.\Unlike chess, you can use the captured pieces as your own.\So she cried herself to sleep.\Well, that's to be expected. Up until two days ago, she was just a normal middle school student.\Aren't you surprised?\I am.\So it's true that your memories reside outside of your body.\Yeah. response:	Well, it's only a periodic backup
context: Unlike chess, you can use the captured pieces as your own.\So she cried herself to sleep.\Well, that's to be expected. Up until two days ago, she was just a normal middle school student.\Aren't you surprised?\I am.\So it's true that your memories reside outside of your body.\Yeah.\Well, it's only a periodic backup response:	so I've only heard the conclusion of what happened in Tokyo.
context: So she cried herself to sleep.\Well, that's to be expected. Up until two days ago, she was just a normal middle school student.\Aren't you surprised?\I am.\So it's true that your memories reside outside of your body.\Yeah.\Well, it's only a periodic backup\so I've only heard the conclusion of what happened in Tokyo. response:	So who are your owners now?
context: Well, that's to be expected. Up until two days ago, she was just a normal middle school student.\Aren't you surprised?\I am.\So it's true that your memories reside outside of your body.\Yeah.\Well, it's only a periodic backup\so I've only heard the conclusion of what happened in Tokyo.\So who are your owners now? response:	Same as yours, Hei.
context: Aren't you surprised?\I am.\So it's true that your memories reside outside of your body.\Yeah.\Well, it's only a periodic backup\so I've only heard the conclusion of what happened in Tokyo.\So who are your owners now?\Same as yours, Hei. response:	The CIA?
context: I am.\So it's true that your memories reside outside of your body.\Yeah.\Well, it's only a periodic backup\so I've only heard the conclusion of what happened in Tokyo.\So who are your owners now?\Same as yours, Hei.\The CIA? response:	No.
context: So it's true that your memories reside outside of your body.\Yeah.\Well, it's only a periodic backup\so I've only heard the conclusion of what happened in Tokyo.\So who are your owners now?\Same as yours, Hei.\The CIA?\No. response:	Yes. Her.
context: Yeah.\Well, it's only a periodic backup\so I've only heard the conclusion of what happened in Tokyo.\So who are your owners now?\Same as yours, Hei.\The CIA?\No.\Yes. Her. response:	I've just come to issue you a change of orders.
context: Well, it's only a periodic backup\so I've only heard the conclusion of what happened in Tokyo.\So who are your owners now?\Same as yours, Hei.\The CIA?\No.\Yes. Her.\I've just come to issue you a change of orders. response:	Tanya!
