context: All right, then! response:	What, you again? You never learn, do you?
context: Wake up, Nappa! Wake up! Open your eyes, Nappa!\Have we arrived at Earth already?\No, not yet. I thought we might stop off on the way, and set my wake-up timer.\Stop off somewhere, you say?\There's a pretty good planet ahead of us. We can sell it for a lot!\Understood.\Sleeping for one year straight gets you all out of form, so this will be perfect!\W- what is this? response:	You're sure we can sell a place like this for a high price?
context: Have we arrived at Earth already?\No, not yet. I thought we might stop off on the way, and set my wake-up timer.\Stop off somewhere, you say?\There's a pretty good planet ahead of us. We can sell it for a lot!\Understood.\Sleeping for one year straight gets you all out of form, so this will be perfect!\W- what is this?\You're sure we can sell a place like this for a high price? response:	In any event...
context: No, not yet. I thought we might stop off on the way, and set my wake-up timer.\Stop off somewhere, you say?\There's a pretty good planet ahead of us. We can sell it for a lot!\Understood.\Sleeping for one year straight gets you all out of form, so this will be perfect!\W- what is this?\You're sure we can sell a place like this for a high price?\In any event... response:	What ugly creatures those are!
context: Stop off somewhere, you say?\There's a pretty good planet ahead of us. We can sell it for a lot!\Understood.\Sleeping for one year straight gets you all out of form, so this will be perfect!\W- what is this?\You're sure we can sell a place like this for a high price?\In any event...\What ugly creatures those are! response:	They look like they're space men.
context: There's a pretty good planet ahead of us. We can sell it for a lot!\Understood.\Sleeping for one year straight gets you all out of form, so this will be perfect!\W- what is this?\You're sure we can sell a place like this for a high price?\In any event...\What ugly creatures those are!\They look like they're space men. response:	To think that we would come across space men on our hunt!
context: Understood.\Sleeping for one year straight gets you all out of form, so this will be perfect!\W- what is this?\You're sure we can sell a place like this for a high price?\In any event...\What ugly creatures those are!\They look like they're space men.\To think that we would come across space men on our hunt! response:	I'm sure that Moai- sama will be pleased!
context: Sleeping for one year straight gets you all out of form, so this will be perfect!\W- what is this?\You're sure we can sell a place like this for a high price?\In any event...\What ugly creatures those are!\They look like they're space men.\To think that we would come across space men on our hunt!\I'm sure that Moai- sama will be pleased! response:	Moai?
context: W- what is this?\You're sure we can sell a place like this for a high price?\In any event...\What ugly creatures those are!\They look like they're space men.\To think that we would come across space men on our hunt!\I'm sure that Moai- sama will be pleased!\Moai? response:	This planet's king! Our ruler!
context: You're sure we can sell a place like this for a high price?\In any event...\What ugly creatures those are!\They look like they're space men.\To think that we would come across space men on our hunt!\I'm sure that Moai- sama will be pleased!\Moai?\This planet's king! Our ruler! response:	You've come all the way from outer space. Stay here for a while!
context: In any event...\What ugly creatures those are!\They look like they're space men.\To think that we would come across space men on our hunt!\I'm sure that Moai- sama will be pleased!\Moai?\This planet's king! Our ruler!\You've come all the way from outer space. Stay here for a while! response:	This will be interesting!
context: What ugly creatures those are!\They look like they're space men.\To think that we would come across space men on our hunt!\I'm sure that Moai- sama will be pleased!\Moai?\This planet's king! Our ruler!\You've come all the way from outer space. Stay here for a while!\This will be interesting! response:	Stop, Nappa.
context: They look like they're space men.\To think that we would come across space men on our hunt!\I'm sure that Moai- sama will be pleased!\Moai?\This planet's king! Our ruler!\You've come all the way from outer space. Stay here for a while!\This will be interesting!\Stop, Nappa. response:	This could be an opportunity. Let's let them introduce us to this Moai.
context: To think that we would come across space men on our hunt!\I'm sure that Moai- sama will be pleased!\Moai?\This planet's king! Our ruler!\You've come all the way from outer space. Stay here for a while!\This will be interesting!\Stop, Nappa.\This could be an opportunity. Let's let them introduce us to this Moai. response:	Here...
context: I'm sure that Moai- sama will be pleased!\Moai?\This planet's king! Our ruler!\You've come all the way from outer space. Stay here for a while!\This will be interesting!\Stop, Nappa.\This could be an opportunity. Let's let them introduce us to this Moai.\Here... response:	Don't scare us like that!
context: Moai?\This planet's king! Our ruler!\You've come all the way from outer space. Stay here for a while!\This will be interesting!\Stop, Nappa.\This could be an opportunity. Let's let them introduce us to this Moai.\Here...\Don't scare us like that! response:	Freeze, you bank robber!
context: This planet's king! Our ruler!\You've come all the way from outer space. Stay here for a while!\This will be interesting!\Stop, Nappa.\This could be an opportunity. Let's let them introduce us to this Moai.\Here...\Don't scare us like that!\Freeze, you bank robber! response:	You're under arrest!
context: You've come all the way from outer space. Stay here for a while!\This will be interesting!\Stop, Nappa.\This could be an opportunity. Let's let them introduce us to this Moai.\Here...\Don't scare us like that!\Freeze, you bank robber!\You're under arrest! response:	What pests!
context: This will be interesting!\Stop, Nappa.\This could be an opportunity. Let's let them introduce us to this Moai.\Here...\Don't scare us like that!\Freeze, you bank robber!\You're under arrest!\What pests! response:	This money is a present for Ten- san! You guys stay out of it!
context: Stop, Nappa.\This could be an opportunity. Let's let them introduce us to this Moai.\Here...\Don't scare us like that!\Freeze, you bank robber!\You're under arrest!\What pests!\This money is a present for Ten- san! You guys stay out of it! response:	Just you wait, Tenshinhan!
context: This could be an opportunity. Let's let them introduce us to this Moai.\Here...\Don't scare us like that!\Freeze, you bank robber!\You're under arrest!\What pests!\This money is a present for Ten- san! You guys stay out of it!\Just you wait, Tenshinhan! response:	I'll feed you all kinds of nutritious things with this money!
context: Here...\Don't scare us like that!\Freeze, you bank robber!\You're under arrest!\What pests!\This money is a present for Ten- san! You guys stay out of it!\Just you wait, Tenshinhan!\I'll feed you all kinds of nutritious things with this money! response:	Behave yourselves for a little while now, space men.
context: Don't scare us like that!\Freeze, you bank robber!\You're under arrest!\What pests!\This money is a present for Ten- san! You guys stay out of it!\Just you wait, Tenshinhan!\I'll feed you all kinds of nutritious things with this money!\Behave yourselves for a little while now, space men. response:	It looks like quite an enjoyable little planet, huh?
context: Freeze, you bank robber!\You're under arrest!\What pests!\This money is a present for Ten- san! You guys stay out of it!\Just you wait, Tenshinhan!\I'll feed you all kinds of nutritious things with this money!\Behave yourselves for a little while now, space men.\It looks like quite an enjoyable little planet, huh? response:	I- it's true! You're space men! I've never seen any before!
context: You're under arrest!\What pests!\This money is a present for Ten- san! You guys stay out of it!\Just you wait, Tenshinhan!\I'll feed you all kinds of nutritious things with this money!\Behave yourselves for a little while now, space men.\It looks like quite an enjoyable little planet, huh?\I- it's true! You're space men! I've never seen any before! response:	Never mind, he's now finally started reaching out after space men.
context: What pests!\This money is a present for Ten- san! You guys stay out of it!\Just you wait, Tenshinhan!\I'll feed you all kinds of nutritious things with this money!\Behave yourselves for a little while now, space men.\It looks like quite an enjoyable little planet, huh?\I- it's true! You're space men! I've never seen any before!\Never mind, he's now finally started reaching out after space men. response:	How far is he going to go before he's satisfied?
context: This money is a present for Ten- san! You guys stay out of it!\Just you wait, Tenshinhan!\I'll feed you all kinds of nutritious things with this money!\Behave yourselves for a little while now, space men.\It looks like quite an enjoyable little planet, huh?\I- it's true! You're space men! I've never seen any before!\Never mind, he's now finally started reaching out after space men.\How far is he going to go before he's satisfied? response:	You have come to this planet at a bad time.
context: Just you wait, Tenshinhan!\I'll feed you all kinds of nutritious things with this money!\Behave yourselves for a little while now, space men.\It looks like quite an enjoyable little planet, huh?\I- it's true! You're space men! I've never seen any before!\Never mind, he's now finally started reaching out after space men.\How far is he going to go before he's satisfied?\You have come to this planet at a bad time. response:	Ever since Moai has claimed the throne, things have been crazy.
context: I'll feed you all kinds of nutritious things with this money!\Behave yourselves for a little while now, space men.\It looks like quite an enjoyable little planet, huh?\I- it's true! You're space men! I've never seen any before!\Never mind, he's now finally started reaching out after space men.\How far is he going to go before he's satisfied?\You have come to this planet at a bad time.\Ever since Moai has claimed the throne, things have been crazy. response:	Everyone in the general population has become Moai's toys!
context: Behave yourselves for a little while now, space men.\It looks like quite an enjoyable little planet, huh?\I- it's true! You're space men! I've never seen any before!\Never mind, he's now finally started reaching out after space men.\How far is he going to go before he's satisfied?\You have come to this planet at a bad time.\Ever since Moai has claimed the throne, things have been crazy.\Everyone in the general population has become Moai's toys! response:	And as for me, I had my wife stolen from me on our wedding day!
context: It looks like quite an enjoyable little planet, huh?\I- it's true! You're space men! I've never seen any before!\Never mind, he's now finally started reaching out after space men.\How far is he going to go before he's satisfied?\You have come to this planet at a bad time.\Ever since Moai has claimed the throne, things have been crazy.\Everyone in the general population has become Moai's toys!\And as for me, I had my wife stolen from me on our wedding day! response:	Do you understand how I feel?
context: I- it's true! You're space men! I've never seen any before!\Never mind, he's now finally started reaching out after space men.\How far is he going to go before he's satisfied?\You have come to this planet at a bad time.\Ever since Moai has claimed the throne, things have been crazy.\Everyone in the general population has become Moai's toys!\And as for me, I had my wife stolen from me on our wedding day!\Do you understand how I feel? response:	Oh, my adorable Lemuria!
context: Never mind, he's now finally started reaching out after space men.\How far is he going to go before he's satisfied?\You have come to this planet at a bad time.\Ever since Moai has claimed the throne, things have been crazy.\Everyone in the general population has become Moai's toys!\And as for me, I had my wife stolen from me on our wedding day!\Do you understand how I feel?\Oh, my adorable Lemuria! response:	What's the matter, Lemuria?
context: How far is he going to go before he's satisfied?\You have come to this planet at a bad time.\Ever since Moai has claimed the throne, things have been crazy.\Everyone in the general population has become Moai's toys!\And as for me, I had my wife stolen from me on our wedding day!\Do you understand how I feel?\Oh, my adorable Lemuria!\What's the matter, Lemuria? response:	Nothing special...
context: You have come to this planet at a bad time.\Ever since Moai has claimed the throne, things have been crazy.\Everyone in the general population has become Moai's toys!\And as for me, I had my wife stolen from me on our wedding day!\Do you understand how I feel?\Oh, my adorable Lemuria!\What's the matter, Lemuria?\Nothing special... response:	Don't tell me you're still thinking about that other man.
context: Ever since Moai has claimed the throne, things have been crazy.\Everyone in the general population has become Moai's toys!\And as for me, I had my wife stolen from me on our wedding day!\Do you understand how I feel?\Oh, my adorable Lemuria!\What's the matter, Lemuria?\Nothing special...\Don't tell me you're still thinking about that other man. response:	Please, stop! Spare me!
context: Everyone in the general population has become Moai's toys!\And as for me, I had my wife stolen from me on our wedding day!\Do you understand how I feel?\Oh, my adorable Lemuria!\What's the matter, Lemuria?\Nothing special...\Don't tell me you're still thinking about that other man.\Please, stop! Spare me! response:	L- let me out!
context: And as for me, I had my wife stolen from me on our wedding day!\Do you understand how I feel?\Oh, my adorable Lemuria!\What's the matter, Lemuria?\Nothing special...\Don't tell me you're still thinking about that other man.\Please, stop! Spare me!\L- let me out! response:	I beg you! P- please, I beg you!
context: Do you understand how I feel?\Oh, my adorable Lemuria!\What's the matter, Lemuria?\Nothing special...\Don't tell me you're still thinking about that other man.\Please, stop! Spare me!\L- let me out!\I beg you! P- please, I beg you! response:	D- don't eat me! Please! I- I don't want to die!
context: Oh, my adorable Lemuria!\What's the matter, Lemuria?\Nothing special...\Don't tell me you're still thinking about that other man.\Please, stop! Spare me!\L- let me out!\I beg you! P- please, I beg you!\D- don't eat me! Please! I- I don't want to die! response:	I'm bored.
context: What's the matter, Lemuria?\Nothing special...\Don't tell me you're still thinking about that other man.\Please, stop! Spare me!\L- let me out!\I beg you! P- please, I beg you!\D- don't eat me! Please! I- I don't want to die!\I'm bored. response:	What? You say you've captured some space men?
context: Nothing special...\Don't tell me you're still thinking about that other man.\Please, stop! Spare me!\L- let me out!\I beg you! P- please, I beg you!\D- don't eat me! Please! I- I don't want to die!\I'm bored.\What? You say you've captured some space men? response:	Yes.
context: Don't tell me you're still thinking about that other man.\Please, stop! Spare me!\L- let me out!\I beg you! P- please, I beg you!\D- don't eat me! Please! I- I don't want to die!\I'm bored.\What? You say you've captured some space men?\Yes. response:	Interesting. Bring them here. If they're cute, I'll make them my pets.
context: Please, stop! Spare me!\L- let me out!\I beg you! P- please, I beg you!\D- don't eat me! Please! I- I don't want to die!\I'm bored.\What? You say you've captured some space men?\Yes.\Interesting. Bring them here. If they're cute, I'll make them my pets. response:	What is this?
context: L- let me out!\I beg you! P- please, I beg you!\D- don't eat me! Please! I- I don't want to die!\I'm bored.\What? You say you've captured some space men?\Yes.\Interesting. Bring them here. If they're cute, I'll make them my pets.\What is this? response:	C- could they be the ones?
context: I beg you! P- please, I beg you!\D- don't eat me! Please! I- I don't want to die!\I'm bored.\What? You say you've captured some space men?\Yes.\Interesting. Bring them here. If they're cute, I'll make them my pets.\What is this?\C- could they be the ones? response:	I- it's them! How did they get out of the prison?
context: D- don't eat me! Please! I- I don't want to die!\I'm bored.\What? You say you've captured some space men?\Yes.\Interesting. Bring them here. If they're cute, I'll make them my pets.\What is this?\C- could they be the ones?\I- it's them! How did they get out of the prison? response:	I- incredible...
context: I'm bored.\What? You say you've captured some space men?\Yes.\Interesting. Bring them here. If they're cute, I'll make them my pets.\What is this?\C- could they be the ones?\I- it's them! How did they get out of the prison?\I- incredible... response:	W- what power those guys have!
context: What? You say you've captured some space men?\Yes.\Interesting. Bring them here. If they're cute, I'll make them my pets.\What is this?\C- could they be the ones?\I- it's them! How did they get out of the prison?\I- incredible...\W- what power those guys have! response:	What ugly creatures! There's no way I can keep them as pets.
context: Yes.\Interesting. Bring them here. If they're cute, I'll make them my pets.\What is this?\C- could they be the ones?\I- it's them! How did they get out of the prison?\I- incredible...\W- what power those guys have!\What ugly creatures! There's no way I can keep them as pets. response:	Right, Lemuria?
context: Interesting. Bring them here. If they're cute, I'll make them my pets.\What is this?\C- could they be the ones?\I- it's them! How did they get out of the prison?\I- incredible...\W- what power those guys have!\What ugly creatures! There's no way I can keep them as pets.\Right, Lemuria? response:	Hey, space men! How would you like to make a wager with me?
context: What is this?\C- could they be the ones?\I- it's them! How did they get out of the prison?\I- incredible...\W- what power those guys have!\What ugly creatures! There's no way I can keep them as pets.\Right, Lemuria?\Hey, space men! How would you like to make a wager with me? response:	Wager?
context: C- could they be the ones?\I- it's them! How did they get out of the prison?\I- incredible...\W- what power those guys have!\What ugly creatures! There's no way I can keep them as pets.\Right, Lemuria?\Hey, space men! How would you like to make a wager with me?\Wager? response:	Have a go at fighting against my warriors.
context: I- it's them! How did they get out of the prison?\I- incredible...\W- what power those guys have!\What ugly creatures! There's no way I can keep them as pets.\Right, Lemuria?\Hey, space men! How would you like to make a wager with me?\Wager?\Have a go at fighting against my warriors. response:	If you win, I'll give you anything you like.
context: I- incredible...\W- what power those guys have!\What ugly creatures! There's no way I can keep them as pets.\Right, Lemuria?\Hey, space men! How would you like to make a wager with me?\Wager?\Have a go at fighting against my warriors.\If you win, I'll give you anything you like. response:	Although, no matter how you look at it, there's no chance of you beating them.
context: W- what power those guys have!\What ugly creatures! There's no way I can keep them as pets.\Right, Lemuria?\Hey, space men! How would you like to make a wager with me?\Wager?\Have a go at fighting against my warriors.\If you win, I'll give you anything you like.\Although, no matter how you look at it, there's no chance of you beating them. response:	I'd like to see what kind of blood is spilled by space men. Go!
context: What ugly creatures! There's no way I can keep them as pets.\Right, Lemuria?\Hey, space men! How would you like to make a wager with me?\Wager?\Have a go at fighting against my warriors.\If you win, I'll give you anything you like.\Although, no matter how you look at it, there's no chance of you beating them.\I'd like to see what kind of blood is spilled by space men. Go! response:	W- what? What the hell's going on here?
context: Right, Lemuria?\Hey, space men! How would you like to make a wager with me?\Wager?\Have a go at fighting against my warriors.\If you win, I'll give you anything you like.\Although, no matter how you look at it, there's no chance of you beating them.\I'd like to see what kind of blood is spilled by space men. Go!\W- what? What the hell's going on here? response:	You said you'd give us anything we liked, right?
context: Hey, space men! How would you like to make a wager with me?\Wager?\Have a go at fighting against my warriors.\If you win, I'll give you anything you like.\Although, no matter how you look at it, there's no chance of you beating them.\I'd like to see what kind of blood is spilled by space men. Go!\W- what? What the hell's going on here?\You said you'd give us anything we liked, right? response:	In that case...
context: Wager?\Have a go at fighting against my warriors.\If you win, I'll give you anything you like.\Although, no matter how you look at it, there's no chance of you beating them.\I'd like to see what kind of blood is spilled by space men. Go!\W- what? What the hell's going on here?\You said you'd give us anything we liked, right?\In that case... response:	What!?
context: Have a go at fighting against my warriors.\If you win, I'll give you anything you like.\Although, no matter how you look at it, there's no chance of you beating them.\I'd like to see what kind of blood is spilled by space men. Go!\W- what? What the hell's going on here?\You said you'd give us anything we liked, right?\In that case...\What!? response:	Didn't you hear him? We're taking this planet, and your lives!
context: If you win, I'll give you anything you like.\Although, no matter how you look at it, there's no chance of you beating them.\I'd like to see what kind of blood is spilled by space men. Go!\W- what? What the hell's going on here?\You said you'd give us anything we liked, right?\In that case...\What!?\Didn't you hear him? We're taking this planet, and your lives! response:	I- impossible!
context: Although, no matter how you look at it, there's no chance of you beating them.\I'd like to see what kind of blood is spilled by space men. Go!\W- what? What the hell's going on here?\You said you'd give us anything we liked, right?\In that case...\What!?\Didn't you hear him? We're taking this planet, and your lives!\I- impossible! response:	Don't you get it yet? We let ourselves be captured on purpose.
context: I'd like to see what kind of blood is spilled by space men. Go!\W- what? What the hell's going on here?\You said you'd give us anything we liked, right?\In that case...\What!?\Didn't you hear him? We're taking this planet, and your lives!\I- impossible!\Don't you get it yet? We let ourselves be captured on purpose. response:	In order for us to be led in here, you see.
context: W- what? What the hell's going on here?\You said you'd give us anything we liked, right?\In that case...\What!?\Didn't you hear him? We're taking this planet, and your lives!\I- impossible!\Don't you get it yet? We let ourselves be captured on purpose.\In order for us to be led in here, you see. response:	Kill them! Cut them to bits!
context: You said you'd give us anything we liked, right?\In that case...\What!?\Didn't you hear him? We're taking this planet, and your lives!\I- impossible!\Don't you get it yet? We let ourselves be captured on purpose.\In order for us to be led in here, you see.\Kill them! Cut them to bits! response:	Ain't I at Kaio- sama's place yet!?
context: In that case...\What!?\Didn't you hear him? We're taking this planet, and your lives!\I- impossible!\Don't you get it yet? We let ourselves be captured on purpose.\In order for us to be led in here, you see.\Kill them! Cut them to bits!\Ain't I at Kaio- sama's place yet!? response:	Yedi! Release Yedi!
context: What!?\Didn't you hear him? We're taking this planet, and your lives!\I- impossible!\Don't you get it yet? We let ourselves be captured on purpose.\In order for us to be led in here, you see.\Kill them! Cut them to bits!\Ain't I at Kaio- sama's place yet!?\Yedi! Release Yedi! response:	So this monster is your ace in the hole, huh?
context: Didn't you hear him? We're taking this planet, and your lives!\I- impossible!\Don't you get it yet? We let ourselves be captured on purpose.\In order for us to be led in here, you see.\Kill them! Cut them to bits!\Ain't I at Kaio- sama's place yet!?\Yedi! Release Yedi!\So this monster is your ace in the hole, huh? response:	Let them have it, Yedi! Kill those two!
context: I- impossible!\Don't you get it yet? We let ourselves be captured on purpose.\In order for us to be led in here, you see.\Kill them! Cut them to bits!\Ain't I at Kaio- sama's place yet!?\Yedi! Release Yedi!\So this monster is your ace in the hole, huh?\Let them have it, Yedi! Kill those two! response:	May I?
context: Don't you get it yet? We let ourselves be captured on purpose.\In order for us to be led in here, you see.\Kill them! Cut them to bits!\Ain't I at Kaio- sama's place yet!?\Yedi! Release Yedi!\So this monster is your ace in the hole, huh?\Let them have it, Yedi! Kill those two!\May I? response:	Suit yourself.
context: In order for us to be led in here, you see.\Kill them! Cut them to bits!\Ain't I at Kaio- sama's place yet!?\Yedi! Release Yedi!\So this monster is your ace in the hole, huh?\Let them have it, Yedi! Kill those two!\May I?\Suit yourself. response:	Fool! You intend to test your strength against Yedi's!?
context: Kill them! Cut them to bits!\Ain't I at Kaio- sama's place yet!?\Yedi! Release Yedi!\So this monster is your ace in the hole, huh?\Let them have it, Yedi! Kill those two!\May I?\Suit yourself.\Fool! You intend to test your strength against Yedi's!? response:	Y- Yedi!
context: Ain't I at Kaio- sama's place yet!?\Yedi! Release Yedi!\So this monster is your ace in the hole, huh?\Let them have it, Yedi! Kill those two!\May I?\Suit yourself.\Fool! You intend to test your strength against Yedi's!?\Y- Yedi! response:	I'm done playing around!
context: Yedi! Release Yedi!\So this monster is your ace in the hole, huh?\Let them have it, Yedi! Kill those two!\May I?\Suit yourself.\Fool! You intend to test your strength against Yedi's!?\Y- Yedi!\I'm done playing around! response:	W- what's this?
context: So this monster is your ace in the hole, huh?\Let them have it, Yedi! Kill those two!\May I?\Suit yourself.\Fool! You intend to test your strength against Yedi's!?\Y- Yedi!\I'm done playing around!\W- what's this? response:	I- incredible! You guys are incredible!
context: Let them have it, Yedi! Kill those two!\May I?\Suit yourself.\Fool! You intend to test your strength against Yedi's!?\Y- Yedi!\I'm done playing around!\W- what's this?\I- incredible! You guys are incredible! response:	You are indeed the saviors of this planet!
context: May I?\Suit yourself.\Fool! You intend to test your strength against Yedi's!?\Y- Yedi!\I'm done playing around!\W- what's this?\I- incredible! You guys are incredible!\You are indeed the saviors of this planet! response:	Peace is sure to return to this planet now, just as it was before!
context: Suit yourself.\Fool! You intend to test your strength against Yedi's!?\Y- Yedi!\I'm done playing around!\W- what's this?\I- incredible! You guys are incredible!\You are indeed the saviors of this planet!\Peace is sure to return to this planet now, just as it was before! response:	Atla!
context: Fool! You intend to test your strength against Yedi's!?\Y- Yedi!\I'm done playing around!\W- what's this?\I- incredible! You guys are incredible!\You are indeed the saviors of this planet!\Peace is sure to return to this planet now, just as it was before!\Atla! response:	Atla!
context: Y- Yedi!\I'm done playing around!\W- what's this?\I- incredible! You guys are incredible!\You are indeed the saviors of this planet!\Peace is sure to return to this planet now, just as it was before!\Atla!\Atla! response:	L- Lemuria?
context: I'm done playing around!\W- what's this?\I- incredible! You guys are incredible!\You are indeed the saviors of this planet!\Peace is sure to return to this planet now, just as it was before!\Atla!\Atla!\L- Lemuria? response:	This is hopeless. We won't be able to get squat for this planet.
context: W- what's this?\I- incredible! You guys are incredible!\You are indeed the saviors of this planet!\Peace is sure to return to this planet now, just as it was before!\Atla!\Atla!\L- Lemuria?\This is hopeless. We won't be able to get squat for this planet. response:	Let's go, Nappa.
context: I- incredible! You guys are incredible!\You are indeed the saviors of this planet!\Peace is sure to return to this planet now, just as it was before!\Atla!\Atla!\L- Lemuria?\This is hopeless. We won't be able to get squat for this planet.\Let's go, Nappa. response:	Atla!
context: You are indeed the saviors of this planet!\Peace is sure to return to this planet now, just as it was before!\Atla!\Atla!\L- Lemuria?\This is hopeless. We won't be able to get squat for this planet.\Let's go, Nappa.\Atla! response:	Get out of my sight, you good-for-nothing planet!
context: Peace is sure to return to this planet now, just as it was before!\Atla!\Atla!\L- Lemuria?\This is hopeless. We won't be able to get squat for this planet.\Let's go, Nappa.\Atla!\Get out of my sight, you good-for-nothing planet! response:	Lemuria!
context: Atla!\Atla!\L- Lemuria?\This is hopeless. We won't be able to get squat for this planet.\Let's go, Nappa.\Atla!\Get out of my sight, you good-for-nothing planet!\Lemuria! response:	Atla!
